Hybridization REF	TCGA-B6-A0RG-01A-11R-A056-07
HPS1	0.818
RNF7	0.9095
PSKH2	0.4655
KCTD13	0.789833333333333
CSMD3	-0.0554
FBF1	-0.518
IL8	-4.681125
SERPINB13	0.1538
FBXL20	0.1675
BLR1	0.5835
SH2B1	-0.0776666666666667
RFNG	0.492625
RAB20	-0.944333333333333
RBM7	-2.25075
POLR1A	-0.171833333333333
TMPRSS4	-1.5855
TAF9	-1.007875
TERF2	-0.310666666666667
TNFRSF1A	0.609916666666667
ACADVL	-0.434166666666667
GTF2H5	0.55425
EDG8	0.522
C9orf140	-0.4885
UST6	-0.23725
ZBTB8OS	-0.991
ZNF710	1.3595
GPR174	-1.8685
ATP6V0A2	-0.47475
KIAA0319L	0.63375
XKRX	1.1515
DOPEY2	1.0312
SDHD	-1.681
SUMF1	2.12175
OSM	3.1595
OPN3	-0.8925
DAGLB	0.0905
PPFIBP1	0.3798
TRIM63	-2.553
C10orf53	0.6785
LYPD3	1.82316666666667
BCL7A	0.36875
AGER	-1.37033333333333
TCF19	-0.788625
SAT2	-0.1345
PFTK1	0.916
GABRE	-3.6665
C15orf38	1.5764
FIS1	0.1925
KCNV2	0.06325
CLPS	0.2315
PPCDC	-0.584375
FOXN2	-0.796666666666667
NT5E	-3.6682
CD83	0.10425
IL18	-1.544875
VPS16	1.03475
IGFBP2	0.705166666666667
NOTCH2	0.284
SIGLEC1	2.241375
CD93	5.019
SULF2	0.5755
CEP164	-0.3795
P53AIP1	-0.2545
TOR2A	0.211666666666667
ZNF136	0.535
MGP	3.0934
CCDC144A	-1.51783333333333
TRPC1	-1.772
SMS	-0.960166666666667
MAPK7	-0.426
RRAGC	0.60075
PARD6A	-0.820166666666667
NUB1	0.882166666666667
SYNGR4	0.93025
OR11H12	0.2005
WIF1	2.3095
GCH1	0.10875
OR11H4	0.0025
SLC44A5	0.451
GPRIN2	-0.469166666666667
LOC401431	-1.526
CPA4	-2.9105
MELK	-2.54644444444444
IL15RA	-0.746
CUL3	0.393875
HMBOX1	-0.0595
PODXL	-1.41
CCT6B	-0.2585
COMTD1	-0.5105
MUC20	0.950166666666667
GPX2	-3.002125
ITK	-2.153
FBXL5	2.16175
C13orf27	-1.152
DEFA5	0.0505
TRHDE	-0.957
MTP18	-1.008
UQCRQ	0.3269
ITGB2	0.110416666666667
CSRP2BP	-0.235
TAS2R44	0.401
PHPT1	0.38175
FAM44C	0.29025
ERH	0.46275
MPHOSPH1	-1.13533333333333
MORC1	-1.256
PARVB	-1.15825
LAMA1	-2.09641666666667
PGBD3	-0.049
GIMAP6	3.20775
AREG	1.68116666666667
LIPT1	-0.91275
MGC99813	-1.36275
C1orf201	0.733666666666667
GRIN2A	-0.875222222222222
MAN2C1	-0.59225
NSUN5	-0.094
SF3B5	-0.22025
MYC	-0.8766875
NRXN1	-0.994833333333333
ZNF18	0.919
SPDYA	0.03225
SLC37A1	1.367
DECR2	1.4215
ANKRD38	2.069
SPTLC3	-2.10208333333333
SUPT16H	-0.414625
DTWD2	0.9595
ULBP1	-0.037
ZADH1	0.393166666666667
OIP5	-2.3505
IL10RB	-0.234333333333333
OTUB2	1.211625
VWA3A	-0.0835000000000001
SPIC	-0.3355
OR6C4	0.227
PSCD4	-0.381
DPY19L2P2	-0.5535
TRAPPC6A	0.928666666666667
C21orf2	0.172833333333333
CEMP1	-0.21925
LIN7B	0.3545
E2F7	-1.66683333333333
VCP	-0.0653125
LAMA3	2.06291666666667
BGN	2.251
GPR160	1.59466666666667
COCH	0.541666666666667
GPR81	1.0675
APOBEC3F	-2.462
tcag7.1017	-0.18575
C1orf32	0.5395
SCGB1D2	5.26
FLJ43987	0.0285
C6orf170	0.6905
KLK9	1.1165
GPD1L	1.6315
VPS37B	-0.14
ATG3	-0.7345
ADAMTS17	-0.2185
KLHDC2	-0.507833333333333
NDUFV2	-0.06025
BLK	-3.10275
MATN4	-1.6845
GPM6A	0.863
GBP4	2.87333333333333
TMEM162	-0.0281666666666667
PKP2	0.5
HRASLS	1.21411111111111
MMP1	-0.71225
SFXN3	-0.139
FSD1	-1.7685
ST6GALNAC3	-2.58816666666667
CA12	3.4801
NCOA6	0.9495
C19orf58	0.4662
PPP4R1	0.443166666666667
MAN1A2	0.986833333333333
IKBKAP	-1.50875
UPF1	0.0443333333333333
KIAA1219	0.99
WNT16	0.660833333333333
SNW1	-0.305375
IL18RAP	-0.01675
RPP30	-0.558875
CDC40	-0.162785714285714
SETD3	0.721833333333333
SLAMF6	-0.35375
ELK4	-0.789
TRIM47	0.441833333333333
ACOX3	1.788875
TRIM6	0.431375
KIAA0372	-0.347666666666667
TP53AP1	1.90625
SMURF2	-0.107
ADAD1	0.293
EBP	-0.5009
KRTAP13-2	0.2225
FLJ36874	-0.379
TOR1A	0.0623333333333334
P2RY4	1.1195
GPBP1	0.309
TRPV1	-0.258375
ADAMTS12	0.234
PES1	-0.2341
ATG4A	0.3835
MAGEA10	-4.44575
WFS1	1.86375
CC2D1B	-0.331333333333333
PABPN1	-0.17525
SLC25A30	-0.258
SLCO1C1	-0.433
SLC22A5	1.7375
KIF23	-1.63
SYN2	-1.05416666666667
ASPN	7.39183333333333
CENTG2	-0.2815
QSOX2	-1.9358
FLJ10815	0.531666666666667
STK24	0.4703125
SPEG	0.7723
STK10	-0.206166666666667
DACT2	-2.6385
AAAS	0.07475
SSX3	-2.14675
ABCD3	0.8411
C4orf12	-0.425375
PARVG	-0.441166666666667
FIG4	1.278
C9orf46	1.21675
TMCO6	-0.62
IGHMBP2	-0.06675
DUS2L	-0.7805
FAM3C	-0.34525
TMEM16D	-1.403375
DCTN4	0.72025
KCNH3	-0.94
EIF2AK2	1.02425
AP1S3	-0.149
CST4	1.7285
PAM	0.12375
NUTF2	-0.15125
CITED2	-0.3102
SLC39A4	0.71475
C2orf52	-1.4815
GRM3	0.218
C12orf49	0.488125
CCDC49	0.000999999999999993
GRAMD1B	-2.003875
FNDC4	-0.63475
SIAH2	1.214625
GDPD4	0.34225
C21orf87	0.43425
ATP5A1	-0.316833333333333
C16orf63	-1.8145
LOC388135	0.084
ATP5J2	-0.083
MMP3	0.9565
EMID2	0.05525
CRHR1	0.62575
WDR70	-0.78975
C13orf31	1.7825
ZFAND1	-0.55825
CCL18	3.5275
C3orf49	0.66
RINT1	-1.2255
KIAA0408	-2.15016666666667
F13A1	3.9885
SLC10A1	0.311
OGN	0.79925
GIPC2	-2.2795
XPO6	-0.388166666666667
LCE1A	0.941
FMR1	1.0544
LOC374920	-0.137
DUSP3	0.745625
ANKMY1	2.11375
C7orf50	-0.176
BBS9	-0.5401
UNC119B	-1.22825
C9orf72	-0.785375
MGC35440	-0.42475
ENTPD6	-0.131125
PPP1R2P9	0.83475
ERCC4	1.0695
FAHD2B	-0.05
HMHA1	-0.405
HACL1	-0.608
RAD23A	0.118
FAM83B	1.6585
PPP5C	0.0831666666666667
RNASEH2C	-1.18775
C9orf153	-0.793
SCAMP4	1.542
GHITM	0.142
NDUFB7	0.60325
ADCYAP1	1.24316666666667
SP110	1.56116666666667
MAP3K7IP2	0.4245
DHH	-0.0165
AGRN	0.471214285714286
WDR33	0.194833333333333
CEP290	0.421333333333333
PRPS1L1	-2.84183333333333
KLRA1	-0.613
GPR97	-0.414
CHD7	0.478083333333333
TLR10	0.29875
SLC30A8	-1.813
HIC1	1.60466666666667
IAPP	0.451
RXFP4	-0.01675
GP1BB	1.47025
SHQ1	0.382
NKX2-3	0.671666666666667
API5	0.08275
FTHP1	0.16
MOV10L1	0.698
TRIM6-TRIM34	2.765
ADHFE1	0.3075
FAM117A	0.4785
DDI1	0.598666666666667
CDON	0.406666666666667
TRIM73	-0.5515
IGKC	2.104
MMP14	-0.179166666666667
DYNC1LI1	0.324375
C11orf66	0.36925
TRBV3-1	-1.043
FASTKD5	-0.59475
BIVM	-3.17625
LHX4	-0.70275
CXCL2	-2.6668
RAB2B	-0.220166666666667
IZUMO1	-0.76225
MAP3K15	-2.485625
FAM19A2	-0.208166666666667
ZC3H8	-1.27333333333333
ZMAT1	0.60275
SPINK5L3	-2.586
SLC10A6	0.543
APPL2	0.204125
CARD10	-0.805166666666667
LOC402176	-1.811375
EEF1D	0.6264
RAB6A	-0.1326
C12orf5	-0.971875
PAPOLG	0.30575
MSRB2	1.311
BCR	0.738777777777778
PUS3	-1.47025
TIAM2	-1.014
ZNF317	-0.139333333333333
CHD2	-0.373769230769231
FZD5	-2.06322727272727
NUDT8	-1.8295
ZNF763	0.2235
PRC1	-1.20755555555556
ABCB9	0.511166666666667
SPATA3	-0.1385
TRAK2	2.395125
STAB1	2.472625
LRRTM2	-0.629333333333333
psiTPTE22	1.66425
DBI	-0.02125
SERPINA11	-1.34075
NAT5	-0.0355
C20orf58	-2.22025
RPS6KA4	-0.271333333333333
FLJ90650	-0.607
TGFBRAP1	0.3115
CHRDL2	1.447375
FAHD2A	-0.457833333333333
CNTN1	-0.19875
BBS4	0.218
TMEM181	0.3165
MINPP1	-0.83725
MPHOSPH6	-1.6115
HOXC10	1.5763
ITPKB	0.8385
CLPTM1L	0.089375
MEOX2	-0.843
ATP6V0C	1.30825
PRPF8	-0.3595
TMC5	0.21
FKBP3	-0.122
PLEKHB2	0.31
OR4D6	0.299
ZNF544	-0.3959
D2HGDH	-0.4965
RPL18A	-0.7668
HEL308	-0.215375
MPP6	-4.47275
TCERG1	-1.50375
KRT16	0.155
KLF17	-1.8125
KLF5	-0.52475
CDR1	2.877375
VCX3A	-0.1855
FBLN2	2.00575
C14orf104	-0.57475
HBE1	-4.9875
OR4S2	1.0965
C1orf108	-0.5515
ROBO4	3.34883333333333
CPEB4	2.34075
C11orf80	1.12516666666667
BCKDHA	0.493333333333333
MYOC	-0.18575
GIF	-0.683
CKMT1A	0.4105
RPL3	-0.1888
THBS1	3.53375
APOO	-1.06875
ARMCX1	3.21325
HSZFP36	1.43925
SNAPC5	-0.33325
EIF4ENIF1	0.206
ZNF433	1.11925
TNFRSF21	-1.718375
TMPRSS7	0.2185
SPATA18	0.8758
HPDL	-2.791
MKL2	1.8537
TBX3	1.59661538461538
C21orf93	0.476666666666667
DAXX	0.97225
ELMO1	-0.636875
RGS13	1.94033333333333
TAF11	-0.67075
UNC13A	-2.04975
LOC653314	-0.221
ORC3L	-0.86275
IMAA	-1.943
TARBP2	-0.183
CABIN1	-0.3431
TRIOBP	-0.077875
HIST1H2AC	2.315875
RGS22	1.19416666666667
NCOA1	1.28533333333333
IL25	1.5735
SNCG	-0.114
GPR6	-0.1545
AMDHD1	-1.866
CHEK2	-1.6925
C6orf142	-1.59575
DRD4	1.02775
C14orf68	-1.1195
GDF11	-2.30275
SEMG2	0.6095
CD247	-3.55425
CDAN1	0.12225
RBMX2	0.506166666666667
TGS1	-0.31825
OIT3	0.4
SYF2	-0.1415
MCM4	-1.591625
PKHD1L1	0.345
CEP192	-1.28916666666667
IFT88	0.87225
RPL9	-0.270428571428571
RAB32	-0.0025
DDX43	-1.21625
P2RX2	0.495166666666667
OR5D18	-0.148
UBE1	0.657083333333333
SLC24A1	0.986625
ARHGAP5	0.12775
CETP	-1.25075
KIAA1731	-1.44233333333333
SLC9A4	0.172
PTPN6	1.303
BAHD1	1.026
GRIK3	1.637
CACNB2	-0.6802
PDE10A	-1.067
DGCR14	-0.33675
PCDHB9	-1.28683333333333
RHOQ	0.642666666666667
MAP3K4	0.2085
KTI12	0.0511666666666667
RPL23AP13	-2.59975
GNG11	-1.3035
CLCN3	1.13833333333333
GPAM	-1.4525
VSTM2A	0.72
SLAMF7	0.0478333333333333
INTS2	-1.0045
PPP2CA	0.0995
LRP12	-0.3688
SEC14L2	1.97422222222222
DKFZP586H2123	2.1175
MC3R	-0.698
CIRH1A	-2.26833333333333
HIST1H2AB	2.3505
POLH	-0.336375
MGC16703	-1.44433333333333
SNAPC2	0.756
FILIP1L	0.49475
RASGRP4	0.833
LRRC1	2.21325
GAS1	0.6065
PRAC	-1.1205
DGKA	-0.0565
NT5C3	-1.20175
PEG3	-3.749
NADK	-0.9005
PRR17	0.76625
LOC374569	-0.625
SGSH	0.710666666666667
NLRP8	0.3895
GALT	-1.2362
MCF2	0.8925
ZNF263	0.6755
TACSTD1	1.81316666666667
TYR	-6.6502
ATP6AP2	0.01275
RNUXA	-0.17425
ABHD10	-0.224
GDPD2	-1.88475
SLC35C1	0.08525
UBE2A	1.04225
HERC5	-0.924
FAM112B	-4.84683333333333
FBXL16	0.64125
DKFZP434A0131	-0.6925
ELA3A	-2.9985
RBM41	-1.4215
HAO2	0.67275
RNH1	-0.453
SHANK2	1.88366666666667
OSBP2	-1.45775
DAK	0.746666666666667
C3orf58	-0.795916666666667
TCL1B	-0.5915
KBTBD2	-0.655
SUGT1L1	0.62025
UBE2E2	-1.09066666666667
MYL9	2.722
CDC23	-0.530666666666667
PBXIP1	2.2571
CXorf40B	2.5305
NBL1	0.9085
RTBDN	0.7865
RAB11FIP5	0.601625
TTTY13	-0.173
SCOTIN	0.49925
SOHLH1	-0.1315
CDKN1A	1.106
NCK1	-0.0105
ZNF550	-1.3365
SAPS3	0.482833333333333
SPIN3	0.345166666666667
MAGEE2	0.03275
MIS12	-1.0095
OR8H2	-0.3085
KIAA0774	-1.23733333333333
UNC5D	1.4325
CUL7	0.119166666666667
LIPC	-3.86866666666667
DIO1	1.00575
C20orf11	-0.1244
CTRL	-0.92725
HS3ST2	-0.09825
PAK4	1.60783333333333
CCRL1	1.90825
RNF10	0.911875
ZNF567	-0.4605
ZNF660	-1.125
TCEAL3	1.6855
MAGOH	-1.1125
CENPB	0.454166666666667
C19orf7	0.575
LOC388965	0.81625
ZCCHC13	0.3895
JMJD1A	-0.8094
HIST1H4H	1.9495
TBRG1	-1.5573
GPC3	-5.388625
TAF1C	-0.87625
EBNA1BP2	-0.815
CIAPIN1	-0.7925
PDGFRA	-0.679833333333333
CSTB	-0.058875
CENPI	-1.37416666666667
GTF2E2	-1.11583333333333
RPP21	-0.1475
CCNF	-0.7765
KCNQ3	1.2045
FAM79A	0.623
SLC22A12	0.5695
NOVA1	-0.901
FZD3	-0.2593
AKAP8	-0.8705
SOCS5	-0.21275
CFDP1	-1.3685
DLG5	1.69
PGM5	-0.23575
C1orf144	-0.21225
HDAC10	-1.6305
RND2	-0.08775
C20orf199	-1.46575
RNMT	-0.627
SLURP1	0.087125
ASTN1	0.235125
SH3BGR	2.233
MYCL1	-1.206625
ZHX1	0.0773333333333333
CENPK	-3.17775
FOSB	1.9399
LOC643406	1.445875
C2orf59	-1.583625
TMEM135	-0.42675
SLC27A2	0.62475
KRT33A	3.5835
OVOL1	2.848625
PAMCI	-3.077
S100A7	1.143
ZNF789	-1.5415
HARS2	0.141
RPL23A	-0.6295
TCF23	0.16725
UPF3B	-1.788
C17orf78	0.441
HLA-DOB	-0.132
C14orf142	0.1455
TEKT5	2.10533333333333
DMWD	0.4355
POLD1	-1.79266666666667
GSCL	-0.1325
CALD1	-0.0135
SCRT1	0.541166666666667
AIG1	0.56475
UNC84B	0.14675
ZNF404	-0.15775
TMED6	-4.00525
KIAA1462	0.277
LRRC27	1.90116666666667
PYGO1	-1.58
PIGU	-0.5615
ALAS2	-3.92483333333333
WRNIP1	0.301625
CNNM3	1.0565
ZNF2	0.41675
ST3GAL5	0.0885
MRPL23	-0.385
TSSK6	-0.69975
PSMA6	-0.529
C16orf70	-0.39525
KIAA1602	0.091
ALMS1	1.67566666666667
DCN	1.801
TMEM132D	-0.869666666666667
SUCLG2	-0.17925
ABHD14A	0.51775
DEXI	0.689833333333333
AMPD2	-1.2575
IFNAR2	-1.04983333333333
CYB5A	0.4986
TLOC1	0.9407
NXF5	-1.0696
NRBF2	-0.556875
KCTD3	-0.68525
ITGAE	-0.851833333333333
SLC30A3	-2.73616666666667
ZRF1	-1.2105
IFRD2	-0.174125
XAB1	-0.5265
PYCR2	-0.037
SERPINB3	-4.8045
TMLHE	0.694
GEFT	-0.496625
ABCA5	-0.37625
EMR4	0.182166666666667
TSFM	0.0865
HIST3H2BB	1.32175
ARHGEF19	0.8965
TSPAN17	0.6165
ABCC8	2.90625
MAP1S	0.8
C22orf36	0.83475
BNC2	-0.154428571428571
HIST1H4A	-0.65775
NDUFS3	-0.204333333333333
WDR3	-0.8265
XKR4	-1.1635
TTC33	-0.453857142857143
STMN2	4.3395
CPN2	-0.859166666666667
HSPC105	0.51
PCOLCE2	-5.60525
C3orf55	-0.1815
KLHDC9	3.33116666666667
TBC1D23	0.29475
ATXN2L	-0.687166666666667
MAP2K3	-0.477
SCAP	0.62825
ZNF486	0.772333333333333
C20orf96	1.06425
NARS	0.06675
ADAMTSL1	-1.47342857142857
PRCC	1.08683333333333
CCDC126	1.38491666666667
ZNF675	0.048
CALCOCO1	1.01225
ANKRD43	-0.745
CWF19L2	-0.778
ZBTB32	0.6675
BRAF	1.38425
ODF4	0.3425
MGC14376	0.522166666666667
HORMAD1	-2.07466666666667
AAK1	0.0369166666666667
PEBP1	1.04483333333333
TNFSF5IP1	-0.00499999999999999
DKFZp564N2472	0.094
RMND1	-0.592
IGKV1-5	2.9095
COL1A2	2.5925
SERPINA5	2.757625
AANAT	0.623
C19orf21	1.641
GEMIN5	0.0625
UBR4	-0.4215
LTBP3	0.693
AMHR2	-2.08066666666667
PROCR	0.01925
MYBBP1A	-0.5185
C20orf39	0.182
ZNF697	0.171125
PASK	-0.0307
ZNF776	0.877333333333333
RFXDC2	-0.12575
KIAA0467	0.07125
C10orf96	-1.94725
ZNF503	-2.5115
GULP1	-1.49025
KCNE4	2.03216666666667
DKFZp434K191	-1.099125
LOC196913	0.7045
BHLHB4	1.3775
CH25H	0.761
LOC81691	-1.24566666666667
ALPL	0.00464285714285715
COL12A1	3.07
FOLR3	-2.161
GPR123	-0.600375
TRIM62	0.833642857142857
ABLIM1	-0.416833333333333
MAST3	-0.07075
RHBDD1	1.36433333333333
LOC338809	0.2665
RYBP	1.88
TTC26	-0.096125
ZNF22	-0.417333333333333
ISCA2	0.00424999999999999
RDM1	-1.58775
PIGM	1.24925
GNB3	-1.285
ACTR2	0.1546
HMGB1	-0.00590000000000002
EDG1	2.0515
SOAT2	-3.225
OR10AD1	-0.348
RAP1GDS1	1.15775
LCE1F	1.14
ESM1	-0.472125
RCN3	2.35275
CREBL1	-0.3195
DBNL	-0.338
PTGER3	4.323625
USP30	0.487166666666667
BCL2L12	-0.648333333333333
KIF26B	3.54525
ZNF416	0.49
ZNF225	0.2365
C17orf70	1.1905
ZNF554	1.12075
RAE1	-1.06366666666667
TNIK	-1.33
ACTN3	0.7865
MGC45922	1.454
CCNA1	-1.23966666666667
RYK	0.265
IL26	0.4465
LRP3	1.07166666666667
QARS	0.02275
SOX7	0.308857142857143
BID	-0.906625
OR2S2	0.6065
CXCL14	3.6275
C11orf47	-1.079
MGC29891	0.770166666666667
HSPB8	2.992
PRDM14	1.571
NUFIP2	0.52225
MNAT1	-0.491375
ZDHHC2	-2.01933333333333
MBNL2	-0.089
ADD3	-1.25225
CSNK2A1P	0.03775
KLK6	-1.65633333333333
TMEM111	0.6783
KIAA1279	1.1375
NUBP2	0.952
RAB42	-1.993
ID3	-0.8399
TM9SF1	1.00025
MDP-1	-0.47675
POU4F2	-0.42975
IQCK	1.4195
C16orf14	0.18575
CAPN3	-1.64825
FAM43B	-0.141125
RECQL	-1.425
AP1G1	-0.405071428571429
CTNNBL1	-0.345333333333333
ECHDC1	-0.528333333333333
SMARCC1	0.4721
FOXQ1	-1.026
GNAI3	0.2495
POLG2	-1.75875
CD4	1.0635
ITLN1	-0.735
EBI2	3.199
IRF1	0.14925
PTPRE	2.5717
PTK2B	-0.5965
NXNL2	1.163
SOX4	1.67755555555556
TSPAN3	-2.19383333333333
SH2D1A	-4.29266666666667
C8orf58	-1.08183333333333
USP20	-0.675
DUSP22	-0.732833333333333
CALB1	-2.119
L3MBTL2	0.86275
MCRS1	0.27625
TMEM118	-1.58933333333333
C18orf8	0.9395
FLJ10241	0.1285
GJA12	0.60025
PKD1	-0.531166666666667
ZFP3	0.397
JAM3	-1.381
LAPTM4A	1.5675
DIRC2	0.392
KIAA2022	-1.3525
MYOM1	-1.4566
TRPM8	-2.686
MOP-1	1.76
PHKG2	-0.0575
ZNF650	0.9215
KIAA1522	1.70425
PSG8	-1.80266666666667
DDX19B	-0.737
MOBKL1B	-0.44875
DIAPH2	-1.93075
PTPN12	0.00675
CLN8	-0.746
CRYZL1	-0.358166666666667
CRY2	0.371083333333333
FCGR2B	2.73733333333333
PNPLA4	1.447375
ZNF454	-0.8375
DKFZp434B1231	-0.098
CLDN11	0.2855
RFWD2	0.5965
CIB2	-0.1455
MXRA8	2.602125
HRK	-0.785125
MAML2	-1.1545
C4orf31	-0.745
C6orf192	-1.46
COG6	-0.04875
FAM5B	-1.6465
NFATC1	-0.0601
SEPT10	0.3675
SCYL1	0.2146
RPP40	-1.10175
SCOC	0.2429
KIAA1450	0.232
CTDSPL2	-0.343
TBX5	0.8595
NAPG	-0.071375
RHD	-4.23175
C14orf45	1.84433333333333
ZBTB22	1.81
PLCG1	-0.4725
ANKRD10	-1.2285
AQP7P2	-0.07125
TAGLN2	0.743
HTR2C	1.30533333333333
SLC16A7	-1.805
C17orf83	-0.0115
TSGA14	0.196583333333333
MDH1	-0.6965
PPP3R2	-0.0471666666666667
DCBLD2	-2.69978571428571
RBM33	-0.3975
DPH3	-1.3775
SYT10	-1.77816666666667
FMO4	2.75375
THYN1	-1.52775
DRD5	-1.884
OTOR	0.483
PGRMC2	1.3213
KATNAL1	-0.16275
PAQR6	-2.3695
UBE2I	0.27825
C14orf28	0.33775
C8orf70	-0.35375
FLYWCH1	-0.217125
ANGPTL3	-0.559666666666667
GLRX2	-0.097
ATP11A	-1.50185714285714
ARL5B	0.187125
MUC16	-1.10725
SLC25A5	-0.434642857142857
ACRC	-2.015
MYO1C	-0.034
FAM89B	1.385
FAS	-0.579625
KIFAP3	1.535
GLRA2	0.6235
BTN3A2	-0.9625
CNKSR3	-2.135625
CSTF3	0.0596666666666666
ARPM1	0.60075
KIAA1530	-0.299
C9orf150	3.01883333333333
PRKCI	1.4965
tcag7.1015	-1.237
SOD3	-1.98325
ZNF574	0.868
CYP21A2	-0.35325
RPL12	-0.57475
COMMD2	-0.1025
WIZ	0.3875
LOC344405	-1.4905
ALDH4A1	0.314352941176471
CRYAB	1.514
COPA	0.608
PCDHGA7	1.35933333333333
KIF11	-0.76975
RASD2	-0.4955
SLC26A3	-0.169
ZNF175	-0.426
JAKMIP2	-2.861
C8orf4	0.2185
PTHLH	3.61175
SLC40A1	-0.4655
OR7D4	0.0878333333333333
PCDHB17	-0.012
CD36	0.132923076923077
C6orf203	-0.0549
PRKG2	-0.0195
LOC400566	1.532
ANAPC13	0.5345
SLCO3A1	-1.388
ZNF692	-1.2055
FANCL	-2.141
SH3GLB1	0.4815
C12orf61	0.527
KBTBD6	0.4355
SUPT5H	0.3995
XRCC6	-0.663
HUS1B	0.7284
FAM133B	-0.301285714285714
LOC728276	-0.0965
KCTD18	0.4885
SOS2	0.442166666666667
CCDC99	-2.023
C1QTNF5	3.258
NNAT	-0.694166666666667
USP16	-0.1735
LARS	-0.920875
ZBTB2	-0.075625
ABO	-0.451833333333333
TRAF3	-0.01175
GALNT5	-2.0615
NAP5	2.262875
ALG14	0.568166666666667
KIAA0515	0.142807692307692
WDR75	-1.09066666666667
TEX261	-0.0885
LY86	-0.61575
LOC389072	-0.697
FLJ13611	0.2035
MRGPRX2	-0.0615
SNRPA	-0.68925
OR2G2	0.3285
GPRASP2	0.02925
C7orf42	0.644
C9orf163	-0.9055
CYP11B2	-0.242
FCRL3	0.66
PRDX1	0.93575
FGB	-7.07616666666667
COX17	0.317
C16orf33	0.42475
PIWIL1	0.18
FOLR1	-2.1795
KIAA0082	0.02775
FREQ	-0.465666666666667
TMCC2	-1.73516666666667
TCF12	0.0308333333333333
ZNF721	-0.17775
FAM130A2	0.1205
POU4F1	-2.35
SNRPF	-1.555375
SGIP1	1.164
ZNF641	0.544666666666667
EMG1	-1.0975
PRRG4	2.1705
HIRA	-4.19625
MYNN	0.5165
AEBP2	-0.589416666666667
TBXA2R	-0.133833333333333
ISL2	-1.18416666666667
PCDHB11	-1.0565
RNF144A	-0.964375
MARCH5	0.961
DULLARD	-0.116666666666667
DCLRE1B	-0.426
ITGA8	-0.34225
TP73	0.224125
PRKCD	1.9995
NDUFB4	0.30725
ATP13A4	3.494875
ANTXR2	-1.40516666666667
COL4A3	-0.453333333333333
MYO10	-2.0121
SLC6A18	1.312
PEX1	0.36625
TMEM74	-1.99116666666667
RBM19	0.1515
TAPBP	0.60925
RUNX1	2.374625
MID1	-2.44525
GPR64	0.445666666666667
RASEF	4.506
GABRG1	-0.191625
MYO16	-0.80225
DBF4	-1.7545
TSHZ2	2.725
RIPK2	-0.04575
PPTC7	0.240166666666667
KIF4B	-0.3775
LRRC31	-0.438
ZNF540	-0.28025
EFNB3	-0.234166666666667
LOH12CR1	0.269
STON2	-0.308
GLP1R	-0.10525
CSTF2T	-0.31375
IREB2	-0.712375
GRSF1	-0.29375
PDCD7	-0.9355
LRRC43	-0.347
CNR1	-1.1025
IL1F7	-0.1955
C12orf64	-0.89875
FAM69B	-0.4405
NR2E1	-2.0112
MS4A6A	0.6502
FTL	-1.4108
C7orf36	-0.76525
PCLO	2.5851
DYRK2	0.347833333333333
ARIH2	-0.269875
SAMD7	-1.007
SCNN1D	-0.9125
SLC32A1	-1.18575
C22orf25	0.281
MRPS18A	0.1899
GPR112	1.317
EARS2	-0.79225
ERN2	1.2565
ATPBD3	0.160666666666667
PRH2	0.069
CDKN2D	0.329833333333333
PGLYRP2	4.6375
TRIM40	0.3435
SEC14L3	-0.0896
SLC22A1	-0.938
BTN2A3	-0.07275
RASA4	0.843
CCNL2	-1.83983333333333
MYBPC3	0.44
GJA4	3.11075
CDC42SE1	1.554125
TRPV2	-2.429
MYPN	-3.6451
SIM1	0.2765
CDADC1	0.116916666666667
ZFHX4	0.73925
NIBP	1.56083333333333
ADAMTS19	-0.114
ABTB2	-1.89375
TSPYL2	-0.77975
EIF2S3	-0.595
SOX30	-0.0985
AP2A1	0.912833333333333
DKFZP564O0523	0.0453333333333333
LOC285398	-0.265
CDH18	-4.93875
CHL1	0.276875
GATS	0.484666666666667
TBC1D2B	-0.2745
OR1J1	0.0885
GSN	1.563
DPCR1	0.0808571428571429
GARNL4	-1.10216666666667
SMARCA5	-0.271
PLEKHG3	0.721333333333333
ZBTB45	1.105
FRMD6	-0.291333333333333
PLS1	0.0548333333333333
DGKZ	1.26683333333333
EFNA1	1.6977
WDR85	-0.9895
ANK2	-1.02025
PAGE4	0.738166666666667
SENP6	-0.0673333333333333
AKR7A2	0.388166666666667
FKBP10	-2.138
VEGFC	-1.5275
LARP1	0.3166875
SRBD1	0.251
ITGB6	3.573
SLC1A2	1.16907142857143
INVS	-1.044
MPO	-0.442
MOBKL3	-0.0927
CUTL2	1.973125
KLK2	0.23375
VIM	-1.99825
REG1B	0.359333333333333
PCDHGC4	0.2325
C3orf34	-0.281
SUMO3	-0.096
CST9L	4.9455
MLL4	-0.1375
SPR	2.45183333333333
SAMD9L	-0.72
ABCE1	-0.363
SUPT3H	-0.439
ACTBL1	-1.57575
ADAMTS4	0.497166666666667
SLIT3	2.061
RHEBL1	-1.6165
NPM2	-2.73025
MAN1C1	2.230625
KIAA1856	1.22116666666667
HSPA6	1.129
LOC388152	-0.112
C10orf140	-2.25975
ZDHHC12	0.598
LIN7A	1.9734
PHC2	0.19725
SPHK1	-0.3575
TRIM26	0.6634375
FAM83E	-0.4635
C18orf24	-1.65183333333333
ZNF578	0.0608333333333334
ORAI1	-0.1975
RUVBL1	0.206416666666667
