Hybridization REF	TCGA-AO-A0JE-01A-11R-A056-07
ACADVL	-0.984666666666667
GTF2H5	0.135
EDG8	-1.04466666666667
C9orf140	-1.0565
UST6	0.0785
ZBTB8OS	0.12725
ZNF710	1.12
GPR174	-0.4255
ATP6V0A2	-0.20375
KIAA0319L	-0.891583333333333
XKRX	-0.0935
DOPEY2	0.8006
SDHD	-0.816833333333333
SUMF1	2.085
OSM	3.5895
OPN3	0.762
DAGLB	-0.1845
PPFIBP1	0.4166
TRIM63	-3.44575
C10orf53	0.309
LYPD3	1.10733333333333
BCL7A	-0.534375
AGER	-1.01633333333333
TCF19	-0.993625
SAT2	-0.42225
PFTK1	0.103666666666667
GABRE	-1.81625
C15orf38	1.9069
FIS1	-0.623
KCNV2	-0.00725
CLPS	1.93325
PPCDC	-0.94975
FOXN2	0.271333333333333
NT5E	-1.7742
CD83	2.10725
IL18	0.695625
VPS16	0.70575
IGFBP2	-0.835833333333333
NOTCH2	0.3925
SIGLEC1	3.924375
CD93	5.4805
SULF2	0.91925
CEP164	-0.629125
P53AIP1	0.189166666666667
TOR2A	0.0241666666666667
ZNF136	0.3225
MGP	3.0413
CCDC144A	-0.0463333333333333
TRPC1	-0.3925
SMS	-0.870166666666667
MAPK7	-0.432333333333333
RRAGC	1.00125
PARD6A	1.1375
NUB1	0.243666666666667
SYNGR4	1.26125
OR11H12	0.216
WIF1	0.236625
GCH1	1.66325
OR11H4	0.7475
SLC44A5	-0.147
GPRIN2	0.472
LOC401431	-0.3115
CPA4	-1.9432
MELK	-2.855
IL15RA	1.46925
CUL3	-0.57825
HMBOX1	-0.2545
PODXL	-1.547
CCT6B	1.01416666666667
COMTD1	1.093
MUC20	-0.034
GPX2	-3.3685
ITK	0.171625
FBXL5	0.6065
C13orf27	-1.5635
DEFA5	0.543
TRHDE	-0.5285
MTP18	-0.917166666666667
UQCRQ	0.2715
ITGB2	2.05475
CSRP2BP	1.2555
TAS2R44	0.351
PHPT1	0.721
FAM44C	-0.497
ERH	0.006
MPHOSPH1	-1.67766666666667
MORC1	-0.2825
PARVB	-0.80425
LAMA1	-1.51266666666667
PGBD3	0.12625
GIMAP6	4.60825
AREG	-3.29616666666667
LIPT1	0.05775
MGC99813	0.34375
C1orf201	-0.206166666666667
GRIN2A	-1.01422222222222
MAN2C1	-1.126875
NSUN5	0.39275
SF3B5	0.44025
MYC	-1.5435625
NRXN1	0.151833333333333
ZNF18	0.42125
SPDYA	0.134875
SLC37A1	0.48
DECR2	0.8715
ANKRD38	0.715375
SPTLC3	0.565083333333333
SUPT16H	-0.274
DTWD2	1.36825
ULBP1	-0.116
ZADH1	-0.0311666666666667
OIP5	-1.764
IL10RB	0.0953333333333333
OTUB2	0.8595
VWA3A	0.310666666666667
SPIC	0.873833333333333
OR6C4	0.2825
PSCD4	1.5245
DPY19L2P2	1.0865
TRAPPC6A	-0.3105
C21orf2	-0.820833333333333
CEMP1	0.60525
LIN7B	0.5855
E2F7	-2.40633333333333
VCP	-0.101666666666667
LAMA3	0.217909090909091
BGN	2.63925
GPR160	-0.134666666666667
COCH	-4.52883333333333
GPR81	1.79333333333333
APOBEC3F	-0.741
tcag7.1017	-0.294
C1orf32	1.0325
SCGB1D2	6.85625
FLJ43987	-0.596
C6orf170	0.645
KLK9	0.266
GPD1L	0.548
VPS37B	0.4885
ATG3	0.1885
ADAMTS17	-0.1485
KLHDC2	0.0406666666666667
NDUFV2	-0.33575
BLK	-1.97725
MATN4	-0.996
GPM6A	2.31475
GBP4	4.52983333333333
TMEM162	0.473
PKP2	-0.337
HRASLS	1.802
MMP1	2.59225
SFXN3	0.1108
FSD1	-1.53283333333333
ST6GALNAC3	-1.84783333333333
CA12	2.1354
NCOA6	0.2845
C19orf58	-0.0816
PPP4R1	-0.0368333333333333
MAN1A2	0.9155
IKBKAP	-1.15
UPF1	-0.157833333333333
KIAA1219	-0.04975
WNT16	0.7225
SNW1	0.335
IL18RAP	3.14375
RPP30	-0.419
CDC40	0.1965
SETD3	0.671666666666667
SLAMF6	0.94925
ELK4	-0.3
TRIM47	0.9215
ACOX3	1.112125
TRIM6	0.626
KIAA0372	-0.472833333333333
TP53AP1	1.23075
SMURF2	0.3625
ADAD1	0.44775
EBP	-0.4554
KRTAP13-2	0.216
FLJ36874	-1.38683333333333
TOR1A	0.148833333333333
P2RY4	1.0045
GPBP1	0.758
TRPV1	-0.42775
ADAMTS12	1.26
PES1	-0.2719
ATG4A	1.11233333333333
MAGEA10	-4.0975
WFS1	0.4835
CC2D1B	-0.308833333333333
PABPN1	0.260375
SLC25A30	0.51675
SLCO1C1	0.081
SLC22A5	0.992
KIF23	-2.094
SYN2	-0.7645
ASPN	9.04083333333333
CENTG2	-0.50875
QSOX2	-1.7106
FLJ10815	-0.0631666666666667
STK24	-0.8034375
SPEG	0.3592
STK10	0.725666666666667
DACT2	-2.415
AAAS	-0.54575
SSX3	-1.732625
ABCD3	-0.3225
C4orf12	-0.687
PARVG	1.33916666666667
FIG4	0.86775
C9orf46	0.49325
TMCO6	-0.7805
IGHMBP2	-0.2505
DUS2L	-0.0706666666666667
FAM3C	-0.0733125
TMEM16D	-1.634375
DCTN4	0.10125
KCNH3	-0.378
EIF2AK2	1.37375
AP1S3	1.821125
CST4	3.0445
PAM	0.8240625
NUTF2	0.15125
CITED2	0.018
SLC39A4	-0.204
C2orf52	-0.081
GRM3	-0.363
C12orf49	0.997375
CCDC49	0.3261
GRAMD1B	-0.898875
FNDC4	0.45925
SIAH2	-1.273875
GDPD4	0.0695
C21orf87	0.552125
ATP5A1	-0.367833333333333
C16orf63	0.608375
LOC388135	-0.6135
ATP5J2	-1.298125
MMP3	1.242
EMID2	0.403
CRHR1	0.55225
WDR70	0.5035
C13orf31	2.21025
ZFAND1	-1.08725
CCL18	4.40483333333333
C3orf49	0.3295
RINT1	-1.5015
KIAA0408	-1.34083333333333
F13A1	5.4512
SLC10A1	0.000999999999999982
OGN	2.62225
GIPC2	-0.949
XPO6	0.3965
LCE1A	1.124
FMR1	0.1154
LOC374920	-0.40525
DUSP3	0.635375
ANKMY1	-0.67125
C7orf50	-0.5515
BBS9	0.4205
UNC119B	-0.80825
C9orf72	-0.321125
MGC35440	-0.86225
ENTPD6	-0.788125
PPP1R2P9	0.74575
ERCC4	0.57275
FAHD2B	0.043
HMHA1	0.4015
HACL1	-0.71075
RAD23A	-1.06166666666667
FAM83B	0.82825
PPP5C	-1.33133333333333
RNASEH2C	-0.121125
C9orf153	-1.17525
SCAMP4	0.546375
GHITM	0.5424
NDUFB7	0.238
ADCYAP1	-0.198833333333333
SP110	2.95366666666667
MAP3K7IP2	0.74
DHH	0.046
AGRN	-0.519571428571429
WDR33	0.0126666666666667
CEP290	-1.04566666666667
PRPS1L1	-0.776666666666667
KLRA1	-0.738
GPR97	-0.021
CHD7	-0.65875
TLR10	1.02625
SLC30A8	-0.1625
HIC1	1.782
IAPP	-0.306
RXFP4	0.49525
GP1BB	1.02325
SHQ1	0.0145
NKX2-3	0.1745
API5	-0.05725
FTHP1	1.827
MOV10L1	0.651666666666667
TRIM6-TRIM34	2.10016666666667
ADHFE1	1.7825
FAM117A	-0.08525
DDI1	-0.0195
CDON	-1.32333333333333
TRIM73	-0.484
IGKC	5.124
MMP14	0.600333333333333
DYNC1LI1	-1.145875
C11orf66	0.1895
TRBV3-1	-0.7445
FASTKD5	0.47475
BIVM	-1.2365
LHX4	-0.2335
CXCL2	-0.8251
RAB2B	-0.445166666666667
IZUMO1	0.01525
MAP3K15	-2.235
FAM19A2	0.483833333333333
ZC3H8	-0.234166666666667
ZMAT1	1.642625
SPINK5L3	-2.16175
SLC10A6	0.1325
APPL2	-0.2735
CARD10	-1.2385
LOC402176	-1.19525
EEF1D	0.6949
RAB6A	0.9698
C12orf5	0.283
PAPOLG	-0.07725
MSRB2	1.122
BCR	0.3755
PUS3	-0.45225
TIAM2	0.75825
ZNF317	0.0815
CHD2	-0.205
FZD5	-1.26509090909091
NUDT8	2.5485
ZNF763	-0.5175
PRC1	-1.56188888888889
ABCB9	1.48033333333333
SPATA3	0.4425
TRAK2	0.144
STAB1	3.149
LRRTM2	-0.237166666666667
psiTPTE22	1.13975
DBI	1.17025
SERPINA11	-3.11475
NAT5	0.6495
C20orf58	-1.82625
RPS6KA4	0.132666666666667
FLJ90650	-0.3625
TGFBRAP1	-0.35175
CHRDL2	0.354125
FAHD2A	-0.283666666666667
CNTN1	0.99
BBS4	-0.7723
TMEM181	-0.79175
MINPP1	-0.146
MPHOSPH6	1.79675
HOXC10	1.1502
ITPKB	-0.55875
CLPTM1L	0.869125
MEOX2	-1.18516666666667
ATP6V0C	1.273625
PRPF8	-1.02733333333333
TMC5	5.4415
FKBP3	0.1365
PLEKHB2	0.04175
OR4D6	0.4005
ZNF544	0.4927
D2HGDH	-0.38125
RPL18A	0.1389
HEL308	-0.085625
MPP6	-2.9875
TCERG1	-1.84775
KRT16	0.3645
KLF17	-0.902
KLF5	-2.75275
CDR1	2.162
VCX3A	-4.038
FBLN2	2.975125
C14orf104	-0.0515
HBE1	-4.5833
OR4S2	-0.1525
C1orf108	-1.05133333333333
ROBO4	3.87616666666667
CPEB4	-0.242125
C11orf80	-0.6005
BCKDHA	-0.136833333333333
MYOC	0.36525
GIF	0.82
CKMT1A	-0.841
RPL3	0.1874
THBS1	2.826125
APOO	-0.6155
ARMCX1	2.04975
HSZFP36	-0.34025
SNAPC5	-0.3645
EIF4ENIF1	0.9875
ZNF433	-0.508
TNFRSF21	-0.366
TMPRSS7	0.386
SPATA18	0.3217
HPDL	-0.34
MKL2	1.3845
TBX3	0.0236923076923077
C21orf93	0.4775
DAXX	-0.28375
ELMO1	0.683
RGS13	1.91316666666667
TAF11	-0.9175
UNC13A	-1.92325
LOC653314	0.9244
ORC3L	-1.193
IMAA	-2.0185
TARBP2	-0.40875
CABIN1	-0.0546
TRIOBP	-0.0334375
HIST1H2AC	1.12425
RGS22	-2.48266666666667
NCOA1	2.25683333333333
IL25	1.7335
SNCG	-0.0015
GPR6	-0.2425
AMDHD1	-1.71283333333333
CHEK2	-0.5735
C6orf142	0.29375
DRD4	0.83775
C14orf68	-0.7405
GDF11	-1.79125
SEMG2	0.6965
CD247	0.494
CDAN1	-0.8835
RBMX2	0.190333333333333
TGS1	-0.95875
OIT3	0.41525
SYF2	-0.194
MCM4	-2.26875
PKHD1L1	1.2455
CEP192	-0.692166666666667
IFT88	-0.676
RPL9	-0.445857142857143
RAB32	0.561
DDX43	-0.30175
P2RX2	0.193666666666667
OR5D18	0.0665
UBE1	-0.30775
SLC24A1	0.6085
ARHGAP5	0.454
CETP	-0.30075
KIAA1731	-0.568666666666667
SLC9A4	0.204
PTPN6	1.487
BAHD1	0.44025
GRIK3	0.595
CACNB2	-0.897
PDE10A	2.44425
DGCR14	0.03725
PCDHB9	0.435166666666667
RHOQ	0.598166666666667
MAP3K4	0.371
KTI12	0.486166666666667
RPL23AP13	-2.38725
GNG11	-0.61425
CLCN3	1.99533333333333
GPAM	-1.00725
VSTM2A	0.1425
SLAMF7	4.1905
INTS2	-0.698
PPP2CA	0.4763
LRP12	0.3998
SEC14L2	1.53
DKFZP586H2123	1.56975
MC3R	0.376
CIRH1A	-1.04666666666667
HIST1H2AB	1.58766666666667
POLH	-1.373125
MGC16703	-2.60466666666667
SNAPC2	0.438
FILIP1L	1.57125
RASGRP4	0.373
LRRC1	2.787
GAS1	2.31975
PRAC	-0.205
DGKA	-0.9925
NT5C3	-0.1965
PEG3	-1.56875
NADK	-0.65675
PRR17	1.72675
LOC374569	-0.00800000000000001
SGSH	-0.263833333333333
NLRP8	-0.1715
GALT	-0.69
MCF2	-0.525
ZNF263	0.848
TACSTD1	1.3045
TYR	-6.2257
ATP6AP2	0.5035
RNUXA	0.01475
ABHD10	0.0155
GDPD2	0.95375
SLC35C1	1.5495
UBE2A	-0.047
HERC5	0.7055
FAM112B	-3.886
FBXL16	2.38625
DKFZP434A0131	-0.47125
ELA3A	-2.0535
RBM41	-0.39325
HAO2	-0.075
RNH1	0.280625
SHANK2	-0.0595
OSBP2	-0.025375
DAK	0.476666666666667
C3orf58	0.0733333333333333
TCL1B	-1.478
KBTBD2	-0.636625
SUGT1L1	-0.16625
UBE2E2	1.33183333333333
MYL9	3.145125
CDC23	-0.662
PBXIP1	1.7102
CXorf40B	0.645
NBL1	1.609
RTBDN	0.49
RAB11FIP5	0.390375
TTTY13	-0.2165
SCOTIN	0.500666666666667
SOHLH1	1.65316666666667
CDKN1A	0.204642857142857
NCK1	0.40775
ZNF550	0.606
SAPS3	0.93
SPIN3	0.194
MAGEE2	-0.17925
MIS12	-0.896
OR8H2	0.638
KIAA0774	-0.584
UNC5D	-2.4885
CUL7	-1.009
LIPC	-1.41816666666667
DIO1	-2.73775
C20orf11	0.3453
CTRL	-0.424
HS3ST2	1.33575
PAK4	0.340666666666667
CCRL1	5.01425
RNF10	0.445625
ZNF567	-0.58925
ZNF660	-1.3655
TCEAL3	1.09375
MAGOH	1.55933333333333
CENPB	0.559166666666667
C19orf7	0.7545
LOC388965	0.11475
ZCCHC13	0.6725
JMJD1A	-1.1931
HIST1H4H	2.176
TBRG1	-0.8863
GPC3	-4.587125
TAF1C	-0.844
EBNA1BP2	-0.407833333333333
CIAPIN1	-0.04725
PDGFRA	0.416777777777778
CSTB	-0.664125
CENPI	-1.03266666666667
GTF2E2	-0.642166666666667
RPP21	-0.0455
CCNF	-0.73
KCNQ3	0.9575
FAM79A	0.75925
SLC22A12	0.5555
NOVA1	-0.801166666666667
FZD3	-0.9339
AKAP8	-0.1585
SOCS5	0.353
CFDP1	0.1965
DLG5	0.795
PGM5	-0.21075
C1orf144	0.332833333333333
HDAC10	-0.7835
RND2	-0.91925
C20orf199	-1.17975
RNMT	-0.277125
SLURP1	0.561875
ASTN1	1.306125
SH3BGR	1.25575
MYCL1	-0.268125
ZHX1	0.510833333333333
CENPK	-3.3555
FOSB	0.1166
LOC643406	0.243
C2orf59	0.0642499999999999
TMEM135	1.44925
SLC27A2	-1.75975
KRT33A	1.07
OVOL1	0.028
PAMCI	-2.67283333333333
S100A7	6.842
ZNF789	-1.3055
HARS2	0.38325
RPL23A	1.76483333333333
TCF23	0.4745
UPF3B	-1.56125
C17orf78	0.135
HLA-DOB	2.245
C14orf142	0.469166666666667
TEKT5	2.2255
DMWD	0.17
POLD1	-1.71066666666667
GSCL	-0.123
CALD1	0.5415
SCRT1	0.703
AIG1	1.618
UNC84B	-0.06775
ZNF404	-0.7385
TMED6	-2.9575
KIAA1462	1.0095
LRRC27	1.51883333333333
PYGO1	-0.898
PIGU	0.176
ALAS2	-3.5355
WRNIP1	0.3675
CNNM3	-0.4805
ZNF2	0.67625
ST3GAL5	0.0501666666666667
MRPL23	-0.0915
TSSK6	-0.8825
PSMA6	0.64825
C16orf70	-0.44775
KIAA1602	0.5535
ALMS1	-0.2895
DCN	3.864375
TMEM132D	-0.889
SUCLG2	0.21175
ABHD14A	-0.29675
DEXI	1.01633333333333
AMPD2	-0.537
IFNAR2	-0.105833333333333
CYB5A	2.7408
TLOC1	0.09865
NXF5	-0.0998333333333333
NRBF2	0.7255
KCTD3	0.739
ITGAE	-0.833833333333333
SLC30A3	-2.04333333333333
ZRF1	-1.4825
IFRD2	-0.9325
XAB1	-0.26375
PYCR2	-1.07316666666667
SERPINB3	-3.841
TMLHE	0.461
GEFT	-0.600125
ABCA5	-0.841625
EMR4	0.121
TSFM	-0.16775
HIST3H2BB	1.54825
ARHGEF19	0.04925
TSPAN17	0.430333333333333
ABCC8	2.667
MAP1S	0.343
C22orf36	2.03675
BNC2	0.366428571428571
HIST1H4A	0.02175
NDUFS3	-0.248166666666667
WDR3	-0.361166666666667
XKR4	-0.495
TTC33	0.353071428571429
STMN2	1.93375
CPN2	-0.769166666666667
HSPC105	-2.179125
PCOLCE2	-5.14675
C3orf55	2.521
KLHDC9	2.99183333333333
TBC1D23	-0.427875
ATXN2L	-0.787
MAP2K3	-0.0588333333333333
SCAP	-0.95975
ZNF486	0.924333333333333
C20orf96	0.33075
NARS	-0.54975
ADAMTSL1	-0.558357142857143
PRCC	0.534833333333333
CCDC126	1.8225
ZNF675	-0.755
CALCOCO1	0.52175
ANKRD43	0.6775
CWF19L2	-0.1555
ZBTB32	2.48233333333333
BRAF	-0.30575
ODF4	0.57125
MGC14376	1.204
HORMAD1	-2.482
AAK1	-0.0799166666666667
PEBP1	0.62
TNFSF5IP1	-0.0496666666666667
DKFZp564N2472	0.31825
RMND1	-0.62875
IGKV1-5	4.63325
COL1A2	3.65366666666667
SERPINA5	-2.066125
AANAT	0.9205
C19orf21	1.0475
GEMIN5	-0.39125
UBR4	-0.539
LTBP3	0.5275
AMHR2	-2.331
PROCR	-0.4145
MYBBP1A	-0.92175
C20orf39	2.32616666666667
ZNF697	-0.397125
PASK	-1.4136
ZNF776	0.803666666666667
RFXDC2	0.263875
KIAA0467	0.12975
C10orf96	-1.64375
ZNF503	-0.552
GULP1	1.16033333333333
KCNE4	-1.76966666666667
DKFZp434K191	-0.70825
LOC196913	0.182
BHLHB4	1.0395
CH25H	1.064
LOC81691	-0.221666666666667
ALPL	-0.281928571428571
COL12A1	4.01775
FOLR3	-2.42
GPR123	-0.148875
TRIM62	0.883071428571429
ABLIM1	1.0075
MAST3	-0.3255
RHBDD1	0.584333333333333
LOC338809	0.0215
RYBP	-0.1615
TTC26	0.1175
ZNF22	-0.1175
ISCA2	0.42525
RDM1	-1.83425
PIGM	1.54525
GNB3	-0.98
ACTR2	0.4447
HMGB1	-0.2165
EDG1	2.90716666666667
SOAT2	-2.7215
OR10AD1	-0.0205
RAP1GDS1	0.443083333333333
LCE1F	0.6045
ESM1	0.8105
RCN3	2.87575
CREBL1	-0.27775
DBNL	-0.0536666666666667
PTGER3	2.55725
USP30	1.291
BCL2L12	-0.715333333333333
KIF26B	2.62725
ZNF416	0.96
ZNF225	-0.229
C17orf70	-0.1915
ZNF554	0.37825
RAE1	-0.885833333333333
TNIK	2.46166666666667
ACTN3	1.6125
MGC45922	0.9795
CCNA1	-0.428166666666667
RYK	0.737666666666667
IL26	0.753
LRP3	0.725666666666667
QARS	-1.036
SOX7	0.929
BID	0.24125
OR2S2	0.376
CXCL14	4.126
C11orf47	-0.592
MGC29891	1.282
HSPB8	-0.1976
PRDM14	-1.203
NUFIP2	0.296
MNAT1	-0.78075
ZDHHC2	-1.23508333333333
MBNL2	0.00162500000000002
ADD3	-0.061875
CSNK2A1P	0.0925
KLK6	-1.90266666666667
TMEM111	0.3522
KIAA1279	-0.08825
NUBP2	0.480833333333333
RAB42	-1.1235
ID3	-0.3218
TM9SF1	1.059
MDP-1	-0.4975
POU4F2	-0.3955
IQCK	2.9095
C16orf14	0.2055
CAPN3	-1.382125
FAM43B	-0.30425
RECQL	-0.29525
AP1G1	0.278428571428571
CTNNBL1	0.093
ECHDC1	-1.43316666666667
SMARCC1	-0.9336
FOXQ1	-1.159875
GNAI3	0.51
POLG2	-2.01775
CD4	1.604125
ITLN1	-0.44425
EBI2	3.94675
IRF1	1.4185
PTPRE	1.1306
PTK2B	-0.31575
NXNL2	-0.8155
SOX4	1.49205555555556
TSPAN3	0.885
SH2D1A	-0.672
C8orf58	-0.429833333333333
USP20	-0.965
DUSP22	-0.805
CALB1	-2.27666666666667
L3MBTL2	0.786083333333333
MCRS1	-0.431
TMEM118	-0.585666666666667
C18orf8	0.300166666666667
FLJ10241	-0.970875
GJA12	0.826
PKD1	-0.134166666666667
ZFP3	0.1735
JAM3	-0.527375
LAPTM4A	1.5509
DIRC2	1.14625
KIAA2022	2.00683333333333
MYOM1	0.190333333333333
TRPM8	-2.73033333333333
MOP-1	1.4965
PHKG2	0.254125
ZNF650	0.014375
KIAA1522	0.890875
PSG8	-2.29116666666667
DDX19B	0.0375
MOBKL1B	1.19675
DIAPH2	-0.530833333333333
PTPN12	-0.12425
CLN8	-1.2074
CRYZL1	-0.376833333333333
CRY2	0.56375
FCGR2B	4.12
PNPLA4	-0.30175
ZNF454	-0.0975
DKFZp434B1231	-0.105
CLDN11	0.6909
RFWD2	0.746833333333333
CIB2	-0.657166666666667
MXRA8	3.6945
HRK	1.0305
MAML2	-0.162
C4orf31	-0.5435
C6orf192	1.40525
COG6	0.3685
FAM5B	-0.42925
NFATC1	0.3378
SEPT10	-1.19075
SCYL1	-0.2759
RPP40	0.02975
SCOC	0.6374
KIAA1450	0.62425
CTDSPL2	-0.089
TBX5	2.10716666666667
NAPG	0.80825
RHD	-4.63575
C14orf45	2.40733333333333
ZBTB22	1.146
PLCG1	-1.173
ANKRD10	-1.4515
AQP7P2	-0.321
TAGLN2	0.241833333333333
HTR2C	-0.991833333333333
SLC16A7	-0.963166666666667
C17orf83	-0.708
TSGA14	-0.962666666666667
MDH1	-0.2925
PPP3R2	-0.0536666666666667
DCBLD2	-0.943
RBM33	-0.18675
DPH3	-0.74325
SYT10	-1.048
FMO4	5.558875
THYN1	-0.5545
DRD5	-1.415
OTOR	1.998
PGRMC2	0.5183
KATNAL1	-0.516375
PAQR6	-1.009
UBE2I	0.48775
C14orf28	1.75675
C8orf70	-0.001
FLYWCH1	-0.1055
ANGPTL3	-0.816333333333333
GLRX2	0.236833333333333
ATP11A	-0.624142857142857
ARL5B	1.317375
MUC16	-2.8205
SLC25A5	-0.574214285714286
ACRC	-0.08625
MYO1C	-1.128625
FAM89B	1.14033333333333
FAS	1.290375
KIFAP3	1.516
GLRA2	0.224
BTN3A2	1.3254
CNKSR3	0.327125
CSTF3	-0.356333333333333
ARPM1	2.51525
KIAA1530	0.000999999999999999
C9orf150	0.8585
PRKCI	-0.1225
tcag7.1015	-0.93675
SOD3	0.007
ZNF574	0.23175
CYP21A2	2.54925
RPL12	0.05375
COMMD2	-1.0585
WIZ	0.47675
LOC344405	-1.13575
ALDH4A1	0.331117647058824
CRYAB	2.0955
COPA	0.6471
PCDHGA7	1.21866666666667
KIF11	-1.1935
RASD2	-0.12025
SLC26A3	0.577
ZNF175	-0.687
JAKMIP2	-1.728875
C8orf4	1.17266666666667
PTHLH	3.115
SLC40A1	1.80416666666667
OR7D4	0.687833333333333
PCDHB17	1.09
CD36	2.46371428571429
C6orf203	0.7943
PRKG2	0.2695
LOC400566	0.09225
ANAPC13	-0.37625
SLCO3A1	-1.158
ZNF692	-1.3005
FANCL	-0.9
SH3GLB1	1.2985
C12orf61	0.0925
KBTBD6	-0.27475
SUPT5H	-0.2915
XRCC6	0.142
HUS1B	-0.3225
FAM133B	-1.06257142857143
LOC728276	-0.477
KCTD18	0.74275
SOS2	0.473666666666667
CCDC99	-1.79
C1QTNF5	4.049
NNAT	-0.385833333333333
USP16	-0.40625
LARS	-1.109375
ZBTB2	0.2345
ABO	-0.131333333333333
TRAF3	0.24325
GALNT5	-0.6515
NAP5	0.2555
ALG14	0.814833333333333
KIAA0515	-0.345807692307692
WDR75	-0.969166666666667
TEX261	0.36675
LY86	1.55475
LOC389072	-0.993
FLJ13611	0.46025
MRGPRX2	0.519
SNRPA	-1.31
OR2G2	0.6125
GPRASP2	0.13675
C7orf42	1.0062
C9orf163	-0.591
CYP11B2	0.5555
FCRL3	1.98916666666667
PRDX1	0.846
FGB	-2.91666666666667
COX17	0.259166666666667
C16orf33	0.45525
PIWIL1	-0.575
FOLR1	-2.7215
KIAA0082	-0.31925
FREQ	-0.701
TMCC2	-0.96
TCF12	-0.12
ZNF721	-0.80475
FAM130A2	0.0815
POU4F1	-2.50025
SNRPF	-0.763625
SGIP1	2.44166666666667
ZNF641	0.5325
EMG1	-0.22
PRRG4	0.8265
HIRA	-3.26675
MYNN	0.428
AEBP2	-0.371583333333333
TBXA2R	1.35333333333333
ISL2	-1.4215
PCDHB11	0.9755
RNF144A	-0.23625
MARCH5	0.000250000000000028
DULLARD	-0.575333333333333
DCLRE1B	-0.320833333333333
ITGA8	0.709
TP73	-0.44425
PRKCD	1.39575
NDUFB4	0.0285
ATP13A4	4.61625
ANTXR2	-0.0296666666666667
COL4A3	0.806
MYO10	-0.658
SLC6A18	0.686
PEX1	-1.064
TMEM74	-1.94733333333333
RBM19	0.41525
TAPBP	0.92435
RUNX1	0.49225
MID1	-1.98425
GPR64	-1.18016666666667
RASEF	3.46175
GABRG1	-0.043
MYO16	-0.8415
DBF4	-2.16816666666667
TSHZ2	2.81775
RIPK2	0.095125
PPTC7	-0.322833333333333
KIF4B	-0.9365
LRRC31	3.907375
ZNF540	-0.762
EFNB3	-0.221333333333333
LOH12CR1	1.747
STON2	0.716833333333333
GLP1R	0.2095
CSTF2T	-0.191375
IREB2	-0.586625
GRSF1	-0.23825
PDCD7	-1.33716666666667
LRRC43	0.6195
CNR1	-0.3115
IL1F7	-0.0915
C12orf64	-0.735666666666667
FAM69B	-2.0445
NR2E1	-2.70816666666667
MS4A6A	3.355
FTL	-0.3501
C7orf36	-0.188
PCLO	0.6981
DYRK2	0.937666666666667
ARIH2	-1.337875
SAMD7	0.406
SCNN1D	-1.5575
SLC32A1	-0.80275
C22orf25	-0.4155
MRPS18A	0.5532
GPR112	1.138
EARS2	0.222
ERN2	0.803
ATPBD3	0.287166666666667
PRH2	0.182
CDKN2D	-0.258166666666667
PGLYRP2	-0.40675
TRIM40	-0.38675
SEC14L3	0.636666666666667
SLC22A1	0.073
BTN2A3	0.1765
RASA4	0.23275
CCNL2	-1.64058333333333
MYBPC3	0.931
GJA4	3.8045
CDC42SE1	1.456125
TRPV2	-0.286
MYPN	-2.2518
SIM1	0.852
CDADC1	-0.420083333333333
ZFHX4	0.80525
NIBP	0.151833333333333
ADAMTS19	0.475
ABTB2	-0.58
TSPYL2	0.00575000000000001
EIF2S3	-1.2495
SOX30	0.16025
AP2A1	-0.131833333333333
DKFZP564O0523	-0.624
LOC285398	-0.501
CDH18	-4.31875
CHL1	2.5375
GATS	-0.7884
TBC1D2B	0.684666666666667
OR1J1	0.1015
GSN	1.47033333333333
DPCR1	0.45275
GARNL4	-1.26566666666667
SMARCA5	0.151
PLEKHG3	0.434666666666667
ZBTB45	2.0375
FRMD6	0.383
PLS1	0.406833333333333
DGKZ	0.3225
EFNA1	1.5498
WDR85	-1.048375
ANK2	0.085
PAGE4	-0.6255
SENP6	-0.503666666666667
AKR7A2	-0.617666666666667
FKBP10	-0.19125
VEGFC	-1.221
LARP1	-0.245
SRBD1	0.9385
ITGB6	5.8695
SLC1A2	-0.301230769230769
INVS	0.0523333333333333
MPO	0.93475
MOBKL3	-0.4435
CUTL2	3.422
KLK2	0.01725
VIM	-1.15125
REG1B	-0.210166666666667
PCDHGC4	-0.325
C3orf34	0.0888333333333333
SUMO3	0.331833333333333
CST9L	-0.88075
MLL4	-0.9535
SPR	1.803
SAMD9L	2.91525
ABCE1	-0.5445
SUPT3H	-0.0488333333333333
ACTBL1	-1.3185
ADAMTS4	2.304
SLIT3	3.49575
RHEBL1	-0.53475
NPM2	-0.99075
MAN1C1	1.998625
KIAA1856	0.848
HSPA6	1.16125
LOC388152	-1.5975
C10orf140	-0.50025
ZDHHC12	-0.032
LIN7A	-0.3283
PHC2	0.0454166666666667
SPHK1	0.548
TRIM26	0.904875
FAM83E	-0.896
C18orf24	-1.797
ZNF578	0.645
ORAI1	-0.188
RUVBL1	-0.220583333333333
C7orf20	-0.800166666666667
APAF1	-0.313
SLC36A4	-0.1845
MYH11	3.54416666666667
NEK1	0.2281
MPP2	-1.485375
C12orf24	-2.67075
TNK2	0.3921875
ZNF289	-0.75825
MATN3	0.745571428571428
IFNGR2	1.10816666666667
ITPR1	0.149375
EBF3	3.0336
TBC1D20	1.3405
OR10P1	0.61575
DDAH2	0.63225
SHPRH	-0.5275
STX7	0.466
LOC554248	-1.22875
BCAR1	0.586
