Hybridization REF	TCGA-A2-A0EU-01A-22R-A056-07
PRKACG	0.35175
ADCY6	1.1875
C16orf46	0.493
CYP51A1	-0.15475
DDC	-5.95425
ANPEP	2.8105
PROM1	2.00666666666667
SIGLEC10	1.57875
COPG	0.624
FAM26E	1.4265
TRIP4	0.526
SNX3	-0.163166666666667
C1orf175	0.236833333333333
PPY2	-0.03375
C14orf152	0.49
FTSJ1	-1.07283333333333
DST	-0.6744
LOC554235	-0.2575
GLRX5	0.01725
C20orf12	2.2935
CAB39	-0.0645
MSH2	-1.58483333333333
PIP4K2C	1.52525
CYLD	1.091875
WTAP	0.5893125
MGAT4A	1.66455555555556
TSC22D4	-0.7496
CHRM2	-1.8465
PPYR1	-0.145333333333333
CCNH	-0.418
RRM1	-0.1255
ECAT8	-3.688
LOC400120	-0.2355
GABRA4	-0.257
C14orf4	1.48383333333333
C1orf59	0.6355
CTDSPL	-0.00366666666666667
NHEDC2	-1.359
PDE11A	-1.8074375
KLHL29	-2.181
CD5	-1.5182
TSPAN9	1.697875
WDR67	-1.48975
THUMPD1	1.8283
C18orf17	1.10025
CLYBL	0.0381666666666667
FLJ13231	0.292875
CMBL	1.09575
LECT2	-0.40325
NKAPL	1.7755
LOC654780	0.283
OR4C6	null
RAB30	3.169
TSSK4	-0.9315
TMEM163	0.4975
OSBPL11	1.463
GNB5	-0.374333333333333
CCL21	0.2945
C1orf121	-0.472
FMO2	1.5875
RPTN	0.26
MSTN	1.164
VCL	0.322142857142857
FYTTD1	0.5015
C11orf1	0.82825
CCDC88C	1.292375
HFE	-0.713222222222222
MOGAT1	-1.3345
FAM125B	0.085
IRGQ	0.5755
RAVER2	0.075
AKAP5	-3.1825
SSSCA1	-0.18825
C11orf63	0.5575
ACTG2	-0.384
PORCN	-0.824
DTL	-1.48490909090909
TMEM151	0.405
FAM122C	-2.134
RSAD2	3.6602
BAT4	-0.17
KRTDAP	-3.4245
MYH8	0.557142857142857
CRTC3	0.459
LRRFIP2	0.8663
INTS4	-0.373666666666667
TTN	-1.638
SLC26A5	0.9595
PLLP	-0.88075
RGS6	-1.435125
SRGAP3	0.384428571428571
ZNF525	0.718666666666667
NBR2	-0.1235
C13orf1	0.2799
ZNF137	0.857
CEP27	-1.57175
BEST2	0.314
RNF121	-0.56925
DMRTC2	0.523666666666667
C8orf76	0.76575
BCCIP	-0.142375
MEST	-0.63875
HTRA2	-0.8815
ANGPTL2	-0.065
ILKAP	0.274333333333333
ERAS	-0.516
HBS1L	-0.573375
CPA5	-0.0575
TMEM30A	0.880333333333333
CD300LF	1.20633333333333
WISP3	null
CRK	0.680285714285714
PDS5A	0.0509
BRPF3	0.475166666666667
NEDD9	-0.906125
SMPDL3B	1.03175
PSG6	-0.13875
PSMD13	0.48425
ETV5	-2.7000625
OR51A4	0.118
BTBD7	0.225333333333333
GSTO1	-0.79825
hCG_16001	-0.4635
MAD2L1BP	-0.253666666666667
COX6A2	0.468
SCNN1A	2.89933333333333
LSM1	0.897333333333333
UGT2B11	-4.1395
IDUA	0.234
PPP2R3C	-1.01483333333333
COX11	-0.356833333333333
PDZK1	-2.19975
ZNF443	2.06183333333333
MGC21874	1.40966666666667
ZNF323	0.8008
KRTAP10-10	0.228
CXCL6	-0.77075
SLC34A2	0.021
LOC284402	-0.039
NPTN	1.22541666666667
UPP1	-2.44541666666667
SLC6A9	1.2185
OR7G3	0.0765
CISD1	-0.795833333333333
ZNF545	1.04433333333333
SYT14	-1.8515
NT5C3L	-0.168166666666667
ZNHIT3	0.134666666666667
SNRPD3	-0.2865
KIAA0701	0.878125
UNC93B1	-0.510333333333333
GMNN	-1.818125
SPCS2	0.881
LOC388524	-1.052
NAPRT1	-1.26175
PNLIPRP1	0.710333333333333
OR6V1	0.238
PRKAB1	0.4
EYA4	-3.06366666666667
KIF20A	-2.15275
ALG10	0.318
ITPKC	1.202
LMX1B	0.443333333333333
RPUSD4	-0.2395
C7orf34	-0.3024
DLGAP2	0.605
PFN1	-0.381
MICALL2	-1.07891666666667
ZNF654	1.0905
SS18L1	0.063875
SLC16A8	-1.00075
MKI67IP	-0.1315
ITGB3	-1.078375
TCEA3	1.96508333333333
CEP152	-2.115
CLIP1	3.418875
ZNF75	0.4635
ATP5C1	-0.144
NUDT5	-1.46
PSCDBP	-0.37075
UBP1	0.31075
RBM27	0.19475
C13orf15	2.389
ZNF282	-0.0816666666666667
ZNF222	0.7014
COL10A1	5.943
PRDM15	-1.26375
TTTY5	0.808
FAM9C	-0.597363636363636
C20orf67	0.40025
GNG13	0.1515
F12	-3.02775
C1orf41	0.12125
CPXCR1	-0.6985
GSK3A	0.471875
SUPT6H	-0.411333333333333
PI16	1.5315
ELL2	-0.979166666666667
C9orf167	-2.10483333333333
PVRL3	-2.1096
FLJ38596	1.7305
ADAM20	0.075
GPR89A	0.157
GPR87	-1.6065
ZNF30	1.477
SMR3B	-0.805
ZNF770	0.538
TRPC4AP	0.140166666666667
DKFZP686E2158	1.13016666666667
C2orf28	-0.116833333333333
FREM1	-1.968
LAMA4	0.122
ADPRHL2	0.00199999999999999
EIF4G2	0.860166666666667
GUCA1A	-0.7515
CTNNA2	-1.9935
NUDT15	-0.5005
CEPT1	-0.86
ZNFX1	1.0285
CCDC92	0.697
TDRD1	-0.412
KCNK5	-3.28916666666667
ETNK1	1.00083333333333
LTA	0.262
TTPA	-0.793666666666666
B3GALNT2	0.325625
SC65	-0.0845
PEX5L	-1.762125
EPS15L1	0.463
MGEA5	-0.094625
HIST1H3A	0.3075
ING1	0.5755
BCAT1	-3.62175
ORC6L	-1.70236363636364
KLK11	-6.13433333333333
C19orf28	-0.759625
DNER	-5.0225
MED22	-1.15521428571429
ETV6	1.05816666666667
CHAC2	-2.29775
CD300E	-0.447
CEBPB	0.115583333333333
ZNF398	0.02625
LRCH3	-0.2245
HMGA1	-2.52316666666667
CAPN7	0.175
MGC5566	-2.73475
CCL3	2.550375
NANOS1	0.56275
ZFYVE19	-0.08175
APITD1	-0.0766666666666667
PARD3	0.2755
IRAK4	0.495166666666667
SERPINI2	0.144
CEP170L	-0.8585
TTC9	3.102125
MYOM3	-1.63675
MLPH	1.971375
LOC222699	-0.4275
NRG1	-1.47327272727273
TBC1D9	4.82827272727273
TTK	-2.00133333333333
ZNF557	1.0713
DDX41	-0.789333333333333
FANK1	1.827
UBE2D2	0.193375
PSMB10	-0.005875
MYH7B	-0.0205
GABARAPL2	0.271625
MARVELD2	2.73
DGCR2	0.165333333333333
UNC45A	-0.329666666666667
C6orf72	0.41
ZNF683	2.961
GIT2	0.144
CASK	1.16333333333333
C14orf161	4.042
LRRC44	2.38375
TIFA	1.788125
UTP11L	-0.436625
C6orf65	-0.47575
FDPS	-1.15975
DUSP9	-2.3571
SLC17A8	1.16433333333333
OR51G1	0.3275
NANS	-0.0015
OLFML1	1.7305
ATP10B	-1.34385714285714
NPAS3	-0.613
PRKCA	-3.1028
GGA2	1.389125
LCE4A	0.306
SPANXN3	1.10533333333333
CCDC115	1.30875
SDCCAG3	-1.40475
GLIPR1L1	-0.36625
TTC1	0.40475
C17orf76	1.006
MAD2L2	-1.00025
HIPK1	0.369
LRRC3B	-0.225333333333333
CLN3	-2.52323414687536e-17
C17orf47	-2.067
FMN2	-2.083
TUBB1	-0.10575
WAPAL	0.231
C3orf21	-0.5035
SCN5A	-0.6237
SMYD1	0.25225
BEX5	-1.11625
ZNF192	0.434
SEC22A	-0.182833333333333
GRIA2	0.755416666666667
KIAA0825	-0.91425
NUSAP1	-2.33190909090909
LANCL1	-0.415375
C15orf40	-0.3655
ZNF645	-0.145
GPR61	0.065
NLRP14	-0.0955
SNX21	-0.0646
C1QTNF8	0.445
C17orf46	-0.99675
IFNA8	2.118
SPRR1B	-1.907
FLRT1	-0.807
SNX17	-0.8705
ASB2	-1.21366666666667
HBG1	-5.662
RPRML	-2.60625
JOSD2	0.073
PLSCR3	-0.02075
SPOCD1	-1.26216666666667
RAB39	-2.0395
GHRH	-0.198
ITIH5L	1.6245
C17orf37	1.4025
SMCR8	0.09475
DPY19L2P3	-0.372
IL11RA	-0.4035
GDF3	-4.1235
RPS6KB1	-0.603333333333333
DNAJC19	0.3612
TOP1	0.4555
CRCT1	-0.427125
MPST	-0.237125
DPM2	-0.535625
FAM38B	-0.877666666666667
SLC18A1	-2.91633333333333
FARP1	-0.0925
PAX7	-0.367
TUBD1	-0.915
GNL3	-0.1975
BTG2	2.05066666666667
NDUFS6	-0.14325
C1orf79	-0.67575
ERAL1	-0.483
ECHS1	0.84725
VPS4A	-0.4785
CYP11A1	-1.0775
ABCC6	-1.96678571428571
PBX4	-3.194
MOSC1	-1.2255
NCF4	-0.5995
HYMAI	0.1885
NAGPA	-0.102125
OTOP2	-0.35975
ACOT12	-0.87225
MTHFD2L	0.203625
LOC441376	0.84775
C19orf34	-0.348
RAB1B	-0.5705
ALDOAP2	-0.082
NTRK1	-1.28716666666667
ARTS-1	-0.0896
SLC6A11	-1.094
NAP1L2	-2.2065
CNGB1	-0.2895
EPB41L4B	1.18733333333333
FAM134B	3.1015
HS3ST3A1	-0.494166666666667
CPXM2	6.04075
SIRPB2	0.885
CHORDC1	-0.185166666666667
TRIB3	0.630833333333333
SLC2A5	-0.08525
C2orf49	-0.884
DDX5	0.2675
OR5L1	0.897
ANAPC4	-0.4005
ZSWIM1	0.814625
LOC93622	-0.137875
KCNK3	-0.5288
RP11-35N6.1	-2.07966666666667
ZFP161	0.136833333333333
AQP9	3.277
SLC15A2	-2.1955
MREG	0.999
OR9I1	0.4675
PDLIM2	-0.145875
ADAM7	-0.9135
GSTCD	0.617333333333333
WDR21A	-0.67875
SLC12A8	-0.19
TMEM174	-0.1135
IGSF3	-1.22525
LRRN1	0.68025
LOC402117	0.37325
SRPK1	-0.958333333333333
LY6K	0.8975
NFIA	2.1305
PTCD3	-0.664
LEP	2.85316666666667
PCDH21	-1.62033333333333
MAPKAPK2	-0.160571428571429
NMNAT1	-0.488833333333333
LHFPL2	0.96225
C9orf43	1.192
DIP2A	-0.817666666666667
ACTR8	0.455875
CCDC34	0.54825
PTPN22	-0.84525
ITGA3	-0.768625
FAM129C	0.22725
RABGGTA	-0.2245
UNC45B	0.4405
KIAA1033	0.464625
ZNF510	-0.0478333333333333
CYP2D6	-0.808333333333333
SLC26A10	-2.563
STX8	0.68
LUZP1	-0.062125
WDR89	0.3185
EIF4G3	-0.0117
C5AR1	1.23025
ZNF623	0.8785
A2M	0.1455
TGM7	-1.039
GRPEL1	-0.108833333333333
LMNB2	-1.0256
ROCK2	0.409
SNX16	0.994625
CCDC66	0.91225
ANXA3	-1.63225
KIAA1609	0.14425
EED	-0.52425
RNF32	1.07916666666667
HES1	1.2964
CLC	1.53416666666667
ISL1	-1.07166666666667
KIAA0528	0.448
MANEA	1.18325
C1orf61	-3.075
hCG_2001000	0.2315
RAPGEF6	0.8478
KIAA0020	-0.936666666666667
NEIL1	0.70525
C16orf45	0.611875
RBM10	-0.970333333333333
C10orf125	-2.6485
MRS2L	-0.39375
DNAH17	-1.170125
C19orf10	-0.7445
C1orf160	0.551
SLFN12	1.54625
EXOC3	-0.3285
HIST3H3	0.26125
NCOR2	0.330166666666667
TNFRSF9	0.98625
MFSD8	0.98125
ALX1	-3.61716666666667
NOL1	-0.87875
PODN	2.216
TIAL1	-0.8875
HIST1H1E	-1.10175
NPY6R	0.49725
TM4SF4	-1.1885
CORO2A	-0.636
ETNK2	0.6995
APOE	-0.7978
ANGPT4	-0.5165
HDGF2	-0.291
G30	-0.173
ST8SIA4	-0.65325
F2RL1	1.456625
FAM19A4	-3.191
CCAR1	-0.2975
B3GNT7	0.06375
OPHN1	1.0385
DSCR6	0.9595
C21orf13	1.82416666666667
GAS2L1	-0.296166666666667
RFX3	-0.2805
COPS4	-0.014625
BCHE	-3.7345
BCL2	2.725125
HBZ	-3.4115
ARL13B	0.5395
MAPBPIP	0.42325
MYO15B	-0.4435
SPZ1	0.154666666666667
KIAA1324	2.95688888888889
PLCL2	-1.062
C4orf29	-0.5425
WDFY2	-1.273875
ZNF284	-0.3515
NAALADL1	-0.223
DUSP5	2.716
PXDN	1.05325
SLMO1	-0.88825
TNXB	-0.1079
BIRC7	-1.67675
A4GALT	0.201833333333333
TIMM22	0.741
FAM110C	0.9135
TOMM34	-0.427875
ABHD9	0.132
ADAM32	1.211
CRHBP	-0.609
AQP2	0.456125
LOC130355	1.10175
ZNF187	0.199833333333333
ZNF816A	1.363
F7	-2.005
CNOT1	-0.4949
SLC13A4	-1.0395
ZBTB11	-0.534
B3GALT5	-0.0725
EXOC2	1.24116666666667
IRS1	1.0026
TMEM1	-0.328
MRPL34	0.248833333333333
SAMM50	-1.016
CDC42EP3	-1.337375
HSF2	-0.149
MFN2	0.225
TSPAN7	-1.3325
NUCB1	0.178666666666667
RHOH	0.51825
ARL16	-0.148
TACR1	0.00125
SFRS5	-0.8965
SNX25	0.91225
RHBDF1	1.1305
PCDH18	1.557
HMG1L1	0.0735
MYO5C	0.872
MAPK10	2.894
LDHAL6A	0.832333333333333
NUDT12	1.85333333333333
NCAM1	-0.063625
GLIS2	0.3435
GGTL4	-1.80925
DAPP1	0.37825
ATF7	0.669125
KIAA0748	-1.1775
NFIL3	-1.70175
TM6SF1	0.7672
SEZ6	0.202
NANOS3	0.6675
DNAJA3	0.489
CLDN6	-3.07
CIITA	1.8601
EPHA4	-1.39741666666667
FANCC	-0.73975
CMTM3	0.155
PSG3	-0.41975
MRPL15	0.11775
C21orf59	-0.27475
PLCXD2	-0.78575
C2orf34	-0.73575
UBE2L6	1.744875
MED14	-0.182
HP1BP3	-0.3617
C6orf208	0.3175
TPBG	2.48925
OSR2	-0.770125
XPC	0.457666666666667
KLHL7	-0.393666666666667
CCR3	-0.381333333333333
AGTPBP1	-1.032
PCSK6	-0.996
STAT5A	-0.4509
FAM18B	0.60025
LONRF2	0.833166666666667
PTPN2	-0.803625
SF3A3	-0.956333333333333
EFCBP2	-1.40375
HCFC1	-0.597333333333333
AHNAK	1.41765
ACTR5	0.36375
KIF14	-3.318
TENC1	0.79375
HEATR5B	0.521
YIPF2	0.554
MYEOV2	0.5852
DUSP18	1.16525
KIAA1012	0.3165
AHR	0.819333333333333
C17orf53	-1.56833333333333
PTPRH	-4.51525
ATP6V1C1	1.3247
TAS2R3	0.381
LOC440356	0.9515
COQ10B	0.99675
PSMF1	0.78675
SORBS2	1.33666666666667
NFE2L2	-0.3545
TMCO7	-0.07175
SH3PXD2A	0.0453
SH2D2A	-2.09775
SPINK5	-3.0625
MRPS24	-1.053
OPA3	0.096125
TRAF7	0.124666666666667
C4orf35	-0.502333333333333
MT1G	0.306375
MGC39545	0.471
HS1BP3	0.305
OR2B2	0.277
CHRM4	-1.072
SFRP2	2.71483333333333
RIC3	-2.965
ART1	-0.2015
C6orf1	-0.0845
DUS4L	-0.093
C10orf104	0.68075
TNFAIP6	2.96575
RTEL1	-0.89475
CCT4	-0.9934
ZNF709	0.905
CHMP6	0.192
UPP2	-0.63475
CYP19A1	-1.83575
CD151	-0.527333333333333
NDUFA13	0.328666666666667
ARFRP1	-0.618
FAM26B	1.578
CRYBA1	-3.8615
MRPL41	-0.1875
NPFFR2	-1.086
HRH2	0.111
SCAMP3	-0.640666666666667
MTMR6	1.0143
MTG1	-1.9825
UBTD1	0.993
CRABP1	-3.7
FLJ33790	0.2243
KIAA1908	-0.734666666666667
GPR158	0.2895
PACSIN3	-0.897333333333333
OMD	3.75016666666667
CATSPER1	-0.3575
HOXB8	-1.51925
FBXO46	1.173
OAS1	2.40083333333333
SVIL	-0.08275
PHB2	-0.796
ADCY3	-0.2445
NDRG2	-0.0281666666666666
ERMAP	0.4154
APBA2	-2.04066666666667
IGSF9	1.0705
WNT6	-1.35435714285714
MYCBPAP	1.09675
ATP2B2	-0.2613
CPVL	-1.8336
TRAM2	-1.32883333333333
NOP5/NOP58	-0.566
ZNRF4	0.3755
TLK1	-0.01625
MTMR12	0.517285714285714
ZNF384	-0.182666666666667
FAM9B	-3.06175
RPN1	0.7387
PMVK	0.38525
EIF3D	-0.3001
SIX2	-1.179
HPS1	0.206285714285714
RNF7	1.08925
PSKH2	1.004
KCTD13	1.02233333333333
CSMD3	-0.6211
FBF1	0.7035
IL8	-4.8965
SERPINB13	0.139166666666667
FBXL20	-0.39675
BLR1	0.62275
SH2B1	0.2115
RFNG	-0.568
RAB20	0.577166666666667
RBM7	-0.85375
POLR1A	-1.0035
TMPRSS4	-3.574
TAF9	-0.477375
TERF2	0.0585
TNFRSF1A	0.62325
ACADVL	-0.681833333333333
GTF2H5	0.838
EDG8	-0.898333333333333
C9orf140	-1.57525
UST6	0.3845
ZBTB8OS	-0.744
ZNF710	-0.1355
GPR174	-2.4745
ATP6V0A2	-0.3815
KIAA0319L	0.260416666666667
XKRX	0.161
DOPEY2	0.0808
SDHD	-0.24575
SUMF1	2.09125
OSM	3.276
OPN3	-0.37575
DAGLB	-0.7535
PPFIBP1	0.8819
TRIM63	-1.7735
C10orf53	1.973
LYPD3	2.3975
BCL7A	0.526625
AGER	-1.70633333333333
TCF19	-1.52125
SAT2	-0.00825
PFTK1	-0.999166666666667
GABRE	-3.765
C15orf38	-0.5814
FIS1	-0.288
KCNV2	-0.141
CLPS	0.16875
PPCDC	-1.10175
FOXN2	0.126
NT5E	-3.4069
CD83	0.36575
IL18	0.291125
VPS16	0.29925
IGFBP2	-0.293
NOTCH2	0.079
SIGLEC1	2.58275
CD93	5.7485
SULF2	0.02875
CEP164	-0.285125
P53AIP1	0.411333333333333
TOR2A	-0.490333333333333
ZNF136	1.53825
MGP	3.7946
CCDC144A	-0.652166666666667
TRPC1	-0.9495
SMS	0.799666666666667
MAPK7	-0.489833333333333
RRAGC	0.77225
PARD6A	0.717666666666667
NUB1	0.607333333333333
SYNGR4	0.355
OR11H12	-0.3105
WIF1	-0.287428571428571
GCH1	0.85475
OR11H4	0.1655
SLC44A5	-1.348
GPRIN2	0.021
LOC401431	-0.43375
CPA4	-2.3917
MELK	-2.39944444444444
IL15RA	-0.46425
CUL3	1.430125
HMBOX1	-0.6835
PODXL	-1.60375
CCT6B	1.1945
COMTD1	-0.0435
MUC20	-0.516666666666667
GPX2	-3.804
ITK	-1.664375
FBXL5	2.2035
C13orf27	-1.09125
DEFA5	-0.4875
TRHDE	-1.2445
MTP18	-1.08383333333333
UQCRQ	0.00780000000000001
ITGB2	0.273
CSRP2BP	1.067
TAS2R44	0.8345
PHPT1	-0.377
FAM44C	0.6255
ERH	0.154
MPHOSPH1	-1.53566666666667
MORC1	-0.4545
PARVB	-1.413
LAMA1	-2.69127272727273
PGBD3	-0.90725
GIMAP6	3.6195
AREG	-4.31316666666667
LIPT1	-0.26775
MGC99813	-0.90525
C1orf201	-0.170166666666667
GRIN2A	-0.6865
MAN2C1	-1.7025
NSUN5	-0.67
SF3B5	0.14375
MYC	-0.5790625
NRXN1	-0.6306
ZNF18	0.85925
SPDYA	-0.754125
SLC37A1	0.7655
DECR2	0.562
ANKRD38	1.56114285714286
SPTLC3	-0.994
SUPT16H	-0.48625
DTWD2	1.6795
ULBP1	0.6165
ZADH1	1.11716666666667
OIP5	-2.53725
IL10RB	-0.806333333333333
OTUB2	-1.269125
VWA3A	1.14716666666667
SPIC	0.6098
OR6C4	0.102
PSCD4	-0.0823333333333333
DPY19L2P2	-1.3015
TRAPPC6A	0.654666666666667
C21orf2	-0.6065
CEMP1	1.1025
LIN7B	1.3045
E2F7	-1.7865
VCP	-0.2883125
LAMA3	3.23208333333333
BGN	1.5075
GPR160	1.99233333333333
COCH	-2.9265
GPR81	2.38383333333333
APOBEC3F	-2.3355
tcag7.1017	-0.909
C1orf32	0.188
SCGB1D2	5.36575
FLJ43987	-2.2825
C6orf170	0.479
KLK9	0.2295
GPD1L	0.655375
VPS37B	-0.165
ATG3	-0.467
ADAMTS17	-0.4345
KLHDC2	0.1255
NDUFV2	0.27975
BLK	-3.4325
MATN4	-1.0255
GPM6A	-0.031875
GBP4	2.98366666666667
TMEM162	0.157
PKP2	2.284
HRASLS	-2.99844444444444
MMP1	-4.2365
SFXN3	-0.2244
FSD1	-2.251
ST6GALNAC3	-1.567
CA12	3.634
NCOA6	1.36225
C19orf58	0.5303
PPP4R1	0.274166666666667
MAN1A2	0.493
IKBKAP	-1.473
UPF1	0.427166666666667
KIAA1219	1.7415
WNT16	0.5074
SNW1	-0.537125
IL18RAP	3.06575
RPP30	-0.712375
CDC40	0.571285714285714
SETD3	0.483666666666667
SLAMF6	-0.79225
ELK4	-0.695
TRIM47	0.523833333333333
ACOX3	1.719625
TRIM6	0.935375
KIAA0372	-0.0801666666666666
TP53AP1	1.29275
SMURF2	-0.7845
ADAD1	0.422
EBP	-0.8325
KRTAP13-2	0.15
FLJ36874	-0.314166666666667
TOR1A	-0.3965
P2RY4	0.5255
GPBP1	0.8595
TRPV1	0.05025
ADAMTS12	0.570333333333333
PES1	-0.7767
ATG4A	1.14583333333333
MAGEA10	-4.69275
WFS1	1.862
CC2D1B	-0.412333333333333
PABPN1	-0.754
SLC25A30	0.36925
SLCO1C1	-0.803666666666667
SLC22A5	2.3995
KIF23	-1.62733333333333
SYN2	-1.05516666666667
ASPN	9.141
CENTG2	0.81175
QSOX2	-2.4149
FLJ10815	0.076
STK24	0.213
SPEG	-0.3612
STK10	0.0655
DACT2	-2.483
AAAS	-0.46875
SSX3	-1.79942857142857
ABCD3	2.5291
C4orf12	0.20775
PARVG	-0.400333333333333
FIG4	2.04275
C9orf46	1.76825
TMCO6	-1.028
IGHMBP2	-0.6855
DUS2L	-0.648666666666667
FAM3C	0.219625
TMEM16D	-2.513875
DCTN4	1.2575
KCNH3	-0.839
EIF2AK2	0.87425
AP1S3	-0.037375
CST4	0.6115
PAM	-0.4006875
NUTF2	-0.33425
CITED2	1.5998
SLC39A4	-0.7815
C2orf52	-1.514
GRM3	-1.12725
C12orf49	0.055875
CCDC49	-0.0455
GRAMD1B	-2.32071428571429
FNDC4	-0.1735
SIAH2	1.515375
GDPD4	-0.10175
C21orf87	0.354375
ATP5A1	-0.337166666666667
C16orf63	0.114875
LOC388135	-1.36283333333333
ATP5J2	-0.71225
MMP3	-1.063
EMID2	0.15675
CRHR1	0.46125
WDR70	-0.3485
C13orf31	1.742
ZFAND1	0.20675
CCL18	3.575
C3orf49	2.036
RINT1	-0.146
KIAA0408	-2.316
F13A1	5.0254
SLC10A1	-0.511833333333333
OGN	1.97325
GIPC2	-1.923
XPO6	0.0305
LCE1A	0.388
FMR1	1.2068
LOC374920	0.30675
DUSP3	0.305625
ANKMY1	-0.3565
C7orf50	-0.77475
BBS9	-0.359222222222222
UNC119B	0.016375
C9orf72	0.21525
MGC35440	0.92575
ENTPD6	-0.061
PPP1R2P9	0.1065
ERCC4	0.819
FAHD2B	-0.5495
HMHA1	0.656
HACL1	-0.88025
RAD23A	-0.122666666666667
FAM83B	-0.424
PPP5C	-0.273166666666667
RNASEH2C	-0.646
C9orf153	-1.563
SCAMP4	1.162375
GHITM	0.8944
NDUFB7	0.80075
ADCYAP1	1.59583333333333
SP110	1.432
MAP3K7IP2	0.73775
DHH	-0.295
AGRN	-0.137214285714286
WDR33	-0.0681666666666667
CEP290	1.62783333333333
PRPS1L1	-2.69316666666667
KLRA1	0.497
GPR97	-1.06
CHD7	-0.7275
TLR10	0.90525
SLC30A8	-1.705
HIC1	1.08416666666667
IAPP	-0.354
RXFP4	-0.3005
GP1BB	0.1045
SHQ1	0.536
NKX2-3	-0.06
API5	0.3955
FTHP1	-0.0215
MOV10L1	0.509666666666667
TRIM6-TRIM34	3.14283333333333
ADHFE1	0.78775
FAM117A	-1.29125
DDI1	0.5045
CDON	0.591833333333333
TRIM73	-0.1905
IGKC	2.192
MMP14	0.03525
DYNC1LI1	0.52375
C11orf66	1.076
TRBV3-1	-1.663
FASTKD5	0.782
BIVM	-1.551
LHX4	-0.6545
CXCL2	-0.5005
RAB2B	-0.73
IZUMO1	-1.929
MAP3K15	-2.6505
FAM19A2	0.509
ZC3H8	-0.831
ZMAT1	2.453125
SPINK5L3	-1.9605
SLC10A6	1.231
APPL2	0.98875
CARD10	-0.189833333333333
LOC402176	-1.24975
EEF1D	1.2537
RAB6A	0.747
C12orf5	0.562625
PAPOLG	-0.19275
MSRB2	0.65
BCR	0.364555555555556
PUS3	0.17475
TIAM2	1.2005
ZNF317	0.407833333333333
CHD2	-0.2735
FZD5	-1.27390909090909
NUDT8	-2.6085
ZNF763	0.2635
PRC1	-1.73744444444444
ABCB9	-1.003
SPATA3	0.3695
TRAK2	0.363375
STAB1	2.252875
LRRTM2	-0.0946666666666667
psiTPTE22	0.43025
DBI	-0.0695
SERPINA11	-3.5255
NAT5	1.1505
C20orf58	-2.3495
RPS6KA4	-0.431666666666667
FLJ90650	-1.17475
TGFBRAP1	0.24625
CHRDL2	1.45825
FAHD2A	-1.06333333333333
CNTN1	0.51875
BBS4	0.1192
TMEM181	1.105
MINPP1	0.34225
MPHOSPH6	0.156083333333333
HOXC10	-1.1658
ITPKB	0.16175
CLPTM1L	0.177125
MEOX2	-0.554666666666667
ATP6V0C	1.33925
PRPF8	-0.272
TMC5	3.32125
FKBP3	-0.8685
PLEKHB2	-0.0815
OR4D6	0.5685
ZNF544	0.2456
D2HGDH	-0.833
RPL18A	-1.2357
HEL308	-0.157875
MPP6	-4.00725
TCERG1	-0.853
KRT16	-1.832
KLF17	-1.00475
KLF5	-0.54375
CDR1	5.341875
VCX3A	-3.7205
FBLN2	1.806375
C14orf104	-0.07325
HBE1	-5.0925
OR4S2	1.843
C1orf108	0.234333333333333
ROBO4	3.472
CPEB4	2.346875
C11orf80	-1.37116666666667
BCKDHA	0.0211666666666667
MYOC	0.743
GIF	-0.8645
CKMT1A	0.18
RPL3	0.0385
THBS1	3.087875
APOO	-0.20825
ARMCX1	1.95425
HSZFP36	1.838
SNAPC5	-0.10275
EIF4ENIF1	0.63775
ZNF433	0.896
TNFRSF21	-2.108875
TMPRSS7	-0.236
SPATA18	0.0272
HPDL	-2.473
MKL2	2.9335
TBX3	2.69615384615385
C21orf93	0.969166666666667
DAXX	0.55025
ELMO1	-0.91725
RGS13	3.5425
TAF11	-0.58325
UNC13A	-2.133625
LOC653314	-0.3389
ORC3L	0.0485
IMAA	-2.743
TARBP2	-0.49075
CABIN1	-0.5963
TRIOBP	0.1389375
HIST1H2AC	-0.20575
RGS22	-0.974666666666667
NCOA1	0.8785
IL25	2.6205
SNCG	2.485
GPR6	2.6375
AMDHD1	1.82183333333333
CHEK2	-1.254
C6orf142	0.4805
DRD4	0.078
C14orf68	-1.549
GDF11	-2.13825
SEMG2	0.1415
CD247	-2.0435
CDAN1	0.33875
RBMX2	0.355166666666667
TGS1	0.1345
OIT3	0.2585
SYF2	0.20875
MCM4	-1.544
PKHD1L1	-0.140166666666667
CEP192	-0.928666666666667
IFT88	1.6
RPL9	-0.391
RAB32	-0.092625
DDX43	-2.632
P2RX2	0.367833333333333
OR5D18	1.144
UBE1	-0.06025
SLC24A1	0.61425
ARHGAP5	0.20975
CETP	-0.73725
KIAA1731	-0.492833333333333
SLC9A4	0.727
PTPN6	1.1105
BAHD1	0.213
GRIK3	2.3205
CACNB2	-0.7247
PDE10A	0.24275
DGCR14	-0.65325
PCDHB9	-1.36383333333333
RHOQ	0.224
MAP3K4	-0.00175
KTI12	0.105166666666667
RPL23AP13	-1.3285
GNG11	-1.0745
CLCN3	1.6335
GPAM	-0.7235
VSTM2A	-0.312
SLAMF7	1.8445
INTS2	-0.92825
PPP2CA	1.0655
LRP12	0.0334
SEC14L2	2.95533333333333
DKFZP586H2123	1.29525
MC3R	-0.4495
CIRH1A	-1.71
HIST1H2AB	2.154
POLH	-0.384375
