Hybridization REF	TCGA-BH-A0HB-01A-11R-A056-07
NEUROG3	2.2905
REEP3	1.77358333333333
MARK1	-0.16825
LMBRD1	0.02675
PRPF19	-0.976
PNMT	-0.687833333333333
CTGLF1	-1.7565
SLC25A16	0.87225
EIF2B3	-1.633
RPA2	-0.442
PAK6	1.6945
CCDC26	-4.245
SEMA3E	3.328875
MXD4	1.0143
TNFSF10	2.8469
SMARCB1	-0.684
DTX3L	1.87216666666667
PLA2G4E	-0.4845
PPAP2A	0.14775
ULK1	-0.448666666666667
TAS1R3	0.0155
SLC2A3	-2.74736363636364
ARID3A	-1.18375
GNG5	-0.09225
ACOX1	0.345111111111111
KIF5B	0.3275
NUP153	-0.6185
MUC7	-1.2625
CSDE1	-0.417214285714286
CLPTM1	0.283
C3orf23	-0.311375
LRRC17	-0.4155
TTYH3	-0.322
ATP5B	-1.469
ELF3	1.2266
CPSF3L	0.147166666666667
ZNF665	0.00100000000000001
TLR6	-0.143
GPI	-0.733
RAD9A	-0.0695
NDST4	-4.3095
AGPAT3	0.847833333333333
MAGI3	3.14033333333333
ADORA2A	0.202875
CACNG7	-0.0015
CAMK2D	-0.815857142857143
CCHCR1	-1.57325
RPS27A	-1.02025
OR10G7	0.0393333333333333
GCM2	1.434
FAM135B	0.513444444444444
E2F1	-0.82725
PLCB3	-0.64275
OR2AE1	0.08
COIL	-0.6405
CDC25C	-0.973833333333333
RAB11FIP2	0.135583333333333
TSC2	-0.23775
CTGLF5	-2.349
CCDC108	0.7357
OR13C4	0.51325
C10orf81	3.701
PTPRB	1.1545
ACP2	-0.5935
LAG3	1.86675
MRPL54	0.457
LOC201175	2.0115
ITGB1BP3	-0.76825
SPTAN1	-0.403666666666667
SIPA1L2	0.50775
RCAN2	-0.682
CDX2	-0.3835
ECOP	-0.10875
ACTR1A	0.752714285714286
PPARG	-1.0055
BBS10	1.13566666666667
TMEM44	-1.576
BPIL2	0.36575
CITED1	-1.88725
IRF6	4.66775
PRDM4	0.905333333333333
RRP9	-1.01916666666667
OR10H4	0.9955
IL31RA	-0.805
GNB1L	-0.375833333333333
MYBL2	-1.081125
ZNF407	2.20966666666667
PPIG	0.184
TTC18	0.04525
RPSA	-0.167
MAPT	2.152375
MRE11A	-0.606615384615385
C8orf37	0.0566666666666667
RASGEF1C	-0.867333333333333
STBD1	0.6095
CTAG2	-0.651166666666667
MGAT5B	-2.1745
ECM1	0.1525
RLN1	1.7575
PARP14	1.5880625
EPB41L1	0.6223
HOXA3	-0.606916666666667
MAGEA9	-5.17766666666667
RPS8	-0.823666666666667
RPS19BP1	-0.9005
FOXJ2	-0.33025
C10orf76	0.17075
IL17RE	0.58525
C10orf65	-1.012
ZNF343	-0.557833333333333
FBXO33	0.64
UHMK1	0.8149
LY6G6C	-1.51975
FGF19	-2.57925
C14orf128	-0.291
IFIT2	2.83025
TIGD1	-0.435
S100G	0.13
GUCY1B3	0.719
NR3C1	-0.7892
CORO1B	0.502666666666667
PARP11	0.329083333333333
DNALI1	4.8355
OR4N4	0.843285714285714
MAP2K6	-1.13866666666667
FSTL4	0.4185
ANKRD47	1.044375
TMEM171	-1.468
PNLIP	0.36875
YY1	-0.132833333333333
CCDC138	-1.83916666666667
AASDHPPT	-0.6632
CKS1B	-0.3178
MCM3	-1.50583333333333
ANAPC7	-0.525833333333333
FAM110A	1.2665
CDC37L1	1.6545
THTPA	0.7475
NBPF20	-0.4845
WDR24	1.2245
NPTX2	-2.6035
CBLB	0.9045
CETN1	0.688166666666667
RPUSD1	0.537
FAF1	-0.211
CDK6	-3.0156
HMX2	-0.0275
CSK	-0.489666666666667
TEAD2	0.14525
SNAP25	-0.780666666666667
TUFT1	1.7445
TMTC3	1.18333333333333
LCK	-1.315
SGOL1	-0.5795
AKTIP	0.28425
FURIN	0.17725
SOX12	-1.25
DEFB103A	-0.1065
RAMP1	3.29775
KIR3DX1	1.4365
GAS2L3	-0.3705
PDE8A	-2.0483
EDN3	-0.00575000000000001
GMIP	1.223
SF3A2	1.4925
FN3KRP	0.02075
SMAD7	0.91975
RHBDD2	1.057
OR11H6	0.7465
PPP1R3B	1.174
C9orf23	0.41725
CADPS	-0.32825
GOLGA8A	-4.23425
TMEM57	0.9465
RGL3	-0.2415
S100A14	2.35425
FGFR2	1.292875
XRCC3	-0.97525
RTN4RL2	0.69375
MGC3771	0.624
GH2	0.696
BTBD2	0.3385
LMO2	-0.6145
RDBP	-0.96475
ACRBP	-1.8695
AMY2A	-0.6345
DUOXA1	0.9135
PTK7	-0.331
TWF2	-0.485166666666667
FAM80A	-0.10625
TNNI2	-2.76733333333333
GLT25D1	-0.698333333333333
OCC-1	-1.27525
CYC1	0.102333333333333
RPL22	-0.114409090909091
MORN3	1.34116666666667
DISP1	1.51725
PRB2	0.5075
CHUK	-1.0015
HR	0.71825
CCDC134	-0.424
DENND4B	-1.1105
C14orf130	0.69675
RAB33A	-0.75325
DCST2	0.529
TNMD	-1.708
PEX7	1.568
FAM62A	0.10025
SRD5A2L	0.88175
IL22	-0.08475
RPS26	-1.68883333333333
HOXC5	0.429
SPATA6	0.26775
FLJ38482	1.092875
ZNF234	1.438
C18orf22	1.478
SPATA22	0.7425
THOC1	-1.519
CYP7B1	3.439
KCNC3	0.2365
C8orf42	-0.533
ALDH1B1	-0.5485
CCDC100	-0.451
ARMC4	-2.24825
FAM18B2	-1.34633333333333
SLC44A1	0.2145
FBXO17	-1.66866666666667
C6orf107	0.85275
C19orf29	-0.2235
ZC3HAV1L	0.3615
PARP6	-0.6432
SULT2A1	-4.97125
C1orf159	-0.018
TMC1	-0.0150000000000001
CHST14	-0.1085
GAMT	0.915833333333333
SMCP	-0.140833333333333
TSPAN33	0.127
MIDN	0.79
NOX4	2.362
RNASEN	-0.7707
TBX1	-0.193
SALL2	0.11775
C10orf35	1.468
CYP2E1	-1.762125
LRFN2	2.00133333333333
ACO1	-0.943166666666666
IQCG	-0.1584
MEGF9	1.34325
TM7SF4	1.47325
PLEKHA1	0.9296
STK33	-2.15625
C1orf210	2.30775
SNUPN	-0.161
KIAA0406	-1.4103
C20orf29	0.5005
TMEM55B	0.49875
OSTM1	-0.9770625
CLCN7	0.75875
OTP	0.789
FLJ23049	-0.9145
HEATR4	-0.0655
MAP3K10	1.59816666666667
PCDHGA9	0.01
AMDHD2	-0.123
LCTL	-2.568
PDCD2L	0.23125
CABLES2	0.1215
SLC5A9	-0.401
CLCA2	-0.0745
MGC16025	-0.391
STRAP	-1.77133333333333
C20orf196	-0.9935
RRBP1	0.521666666666667
NAT13	-0.26275
MAT2B	-0.14675
CSNK1D	-0.4405
KIR3DL1	0.9395
PRKAG3	null
ZNF599	-1.2695
PRM3	1.6495
PER2	1.71416666666667
ASPHD1	-1.993
PRMT6	0.106
KCNE1L	-1.02135714285714
FAM118A	-1.17866666666667
TAF4	-0.07975
NDUFB6	0.0935
TRIM9	-1.98945454545455
PMFBP1	-0.37775
KY	-0.17
DKFZp762E1312	-1.24572727272727
CSMD1	-1.14275
TBP	-0.081
OR1Q1	0.118833333333333
RETNLB	0.29725
HPGD	-0.036
DNAJC12	2.55816666666667
FKBP1B	-2.20475
ANKRD24	-1.03916666666667
CXXC5	2.05666666666667
IL3	0.63175
DRAM	1.2295
PTCH1	-2.21725
TP53BP1	-0.39525
SLC17A7	-0.187875
COL25A1	-1.1042
AMACR	0.196
RHCG	-0.04125
VPS13A	-0.37575
FAM55D	1.101
PRPF38B	-0.570333333333333
OSBPL6	1.84325
PFDN5	0.0474
CMTM6	0.990125
KCNK12	-1.40275
RP2	0.08725
C16orf52	-1.596
PICK1	-0.658
IFNE1	-1.01633333333333
SEMA4B	0.60425
TYRO3	-1.69525
OR12D2	-0.0465
CSNK1A1	0.5847
FANCF	2.3795
LONP2	1.695625
TBL1Y	0.629
LDOC1L	-0.8445
CCNC	-1.12825
C3orf60	-0.19875
CHKA	-0.98625
UBAP1	0.0475
MAP3K1	2.529
ANKRD9	-1.1775
FAM92A1	-1.761
GAB2	-0.606375
AZU1	-0.588
DIS3	-1.59766666666667
C21orf109	-0.55
IQCB1	-1.28075
SPATS2	-0.688
EFCAB3	-0.078
PRB3	0.839625
FUZ	0.458166666666667
ZNF813	-0.0185
BMPER	-1.519
HEG1	-0.2355
ALS2CR11	-2.48975
SURF2	-0.277
PSMC1	0.446833333333333
OR2D2	0.5295
SLC7A8	3.2535
C4orf40	-0.523
SPATA7	-0.0145
MAZ	-0.496916666666667
PIN4	-0.05
PDE1A	-0.97525
TAF6L	-0.078
OR2T34	0.2905
KIAA0284	0.29675
ACADS	0.692
MKRN2	-0.192
C18orf56	-0.6795
MS4A6E	0.107833333333333
GALNT4	0.3858
C22orf31	0.0135
FLJ36070	0.6005
PSME4	0.2885
TFG	-0.6348
EPHX2	-0.0765
ANXA5	0.11775
KRTAP1-1	0.1127
BATF	3.24875
KARS	-1.6075
MSTP9	-0.4505
GPR26	1.5275
CCDC72	0.77525
TEF	0.461
FOXK1	-0.4138
PRLHR	0.3045
EMX1	1.4015
C11orf30	-0.84425
ICK	0.274
THSD7B	-0.0343333333333334
C21orf100	-0.5075
DUOX1	0.0805
EFCAB4B	0.5905
UBE2G2	-0.978166666666667
C3orf54	0.37275
PARP1	0.182
FAM60A	-0.306166666666667
C6orf146	0.80475
OR9K2	-0.276
DDX55	-0.529
RPS15	0.326916666666667
ZNF618	0.917625
DKFZp686D0972	-0.183
SSPO	-1.678
SHFM3P1	0.471333333333333
CPA6	0.146333333333333
JAG2	-0.4145
DEFA3	0.757
PPBPL2	-0.3985
CD34	3.320875
SLCO4A1	-2.778875
AFG3L1	-1.89716666666667
SHD	0.05675
RP13-122B23.3	-1.1145
PRKCSH	-0.561
DPH5	-1.15816666666667
HLA-F	1.837375
TBC1D4	-0.89875
RIG	0.250833333333333
GLUD1	0.968166666666667
HNRPCL1	0.389
HBXIP	-0.09675
RNF207	-0.1105
APIP	-0.50175
PLA2G3	-2.2816
CCDC84	-2.608
MYLIP	0.883307692307692
PHIP	-0.36825
AARS2	-1.00033333333333
DHX32	-0.11925
SCAPER	-0.208166666666667
MEN1	-0.183571428571429
NIP7	-0.83625
FLJ25404	0.7985
FASTKD3	-0.448
TMEM158	-1.73475
RARA	2.10225
BDH1	-0.0595
ANKRD16	0.53425
CARM1	0.7465
SS18	0.582333333333333
IKZF2	0.131166666666667
MYD88	0.00612500000000001
PML	0.35475
TAF1A	-0.55025
CBFB	-0.372625
HIST1H3H	2.56433333333333
C7orf29	-1.84725
COMMD4	-0.504833333333333
DPP3	-0.549
DAB2	0.358
LOC388882	0.4985
YPEL4	-0.67425
AGBL3	1.867
LRP6	0.3432
SERPINH1	-0.614
TLE1	-0.8235
CD244	0.763166666666667
ZDHHC15	1.859
MGLL	0.8894
PLDN	0.10975
LOC654346	1.7235
FAP	2.20475
GPR37	-0.892
SCARA5	-0.0118333333333333
EBF4	1.17254545454545
LSM6	-0.1505
MLLT1	-0.025875
SLC5A12	0.33325
A2BP1	-1.73016666666667
COPS5	0.225
TPM4	0.187571428571429
TNFSF4	1.7255
ACADSB	2.13855555555556
HERPUD1	-0.20425
BCL2L11	-0.508777777777778
CEP78	-0.27925
CDCA3	-1.622875
WBSCR19	-0.1546
MYO1A	-1.674
PPEF1	2.48233333333333
LOC440348	-1.3385
CPEB2	1.22925
BPTF	-0.20175
RPL21	-0.9765625
GSX2	0.3275
ADPRH	0.492666666666667
C17orf68	-0.213833333333333
KCNS1	-1.18066666666667
MLLT6	-0.3061
PIWIL4	-0.806
RNF26	-1.307
RAP1B	0.0165
ADAMTS1	-2.5957
ZNF571	0.95225
P2RY6	-0.17275
TRIM21	0.853666666666667
CADM3	0.574
NLRC5	0.891
ADRA2B	0.1085
LOC90835	-1.31225
PCF11	-0.09525
LOC400451	2.04375
GLTSCR1	1.404
C17orf88	-0.6485
CDH16	-1.87775
FGF7	1.0255
PCSK4	1.31116666666667
NPC1L1	1.10016666666667
TAT	0.448875
TBCA	0.22175
MGC33407	-0.04
GPR115	-1.400375
CYGB	-0.3205
FNBP4	-1.24583333333333
C12orf43	0.00275
CBL	-0.8442
CLECL1	1.229
PPAPDC1A	1.256
WDR25	0.06
SGCA	0.206
C22orf29	-0.478
YIPF1	1.803
GALK2	-0.5645
RAB3B	-3.10327272727273
LOC440087	-1.81775
UCP1	-0.2195
REEP5	2.265625
FADD	0.1007
FOXA1	3.815125
CACNA1A	0.880833333333333
ABI1	0.148
GRIN2D	2.06575
SLC1A4	-0.0128333333333333
LOC401127	-0.495
HINT2	0.2835
PLD4	-0.407666666666667
ZNF286A	-1.2865
ENY2	0.10175
IL1F6	0.1205
PXDNL	4.5445
C20orf79	0.8735
TNFSF13B	3.63733333333333
DENND3	-0.80825
JARID1D	-3.1875
HIST1H2AK	2.002625
LOC93349	-0.1799
SSH1	-0.0664
ENSA	-1.34675
LOC219854	-1.69716666666667
CKAP2	-1.4717
DKFZP564J102	-0.881833333333333
MGC87315	0.301
HNRPAB	-1.21575
AMH	-0.692
ZNF526	0.626
BRUNOL5	-0.177
CACNG3	0.193
TRPM1	-2.2635
PPP2R1A	0.48225
COL2A1	3.73925
DDN	-0.0213333333333333
FLJ25770	1.60175
HK2	-0.0451428571428571
ELOVL6	-0.921625
MDK	-1.673
EPHX1	1.22725
RASSF2	0.56475
DKFZP434B0335	-0.219
DLX3	-0.327
PRTN3	-0.161
AVPR1A	-0.169
C21orf125	-1.3535
TNFAIP8	0.134166666666667
GNB2L1	-1.0505
CALCRL	1.5845
SCGB2A2	9.1895
UBXD7	0.33925
ZNF674	0.0305
TMEM35	-0.04625
BRSK2	-1.666375
HECTD3	-0.0883333333333333
TMEM188	-0.2445
LGALS9	1.846625
SCARB2	0.911916666666666
USP34	-0.336333333333333
C17orf28	2.1085
ZDHHC23	-1.23625
AQP12B	0.4135
SLC16A3	-2.08775
APLP2	-0.30475
ITIH2	-5.308
MICAL3	-1.245375
TNNI3K	-0.773
HDAC2	-0.239375
PRR7	0.3443
THBS2	-0.2555
LOC751071	0.221333333333333
CA2	-0.848333333333333
RANBP17	-2.751
RLN3	0.57125
CRYZ	-0.268
GBAS	-0.0983333333333333
TAS1R1	-0.3535
MPZL3	0.625
PCDH8	-1.1595
HSP90B1	-0.466916666666667
KCNK15	2.603
TNIP2	-0.0636666666666666
GPR146	-0.6525
NOL6	-0.12325
SPC25	-2.67344444444444
STEAP2	0.128214285714286
VAMP3	0.108666666666667
TCIRG1	-0.3745
ZP4	0.215666666666667
PARL	-0.639125
TRIM39	-0.745166666666667
KIAA1305	1.192
CRNN	0.647333333333333
GRN	-0.43225
HSH2D	-1.0715
SCAMP1	0.8265625
KIAA1913	0.46225
PTS	-0.68125
BANP	0.465571428571429
PRKACG	0.09675
ADCY6	0.813666666666667
C16orf46	0.4595
CYP51A1	0.79425
DDC	-4.58725
ANPEP	-0.185333333333333
PROM1	-2.443
SIGLEC10	1.411
COPG	1.442
FAM26E	0.71525
TRIP4	0.37475
SNX3	-0.752333333333333
C1orf175	0.195
PPY2	0.30925
C14orf152	0.0735
FTSJ1	-1.08966666666667
DST	-0.40665
LOC554235	0.06675
GLRX5	-0.11725
C20orf12	1.1463
CAB39	-0.0741666666666667
MSH2	-1.3965
PIP4K2C	1.603625
CYLD	1.386625
WTAP	0.8048125
MGAT4A	2.58666666666667
TSC22D4	-0.1715
CHRM2	-1.569
PPYR1	0.23
CCNH	0.226166666666667
RRM1	-1.37725
ECAT8	-2.868
LOC400120	-0.42475
GABRA4	0.230285714285714
C14orf4	1.95883333333333
C1orf59	1.0055
CTDSPL	0.259666666666667
NHEDC2	-1.3215
PDE11A	-0.435
KLHL29	-1.8225
CD5	0.5026
TSPAN9	1.6961875
WDR67	-1.77625
THUMPD1	0.5148
C18orf17	1.47825
CLYBL	-1.0055
FLJ13231	-0.424375
CMBL	1.775625
LECT2	-0.6685
NKAPL	1.04883333333333
LOC654780	0.59
OR4C6	1.134
RAB30	0.902166666666667
TSSK4	0.049
TMEM163	0.308
OSBPL11	0.950583333333333
GNB5	-0.801833333333333
CCL21	0.574
C1orf121	-0.842
FMO2	2.90183333333333
RPTN	0.895
MSTN	0.2745
VCL	0.0832142857142857
FYTTD1	0.03525
C11orf1	-0.67375
CCDC88C	0.6666875
HFE	-1.93672222222222
MOGAT1	0.1175
FAM125B	-0.109666666666667
IRGQ	0.683
RAVER2	0.16
AKAP5	0.265
SSSCA1	0.10425
C11orf63	-0.6825
ACTG2	1.36788888888889
PORCN	-0.9705
DTL	-0.381181818181818
TMEM151	1.013
FAM122C	-1.6955
RSAD2	4.1934
BAT4	-1.276
KRTDAP	-1.27783333333333
MYH8	0.09425
CRTC3	-0.0265
LRRFIP2	0.1582
INTS4	-1.24333333333333
TTN	-1.28083333333333
SLC26A5	0.403
PLLP	-1.27075
RGS6	-1.229625
SRGAP3	0.60925
ZNF525	0.263666666666667
NBR2	-1.9675
C13orf1	-0.0307
ZNF137	0.1695
CEP27	-1.12375
BEST2	0.9065
RNF121	-0.134
DMRTC2	1.107
C8orf76	0.51925
BCCIP	-0.442
MEST	-0.841
HTRA2	-0.5375
ANGPTL2	0.4655
ILKAP	-0.064
ERAS	-0.5215
HBS1L	-0.892857142857143
CPA5	-0.1915
TMEM30A	-0.275666666666667
CD300LF	1.75766666666667
WISP3	-0.0565
CRK	-0.0202142857142857
PDS5A	0.1314
BRPF3	-0.568833333333333
NEDD9	-0.889125
SMPDL3B	1.22875
PSG6	-0.93975
PSMD13	-0.48125
ETV5	-2.0375625
OR51A4	-0.443
BTBD7	0.8915
GSTO1	-0.904375
hCG_16001	1.8385
MAD2L1BP	-1.132
COX6A2	2.3235
SCNN1A	-0.331
LSM1	0.798
UGT2B11	1.16775
IDUA	0.4335
PPP2R3C	-1.07566666666667
COX11	-0.117
PDZK1	-1.69675
ZNF443	1.22433333333333
MGC21874	1.0555
ZNF323	0.1873
KRTAP10-10	0.2945
CXCL6	-0.995
SLC34A2	0.1194
LOC284402	-0.053
NPTN	0.91275
UPP1	-1.99475
SLC6A9	0.6365
OR7G3	0.2895
CISD1	-0.195
ZNF545	0.249166666666667
SYT14	-0.325
NT5C3L	-0.981333333333333
ZNHIT3	-0.8565
SNRPD3	0.0275
KIAA0701	0.352625
UNC93B1	0.869333333333333
GMNN	-1.551375
SPCS2	-0.281
LOC388524	0.3375
NAPRT1	0.60875
PNLIPRP1	-0.115333333333333
OR6V1	0.702
PRKAB1	0.0585
EYA4	-2.241
KIF20A	-1.282
ALG10	0.478
ITPKC	1.04433333333333
LMX1B	1.28616666666667
RPUSD4	-1.142
C7orf34	-0.476166666666667
DLGAP2	0.01975
PFN1	-0.7725
MICALL2	-0.510833333333333
ZNF654	0.477
SS18L1	-0.89375
SLC16A8	0.07175
MKI67IP	0.238666666666667
ITGB3	-0.973285714285714
TCEA3	2.26883333333333
CEP152	-1.8588125
CLIP1	0.768625
ZNF75	-0.263875
ATP5C1	-0.934166666666667
NUDT5	-0.350833333333333
PSCDBP	1.274
UBP1	-0.13075
RBM27	0.74375
C13orf15	2.0735
ZNF282	-0.046
ZNF222	-0.077
COL10A1	6.43925
PRDM15	-1.244625
TTTY5	-0.2165
FAM9C	-0.152555555555556
C20orf67	0.295
GNG13	-0.3575
F12	0.11525
C1orf41	-0.9205
CPXCR1	0.52
GSK3A	0.193125
SUPT6H	1.45516666666667
PI16	0.348666666666667
ELL2	-1.43266666666667
C9orf167	-2.0475
PVRL3	-2.514
FLJ38596	-0.08825
ADAM20	-0.162666666666667
GPR89A	0.1305
GPR87	-0.452
ZNF30	1.177
SMR3B	0.81025
ZNF770	0.641125
TRPC4AP	-0.541833333333333
DKFZP686E2158	0.623166666666667
C2orf28	-0.546
FREM1	-0.7835
LAMA4	-0.027
ADPRHL2	0.20475
EIF4G2	0.174833333333333
GUCA1A	-0.1105
CTNNA2	-1.5165
NUDT15	-1.12016666666667
CEPT1	-0.375833333333333
ZNFX1	0.5816
CCDC92	0.78275
TDRD1	-1.9395
KCNK5	-2.6405
ETNK1	0.00891666666666668
LTA	-0.012
TTPA	0.650666666666667
B3GALNT2	-0.76475
SC65	-0.6635
PEX5L	-0.9805
EPS15L1	0.56575
MGEA5	-0.00762499999999998
HIST1H3A	2.48825
ING1	0.880875
BCAT1	-2.60175
ORC6L	-2.33154545454545
KLK11	-4.972
C19orf28	-0.89525
DNER	-4.26025
MED22	-0.961857142857143
ETV6	0.867333333333333
CHAC2	-1.63525
CD300E	-0.325
CEBPB	0.555333333333333
ZNF398	-0.09925
LRCH3	0.2905
HMGA1	-1.10433333333333
CAPN7	-0.0183333333333333
MGC5566	-4.3615
CCL3	2.964875
NANOS1	-1.310125
ZFYVE19	-0.252
APITD1	-0.4875
PARD3	0.837625
IRAK4	-0.902166666666667
SERPINI2	-0.398
CEP170L	-1.3065
TTC9	2.52725
MYOM3	-1.80475
MLPH	1.55475
LOC222699	-0.453
NRG1	-1.76427272727273
TBC1D9	3.13809090909091
TTK	-2.30333333333333
ZNF557	0.3925
DDX41	-0.568833333333333
FANK1	2.001
UBE2D2	0.134
PSMB10	0.342125
MYH7B	-0.052
GABARAPL2	-0.23575
MARVELD2	3.29483333333333
DGCR2	0.466
UNC45A	0.0568333333333333
C6orf72	0.374
ZNF683	4.97375
GIT2	-0.053
CASK	0.856333333333333
C14orf161	-0.537333333333333
LRRC44	2.67625
TIFA	0.485
UTP11L	-0.2995
C6orf65	-1.1615
FDPS	-1.388
DUSP9	-1.7536
SLC17A8	0.0932
OR51G1	-0.0503333333333333
NANS	-0.0565
OLFML1	1.5495
ATP10B	-1.5435
NPAS3	-0.70675
PRKCA	-2.1002
GGA2	-0.2160625
LCE4A	0.264
SPANXN3	0.47
CCDC115	1.28425
SDCCAG3	-0.9385
GLIPR1L1	-0.01575
TTC1	-0.319
C17orf76	0.01475
MAD2L2	-1.5105
HIPK1	0.3471
LRRC3B	-0.785
CLN3	-0.5995
C17orf47	-0.7435
FMN2	-3.953375
TUBB1	-2.303
WAPAL	0.092
C3orf21	-0.19
SCN5A	-0.9665
SMYD1	-0.00466666666666667
BEX5	-0.57725
ZNF192	-0.521
SEC22A	-0.0296666666666667
GRIA2	0.64925
KIAA0825	-0.685666666666667
NUSAP1	-1.72345454545455
LANCL1	-0.102875
C15orf40	-1.1481
ZNF645	-0.16025
GPR61	-0.155
NLRP14	-0.0505
SNX21	-0.6663
C1QTNF8	1.1585
C17orf46	-0.0135
IFNA8	1.176
SPRR1B	-1.525
FLRT1	-0.74175
SNX17	-0.900833333333333
ASB2	-0.626166666666667
HBG1	-5.9475
RPRML	-1.83975
JOSD2	0.359333333333333
PLSCR3	-0.11325
SPOCD1	-0.4685
RAB39	1.3605
GHRH	0.726
ITIH5L	0.34275
C17orf37	0.36725
SMCR8	0.69875
DPY19L2P3	-1.00833333333333
IL11RA	0.0345
GDF3	-3.54916666666667
RPS6KB1	1.17483333333333
DNAJC19	-0.00769999999999995
TOP1	0.013
CRCT1	0.57075
MPST	-0.085
DPM2	-0.043625
FAM38B	-1.46083333333333
SLC18A1	-1.8215
FARP1	-0.2755
PAX7	-0.067
TUBD1	1.32875
GNL3	-0.537625
BTG2	1.53486666666667
NDUFS6	-0.4715
C1orf79	-1.56675
ERAL1	1.32775
ECHS1	1.047
VPS4A	0.0546666666666667
CYP11A1	-0.801875
ABCC6	-0.913142857142857
PBX4	-1.5275
MOSC1	0.96525
NCF4	0.2055
HYMAI	0.428
NAGPA	-0.20675
OTOP2	0.369
ACOT12	0.16825
MTHFD2L	-0.452125
LOC441376	3.69025
C19orf34	-0.718
RAB1B	0.404
ALDOAP2	-0.166
NTRK1	-1.493
ARTS-1	0.4904
SLC6A11	-0.7395
NAP1L2	-1.49575
CNGB1	0.565833333333333
EPB41L4B	0.245166666666667
FAM134B	2.3285
HS3ST3A1	-1.141
CPXM2	4.6155
SIRPB2	0.078
CHORDC1	-1.1025
TRIB3	-1.36616666666667
SLC2A5	1.35925
C2orf49	0.252833333333333
DDX5	-0.95725
OR5L1	0.9755
ANAPC4	-0.642833333333333
ZSWIM1	0.76175
LOC93622	-0.13075
KCNK3	-0.2598
RP11-35N6.1	-2.96625
ZFP161	-0.344
AQP9	4.0335
SLC15A2	-1.55833333333333
MREG	0.700833333333333
OR9I1	0.517
PDLIM2	-0.24725
ADAM7	0.446
GSTCD	-0.264166666666667
WDR21A	0.073875
SLC12A8	0.265
TMEM174	-0.29875
IGSF3	1.14741666666667
LRRN1	1.68975
LOC402117	0.028
SRPK1	-1.77266666666667
LY6K	0.65625
NFIA	2.616
PTCD3	-0.4785
LEP	3.2665
PCDH21	-0.578833333333333
MAPKAPK2	1.131
NMNAT1	-0.872666666666667
LHFPL2	0.31125
C9orf43	1.15175
DIP2A	-1.33866666666667
ACTR8	-0.35325
CCDC34	-0.05025
PTPN22	-0.791
ITGA3	-1.51125
FAM129C	0.41375
RABGGTA	0.6415
UNC45B	-1.093
KIAA1033	-0.220125
ZNF510	-0.126166666666667
CYP2D6	-1.07383333333333
SLC26A10	-2.301
STX8	-0.74375
LUZP1	-0.317875
WDR89	0.887833333333333
EIF4G3	0.1923
C5AR1	1.4715
ZNF623	0.7395
A2M	-0.199
TGM7	0.045
GRPEL1	0.0745
LMNB2	-0.9514
ROCK2	0.459833333333333
SNX16	1.162125
CCDC66	-0.74825
ANXA3	-0.49225
KIAA1609	0.0385
EED	-1.78875
RNF32	-0.298833333333333
HES1	0.881
CLC	0.0988333333333333
ISL1	-1.24916666666667
KIAA0528	-0.544375
MANEA	-0.4715
C1orf61	-2.098
hCG_2001000	2.211
RAPGEF6	0.4878
KIAA0020	-0.175333333333333
NEIL1	-0.375
C16orf45	0.5515
RBM10	-0.328333333333333
C10orf125	-0.900625
MRS2L	0.0945
DNAH17	-1.167125
C19orf10	-0.93925
C1orf160	1.0805
SLFN12	-0.6965
EXOC3	-0.690833333333333
HIST3H3	1.39775
NCOR2	0.102333333333333
TNFRSF9	1.7635
MFSD8	0.8765
ALX1	-3.65566666666667
NOL1	-1.5955
PODN	2.25475
TIAL1	-1.0095
HIST1H1E	2.65675
NPY6R	0.13525
TM4SF4	-0.3475
CORO2A	1.066
ETNK2	1.81383333333333
APOE	1.5065
ANGPT4	0.9455
HDGF2	-0.234
G30	1.863
ST8SIA4	-0.780875
F2RL1	0.118625
FAM19A4	-3.36625
CCAR1	-0.7215
B3GNT7	0.4415
OPHN1	-0.0595
DSCR6	-0.155
C21orf13	0.8355
GAS2L1	-0.127333333333333
RFX3	-0.146
COPS4	-0.349125
BCHE	-4.8145
BCL2	3.99975
HBZ	-3.06083333333333
ARL13B	0.1915
MAPBPIP	0.395375
MYO15B	-0.834375
SPZ1	1.235
KIAA1324	3.32133333333333
PLCL2	-1.4065
C4orf29	-1.409
WDFY2	-1.130875
ZNF284	-0.9795
NAALADL1	-0.272
DUSP5	2.16933333333333
PXDN	-0.435875
SLMO1	-0.40225
TNXB	0.6265
BIRC7	-0.73375
A4GALT	0.634166666666667
TIMM22	-0.09625
FAM110C	0.7265
TOMM34	-0.784625
ABHD9	0.1355
ADAM32	-1.455
CRHBP	-1.01
AQP2	0.645
LOC130355	1.485
ZNF187	-0.6585
ZNF816A	0.1875
F7	-0.478714285714286
CNOT1	-0.2468
SLC13A4	-1.706
ZBTB11	-0.4015
B3GALT5	0.303
EXOC2	2.00366666666667
IRS1	0.247
TMEM1	-0.157333333333333
MRPL34	-0.0291666666666667
SAMM50	-1.1225
CDC42EP3	-0.022
HSF2	-1.5825
MFN2	0.20125
TSPAN7	-1.89016666666667
NUCB1	0.542166666666667
RHOH	1.84525
ARL16	-0.8885
TACR1	0.0965
SFRS5	-0.644166666666667
SNX25	0.029625
RHBDF1	-0.123
PCDH18	0.884666666666667
HMG1L1	0.86625
