Hybridization REF	TCGA-AO-A03L-01A-41R-A056-07
C19orf52	0.18725
BNIP1	0.9615
AQP3	2.505125
KRT6C	0.840166666666667
SIRPA	0.227
IGFBP6	-0.7545
PLEKHK1	0.739
RNASE7	0.225
ARHGEF15	0.762
NPHS2	0.0976666666666667
SRD5A1	-1.00375
REXO4	-0.6395
EEF1DP3	1.27025
SLC37A2	-0.0215
ZNF142	0.31
ANKHD1	-0.5375
MUT	0.339
VPS37A	0.01625
GPRIN1	0.40425
SLC38A3	-1.5015
BAZ2B	1.18425
WDR87	0.246833333333333
BRD7	-0.64225
POU6F2	-0.925
NISCH	0.186375
TCEB1	-0.438
LINGO2	-1.85375
TAX1BP3	0.445
RPL34	0.0345
MARK2	0.913333333333333
AKAP12	-0.922
AMBN	-0.033
SLC25A27	-1.909
FLJ21865	-0.29775
KIR2DS2	0.747166666666667
WDR77	-0.73675
ATF2	-0.368583333333333
ITFG3	0.295833333333333
SLC39A13	0.7495
ARL6IP5	0.704
C10orf137	-0.124625
QTRT1	0.135666666666667
CCNT1	0.02925
DYNLL1	0.7174
WDR53	0.527
LIPG	-0.0673333333333333
ASAH3	0.561
HELB	-1.1345
PHACTR2	0.463375
VENTX	-0.4875
LAD1	1.22216666666667
PAOX	1.08225
MAPK8	-0.9885
CCDC38	-0.103
DNAJC8	-0.4582
RBBP8	-0.78725
WNT11	0.0686
KCNJ12	-0.652
HDAC8	-0.409333333333333
STARD4	-2.9045
ACVR1	0.392666666666667
C14orf65	-0.342583333333333
KLB	-1.724
C1orf65	-0.326333333333333
ZFYVE28	-0.2055
NSUN6	0.11225
KIF27	-0.168666666666667
SYTL2	0.960333333333333
UBXD2	0.1099
OR6T1	0.618
CCDC91	0.268357142857143
GRID2	-0.08
CALN1	-1.0025
ZNF423	0.34925
PSMB4	-0.308333333333333
XPNPEP3	-0.537833333333333
ARPP-21	-1.9771
SART1	0.024
RACGAP1P	-0.7025
SPTA1	-5.01925
C6orf113	-0.6055
C7orf16	-3.6075
CHST7	-0.562666666666667
C21orf29	-0.399333333333333
SEMA6D	-1.426625
PCMTD1	1.249
KIAA1754	-0.334666666666667
MYCN	-0.58325
KCNJ3	5.059
MAPK13	2.3363
ERO1LB	-0.64675
NTF3	-2.23383333333333
NKX6-2	-0.59775
GTF2B	-0.2335
GSPT1	-0.351166666666667
GUSB	-0.444
LOC221091	-1.09
LIG1	-0.077
EXTL3	-0.6595
NID2	-0.33025
TTC29	1.7335
TMEM97	-0.892625
EXTL2	-1.27633333333333
SUZ12	-0.5035
IL1F8	0.053
KRT18	0.973181818181818
MRPS16	-0.100916666666667
PI4K2B	-0.16525
LACRT	0.0985
OR51F2	0.68
JMJD2C	-1.275
KGFLP1	0.90875
CDK5RAP3	-0.377
YTHDF2	0.478666666666667
GGCX	-0.281875
ARPC4	0.46525
EGLN2	0.280166666666667
KBTBD4	0.8055
ROBO3	-0.8937
DEFB118	0.733
KIAA1543	2.09325
RTCD1	-0.366333333333333
MZF1	-0.12325
C18orf26	0.384
CNIH4	-0.075
ZFP2	1.56
HTATSF1	0.33
WFDC2	0.086875
NDUFA7	0.5245
TTC22	0.413333333333333
FAM40B	-2.62675
DCPS	-1.0125
SH2D1B	-0.81
MRGPRE	0.5095
SBK1	0.64075
UNQ6411	0.5475
OSBPL9	-1.1925
NUP107	-0.94725
MYOZ3	-0.6467
PDE4B	-0.556
FAM113A	-0.3235
IDH3G	0.697
FBXL7	1.628125
ARFGAP3	-1.08825
MAPRE2	-0.702
IL1RN	-0.5416
KIF13A	0.03075
RAC3	-0.0415
TCTE1	-0.1185
TMEM14B	-0.598666666666667
ADIPOR1	0.426666666666667
GRINA	1.2665
CLIP4	-0.772
LRIT2	-0.296
TFPI	-2.84557142857143
FABP6	1.3115
SLITRK2	-0.706333333333333
HKR1	0.13225
SMTN	-0.154
C1orf75	-0.15425
CD209	0.117375
CYB5R2	1.17075
DNTTIP2	-0.371166666666667
CSGlcA-T	0.182125
GABRB3	-3.5645
PCBD1	0.518166666666667
TAF3	0.771583333333333
HOXD3	-0.850666666666667
GIPC3	-0.4315
P11	0.118
BFSP1	-0.5435
LCP2	0.8825
TAS2R8	0.855
SEZ6L	-0.465375
NR2C1	-1.536625
EXDL2	1.0881
TNFRSF13B	-1.5775
MKI67	-0.1605
GLS	-0.795833333333333
C7orf54	-0.9418
LGALS13	-0.0133333333333333
IL4R	1.7625
SEC11A	0.590666666666667
SPP2	0.493666666666667
C18orf32	0.69575
CLSPN	-1.37783333333333
SPAG1	0.098
C9orf82	-0.94675
TM4SF1	-0.72675
EMILIN2	0.4815
SMG7	0.403166666666667
TAS2R13	0.3515
ZNF628	0.3485
DZIP1L	0.0691666666666667
ANKRD13A	-0.166
VASP	0.90175
ZCCHC11	-1.352125
SYPL1	-0.126125
MGC34774	0.1355
C4orf28	-0.28825
KIAA1211	2.09383333333333
RPS27L	-0.83575
TATDN3	-0.81225
PDCD1	0.8775
OR5P2	0.4265
IFIT1L	1.4475
MIPOL1	-0.5565
OR51D1	0.33175
C1orf92	0.673166666666667
LAMP2	0.417722222222222
CAT	0.341
C16orf80	-0.7525
C15orf32	2.014
ZNF746	-0.0965
C1orf76	-1.361
ATXN1	0.10025
LAMC2	1.826
SLC2A7	-0.2795
CPOX	-1.90825
APH1B	0.657333333333333
LOC442245	-0.58825
CTNND1	1.66255555555556
GABRG2	-1.332375
MADCAM1	-0.5645
F5	-2.341
SEMA4F	-0.4315
NUDCD3	0.043375
PDZD11	1.445
TRIML1	0.986
GCNT3	-2.56333333333333
TMEM120A	0.33275
CNDP1	0.2015
N4BP1	0.4645
SLC35F2	-1.175125
LCP1	-0.87275
IGBP1	1.1248
DCAKD	-0.6775
ELA2A	-1.1265
C12orf56	-2.26625
PITRM1	0.494785714285714
GUK1	0.696
RASSF8	-0.057625
OR2A14	0.43025
ADM	-2.09922222222222
FGD3	1.9995
GHRHR	0.4166
RHPN2	-0.42125
C4orf39	-0.0346666666666667
VPS72	-0.1925
SERF2	1.44266666666667
CD22	1.03983333333333
CD47	-0.2822
PPIC	0.566333333333333
IMPDH1	-0.303416666666667
ACP6	-0.1075
PRKACA	0.365625
PPP1R1A	-1.03325
TRPV3	0.04475
ASXL1	-0.8915
C17orf55	-0.347666666666667
FXYD1	0.342333333333333
LMOD2	0.3685
ANKRD33	0.509
LCE2C	0.154
ZNF620	-0.6085
DKFZP566E164	-1.105
VSIG2	0.65175
KIAA1128	1.06625
USO1	0.290333333333333
NUDT4	0.698642857142857
CLDN1	-1.46207142857143
OR4Q3	0.278
FASTK	-0.0703333333333333
ICOS	2.007
LDB1	0.62375
GSTA5	0.1225
ABCC1	-1.75516666666667
FAM54A	-1.44
PCBP2	-0.0823333333333333
NUP205	-1.48375
ACTA1	0.925
GABBR2	-1.47475
PIP5K1B	1.43916666666667
AGXT	-0.861333333333333
RNF181	0.422
ATP8A2	-1.1125
AFTPH	1.36075
FGF21	0.103
FCER1G	2.0935
SNTB1	-1.99675
SLC24A3	1.76125
TXNL4B	-0.8555
RPL10L	0.176666666666667
LOC389517	-1.10635
TSGA13	0.2565
SHOX2	-0.722166666666667
ITGA7	-0.5711
KCNIP2	-0.997166666666667
KLF13	-0.5733
ZFAND2A	-0.70675
CEACAM1	-0.784714285714286
PFKFB4	-2.23366666666667
MED19	0.73825
LRRC57	0.127166666666667
RNF11	-0.129
ANKRD32	-1.77875
P117	0.5415
OBFC2A	-1.21633333333333
POLD3	-0.8945
RAB18	1.035
TPH2	-0.2685
PHB	0.6191
JDP2	1.505
MORF4L1	0.1738
POU2F1	-0.8705
CNNM2	0.00308333333333334
LOXHD1	0.499666666666667
ZC3H15	-0.22
ELK3	0.696833333333333
FAM111B	0.98775
CBLC	2.50033333333333
SBNO1	-0.038
ANKMY2	-1.1025
PLEKHA5	0.0824999999999999
DHX58	1.772
ARCN1	0.0231666666666667
TREML1	0.8465
KNCN	0.8425
SEC24A	-0.387125
PSCA	0.745
MGC24125	0.343833333333333
DNA2L	-1.05725
CIB4	-0.687125
HIGD2A	0.414333333333333
TBX6	-0.2665
TTLL5	-0.643333333333333
SGK3	0.4995
GCN1L1	-0.222
AMOT	-0.667
LDOC1	1.7185
NRK	-0.8045
ASB9	-2.98375
NAT1	5.6496
TRAFD1	0.55975
PEAR1	0.526333333333333
FAM36A	-0.46575
OR1S2	-0.064
LOC388323	-2.10975
PGS1	0.0418333333333333
LEPREL1	-3.331
TFF1	-1.04283333333333
HAP1	0.2185
EPHB2	0.34075
ACTG1	1.27416666666667
ZFP42	-1.3195
HAVCR2	0.4956
NME1	0.029
SNX26	-0.0689166666666666
LACTB	-0.352333333333333
ZKSCAN2	-0.411625
C5orf35	0.0785
ANKS3	-0.83875
RBM28	-1.11975
DKFZP586P0123	-1.33475
HNRNPA1	0.363333333333333
BCAS3	-1.47108333333333
FLJ20184	0.0585
POLA2	-1.23366666666667
TMC7	-1.239
HSD17B6	2.5205
ZNF658B	0.243
TTTY10	-0.483166666666667
RANBP9	0.30675
CPNE7	-2.16883333333333
EVL	1.97888235294118
LNX1	0.626583333333333
IFNA21	0.3842
CFD	-0.896
PYCARD	2.44633333333333
MYBPC2	-1.6745
ENPP3	-2.31616666666667
ACSL4	-1.39475
LOC440258	-1.25316666666667
TMEM176B	3.412
SOX2	-0.059875
SCO1	0.262
COMT	0.24525
AOC2	0.30825
PDLIM5	1.21314285714286
SPHK2	0.374666666666667
NXPH2	0.662
GPR108	0.550333333333333
RAD51L1	-0.382833333333333
TMEM54	0.9075
LETMD1	-0.615888888888889
SLC6A17	0.5745
KRT75	1.6075
STT3B	-1.45366666666667
CD3EAP	-0.4315
TMEM63A	0.4745
DUSP13	-1.64825
CD1C	-0.563166666666667
LASS2	0.239333333333333
AVP	1.106
PITPNM1	-1.08575
FLJ22795	-0.253
MCTP1	-2.56525
TRIM68	1.26016666666667
UCK2	-0.17
ABHD1	-0.25175
FAM50A	0.51875
RNASEH1	-1.147
PCP2	0.347166666666667
OR52H1	0.203
C20orf149	-0.27475
RBP5	-0.402833333333333
HYAL3	-0.50425
CLPB	-1.33275
SMNDC1	-0.25275
DONSON	-1.94816666666667
FLJ27523	0.586
BARHL2	0.223833333333333
SLC30A9	0.1265
TMPRSS11B	-0.23375
E2F8	-0.440333333333333
CCDC25	-0.163083333333333
C14orf48	0.6002
C20orf116	0.183
TSPAN11	0.4765
YIF1B	-1.10066666666667
FAM12B	0.830333333333333
OR1L6	0.4685
HPN	-0.6881
NBN	0.23875
C14orf94	-0.1555
OCLM	0.312
ZSCAN18	0.8933
L3MBTL	-1.8717
TSTA3	1.2345
RAC1	0.072
C19orf15	0.0201666666666667
NFE2	-4.9615
KLK14	0.447
ARSF	-1.5745
MAST2	0.125166666666667
AMICA1	2.33183333333333
GTF2A1	0.25225
ATP1A3	0.14825
TC2N	3.3134
PNKP	0.6415
ODZ2	1.467375
MATR3	0.40825
S100P	1.913
KRT82	-0.3935
CA13	-0.92
PROZ	0.405666666666667
AASDH	0.225
C19orf40	0.0616666666666667
DCK	-0.106076923076923
FAM5C	2.606
SLC6A4	-1.5435
MID1IP1	0.19325
TESSP5	0.039
TMOD4	-0.180833333333333
DOCK2	-0.7315
TUG1	0.132625
NUP214	-0.625
DPYSL2	-0.287772727272727
GOLM1	-0.603416666666667
MPFL	0.123
SOX13	1.5105
SDCCAG8	0.7182
KEL	-2.63666666666667
NUP210L	-2.324
GK	-0.71375
DNAJB1	1.1815
ALPK3	0.3445
CHID1	0.3386
CYLC2	0.848333333333333
IKZF5	0.48225
C8orf51	0.842
PPM1J	0.893
GIMAP8	3.2105
GPR101	0.2595
NR2F1	1.69
ACAD8	-0.9445
RBM35A	2.025
GNAI2	-0.124166666666667
METTL8	-0.844333333333333
SLC39A7	-0.27375
FBXO8	0.59575
CAMK1	-0.5775
RFC3	-0.641
FAM129A	0.8585
ILF2	-0.457
FGFBP3	-0.886
NOM1	-0.785333333333333
PSMA3	0.05325
ASCC3	-0.3812
ZYG11A	-1.4815
SOX21	-1.708
LYRM1	-0.7545
DEFB1	0.5615
LOC91431	-2.2785
OR7C2	1.15
FAM46B	-1.530875
TMEM18	0.148
ARHGAP30	1.09733333333333
TMEM86A	3.57991666666667
EPHA2	-1.515
C10orf46	0.4059
TCHH	-0.893833333333333
C3orf30	0.952
LOC285636	0.209833333333333
PAIP2	0.02925
CYP2U1	-0.55925
C12orf34	1.5725
SARS2	-0.4535
ZCWPW1	-0.542
SAMD12	1.67375
KIAA1430	0.108
ACAT1	-1.05975
MEOX1	2.13583333333333
ADAMDEC1	5.29975
PHKA2	-0.476
CARD11	-0.555666666666667
CALML4	-1.2905
TSSC1	-0.0905
TMEM45A	-1.19811111111111
MPP7	0.748875
POU1F1	-0.0307500000000001
SLC2A13	-0.6004
FBN2	0.375642857142857
ZC3H7A	-0.0111
LAIR2	0.0905
ST3GAL1	0.5055
LCT	-2.54175
GEMIN8	0.351833333333333
KLF16	0.768
HIF3A	-0.2656
FAM44A	0.0797857142857143
AQP10	-1.0152
PLA2G2A	-1.584
FOLH1	0.609333333333333
C20orf186	0.0825
MAPKAP1	-0.31625
SPRR2D	-1.391
UBQLN4	-0.0515
RSHL1	0.543333333333333
PIAS3	0.72325
MRPL24	0.863
GREB1	-0.07
FAM27E3	-2.0075
NUP62CL	-1.154
NEUROG3	1.4285
REEP3	0.741166666666667
MARK1	2.173
LMBRD1	-0.24125
PRPF19	-0.1705
PNMT	-0.882833333333333
CTGLF1	-0.8205
SLC25A16	-0.37475
EIF2B3	-1.345
RPA2	-0.7415
PAK6	1.16983333333333
CCDC26	-4.0445
SEMA3E	0.873625
MXD4	1.4782
TNFSF10	4.195
SMARCB1	-0.0558333333333333
DTX3L	2.16316666666667
PLA2G4E	-0.228
PPAP2A	0.8455
ULK1	-0.293666666666667
TAS1R3	0.0745
SLC2A3	-3.01990909090909
ARID3A	-1.5285
GNG5	-0.20675
ACOX1	0.346
KIF5B	-0.089
NUP153	-0.37925
MUC7	0.6265
CSDE1	-0.418214285714286
CLPTM1	-0.0745
C3orf23	-0.821
LRRC17	1.04366666666667
TTYH3	-1.10975
ATP5B	-0.2945
ELF3	1.8041
CPSF3L	0.276333333333333
ZNF665	0.771666666666667
TLR6	0.5
GPI	-1.034875
RAD9A	0.07
NDST4	-3.381
AGPAT3	-0.51325
MAGI3	3.04016666666667
ADORA2A	0.58125
CACNG7	-0.65
CAMK2D	0.0979285714285714
CCHCR1	-0.636
RPS27A	-0.6315
OR10G7	0.144833333333333
GCM2	0.438
FAM135B	0.2683
E2F1	-0.62025
PLCB3	1.13575
OR2AE1	0.7055
COIL	0.0878333333333333
CDC25C	-0.3385
RAB11FIP2	-0.106833333333333
TSC2	0.45225
CTGLF5	-1.5235
CCDC108	0.276222222222222
OR13C4	0.24225
C10orf81	5.04675
PTPRB	1.337
ACP2	1.62325
LAG3	1.3555
MRPL54	1.1755
LOC201175	1.159
ITGB1BP3	-1.73625
SPTAN1	0.146833333333333
SIPA1L2	1.22925
RCAN2	-0.7315
CDX2	0.1835
ECOP	-0.3985
ACTR1A	0.270071428571429
PPARG	-1.50516666666667
BBS10	0.406833333333333
TMEM44	-0.352625
BPIL2	0.916
CITED1	0.5735
IRF6	4.44375
PRDM4	0.400833333333333
RRP9	-0.569333333333333
OR10H4	0.421
IL31RA	-0.13625
GNB1L	-1.1295
MYBL2	-0.78
ZNF407	0.720833333333333
PPIG	-0.187333333333333
TTC18	1.02825
RPSA	-0.772
MAPT	0.253125
MRE11A	-0.0622142857142857
C8orf37	-0.941333333333333
RASGEF1C	-0.564833333333333
STBD1	0.91625
CTAG2	1.04783333333333
MGAT5B	-2.095
ECM1	1.30175
RLN1	-0.604
PARP14	1.876375
EPB41L1	1.7591
HOXA3	-0.468583333333333
MAGEA9	-4.4975
RPS8	-0.8705
RPS19BP1	-0.14125
FOXJ2	0.023875
C10orf76	0.474875
IL17RE	0.882
C10orf65	0.9365
ZNF343	-0.619166666666667
FBXO33	-0.4785
UHMK1	0.7218
LY6G6C	0.8385
FGF19	-2.0445
C14orf128	-0.8515
IFIT2	3.093125
TIGD1	-0.20025
S100G	0.471
GUCY1B3	2.374
NR3C1	-1.2025
CORO1B	1.249
PARP11	-0.0345833333333333
DNALI1	3.572
OR4N4	-0.0796666666666667
MAP2K6	-0.457333333333333
FSTL4	0.15275
ANKRD47	1.282875
TMEM171	0.22
PNLIP	0.39575
YY1	0.3395
CCDC138	-2.0355
AASDHPPT	-0.3512
CKS1B	-0.0414
MCM3	-0.512166666666667
ANAPC7	0.0155
FAM110A	2.603
CDC37L1	0.382333333333333
THTPA	0.2395
NBPF20	-0.8165
WDR24	0.953
NPTX2	-2.843
CBLB	0.346833333333333
CETN1	0.206333333333333
RPUSD1	0.20375
FAF1	-0.87725
CDK6	-3.1652
HMX2	-0.3765
CSK	-0.337666666666667
TEAD2	0.05125
SNAP25	-2.5655
TUFT1	1.398
TMTC3	1.29866666666667
LCK	-1.442
SGOL1	-0.883666666666667
AKTIP	0.3775
FURIN	-0.283875
SOX12	0.6835
DEFB103A	-1.18925
RAMP1	3.37775
KIR3DX1	0.138
GAS2L3	-0.4495
PDE8A	-0.9593
EDN3	2.8105
GMIP	1.18875
SF3A2	0.9015
FN3KRP	0.70875
SMAD7	0.78125
RHBDD2	-0.1195
OR11H6	0.684
PPP1R3B	0.9527
C9orf23	0.4585
CADPS	-1.468
GOLGA8A	-3.843125
TMEM57	1.0425
RGL3	1.1255
S100A14	3.41225
FGFR2	1.493125
XRCC3	-0.28925
RTN4RL2	0.59325
MGC3771	0.6565
GH2	0.294
BTBD2	0.47725
LMO2	-0.1675
RDBP	-0.0375
ACRBP	-1.13625
AMY2A	1.4605
DUOXA1	0.468
PTK7	0.510833333333333
TWF2	-0.535166666666667
FAM80A	1.59625
TNNI2	-2.532
GLT25D1	-0.274666666666667
OCC-1	-1.22425
CYC1	-0.350666666666667
RPL22	0.273363636363636
MORN3	0.871333333333333
DISP1	0.78175
PRB2	0.063
CHUK	-0.21075
HR	0.087875
CCDC134	-0.079875
DENND4B	-1.3535
C14orf130	0.2365
RAB33A	-1.214
DCST2	0.448
TNMD	-1.7605
PEX7	0.04875
FAM62A	0.388
SRD5A2L	1.12075
IL22	0.7505
RPS26	-0.738
HOXC5	1.8915
SPATA6	0.08125
FLJ38482	0.11125
ZNF234	0.7045
C18orf22	-0.1505
SPATA22	0.7425
THOC1	-0.82125
CYP7B1	2.7425
KCNC3	0.2125
C8orf42	-1.6695
ALDH1B1	0.386833333333333
CCDC100	0.1947
ARMC4	-0.76025
FAM18B2	-0.3235
SLC44A1	0.11525
FBXO17	-1.8445
C6orf107	0.11725
C19orf29	-0.05575
ZC3HAV1L	0.063
PARP6	0.1073
SULT2A1	-4.98075
C1orf159	-0.4865
TMC1	0.283
CHST14	0.32
GAMT	-0.585333333333333
SMCP	-0.322166666666667
TSPAN33	0.441416666666667
MIDN	0.531
NOX4	3.07325
RNASEN	-0.3312
TBX1	-1.84183333333333
SALL2	-2.059
C10orf35	0.856
CYP2E1	0.473875
LRFN2	3.06666666666667
ACO1	-1.72516666666667
IQCG	1.1068
MEGF9	2.4645
TM7SF4	2.45575
PLEKHA1	0.2384
STK33	-2.79825
C1orf210	2.0585
SNUPN	-0.1453
KIAA0406	0.2642
C20orf29	-0.057
TMEM55B	0.5125
OSTM1	-0.9474375
CLCN7	0.42825
OTP	0.412
FLJ23049	0.525
HEATR4	-0.221
MAP3K10	0.597166666666667
PCDHGA9	0.4505
AMDHD2	1.3755
LCTL	-3.0225
PDCD2L	-0.78375
CABLES2	0.00749999999999999
SLC5A9	-0.39825
CLCA2	-1.34533333333333
MGC16025	-0.14
STRAP	-1.463
C20orf196	0.1755
RRBP1	1.02516666666667
NAT13	-1.24575
MAT2B	0.066875
CSNK1D	-0.126166666666667
KIR3DL1	0.48725
PRKAG3	0.9825
ZNF599	-0.614
PRM3	0.695
PER2	1.38033333333333
ASPHD1	-2.902
PRMT6	-2.838
KCNE1L	-0.805071428571428
FAM118A	-1.43766666666667
TAF4	0.66275
NDUFB6	-0.67825
TRIM9	-2.17627272727273
PMFBP1	-1.0705
KY	0.554
DKFZp762E1312	-1.21309090909091
CSMD1	-1.5065
TBP	-0.783666666666667
OR1Q1	0.2844
RETNLB	0.161
HPGD	-0.143538461538462
DNAJC12	1.752
FKBP1B	-1.619
ANKRD24	-0.0758
CXXC5	1.61083333333333
IL3	-0.028375
DRAM	0.7859
PTCH1	-1.34275
TP53BP1	0.0105
SLC17A7	-0.233875
COL25A1	-0.774666666666667
AMACR	0.322833333333333
RHCG	-0.20775
VPS13A	-0.468666666666667
FAM55D	0.6445
PRPF38B	-0.718
OSBPL6	-0.7215
PFDN5	0.2997
CMTM6	0.902125
KCNK12	-0.8945
RP2	0.49175
C16orf52	-1.476
PICK1	0.603
IFNE1	-1.12683333333333
SEMA4B	1.33275
TYRO3	-2.1845
OR12D2	0.526
CSNK1A1	0.75755
FANCF	1.47425
LONP2	0.907375
TBL1Y	0.00525
LDOC1L	-0.623625
CCNC	0.17875
C3orf60	-0.814
CHKA	-1.28425
UBAP1	0.32525
MAP3K1	0.8845
ANKRD9	-0.45325
FAM92A1	-2.30733333333333
GAB2	-0.530375
AZU1	-0.39025
DIS3	-0.8535
C21orf109	-0.914666666666667
IQCB1	-0.04975
SPATS2	0.203666666666667
EFCAB3	-0.43625
PRB3	0.426
FUZ	-0.585166666666667
ZNF813	0.241125
BMPER	-1.54983333333333
HEG1	-0.30225
ALS2CR11	-1.23
SURF2	-0.04575
PSMC1	0.283833333333333
OR2D2	0.3245
SLC7A8	1.93866666666667
C4orf40	-0.7005
SPATA7	0.4285
MAZ	0.40975
PIN4	0.42625
PDE1A	-0.332875
TAF6L	0.148166666666667
OR2T34	0.3985
KIAA0284	0.21925
ACADS	-0.681454545454545
MKRN2	-0.9615
C18orf56	-1.63525
MS4A6E	0.00233333333333334
GALNT4	0.6975
C22orf31	0.1475
FLJ36070	0.1645
PSME4	-0.27025
TFG	-0.6364
EPHX2	0.790125
ANXA5	-0.272
KRTAP1-1	-0.572777777777778
BATF	1.6965
KARS	-1.11475
MSTP9	-1.0525
GPR26	0.359125
CCDC72	-0.54425
TEF	0.859833333333333
FOXK1	-1.2334
PRLHR	0.122
EMX1	0.7675
C11orf30	-0.348875
ICK	0.713875
THSD7B	0.19375
C21orf100	-0.8505
DUOX1	0.7645
EFCAB4B	-0.516
UBE2G2	-1.44116666666667
C3orf54	0.0745
PARP1	-0.87525
FAM60A	-0.589333333333333
C6orf146	0.8425
OR9K2	0.8105
DDX55	-0.627166666666667
RPS15	0.774583333333334
ZNF618	0.7150625
DKFZp686D0972	0.7365
SSPO	-0.5645
SHFM3P1	1.021
CPA6	0.3395
JAG2	0.32275
DEFA3	0.65575
PPBPL2	0.479666666666667
CD34	3.882625
SLCO4A1	-3.11775
AFG3L1	-1.33366666666667
SHD	-0.65075
RP13-122B23.3	-0.122833333333333
PRKCSH	-0.913333333333333
DPH5	-0.397833333333333
HLA-F	2.028875
TBC1D4	-0.64175
RIG	0.2235
GLUD1	-0.452333333333333
HNRPCL1	0.575625
HBXIP	-0.65425
RNF207	-0.3655
APIP	-0.7185
PLA2G3	-0.820333333333333
CCDC84	-2.481
MYLIP	0.238307692307692
PHIP	-0.28775
AARS2	0.0498333333333334
DHX32	0.5325
SCAPER	0.476
MEN1	-0.392375
NIP7	-1.33275
FLJ25404	0.7745
FASTKD3	-0.104
TMEM158	-2.44791666666667
RARA	1.87025
BDH1	0.8325
ANKRD16	0.19375
CARM1	0.3705
SS18	0.0935
IKZF2	0.1335
MYD88	1.08225
PML	0.9554
TAF1A	-1.00675
CBFB	-0.9755
HIST1H3H	-0.517833333333333
C7orf29	-2.71075
COMMD4	0.177666666666667
DPP3	0.598
DAB2	0.4605
LOC388882	-0.127
YPEL4	-0.464375
AGBL3	1.161
LRP6	-0.2447
SERPINH1	0.0163333333333333
TLE1	-0.349
CD244	1.2835
ZDHHC15	-0.75375
MGLL	0.2455
PLDN	-0.1025
LOC654346	2.3
FAP	3.3945
GPR37	1.3155
SCARA5	-0.5415
EBF4	1.20245454545455
LSM6	-0.183
MLLT1	0.3875
SLC5A12	-0.17525
A2BP1	-1.71116666666667
COPS5	-0.0308333333333333
TPM4	0.898928571428571
TNFSF4	0.936
ACADSB	1.69894444444444
HERPUD1	-0.2085
BCL2L11	-0.658388888888889
CEP78	-0.91125
CDCA3	-0.923
WBSCR19	-0.2061
MYO1A	-1.959
PPEF1	2.68983333333333
LOC440348	-0.7355
CPEB2	0.847125
BPTF	1.36925
RPL21	-0.42525
GSX2	-0.671
ADPRH	0.9125
C17orf68	1.26783333333333
KCNS1	-0.672833333333333
MLLT6	0.3992
PIWIL4	-0.14125
RNF26	-0.558
RAP1B	0.379875
ADAMTS1	-2.4075
ZNF571	-0.3105
P2RY6	0.15425
TRIM21	1.736
CADM3	0.4
NLRC5	0.803166666666667
ADRA2B	-0.274166666666667
LOC90835	-0.2845
PCF11	-0.87125
LOC400451	2.496
GLTSCR1	0.7941
C17orf88	-0.8015
CDH16	-2.1255
FGF7	1.124125
PCSK4	-0.355166666666667
NPC1L1	-0.0783333333333333
TAT	0.431875
TBCA	0.0045
MGC33407	0.3
GPR115	0.115125
CYGB	0.3435
FNBP4	-0.837833333333333
C12orf43	0.29725
CBL	-1.5351
CLECL1	1.7575
PPAPDC1A	2.68275
WDR25	1.05633333333333
SGCA	0.178
C22orf29	-0.4115
YIPF1	1.40525
GALK2	-0.90775
RAB3B	-3.55075
LOC440087	0.97675
UCP1	-1.115
REEP5	1.66025
FADD	0.8244
FOXA1	3.008
CACNA1A	0.157
ABI1	0.205166666666667
GRIN2D	1.168
SLC1A4	1.16733333333333
LOC401127	-0.2555
HINT2	0.613
PLD4	0.9245
ZNF286A	-0.80175
ENY2	-0.6975
IL1F6	0.2415
PXDNL	0.22375
C20orf79	-0.068
TNFSF13B	3.3975
DENND3	-0.47025
JARID1D	-3.6185
HIST1H2AK	0.3875
LOC93349	0.5936
SSH1	-0.5211
ENSA	0.48475
LOC219854	-0.395666666666667
CKAP2	-0.8506
DKFZP564J102	-0.221833333333333
MGC87315	0.191666666666667
HNRPAB	0.45075
AMH	-2.8145
ZNF526	0.367
BRUNOL5	-0.2544
CACNG3	0.372
TRPM1	-1.803
PPP2R1A	0.37125
COL2A1	-1.1875
DDN	0.000166666666666667
FLJ25770	0.44075
HK2	-0.621071428571429
ELOVL6	-0.96575
MDK	0.04475
EPHX1	1.16225
RASSF2	0.4555
DKFZP434B0335	-0.70825
DLX3	0.144125
PRTN3	-0.7865
AVPR1A	0.394333333333333
C21orf125	-0.7435
TNFAIP8	-0.7555
GNB2L1	0.14775
CALCRL	2.73525
SCGB2A2	8.47683333333333
UBXD7	-0.17075
ZNF674	-0.012
TMEM35	0.818875
BRSK2	-1.286375
HECTD3	-0.0806666666666667
TMEM188	-0.730416666666667
LGALS9	2.669375
SCARB2	1.00425
USP34	-0.245916666666667
C17orf28	2.73925
ZDHHC23	-1.62175
AQP12B	0.057
SLC16A3	-2.697625
APLP2	0.239
ITIH2	-5.31875
MICAL3	-0.472875
TNNI3K	-0.1742
HDAC2	-0.348125
PRR7	-0.3116
THBS2	0.747
LOC751071	0.708
CA2	1.261
RANBP17	1.08275
RLN3	0.2975
CRYZ	-2.35983333333333
GBAS	-0.876
TAS1R1	-0.353
MPZL3	0.4355
PCDH8	-1.472
HSP90B1	-0.761583333333333
KCNK15	2.175
TNIP2	0.710666666666667
GPR146	-0.41425
NOL6	0.14925
SPC25	-1.53055555555556
STEAP2	0.910142857142857
VAMP3	-0.137
TCIRG1	0.31475
ZP4	0.7175
PARL	-0.501375
