Hybridization REF	TCGA-BH-A0BM-01A-11R-A056-07
ANKS3	-0.123
RBM28	-1.128
DKFZP586P0123	-0.82325
HNRNPA1	-0.1245
BCAS3	-1.38041666666667
FLJ20184	0.6235
POLA2	-1.74433333333333
TMC7	-1.62266666666667
HSD17B6	0.78
ZNF658B	1.66933333333333
TTTY10	-0.304
RANBP9	-0.73575
CPNE7	-2.00833333333333
EVL	1.58417647058824
LNX1	0.826916666666667
IFNA21	-0.0843333333333333
CFD	3.3865
PYCARD	2.622
MYBPC2	-1.7725
ENPP3	-1.862
ACSL4	-1.50925
LOC440258	-0.4135
TMEM176B	3.5835
SOX2	-4.5055
SCO1	-0.7075
COMT	0.28525
AOC2	-0.12
PDLIM5	2.15228571428571
SPHK2	0.900333333333333
NXPH2	0.0855
GPR108	0.645833333333333
RAD51L1	-0.326
TMEM54	1.217
LETMD1	0.128222222222222
SLC6A17	1.3505
KRT75	-0.8975
STT3B	-1.14283333333333
CD3EAP	0.186333333333333
TMEM63A	1.03775
DUSP13	-1.9845
CD1C	-0.585666666666667
LASS2	1.2715
AVP	1.7
PITPNM1	-1.73675
FLJ22795	-0.785
MCTP1	-2.299
TRIM68	0.884833333333333
UCK2	-1.34033333333333
ABHD1	1.83825
FAM50A	-0.1905
RNASEH1	-1.72883333333333
PCP2	0.871833333333333
OR52H1	-0.3465
C20orf149	0.7745
RBP5	-0.344333333333333
HYAL3	0.14975
CLPB	-0.889
SMNDC1	-0.888
DONSON	-3.17683333333333
FLJ27523	0.704333333333333
BARHL2	-0.0573333333333333
SLC30A9	0.164666666666667
TMPRSS11B	0.2155
E2F8	-3.0665
CCDC25	0.609333333333333
C14orf48	0.115
C20orf116	0.559875
TSPAN11	0.1925
YIF1B	-1.37483333333333
FAM12B	0.36675
OR1L6	-0.023
HPN	0.094
NBN	0.260625
C14orf94	-0.414666666666667
OCLM	1.0805
ZSCAN18	1.3253
L3MBTL	-1.442
TSTA3	1.853
RAC1	-0.25
C19orf15	0.00716666666666666
NFE2	-4.96725
KLK14	0.4565
ARSF	0.413
MAST2	0.00766666666666667
AMICA1	2.16233333333333
GTF2A1	0.390375
ATP1A3	0.63325
TC2N	4.1091
PNKP	0.37075
ODZ2	0.879875
MATR3	0.2215
S100P	2.438625
KRT82	-0.5375
CA13	-0.4047
PROZ	-1.13283333333333
AASDH	0.633625
C19orf40	-0.382666666666667
DCK	-1.10384615384615
FAM5C	-1.52725
SLC6A4	3.712
MID1IP1	-0.23175
TESSP5	0.068
TMOD4	-0.203666666666667
DOCK2	-1.85966666666667
TUG1	0.16875
NUP214	-0.4305
DPYSL2	0.00640909090909093
GOLM1	2.12683333333333
MPFL	0.1205
SOX13	0.593
SDCCAG8	0.7454
KEL	-2.3175
NUP210L	-1.9515
GK	-0.2315
DNAJB1	1.2295
ALPK3	0.4605
CHID1	0.5168
CYLC2	0.1002
IKZF5	1.00275
C8orf51	1.14666666666667
PPM1J	0.34675
GIMAP8	3.71333333333333
GPR101	0.256
NR2F1	1.4525
ACAD8	-0.2025
RBM35A	0.47975
GNAI2	-0.742166666666667
METTL8	-0.344166666666667
SLC39A7	-0.20475
FBXO8	0.69075
CAMK1	-0.33675
RFC3	-1.94775
FAM129A	3.18121428571429
ILF2	-1.22175
FGFBP3	-1.04
NOM1	-1.31333333333333
PSMA3	-1.24375
ASCC3	0.0734
ZYG11A	-0.44425
SOX21	-1.373125
LYRM1	0.07825
DEFB1	1.157
LOC91431	-2.90083333333333
OR7C2	1.2315
FAM46B	0.878
TMEM18	-0.30125
ARHGAP30	0.0263333333333333
TMEM86A	4.01841666666667
EPHA2	-1.0485
C10orf46	0.9017
TCHH	-1.453
C3orf30	0.3324
LOC285636	-0.2305
PAIP2	-0.2385
CYP2U1	-0.0504285714285714
C12orf34	1.2085
SARS2	-0.489
ZCWPW1	1.23875
SAMD12	1.32275
KIAA1430	0.151375
ACAT1	-1.78325
MEOX1	2.17016666666667
ADAMDEC1	2.06275
PHKA2	-0.41275
CARD11	-1.457
CALML4	-1.1015
TSSC1	-1.34275
TMEM45A	-1.99033333333333
MPP7	2.372625
POU1F1	0.31025
SLC2A13	0.7618
FBN2	-1.41253846153846
ZC3H7A	-0.5158
LAIR2	-1.7425
ST3GAL1	0.192833333333333
LCT	-2.48225
GEMIN8	0.836666666666667
KLF16	1.3474
HIF3A	-0.2898
FAM44A	0.668
AQP10	-0.6721
PLA2G2A	3.096
FOLH1	1.254
C20orf186	-0.8765
MAPKAP1	-1.001375
SPRR2D	-1.3445
UBQLN4	-1.07316666666667
RSHL1	0.478833333333333
PIAS3	0.231625
MRPL24	0.65125
GREB1	-2.858125
FAM27E3	-2.1515
NUP62CL	-1.0165
NEUROG3	2.6265
REEP3	1.31408333333333
MARK1	0.101625
LMBRD1	0.271
PRPF19	-1.3775
PNMT	0.626
CTGLF1	-0.9035
SLC25A16	0.468
EIF2B3	-1.949
RPA2	0.11575
PAK6	1.839
CCDC26	-3.623375
SEMA3E	3.663625
MXD4	0.8334
TNFSF10	4.885
SMARCB1	-0.981666666666667
DTX3L	1.21383333333333
PLA2G4E	3.442
PPAP2A	1.685
ULK1	-0.725833333333333
TAS1R3	0.2295
SLC2A3	-2.994
ARID3A	-2.0825
GNG5	0.01175
ACOX1	0.2853
KIF5B	0.1955
NUP153	-1.27925
MUC7	-0.5615
CSDE1	-0.115142857142857
CLPTM1	-0.40325
C3orf23	-0.345875
LRRC17	0.65
TTYH3	-0.8645
ATP5B	-1.9515
ELF3	2.3548
CPSF3L	-0.349666666666667
ZNF665	0.126
TLR6	0.2718
GPI	-0.219
RAD9A	-0.693125
NDST4	-3.24725
AGPAT3	0.511666666666667
MAGI3	2.076
ADORA2A	1.15525
CACNG7	-0.03
CAMK2D	-0.554642857142857
CCHCR1	-1.2175
RPS27A	-0.451
OR10G7	0.631
GCM2	0.216
FAM135B	0.3718
E2F1	-2.32025
PLCB3	0.1795
OR2AE1	-0.446
COIL	0.0756666666666667
CDC25C	-3.4495
RAB11FIP2	0.409666666666667
TSC2	-0.3485
CTGLF5	-1.409
CCDC108	1.4354
OR13C4	-0.2045
C10orf81	3.19
PTPRB	2.3785
ACP2	-0.16
LAG3	-0.6185
MRPL54	0.64325
LOC201175	2.2195
ITGB1BP3	-1.28675
SPTAN1	-0.102166666666667
SIPA1L2	-0.65975
RCAN2	-0.9255
CDX2	-0.756
ECOP	-0.10675
ACTR1A	0.212857142857143
PPARG	0.891166666666667
BBS10	0.921
TMEM44	-0.9055
BPIL2	-0.044
CITED1	-0.27725
IRF6	4.3545
PRDM4	0.212
RRP9	-0.693333333333333
OR10H4	0.455
IL31RA	-0.77575
GNB1L	-0.733666666666667
MYBL2	-3.1525
ZNF407	0.8605
PPIG	0.378166666666667
TTC18	2.50025
RPSA	-0.0025
MAPT	1.38225
MRE11A	-0.673214285714286
C8orf37	-0.714833333333333
RASGEF1C	-0.0915
STBD1	1.03775
CTAG2	-0.931333333333333
MGAT5B	-2.1855
ECM1	0.57525
RLN1	0.798
PARP14	0.6310625
EPB41L1	1.185
HOXA3	0.8255
MAGEA9	-4.08025
RPS8	0.0398333333333333
RPS19BP1	0.25275
FOXJ2	0.306625
C10orf76	0.519
IL17RE	1.205
C10orf65	-0.46975
ZNF343	-0.249
FBXO33	0.0515
UHMK1	0.9239
LY6G6C	1.32875
FGF19	-2.50975
C14orf128	0.261333333333333
IFIT2	1.872125
TIGD1	-0.7995
S100G	0.51
GUCY1B3	1.824
NR3C1	0.3171
CORO1B	-0.0275
PARP11	0.520833333333333
DNALI1	3.9685
OR4N4	0.253857142857143
MAP2K6	1.31483333333333
FSTL4	-0.17075
ANKRD47	1.506625
TMEM171	-1.6875
PNLIP	0.3455
YY1	0.0173333333333333
CCDC138	-2.65333333333333
AASDHPPT	-0.6236
CKS1B	-1.0383
MCM3	-1.55733333333333
ANAPC7	-0.882833333333333
FAM110A	2.27275
CDC37L1	1.29683333333333
THTPA	0.883
NBPF20	-0.975
WDR24	0.27025
NPTX2	-1.856
CBLB	0.801166666666667
CETN1	0.476166666666667
RPUSD1	0.11
FAF1	-0.70775
CDK6	-2.2825
HMX2	0.156
CSK	-0.797666666666667
TEAD2	-0.91775
SNAP25	-1.0685
TUFT1	1.0292
TMTC3	1.00933333333333
LCK	-2.581
SGOL1	-2.686
AKTIP	-0.3745
FURIN	0.703625
SOX12	-0.9735
DEFB103A	-0.38625
RAMP1	0.48075
KIR3DX1	0.793
GAS2L3	-1.4845
PDE8A	-1.4585
EDN3	3.956
GMIP	1.015
SF3A2	1.96475
FN3KRP	0.324
SMAD7	0.551
RHBDD2	0.41125
OR11H6	0.9035
PPP1R3B	2.0315
C9orf23	0.39925
CADPS	-2.5235
GOLGA8A	-3.04575
TMEM57	1.00783333333333
RGL3	-0.3045
S100A14	0.4925
FGFR2	2.6070625
XRCC3	-0.7975
RTN4RL2	0.83725
MGC3771	1.2355
GH2	0.562666666666667
BTBD2	0.02475
LMO2	0.866
RDBP	-0.659875
ACRBP	-1.957
AMY2A	2.25425
DUOXA1	1.05
PTK7	0.4
TWF2	-0.349833333333333
FAM80A	0.28325
TNNI2	-2.012
GLT25D1	-1.2635
OCC-1	-3.00225
CYC1	-1.20866666666667
RPL22	0.461045454545455
MORN3	1.578
DISP1	1.1655
PRB2	0.035
CHUK	-1.40325
HR	0.42225
CCDC134	-0.002375
DENND4B	-0.9495
C14orf130	0.133
RAB33A	-2.042
DCST2	0.328
TNMD	2.1405
PEX7	0.232
FAM62A	-0.064625
SRD5A2L	1.00425
IL22	0.944
RPS26	-2.22433333333333
HOXC5	-0.01
SPATA6	1.45475
FLJ38482	0.074125
ZNF234	2.0625
C18orf22	0.75
SPATA22	0.75525
THOC1	-0.8885
CYP7B1	4.047
KCNC3	0.236
C8orf42	-2.1695
ALDH1B1	-0.342333333333333
CCDC100	-0.3146
ARMC4	-2.699
FAM18B2	-1.2895
SLC44A1	1.228625
FBXO17	-1.1305
C6orf107	-0.91875
C19orf29	0.048
ZC3HAV1L	0.201
PARP6	-0.688
SULT2A1	-4.53514285714286
C1orf159	-0.406
TMC1	0.608
CHST14	0.368625
GAMT	0.304833333333333
SMCP	-0.0648333333333333
TSPAN33	-0.532666666666667
MIDN	0.8025
NOX4	1.87975
RNASEN	-0.7622
TBX1	1.23483333333333
SALL2	-0.7045
C10orf35	0.86875
CYP2E1	-1.185125
LRFN2	1.41366666666667
ACO1	-0.573833333333333
IQCG	1.4697
MEGF9	2.655
TM7SF4	-0.19725
PLEKHA1	0.807466666666667
STK33	-2.24125
C1orf210	2.292
SNUPN	-0.1509
KIAA0406	-1.6531
C20orf29	0.89225
TMEM55B	-0.3585
OSTM1	-1.265
CLCN7	-0.20125
OTP	0.16525
FLJ23049	-1.0035
HEATR4	-0.2505
MAP3K10	1.99216666666667
PCDHGA9	-0.524
AMDHD2	-0.6605
LCTL	-2.1375
PDCD2L	-0.7715
CABLES2	-0.9325
SLC5A9	-0.472
CLCA2	5.96566666666667
MGC16025	-0.4295
STRAP	-1.50816666666667
C20orf196	-0.7675
RRBP1	0.384333333333333
NAT13	-0.8705
MAT2B	0.331125
CSNK1D	-0.800833333333333
KIR3DL1	0.575
PRKAG3	0.378
ZNF599	0.296
PRM3	1.2455
PER2	1.93966666666667
ASPHD1	-2.162
PRMT6	0.35075
KCNE1L	-0.216142857142857
FAM118A	-1.0985
TAF4	-0.81875
NDUFB6	-0.52425
TRIM9	-1.1935
PMFBP1	-1.06175
KY	0.696
DKFZp762E1312	-3.94745454545455
CSMD1	-0.837
TBP	-1.26783333333333
OR1Q1	0.354333333333333
RETNLB	0.2815
HPGD	0.404142857142857
DNAJC12	0.5035
FKBP1B	-1.6835
ANKRD24	0.162333333333333
CXXC5	0.824166666666667
IL3	0.231
DRAM	0.1741
PTCH1	-0.9965
TP53BP1	-0.18725
SLC17A7	0.197375
COL25A1	-1.2941
AMACR	0.0991666666666667
RHCG	0.53625
VPS13A	-0.66075
FAM55D	1.2075
PRPF38B	-0.380363636363636
OSBPL6	2.16125
PFDN5	1.1788
CMTM6	0.8715
KCNK12	-1.7595
RP2	-0.108
C16orf52	-1.42975
PICK1	-0.0625
IFNE1	-1.22466666666667
SEMA4B	0.4575
TYRO3	-0.90775
OR12D2	0.6935
CSNK1A1	0.4696
FANCF	1.83325
LONP2	0.5255
TBL1Y	-0.54075
LDOC1L	-0.258625
CCNC	-1.03525
C3orf60	0.13475
CHKA	-1.37325
UBAP1	0.123
MAP3K1	3.0745
ANKRD9	0.105
FAM92A1	-1.58566666666667
GAB2	-0.068
AZU1	-0.5135
DIS3	-0.932
C21orf109	-0.62375
IQCB1	-1.4545
SPATS2	-1.40183333333333
EFCAB3	-0.23175
PRB3	0.459125
FUZ	0.182
ZNF813	-0.168375
BMPER	-0.8145
HEG1	0.131125
ALS2CR11	-1.3775
SURF2	0.1175
PSMC1	-0.448416666666667
OR2D2	0.267
SLC7A8	2.91233333333333
C4orf40	-0.083
SPATA7	-0.005
MAZ	-0.809333333333333
PIN4	0.384
PDE1A	-0.494125
TAF6L	-0.00716666666666667
OR2T34	0.322
KIAA0284	0.38025
ACADS	0.475272727272727
MKRN2	-0.8025
C18orf56	-3.48
MS4A6E	0.0378333333333333
GALNT4	0.8261
C22orf31	0.5335
FLJ36070	0.6555
PSME4	-0.41925
TFG	-0.498
EPHX2	2.594375
ANXA5	-0.07025
KRTAP1-1	-0.0229
BATF	3.507
KARS	-2.05375
MSTP9	-1.3155
GPR26	-0.147125
CCDC72	0.51875
TEF	0.8175
FOXK1	-0.7473
PRLHR	0.1145
EMX1	0.96175
C11orf30	-0.34475
ICK	0.82525
THSD7B	0.69775
C21orf100	-0.6685
DUOX1	2.0435
EFCAB4B	-0.5045
UBE2G2	-0.9615
C3orf54	1.07925
PARP1	-1.0855
FAM60A	-1.55675
C6orf146	0.179
OR9K2	0.2005
DDX55	-1.58216666666667
RPS15	0.973
ZNF618	0.9125
DKFZp686D0972	0.4445
SSPO	0.826
SHFM3P1	0.428833333333333
CPA6	-2.9155
JAG2	0.7345
DEFA3	0.27225
PPBPL2	0.152166666666667
CD34	4.01975
SLCO4A1	-2.738625
AFG3L1	-2.23583333333333
SHD	-0.67575
RP13-122B23.3	-1.09866666666667
PRKCSH	-0.448166666666667
DPH5	-0.382166666666667
HLA-F	1.796375
TBC1D4	-0.576
RIG	0.2255
GLUD1	0.595
HNRPCL1	0.538625
HBXIP	-0.4655
RNF207	-0.491
APIP	-0.68225
PLA2G3	2.136
CCDC84	-1.232
MYLIP	-0.0309230769230769
PHIP	0.04825
AARS2	-0.223833333333333
DHX32	0.2545
SCAPER	-0.428166666666667
MEN1	0.006125
NIP7	-1.49225
FLJ25404	0.8365
FASTKD3	-0.732
TMEM158	-1.80308333333333
RARA	1.70775
BDH1	0.4265
ANKRD16	0.738
CARM1	1.2
SS18	0.394333333333333
IKZF2	1.34733333333333
MYD88	-0.0751249999999999
PML	0.9822
TAF1A	-1.67125
CBFB	-0.9085
HIST1H3H	-0.1405
C7orf29	-2.02125
COMMD4	-1.02583333333333
DPP3	-1.63575
DAB2	0.43625
LOC388882	0.0715
YPEL4	0.092125
AGBL3	1.97
LRP6	0.8432
SERPINH1	-0.272583333333333
TLE1	0.49375
CD244	0.603166666666667
ZDHHC15	-0.22425
MGLL	0.3799
PLDN	-0.56375
LOC654346	1.1295
FAP	2.69
GPR37	-0.375166666666667
SCARA5	2.25166666666667
EBF4	2.20972727272727
LSM6	-0.358
MLLT1	-0.0535
SLC5A12	-0.78625
A2BP1	-1.71516666666667
COPS5	-0.824666666666667
TPM4	-0.255
TNFSF4	-0.162666666666667
ACADSB	2.09566666666667
HERPUD1	0.07475
BCL2L11	-0.360444444444444
CEP78	-1.967375
CDCA3	-2.599125
WBSCR19	0.1711
MYO1A	-2.8735
PPEF1	2.30683333333333
LOC440348	-1.0945
CPEB2	1.149125
BPTF	-0.333333333333333
RPL21	-0.1998125
GSX2	0.079
ADPRH	0.441333333333333
C17orf68	-0.270333333333333
KCNS1	0.153666666666667
MLLT6	0.3359
PIWIL4	-0.08675
RNF26	-0.73475
RAP1B	0.38875
ADAMTS1	-1.4488
ZNF571	0.98775
P2RY6	-0.69525
TRIM21	0.983
CADM3	0.54825
NLRC5	0.0533333333333333
ADRA2B	-0.0828333333333334
LOC90835	-0.035625
PCF11	0.269
LOC400451	3.20525
GLTSCR1	1.5122
C17orf88	-0.199
CDH16	-1.708
FGF7	2.67275
PCSK4	1.62733333333333
NPC1L1	-1.0845
TAT	1.744125
TBCA	-1.03325
MGC33407	-0.31025
GPR115	-1.817625
CYGB	0.0575
FNBP4	-1.12266666666667
C12orf43	-0.40125
CBL	-0.2735
CLECL1	1.01075
PPAPDC1A	1.421
WDR25	0.099
SGCA	0.9605
C22orf29	0.185333333333333
YIPF1	1.371
GALK2	-0.82775
RAB3B	-3.11483333333333
LOC440087	0.2535
UCP1	0.7565
REEP5	1.878125
FADD	-0.7497
FOXA1	3.34475
CACNA1A	0.808166666666667
ABI1	-0.168
GRIN2D	2.3515
SLC1A4	-0.245
LOC401127	-1.69325
HINT2	0.636
PLD4	0.362833333333333
ZNF286A	-1.29175
ENY2	-1.11625
IL1F6	-0.4285
PXDNL	0.0885
C20orf79	0.1675
TNFSF13B	2.22483333333333
DENND3	0.011875
JARID1D	-3.111
HIST1H2AK	0.907125
LOC93349	-0.1674
SSH1	-1.07
ENSA	-0.16275
LOC219854	0.442666666666667
CKAP2	-2.3504
DKFZP564J102	0.484833333333333
MGC87315	-0.1825
HNRPAB	-1.40175
AMH	-1.5305
ZNF526	0.8855
BRUNOL5	-0.5495
CACNG3	0.754333333333333
TRPM1	-1.136
PPP2R1A	-0.03925
COL2A1	-0.7725
DDN	-0.1145
FLJ25770	1.39383333333333
HK2	-0.0957857142857143
ELOVL6	-1.708
MDK	-1.22825
EPHX1	1.10925
RASSF2	0.74725
DKFZP434B0335	-0.33875
DLX3	0.083625
PRTN3	-0.76775
AVPR1A	0.13025
C21orf125	-2.4685
TNFAIP8	-0.959166666666667
GNB2L1	-0.39175
CALCRL	2.55175
SCGB2A2	10.4651666666667
UBXD7	0.0915
ZNF674	-0.5835
TMEM35	0.0735
BRSK2	-1.477
HECTD3	0.119666666666667
TMEM188	-0.786083333333333
LGALS9	1.295875
SCARB2	0.841333333333333
USP34	-0.23225
C17orf28	1.31825
ZDHHC23	-0.8165
AQP12B	0.081
SLC16A3	-2.74325
APLP2	0.311375
ITIH2	-4.94625
MICAL3	-0.162875
TNNI3K	0.7146
HDAC2	-0.858
PRR7	0.1759
THBS2	0.0885
LOC751071	0.0456666666666667
CA2	6.057
RANBP17	-0.26
RLN3	0.15575
CRYZ	-0.8135
GBAS	-0.205833333333333
TAS1R1	-0.1795
MPZL3	0.641
PCDH8	-1.49475
HSP90B1	-0.498666666666667
KCNK15	0.207
TNIP2	-0.00433333333333334
GPR146	1.5045
NOL6	-0.208625
SPC25	-5.12144444444445
STEAP2	4.23721428571429
VAMP3	-0.665333333333333
TCIRG1	-0.16225
ZP4	-0.304
PARL	-0.536625
TRIM39	0.219
KIAA1305	0.87225
CRNN	-0.0835
GRN	-0.02
HSH2D	-1.6755
SCAMP1	0.4899375
KIAA1913	0.476
PTS	-0.1555
BANP	-0.251785714285714
PRKACG	-0.15775
ADCY6	0.5625
C16orf46	0.1845
CYP51A1	0.45725
DDC	-5.96
ANPEP	1.8415
PROM1	1.932
SIGLEC10	0.896
COPG	1.2395
FAM26E	0.668125
TRIP4	0.16175
SNX3	-0.227333333333333
C1orf175	0.442833333333333
PPY2	0.44375
C14orf152	0.494333333333333
FTSJ1	-1.52666666666667
DST	1.07845
LOC554235	0.219
GLRX5	-0.5295
C20orf12	1.5846
CAB39	0.370666666666667
MSH2	-1.59
PIP4K2C	0.518875
CYLD	0.469125
WTAP	0.034375
MGAT4A	0.642444444444445
TSC22D4	-0.1405
CHRM2	-1.35
PPYR1	0.338333333333333
CCNH	-0.3525
RRM1	-1.273
ECAT8	-1.90875
LOC400120	-0.336
GABRA4	-0.169
C14orf4	1.584
C1orf59	-1.45725
CTDSPL	1.12133333333333
NHEDC2	-1.894
PDE11A	-0.0776875
KLHL29	0.815
CD5	-0.7627
TSPAN9	2.096375
WDR67	-1.72775
THUMPD1	0.8572
C18orf17	0.047
CLYBL	0.3895
FLJ13231	-0.33575
CMBL	1.718875
LECT2	-0.47575
NKAPL	3.07533333333333
LOC654780	0.206
OR4C6	-0.2055
RAB30	0.2365
TSSK4	-0.597
TMEM163	0.58
OSBPL11	0.789833333333333
GNB5	-1.60816666666667
CCL21	0.952
C1orf121	-0.157333333333333
FMO2	4.01766666666667
RPTN	0.937
MSTN	0.4595
VCL	0.00192857142857142
FYTTD1	-0.44725
C11orf1	0.67625
CCDC88C	0.0794375000000001
HFE	-0.327
MOGAT1	0.435
FAM125B	-0.0443333333333333
IRGQ	0.46
RAVER2	0.18375
AKAP5	0.248
SSSCA1	-0.6315
C11orf63	0.47675
ACTG2	2.6692
PORCN	-0.9555
DTL	-3.91154545454545
TMEM151	0.77025
FAM122C	-1.7575
RSAD2	1.2586
BAT4	-0.371
KRTDAP	-0.314833333333333
MYH8	0.5695
CRTC3	0.624
LRRFIP2	0.4617
INTS4	-0.8045
TTN	-1.4705
SLC26A5	0.8955
PLLP	0.46875
RGS6	-0.306375
SRGAP3	0.978375
ZNF525	-0.003
NBR2	-0.111166666666667
C13orf1	-0.0987
ZNF137	-0.224
CEP27	-2.14975
BEST2	0.349
RNF121	-0.9295
DMRTC2	-0.21175
C8orf76	-1.18075
BCCIP	0.170875
MEST	-0.14325
HTRA2	0.0515
ANGPTL2	0.91225
ILKAP	-0.348166666666667
ERAS	0.1495
HBS1L	-0.907
CPA5	0.344
TMEM30A	-0.176833333333333
CD300LF	1.43833333333333
WISP3	1.719
CRK	0.228
PDS5A	-0.6167
BRPF3	0.7235
NEDD9	1.15075
SMPDL3B	-0.73275
PSG6	-0.54025
PSMD13	-0.2685
ETV5	-1.1871875
OR51A4	-0.4275
BTBD7	1.24408333333333
GSTO1	-1.37225
hCG_16001	0.485
MAD2L1BP	-1.03233333333333
COX6A2	2.588
SCNN1A	2.36716666666667
LSM1	-0.1805
UGT2B11	1.27125
IDUA	1.17825
PPP2R3C	-1.53
COX11	-1.38383333333333
PDZK1	-1.792
ZNF443	0.484666666666667
MGC21874	1.75666666666667
ZNF323	0.4026
KRTAP10-10	0.185
CXCL6	0.1075
SLC34A2	2.5957
LOC284402	0.388
NPTN	0.700833333333333
UPP1	-2.44
SLC6A9	-1.3535
OR7G3	-0.40175
CISD1	-1.45733333333333
ZNF545	0.032
SYT14	-0.579
NT5C3L	-1.00366666666667
ZNHIT3	-0.373666666666667
SNRPD3	0.01525
KIAA0701	-0.222875
UNC93B1	0.3795
GMNN	-2.4715
SPCS2	0.558
LOC388524	0.0425
NAPRT1	1.02375
PNLIPRP1	-0.05625
OR6V1	0.887
PRKAB1	-0.66525
EYA4	-2.65766666666667
KIF20A	-3.744
ALG10	-0.03
ITPKC	1.17
LMX1B	1.04166666666667
RPUSD4	-0.501833333333333
C7orf34	-0.388833333333333
DLGAP2	0.22875
PFN1	-1.2078
MICALL2	-0.47025
ZNF654	0.3415
SS18L1	-1.4495
SLC16A8	0.98925
MKI67IP	-0.184666666666667
ITGB3	-1.336375
TCEA3	3.12933333333333
CEP152	-2.7175625
CLIP1	0.347
ZNF75	0.0598125
ATP5C1	-1.19966666666667
NUDT5	-1.23533333333333
PSCDBP	0.3865
UBP1	-0.40725
RBM27	0.1455
C13orf15	2.777625
ZNF282	-0.315833333333333
ZNF222	-0.0434
COL10A1	6.7405
PRDM15	-1.0615
TTTY5	0.294
FAM9C	-0.664
C20orf67	-0.13375
GNG13	-0.4965
F12	0.13825
C1orf41	-1.07325
CPXCR1	-0.166
GSK3A	-0.00775000000000002
SUPT6H	-0.1415
PI16	1.81316666666667
ELL2	-0.435583333333333
C9orf167	-1.88983333333333
PVRL3	-1.647
FLJ38596	0.71125
ADAM20	0.2025
GPR89A	-0.3185
GPR87	-1
ZNF30	0.72325
SMR3B	0.133
ZNF770	0.12625
TRPC4AP	-1.18116666666667
DKFZP686E2158	0.766666666666667
C2orf28	-0.255166666666667
FREM1	1.086
LAMA4	0.686
ADPRHL2	-0.01525
EIF4G2	-0.102666666666667
GUCA1A	-1.1
CTNNA2	-1.652375
NUDT15	-0.8315
CEPT1	0.3895
ZNFX1	0.2031
CCDC92	1.0625
TDRD1	-1.5135
KCNK5	-1.371
ETNK1	-0.0270833333333333
LTA	0.216
TTPA	0.335333333333333
B3GALNT2	-0.279375
SC65	-1.16833333333333
PEX5L	-0.58125
EPS15L1	-0.44375
MGEA5	0.57
HIST1H3A	0.85375
ING1	0.230375
BCAT1	-3.722625
ORC6L	-4.73536363636364
KLK11	-2.37266666666667
C19orf28	-1.516625
DNER	-3.682875
MED22	-0.965928571428572
ETV6	1.77191666666667
CHAC2	-1.83175
CD300E	0.291
CEBPB	0.609333333333333
ZNF398	0.211
LRCH3	0.0115
HMGA1	-1.528
CAPN7	-0.1825
MGC5566	-3.328
CCL3	2.80425
NANOS1	0.665125
ZFYVE19	-0.01325
APITD1	-0.805666666666667
PARD3	0.73975
IRAK4	-0.426666666666667
SERPINI2	-0.0495
CEP170L	-0.97275
TTC9	2.473625
MYOM3	-1.1935
MLPH	1.62725
LOC222699	0.4875
NRG1	-0.850727272727273
TBC1D9	3.01690909090909
TTK	-4.96016666666667
ZNF557	0.6855
DDX41	-0.3965
FANK1	3.354
UBE2D2	-0.3645
PSMB10	0.579375
MYH7B	0.527
GABARAPL2	-0.612375
MARVELD2	2.551
DGCR2	1.19816666666667
UNC45A	-0.0795
C6orf72	0.15
ZNF683	4.0655
GIT2	-0.229125
CASK	0.521833333333333
C14orf161	2.84066666666667
LRRC44	0.80925
TIFA	0.77025
UTP11L	-0.59175
C6orf65	-1.55175
FDPS	-1.09775
DUSP9	-1.653
SLC17A8	0.303666666666667
OR51G1	-0.0585
NANS	0.3225
OLFML1	2.14
ATP10B	-1.380625
NPAS3	0.38825
PRKCA	-2.1094
GGA2	-0.4160625
LCE4A	-0.004
SPANXN3	0.47675
CCDC115	1.400625
SDCCAG3	-1.53225
GLIPR1L1	0.44225
TTC1	-0.24375
C17orf76	0.08675
MAD2L2	-1.635
HIPK1	0.3103
LRRC3B	1.34666666666667
CLN3	-0.780045454545455
C17orf47	0.3645
FMN2	-2.416
TUBB1	-1.76775
WAPAL	-0.205
C3orf21	-0.45
SCN5A	-0.3468
SMYD1	1.22775
BEX5	0.68575
ZNF192	0.7125
SEC22A	-0.398833333333333
GRIA2	0.798692307692307
KIAA0825	-1.82975
NUSAP1	-4.22190909090909
LANCL1	-0.439875
C15orf40	-0.5152
ZNF645	0.526875
GPR61	0.12525
NLRP14	-0.3605
SNX21	0.3247
C1QTNF8	0.836
C17orf46	0.64725
IFNA8	0.4885
SPRR1B	-1.3215
FLRT1	-0.84725
SNX17	-1.11716666666667
ASB2	0.0321666666666667
HBG1	-5.343
RPRML	-1.7295
JOSD2	0.116666666666667
PLSCR3	0.133
SPOCD1	-0.381
RAB39	0.4435
GHRH	3.488
ITIH5L	0.19525
C17orf37	0.847
SMCR8	0.5295
DPY19L2P3	-0.607
IL11RA	1.1225
GDF3	-3.2735
RPS6KB1	-0.824916666666667
DNAJC19	1.387
TOP1	0.063
CRCT1	0.13775
MPST	0.452125
DPM2	-0.123625
FAM38B	-1.71766666666667
SLC18A1	-2.33516666666667
FARP1	0.283333333333333
PAX7	0.00225
TUBD1	-1.155
GNL3	-0.3725
BTG2	3.25413333333333
NDUFS6	-0.77525
C1orf79	-1.57425
ERAL1	-0.7875
ECHS1	0.57525
