Hybridization REF	TCGA-BH-A0HF-01A-11R-A056-07
AGPAT3	0.739333333333333
MAGI3	2.73666666666667
ADORA2A	0.75925
CACNG7	-0.338
CAMK2D	-0.244
CCHCR1	-1.414
RPS27A	-0.5945
OR10G7	0.161333333333333
GCM2	1.0295
FAM135B	0.9012
E2F1	-1.3665
PLCB3	-0.3175
OR2AE1	-0.271
COIL	-0.619166666666667
CDC25C	-1.88316666666667
RAB11FIP2	0.383333333333333
TSC2	0.01425
CTGLF5	-1.566
CCDC108	0.5513
OR13C4	0.2835
C10orf81	5.92375
PTPRB	1.93175
ACP2	-0.0315
LAG3	-0.32025
MRPL54	0.338
LOC201175	2.0195
ITGB1BP3	-0.8075
SPTAN1	0.462333333333333
SIPA1L2	-0.16225
RCAN2	-0.19
CDX2	-0.86
ECOP	0.56625
ACTR1A	1.00828571428571
PPARG	0.154
BBS10	0.408166666666667
TMEM44	-0.724125
BPIL2	0.31025
CITED1	-0.30275
IRF6	4.0875
PRDM4	-0.0255
RRP9	-0.702
OR10H4	0.29075
IL31RA	-0.8935
GNB1L	-1.54416666666667
MYBL2	-2.337625
ZNF407	1.22783333333333
PPIG	-0.276333333333333
TTC18	2.4025
RPSA	-0.398
MAPT	1.753875
MRE11A	-0.3535
C8orf37	-0.637833333333333
RASGEF1C	-0.0221666666666666
STBD1	0.423
CTAG2	-0.784833333333333
MGAT5B	-1.65016666666667
ECM1	1.167125
RLN1	2.1105
PARP14	0.8326875
EPB41L1	0.6215
HOXA3	0.31325
MAGEA9	-5.383
RPS8	-0.382
RPS19BP1	-0.17175
FOXJ2	0.15525
C10orf76	0.3025
IL17RE	0.1945
C10orf65	-1.3635
ZNF343	-0.434166666666667
FBXO33	-0.102875
UHMK1	1.1077
LY6G6C	-0.592
FGF19	-1.99175
C14orf128	-0.955333333333333
IFIT2	2.72525
TIGD1	-0.4775
S100G	0.107
GUCY1B3	2.1
NR3C1	0.1823
CORO1B	0.658666666666667
PARP11	1.18616666666667
DNALI1	4.118
OR4N4	0.271714285714286
MAP2K6	-0.484166666666667
FSTL4	1.609
ANKRD47	1.720125
TMEM171	-1.2655
PNLIP	0.4035
YY1	-0.0675
CCDC138	-2.28233333333333
AASDHPPT	-1.3808
CKS1B	-1.2233
MCM3	-0.971833333333333
ANAPC7	-0.716333333333333
FAM110A	1.793
CDC37L1	1.466
THTPA	1.42925
NBPF20	-0.8785
WDR24	0.191
NPTX2	-0.0055
CBLB	0.9685
CETN1	0.633833333333333
RPUSD1	0.34975
FAF1	-0.79575
CDK6	-2.4869
HMX2	-0.2845
CSK	-0.262333333333333
TEAD2	0.6215
SNAP25	-1.12325
TUFT1	1.1258
TMTC3	1.10666666666667
LCK	-2.01625
SGOL1	-2.45033333333333
AKTIP	0.5515
FURIN	0.35475
SOX12	-0.823
DEFB103A	-0.17725
RAMP1	1.072
KIR3DX1	0.5085
GAS2L3	-0.536
PDE8A	-1.5278
EDN3	1.32675
GMIP	1.42175
SF3A2	2.1325
FN3KRP	0.59125
SMAD7	0.72925
RHBDD2	1.089
OR11H6	0.019
PPP1R3B	1.2553
C9orf23	0.34225
CADPS	-0.465
GOLGA8A	-3.9755
TMEM57	0.976333333333333
RGL3	-1.559
S100A14	1.9015
FGFR2	1.5783125
XRCC3	-0.9955
RTN4RL2	0.51725
MGC3771	2.571
GH2	0.480666666666667
BTBD2	-0.1575
LMO2	0.80325
RDBP	-0.404625
ACRBP	-1.534
AMY2A	0.1355
DUOXA1	2.311
PTK7	0.722833333333333
TWF2	0.377666666666667
FAM80A	0.8055
TNNI2	-1.21116666666667
GLT25D1	-0.441833333333333
OCC-1	-2.41275
CYC1	-0.842833333333333
RPL22	-0.0940909090909091
MORN3	1.24483333333333
DISP1	0.99525
PRB2	0.1525
CHUK	-0.8855
HR	-0.0831249999999999
CCDC134	0.33175
DENND4B	-1.32625
C14orf130	0.451125
RAB33A	-1.419
DCST2	0.1415
TNMD	0.44225
PEX7	1.3215
FAM62A	0.171125
SRD5A2L	1.2115
IL22	-0.0005
RPS26	-1.62916666666667
HOXC5	0.2135
SPATA6	1.824
FLJ38482	0.13775
ZNF234	1.597
C18orf22	1.483
SPATA22	1.753
THOC1	-0.77225
CYP7B1	3.807
KCNC3	0.73025
C8orf42	-0.986
ALDH1B1	0.154166666666667
CCDC100	-0.4166
ARMC4	-0.955
FAM18B2	-0.22425
SLC44A1	1.468375
FBXO17	-1.6835
C6orf107	-0.0325
C19orf29	-0.1905
ZC3HAV1L	0.01875
PARP6	-0.7627
SULT2A1	-5.25975
C1orf159	-0.8125
TMC1	-0.376666666666667
CHST14	0.533
GAMT	-0.386
SMCP	-0.0785
TSPAN33	0.5175
MIDN	0.5865
NOX4	2.71
RNASEN	-1.0152
TBX1	0.42
SALL2	0.322
C10orf35	1.67925
CYP2E1	-0.827625
LRFN2	0.8145
ACO1	-0.665333333333333
IQCG	1.0496
MEGF9	1.781
TM7SF4	3.95775
PLEKHA1	0.715266666666666
STK33	-2.5845
C1orf210	2.75575
SNUPN	0.1635
KIAA0406	-1.5048
C20orf29	0.9025
TMEM55B	0.083
OSTM1	-0.6444375
CLCN7	0.29
OTP	-0.1305
FLJ23049	-1.081
HEATR4	-0.1375
MAP3K10	1.62716666666667
PCDHGA9	0.4305
AMDHD2	0.81375
LCTL	-2.278
PDCD2L	-0.68675
CABLES2	-0.771
SLC5A9	-0.54
CLCA2	-0.197
MGC16025	-1.1555
STRAP	-1.0785
C20orf196	-0.1145
RRBP1	0.760166666666667
NAT13	-0.4815
MAT2B	0.14375
CSNK1D	-0.631333333333333
KIR3DL1	0.43775
PRKAG3	-0.057
ZNF599	0.6745
PRM3	1.185
PER2	2.28383333333333
ASPHD1	-1.6395
PRMT6	0.05425
KCNE1L	-0.250357142857143
FAM118A	-0.738333333333333
TAF4	-1.411
NDUFB6	-0.23775
TRIM9	-1.85008333333333
PMFBP1	0.3035
KY	0.5255
DKFZp762E1312	-2.67836363636364
CSMD1	-0.83325
TBP	-0.781833333333333
OR1Q1	0.314
RETNLB	-0.583
HPGD	-0.0377857142857143
DNAJC12	2.42716666666667
FKBP1B	-1.36825
ANKRD24	-0.0833333333333334
CXXC5	0.839666666666667
IL3	0.26025
DRAM	1.1714
PTCH1	-1.436875
TP53BP1	0.1335
SLC17A7	0.032375
COL25A1	-1.0874
AMACR	0.414666666666667
RHCG	-0.17875
VPS13A	-0.773416666666667
FAM55D	0.3805
PRPF38B	-1.31516666666667
OSBPL6	0.394
PFDN5	0.8507
CMTM6	1.669375
KCNK12	-1.5655
RP2	0.473
C16orf52	-1.99775
PICK1	0.7515
IFNE1	-1.09233333333333
SEMA4B	1.298
TYRO3	-1.61225
OR12D2	0.331
CSNK1A1	0.77655
FANCF	1.35625
LONP2	0.872375
TBL1Y	0.215
LDOC1L	0.566375
CCNC	-0.14125
C3orf60	-0.0495
CHKA	-0.84775
UBAP1	0.1
MAP3K1	2.7865
ANKRD9	-0.02475
FAM92A1	-1.45033333333333
GAB2	0.041875
AZU1	-0.51625
DIS3	-1.16441666666667
C21orf109	-0.41925
IQCB1	-1.492
SPATS2	-0.687333333333333
EFCAB3	0.045
PRB3	0.66275
FUZ	0.346
ZNF813	0.038
BMPER	-0.666
HEG1	0.606
ALS2CR11	-1.82925
SURF2	-0.28775
PSMC1	-0.0455833333333333
OR2D2	0.2385
SLC7A8	2.93283333333333
C4orf40	0.2075
SPATA7	0.657
MAZ	-0.685
PIN4	0.134
PDE1A	0.779125
TAF6L	0.0163333333333333
OR2T34	0.2425
KIAA0284	0.392
ACADS	1.75190909090909
MKRN2	-0.771
C18orf56	-0.7055
MS4A6E	1.86616666666667
GALNT4	0.8287
C22orf31	0.089
FLJ36070	2.0175
PSME4	0.54825
TFG	-0.3719
EPHX2	1.44025
ANXA5	0.16125
KRTAP1-1	-0.2403
BATF	2.439
KARS	-1.29875
MSTP9	-0.99
GPR26	0.170125
CCDC72	0.02175
TEF	1.2295
FOXK1	-0.8047
PRLHR	0.2535
EMX1	1.07925
C11orf30	-0.238125
ICK	0.493125
THSD7B	0.1815
C21orf100	-1.101
DUOX1	2.329
EFCAB4B	0.225
UBE2G2	-0.6675
C3orf54	0.86725
PARP1	-1.178
FAM60A	-1.35358333333333
C6orf146	-0.151
OR9K2	0.26
DDX55	-1.44366666666667
RPS15	-0.241916666666667
ZNF618	0.7929375
DKFZp686D0972	0.57975
SSPO	-0.921
SHFM3P1	1.04166666666667
CPA6	4.67575
JAG2	1.3525
DEFA3	6.618
PPBPL2	0.340833333333333
CD34	5.007125
SLCO4A1	-2.795
AFG3L1	-1.888
SHD	-0.59325
RP13-122B23.3	-1.05866666666667
PRKCSH	-0.839
DPH5	-0.3985
HLA-F	2.311125
TBC1D4	-1.0665
RIG	-0.147666666666667
GLUD1	0.528166666666667
HNRPCL1	0.043125
HBXIP	-0.71925
RNF207	-0.912
APIP	-0.8815
PLA2G3	-1.10383333333333
CCDC84	-2.22225
MYLIP	0.401692307692308
PHIP	-0.07925
AARS2	-0.376333333333333
DHX32	0.51625
SCAPER	-0.532833333333333
MEN1	-0.135625
NIP7	-0.907
FLJ25404	1.22
FASTKD3	-0.8315
TMEM158	-1.37
RARA	1.96
BDH1	0.7005
ANKRD16	0.73075
CARM1	0.022
SS18	0.355833333333333
IKZF2	0.393833333333333
MYD88	0.503375
PML	0.85125
TAF1A	-2.045
CBFB	-0.0675
HIST1H3H	-1.54783333333333
C7orf29	-1.544
COMMD4	-0.7265
DPP3	-1.11825
DAB2	0.997875
LOC388882	0.0295
YPEL4	-0.159
AGBL3	2.31675
LRP6	0.4954
SERPINH1	0.31575
TLE1	0.388
CD244	0.685333333333333
ZDHHC15	0.27275
MGLL	0.6292
PLDN	-0.106416666666667
LOC654346	2.14
FAP	3.36325
GPR37	-1.08433333333333
SCARA5	1.4045
EBF4	1.62645454545455
LSM6	-0.482
MLLT1	-0.5145625
SLC5A12	-0.28675
A2BP1	-1.94033333333333
COPS5	-0.810333333333333
TPM4	-0.0530714285714286
TNFSF4	1.204
ACADSB	2.03522222222222
HERPUD1	0.61925
BCL2L11	-0.576111111111111
CEP78	-1.35225
CDCA3	-1.779875
WBSCR19	-0.5843
MYO1A	-2.4195
PPEF1	2.95966666666667
LOC440348	-1.504
CPEB2	1.163
BPTF	-0.765916666666667
RPL21	-0.1845625
GSX2	-0.8205
ADPRH	1.525
C17orf68	0.0968333333333333
KCNS1	-0.4755
MLLT6	0.1371
PIWIL4	-0.4835
RNF26	-0.88275
RAP1B	0.92225
ADAMTS1	-2.0489
ZNF571	0.65525
P2RY6	-0.2635
TRIM21	0.958166666666667
CADM3	1.0525
NLRC5	0.5665
ADRA2B	0.387
LOC90835	-0.33425
PCF11	-0.3505
LOC400451	2.114
GLTSCR1	1.3492
C17orf88	-1.00516666666667
CDH16	-2.51275
FGF7	2.688625
PCSK4	0.784166666666667
NPC1L1	-1.3415
TAT	1.94625
TBCA	-0.9765
MGC33407	-0.076
GPR115	-1.54628571428571
CYGB	1.221
FNBP4	-1.24633333333333
C12orf43	-0.25375
CBL	-0.3782
CLECL1	2.08725
PPAPDC1A	2.8125
WDR25	0.665833333333333
SGCA	0.733
C22orf29	0.781166666666667
YIPF1	1.818
GALK2	-1.0565
RAB3B	-3.61683333333333
LOC440087	-0.02725
UCP1	1.2275
REEP5	1.27875
FADD	-0.7802
FOXA1	3.1485
CACNA1A	0.881666666666667
ABI1	0.0763333333333333
GRIN2D	2.39225
SLC1A4	0.472
LOC401127	-0.998
HINT2	0.5145
PLD4	0.874666666666667
ZNF286A	-1.29475
ENY2	-0.82375
IL1F6	-0.728
PXDNL	1.034
C20orf79	-0.3975
TNFSF13B	3.14716666666667
DENND3	0.292875
JARID1D	-3.43275
HIST1H2AK	0.9365
LOC93349	0.1906
SSH1	-0.9676
ENSA	-1.35
LOC219854	-0.073
CKAP2	-1.5658
DKFZP564J102	0.486333333333333
MGC87315	-0.0215
HNRPAB	-1.80775
AMH	-1.8555
ZNF526	0.7115
BRUNOL5	-0.576
CACNG3	0.0673333333333333
TRPM1	-3.628
PPP2R1A	0.322125
COL2A1	-1.48675
DDN	-0.356
FLJ25770	1.18308333333333
HK2	-0.512214285714286
ELOVL6	-1.78375
MDK	-0.022
EPHX1	0.82575
RASSF2	0.894375
DKFZP434B0335	-0.31325
DLX3	0.127125
PRTN3	-0.91125
AVPR1A	1.2805
C21orf125	-2.629
TNFAIP8	0.4305
GNB2L1	-0.15675
CALCRL	3.5085
SCGB2A2	9.69383333333333
UBXD7	-0.21625
ZNF674	-0.409
TMEM35	0.317375
BRSK2	-1.070375
HECTD3	-0.137
TMEM188	-0.324583333333333
LGALS9	2.62525
SCARB2	1.6175
USP34	-0.10825
C17orf28	1.95508333333333
ZDHHC23	-1.5785
AQP12B	0.378
SLC16A3	-1.73175
APLP2	0.52125
ITIH2	-5.0905
MICAL3	-0.553125
TNNI3K	-0.0199
HDAC2	-0.3175
PRR7	0.2223
THBS2	1.24075
LOC751071	-0.322166666666667
CA2	2.419
RANBP17	-0.3045
RLN3	0.17375
CRYZ	-0.279
GBAS	0.278333333333333
TAS1R1	-0.32725
MPZL3	0.557
PCDH8	-1.5555
HSP90B1	-0.0791666666666667
KCNK15	-0.0065
TNIP2	0.1905
GPR146	0.78225
NOL6	0.31225
SPC25	-2.47922222222222
STEAP2	3.60264285714286
VAMP3	-0.319666666666667
TCIRG1	0.6425
ZP4	-0.0728333333333333
PARL	0.18775
TRIM39	0.411333333333333
KIAA1305	0.83525
CRNN	0.450833333333333
GRN	0.4505
HSH2D	-0.382
SCAMP1	0.678625
KIAA1913	1.244
PTS	-0.929
BANP	0.134857142857143
PRKACG	0.1235
ADCY6	0.374166666666667
C16orf46	0.2965
CYP51A1	0.866
DDC	-5.9165
ANPEP	0.7335
PROM1	0.0136666666666667
SIGLEC10	2.17875
COPG	1.0265
FAM26E	1.763125
TRIP4	0.46925
SNX3	0.1555
C1orf175	0.349333333333333
PPY2	0.1365
C14orf152	0.4815
FTSJ1	-0.669333333333333
DST	0.87585
LOC554235	0.267
GLRX5	-0.1935
C20orf12	0.8485
CAB39	0.178
MSH2	-1.407
PIP4K2C	0.656875
CYLD	0.4715
WTAP	0.8640625
MGAT4A	1.73811111111111
TSC22D4	-0.3739
CHRM2	-1.739
PPYR1	0.3335
CCNH	-0.298666666666667
RRM1	-0.76425
ECAT8	-3.31675
LOC400120	-0.08675
GABRA4	0.322375
C14orf4	1.92816666666667
C1orf59	0.038
CTDSPL	0.867
NHEDC2	-0.0045
PDE11A	-0.5200625
KLHL29	-0.99
CD5	-0.7316
TSPAN9	2.1243125
WDR67	-2.11625
THUMPD1	0.5387
C18orf17	0.97025
CLYBL	-0.694166666666667
FLJ13231	-0.549
CMBL	0.822
LECT2	0.04475
NKAPL	1.90333333333333
LOC654780	0.3595
OR4C6	0.2425
RAB30	1.86683333333333
TSSK4	-0.2315
TMEM163	0.359
OSBPL11	0.4835
GNB5	-1.10383333333333
CCL21	2.2395
C1orf121	-0.1845
FMO2	3.03116666666667
RPTN	-0.0725
MSTN	0.467
VCL	0.200785714285714
FYTTD1	0.109
C11orf1	-0.39
CCDC88C	0.6413125
HFE	-0.5185
MOGAT1	-0.3625
FAM125B	0.270333333333333
IRGQ	0.302
RAVER2	-0.01725
AKAP5	-0.8115
SSSCA1	-0.454
C11orf63	0.327375
ACTG2	1.619
PORCN	-0.8645
DTL	-2.37418181818182
TMEM151	0.73075
FAM122C	-1.05525
RSAD2	3.4491
BAT4	-0.261
KRTDAP	-1.5915
MYH8	0.67025
CRTC3	0.95925
LRRFIP2	0.1669
INTS4	-0.646166666666667
TTN	-1.846
SLC26A5	0.6555
PLLP	-0.22625
RGS6	-0.355
SRGAP3	1.346
ZNF525	0.217833333333333
NBR2	-1.30366666666667
C13orf1	-0.8772
ZNF137	0.0105
CEP27	-1.61125
BEST2	0.201
RNF121	-0.28825
DMRTC2	0.26675
C8orf76	-0.92475
BCCIP	-0.325625
MEST	-1.0005
HTRA2	-0.215
ANGPTL2	1.34125
ILKAP	-0.270666666666667
ERAS	-0.2745
HBS1L	-0.448375
CPA5	-0.1625
TMEM30A	1.09916666666667
CD300LF	2.1985
WISP3	0.563
CRK	0.301
PDS5A	-0.2505
BRPF3	-0.221
NEDD9	0.17025
SMPDL3B	1.181
PSG6	-0.6835
PSMD13	0.234
ETV5	-0.9415625
OR51A4	0.2565
BTBD7	1.13525
GSTO1	-0.585
hCG_16001	0.4545
MAD2L1BP	-0.307166666666667
COX6A2	2.6535
SCNN1A	2.19783333333333
LSM1	-0.211833333333333
UGT2B11	4.25425
IDUA	1.13025
PPP2R3C	-0.586833333333333
COX11	-0.856833333333333
PDZK1	-0.992
ZNF443	-0.0805
MGC21874	1.62466666666667
ZNF323	1.4461
KRTAP10-10	0.1245
CXCL6	-0.41875
SLC34A2	1.8109
LOC284402	0.011
NPTN	1.30583333333333
UPP1	-1.95
SLC6A9	-1.422
OR7G3	0.3215
CISD1	-0.710833333333333
ZNF545	0.1645
SYT14	-1.6875
NT5C3L	-0.740833333333333
ZNHIT3	-0.118666666666667
SNRPD3	-0.06425
KIAA0701	0.208375
UNC93B1	0.412
GMNN	-2.143625
SPCS2	0.601666666666667
LOC388524	0.401
NAPRT1	0.447375
PNLIPRP1	0.0986666666666667
OR6V1	0.7885
PRKAB1	-0.03025
EYA4	-2.64333333333333
KIF20A	-2.54575
ALG10	0.269
ITPKC	1.32083333333333
LMX1B	1.35533333333333
RPUSD4	-0.777666666666667
C7orf34	-0.065
DLGAP2	0.141375
PFN1	-0.3753
MICALL2	-0.198833333333333
ZNF654	0.1565
SS18L1	-1.685375
SLC16A8	1.11575
MKI67IP	-0.520833333333333
ITGB3	0.43425
TCEA3	2.58958333333333
CEP152	-2.4708125
CLIP1	0.672875
ZNF75	-0.16625
ATP5C1	-0.865666666666667
NUDT5	-0.874833333333333
PSCDBP	1.30025
UBP1	0.1375
RBM27	-0.16175
C13orf15	2.831
ZNF282	0.160166666666667
ZNF222	0.0153
COL10A1	6.364
PRDM15	-1.0695
TTTY5	-0.317
FAM9C	-0.297166666666667
C20orf67	-0.0045
GNG13	-0.226
F12	-0.612
C1orf41	-0.79075
CPXCR1	-0.554
GSK3A	-0.0485
SUPT6H	-0.211
PI16	1.20016666666667
ELL2	-0.0925833333333333
C9orf167	-0.998833333333333
PVRL3	-1.4653
FLJ38596	1.63975
ADAM20	-0.00175
GPR89A	-0.557
GPR87	-1.677
ZNF30	0.6735
SMR3B	0.0665
ZNF770	0.389875
TRPC4AP	-0.491166666666667
DKFZP686E2158	-0.0296666666666667
C2orf28	-0.0673333333333333
FREM1	-0.127166666666667
LAMA4	1.145
ADPRHL2	0.32
EIF4G2	0.115166666666667
GUCA1A	-1.191
CTNNA2	-1.90642857142857
NUDT15	-0.939166666666667
CEPT1	-0.139833333333333
ZNFX1	0.7734
CCDC92	1.11025
TDRD1	-1.169
KCNK5	-2.04016666666667
ETNK1	0.0495
LTA	0.441
TTPA	0.164
B3GALNT2	-0.477625
SC65	-0.251166666666667
PEX5L	-0.64775
EPS15L1	0.12675
MGEA5	0.1
HIST1H3A	0.64575
ING1	-0.013125
BCAT1	-2.035875
ORC6L	-3.63554545454545
KLK11	-4.3885
C19orf28	-1.260625
DNER	-4.736125
MED22	-0.871785714285714
ETV6	1.73608333333333
CHAC2	-1.559
CD300E	0.64
CEBPB	0.372166666666667
ZNF398	0.096
LRCH3	0.034
HMGA1	-1.50016666666667
CAPN7	-0.260333333333333
MGC5566	-2.407
CCL3	2.971625
NANOS1	-0.235625
ZFYVE19	0.024
APITD1	-0.2865
PARD3	0.46075
IRAK4	-0.307
SERPINI2	0.476
CEP170L	-0.8655
TTC9	2.044375
MYOM3	-0.91475
MLPH	1.799625
LOC222699	0.351
NRG1	-1.20291666666667
TBC1D9	3.97390909090909
TTK	-3.36033333333333
ZNF557	0.115
DDX41	-0.337
FANK1	2.3155
UBE2D2	-0.105875
PSMB10	1.36925
MYH7B	-0.2945
GABARAPL2	-0.218
MARVELD2	2.1825
DGCR2	0.973833333333333
UNC45A	0.0358333333333333
C6orf72	0.725
ZNF683	3.434
GIT2	0.00350000000000003
CASK	1.71283333333333
C14orf161	2.23416666666667
LRRC44	0.729
TIFA	0.260875
UTP11L	-0.25025
C6orf65	-0.43025
FDPS	-0.76275
DUSP9	-1.9339
SLC17A8	0.669333333333333
OR51G1	0.0821666666666667
NANS	0.3485
OLFML1	2.22775
ATP10B	-1.146375
NPAS3	-0.09525
PRKCA	-2.0384
GGA2	-0.2861875
LCE4A	-0.0575
SPANXN3	0.30325
CCDC115	1.172375
SDCCAG3	-0.4755
GLIPR1L1	0.39725
TTC1	-0.2065
C17orf76	0.376
MAD2L2	-1.42725
HIPK1	0.1654
LRRC3B	-0.0481666666666667
CLN3	-0.715727272727273
C17orf47	0.198
FMN2	-2.654375
TUBB1	-1.76414285714286
WAPAL	0.035
C3orf21	-0.28775
SCN5A	-0.3573
SMYD1	0.36725
BEX5	1.36275
ZNF192	0.6325
SEC22A	0.261666666666667
GRIA2	5.21442857142857
KIAA0825	-1.2585
NUSAP1	-2.60245454545455
LANCL1	-0.1005
C15orf40	-0.4191
ZNF645	0.26375
GPR61	0.03225
NLRP14	-0.275
SNX21	0.1726
C1QTNF8	0.0125
C17orf46	0.00575
IFNA8	1.279
SPRR1B	-1.98
FLRT1	-0.589
SNX17	0.0928333333333333
ASB2	0.00899999999999999
HBG1	-4.9835
RPRML	-1.044
JOSD2	-0.1415
PLSCR3	0.23875
SPOCD1	0.984166666666667
RAB39	0.094
GHRH	3.98966666666667
ITIH5L	0.79425
C17orf37	0.826
SMCR8	0.2565
DPY19L2P3	-0.526
IL11RA	0.645333333333333
GDF3	-3.35233333333333
RPS6KB1	-1.03766666666667
DNAJC19	0.292
TOP1	-0.66925
CRCT1	0.30125
MPST	0.359125
DPM2	0.181625
FAM38B	-0.575666666666667
SLC18A1	-1.9455
FARP1	-0.0168333333333333
PAX7	-0.20575
TUBD1	-1.29975
GNL3	-0.57825
BTG2	2.1158
NDUFS6	-0.57475
C1orf79	-2.14275
ERAL1	-0.66875
ECHS1	0.87075
VPS4A	0.0931666666666667
CYP11A1	-0.078625
ABCC6	-1.76314285714286
PBX4	-2.245
MOSC1	-0.63675
NCF4	0.505
HYMAI	null
NAGPA	-0.357875
OTOP2	-0.18225
ACOT12	-0.78275
MTHFD2L	-1.542
LOC441376	4.237
C19orf34	-0.257
RAB1B	0.1555
ALDOAP2	-0.1975
NTRK1	-1.44016666666667
ARTS-1	1.0332
SLC6A11	-1.209
NAP1L2	-0.5395
CNGB1	0.129666666666667
EPB41L4B	0.47275
FAM134B	1.9415
HS3ST3A1	-0.535333333333333
CPXM2	5.16925
SIRPB2	0.775
CHORDC1	-1.61283333333333
TRIB3	-1.14466666666667
SLC2A5	1.58825
C2orf49	-0.7545
DDX5	-0.301
OR5L1	1.158
ANAPC4	-0.45
ZSWIM1	-0.24775
LOC93622	0.07675
KCNK3	-0.1686
RP11-35N6.1	-1.868875
ZFP161	0.329
AQP9	5.554
SLC15A2	-1.98966666666667
MREG	0.245833333333333
OR9I1	0.132
PDLIM2	0.602142857142857
ADAM7	-0.0605
GSTCD	-0.296666666666667
WDR21A	-0.006625
SLC12A8	1.3755
TMEM174	-0.01975
IGSF3	0.664666666666667
LRRN1	2.52775
LOC402117	-0.2155
SRPK1	-1.72783333333333
LY6K	-1.848375
NFIA	2.774
PTCD3	-0.678375
LEP	3.08666666666667
PCDH21	-0.798333333333333
MAPKAPK2	0.748714285714286
NMNAT1	-0.814166666666667
LHFPL2	1.13275
C9orf43	0.26275
DIP2A	-0.820666666666667
ACTR8	0.168
CCDC34	-1.28725
PTPN22	-1.06
ITGA3	-0.141625
FAM129C	0.79475
RABGGTA	0.458333333333333
UNC45B	0.3
KIAA1033	0.178125
ZNF510	-0.0813333333333333
CYP2D6	-0.7365
SLC26A10	-1.7165
STX8	0.08825
LUZP1	0.112625
WDR89	0.0453333333333333
EIF4G3	0.2275
C5AR1	1.686875
ZNF623	-0.4635
A2M	1.73475
TGM7	0.362
GRPEL1	-0.329333333333333
LMNB2	-1.6343
ROCK2	-0.1935
SNX16	0.18825
CCDC66	0.1845
ANXA3	0.46775
KIAA1609	-0.464375
EED	-1.19875
RNF32	-0.835833333333333
HES1	1.5305
CLC	0.6465
ISL1	-0.118333333333333
KIAA0528	-0.082
MANEA	0.348125
C1orf61	-2.185
hCG_2001000	0.683
RAPGEF6	-0.3559
KIAA0020	-0.940166666666667
NEIL1	0.78525
C16orf45	-0.203875
RBM10	-0.244833333333333
C10orf125	-0.174875
MRS2L	-0.708
DNAH17	-1.59
C19orf10	-0.84975
C1orf160	1.0645
SLFN12	1.5645
EXOC3	-0.288166666666667
HIST3H3	0.47475
NCOR2	0.665
TNFRSF9	0.83525
MFSD8	0.66925
ALX1	-3.698
NOL1	-1.4545
PODN	2.78925
TIAL1	-1.05275
HIST1H1E	-0.8575
NPY6R	0.274
TM4SF4	-0.2405
CORO2A	0.9315
ETNK2	-0.5725
APOE	1.1869
ANGPT4	0.112
HDGF2	-0.706
G30	0.4195
ST8SIA4	-0.08
F2RL1	-0.2695
FAM19A4	-3.2325
CCAR1	-1.16575
B3GNT7	0.015
OPHN1	-0.3351
DSCR6	-0.616
C21orf13	1.06783333333333
GAS2L1	1.03008333333333
RFX3	-0.0458333333333333
COPS4	-0.167125
BCHE	-4.16133333333333
BCL2	2.9205
HBZ	-2.5455
ARL13B	0.087375
MAPBPIP	0.178875
MYO15B	-0.33025
SPZ1	0.694
KIAA1324	3.69544444444444
PLCL2	-0.283125
C4orf29	-1.437
WDFY2	-0.77025
ZNF284	-1.3875
NAALADL1	0.421
DUSP5	1.05016666666667
PXDN	1.0025
SLMO1	-1.17925
TNXB	0.717
BIRC7	-0.556
A4GALT	1.14633333333333
TIMM22	-0.05675
FAM110C	1.09175
TOMM34	-0.81275
ABHD9	0.548
ADAM32	1.326
CRHBP	0.31475
AQP2	0.72025
LOC130355	1.01
ZNF187	0.251333333333333
ZNF816A	0.219
F7	0.372
CNOT1	-0.5544
SLC13A4	-1.3305
ZBTB11	-0.60475
B3GALT5	-0.358
EXOC2	0.185333333333333
IRS1	0.627
TMEM1	-0.430833333333333
MRPL34	0.0375
SAMM50	-0.1285
CDC42EP3	-0.099375
HSF2	-0.9101
MFN2	0.241
TSPAN7	-0.606166666666667
NUCB1	0.790083333333333
RHOH	0.53775
ARL16	-0.3465
TACR1	-0.4395
SFRS5	-0.285166666666667
SNX25	0.039375
RHBDF1	0.5385
PCDH18	2.309
HMG1L1	-0.261
MYO5C	0.69025
MAPK10	0.24
LDHAL6A	0.4274
NUDT12	0.7495
NCAM1	-0.51625
GLIS2	1.993
GGTL4	-0.34725
DAPP1	-0.108
ATF7	0.7835
KIAA0748	-0.9265
NFIL3	-1.255
TM6SF1	0.6713
SEZ6	-0.283
NANOS3	0.537
DNAJA3	-1.028
CLDN6	-2.9595
CIITA	3.0332
EPHA4	-0.63425
FANCC	-0.281
CMTM3	1.07875
PSG3	-0.62375
MRPL15	-0.456
C21orf59	-0.245
PLCXD2	0.136
C2orf34	-0.5265
UBE2L6	1.28225
MED14	-0.815
HP1BP3	-0.0691
C6orf208	1.134
TPBG	1.24825
OSR2	-0.290125
XPC	0.131
KLHL7	-1.18891666666667
CCR3	-0.162333333333333
AGTPBP1	-0.906166666666667
PCSK6	2.0356
STAT5A	-0.9836
FAM18B	-0.21475
LONRF2	-0.934
PTPN2	-0.584375
SF3A3	-0.717666666666667
EFCBP2	-0.1455
HCFC1	-0.620833333333333
AHNAK	0.52015
ACTR5	-0.47775
KIF14	-3.27614285714286
TENC1	1.30175
