Hybridization REF	TCGA-BH-A0HK-01A-11R-A056-07
PLA2G4E	0.268
PPAP2A	2.512
ULK1	-0.820916666666667
TAS1R3	0.5835
SLC2A3	-1.70427272727273
ARID3A	-1.36075
GNG5	-0.97725
ACOX1	1.0941
KIF5B	0.01325
NUP153	-1.12725
MUC7	-0.1355
CSDE1	-0.134357142857143
CLPTM1	0.023
C3orf23	0.395125
LRRC17	-1.35616666666667
TTYH3	-1.281375
ATP5B	-1.1765
ELF3	2.7802
CPSF3L	0.466833333333333
ZNF665	0.364166666666667
TLR6	-0.4402
GPI	-0.791875
RAD9A	-0.31725
NDST4	-4.1345
AGPAT3	0.745416666666667
MAGI3	1.65116666666667
ADORA2A	3.646875
CACNG7	0.1065
CAMK2D	-0.468642857142857
CCHCR1	0.80025
RPS27A	-0.3355
OR10G7	0.1905
GCM2	0.2635
FAM135B	3.6597
E2F1	-1.56475
PLCB3	1.14475
OR2AE1	-0.0725
COIL	-0.116833333333333
CDC25C	-2.408
RAB11FIP2	0.431916666666667
TSC2	0.026
CTGLF5	-1.4645
CCDC108	0.7607
OR13C4	0.39475
C10orf81	6.693
PTPRB	2.5195
ACP2	-0.25475
LAG3	-0.979
MRPL54	0.39875
LOC201175	2.5235
ITGB1BP3	-0.36925
SPTAN1	0.204
SIPA1L2	-1.65825
RCAN2	-0.6275
CDX2	3.9185
ECOP	-0.413
ACTR1A	0.096
PPARG	2.71433333333333
BBS10	0.302833333333333
TMEM44	-0.700125
BPIL2	-0.225
CITED1	-1.3645
IRF6	4.57
PRDM4	-0.200833333333333
RRP9	-0.291
OR10H4	0.45125
IL31RA	-0.34925
GNB1L	-1.16383333333333
MYBL2	-2.798375
ZNF407	0.749
PPIG	-0.491833333333333
TTC18	1.6585
RPSA	-0.02
MAPT	1.81785714285714
MRE11A	-0.868384615384615
C8orf37	-2.19433333333333
RASGEF1C	-0.2905
STBD1	2.046
CTAG2	-1.12016666666667
MGAT5B	-2.181
ECM1	3.477125
RLN1	1.5495
PARP14	0.846625
EPB41L1	1.0107
HOXA3	-0.4665
MAGEA9	-5.3735
RPS8	-0.0245
RPS19BP1	-0.28175
FOXJ2	0.201875
C10orf76	0.199375
IL17RE	0.55875
C10orf65	-0.69975
ZNF343	-0.503833333333333
FBXO33	-0.830875
UHMK1	2.2633
LY6G6C	2.8425
FGF19	-2.3705
C14orf128	-0.206333333333333
IFIT2	1.27225
TIGD1	-0.7335
S100G	-0.6005
GUCY1B3	1.788
NR3C1	-0.6647
CORO1B	1.12133333333333
PARP11	0.00516666666666667
DNALI1	3.82416666666667
OR4N4	0.383
MAP2K6	-0.361833333333333
FSTL4	-1.20425
ANKRD47	2.275125
TMEM171	-1.314
PNLIP	-0.158
YY1	-0.4695
CCDC138	-2.3065
AASDHPPT	-1.1788
CKS1B	-0.6756
MCM3	-1.4435
ANAPC7	-0.286
FAM110A	1.72925
CDC37L1	1.03466666666667
THTPA	1.304
NBPF20	-1.305
WDR24	0.73825
NPTX2	-4.24725
CBLB	0.234166666666667
CETN1	0.985
RPUSD1	0.52
FAF1	-0.68125
CDK6	-3.3791
HMX2	0.0825
CSK	-0.476833333333333
TEAD2	-0.99975
SNAP25	-2.04133333333333
TUFT1	2.0863
TMTC3	0.974666666666667
LCK	-1.99525
SGOL1	-1.528
AKTIP	0.228
FURIN	0.715375
SOX12	-0.590166666666667
DEFB103A	-0.42325
RAMP1	0.0795
KIR3DX1	1.0285
GAS2L3	-1.22075
PDE8A	-0.8384
EDN3	-0.29275
GMIP	1.8085
SF3A2	1.9495
FN3KRP	-0.07925
SMAD7	0.29125
RHBDD2	1.12925
OR11H6	-0.155
PPP1R3B	1.4333
C9orf23	0.078
CADPS	-2.4055
GOLGA8A	-4.441125
TMEM57	0.564666666666667
RGL3	0.899
S100A14	2.45
FGFR2	1.36293333333333
XRCC3	-0.67475
RTN4RL2	1.008
MGC3771	2.175
GH2	1.07266666666667
BTBD2	0.774
LMO2	0.29125
RDBP	-0.484
ACRBP	-1.43575
AMY2A	0.682
DUOXA1	2.819
PTK7	-0.932
TWF2	-0.00866666666666666
FAM80A	-0.941
TNNI2	-2.95516666666667
GLT25D1	-1.05983333333333
OCC-1	-1.49375
CYC1	-0.544166666666667
RPL22	0.591363636363636
MORN3	0.372333333333333
DISP1	1.98675
PRB2	0.59
CHUK	-0.6585
HR	-0.04175
CCDC134	-0.300625
DENND4B	-0.828
C14orf130	-0.478
RAB33A	-1.821
DCST2	1.0115
TNMD	1.3645
PEX7	1.6675
FAM62A	0.5185
SRD5A2L	2.43375
IL22	0.296333333333333
RPS26	-2.13983333333333
HOXC5	0.413
SPATA6	1.044
FLJ38482	-0.85675
ZNF234	1.731
C18orf22	0.47725
SPATA22	0.9935
THOC1	-0.2755
CYP7B1	2.62675
KCNC3	1.3355
C8orf42	-1.983
ALDH1B1	0.0085
CCDC100	-0.1845
ARMC4	-3.4925
FAM18B2	-0.655
SLC44A1	1.11225
FBXO17	-1.73016666666667
C6orf107	-0.489
C19orf29	0.22375
ZC3HAV1L	0.73825
PARP6	-0.8458
SULT2A1	-5.09285714285714
C1orf159	-0.36125
TMC1	0.466
CHST14	0.555
GAMT	0.738166666666667
SMCP	0.302
TSPAN33	0.767166666666667
MIDN	0.59825
NOX4	2.052
RNASEN	-0.9385
TBX1	0.339333333333333
SALL2	0.9595
C10orf35	0.6565
CYP2E1	-0.236125
LRFN2	1.78733333333333
ACO1	-0.861666666666667
IQCG	0.2517
MEGF9	1.05375
TM7SF4	0.2995
PLEKHA1	0.505933333333333
STK33	-3.12025
C1orf210	3.179
SNUPN	0.1134
KIAA0406	-1.3911
C20orf29	-0.21375
TMEM55B	-0.33425
OSTM1	-0.9683125
CLCN7	-0.2515
OTP	0.17825
FLJ23049	-1.1535
HEATR4	-0.079
MAP3K10	1.5215
PCDHGA9	-0.0755
AMDHD2	0.39925
LCTL	-2.565
PDCD2L	-0.45975
CABLES2	-0.2025
SLC5A9	-0.03075
CLCA2	1.16166666666667
MGC16025	0.784
STRAP	-1.5095
C20orf196	-0.2295
RRBP1	0.321333333333333
NAT13	-0.55275
MAT2B	-0.176625
CSNK1D	-1.0805
KIR3DL1	0.8675
PRKAG3	0.1155
ZNF599	-0.387
PRM3	1.659
PER2	1.89
ASPHD1	-1.641
PRMT6	-1.01025
KCNE1L	-0.0741428571428572
FAM118A	-0.948166666666667
TAF4	-1.03975
NDUFB6	-1.091
TRIM9	-1.43083333333333
PMFBP1	-0.703
KY	0.5415
DKFZp762E1312	-3.222
CSMD1	-1.84225
TBP	-0.836666666666667
OR1Q1	0.3415
RETNLB	0.55525
HPGD	-0.936230769230769
DNAJC12	-1.975
FKBP1B	-2.00625
ANKRD24	0.274166666666667
CXXC5	-1.5635
IL3	-0.261428571428572
DRAM	0.8063
PTCH1	-1.39375
TP53BP1	-0.0515
SLC17A7	0.128428571428571
COL25A1	-1.267
AMACR	-0.118833333333333
RHCG	-1.262
VPS13A	-0.56125
FAM55D	0.4145
PRPF38B	-0.857333333333333
OSBPL6	-3.0765
PFDN5	0.914
CMTM6	0.655625
KCNK12	-1.50425
RP2	0.399
C16orf52	-1.2305
PICK1	0.919
IFNE1	-2.07716666666667
SEMA4B	0.14425
TYRO3	-1.0835
OR12D2	0.0885
CSNK1A1	0.38465
FANCF	1.043
LONP2	0.541625
TBL1Y	0.17425
LDOC1L	0.026
CCNC	-0.70325
C3orf60	-0.38175
CHKA	-1.178
UBAP1	-0.45725
MAP3K1	1.249
ANKRD9	-0.29525
FAM92A1	-2.3575
GAB2	0.014625
AZU1	-0.08675
DIS3	-0.530416666666667
C21orf109	-0.63625
IQCB1	-1.33025
SPATS2	-0.748
EFCAB3	-0.80375
PRB3	0.8185
FUZ	0.822833333333333
ZNF813	-0.017375
BMPER	-2.13483333333333
HEG1	0.06525
ALS2CR11	-1.52425
SURF2	0.07925
PSMC1	-0.522166666666667
OR2D2	0.9955
SLC7A8	2.44266666666667
C4orf40	0.4095
SPATA7	0.35125
MAZ	-0.547833333333333
PIN4	0.77575
PDE1A	-0.085625
TAF6L	0.370666666666667
OR2T34	0.583
KIAA0284	0.58675
ACADS	0.857818181818182
MKRN2	-0.873
C18orf56	-1.721
MS4A6E	0.550833333333333
GALNT4	0.9672
C22orf31	0.126
FLJ36070	2.286
PSME4	-0.818
TFG	-0.7339
EPHX2	1.637375
ANXA5	-0.438875
KRTAP1-1	0.4679
BATF	3.00875
KARS	-1.759
MSTP9	-1.527
GPR26	-0.049
CCDC72	0.03575
TEF	0.806166666666667
FOXK1	-0.8113
PRLHR	-0.2335
EMX1	1.02975
C11orf30	0.297625
ICK	0.481875
THSD7B	0.41975
C21orf100	-0.9825
DUOX1	3.3815
EFCAB4B	-0.34775
UBE2G2	-0.668666666666667
C3orf54	0.573
PARP1	-0.4745
FAM60A	-0.588416666666667
C6orf146	0.35475
OR9K2	0.123
DDX55	-1.4155
RPS15	1.24375
ZNF618	-0.8851875
DKFZp686D0972	-0.37375
SSPO	-1.6825
SHFM3P1	0.934
CPA6	-1.557
JAG2	0.59025
DEFA3	1.458
PPBPL2	0.314666666666667
CD34	5.56025
SLCO4A1	-2.349375
AFG3L1	-2.62033333333333
SHD	-0.51475
RP13-122B23.3	-0.934666666666667
PRKCSH	0.494166666666667
DPH5	0.603
HLA-F	1.804375
TBC1D4	-0.647
RIG	0.322666666666667
GLUD1	-0.180166666666667
HNRPCL1	0.78
HBXIP	-0.47375
RNF207	-1.484
APIP	-0.4685
PLA2G3	0.609
CCDC84	-2.38875
MYLIP	1.61484615384615
PHIP	0.7165
AARS2	-0.158833333333333
DHX32	-0.1385
SCAPER	0.328
MEN1	0.517375
NIP7	-1.373
FLJ25404	0.3845
FASTKD3	-1.43025
TMEM158	-1.94325
RARA	1.97775
BDH1	0.9535
ANKRD16	1.3515
CARM1	0.303
SS18	0.246
IKZF2	1.05491666666667
MYD88	0.503375
PML	1.3986
TAF1A	-0.4055
CBFB	-0.855
HIST1H3H	-1.612
C7orf29	-4.13875
COMMD4	-0.7955
DPP3	-1.0165
DAB2	0.52825
LOC388882	-1.194
YPEL4	-0.727
AGBL3	2.43075
LRP6	0.4955
SERPINH1	-0.8515
TLE1	-1.412
CD244	0.506833333333333
ZDHHC15	0.31575
MGLL	1.9693
PLDN	0.388333333333333
LOC654346	1.611
FAP	2.1045
GPR37	-1.23016666666667
SCARA5	2.07883333333333
EBF4	2.05845454545455
LSM6	-0.31475
MLLT1	0.026625
SLC5A12	-0.22575
A2BP1	-1.33433333333333
COPS5	-0.924166666666667
TPM4	-0.849642857142857
TNFSF4	-0.243333333333333
ACADSB	1.39733333333333
HERPUD1	-0.19375
BCL2L11	-0.520444444444444
CEP78	-1.521625
CDCA3	-2.210625
WBSCR19	-0.1462
MYO1A	-2.54
PPEF1	-0.446833333333333
LOC440348	-1.34775
CPEB2	1.199125
BPTF	-0.59325
RPL21	0.68025
GSX2	0.582
ADPRH	0.766166666666667
C17orf68	-0.443666666666667
KCNS1	-0.219666666666667
MLLT6	0.3182
PIWIL4	-0.42425
RNF26	-1.046
RAP1B	0.359375
ADAMTS1	-0.1073
ZNF571	0.70925
P2RY6	-0.85125
TRIM21	0.751833333333333
CADM3	0.8315
NLRC5	0.339666666666667
ADRA2B	0.885833333333333
LOC90835	-1.059375
PCF11	0.9475
LOC400451	2.8195
GLTSCR1	1.3515
C17orf88	-0.390166666666667
CDH16	-1.9505
FGF7	1.9575
PCSK4	1.15566666666667
NPC1L1	-1.034
TAT	0.167125
TBCA	-1.2645
MGC33407	-0.49925
GPR115	-1.268625
CYGB	1.112
FNBP4	-0.914666666666667
C12orf43	-0.1515
CBL	-0.6356
CLECL1	0.954
PPAPDC1A	-2.34575
WDR25	0.716
SGCA	0.768
C22orf29	-0.3008
YIPF1	1.63075
GALK2	-1.0625
RAB3B	-3.68625
LOC440087	-1.3195
UCP1	-0.078
REEP5	1.74375
FADD	-0.351
FOXA1	3.17525
CACNA1A	0.779666666666667
ABI1	0.311166666666667
GRIN2D	1.969
SLC1A4	0.285166666666667
LOC401127	-1.58825
HINT2	0.48275
PLD4	0.9445
ZNF286A	-1.36725
ENY2	-1.61025
IL1F6	-0.2725
PXDNL	0.966
C20orf79	0.26175
TNFSF13B	2.35
DENND3	0.035
JARID1D	-3.207
HIST1H2AK	-0.48
LOC93349	0.0626
SSH1	-1.032
ENSA	-0.51025
LOC219854	-0.266333333333333
CKAP2	-1.4753
DKFZP564J102	0.183
MGC87315	-0.416166666666667
HNRPAB	-2.055
AMH	-1.199
ZNF526	0.4465
BRUNOL5	-0.3019
CACNG3	0.305666666666667
TRPM1	-1.796
PPP2R1A	0.293875
COL2A1	-1.38225
DDN	-0.476833333333333
FLJ25770	0.97625
HK2	0.193857142857143
ELOVL6	-1.94225
MDK	-1.33275
EPHX1	2.09625
RASSF2	0.617625
DKFZP434B0335	-0.80425
DLX3	-0.718125
PRTN3	-0.344
AVPR1A	1.65625
C21orf125	0.572
TNFAIP8	0.554
GNB2L1	0.259
CALCRL	3.463
SCGB2A2	3.02583333333333
UBXD7	0.0995
ZNF674	-1.15
TMEM35	-0.093875
BRSK2	-1.502
HECTD3	-0.100833333333333
TMEM188	-0.798666666666667
LGALS9	1.91575
SCARB2	0.792916666666667
USP34	-0.228666666666667
C17orf28	2.09875
ZDHHC23	-0.1535
AQP12B	-0.7395
SLC16A3	-3.142625
APLP2	-1.58475
ITIH2	-5.05575
MICAL3	-0.415375
TNNI3K	2.1895
HDAC2	-0.44025
PRR7	0.1789
THBS2	-0.458125
LOC751071	0.456
CA2	-0.994333333333333
RANBP17	-2.65225
RLN3	0.4575
CRYZ	-0.9845
GBAS	0.182
TAS1R1	-0.03025
MPZL3	0.083
PCDH8	-2.283
HSP90B1	-0.336666666666667
KCNK15	-0.3475
TNIP2	0.0543333333333333
GPR146	1.619
NOL6	0.764
SPC25	-4.076
STEAP2	4.041
VAMP3	-0.300833333333333
TCIRG1	0.142
ZP4	0.153166666666667
PARL	-0.0505
TRIM39	-0.278
KIAA1305	0.95625
CRNN	0.0471666666666667
GRN	-0.31825
HSH2D	-0.8615
SCAMP1	1.0939375
KIAA1913	-0.2375
PTS	-1.02575
BANP	-0.293142857142857
PRKACG	0.5
ADCY6	0.748
C16orf46	0.00800000000000001
CYP51A1	0.54475
DDC	-5.65875
ANPEP	3.46333333333333
PROM1	-3.09016666666667
SIGLEC10	1.91775
COPG	1.0185
FAM26E	1.032125
TRIP4	0.1165
SNX3	-0.0476666666666667
C1orf175	0.7055
PPY2	0.26825
C14orf152	0.7555
FTSJ1	-1.08716666666667
DST	-0.3693
LOC554235	0.306
GLRX5	-0.65025
C20orf12	1.7977
CAB39	0.850833333333333
MSH2	-1.461
PIP4K2C	0.828375
CYLD	0.07075
WTAP	0.58375
MGAT4A	1.17888888888889
TSC22D4	-0.0319
CHRM2	-0.6715
PPYR1	0.591666666666667
CCNH	-0.7835
RRM1	-0.95225
ECAT8	1.8665
LOC400120	-0.82625
GABRA4	-0.745833333333333
C14orf4	1.65833333333333
C1orf59	-2.2895
CTDSPL	0.382916666666667
NHEDC2	-1.9295
PDE11A	-0.2955625
KLHL29	-0.624
CD5	-0.7169
TSPAN9	1.740625
WDR67	-2.142
THUMPD1	-0.0243
C18orf17	-2.08375
CLYBL	1.26333333333333
FLJ13231	-0.477375
CMBL	1.17325
LECT2	0.1585
NKAPL	1.72683333333333
LOC654780	0.7365
OR4C6	0.665
RAB30	-0.8165
TSSK4	-0.415
TMEM163	0.778
OSBPL11	0.9065
GNB5	-1.09933333333333
CCL21	2.829
C1orf121	1.067
FMO2	3.156
RPTN	0.544
MSTN	1.511
VCL	-0.214785714285714
FYTTD1	-0.58475
C11orf1	-0.397
CCDC88C	0.94925
HFE	-0.649166666666666
MOGAT1	-0.228
FAM125B	0.431
IRGQ	0.5895
RAVER2	0.37375
AKAP5	-0.779
SSSCA1	-0.37275
C11orf63	-0.6695
ACTG2	-0.7403
PORCN	-1.0285
DTL	-1.54045454545455
TMEM151	0.92025
FAM122C	-0.676
RSAD2	1.8679
BAT4	-0.4865
KRTDAP	2.66116666666667
MYH8	0.224
CRTC3	0.544
LRRFIP2	1.8129
INTS4	-0.725833333333333
TTN	-2.034
SLC26A5	1.206
PLLP	-0.23075
RGS6	-0.436375
SRGAP3	0.938625
ZNF525	0.135166666666667
NBR2	-0.647833333333333
C13orf1	0.5658
ZNF137	-0.3815
CEP27	-1.91675
BEST2	0.398
RNF121	-0.77025
DMRTC2	0.727666666666667
C8orf76	-1.04975
BCCIP	-0.256375
MEST	-0.0935
HTRA2	-0.2965
ANGPTL2	1.284
ILKAP	-0.171166666666667
ERAS	0.7565
HBS1L	-0.623625
CPA5	0.123
TMEM30A	1.05433333333333
CD300LF	1.47
WISP3	0.349
CRK	0.101214285714286
PDS5A	-0.2834
BRPF3	0.3765
NEDD9	0.545625
SMPDL3B	0.19425
PSG6	-0.8525
PSMD13	-0.406
ETV5	-2.4370625
OR51A4	-0.649
BTBD7	1.03208333333333
GSTO1	-1.28425
hCG_16001	1.533
MAD2L1BP	-0.801333333333333
COX6A2	2.2085
SCNN1A	1.44283333333333
LSM1	-0.0405
UGT2B11	-4.2215
IDUA	2.064
PPP2R3C	-1.00916666666667
COX11	-0.9225
PDZK1	-1.909
ZNF443	-0.368833333333333
MGC21874	1.101
ZNF323	0.5655
KRTAP10-10	0.349
CXCL6	-0.76475
SLC34A2	0.385
LOC284402	0.1875
NPTN	0.994
UPP1	-2.19341666666667
SLC6A9	-0.11
OR7G3	-0.128
CISD1	-2.0505
ZNF545	-0.358333333333333
SYT14	-0.723
NT5C3L	-0.140333333333333
ZNHIT3	-0.404166666666667
SNRPD3	-0.889
KIAA0701	-0.18075
UNC93B1	1.4895
GMNN	-2.702875
SPCS2	-0.0345
LOC388524	1.2325
NAPRT1	1.3995
PNLIPRP1	-0.01875
OR6V1	1.5015
PRKAB1	0.22825
EYA4	-3.0876
KIF20A	-3.51675
ALG10	-0.63825
ITPKC	1.5385
LMX1B	1.51216666666667
RPUSD4	-0.806
C7orf34	-0.161833333333333
DLGAP2	0.030875
PFN1	-1.1098
MICALL2	-0.514916666666667
ZNF654	-0.704
SS18L1	-1.299625
SLC16A8	0.495
MKI67IP	-0.219666666666667
ITGB3	-1.45
TCEA3	3.69125
CEP152	-2.98638461538462
CLIP1	0.2945
ZNF75	0.195875
ATP5C1	-1.141
NUDT5	-1.28683333333333
PSCDBP	0.44825
UBP1	-1.102
RBM27	-0.03525
C13orf15	3.132125
ZNF282	0.101833333333333
ZNF222	1.0013
COL10A1	4.2985
PRDM15	-0.971625
TTTY5	-2.0945
FAM9C	-0.260727272727273
C20orf67	0.0535
GNG13	-0.086
F12	1.6455
C1orf41	-0.81975
CPXCR1	0.5865
GSK3A	0.23725
SUPT6H	0.0903333333333333
PI16	5.19416666666667
ELL2	-0.336333333333333
C9orf167	-1.83533333333333
PVRL3	-2.0897
FLJ38596	0.445666666666667
ADAM20	-0.34
GPR89A	1.019
GPR87	-4.7245
ZNF30	0.183
SMR3B	-0.09575
ZNF770	-0.19275
TRPC4AP	-0.739166666666667
DKFZP686E2158	0.555
C2orf28	-0.139833333333333
FREM1	0.3005
LAMA4	0.634
ADPRHL2	0.0755
EIF4G2	0.0148333333333333
GUCA1A	-0.9015
CTNNA2	-1.33525
NUDT15	-0.8195
CEPT1	-0.204333333333333
ZNFX1	0.7033
CCDC92	0.82025
TDRD1	-1.2055
KCNK5	-2.66766666666667
ETNK1	1.02941666666667
LTA	0.295
TTPA	-0.347
B3GALNT2	-0.100875
SC65	-0.434833333333333
PEX5L	-1.277375
EPS15L1	0.52275
MGEA5	-0.91725
HIST1H3A	0.95925
ING1	0.909375
BCAT1	-3.667375
ORC6L	-4.54663636363636
KLK11	-4.8015
C19orf28	-1.57375
DNER	-4.29675
MED22	-0.677714285714286
ETV6	1.94583333333333
CHAC2	-1.80425
CD300E	-0.1365
CEBPB	0.405
ZNF398	0.011
LRCH3	-0.4475
HMGA1	-1.3255
CAPN7	0.0525
MGC5566	-2.732
CCL3	2.911375
NANOS1	-0.8595
ZFYVE19	0.09475
APITD1	-0.8085
PARD3	1.100625
IRAK4	-0.5915
SERPINI2	-0.442
CEP170L	-0.81175
TTC9	1.334875
MYOM3	-1.406
MLPH	2.62675
LOC222699	0.2185
NRG1	-2.02233333333333
TBC1D9	3.24254545454545
TTK	-3.63583333333333
ZNF557	-0.00880000000000001
DDX41	-0.389333333333333
FANK1	1.5025
UBE2D2	-0.418
PSMB10	0.531625
MYH7B	0.707
GABARAPL2	-0.55375
MARVELD2	2.3755
DGCR2	0.847833333333333
UNC45A	0.165
C6orf72	-0.0715
ZNF683	3.93875
GIT2	-0.348375
CASK	0.768333333333333
C14orf161	1.9385
LRRC44	-1.53775
TIFA	-0.071
UTP11L	-0.302875
C6orf65	-1.54975
FDPS	-0.6395
DUSP9	-1.8063
SLC17A8	0.311833333333333
OR51G1	0.127333333333333
NANS	-0.10725
OLFML1	2.342
ATP10B	-1.382125
NPAS3	-1.251
PRKCA	-1.9345
GGA2	-0.433
LCE4A	0.1135
SPANXN3	0.562333333333333
CCDC115	2.004625
SDCCAG3	-0.6325
GLIPR1L1	0.12625
TTC1	-0.36425
C17orf76	0.2025
MAD2L2	-1.489
HIPK1	0.0491
LRRC3B	0.0783333333333334
CLN3	-0.214090909090909
C17orf47	0.482
FMN2	-2.8965
TUBB1	-1.739
WAPAL	-0.236666666666667
C3orf21	-0.254375
SCN5A	-0.479777777777778
SMYD1	0.18425
BEX5	1.06375
ZNF192	-0.412
SEC22A	-0.237666666666667
GRIA2	0.104
KIAA0825	-1.78066666666667
NUSAP1	-2.88709090909091
LANCL1	-0.36975
C15orf40	-0.3459
ZNF645	-0.314125
GPR61	0.23525
NLRP14	-0.166
SNX21	0.1592
C1QTNF8	1.0465
C17orf46	0.82725
IFNA8	0.9625
SPRR1B	-1.08966666666667
FLRT1	0.20325
SNX17	-0.0633333333333333
ASB2	-0.375
HBG1	-5.458
RPRML	-1.21
JOSD2	0.0866666666666667
PLSCR3	-0.18275
SPOCD1	-0.8205
RAB39	-0.466
GHRH	0.324
ITIH5L	0.03625
C17orf37	0.807
SMCR8	1.08025
DPY19L2P3	-0.659333333333333
IL11RA	1.04716666666667
GDF3	-3.14716666666667
RPS6KB1	-0.89125
DNAJC19	0.3415
TOP1	-0.601
CRCT1	0.98725
MPST	0.457375
DPM2	0.2605
FAM38B	-1.96333333333333
SLC18A1	-2.544
FARP1	0.112
PAX7	0.2105
TUBD1	-1.338
GNL3	0.116875
BTG2	4.43893333333333
NDUFS6	-0.93525
C1orf79	-1.77225
ERAL1	-0.58575
ECHS1	1.3075
VPS4A	-0.770666666666667
CYP11A1	-0.498875
ABCC6	-1.34185714285714
PBX4	-2.694
MOSC1	0.545375
NCF4	0.79375
HYMAI	0.482
NAGPA	-0.278875
OTOP2	0.41125
ACOT12	-0.2835
MTHFD2L	-0.5905
LOC441376	1.412
C19orf34	-0.6735
RAB1B	0.50925
ALDOAP2	0.208
NTRK1	-1.831
ARTS-1	-0.00710000000000002
SLC6A11	-1.1955
NAP1L2	-1.24025
CNGB1	-0.411833333333333
EPB41L4B	1.3745
FAM134B	3.375625
HS3ST3A1	-2.69066666666667
CPXM2	5.89275
SIRPB2	0.00750000000000001
CHORDC1	-2.15633333333333
TRIB3	-0.752833333333333
SLC2A5	0.4345
C2orf49	-0.972333333333333
DDX5	-0.974
OR5L1	1.1095
ANAPC4	-0.920166666666667
ZSWIM1	0.187375
LOC93622	-0.29725
KCNK3	-0.4508
RP11-35N6.1	-2.644125
ZFP161	0.111666666666667
AQP9	0.56425
SLC15A2	-1.02816666666667
MREG	0.5345
OR9I1	0.406
PDLIM2	-0.146428571428571
ADAM7	0.103
GSTCD	-0.262833333333333
WDR21A	-0.024
SLC12A8	1.89533333333333
TMEM174	-0.4385
IGSF3	-0.24775
LRRN1	-1.98425
LOC402117	-0.27925
SRPK1	-1.11566666666667
LY6K	-1.0113125
NFIA	2.462
PTCD3	-0.71675
LEP	4.16616666666667
PCDH21	-1.31266666666667
MAPKAPK2	-0.2755
NMNAT1	-0.770833333333333
LHFPL2	-0.46
C9orf43	0.004
DIP2A	-0.531666666666667
ACTR8	0.053
CCDC34	-1.13875
PTPN22	-2.395625
ITGA3	-1.09125
FAM129C	0.384
RABGGTA	0.525333333333333
UNC45B	1.125
KIAA1033	0.021
ZNF510	-0.812833333333333
CYP2D6	-0.633666666666667
SLC26A10	-2.036
STX8	-0.49075
LUZP1	-0.19775
WDR89	-0.134
EIF4G3	0.1694
C5AR1	0.467
ZNF623	-0.862
A2M	1.0095
TGM7	0.2145
GRPEL1	-0.545
LMNB2	-1.2995
ROCK2	-0.901
SNX16	0.8365
CCDC66	-0.04025
ANXA3	-1.517
KIAA1609	-0.896125
EED	-1.9395
RNF32	-1.31333333333333
HES1	2.5536
CLC	0.0496666666666667
ISL1	-0.0971666666666667
KIAA0528	-0.02275
MANEA	0.397125
C1orf61	-2.162
hCG_2001000	1.8075
RAPGEF6	-0.5136
KIAA0020	-0.539833333333333
NEIL1	1.3035
C16orf45	-1.55625
RBM10	-0.076
C10orf125	-1.50875
MRS2L	-0.98275
DNAH17	-1.00325
C19orf10	-1.0095
C1orf160	0.6185
SLFN12	-0.058
EXOC3	-0.561333333333333
HIST3H3	-0.13975
NCOR2	-0.121333333333333
TNFRSF9	-1.0915
MFSD8	0.165
ALX1	-3.05683333333333
NOL1	-0.99375
PODN	3.33875
TIAL1	-1.34175
HIST1H1E	-1.35375
NPY6R	-0.22625
TM4SF4	0.51575
CORO2A	1.114
ETNK2	-0.120333333333333
APOE	0.73
ANGPT4	0.3665
HDGF2	0.09275
G30	1.3565
ST8SIA4	-0.150625
F2RL1	-0.71925
FAM19A4	-3.24325
CCAR1	-0.9425
B3GNT7	0.0965
OPHN1	-0.3771
DSCR6	1.5475
C21orf13	0.1395
GAS2L1	1.473
RFX3	1.10066666666667
COPS4	-0.323
BCHE	-3.39316666666667
BCL2	3.23125
HBZ	-2.78416666666667
ARL13B	-0.506125
MAPBPIP	1.116375
MYO15B	0.795875
SPZ1	0.9965
KIAA1324	3.08477777777778
PLCL2	-0.407125
C4orf29	-0.92375
WDFY2	-0.997
ZNF284	-0.828
NAALADL1	0.169
DUSP5	-0.691
PXDN	-0.058125
SLMO1	-0.8955
TNXB	1.5781
BIRC7	-1.18225
A4GALT	0.833666666666666
TIMM22	-0.44575
FAM110C	0.78775
TOMM34	-0.749875
ABHD9	0.694
ADAM32	-0.042
CRHBP	2.193
AQP2	0.782375
LOC130355	0.622
ZNF187	-0.165833333333333
ZNF816A	-0.0505
F7	0.730625
CNOT1	-1.2847
SLC13A4	2.0845
ZBTB11	-0.891
B3GALT5	2.93575
EXOC2	0.292666666666667
IRS1	1.757
TMEM1	-0.201833333333333
MRPL34	-0.259166666666667
SAMM50	0.39875
CDC42EP3	-0.67975
HSF2	-1.0113
MFN2	-0.01975
TSPAN7	-0.0328333333333333
NUCB1	0.8045
RHOH	1.073
ARL16	-0.46
TACR1	-0.0435
SFRS5	-0.569833333333333
SNX25	-0.296375
RHBDF1	0.535666666666667
PCDH18	2.22016666666667
HMG1L1	-0.154
MYO5C	1.107625
MAPK10	2.772
LDHAL6A	-0.0566
NUDT12	1.1885
NCAM1	-0.132714285714286
GLIS2	1.8545
GGTL4	-0.614
DAPP1	0.89425
ATF7	0.611875
KIAA0748	-1.42625
NFIL3	-0.1125
TM6SF1	-0.3092
SEZ6	0.316875
NANOS3	-0.0415
DNAJA3	-0.977666666666667
CLDN6	-2.744
CIITA	2.4019
EPHA4	-0.808166666666667
FANCC	-0.847
CMTM3	-0.934
PSG3	-0.765285714285714
