Hybridization REF	TCGA-BH-A0HX-01A-21R-A056-07
SC65	0.614166666666667
PEX5L	-1.80157142857143
EPS15L1	0.3905
MGEA5	-0.6035
HIST1H3A	0.222
ING1	-0.284875
BCAT1	-2.75925
ORC6L	-3.51118181818182
KLK11	-3.21533333333333
C19orf28	-1.470125
DNER	-5.092375
MED22	-0.621642857142857
ETV6	0.66125
CHAC2	-2.82725
CD300E	0.1165
CEBPB	0.814083333333333
ZNF398	-0.087
LRCH3	-0.1455
HMGA1	-2.24616666666667
CAPN7	-0.3195
MGC5566	-3.53325
CCL3	2.909125
NANOS1	0.066625
ZFYVE19	-0.93075
APITD1	-0.0653333333333333
PARD3	1.320625
IRAK4	0.3075
SERPINI2	-0.1025
CEP170L	-1.28025
TTC9	2.30675
MYOM3	-0.79075
MLPH	1.76
LOC222699	-0.524
NRG1	-2.08854545454545
TBC1D9	5.11345454545455
TTK	-2.85933333333333
ZNF557	-0.1093
DDX41	0.0713333333333333
FANK1	1.805
UBE2D2	0.107625
PSMB10	0.580875
MYH7B	0.3895
GABARAPL2	0.75375
MARVELD2	2.43883333333333
DGCR2	0.336166666666667
UNC45A	0.221833333333333
C6orf72	-0.479
ZNF683	4.059
GIT2	0.00137500000000006
CASK	1.51166666666667
C14orf161	3.02833333333333
LRRC44	2.0965
TIFA	-0.305875
UTP11L	-0.81425
C6orf65	-0.98775
FDPS	-0.334
DUSP9	-2.4018
SLC17A8	0.420666666666667
OR51G1	0.409
NANS	-0.20775
OLFML1	1.9515
ATP10B	-1.353625
NPAS3	0.57225
PRKCA	-2.6934
GGA2	-0.0751875
LCE4A	0.2675
SPANXN3	0.34675
CCDC115	0.57525
SDCCAG3	-0.9755
GLIPR1L1	0.35
TTC1	0.02775
C17orf76	1.092
MAD2L2	-1.492
HIPK1	-0.0251
LRRC3B	-0.4285
CLN3	-0.148045454545455
C17orf47	0.362
FMN2	-0.5275
TUBB1	-1.461375
WAPAL	-0.316833333333333
C3orf21	-0.159875
SCN5A	-0.5813
SMYD1	0.17725
BEX5	2.0445
ZNF192	-0.348
SEC22A	0.114166666666667
GRIA2	1.26571428571429
KIAA0825	-1.1835
NUSAP1	-3.43509090909091
LANCL1	-0.594
C15orf40	-0.6906
ZNF645	0.20575
GPR61	0.12725
NLRP14	0.181
SNX21	0.0511
C1QTNF8	0.379
C17orf46	0.036
IFNA8	0.9445
SPRR1B	-2.02266666666667
FLRT1	-0.844
SNX17	0.173166666666667
ASB2	-0.576166666666667
HBG1	-5.9265
RPRML	-2.3475
JOSD2	0.657
PLSCR3	-0.04275
SPOCD1	-1.2855
RAB39	-1.2895
GHRH	0.0773333333333333
ITIH5L	1.67075
C17orf37	0.98675
SMCR8	0.24125
DPY19L2P3	0.0276666666666667
IL11RA	0.784666666666667
GDF3	-4.23533333333333
RPS6KB1	-0.07
DNAJC19	0.112
TOP1	-0.618
CRCT1	0.11875
MPST	0.016875
DPM2	0.123625
FAM38B	-0.357
SLC18A1	-2.842
FARP1	-0.4485
PAX7	0.27375
TUBD1	-0.22875
GNL3	0.104375
BTG2	1.9088
NDUFS6	-0.30425
C1orf79	-1.68325
ERAL1	0.66175
ECHS1	0.594
VPS4A	-0.184666666666667
CYP11A1	-1.158
ABCC6	0.464785714285714
PBX4	-1.768
MOSC1	-1.073375
NCF4	0.0755
HYMAI	0.1585
NAGPA	-0.342125
OTOP2	-0.07725
ACOT12	-1.32125
MTHFD2L	-0.152875
LOC441376	5.27925
C19orf34	0.382
RAB1B	0.328
ALDOAP2	-0.308
NTRK1	-1.78016666666667
ARTS-1	1.0249
SLC6A11	-0.4995
NAP1L2	0.20675
CNGB1	0.256
EPB41L4B	0.689916666666667
FAM134B	2.542875
HS3ST3A1	-1.31416666666667
CPXM2	5.75775
SIRPB2	1.293
CHORDC1	-1.42466666666667
TRIB3	0.203666666666667
SLC2A5	0.09175
C2orf49	-1.06233333333333
DDX5	-0.04875
OR5L1	0.999
ANAPC4	-0.477666666666667
ZSWIM1	0.627625
LOC93622	0.293125
KCNK3	0.0886
RP11-35N6.1	-2.834
ZFP161	-0.215333333333333
AQP9	4.34575
SLC15A2	1.34116666666667
MREG	-0.349166666666667
OR9I1	0.0355
PDLIM2	0.362714285714286
ADAM7	0.5375
GSTCD	0.266666666666667
WDR21A	-0.371875
SLC12A8	1.73416666666667
TMEM174	0.1155
IGSF3	0.955833333333333
LRRN1	-1.223
LOC402117	0.174
SRPK1	-2.095
LY6K	-2.705375
NFIA	1.7435
PTCD3	-0.56475
LEP	2.39116666666667
PCDH21	-1.14683333333333
MAPKAPK2	0.703857142857143
NMNAT1	-0.760666666666667
LHFPL2	0.58075
C9orf43	1.56675
DIP2A	-0.733333333333333
ACTR8	0.089375
CCDC34	-1.29475
PTPN22	-1.23925
ITGA3	-0.238875
FAM129C	0.05775
RABGGTA	0.502833333333333
UNC45B	0.56525
KIAA1033	0.415375
ZNF510	-0.2055
CYP2D6	-0.862833333333333
SLC26A10	-2.329
STX8	0.74175
LUZP1	-0.089125
WDR89	-0.402666666666667
EIF4G3	-0.1728
C5AR1	1.459125
ZNF623	0.3045
A2M	0.91325
TGM7	0.083
GRPEL1	0.202
LMNB2	-1.6751
ROCK2	-0.0186666666666667
SNX16	0.414625
CCDC66	-0.4925
ANXA3	-1.537
KIAA1609	-0.26375
EED	-1.4785
RNF32	0.690833333333333
HES1	0.1735
CLC	0.106833333333333
ISL1	-1.2715
KIAA0528	0.41875
MANEA	-0.507625
C1orf61	-2.6255
hCG_2001000	1.255
RAPGEF6	0.3252
KIAA0020	-0.698333333333333
NEIL1	0.17
C16orf45	0.84425
RBM10	-0.134166666666667
C10orf125	-0.87975
MRS2L	-1.15175
DNAH17	-1.495
C19orf10	-0.71925
C1orf160	1.0255
SLFN12	-0.30625
EXOC3	0.242333333333333
HIST3H3	0.266
NCOR2	0.203666666666667
TNFRSF9	-0.27275
MFSD8	0.312
ALX1	-3.958
NOL1	-0.36
PODN	2.987
TIAL1	-0.6065
HIST1H1E	0.333
NPY6R	-0.08575
TM4SF4	0.57975
CORO2A	0.5595
ETNK2	1.123
APOE	0.0372
ANGPT4	0.1205
HDGF2	-0.32825
G30	0.569
ST8SIA4	-0.180428571428571
F2RL1	0.24875
FAM19A4	-1.153
CCAR1	-0.5415
B3GNT7	-0.16325
OPHN1	-0.0575
DSCR6	0.4505
C21orf13	1.14733333333333
GAS2L1	-0.0253333333333333
RFX3	0.047
COPS4	0.22025
BCHE	-4.79666666666667
BCL2	2.3135
HBZ	-3.411
ARL13B	0.6795
MAPBPIP	0.75675
MYO15B	0.363375
SPZ1	0.37025
KIAA1324	2.66344444444444
PLCL2	-0.668375
C4orf29	-0.67875
WDFY2	-1.267
ZNF284	-0.265
NAALADL1	0.689
DUSP5	-0.330333333333333
PXDN	0.11075
SLMO1	-0.26125
TNXB	0.5946
BIRC7	-0.95475
A4GALT	0.9135
TIMM22	0.72125
FAM110C	1.1675
TOMM34	-0.6005
ABHD9	0.3095
ADAM32	2.5235
CRHBP	0.69325
AQP2	0.451
LOC130355	0.99425
ZNF187	-0.0973333333333333
ZNF816A	0.272
F7	-0.55225
CNOT1	-0.8398
SLC13A4	1.67925
ZBTB11	-0.363
B3GALT5	-1.42775
EXOC2	2.63116666666667
IRS1	0.5811
TMEM1	-0.602833333333333
MRPL34	-0.184666666666667
SAMM50	-0.3935
CDC42EP3	-0.270625
HSF2	-1.704
MFN2	-0.15775
TSPAN7	-1.71216666666667
NUCB1	0.7205
RHOH	-0.98375
ARL16	0.7795
TACR1	0.49125
SFRS5	-0.940666666666667
SNX25	0.348
RHBDF1	0.5915
PCDH18	1.68683333333333
HMG1L1	-1.14175
MYO5C	0.521375
MAPK10	1.5365
LDHAL6A	-0.101666666666667
NUDT12	1.65516666666667
NCAM1	-0.807125
GLIS2	1.073
GGTL4	1.88875
DAPP1	-1.5045
ATF7	0.723625
KIAA0748	-0.9895
NFIL3	-1.52625
TM6SF1	1.2167
SEZ6	0.3385
NANOS3	-0.247
DNAJA3	0.0903333333333333
CLDN6	-2.974
CIITA	2.2354
EPHA4	-0.548416666666667
FANCC	0.109
CMTM3	0.18825
PSG3	-1.11
MRPL15	-0.426
C21orf59	-0.79875
PLCXD2	-0.90525
C2orf34	-0.479125
UBE2L6	0.62075
MED14	-0.00666666666666669
HP1BP3	-0.4515
C6orf208	-0.3235
TPBG	0.8385
OSR2	1.44
XPC	0.4705
KLHL7	-0.9915
CCR3	-0.3732
AGTPBP1	-0.8265
PCSK6	1.01526666666667
STAT5A	-1.2282
FAM18B	0.28325
LONRF2	0.9465
PTPN2	-0.309625
SF3A3	-0.523666666666667
EFCBP2	-0.68575
HCFC1	-0.450333333333333
AHNAK	0.5646
ACTR5	0.5615
KIF14	-2.79657142857143
TENC1	1.1675
HEATR5B	1.01
YIPF2	0.368666666666667
MYEOV2	0.332
DUSP18	1.1295
KIAA1012	-0.2735
AHR	-0.629166666666667
C17orf53	-1.5905
PTPRH	-4.72025
ATP6V1C1	1.5204
TAS2R3	-0.019
LOC440356	2.73575
COQ10B	0.27325
PSMF1	1.33533333333333
SORBS2	0.90875
NFE2L2	-0.59025
TMCO7	-0.483
SH3PXD2A	0.319
SH2D2A	-1.21825
SPINK5	-0.50675
MRPS24	-0.27625
OPA3	0.779125
TRAF7	0.1975
C4orf35	-0.384166666666667
MT1G	-0.935375
MGC39545	0.415333333333333
HS1BP3	1.0286
OR2B2	0.0905
CHRM4	-0.885
SFRP2	3.35341666666667
RIC3	-1.69875
ART1	-0.3455
C6orf1	0.226375
DUS4L	-0.99875
C10orf104	-0.1255
TNFAIP6	3.15575
RTEL1	-0.50325
CCT4	-0.8135
ZNF709	-0.0365
CHMP6	1.0165
UPP2	0.848
CYP19A1	-3.07675
CD151	-0.678833333333333
NDUFA13	-0.401166666666667
ARFRP1	-0.215833333333333
FAM26B	1.83975
CRYBA1	-3.536
MRPL41	0.352833333333333
NPFFR2	-2.267875
HRH2	0.3255
SCAMP3	0.3675
MTMR6	0.3714
MTG1	-0.600666666666667
UBTD1	1.4125
CRABP1	-3.0885
FLJ33790	1.7424
KIAA1908	0.636
GPR158	0.03325
PACSIN3	-1.34533333333333
OMD	3.85
CATSPER1	-0.666
HOXB8	-0.7205
FBXO46	1.0125
OAS1	0.544666666666667
SVIL	0.16625
PHB2	-0.73325
ADCY3	-0.27
NDRG2	0.158833333333333
ERMAP	-0.2109
APBA2	-1.78366666666667
IGSF9	2.10525
WNT6	-0.600692307692308
MYCBPAP	1.7055
ATP2B2	-0.1937
CPVL	-1.2474
TRAM2	-0.82125
NOP5/NOP58	-0.833
ZNRF4	0.02525
TLK1	-0.6345
MTMR12	0.260428571428571
ZNF384	-0.139166666666667
FAM9B	-3.517
RPN1	0.5271
PMVK	1.23425
EIF3D	0.0948
SIX2	0.03725
HPS1	0.491928571428571
RNF7	0.1405
PSKH2	0.143
KCTD13	0.270166666666667
CSMD3	-0.2217
FBF1	0.095
IL8	-3.905375
SERPINB13	0.834416666666666
FBXL20	-0.14
BLR1	0.187
SH2B1	0.218
RFNG	0.454875
RAB20	0.171166666666667
RBM7	-1.4345
POLR1A	-0.4015
TMPRSS4	-3.14925
TAF9	-0.817
TERF2	0.1085
TNFRSF1A	0.442416666666667
ACADVL	-0.552666666666667
GTF2H5	-0.4495
EDG8	-0.820166666666667
C9orf140	-1.2795
UST6	-0.04575
ZBTB8OS	-0.70225
ZNF710	1.3305
GPR174	-2.589
ATP6V0A2	-0.848
KIAA0319L	0.812
XKRX	-1.0935
DOPEY2	1.1071
SDHD	-1.09966666666667
SUMF1	1.7565
OSM	1.993
OPN3	-1.029
DAGLB	0.212166666666667
PPFIBP1	0.5536
TRIM63	-2.444
C10orf53	-0.454
LYPD3	2.80133333333333
BCL7A	0.193625
AGER	-1.95266666666667
TCF19	-1.5305
SAT2	0.06025
PFTK1	1.053
GABRE	-3.677
C15orf38	1.3336
FIS1	0.0755
KCNV2	-0.21925
CLPS	0.125
PPCDC	-0.350375
FOXN2	0.866333333333333
NT5E	-2.5878
CD83	0.16425
IL18	-0.33625
VPS16	1.319
IGFBP2	0.2715
NOTCH2	0.17575
SIGLEC1	2.7535
CD93	6.35
SULF2	-0.61125
CEP164	-0.37275
P53AIP1	0.331666666666667
TOR2A	0.0691666666666667
ZNF136	0.06125
MGP	2.5256
CCDC144A	-0.9682
TRPC1	-0.3155
SMS	-0.4565
MAPK7	-0.498333333333333
RRAGC	0.346
PARD6A	0.647
NUB1	0.813833333333333
SYNGR4	0.72825
OR11H12	-0.092
WIF1	0.907625
GCH1	-0.13425
OR11H4	0.2495
SLC44A5	-0.204
GPRIN2	-0.851666666666667
LOC401431	-0.1195
CPA4	-3.519
MELK	-2.28644444444444
IL15RA	-0.1075
CUL3	0.923375
HMBOX1	0.24475
PODXL	-1.2905
CCT6B	0.660166666666667
COMTD1	0.2745
MUC20	0.176666666666667
GPX2	-1.078375
ITK	-1.030625
FBXL5	1.7205
C13orf27	-1.80575
DEFA5	0.9655
TRHDE	0.4045
MTP18	-0.1815
UQCRQ	0.4213
ITGB2	1.00125
CSRP2BP	1.067
TAS2R44	0.753
PHPT1	0.02375
FAM44C	0.651
ERH	0.2245
MPHOSPH1	-1.41916666666667
MORC1	-0.8365
PARVB	-0.01075
LAMA1	-2.73583333333333
PGBD3	0.357
GIMAP6	3.994
AREG	1.53816666666667
LIPT1	-0.282
MGC99813	-1.84625
C1orf201	0.265166666666667
GRIN2A	-1.18177777777778
MAN2C1	-0.930625
NSUN5	-0.4225
SF3B5	-0.20125
MYC	-0.0485
NRXN1	-1.23583333333333
ZNF18	0.43975
SPDYA	-0.045625
SLC37A1	1.4325
DECR2	0.15125
ANKRD38	0.11875
SPTLC3	-1.99208333333333
SUPT16H	-0.726
DTWD2	0.7745
ULBP1	-0.197
ZADH1	0.108166666666667
OIP5	-3.9095
IL10RB	-0.0436666666666667
OTUB2	0.123125
VWA3A	0.308
SPIC	-0.205
OR6C4	0.622
PSCD4	0.745166666666667
DPY19L2P2	-1.1425
TRAPPC6A	1.05783333333333
C21orf2	-0.906166666666667
CEMP1	0.49725
LIN7B	0.396
E2F7	-2.1435
VCP	0.3564375
LAMA3	2.63083333333333
BGN	2.45
GPR160	0.946
COCH	-1.21516666666667
GPR81	2.06916666666667
APOBEC3F	-1.91
tcag7.1017	-0.83375
C1orf32	0.2705
SCGB1D2	2.714
FLJ43987	-0.752
C6orf170	0.20425
KLK9	0.317
GPD1L	1.308625
VPS37B	0.15575
ATG3	-0.480666666666667
ADAMTS17	-0.324
KLHDC2	1.035
NDUFV2	-0.30825
BLK	-2.70825
MATN4	-1.445
GPM6A	0.839714285714286
GBP4	3.39516666666667
TMEM162	0.5595
PKP2	0.603
HRASLS	1.35644444444444
MMP1	-1.4075
SFXN3	-0.1478
FSD1	-1.996
ST6GALNAC3	-2.02383333333333
CA12	2.3618
NCOA6	0.79775
C19orf58	-0.4233
PPP4R1	-0.214666666666667
MAN1A2	0.995833333333333
IKBKAP	-1.17525
UPF1	-0.00633333333333333
KIAA1219	1.0935
WNT16	0.646166666666667
SNW1	-0.746
IL18RAP	2.91075
RPP30	-0.588875
CDC40	-0.620714285714286
SETD3	-0.180166666666667
SLAMF6	0.4065
ELK4	-0.5765
TRIM47	1.34433333333333
ACOX3	1.74625
TRIM6	-0.18325
KIAA0372	-0.201833333333333
TP53AP1	1.510875
SMURF2	0.0145
ADAD1	0.49325
EBP	-0.6598
KRTAP13-2	-0.628
FLJ36874	-0.965666666666667
TOR1A	-0.123
P2RY4	1.573
GPBP1	0.20975
TRPV1	-0.452375
ADAMTS12	0.857833333333333
PES1	0.0953
ATG4A	0.548
MAGEA10	-5.04775
WFS1	1.6975
CC2D1B	-0.269166666666667
PABPN1	-0.617625
SLC25A30	-0.27475
SLCO1C1	0.6555
SLC22A5	1.337
KIF23	-2.039
SYN2	-0.435666666666667
ASPN	8.46366666666667
CENTG2	0.38425
QSOX2	-1.4018
FLJ10815	0.262666666666667
STK24	-0.5526875
SPEG	-0.3956
STK10	0.2485
DACT2	-2.7325
AAAS	-0.55275
SSX3	-1.728375
ABCD3	0.1244
C4orf12	1.1215
PARVG	0.6705
FIG4	0.42125
C9orf46	1.00825
TMCO6	-0.5205
IGHMBP2	1.24875
DUS2L	0.0495
FAM3C	-0.3073125
TMEM16D	-3.23571428571429
DCTN4	1.0475
KCNH3	0.2905
EIF2AK2	0.75525
AP1S3	-0.515375
CST4	2.183
PAM	-0.1084375
NUTF2	-0.47225
CITED2	-0.5961
SLC39A4	0.5315
C2orf52	-0.7775
GRM3	-0.13675
C12orf49	0.67875
CCDC49	-0.3094
GRAMD1B	-1.77775
FNDC4	0.6585
SIAH2	1.9275
GDPD4	-0.065
C21orf87	0.655625
ATP5A1	-0.738666666666667
C16orf63	-0.615375
LOC388135	-0.531
ATP5J2	-0.93025
MMP3	-0.499
EMID2	-0.24
CRHR1	0.46275
WDR70	-0.6555
C13orf31	1.22175
ZFAND1	1.1085
CCL18	4.20483333333333
C3orf49	0.044
RINT1	-0.3445
KIAA0408	-1.79266666666667
F13A1	5.3617
SLC10A1	-0.148833333333333
OGN	0.94975
GIPC2	-1.31666666666667
XPO6	-0.251666666666667
LCE1A	1.0375
FMR1	0.3945
LOC374920	-0.32075
DUSP3	0.21025
ANKMY1	1.06575
C7orf50	0.2845
BBS9	0.1496
UNC119B	-0.088125
C9orf72	0.128
MGC35440	-0.9785
ENTPD6	0.320875
PPP1R2P9	-0.391333333333333
ERCC4	0.508
FAHD2B	-0.3635
HMHA1	-0.473
HACL1	-0.445
RAD23A	-0.158166666666667
FAM83B	2.2175
PPP5C	-0.004
RNASEH2C	0.21825
C9orf153	-0.409
SCAMP4	0.489
GHITM	0.4368
NDUFB7	0.048625
ADCYAP1	-0.471333333333333
SP110	1.323
MAP3K7IP2	-0.502
DHH	-0.254
AGRN	0.313928571428571
WDR33	-0.00300000000000002
CEP290	0.988166666666667
PRPS1L1	-2.46216666666667
KLRA1	-0.4945
GPR97	-0.5045
CHD7	-0.0145833333333333
TLR10	0.9395
SLC30A8	-0.99
HIC1	1.25516666666667
IAPP	0.343
RXFP4	-0.1605
GP1BB	1.23375
SHQ1	0.212
NKX2-3	1.02366666666667
API5	-0.5765
FTHP1	-0.5315
MOV10L1	1.32416666666667
TRIM6-TRIM34	1.92966666666667
ADHFE1	-0.22625
FAM117A	0.36575
DDI1	0.22225
CDON	0.284833333333333
TRIM73	-2.047
IGKC	3.416
MMP14	-0.42925
DYNC1LI1	-0.190625
C11orf66	-0.03275
TRBV3-1	-1.02475
FASTKD5	0.7915
BIVM	-0.337
LHX4	-0.43125
CXCL2	-1.5235
RAB2B	-0.917333333333333
IZUMO1	-1.23675
MAP3K15	-2.09475
FAM19A2	0.560333333333333
ZC3H8	-0.197
ZMAT1	2.65925
SPINK5L3	-4.07533333333333
SLC10A6	1.229
APPL2	0.743375
CARD10	-0.694
LOC402176	-1.079625
EEF1D	0.8648
RAB6A	0.1618
C12orf5	-0.46575
PAPOLG	0.7485
MSRB2	0.1535
BCR	0.4325
PUS3	-0.397
TIAM2	0.2545
ZNF317	-0.362833333333333
CHD2	-0.203928571428571
FZD5	-1.94322727272727
NUDT8	-1.399
ZNF763	-0.199
PRC1	-1.996
ABCB9	0.633
SPATA3	-0.3405
TRAK2	0.1825
STAB1	2.955625
LRRTM2	-0.1966
psiTPTE22	1.35375
DBI	0.387
SERPINA11	1.74
NAT5	0.64725
C20orf58	-3.084
RPS6KA4	-0.164
FLJ90650	0.098
TGFBRAP1	0.71675
CHRDL2	-1.089375
FAHD2A	-0.651666666666667
CNTN1	0.04075
BBS4	0.4453
TMEM181	-0.638
MINPP1	-0.265
MPHOSPH6	-0.652583333333333
HOXC10	1.7121
ITPKB	0.296375
CLPTM1L	0.465
MEOX2	0.697833333333333
ATP6V0C	0.844125
PRPF8	-0.104833333333333
TMC5	1.805
FKBP3	0.15575
PLEKHB2	0.167875
OR4D6	0.3375
ZNF544	-0.99
D2HGDH	-0.08375
RPL18A	-0.765
HEL308	0.029375
MPP6	-4.168
TCERG1	-1.619
KRT16	-1.6475
KLF17	-0.758333333333333
KLF5	-0.00712500000000006
CDR1	2.89
VCX3A	-1.777
FBLN2	2.088375
C14orf104	0.85975
HBE1	-5.2924
OR4S2	0.347
C1orf108	-0.856666666666667
ROBO4	3.81383333333333
CPEB4	1.401375
C11orf80	0.636333333333333
BCKDHA	1.03
MYOC	0.6075
GIF	0.8885
CKMT1A	1.178
RPL3	0.4612
THBS1	3.226
APOO	-0.458
ARMCX1	0.43375
HSZFP36	-0.11075
SNAPC5	-0.3785
EIF4ENIF1	0.2115
ZNF433	-0.23725
TNFRSF21	-1.88025
TMPRSS7	0.0605
SPATA18	1.939
HPDL	-1.7315
MKL2	1.6762
TBX3	1.415
C21orf93	0.608333333333333
DAXX	-0.406
ELMO1	-0.18025
RGS13	2.097
TAF11	-1.47075
UNC13A	-2.3285
LOC653314	-0.1982
ORC3L	-0.77775
IMAA	-2.66
TARBP2	-0.20625
CABIN1	-0.3167
TRIOBP	0.2856875
HIST1H2AC	0.972375
RGS22	-1.791
NCOA1	0.996333333333333
IL25	1.2765
SNCG	1.0615
GPR6	0.7135
AMDHD1	0.0743333333333333
CHEK2	-1.80775
C6orf142	-0.4625
DRD4	0.60025
C14orf68	-1.721
GDF11	-2.2895
SEMG2	0.2635
CD247	-1.27
CDAN1	-0.72125
RBMX2	0.145833333333333
TGS1	-0.33875
OIT3	0.91725
SYF2	-0.39275
MCM4	-2.066875
PKHD1L1	0.24625
CEP192	-0.766333333333333
IFT88	0.392
RPL9	0.0545
RAB32	-0.20825
DDX43	-2.93325
P2RX2	0.413833333333333
OR5D18	0.6955
UBE1	0.238083333333333
SLC24A1	0.11425
ARHGAP5	0.847
CETP	-0.49175
KIAA1731	-1.3815
SLC9A4	0.48
PTPN6	1.52725
BAHD1	-0.89275
GRIK3	1.3415
CACNB2	-0.757
PDE10A	-0.18225
DGCR14	-0.30325
PCDHB9	-0.7405
RHOQ	0.642333333333333
MAP3K4	-1.066
KTI12	0.00666666666666667
RPL23AP13	-0.5965
GNG11	0.0055
CLCN3	1.961
GPAM	-0.281875
VSTM2A	1.839
SLAMF7	1.94133333333333
INTS2	-0.53425
PPP2CA	0.2561
LRP12	0.987333333333334
SEC14L2	2.33966666666667
DKFZP586H2123	1.283
MC3R	0.0855
CIRH1A	-1.49383333333333
HIST1H2AB	1.61966666666667
POLH	-0.764375
MGC16703	-2.25466666666667
SNAPC2	-0.376
FILIP1L	1.664
RASGRP4	0.9065
LRRC1	1.53125
GAS1	0.59625
PRAC	-0.94375
DGKA	-0.208333333333333
NT5C3	0.107
PEG3	-2.77591666666667
NADK	-0.5035
PRR17	0.63925
LOC374569	-0.81875
SGSH	0.232
NLRP8	0.3235
GALT	0.2049
MCF2	-1.6545
ZNF263	0.57525
TACSTD1	1.10333333333333
TYR	-6.9992
ATP6AP2	0.6365
RNUXA	0.1475
ABHD10	0.0096
GDPD2	-1.17275
SLC35C1	-0.4415
UBE2A	0.175125
HERC5	0.0928333333333333
FAM112B	-4.878
FBXL16	0.40425
DKFZP434A0131	-0.59975
ELA3A	-2.8935
RBM41	-1.4825
HAO2	-0.1125
RNH1	-0.030125
SHANK2	2.17083333333333
OSBP2	-1.641375
DAK	0.153666666666667
C3orf58	0.226
TCL1B	2.484
KBTBD2	0.234125
SUGT1L1	0.18975
UBE2E2	0.550333333333333
MYL9	3.010125
CDC23	-0.513666666666667
PBXIP1	1.5205
CXorf40B	0.8415
NBL1	1.334
RTBDN	0.12
RAB11FIP5	0.3075
TTTY13	-0.8325
SCOTIN	0.248916666666667
SOHLH1	-0.6495
CDKN1A	-0.0133571428571429
NCK1	-0.19425
ZNF550	-0.38375
SAPS3	1.20925
SPIN3	0.514
MAGEE2	-0.463
MIS12	-0.415666666666667
OR8H2	0.4205
KIAA0774	0.419166666666667
UNC5D	-1.9965
CUL7	-0.275833333333333
LIPC	-3.31366666666667
DIO1	-0.792
C20orf11	0.4165
CTRL	-0.73775
HS3ST2	4.0145
PAK4	1.36883333333333
CCRL1	2.75625
RNF10	0.058375
ZNF567	-0.4035
ZNF660	-0.4275
TCEAL3	1.781
MAGOH	-0.579333333333333
CENPB	0.5265
C19orf7	0.482625
LOC388965	1.0075
ZCCHC13	-0.784
JMJD1A	-0.992
HIST1H4H	1.189
TBRG1	-1.4142
GPC3	-4.19675
TAF1C	-0.97275
EBNA1BP2	-0.5345
CIAPIN1	-0.2685
PDGFRA	-0.518944444444444
CSTB	-0.876875
CENPI	-1.89566666666667
GTF2E2	0.358666666666667
RPP21	-0.613
CCNF	-0.8155
KCNQ3	0.8725
FAM79A	1.20125
SLC22A12	0.6335
NOVA1	-0.6075
FZD3	0.319
AKAP8	-1.1645
SOCS5	0.093625
CFDP1	-1.11875
DLG5	0.29075
PGM5	1.02808333333333
C1orf144	-0.0488333333333333
HDAC10	-1.089
RND2	-0.59575
C20orf199	-0.1015
RNMT	-0.241625
SLURP1	0.592875
ASTN1	-0.623375
SH3BGR	0.37325
MYCL1	-0.732875
ZHX1	0.00716666666666667
CENPK	-2.66975
FOSB	2.6339
LOC643406	0.176875
C2orf59	-1.589375
TMEM135	-0.70525
SLC27A2	-0.41775
KRT33A	2.627
OVOL1	0.723
PAMCI	-2.96083333333333
S100A7	-1.382
ZNF789	-1.4795
HARS2	0.67675
RPL23A	0.182
TCF23	-0.1635
UPF3B	-1.173
C17orf78	-0.3285
HLA-DOB	0.0176666666666667
C14orf142	0.0978333333333333
TEKT5	1.12916666666667
DMWD	0.272
POLD1	-1.7425
GSCL	-0.063
CALD1	0.3108
SCRT1	0.303333333333333
AIG1	-0.10375
UNC84B	0.58225
ZNF404	-0.67025
TMED6	-3.77325
KIAA1462	0.9525
LRRC27	1.8075
PYGO1	0.0485
PIGU	0.166666666666667
ALAS2	-4.02233333333333
WRNIP1	-0.376125
CNNM3	0.7595
ZNF2	0.23125
ST3GAL5	-1.07758333333333
MRPL23	-0.6655
TSSK6	0.059
PSMA6	0.8995
C16orf70	-0.46475
KIAA1602	-0.4515
ALMS1	0.104833333333333
DCN	2.751625
TMEM132D	-1.64875
SUCLG2	0.196
ABHD14A	0.636
DEXI	0.092
AMPD2	-0.880333333333333
IFNAR2	-0.694
CYB5A	0.2287
TLOC1	0.63665
NXF5	-1.518
NRBF2	-0.298125
KCTD3	1.2845
ITGAE	-0.180833333333333
SLC30A3	-2.54416666666667
ZRF1	-1.2895
IFRD2	-0.280125
XAB1	-0.08475
PYCR2	0.0256666666666667
SERPINB3	-4.5925
TMLHE	-0.3535
GEFT	-0.205375
ABCA5	0.695625
EMR4	0.0556666666666667
TSFM	0.2955
HIST3H2BB	-0.31425
ARHGEF19	1.173
TSPAN17	0.00883333333333333
ABCC8	2.563
MAP1S	0.00633333333333334
C22orf36	1.38775
BNC2	-0.218785714285714
HIST1H4A	-0.72425
NDUFS3	-0.626666666666667
WDR3	-0.466
XKR4	-0.231
TTC33	-0.204071428571429
STMN2	4.5225
CPN2	-1.0705
HSPC105	1.21775
PCOLCE2	-2.52725
C3orf55	0.4525
KLHDC9	2.68366666666667
TBC1D23	0.180125
ATXN2L	-0.8925
MAP2K3	0.00166666666666667
SCAP	0.27425
ZNF486	-0.210166666666667
C20orf96	0.3275
NARS	-0.228
ADAMTSL1	-0.633
PRCC	0.5755
CCDC126	1.01075
ZNF675	-1.28375
CALCOCO1	0.85075
ANKRD43	3.22475
CWF19L2	-0.589166666666667
ZBTB32	1.0165
BRAF	-0.944
ODF4	0.386
MGC14376	0.5885
HORMAD1	-2.64833333333333
AAK1	-0.320083333333333
PEBP1	0.557083333333333
TNFSF5IP1	0.111
