Hybridization REF	TCGA-A7-A0D9-01A-31R-A056-07
SLC44A1	0.2165
FBXO17	-0.620833333333333
C6orf107	-0.11525
C19orf29	-0.205
ZC3HAV1L	0.418
PARP6	1.8887
SULT2A1	-4.65266666666667
C1orf159	-0.525
TMC1	0.14575
CHST14	-0.016375
GAMT	0.179166666666667
SMCP	-0.0436666666666667
TSPAN33	0.9085
MIDN	0.18025
NOX4	3.0425
RNASEN	-0.143
TBX1	-1.25383333333333
SALL2	-0.401
C10orf35	0.73475
CYP2E1	-0.530625
LRFN2	-0.622
ACO1	-0.455666666666667
IQCG	0.0513
MEGF9	0.5125
TM7SF4	2.377
PLEKHA1	1.21573333333333
STK33	-3.18875
C1orf210	1.84075
SNUPN	2.0685
KIAA0406	-0.9422
C20orf29	-0.02725
TMEM55B	-0.239
OSTM1	-0.870125
CLCN7	0.43725
OTP	-0.01925
FLJ23049	-1.1255
HEATR4	0.5025
MAP3K10	0.501166666666667
PCDHGA9	0.4295
AMDHD2	0.21325
LCTL	-1.648
PDCD2L	-0.04225
CABLES2	0.79225
SLC5A9	-0.87975
CLCA2	-2.028
MGC16025	-1.1295
STRAP	-0.466
C20orf196	-0.7015
RRBP1	0.1315
NAT13	-0.441
MAT2B	-0.112625
CSNK1D	-1.40783333333333
KIR3DL1	0.28225
PRKAG3	-0.6125
ZNF599	1.701
PRM3	0.156
PER2	1.95833333333333
ASPHD1	-2.5205
PRMT6	-0.72525
KCNE1L	-0.431642857142857
FAM118A	-0.479333333333333
TAF4	1.76275
NDUFB6	0.26875
TRIM9	-1.32427272727273
PMFBP1	-1.4875
KY	0.5015
DKFZp762E1312	-3.62609090909091
CSMD1	-2.12775
TBP	-0.215
OR1Q1	0.0626666666666666
RETNLB	0.4285
HPGD	0.636285714285714
DNAJC12	-3.2265
FKBP1B	-0.492
ANKRD24	-0.557333333333333
CXXC5	2.091
IL3	0.4955
DRAM	0.4454
PTCH1	-1.512
TP53BP1	-0.53625
SLC17A7	0.177375
COL25A1	-0.7624
AMACR	-0.0315
RHCG	-0.47625
VPS13A	-0.0115833333333333
FAM55D	0.4385
PRPF38B	-0.760666666666667
OSBPL6	-0.92325
PFDN5	0.2436
CMTM6	1.011625
KCNK12	-1.74675
RP2	-0.451
C16orf52	-0.63925
PICK1	0.9485
IFNE1	-1.80883333333333
SEMA4B	0.62425
TYRO3	-2.13325
OR12D2	-0.069
CSNK1A1	0.93275
FANCF	1.5655
LONP2	0.946875
TBL1Y	0.34175
LDOC1L	0.56875
CCNC	0.16975
C3orf60	-0.07075
CHKA	0.231
UBAP1	0.06925
MAP3K1	0.8735
ANKRD9	-1.1415
FAM92A1	-0.931166666666667
GAB2	-0.583875
AZU1	0.5145
DIS3	0.2725
C21orf109	-1.371
IQCB1	-0.771
SPATS2	-0.907
EFCAB3	-0.19
PRB3	-0.209625
FUZ	-0.478166666666667
ZNF813	0.592
BMPER	-0.7095
HEG1	-0.224
ALS2CR11	-1.222
SURF2	-1.34375
PSMC1	0.292083333333333
OR2D2	0.283
SLC7A8	1.58983333333333
C4orf40	0.1725
SPATA7	1.08875
MAZ	-0.41425
PIN4	0.4595
PDE1A	-0.8795
TAF6L	-0.426166666666667
OR2T34	0.1845
KIAA0284	0.97275
ACADS	-0.404636363636364
MKRN2	-0.4585
C18orf56	-3.929
MS4A6E	-0.152833333333333
GALNT4	1.6426
C22orf31	0.479
FLJ36070	0.017
PSME4	-0.288
TFG	-0.2455
EPHX2	0.26325
ANXA5	-1.153625
KRTAP1-1	-0.237666666666667
BATF	-0.24525
KARS	-1.06175
MSTP9	-0.527
GPR26	0.0725
CCDC72	0.3645
TEF	1.72066666666667
FOXK1	0.3449
PRLHR	0.604
EMX1	0.599
C11orf30	0.1725
ICK	0.69275
THSD7B	0.01675
C21orf100	-0.531
DUOX1	1.5
EFCAB4B	0.78275
UBE2G2	-0.0918333333333333
C3orf54	-0.47675
PARP1	-1.239
FAM60A	-0.843083333333333
C6orf146	0.27375
OR9K2	0.36
DDX55	-0.477333333333333
RPS15	-0.2215
ZNF618	0.16875
DKFZp686D0972	0.60025
SSPO	-0.5105
SHFM3P1	1.0945
CPA6	0.871
JAG2	1.42475
DEFA3	0.3935
PPBPL2	1.28983333333333
CD34	3.714
SLCO4A1	-1.633625
AFG3L1	-0.294833333333333
SHD	-1.03825
RP13-122B23.3	-1.19483333333333
PRKCSH	-0.301333333333333
DPH5	-0.3935
HLA-F	0.498875
TBC1D4	-0.9305
RIG	0.8505
GLUD1	0.5145
HNRPCL1	0.451875
HBXIP	0.034
RNF207	-0.4535
APIP	-0.8425
PLA2G3	-3.94516666666667
CCDC84	-0.824
MYLIP	0.296538461538462
PHIP	0.278
AARS2	-0.701333333333333
DHX32	0.7355
SCAPER	2.43566666666667
MEN1	-0.167875
NIP7	-1.3255
FLJ25404	1.1165
FASTKD3	-0.2365
TMEM158	-2.2
RARA	0.373
BDH1	0.9445
ANKRD16	0.50975
CARM1	-0.495
SS18	0.366833333333333
IKZF2	-0.8325
MYD88	0.111625
PML	-0.10085
TAF1A	-2.09525
CBFB	-1.39775
HIST1H3H	-1.8545
C7orf29	-1.866
COMMD4	1.34666666666667
DPP3	-0.55675
DAB2	0.118125
LOC388882	-0.2365
YPEL4	-1.412
AGBL3	-0.0345
LRP6	0.2589
SERPINH1	0.0363333333333333
TLE1	-0.995
CD244	-0.123833333333333
ZDHHC15	-1.88175
MGLL	2.0108
PLDN	-1.03491666666667
LOC654346	0.4915
FAP	2.974
GPR37	0.6125
SCARA5	0.215333333333333
EBF4	2.25954545454545
LSM6	-0.72475
MLLT1	-0.1014375
SLC5A12	-0.31
A2BP1	-1.43166666666667
COPS5	0.7355
TPM4	-0.401428571428571
TNFSF4	2.06916666666667
ACADSB	0.347166666666667
HERPUD1	0.918
BCL2L11	-0.619444444444444
CEP78	-1.664125
CDCA3	-2.563
WBSCR19	0.2885
MYO1A	-3.1075
PPEF1	2.67866666666667
LOC440348	0.53975
CPEB2	1.241375
BPTF	0.409666666666667
RPL21	-0.5729375
GSX2	-0.334
ADPRH	0.615166666666667
C17orf68	-0.389833333333333
KCNS1	0.0878333333333333
MLLT6	-0.3653
PIWIL4	-0.023
RNF26	-0.90575
RAP1B	0.029875
ADAMTS1	-2.6916
ZNF571	1.3885
P2RY6	0.467
TRIM21	0.0815
CADM3	-0.295
NLRC5	-0.1645
ADRA2B	0.751333333333333
LOC90835	-0.173875
PCF11	0.037
LOC400451	1.87225
GLTSCR1	0.5
C17orf88	0.2015
CDH16	-0.59975
FGF7	1.677
PCSK4	0.2055
NPC1L1	-0.114
TAT	0.797875
TBCA	0.43425
MGC33407	-0.52825
GPR115	0.40025
CYGB	0.382
FNBP4	-0.735666666666667
C12orf43	-0.1385
CBL	-0.4778
CLECL1	0.11475
PPAPDC1A	1.637
WDR25	0.627666666666667
SGCA	0.29
C22orf29	-0.5165
YIPF1	0.955
GALK2	-2.15975
RAB3B	-3.74908333333333
LOC440087	-0.7125
UCP1	-1.021
REEP5	1.82625
FADD	-0.1483
FOXA1	3.393625
CACNA1A	0.129333333333333
ABI1	0.196833333333333
GRIN2D	0.34925
SLC1A4	-1.31316666666667
LOC401127	-1.55275
HINT2	-0.0045
PLD4	-0.273333333333333
ZNF286A	-1.65075
ENY2	1.1975
IL1F6	0.3665
PXDNL	1.196
C20orf79	0.70025
TNFSF13B	1.62133333333333
DENND3	1.395875
JARID1D	-3.763
HIST1H2AK	-0.375625
LOC93349	0.0323
SSH1	-0.4942
ENSA	-0.069
LOC219854	-0.210333333333333
CKAP2	-1.5337
DKFZP564J102	0.326
MGC87315	1.98633333333333
HNRPAB	-0.11875
AMH	-3.046
ZNF526	0.228
BRUNOL5	-0.7691
CACNG3	0.343166666666667
TRPM1	-1.51
PPP2R1A	0.263625
COL2A1	-2.2535
DDN	-0.497333333333333
FLJ25770	1.08318181818182
HK2	-0.825142857142857
ELOVL6	-1.77125
MDK	-0.3875
EPHX1	0.59425
RASSF2	0.227
DKFZP434B0335	0.467
DLX3	1.13025
PRTN3	-0.51275
AVPR1A	0.4045
C21orf125	-3.59433333333333
TNFAIP8	-2.087
GNB2L1	-0.20875
CALCRL	3.548
SCGB2A2	5.78233333333333
UBXD7	-0.16225
ZNF674	-0.862
TMEM35	-0.2175
BRSK2	0.71375
HECTD3	0.194166666666667
TMEM188	-0.315916666666667
LGALS9	0.819625
SCARB2	1.63433333333333
USP34	0.05175
C17orf28	1.37966666666667
ZDHHC23	-0.047
AQP12B	-0.2995
SLC16A3	-3.2665
APLP2	2.01825
ITIH2	-6.02925
MICAL3	-0.889375
TNNI3K	1.1398
HDAC2	0.267
PRR7	-0.0522
THBS2	0.335375
LOC751071	0.1875
CA2	0.0158333333333333
RANBP17	1.365
RLN3	-0.2665
CRYZ	0.307166666666667
GBAS	1.30683333333333
TAS1R1	-1.24
MPZL3	0.584
PCDH8	-2.345
HSP90B1	-0.02525
KCNK15	-0.0095
TNIP2	0.0895
GPR146	0.86275
NOL6	-0.35225
SPC25	-4.34788888888889
STEAP2	1.22928571428571
VAMP3	0.375
TCIRG1	-0.69525
ZP4	-0.203166666666667
PARL	0.03875
TRIM39	0.0775
KIAA1305	0.573
CRNN	-0.0575
GRN	0.73975
HSH2D	-0.11225
SCAMP1	1.4475
KIAA1913	1.017
PTS	0.50975
BANP	0.572785714285714
PRKACG	0.31775
ADCY6	1.46866666666667
C16orf46	0.1115
CYP51A1	0.098875
DDC	-5.5675
ANPEP	-1.85383333333333
PROM1	-3.04283333333333
SIGLEC10	0.872
COPG	0.3545
FAM26E	1.50175
TRIP4	3.05525
SNX3	0.265666666666667
C1orf175	0.67
PPY2	0.51675
C14orf152	-0.03275
FTSJ1	-1.0895
DST	-0.2431
LOC554235	-0.1875
GLRX5	-0.62125
C20orf12	1.809
CAB39	0.488666666666667
MSH2	-0.790833333333333
PIP4K2C	0.753625
CYLD	0.941625
WTAP	-0.190875
MGAT4A	0.532222222222222
TSC22D4	0.3673
CHRM2	-2.0565
PPYR1	-0.211333333333333
CCNH	-1.001
RRM1	-1.75825
ECAT8	-3.62025
LOC400120	-0.0675
GABRA4	-0.258
C14orf4	1.28466666666667
C1orf59	0.70875
CTDSPL	0.09625
NHEDC2	-1.546
PDE11A	-0.4466875
KLHL29	-0.952
CD5	-2.0434
TSPAN9	1.3184375
WDR67	-0.73525
THUMPD1	0.4108
C18orf17	0.99975
CLYBL	-1.80433333333333
FLJ13231	0.363375
CMBL	0.046
LECT2	-0.1935
NKAPL	1.59366666666667
LOC654780	0.3765
OR4C6	0.014
RAB30	-0.789833333333333
TSSK4	-0.263
TMEM163	1.4
OSBPL11	0.1375
GNB5	-0.387
CCL21	0.54675
C1orf121	-0.703666666666667
FMO2	1.89066666666667
RPTN	-0.041
MSTN	0.977
VCL	-0.349928571428571
FYTTD1	0.71075
C11orf1	0.01125
CCDC88C	1.4609375
HFE	-1.44244444444444
MOGAT1	0.679
FAM125B	0.424
IRGQ	0.053
RAVER2	1.1325
AKAP5	-0.993
SSSCA1	-0.308
C11orf63	1.521
ACTG2	0.2427
PORCN	-1.007
DTL	-3.41309090909091
TMEM151	0.46725
FAM122C	-2.04425
RSAD2	0.6755
BAT4	-1.296
KRTDAP	-0.580333333333333
MYH8	-0.17525
CRTC3	0.5315
LRRFIP2	-0.0276
INTS4	-0.621166666666667
TTN	-1.01433333333333
SLC26A5	0.5605
PLLP	-1.54325
RGS6	-0.670625
SRGAP3	0.3085
ZNF525	0.444666666666667
NBR2	-0.635666666666667
C13orf1	0.2801
ZNF137	0.535
CEP27	-2.12625
BEST2	0.1535
RNF121	-0.845
DMRTC2	1.0505
C8orf76	1.3275
BCCIP	-0.07625
MEST	3.28525
HTRA2	-0.4305
ANGPTL2	0.60025
ILKAP	0.120833333333333
ERAS	0.0465
HBS1L	-0.26025
CPA5	0.81
TMEM30A	-0.102333333333333
CD300LF	1.2025
WISP3	-3.41
CRK	0.814428571428572
PDS5A	-0.1436
BRPF3	0.633666666666667
NEDD9	0.342125
SMPDL3B	1.426
PSG6	-0.5075
PSMD13	0.78475
ETV5	-2.6660625
OR51A4	-0.9605
BTBD7	0.991833333333333
GSTO1	-1.193375
hCG_16001	-0.987
MAD2L1BP	-0.792166666666667
COX6A2	0.6815
SCNN1A	0.345833333333333
LSM1	3.4415
UGT2B11	-4.30775
IDUA	0.62625
PPP2R3C	-0.813166666666667
COX11	-1.96566666666667
PDZK1	-3.313
ZNF443	1.0755
MGC21874	1.95716666666667
ZNF323	2.1802
KRTAP10-10	0.458
CXCL6	-0.4315
SLC34A2	0.6116
LOC284402	-0.246
NPTN	1.787
UPP1	-2.50825
SLC6A9	-0.1185
OR7G3	0.0635
CISD1	-0.5585
ZNF545	0.571333333333333
SYT14	-0.7335
NT5C3L	0.262666666666667
ZNHIT3	-0.895333333333333
SNRPD3	0.54725
KIAA0701	0.45925
UNC93B1	0.138333333333333
GMNN	-2.786375
SPCS2	0.104666666666667
LOC388524	-1.6105
NAPRT1	-0.173
PNLIPRP1	0.09175
OR6V1	0.071
PRKAB1	-0.00150000000000001
EYA4	-2.79533333333333
KIF20A	-3.4985
ALG10	-0.37875
ITPKC	0.649
LMX1B	1.1155
RPUSD4	-0.613333333333333
C7orf34	-0.1705
DLGAP2	0.51325
PFN1	-0.7132
MICALL2	0.208416666666667
ZNF654	1.4475
SS18L1	0.95625
SLC16A8	0.167
MKI67IP	-0.1855
ITGB3	-1.040125
TCEA3	1.6385
CEP152	-2.3811875
CLIP1	1.6215
ZNF75	0.574375
ATP5C1	0.00249999999999999
NUDT5	-1.2775
PSCDBP	-1.10575
UBP1	0.2845
RBM27	0.127
C13orf15	1.975
ZNF282	0.309333333333333
ZNF222	0.3972
COL10A1	5.59575
PRDM15	-1.055875
TTTY5	-0.211
FAM9C	-0.423083333333333
C20orf67	0.16375
GNG13	2.1065
F12	-2.87525
C1orf41	-0.9015
CPXCR1	1.533
GSK3A	0.07025
SUPT6H	0.269333333333333
PI16	0.066
ELL2	-1.99108333333333
C9orf167	-1.9195
PVRL3	-2.2594
FLJ38596	0.736
ADAM20	0.5635
GPR89A	-0.134
GPR87	0.0545
ZNF30	0.443
SMR3B	-0.0943333333333333
ZNF770	-0.073
TRPC4AP	-0.247
DKFZP686E2158	0.373333333333333
C2orf28	0.0366666666666667
FREM1	-1.86
LAMA4	0.417166666666667
ADPRHL2	-0.1785
EIF4G2	0.476333333333333
GUCA1A	-0.1915
CTNNA2	-1.17857142857143
NUDT15	-0.660666666666667
CEPT1	-0.5825
ZNFX1	1.7982
CCDC92	0.80625
TDRD1	-0.572
KCNK5	-2.16666666666667
ETNK1	-0.083
LTA	-0.003
TTPA	0.611666666666667
B3GALNT2	0.022
SC65	0.708
PEX5L	-1.438875
EPS15L1	0.93225
MGEA5	0.70625
HIST1H3A	0.356
ING1	-0.652375
BCAT1	-3.491875
ORC6L	-3.09190909090909
KLK11	-6.24366666666667
C19orf28	-0.88625
DNER	-4.79975
MED22	-1.19735714285714
ETV6	0.67975
CHAC2	-2.4835
CD300E	0.366
CEBPB	0.715083333333333
ZNF398	-0.03575
LRCH3	0.0655
HMGA1	-2.25766666666667
CAPN7	0.085
MGC5566	-3.44825
CCL3	2.02575
NANOS1	0.173125
ZFYVE19	-1.5085
APITD1	-0.967333333333333
PARD3	1.56925
IRAK4	-0.0546666666666667
SERPINI2	-0.036
CEP170L	-1.60975
TTC9	3.16925
MYOM3	-1.4755
MLPH	1.79475
LOC222699	-0.00899999999999999
NRG1	-2.05918181818182
TBC1D9	2.38236363636364
TTK	-3.4265
ZNF557	0.6055
DDX41	-0.420166666666667
FANK1	2.1645
UBE2D2	0.02525
PSMB10	-0.746875
MYH7B	0.47
GABARAPL2	0.958125
MARVELD2	2.3015
DGCR2	1.01816666666667
UNC45A	0.684333333333333
C6orf72	0.296
ZNF683	1.728
GIT2	-0.258125
CASK	0.677833333333333
C14orf161	2.27266666666667
LRRC44	2.3095
TIFA	-0.502
UTP11L	-0.76075
C6orf65	0.14775
FDPS	-1.2855
DUSP9	-2.2823
SLC17A8	1.71816666666667
OR51G1	0.0908333333333333
NANS	-1.32475
OLFML1	1.46425
ATP10B	-1.62975
NPAS3	3.11925
PRKCA	-1.9958
GGA2	0.120875
LCE4A	0.02
SPANXN3	-0.30325
CCDC115	1.1685
SDCCAG3	-1.413
GLIPR1L1	-0.1395
TTC1	0.04775
C17orf76	1.8435
MAD2L2	-1.53525
HIPK1	0.1586
LRRC3B	-0.4788
CLN3	-0.311636363636364
C17orf47	0.0125
FMN2	-1.9005
TUBB1	-0.0959999999999999
WAPAL	0.591
C3orf21	-0.17525
SCN5A	-0.8403
SMYD1	1.0415
BEX5	1.10025
ZNF192	0.123
SEC22A	-0.479333333333333
GRIA2	-0.0379285714285714
KIAA0825	-0.24025
NUSAP1	-4.34872727272727
LANCL1	0.401125
C15orf40	-0.5464
ZNF645	0.277625
GPR61	-0.138
NLRP14	-0.439
SNX21	-0.1198
C1QTNF8	0.099
C17orf46	-0.01875
IFNA8	-0.257
SPRR1B	-2.63483333333333
FLRT1	-0.26575
SNX17	-0.443833333333333
ASB2	-1.674
HBG1	-5.5405
RPRML	-2.68
JOSD2	-0.082
PLSCR3	-0.214
SPOCD1	-0.767166666666667
RAB39	-0.442
GHRH	-0.0791666666666667
ITIH5L	1.289
C17orf37	0.0985
SMCR8	0.4075
DPY19L2P3	0.8725
IL11RA	-0.681833333333333
GDF3	-4.53466666666667
RPS6KB1	-0.686166666666667
DNAJC19	0.22
TOP1	-0.18175
CRCT1	-0.024125
MPST	0.231625
DPM2	-0.957
FAM38B	-1.85283333333333
SLC18A1	-3.0795
FARP1	-0.2175
PAX7	-0.24875
TUBD1	-1.7565
GNL3	-0.494375
BTG2	0.778866666666667
NDUFS6	-0.35175
C1orf79	-0.818
ERAL1	0.32
ECHS1	0.893
VPS4A	0.013
CYP11A1	-1.057875
ABCC6	-1.73685714285714
PBX4	-0.4605
MOSC1	-0.474625
NCF4	-0.998
HYMAI	-0.6605
NAGPA	-0.332
OTOP2	0.000249999999999993
ACOT12	0.01975
MTHFD2L	-0.563625
LOC441376	1.18575
C19orf34	-0.0655
RAB1B	-0.40225
ALDOAP2	-0.2245
NTRK1	-2.64933333333333
ARTS-1	-0.0697
SLC6A11	-0.661
NAP1L2	-3.26975
CNGB1	-0.0483333333333333
EPB41L4B	0.3275
FAM134B	2.752125
HS3ST3A1	-1.81333333333333
CPXM2	4.77625
SIRPB2	0.7635
CHORDC1	-0.8265
TRIB3	-0.6955
SLC2A5	0.0495
C2orf49	-0.5305
DDX5	-0.042
OR5L1	1.0005
ANAPC4	-0.152666666666667
ZSWIM1	-0.052875
LOC93622	0.17975
KCNK3	-0.4538
RP11-35N6.1	-2.56228571428571
ZFP161	0.3375
AQP9	2.231
SLC15A2	-0.813
MREG	0.694833333333333
OR9I1	-0.0635
PDLIM2	-0.267142857142857
ADAM7	0.0025
GSTCD	0.0938333333333334
WDR21A	-0.370625
SLC12A8	0.4915
TMEM174	0.098
IGSF3	0.885916666666667
LRRN1	0.135
LOC402117	0.20675
SRPK1	-1.07416666666667
LY6K	-2.1871875
NFIA	1.072
PTCD3	-0.610625
LEP	2.915
PCDH21	-1.99366666666667
MAPKAPK2	0.840571428571429
NMNAT1	-0.024
LHFPL2	1.0405
C9orf43	-0.66025
DIP2A	-0.575
ACTR8	0.092125
CCDC34	-0.59775
PTPN22	-1.865875
ITGA3	-1.57425
FAM129C	0.165
RABGGTA	0.375
UNC45B	-0.10675
KIAA1033	0.062375
ZNF510	-0.5695
CYP2D6	-0.7275
SLC26A10	-1.8555
STX8	-0.333
LUZP1	-0.109125
WDR89	0.00233333333333333
EIF4G3	-0.1865
C5AR1	0.310375
ZNF623	1.9345
A2M	0.5315
TGM7	0.244
GRPEL1	-0.120833333333333
LMNB2	-1.8066
ROCK2	0.454833333333333
SNX16	0.930375
CCDC66	0.506
ANXA3	0.5945
KIAA1609	1.028875
EED	-1.25425
RNF32	0.696666666666667
HES1	1.6184
CLC	0.0996666666666667
ISL1	-0.419666666666667
KIAA0528	0.624875
MANEA	0.608375
C1orf61	-1.527
hCG_2001000	-0.557
RAPGEF6	0.0053
KIAA0020	-1.14616666666667
NEIL1	2.9905
C16orf45	-0.517125
RBM10	-0.786333333333333
C10orf125	-2.676375
MRS2L	0.30425
DNAH17	-1.292125
C19orf10	-0.80025
C1orf160	0.04625
SLFN12	-0.7615
EXOC3	-0.039
HIST3H3	-0.1425
NCOR2	0.638166666666667
TNFRSF9	-1.066
MFSD8	1.23025
ALX1	-3.53666666666667
NOL1	-1.279
PODN	2.55425
TIAL1	-0.99725
HIST1H1E	-1.55875
NPY6R	0.131
TM4SF4	1.2595
CORO2A	-1.49375
ETNK2	0.623166666666667
APOE	-0.6768
ANGPT4	-0.1055
HDGF2	-0.413
G30	0.5575
ST8SIA4	-0.4385
F2RL1	-0.156125
FAM19A4	-3.81875
CCAR1	-0.03725
B3GNT7	0.073
OPHN1	-0.2681
DSCR6	-1.4405
C21orf13	0.701166666666667
GAS2L1	-0.114833333333333
RFX3	-0.321333333333333
COPS4	0.161625
BCHE	-4.626
BCL2	3.61025
HBZ	-3.64416666666667
ARL13B	0.40475
MAPBPIP	-0.576125
MYO15B	-0.307875
SPZ1	-0.112
KIAA1324	2.03266666666667
PLCL2	0.81275
C4orf29	-0.6315
WDFY2	-2.23325
ZNF284	-2.1925
NAALADL1	-0.241
DUSP5	1.44816666666667
PXDN	0.842375
SLMO1	1.06825
TNXB	0.0628
BIRC7	-1.55075
A4GALT	0.619666666666667
TIMM22	0.68725
FAM110C	1.0985
TOMM34	-1.179875
ABHD9	0.177
ADAM32	3.46
CRHBP	0.02725
AQP2	0.1965
LOC130355	1.47475
ZNF187	0.125833333333333
ZNF816A	0.8055
F7	-0.666625
CNOT1	0.0281
SLC13A4	0.86375
ZBTB11	0.3485
B3GALT5	-0.13275
EXOC2	1.25683333333333
IRS1	1.3923
TMEM1	0.126666666666667
MRPL34	-0.6725
SAMM50	0.1335
CDC42EP3	-1.27175
HSF2	-0.5138
MFN2	0.16475
TSPAN7	-2.1405
NUCB1	0.108166666666667
RHOH	-3.0915
ARL16	-1.6675
TACR1	-0.10625
SFRS5	-0.1915
SNX25	0.3365
RHBDF1	0.654833333333333
PCDH18	1.7975
HMG1L1	-0.31625
MYO5C	0.9345
MAPK10	0.42
LDHAL6A	-0.046
NUDT12	1.80733333333333
NCAM1	-0.4895
GLIS2	0.1205
GGTL4	-0.21575
DAPP1	-1.12325
ATF7	-0.1405
KIAA0748	-1.792
NFIL3	-1.95625
TM6SF1	0.9818
SEZ6	0.091875
NANOS3	0.4095
DNAJA3	0.066
CLDN6	-3.2655
CIITA	1.3582
EPHA4	-1.34525
FANCC	-1.75625
CMTM3	-0.222125
PSG3	-0.1335
MRPL15	-0.421
C21orf59	-0.19
PLCXD2	-0.64575
C2orf34	-0.00212499999999999
UBE2L6	-0.3015
MED14	0.567
HP1BP3	-0.1785
C6orf208	-0.7065
TPBG	1.675
OSR2	-0.106375
XPC	-0.165833333333333
KLHL7	-0.364333333333333
CCR3	-0.381333333333333
AGTPBP1	-0.186166666666667
PCSK6	-0.1742
STAT5A	-1.8511
FAM18B	0.9345
LONRF2	1.462
PTPN2	-0.498625
SF3A3	-0.798833333333333
EFCBP2	-0.4985
HCFC1	-0.115833333333333
AHNAK	1.50945
ACTR5	-0.06725
KIF14	-4.18242857142857
TENC1	0.52175
HEATR5B	1.2495
YIPF2	0.347166666666667
MYEOV2	0.2985
DUSP18	1.23175
KIAA1012	0.8675
AHR	0.114666666666667
C17orf53	-2.50883333333333
PTPRH	-4.0365
ATP6V1C1	1.1309
TAS2R3	0.255
LOC440356	-1.64775
COQ10B	0.8255
PSMF1	0.00791666666666666
SORBS2	-0.67725
NFE2L2	0.323
TMCO7	-0.612
SH3PXD2A	0.6793
SH2D2A	-3.02
SPINK5	-3.987
MRPS24	-0.4045
OPA3	-0.20625
TRAF7	-0.367166666666667
C4orf35	0.310166666666667
MT1G	-1.421875
MGC39545	0.8355
HS1BP3	0.3142
OR2B2	0.2085
CHRM4	0.081
SFRP2	3.54733333333333
RIC3	2.46975
ART1	-0.1365
C6orf1	0.380125
DUS4L	-0.6195
C10orf104	0.40775
TNFAIP6	2.83
RTEL1	0.67
CCT4	-0.4951
ZNF709	0.302
CHMP6	-0.266333333333333
UPP2	1.12575
CYP19A1	-2.843125
CD151	0.6585
NDUFA13	-0.239
ARFRP1	0.977833333333333
FAM26B	1.9985
CRYBA1	-0.531
MRPL41	-0.681
NPFFR2	-0.98
HRH2	0.459
SCAMP3	-0.566333333333333
MTMR6	0.8484
MTG1	-0.661333333333333
UBTD1	0.92
CRABP1	-0.42
FLJ33790	1.3599
KIAA1908	0.652666666666667
GPR158	4.2135
PACSIN3	-0.472666666666667
OMD	2.91316666666667
CATSPER1	-1.15083333333333
HOXB8	-1.489375
FBXO46	0.177
OAS1	0.264666666666667
SVIL	0.99975
PHB2	-1.23625
ADCY3	0.2715
NDRG2	0.375833333333333
ERMAP	1.1408
APBA2	-0.0665
IGSF9	1.1965
WNT6	-0.9595
MYCBPAP	-1.08325
ATP2B2	0.3506
CPVL	-1.8623
TRAM2	-0.922333333333333
NOP5/NOP58	-0.30825
ZNRF4	-0.02175
TLK1	0.12525
MTMR12	-0.185357142857143
ZNF384	-0.4375
FAM9B	-3.07525
RPN1	0.1781
PMVK	0.1615
EIF3D	0.1724
SIX2	-2.55325
HPS1	0.272357142857143
RNF7	0.0925
PSKH2	-0.535
KCTD13	0.508833333333333
CSMD3	-1.1512
FBF1	-1.257
IL8	-5.7005
SERPINB13	0.189416666666667
FBXL20	-1.03625
BLR1	0.3015
SH2B1	0.0165
RFNG	-0.355375
RAB20	0.2815
RBM7	-1.15025
POLR1A	-0.3
TMPRSS4	-0.0945
TAF9	-0.9885
TERF2	-0.0506666666666667
TNFRSF1A	0.0941666666666667
ACADVL	-0.940666666666667
GTF2H5	0.7055
EDG8	-0.382166666666667
C9orf140	-2.029625
UST6	-0.06675
ZBTB8OS	-0.35325
ZNF710	0.279
GPR174	-2.6345
ATP6V0A2	-0.57775
KIAA0319L	1.027
XKRX	-0.0335
DOPEY2	1.7125
SDHD	-0.362666666666667
SUMF1	2.521
OSM	0.4715
OPN3	0.24825
DAGLB	0.448666666666667
PPFIBP1	0.1319
TRIM63	-2.76075
C10orf53	0.719
LYPD3	0.592333333333333
BCL7A	0.414
AGER	-1.28416666666667
TCF19	-2.400875
SAT2	-0.7185
PFTK1	0.0721666666666667
GABRE	-3.4385
C15orf38	-0.3591
FIS1	0.545
KCNV2	0.17375
CLPS	0.16425
PPCDC	0.37
FOXN2	0.472
NT5E	-3.3233
CD83	-0.66825
IL18	-1.10125
VPS16	0.33925
IGFBP2	0.106166666666667
NOTCH2	0.13875
SIGLEC1	1.85775
CD93	5.414
SULF2	0.0885
CEP164	0.087
P53AIP1	0.242166666666667
TOR2A	-0.230833333333333
ZNF136	0.4925
MGP	1.4507
CCDC144A	2.04583333333333
TRPC1	-0.00866666666666666
SMS	-0.707166666666667
MAPK7	-0.373333333333333
RRAGC	0.43175
PARD6A	-0.470333333333333
NUB1	1.35366666666667
SYNGR4	-0.34
OR11H12	-0.0555
WIF1	0.521375
GCH1	0.0335
OR11H4	-0.0835
SLC44A5	0.6995
GPRIN2	1.319
LOC401431	0.4705
CPA4	-0.0753
MELK	-3.15855555555556
IL15RA	-0.59325
CUL3	0.98375
HMBOX1	-1.86475
PODXL	0.11275
CCT6B	0.347
COMTD1	-0.29125
MUC20	0.727333333333333
GPX2	-3.986875
ITK	-2.21475
FBXL5	2.79525
C13orf27	-1.48525
DEFA5	-0.0755
