Hybridization REF	TCGA-BH-A0BA-01A-11R-A056-07
ACOX3	1.247375
TRIM6	-0.418875
KIAA0372	-0.614833333333333
TP53AP1	2.437875
SMURF2	-1.062
ADAD1	0.0765
EBP	-1.9463
KRTAP13-2	-0.272
FLJ36874	-1.00733333333333
TOR1A	-0.346333333333333
P2RY4	2.014
GPBP1	0.25975
TRPV1	-0.32375
ADAMTS12	0.447666666666667
PES1	-0.6416
ATG4A	-0.035
MAGEA10	-3.92325
WFS1	1.043
CC2D1B	-0.154833333333333
PABPN1	-0.0758750000000001
SLC25A30	-0.31475
SLCO1C1	-0.5315
SLC22A5	1.599
KIF23	-2.778
SYN2	-0.962166666666667
ASPN	9.30233333333333
CENTG2	0.71725
QSOX2	-2.4736
FLJ10815	-0.1025
STK24	0.019
SPEG	0.2137
STK10	0.112833333333333
DACT2	-3.672
AAAS	-1.03325
SSX3	-2.02425
ABCD3	-0.8043
C4orf12	-0.13125
PARVG	0.919833333333333
FIG4	0.944
C9orf46	0.52675
TMCO6	-0.5605
IGHMBP2	-0.71775
DUS2L	-0.946
FAM3C	-0.7930625
TMEM16D	-2.037375
DCTN4	0.58725
KCNH3	0.47025
EIF2AK2	0.90725
AP1S3	-0.893875
CST4	1.253
PAM	-0.17675
NUTF2	-0.69525
CITED2	1.7243
SLC39A4	0.7745
C2orf52	-0.785
GRM3	-0.55325
C12orf49	1.114375
CCDC49	-0.6705
GRAMD1B	-1.407875
FNDC4	0.61175
SIAH2	1.17875
GDPD4	0.6085
C21orf87	1.0595
ATP5A1	-0.103333333333333
C16orf63	-0.403875
LOC388135	-0.946
ATP5J2	-0.574625
MMP3	-1.60075
EMID2	-0.29225
CRHR1	-0.049
WDR70	-0.25075
C13orf31	1.9955
ZFAND1	0.30425
CCL18	4.963
C3orf49	0.54
RINT1	-1.7185
KIAA0408	-2.79716666666667
F13A1	5.6239
SLC10A1	-0.139666666666667
OGN	1.808
GIPC2	-0.97
XPO6	-0.350666666666667
LCE1A	1.5575
FMR1	-0.4656
LOC374920	0.62
DUSP3	0.555625
ANKMY1	0.32
C7orf50	0.304
BBS9	0.5148
UNC119B	-0.15425
C9orf72	-0.633875
MGC35440	-0.078
ENTPD6	-0.66675
PPP1R2P9	0.22825
ERCC4	0.032
FAHD2B	-0.3445
HMHA1	0.5775
HACL1	-0.734
RAD23A	-0.33
FAM83B	-2.35875
PPP5C	-1.36266666666667
RNASEH2C	-0.153
C9orf153	-0.3365
SCAMP4	1.05325
GHITM	0.4545
NDUFB7	0.338625
ADCYAP1	1.10966666666667
SP110	1.833
MAP3K7IP2	0.838
DHH	0.0035
AGRN	0.193428571428571
WDR33	0.186
CEP290	-0.345666666666667
PRPS1L1	-2.08733333333333
KLRA1	-0.228
GPR97	-0.329
CHD7	-0.788333333333333
TLR10	1.648
SLC30A8	-1.329
HIC1	1.685
IAPP	1.0165
RXFP4	0.42375
GP1BB	2.09275
SHQ1	0.21
NKX2-3	0.606666666666667
API5	-0.61825
FTHP1	1.287
MOV10L1	-0.812666666666667
TRIM6-TRIM34	1.57766666666667
ADHFE1	0.7515
FAM117A	-0.736
DDI1	0.252166666666667
CDON	-0.655166666666667
TRIM73	-2.029
IGKC	4.4815
MMP14	0.287166666666667
DYNC1LI1	-1.26225
C11orf66	1.29375
TRBV3-1	-0.89575
FASTKD5	-0.284
BIVM	-1.884
LHX4	-0.18275
CXCL2	-0.5799
RAB2B	-0.421333333333333
IZUMO1	-1.30575
MAP3K15	-2.416625
FAM19A2	0.308666666666667
ZC3H8	-1.21583333333333
ZMAT1	1.903
SPINK5L3	-3.51525
SLC10A6	1.4995
APPL2	-0.408625
CARD10	0.283666666666667
LOC402176	-1.062125
EEF1D	1.1392
RAB6A	0.12
C12orf5	-0.654125
PAPOLG	0.3685
MSRB2	1.49625
BCR	0.385277777777778
PUS3	-0.29875
TIAM2	0.621
ZNF317	0.0616666666666667
CHD2	0.107642857142857
FZD5	-1.39804545454545
NUDT8	-1.31525
ZNF763	-0.2885
PRC1	-2.57244444444444
ABCB9	0.086
SPATA3	0.23525
TRAK2	-0.437125
STAB1	3.41125
LRRTM2	0.183666666666667
psiTPTE22	2.223
DBI	1.054
SERPINA11	0.78325
NAT5	-0.38925
C20orf58	-2.208
RPS6KA4	0.0745
FLJ90650	0.185
TGFBRAP1	-0.05775
CHRDL2	-0.5965
FAHD2A	-0.6605
CNTN1	0.3545
BBS4	0.1741
TMEM181	-0.34675
MINPP1	-1.27775
MPHOSPH6	-0.916833333333333
HOXC10	2.4075
ITPKB	0.38225
CLPTM1L	-0.3335
MEOX2	1.38183333333333
ATP6V0C	0.443125
PRPF8	-0.64
TMC5	5.6505
FKBP3	-0.08575
PLEKHB2	-0.569
OR4D6	-0.0474999999999999
ZNF544	-0.9788
D2HGDH	-0.17325
RPL18A	-0.5843
HEL308	-0.301
MPP6	-3.65275
TCERG1	-1.58675
KRT16	-1.47133333333333
KLF17	-1.8105
KLF5	-1.29
CDR1	2.84075
VCX3A	-4.632
FBLN2	2.550125
C14orf104	0.13875
HBE1	-4.5997
OR4S2	1.9855
C1orf108	-0.857666666666667
ROBO4	4.2625
CPEB4	1.3265
C11orf80	-0.401166666666667
BCKDHA	0.406666666666667
MYOC	0.887
GIF	0.1515
CKMT1A	-0.141
RPL3	0.1237
THBS1	3.161625
APOO	-0.905
ARMCX1	1.3605
HSZFP36	0.44775
SNAPC5	-0.26475
EIF4ENIF1	1.217
ZNF433	-0.1885
TNFRSF21	0.100875
TMPRSS7	0.37
SPATA18	2.2718
HPDL	-2.763
MKL2	1.3028
TBX3	1.19430769230769
C21orf93	0.376
DAXX	0.27125
ELMO1	0.462875
RGS13	0.5742
TAF11	-1.47825
UNC13A	-2.109125
LOC653314	-0.2196
ORC3L	-1.465
IMAA	-1.766
TARBP2	-0.43725
CABIN1	0.214
TRIOBP	0.250625
HIST1H2AC	1.558375
RGS22	2.3955
NCOA1	0.682333333333333
IL25	0.6
SNCG	2.2175
GPR6	0.353
AMDHD1	0.434166666666667
CHEK2	-1.349
C6orf142	-1.2435
DRD4	0.9775
C14orf68	-0.956
GDF11	-1.948
SEMG2	1.7135
CD247	-0.79675
CDAN1	0.2085
RBMX2	-0.536833333333333
TGS1	-0.5325
OIT3	-1.59425
SYF2	0.18275
MCM4	-1.878125
PKHD1L1	-0.00499999999999999
CEP192	-0.856833333333333
IFT88	0.50125
RPL9	0.145214285714286
RAB32	0.332625
DDX43	-1.247
P2RX2	1.15516666666667
OR5D18	0.709
UBE1	-0.5715
SLC24A1	0.864125
ARHGAP5	-0.25375
CETP	-0.11775
KIAA1731	-1.38266666666667
SLC9A4	-0.0495
PTPN6	0.911
BAHD1	0.147
GRIK3	0.569
CACNB2	-1.09411111111111
PDE10A	-0.539
DGCR14	-0.1665
PCDHB9	-0.783833333333333
RHOQ	1.02216666666667
MAP3K4	-0.1495
KTI12	-0.00516666666666667
RPL23AP13	-1.46375
GNG11	-0.18375
CLCN3	0.578
GPAM	-0.742
VSTM2A	-0.772
SLAMF7	3.25833333333333
INTS2	-1.081
PPP2CA	-0.3985
LRP12	-0.269333333333333
SEC14L2	1.76744444444444
DKFZP586H2123	2.482
MC3R	0.2795
CIRH1A	-2.61333333333333
HIST1H2AB	0.8515
POLH	-0.904625
MGC16703	-1.90583333333333
SNAPC2	0.6395
FILIP1L	1.611
RASGRP4	0.6075
LRRC1	1.89075
GAS1	1.61875
PRAC	-0.59275
DGKA	-0.549333333333333
NT5C3	-0.92875
PEG3	-2.90391666666667
NADK	-0.7235
PRR17	0.6785
LOC374569	-0.78225
SGSH	0.344
NLRP8	1.0085
GALT	-0.2487
MCF2	-0.5125
ZNF263	0.16775
TACSTD1	0.683333333333333
TYR	-6.0645
ATP6AP2	-0.02625
RNUXA	-0.02475
ABHD10	-0.0287777777777778
GDPD2	-1.1785
SLC35C1	0.40925
UBE2A	0.022125
HERC5	-1.22066666666667
FAM112B	-4.13933333333333
FBXL16	3.23925
DKFZP434A0131	-0.303
ELA3A	-2.1335
RBM41	-1.454
HAO2	0.75
RNH1	0.331875
SHANK2	1.42283333333333
OSBP2	-1.522625
DAK	0.0273333333333333
C3orf58	-0.86475
TCL1B	0.0665
KBTBD2	-0.495875
SUGT1L1	-0.37425
UBE2E2	-0.347166666666667
MYL9	3.165375
CDC23	-0.896333333333333
PBXIP1	1.6203
CXorf40B	0.046
NBL1	0.9965
RTBDN	0.838
RAB11FIP5	0.525625
TTTY13	-0.9165
SCOTIN	0.732833333333333
SOHLH1	-0.9996
CDKN1A	0.312785714285714
NCK1	-0.13925
ZNF550	-0.5595
SAPS3	0.1905
SPIN3	-0.316333333333333
MAGEE2	-0.274
MIS12	-1.18383333333333
OR8H2	-0.201
KIAA0774	-2.15566666666667
UNC5D	-2.9115
CUL7	-0.3795
LIPC	-2.76
DIO1	1.53225
C20orf11	-0.2543
CTRL	-0.72375
HS3ST2	4.566
PAK4	1.05516666666667
CCRL1	4.492
RNF10	0.49325
ZNF567	-0.15875
ZNF660	-1.9625
TCEAL3	0.96825
MAGOH	-0.467166666666667
CENPB	0.019
C19orf7	0.822375
LOC388965	-0.27775
ZCCHC13	-0.1245
JMJD1A	-1.1606
HIST1H4H	1.641
TBRG1	-0.7974
GPC3	-3.6935
TAF1C	-1.134625
EBNA1BP2	-1.21683333333333
CIAPIN1	-1.08125
PDGFRA	-0.0231666666666667
CSTB	0.2705
CENPI	-2.74083333333333
GTF2E2	-0.489
RPP21	-0.5215
CCNF	-1.458
KCNQ3	0.95
FAM79A	0.97725
SLC22A12	0.817
NOVA1	-0.035
FZD3	1.1137
AKAP8	-1.0185
SOCS5	-0.35125
CFDP1	-1.49275
DLG5	1.2085
PGM5	0.10475
C1orf144	0.164666666666667
HDAC10	-1.3965
RND2	-0.7335
C20orf199	-1.238
RNMT	-0.497
SLURP1	2.649125
ASTN1	-0.818
SH3BGR	1.1645
MYCL1	-0.985125
ZHX1	0.813
CENPK	-3.65
FOSB	2.1243
LOC643406	-0.189
C2orf59	0.22225
TMEM135	-0.63475
SLC27A2	-1.44225
KRT33A	1.4345
OVOL1	1.189
PAMCI	-2.24883333333333
S100A7	4.2355
ZNF789	-1.295
HARS2	0.0835
RPL23A	-0.613666666666667
TCF23	-0.404
UPF3B	-1.89775
C17orf78	0.3135
HLA-DOB	1.034
C14orf142	0.3815
TEKT5	1.2765
DMWD	0.4535
POLD1	-1.87483333333333
GSCL	0.4105
CALD1	0.5474
SCRT1	0.669166666666667
AIG1	1.05675
UNC84B	-0.321
ZNF404	-1.795
TMED6	-3.946
KIAA1462	-0.502
LRRC27	2.07116666666667
PYGO1	-0.6805
PIGU	-1.47616666666667
ALAS2	-3.43683333333333
WRNIP1	0.25425
CNNM3	0.0855
ZNF2	-0.17825
ST3GAL5	-0.966083333333334
MRPL23	-0.7005
TSSK6	-0.36125
PSMA6	-0.30275
C16orf70	-0.3315
KIAA1602	0.1015
ALMS1	0.0888333333333333
DCN	2.475875
TMEM132D	-1.14625
SUCLG2	-0.08775
ABHD14A	0.485
DEXI	0.831166666666666
AMPD2	-1.09633333333333
IFNAR2	0.172166666666667
CYB5A	3.4396
TLOC1	0.047
NXF5	-1.77733333333333
NRBF2	0.191375
KCTD3	0.91175
ITGAE	-1.0415
SLC30A3	-2.072
ZRF1	-0.553
IFRD2	-0.482375
XAB1	-0.32575
PYCR2	0.197666666666667
SERPINB3	-3.881
TMLHE	-0.6868
GEFT	-0.083625
ABCA5	-0.8605
EMR4	-0.04
TSFM	-0.31075
HIST3H2BB	0.511
ARHGEF19	0.8275
TSPAN17	-0.146
ABCC8	4.104
MAP1S	0.3735
C22orf36	0.96575
BNC2	0.488928571428571
HIST1H4A	-0.75425
NDUFS3	-0.488166666666667
WDR3	-0.757833333333333
XKR4	-0.67425
TTC33	-0.388428571428571
STMN2	5.05625
CPN2	-0.963666666666667
HSPC105	-2.208125
PCOLCE2	-1.67675
C3orf55	0.538
KLHDC9	3.992
TBC1D23	0.449
ATXN2L	-1.09025
MAP2K3	0.199666666666667
SCAP	-0.0885
ZNF486	-0.881
C20orf96	0.8565
NARS	0.27075
ADAMTSL1	0.0295714285714286
PRCC	0.6535
CCDC126	0.33825
ZNF675	-1.2675
CALCOCO1	0.56175
ANKRD43	4.2905
CWF19L2	0.0928333333333333
ZBTB32	0.8555
BRAF	1.01
ODF4	0.53275
MGC14376	0.799333333333333
HORMAD1	-2.564
AAK1	-0.172636363636364
PEBP1	1.35666666666667
TNFSF5IP1	0.0168333333333333
DKFZp564N2472	-0.2655
RMND1	-0.476
IGKV1-5	5.14175
COL1A2	3.81833333333333
SERPINA5	-1.721625
AANAT	0.406
C19orf21	1.693
GEMIN5	-0.41075
UBR4	-0.3845
LTBP3	1.12866666666667
AMHR2	-2.773
PROCR	-0.716
MYBBP1A	-0.72725
C20orf39	1.92283333333333
ZNF697	-0.00312500000000002
PASK	-0.9694
ZNF776	0.3515
RFXDC2	-0.3845
KIAA0467	-0.14425
C10orf96	-2.4925
ZNF503	0.03925
GULP1	-1.15133333333333
KCNE4	3.02166666666667
DKFZp434K191	-0.80825
LOC196913	-0.89
BHLHB4	2.144
CH25H	1.48475
LOC81691	-1.1195
ALPL	0.672357142857143
COL12A1	2.97725
FOLR3	-2.50533333333333
GPR123	0.24525
TRIM62	0.190714285714286
ABLIM1	0.716
MAST3	-0.5685
RHBDD1	0.247
LOC338809	0.5345
RYBP	1.136
TTC26	0.517
ZNF22	0.179666666666667
ISCA2	0.49475
RDM1	-2.949
PIGM	0.34375
GNB3	-1.6795
ACTR2	-0.0768
HMGB1	0.0648
EDG1	3.007
SOAT2	-1.9675
OR10AD1	0.816
RAP1GDS1	0.298
LCE1F	0.4645
ESM1	-1.622375
RCN3	2.2655
CREBL1	-0.479
DBNL	-0.278833333333333
PTGER3	1.480375
USP30	0.0958333333333333
BCL2L12	-1.02783333333333
KIF26B	2.49275
ZNF416	0.76975
ZNF225	-0.2195
C17orf70	-0.10825
ZNF554	0.684
RAE1	-1.15016666666667
TNIK	-0.643833333333333
ACTN3	0.758
MGC45922	2.241
CCNA1	-0.932166666666667
RYK	0.636833333333333
IL26	0.3865
LRP3	1.49166666666667
QARS	0.148
SOX7	1.19878571428571
BID	-0.49775
OR2S2	0.1495
CXCL14	3.42
C11orf47	-0.562
MGC29891	1.5385
HSPB8	0.4034
PRDM14	-1.885
NUFIP2	-0.082
MNAT1	0.26975
ZDHHC2	-1.23666666666667
MBNL2	0.08575
ADD3	-1.18475
CSNK2A1P	-1.2065
KLK6	-2.16616666666667
TMEM111	0.4616
KIAA1279	0.53475
NUBP2	0.285
RAB42	0.59225
ID3	-0.4437
TM9SF1	0.09475
MDP-1	-0.5475
POU4F2	1.1525
IQCK	1.905
C16orf14	-0.0265
CAPN3	-1.5725
FAM43B	0.645625
RECQL	-1.3635
AP1G1	-0.674642857142857
CTNNBL1	-1.14083333333333
ECHDC1	-2.727
SMARCC1	-0.1067
FOXQ1	-0.94975
GNAI3	-0.260666666666667
POLG2	-2.4165
CD4	1.39775
ITLN1	-0.104
EBI2	3.678
IRF1	1.252
PTPRE	2.551
PTK2B	-0.19275
NXNL2	-0.9145
SOX4	0.889944444444444
TSPAN3	0.882
SH2D1A	-2.08466666666667
C8orf58	0.409
USP20	-0.76925
DUSP22	-1.01766666666667
CALB1	-2.5494
L3MBTL2	1.15808333333333
MCRS1	-0.5265
TMEM118	-1.27116666666667
C18orf8	0.783
FLJ10241	-0.151375
GJA12	0.727
PKD1	-0.413333333333333
ZFP3	-0.599
JAM3	-0.47125
LAPTM4A	1.3028
DIRC2	1.24725
KIAA2022	-1.9814
MYOM1	0.4995
TRPM8	-1.92766666666667
MOP-1	2.5195
PHKG2	-0.150375
ZNF650	0.08725
KIAA1522	1.137625
PSG8	0.754833333333333
DDX19B	-0.994
MOBKL1B	-0.43425
DIAPH2	-0.237833333333333
PTPN12	-0.013
CLN8	0.1831
CRYZL1	-0.373333333333333
CRY2	0.803333333333333
FCGR2B	4.17516666666667
PNPLA4	2.274
ZNF454	0.1
DKFZp434B1231	0.0535
CLDN11	0.161
RFWD2	1.01216666666667
CIB2	-0.365166666666667
MXRA8	3.389875
HRK	1.16675
MAML2	-0.10525
C4orf31	-0.31125
C6orf192	-0.22625
COG6	0.7285
FAM5B	0.46575
NFATC1	1.7952
SEPT10	-0.63325
SCYL1	0.0547
RPP40	-1.703
SCOC	-0.5159
KIAA1450	1.07525
CTDSPL2	-0.27875
TBX5	2.5976
NAPG	0.56175
RHD	-3.86575
C14orf45	2.637
ZBTB22	1.0385
PLCG1	-1.007
ANKRD10	-1.138125
AQP7P2	1.25325
TAGLN2	0.350666666666667
HTR2C	-0.846
SLC16A7	-1.24616666666667
C17orf83	0.364333333333333
TSGA14	0.490833333333333
MDH1	-0.71175
PPP3R2	-0.042
DCBLD2	-1.43564285714286
RBM33	-0.40125
DPH3	-1.37375
SYT10	-1.35975
FMO4	1.428125
THYN1	-1.096
DRD5	-2.3975
OTOR	0.577125
PGRMC2	0.4449
KATNAL1	-0.2355
PAQR6	-2.17525
UBE2I	-0.648
C14orf28	0.419
C8orf70	0.40025
FLYWCH1	-0.270125
ANGPTL3	-0.81
GLRX2	0.1945
ATP11A	-1.10078571428571
ARL5B	-0.01375
MUC16	-2.6665
SLC25A5	-1.57957142857143
ACRC	-1.488
MYO1C	0.212875
FAM89B	1.23616666666667
FAS	0.075875
KIFAP3	1.076
GLRA2	0.23
BTN3A2	-0.0695
CNKSR3	-0.850875
CSTF3	-1.06566666666667
ARPM1	0.58425
KIAA1530	0.1005
C9orf150	2.49483333333333
PRKCI	0.12175
tcag7.1015	-1.39425
SOD3	0.33525
ZNF574	0.395
CYP21A2	2.76775
RPL12	0.25025
COMMD2	-1.4575
WIZ	-0.00875
LOC344405	-1.9905
ALDH4A1	-0.535176470588235
CRYAB	3.01575
COPA	0.749466666666667
PCDHGA7	1.156
KIF11	-1.64908333333333
RASD2	0.118375
SLC26A3	-0.321
ZNF175	-0.886
JAKMIP2	-0.657875
C8orf4	3.02766666666667
PTHLH	-0.2935
SLC40A1	3.47608333333333
OR7D4	0.2775
PCDHB17	-0.797
CD36	4.55946153846154
C6orf203	-0.0854
PRKG2	-0.8445
LOC400566	1.95125
ANAPC13	0.368
SLCO3A1	-0.939
ZNF692	-1.6555
FANCL	-1.795
SH3GLB1	0.42975
C12orf61	-0.7455
KBTBD6	0.14425
SUPT5H	0.067375
XRCC6	-0.5022
HUS1B	-1.0885
FAM133B	-0.248571428571429
LOC728276	1.6265
KCTD18	0.70925
SOS2	1.591
CCDC99	-2.7235
C1QTNF5	4.473
NNAT	1.15683333333333
USP16	0.1135
LARS	-0.68075
ZBTB2	0.175
ABO	-0.102666666666667
TRAF3	0.341
GALNT5	-2.272
NAP5	0.912625
ALG14	1.02966666666667
KIAA0515	0.112384615384615
WDR75	-0.938
TEX261	-0.426583333333333
LY86	1.58975
LOC389072	-2.2965
FLJ13611	-0.2575
MRGPRX2	-0.171
SNRPA	-1.27125
OR2G2	-0.0165
GPRASP2	0.454
C7orf42	0.7952
C9orf163	-0.575
CYP11B2	0.818
FCRL3	0.469666666666667
PRDX1	0.143
FGB	2.06883333333333
COX17	0.749166666666667
C16orf33	-0.6605
PIWIL1	-0.134666666666667
FOLR1	-2.88466666666667
KIAA0082	-0.4935
FREQ	-0.483666666666667
TMCC2	-1.86933333333333
TCF12	0.126916666666667
ZNF721	0.6315
FAM130A2	0.2855
POU4F1	-3.06533333333333
SNRPF	-1.099
SGIP1	2.181
ZNF641	0.0123333333333333
EMG1	-0.21225
PRRG4	1.1065
HIRA	-3.69625
MYNN	0.357833333333333
AEBP2	-0.4745
TBXA2R	0.745
ISL2	-1.55416666666667
PCDHB11	-0.4385
RNF144A	-0.38475
MARCH5	0.43975
DULLARD	-0.032
DCLRE1B	-1.71283333333333
ITGA8	0.057
TP73	0.085125
PRKCD	2.04
NDUFB4	0.1385
ATP13A4	-0.759625
ANTXR2	-0.147
COL4A3	-0.599333333333333
MYO10	-1.0662
SLC6A18	0.4545
PEX1	-0.08525
TMEM74	-1.898
RBM19	0.71775
TAPBP	0.6604
RUNX1	1.9095
MID1	-0.129666666666667
GPR64	-0.984166666666667
RASEF	5.36225
GABRG1	1.0875
MYO16	-0.209
DBF4	-2.47933333333333
TSHZ2	2.3565
RIPK2	0.87675
PPTC7	0.0155
KIF4B	-1.5865
LRRC31	-0.389875
ZNF540	0.776
EFNB3	-0.0903333333333333
LOH12CR1	0.431375
STON2	0.254833333333333
GLP1R	0.62125
CSTF2T	0.348125
IREB2	-1.319125
GRSF1	-0.39225
PDCD7	-0.571166666666667
LRRC43	0.396
CNR1	-0.211
IL1F7	-0.028
C12orf64	-0.377
FAM69B	-0.494
NR2E1	-3.5565
MS4A6A	2.8521
FTL	0.3313
C7orf36	0.05775
PCLO	1.0657
DYRK2	0.828583333333333
ARIH2	-0.094625
SAMD7	0.53
SCNN1D	-0.5505
SLC32A1	-0.7175
C22orf25	0.0393333333333333
MRPS18A	-0.4326
GPR112	1.274
EARS2	-0.337
ERN2	1.1255
ATPBD3	0.360833333333333
PRH2	0.0635
CDKN2D	0.041
PGLYRP2	1.25725
TRIM40	1.01875
SEC14L3	0.4164
SLC22A1	-1.8375
BTN2A3	0.06525
RASA4	0.17875
CCNL2	-1.03741666666667
MYBPC3	0.763
GJA4	3.585
CDC42SE1	1.497125
TRPV2	-0.00325
MYPN	-3.9298
SIM1	0.204
CDADC1	-0.0155833333333333
ZFHX4	1.27625
NIBP	2.13066666666667
ADAMTS19	-1.54825
ABTB2	0.5605
TSPYL2	-0.876875
EIF2S3	-0.4289
SOX30	0.048
AP2A1	-0.364666666666667
DKFZP564O0523	-0.024
LOC285398	-0.1045
CDH18	-6.2625
CHL1	1.226625
GATS	-0.0383333333333333
TBC1D2B	0.4895
OR1J1	-0.758
GSN	1.06816666666667
DPCR1	0.0565
GARNL4	-0.2715
SMARCA5	-0.525
PLEKHG3	1.03
ZBTB45	1.191
FRMD6	-0.0738333333333334
PLS1	-0.540666666666667
DGKZ	0.614
EFNA1	1.9252
WDR85	-0.947
ANK2	0.17275
PAGE4	-0.5184
SENP6	0.4585
AKR7A2	0.235166666666667
FKBP10	-1.61775
VEGFC	-1.078
LARP1	-0.1381875
SRBD1	-0.16825
ITGB6	3.02525
SLC1A2	-0.17925
INVS	-0.9055
MPO	-0.01025
MOBKL3	-0.2008
CUTL2	-1.67128571428571
KLK2	-0.121
VIM	-0.25575
REG1B	0.0191666666666667
PCDHGC4	0.525666666666667
C3orf34	0.168
SUMO3	-0.534833333333333
CST9L	-0.5205
MLL4	-0.724
SPR	1.79716666666667
SAMD9L	1.068
ABCE1	-0.8345
SUPT3H	-0.5595
ACTBL1	-3.06525
ADAMTS4	1.02033333333333
SLIT3	3.796
RHEBL1	-1.11425
NPM2	-1.58125
MAN1C1	1.41975
KIAA1856	1.90541666666667
HSPA6	1.70875
LOC388152	-0.79
C10orf140	1.37575
ZDHHC12	-0.3535
LIN7A	-1.3988
PHC2	0.0725833333333334
SPHK1	0.0695
TRIM26	-0.18525
FAM83E	1.96
C18orf24	-2.66866666666667
ZNF578	0.112166666666667
ORAI1	-0.39625
RUVBL1	-0.633916666666667
C7orf20	-0.0531666666666667
APAF1	-0.8645
SLC36A4	-1.3445
MYH11	5.24466666666667
NEK1	0.0914
MPP2	-1.311625
C12orf24	-2.60825
TNK2	1.27025
ZNF289	-0.954
MATN3	-0.121571428571429
IFNGR2	1.5095
ITPR1	0.5025
EBF3	3.4212
TBC1D20	0.0862
OR10P1	0.54775
DDAH2	1.4015
SHPRH	-0.816625
STX7	-0.1265
LOC554248	-1.9765
BCAR1	-0.093
ATXN3	0.149
TRIM27	-0.473
CDC42EP2	0.809
CHP	0.816785714285714
SOX17	3.066125
ZNF259	-1.42266666666667
CHCHD1	0.786625
ZDHHC19	0.2845
GBP2	2.131
GARNL3	-0.0836250000000001
MRC2	0.161
C1orf52	-1.1805
AOF2	-1.0015
LRPPRC	-0.5387
ACVR1C	1.22766666666667
TM4SF18	2.282
TMEM169	-0.557166666666667
PPP1R16A	1.764375
EBF1	1.49566666666667
RRS1	1.104
SNX2	0.1035
OR2T2	0.16
RBX1	-0.35925
ANKRD54	0.491
TSNAX	0.571166666666667
TMEM83	-1.5935
ZBTB7A	1.15075
ATM	-0.8545
LOC338328	3.093
TIE1	1.485
HIST1H3G	0.367833333333333
PASD1	-4.34883333333333
TINAG	-0.5375
PCDHAC2	0.0815
LRRC15	0.933125
WBSCR17	-1.56025
TFF2	-0.182
PARP2	-0.97
NDFIP2	-0.7855
PCDHGB2	-0.7385
WDR60	0.40775
MAP7D2	-1.84833333333333
USP45	-1.64325
GSDML	-1.886
TNS1	0.0185999999999999
PLCD4	1.06075
IQCD	1.5655
SMPX	-3.70433333333333
CD9	0.598
SRGN	1.2035
CASP7	1.851375
INOC1	0.479666666666667
DKFZp451M2119	-1.0665
VMAC	2.026
USP53	0.7613
CAMK1G	-0.592375
TMEM106A	0.150333333333333
CDC20	-2.5852
ACSL5	0.168666666666667
CBWD5	-0.713125
C1orf87	-1.05283333333333
KIAA1274	1.4595
PRUNE2	-2.53330769230769
LYPLA2	0.232333333333333
DOK6	-1.53466666666667
GPR149	-0.2365
FAM30A	3.56975
TMEM129	0.746
SLC35B3	0.127
ACPP	-0.5373
LOC200261	-2.068
SLC4A7	1.1825
CCDC40	2.8185
GART	-1.64125
THOP1	-1.67975
SCARB1	-0.962875
CACNA1F	-0.07775
TRIAP1	-0.7635
SYT14L	0.025
SFRS8	-0.703166666666667
PBOV1	0.752
GOLSYN	3.54675
GJB7	-1.401
CAMK2N1	0.328083333333333
GREM1	3.47283333333333
FLJ20433	0.84875
QPCT	-3.469875
PRKAG2	0.9595
H2AFX	-0.92025
C6orf154	2.06375
PLOD3	-0.851
ZBTB39	-0.8055
WASF3	-0.830333333333333
DRG1	-1.107
PRR4	-0.9275
SPCS1	-0.30825
KDELR3	0.8665
SRP19	-0.174
GABRA6	0.70375
MFSD1	0.81625
MMEL1	3.15225
PDXDC2	-0.3864
BUB1	-3.75588888888889
RNF138	-1.270375
MYLPF	-1.259
AIF1	1.14066666666667
DYNLRB1	0.1705
HCN3	-0.985666666666667
HIST1H2AI	1.0435
MAP4K5	0.168166666666667
LASP1	0.4395
LOC130951	1.451
PLAA	0.576
KRT6A	-2.673
C6orf117	-3.597
ARHGAP23	-0.4325
PTF1A	-1.2935
GPHA2	-0.619
LCE3B	0.1875
MCL1	1.14264285714286
EHBP1	-0.727583333333333
PRNP	-0.7761875
ZSCAN1	0.6235
C1orf113	1.7005
FOXA3	-3.244875
NEB	-0.776
ASGR1	-3.80733333333333
CTGF	2.02216666666667
RAB17	0.994833333333333
MST101	-0.291
JARID1B	1.0018
USP37	-0.21
PTBP1	-0.6135
PTPN7	-0.267666666666667
CDC7	-2.474
SNX7	-0.6495
ZNF335	-0.49075
CPT2	0.514
HEATR1	-0.3935
HSPC152	-0.18
C5orf40	-0.93275
PSME1	0.635833333333333
STAG3	-1.2095
TMEM154	1.18833333333333
KLHL32	-1.48266666666667
TSGA10IP	-3.2255
SUV420H2	-0.2805
SF1	-0.8357
2'-PDE	-0.2458125
PNLIPRP2	4.966
TRSPAP1	-0.239666666666667
NUP210	-0.5865
ANP32C	-1.68283333333333
RAB11B	0.154333333333333
ASB15	-0.142
ITGB3BP	-1.78325
UBASH3A	-0.88625
YWHAB	0.433875
TPRX1	-0.05775
LY6G5C	-0.384875
SLC7A2	0.442625
CLK1	-0.4183
HSD3B7	0.629833333333333
VDR	2.8965
C16orf74	0.84475
ACE	1.066
PSMA2	-0.315333333333333
CCDC131	-0.839625
ZNF213	0.955333333333333
