Hybridization REF	TCGA-AO-A0JF-01A-11R-A056-07
MAPK1	-0.4575
HDHD1A	-0.42625
MRM1	-1.20125
ATP9A	-0.131142857142857
HSD17B3	0.00283333333333334
HN1L	0.286666666666667
RNF216	-0.76925
HOXD12	0.1165
PPP1R14B	-0.97075
SBF1	-0.98025
TAS2R42	0.472
USP46	-0.0603333333333333
LILRB3	2.7595
SPI1	1.78575
OXSM	-0.2195
GYS2	-0.00499999999999999
NUPL2	-0.78575
C8orf46	-2.5555
SF3A1	-0.02805
C21orf99	-0.1615
HOXB4	1.8172
YRDC	-0.857
GPRC5D	0.5005
BLVRA	0.45225
KIF12	3.059
LRRC23	0.27325
FAM14A	1.04583333333333
RASL12	1.819625
DAZAP2	1.397
IKBKB	0.383071428571429
ZNF271	0.720333333333333
BOK	1.3495
CXorf6	-0.9165
MYEOV	-2.1905
BTN2A2	-0.8732
FRG1	-0.04525
HSP90AB6P	-0.66525
ENOX1	0.980666666666667
ZNF706	-0.1979
DOK1	1.0125
PGAP1	-1.17175
TMEM136	-0.05875
FSCN1	-1.18025
KIF17	0.606
TRIM66	0.091
CBR3	0.908
C13orf24	0.481833333333333
C19orf52	-0.526
BNIP1	0.3395
AQP3	0.800875
KRT6C	-3.417
SIRPA	0.77375
IGFBP6	0.0413333333333333
PLEKHK1	-1.319125
RNASE7	-0.6505
ARHGEF15	1.3185
NPHS2	-0.878
SRD5A1	-0.81575
REXO4	-1.358
EEF1DP3	0.23125
SLC37A2	1.1455
ZNF142	0.06775
ANKHD1	-1.5295
MUT	0.79
VPS37A	0.00475
GPRIN1	-0.987
SLC38A3	-1.457625
BAZ2B	1.1475
WDR87	0.4435
BRD7	-0.8565
POU6F2	-0.523
NISCH	0.677375
TCEB1	-0.5795
LINGO2	-2.559
TAX1BP3	-0.2705
RPL34	0.212222222222222
MARK2	-0.0685
AKAP12	0.1105
AMBN	0.8045
SLC25A27	-1.53683333333333
FLJ21865	-0.891625
KIR2DS2	0.315333333333333
WDR77	-1.058
ATF2	0.1685
ITFG3	-0.255
SLC39A13	1.06
ARL6IP5	1.9885
C10orf137	-0.49425
QTRT1	-0.434833333333333
CCNT1	-0.24725
DYNLL1	0.6642
WDR53	-0.468
LIPG	1.04466666666667
ASAH3	0.257
HELB	-0.092
PHACTR2	1.02675
VENTX	-0.37725
LAD1	-1.15166666666667
PAOX	0.96075
MAPK8	-0.042
CCDC38	0.424
DNAJC8	0.0594
RBBP8	-0.6445
WNT11	1.0187
KCNJ12	-0.00033333333333333
HDAC8	0.0613333333333333
STARD4	-1.9465
ACVR1	1.08083333333333
C14orf65	-0.426083333333333
KLB	-0.2055
C1orf65	0.06775
ZFYVE28	0.0405
NSUN6	0.2975
KIF27	0.129833333333333
SYTL2	-0.129666666666667
UBXD2	0.4414
OR6T1	0.3585
CCDC91	0.563928571428571
GRID2	0.2055
CALN1	-0.8785
ZNF423	2.33
PSMB4	-0.245833333333333
XPNPEP3	-0.827166666666666
ARPP-21	-3.76277777777778
SART1	-1.00625
RACGAP1P	-3.1355
SPTA1	-4.894
C6orf113	-0.3975
C7orf16	-3.3545
CHST7	-0.2995
C21orf29	-0.550166666666667
SEMA6D	1.0465
PCMTD1	3.010625
KIAA1754	-0.752833333333333
MYCN	-1.0998125
KCNJ3	3.01925
MAPK13	1.6967
ERO1LB	0.67775
NTF3	-1.01266666666667
NKX6-2	-0.94475
GTF2B	0.20175
GSPT1	-0.7435
GUSB	0.115666666666667
LOC221091	0.459
LIG1	-2.07225
EXTL3	-0.2025
NID2	0.55375
TTC29	-0.05425
TMEM97	-1.973875
EXTL2	-0.7645
SUZ12	-0.527125
IL1F8	-0.6965
KRT18	-0.889727272727273
MRPS16	-0.505583333333333
PI4K2B	-0.49575
LACRT	0.8455
OR51F2	0.38
JMJD2C	-0.234875
KGFLP1	3.3425
CDK5RAP3	-0.9345
YTHDF2	0.552
GGCX	0.241125
ARPC4	0.72025
EGLN2	0.576166666666667
KBTBD4	0.316428571428571
ROBO3	-0.7693
DEFB118	0.695
KIAA1543	0.4065
RTCD1	-0.6665
MZF1	-0.51625
C18orf26	0.3215
CNIH4	-0.101666666666667
ZFP2	3.06283333333333
HTATSF1	0.199
WFDC2	2.782625
NDUFA7	-0.21
TTC22	0.1835
FAM40B	-3.428375
DCPS	-1.2105
SH2D1B	-0.647
MRGPRE	0.4455
SBK1	-0.25875
UNQ6411	-0.039
OSBPL9	-1.0395
NUP107	-1.28475
MYOZ3	-0.0971
PDE4B	1.22725
FAM113A	-0.83
IDH3G	-0.2575
FBXL7	0.271625
ARFGAP3	0.252
MAPRE2	-0.265307692307692
IL1RN	1.1302
KIF13A	0.0005
RAC3	-0.697
TCTE1	-0.3315
TMEM14B	-0.280166666666667
ADIPOR1	0.526833333333333
GRINA	0.353
CLIP4	0.6535
LRIT2	-0.0525
TFPI	-1.78964285714286
FABP6	-1.81375
SLITRK2	0.4211
HKR1	0.3315
SMTN	-0.09125
C1orf75	-0.37
CD209	0.821375
CYB5R2	1.57875
DNTTIP2	-0.52
CSGlcA-T	0.430875
GABRB3	0.02
PCBD1	0.0916666666666667
TAF3	0.287333333333333
HOXD3	0.0521666666666667
GIPC3	-0.276
P11	0.8205
BFSP1	-0.62125
LCP2	0.94925
TAS2R8	0.2735
SEZ6L	0.290714285714286
NR2C1	-1.16475
EXDL2	1.1931
TNFRSF13B	-2.72416666666667
MKI67	-3.32175
GLS	-0.22625
C7orf54	-0.4147
LGALS13	0.341833333333333
IL4R	0.64575
SEC11A	0.068
SPP2	0.327
C18orf32	1.5825
CLSPN	-2.4635
SPAG1	0.5595
C9orf82	0.373
TM4SF1	-0.620583333333333
EMILIN2	1.597
SMG7	-0.2115
TAS2R13	0.3225
ZNF628	-0.4505
DZIP1L	-0.0798333333333334
ANKRD13A	-0.0282
VASP	0.836125
ZCCHC11	-1.406625
SYPL1	0.699
MGC34774	3.33225
C4orf28	0.393875
KIAA1211	-0.00916666666666661
RPS27L	-0.1135
TATDN3	0.115
PDCD1	0.145
OR5P2	-0.1715
IFIT1L	1.0805
MIPOL1	0.75425
OR51D1	0.05075
C1orf92	-0.937166666666667
LAMP2	0.638166666666667
CAT	1.39333333333333
C16orf80	-0.84775
C15orf32	0.8605
ZNF746	-0.177
C1orf76	-1.775
ATXN1	0.89875
LAMC2	1.681625
SLC2A7	-1.369
CPOX	-1.75
APH1B	1.70583333333333
LOC442245	-0.49
CTNND1	1.3225
GABRG2	-0.662375
MADCAM1	-0.4965
F5	-2.699125
SEMA4F	-0.637
NUDCD3	0.120875
PDZD11	0.0465
TRIML1	0.4535
GCNT3	-3.11683333333333
TMEM120A	0.61
CNDP1	-0.2645
N4BP1	0.077375
SLC35F2	-1.428625
LCP1	0.263916666666667
IGBP1	0.2873
DCAKD	0.456375
ELA2A	-0.9855
C12orf56	-2.39271428571429
PITRM1	0.203357142857143
GUK1	0.652666666666667
RASSF8	-0.168375
OR2A14	0.652
ADM	-2.09522222222222
FGD3	2.835
GHRHR	-0.361666666666667
RHPN2	-0.476
C4orf39	-0.981666666666667
VPS72	-0.5035
SERF2	1.06794444444444
CD22	0.180666666666667
CD47	0.043
PPIC	1.7605
IMPDH1	-0.714833333333333
ACP6	0.561333333333333
PRKACA	0.1455
PPP1R1A	2.728125
TRPV3	-0.0945
ASXL1	-0.930875
C17orf55	-1.4075
FXYD1	1.9265
LMOD2	-0.038
ANKRD33	0.2585
LCE2C	-0.433625
ZNF620	0.0895
DKFZP566E164	-0.7975
VSIG2	0.74675
KIAA1128	1.373
USO1	0.420166666666667
NUDT4	0.526428571428571
CLDN1	0.770428571428571
OR4Q3	0.2865
FASTK	-0.481
ICOS	1.90133333333333
LDB1	0.074
GSTA5	-1.27625
ABCC1	-1.86283333333333
FAM54A	-3.36075
PCBP2	-0.0938333333333333
NUP205	-1.6775
ACTA1	-2.23783333333333
GABBR2	-2.49575
PIP5K1B	-0.307666666666667
AGXT	-2.47433333333333
RNF181	0.33925
ATP8A2	0.615
AFTPH	1.2750625
FGF21	0.27575
FCER1G	2.245625
SNTB1	-1.16475
SLC24A3	-0.017125
TXNL4B	-1.18
RPL10L	-0.487166666666667
LOC389517	-1.23945
TSGA13	-0.2255
SHOX2	0.297833333333333
ITGA7	0.7554
KCNIP2	1.31516666666667
KLF13	0.701
ZFAND2A	-0.428
CEACAM1	-0.497785714285714
PFKFB4	-2.39283333333333
MED19	0.20575
LRRC57	0.1455
RNF11	1.08575
ANKRD32	-3.00175
P117	0.24375
OBFC2A	0.017
POLD3	-0.8995
RAB18	1.649
TPH2	0.593
PHB	-0.397
JDP2	2.27166666666667
MORF4L1	0.6549
POU2F1	-1.46275
CNNM2	-0.742416666666667
LOXHD1	0.439666666666667
ZC3H15	-0.44925
ELK3	1.23683333333333
FAM111B	-0.93375
CBLC	3.218
SBNO1	-0.10925
ANKMY2	0.04175
PLEKHA5	-0.26825
DHX58	1.28016666666667
ARCN1	0.103
TREML1	0.3025
KNCN	0.6325
SEC24A	-1.110125
PSCA	-2.001
MGC24125	0.284833333333333
DNA2L	-2.2485
CIB4	-0.574375
HIGD2A	-0.315666666666667
TBX6	-0.217
TTLL5	-0.79
SGK3	0.00133333333333333
GCN1L1	-0.684
AMOT	0.6138
LDOC1	0.175666666666667
NRK	0.3805
ASB9	-1.97175
NAT1	6.0444
TRAFD1	0.47975
PEAR1	1.06616666666667
FAM36A	0.924875
OR1S2	0.263166666666667
LOC388323	-2.06875
PGS1	-0.817
LEPREL1	-2.2
TFF1	-2.65966666666667
HAP1	0.19775
EPHB2	0.40275
ACTG1	0.322833333333333
ZFP42	-0.841333333333333
HAVCR2	1.342
NME1	-0.8085
SNX26	-0.5315
LACTB	0.819833333333333
ZKSCAN2	-0.831375
C5orf35	-0.834
ANKS3	-1.471
RBM28	-1.34125
DKFZP586P0123	-0.659
HNRNPA1	-0.1255
BCAS3	-1.08383333333333
FLJ20184	0.91
POLA2	-1.66233333333333
TMC7	-0.687833333333333
HSD17B6	1.731
ZNF658B	1.12983333333333
TTTY10	-0.201333333333333
RANBP9	-0.265166666666667
CPNE7	-2.84183333333333
EVL	1.26658823529412
LNX1	0.7535
IFNA21	0.711
CFD	3.23125
PYCARD	1.934
MYBPC2	1.0515
ENPP3	-2.33416666666667
ACSL4	-0.54825
LOC440258	-1.09583333333333
TMEM176B	3.59316666666667
SOX2	-5.52125
SCO1	-0.11
COMT	0.34775
AOC2	-0.16175
PDLIM5	1.75921428571429
SPHK2	0.0893333333333333
NXPH2	0.4095
GPR108	0.656
RAD51L1	-0.1295
TMEM54	0.49525
LETMD1	-0.867222222222222
SLC6A17	0.61625
KRT75	-0.529
STT3B	-0.5085
CD3EAP	-0.798166666666667
TMEM63A	0.33625
DUSP13	-2.9955
CD1C	0.788833333333333
LASS2	1.08166666666667
AVP	0.2975
PITPNM1	-0.968625
FLJ22795	-2.704
MCTP1	-1.5295
TRIM68	0.6085
UCK2	-1.563
ABHD1	1.09075
FAM50A	-0.501
RNASEH1	-1.15633333333333
PCP2	1.07783333333333
OR52H1	-0.1935
C20orf149	-0.05025
RBP5	1.3945
HYAL3	-1.05875
CLPB	-1.17375
SMNDC1	-0.438
DONSON	-2.81683333333333
FLJ27523	0.1555
BARHL2	0.153666666666667
SLC30A9	0.409833333333333
TMPRSS11B	-0.0243333333333333
E2F8	-2.5715
CCDC25	0.272916666666667
C14orf48	0.223833333333333
C20orf116	0.58625
TSPAN11	0.5565
YIF1B	-1.28883333333333
FAM12B	1.056
OR1L6	0.1825
HPN	0.2687
NBN	0.77775
C14orf94	-0.0616666666666667
OCLM	-0.632
ZSCAN18	1.3849
L3MBTL	-2.1419
TSTA3	1.1615
RAC1	0.405625
C19orf15	-0.112
NFE2	-5.145
KLK14	0.039
ARSF	-0.3045
MAST2	-0.565166666666667
AMICA1	2.76566666666667
GTF2A1	-0.1605
ATP1A3	0.38325
TC2N	3.3077
PNKP	0.16225
ODZ2	-1.88
MATR3	0.101
S100P	-2.174
KRT82	0.541
CA13	-0.2921
PROZ	-2.11
AASDH	0.164125
C19orf40	-0.574
DCK	-0.0726923076923077
FAM5C	-2.4955
SLC6A4	2.629
MID1IP1	-0.70225
TESSP5	0.153
TMOD4	-0.27
DOCK2	-0.369333333333333
TUG1	0.087625
NUP214	-1.26025
DPYSL2	0.476
GOLM1	1.9545
MPFL	0.1725
SOX13	0.5665
SDCCAG8	1.0254
KEL	-2.1275
NUP210L	-2.5715
GK	-0.814875
DNAJB1	0.73425
ALPK3	1.0995
CHID1	0.4583
CYLC2	0.981
IKZF5	1.029
C8orf51	0.147666666666667
PPM1J	1.11925
GIMAP8	4.50516666666667
GPR101	-0.1425
NR2F1	-1.2645
ACAD8	0.34525
RBM35A	0.181
GNAI2	0.767333333333333
METTL8	-0.489833333333333
SLC39A7	0.54025
FBXO8	1.16525
CAMK1	0.4495
RFC3	-1.066875
FAM129A	1.23021428571429
ILF2	-0.5375
FGFBP3	-1.63025
NOM1	-1.80816666666667
PSMA3	-0.32575
ASCC3	-0.2528
ZYG11A	-3.46025
SOX21	-1.644375
LYRM1	0.07725
DEFB1	0.0475
LOC91431	-3.266
OR7C2	0.6435
FAM46B	1.347375
TMEM18	-0.200625
ARHGAP30	1.90383333333333
TMEM86A	3.27975
EPHA2	-0.996333333333333
C10orf46	1.41745
TCHH	-0.601166666666667
C3orf30	0.515
LOC285636	-0.299
PAIP2	0.4125
CYP2U1	0.1025
C12orf34	0.2005
SARS2	-0.768666666666667
ZCWPW1	0.6515
SAMD12	1.504875
KIAA1430	0.317
ACAT1	-0.60475
MEOX1	4.1255
ADAMDEC1	5.02225
PHKA2	-0.9345
CARD11	-1.138
CALML4	-0.641
TSSC1	-0.6535
TMEM45A	-0.605666666666667
MPP7	1.851625
POU1F1	0.653
SLC2A13	0.2423
FBN2	-1.33257142857143
ZC3H7A	-0.2652
LAIR2	-0.13025
ST3GAL1	0.035
LCT	-3.02225
GEMIN8	0.821833333333333
KLF16	0.3401
HIF3A	-0.4365
FAM44A	0.129142857142857
AQP10	-1.2309
PLA2G2A	1.906
FOLH1	1.50833333333333
C20orf186	-0.189
MAPKAP1	0.2045
SPRR2D	-1.43475
UBQLN4	-0.794166666666667
RSHL1	0.4915
PIAS3	0.0955
MRPL24	0.2885
GREB1	-2.100375
FAM27E3	-3.528
NUP62CL	-1.061
NEUROG3	0.682
REEP3	1.08958333333333
MARK1	0.524875
LMBRD1	1.4115
PRPF19	-1.2645
PNMT	-1.11433333333333
CTGLF1	-1.62
SLC25A16	0.855
EIF2B3	-0.816
RPA2	-0.1875
PAK6	1.3255
CCDC26	-4.254875
SEMA3E	5.468
MXD4	1.3106
TNFSF10	4.5732
SMARCB1	-0.273833333333333
DTX3L	1.284
PLA2G4E	-0.4955
PPAP2A	2.1475
ULK1	-0.599166666666667
TAS1R3	0.171
SLC2A3	-2.64281818181818
ARID3A	-2.526
GNG5	-0.81775
ACOX1	0.5149
KIF5B	0.1865
NUP153	-1.02575
MUC7	0.00600000000000001
CSDE1	-0.183285714285714
CLPTM1	0.4635
C3orf23	-0.08375
LRRC17	0.776666666666667
TTYH3	-0.646375
ATP5B	-0.8285
ELF3	1.3915
CPSF3L	-0.272666666666667
ZNF665	0.439166666666667
TLR6	1.0385
GPI	-0.995375
RAD9A	-0.844
NDST4	-3.5825
AGPAT3	0.375583333333333
MAGI3	1.15
ADORA2A	1.143375
CACNG7	-0.103
CAMK2D	1.26835714285714
CCHCR1	-1.71625
RPS27A	-0.25725
OR10G7	0.072
GCM2	-0.787
FAM135B	0.9789
E2F1	-2.259
PLCB3	-0.2995
OR2AE1	-0.025
COIL	-0.00483333333333332
CDC25C	-2.794
RAB11FIP2	0.612166666666667
TSC2	-0.253
CTGLF5	-1.7445
CCDC108	0.555
OR13C4	0.1835
C10orf81	4.76175
PTPRB	3.186
ACP2	1.0135
LAG3	-0.1045
MRPL54	0.56175
LOC201175	0.5795
ITGB1BP3	-1.78325
SPTAN1	-0.002
SIPA1L2	-0.56025
RCAN2	0.414
CDX2	3.214
ECOP	0.33925
ACTR1A	0.599142857142857
PPARG	1.07733333333333
BBS10	0.7025
TMEM44	-0.9685
BPIL2	-0.4795
CITED1	-2.2125
IRF6	4.03475
PRDM4	-0.041
RRP9	-1.1395
OR10H4	0.51525
IL31RA	-0.69675
GNB1L	-1.21883333333333
MYBL2	-3.171625
ZNF407	1.21766666666667
PPIG	-0.3495
TTC18	2.30625
RPSA	-0.515
MAPT	1.878125
MRE11A	-0.685285714285714
C8orf37	0.0833333333333333
RASGEF1C	-0.797
STBD1	0.32725
CTAG2	-1.40633333333333
MGAT5B	-2.78516666666667
ECM1	2.3955
RLN1	1.9575
PARP14	1.0363125
EPB41L1	0.066
HOXA3	-0.268083333333333
MAGEA9	-4.89325
RPS8	-0.357833333333333
RPS19BP1	-0.0865
FOXJ2	0.53225
C10orf76	0.418875
IL17RE	0.2445
C10orf65	-1.229
ZNF343	-0.068
FBXO33	-0.3905
UHMK1	1.6499
LY6G6C	-0.04025
FGF19	-2.5915
C14orf128	-0.848833333333333
IFIT2	2.352625
TIGD1	-1.12075
S100G	1.1405
GUCY1B3	3.3665
NR3C1	0.562
CORO1B	0.342333333333333
PARP11	1.14841666666667
DNALI1	4.61583333333333
OR4N4	0.303375
MAP2K6	-0.119833333333333
FSTL4	-0.6565
ANKRD47	1.847875
TMEM171	-2.0525
PNLIP	-0.20575
YY1	-0.216166666666667
CCDC138	-1.88183333333333
AASDHPPT	-0.8457
CKS1B	-0.9372
MCM3	-1.427
ANAPC7	-0.398333333333333
FAM110A	1.3285
CDC37L1	1.685
THTPA	0.79425
NBPF20	-1.0185
WDR24	-0.325
NPTX2	-1.41625
CBLB	0.665833333333333
CETN1	0.0972
RPUSD1	-0.394
FAF1	-0.96175
CDK6	-2.5222
HMX2	0.3705
CSK	-0.552833333333333
TEAD2	0.00275000000000001
SNAP25	-1.31325
TUFT1	0.7363
TMTC3	0.967333333333333
LCK	-1.327
SGOL1	-2.27683333333333
AKTIP	1.102
FURIN	0.5395
SOX12	-1.06283333333333
DEFB103A	-0.3165
RAMP1	0.39525
KIR3DX1	-0.638
GAS2L3	-1.242
PDE8A	-1.0458
EDN3	-0.187
GMIP	0.9095
SF3A2	0.49125
FN3KRP	-0.477
SMAD7	0.66925
RHBDD2	0.5685
OR11H6	-0.2595
PPP1R3B	1.4344
C9orf23	-0.0645
CADPS	0.2245
GOLGA8A	-3.957
TMEM57	0.600833333333333
RGL3	-0.8715
S100A14	2.45375
FGFR2	-0.1285625
XRCC3	-1.313
RTN4RL2	0.25375
MGC3771	1.4625
GH2	-0.139
BTBD2	0.12
LMO2	1.3475
RDBP	-0.920875
ACRBP	-1.2065
AMY2A	1.3925
DUOXA1	0.5565
PTK7	0.24
TWF2	0.4635
FAM80A	-1.136
TNNI2	-2.73283333333333
GLT25D1	-0.648166666666667
OCC-1	-1.6175
CYC1	-0.834666666666667
RPL22	-0.157318181818182
MORN3	1.39466666666667
DISP1	1.439
PRB2	-0.0385
CHUK	0.035
HR	-0.658625
CCDC134	-0.17625
DENND4B	-1.4915
C14orf130	0.486375
RAB33A	-1.14475
DCST2	-0.205
TNMD	2.9515
PEX7	1.691
FAM62A	0.109125
SRD5A2L	1.37025
IL22	0.10675
RPS26	-1.14916666666667
HOXC5	0.5745
SPATA6	1.49175
FLJ38482	-0.39625
ZNF234	0.738
C18orf22	0.6115
SPATA22	2.575
THOC1	-0.4895
CYP7B1	3.78275
KCNC3	0.381
C8orf42	-0.4505
ALDH1B1	-0.223333333333333
CCDC100	-0.1067
ARMC4	-3.00166666666667
FAM18B2	0.302
SLC44A1	1.77975
FBXO17	-1.24666666666667
C6orf107	-0.539
C19orf29	-0.70125
ZC3HAV1L	-0.048
PARP6	-0.8427
SULT2A1	-5.413
C1orf159	-1.31275
TMC1	0.453666666666667
CHST14	0.699
GAMT	0.0881666666666667
SMCP	-0.0248333333333333
TSPAN33	0.5405
MIDN	0.257875
NOX4	3.576
RNASEN	-0.961
TBX1	1.08233333333333
SALL2	0.337
C10orf35	1.0445
CYP2E1	-1.04075
LRFN2	0.807333333333333
ACO1	-0.218166666666667
IQCG	1.2209
MEGF9	2.2825
TM7SF4	2.42475
PLEKHA1	0.962533333333333
STK33	-2.814
C1orf210	2.26175
SNUPN	0.3695
KIAA0406	-1.2437
C20orf29	-0.0695
TMEM55B	-0.373
OSTM1	-0.3148125
CLCN7	-0.20275
OTP	-0.30025
FLJ23049	-1.88625
HEATR4	-0.6475
MAP3K10	0.658833333333333
PCDHGA9	0.932
AMDHD2	0.34325
LCTL	-3.4515
PDCD2L	-0.715
CABLES2	-1.16975
SLC5A9	-0.63525
CLCA2	-1.03
MGC16025	-1.1705
STRAP	-0.801166666666667
C20orf196	0.1905
RRBP1	0.0141666666666667
NAT13	-0.3745
MAT2B	0.789875
CSNK1D	-1.10916666666667
KIR3DL1	0.26
PRKAG3	-0.218
ZNF599	1.1065
PRM3	0.6175
PER2	0.891166666666667
ASPHD1	-3.2705
PRMT6	0.115
KCNE1L	0.209214285714286
FAM118A	-1.1115
TAF4	-1.0725
NDUFB6	-0.1175
TRIM9	-2.30475
PMFBP1	-0.7695
KY	0.5605
DKFZp762E1312	-3.18036363636364
CSMD1	-1.8345
TBP	-0.7445
OR1Q1	0.1215
RETNLB	0.0943333333333333
HPGD	0.731714285714286
DNAJC12	2.33333333333333
FKBP1B	-1.1485
ANKRD24	-0.2046
CXXC5	0.4335
IL3	0.23575
DRAM	0.7817
PTCH1	-1.0665
TP53BP1	0.06375
SLC17A7	-0.086
COL25A1	-1.0665
AMACR	0.345333333333333
RHCG	-0.04225
VPS13A	-0.143083333333333
FAM55D	null
PRPF38B	-0.678333333333333
OSBPL6	0.00225
PFDN5	0.8073
CMTM6	0.978
KCNK12	-2.10875
RP2	1.0705
C16orf52	-1.46325
PICK1	0.2285
IFNE1	-1.52233333333333
SEMA4B	0.886
TYRO3	-1.21425
OR12D2	-0.213
CSNK1A1	0.59815
FANCF	1.0695
LONP2	-0.019
TBL1Y	-0.77525
LDOC1L	0.4335
CCNC	0.61625
C3orf60	-0.725
CHKA	-1.52975
UBAP1	0.22875
MAP3K1	0.731
ANKRD9	-0.9035
FAM92A1	-1.06966666666667
GAB2	0.11025
AZU1	-0.3625
DIS3	-0.4655
C21orf109	-0.931
IQCB1	-1.10525
SPATS2	-0.522666666666667
EFCAB3	-0.6145
PRB3	-0.196
FUZ	-0.196
ZNF813	0.384
BMPER	-0.520166666666667
HEG1	1.034875
ALS2CR11	-1.5605
SURF2	-0.8105
PSMC1	0.0793333333333333
OR2D2	0.229
SLC7A8	2.383
C4orf40	0.232
SPATA7	0.78125
MAZ	-0.713083333333333
PIN4	0.87275
PDE1A	1.637
TAF6L	-0.6355
OR2T34	0.305
KIAA0284	0.116
ACADS	0.610727272727273
MKRN2	-0.1845
C18orf56	-2.614
MS4A6E	0.887166666666667
GALNT4	0.7896
C22orf31	0.4245
FLJ36070	0.0455
PSME4	-0.26625
TFG	-0.2904
EPHX2	2.267875
ANXA5	0.29725
KRTAP1-1	-0.518888888888889
BATF	2.04125
KARS	-1.30725
MSTP9	-2.109
GPR26	-0.677571428571429
CCDC72	-0.001
TEF	0.628
FOXK1	-0.9744
PRLHR	0.284
EMX1	0.7505
C11orf30	-0.512625
ICK	0.555625
THSD7B	0.4405
C21orf100	-0.476
DUOX1	2.51
EFCAB4B	-0.75475
UBE2G2	-1.20216666666667
C3orf54	0.73
PARP1	-0.56175
FAM60A	-1.64816666666667
C6orf146	-0.24475
OR9K2	0.0555
DDX55	-1.795
RPS15	-0.32275
ZNF618	0.4495
DKFZp686D0972	0.684
SSPO	-0.414
SHFM3P1	0.540833333333333
CPA6	1.2995
JAG2	1.47025
DEFA3	0.18675
PPBPL2	0.236666666666667
CD34	5.185
SLCO4A1	-3.5355
AFG3L1	-2.557
SHD	-1.04825
RP13-122B23.3	-0.683333333333333
PRKCSH	-0.846
DPH5	-0.0875
HLA-F	1.97225
TBC1D4	-0.49925
RIG	-0.108833333333333
GLUD1	0.375666666666667
HNRPCL1	1.123375
HBXIP	-0.62525
RNF207	-1.008
APIP	-0.177
PLA2G3	-0.998833333333333
CCDC84	-1.99225
MYLIP	-0.106307692307692
PHIP	-0.27975
AARS2	-0.450333333333333
DHX32	0.516
SCAPER	-0.441833333333333
MEN1	-0.144375
NIP7	-1.32975
FLJ25404	0.769
FASTKD3	-0.60475
TMEM158	-2.539
RARA	1.517
BDH1	-0.033
ANKRD16	0.247
CARM1	0.0985
SS18	0.256333333333333
IKZF2	0.4575
MYD88	0.628625
PML	0.5466
TAF1A	-1.20775
CBFB	-0.785375
HIST1H3H	-1.42083333333333
C7orf29	-2.224
COMMD4	-0.705
DPP3	-1.12375
DAB2	1.548125
LOC388882	-1.3665
YPEL4	-0.125
AGBL3	0.96075
LRP6	0.1778
SERPINH1	0.4615
TLE1	0.1455
CD244	1.2905
ZDHHC15	-0.24075
MGLL	0.401
PLDN	0.28325
LOC654346	1.669
FAP	3.5015
GPR37	-0.5885
SCARA5	2.92133333333333
EBF4	0.830272727272727
LSM6	-0.424
MLLT1	-0.38975
SLC5A12	-1.10975
A2BP1	-1.8855
COPS5	-0.047
TPM4	-0.431571428571429
TNFSF4	1.71583333333333
ACADSB	2.41438888888889
HERPUD1	0.053
BCL2L11	-0.841888888888889
CEP78	-1.30575
CDCA3	-2.464375
WBSCR19	-0.3909
MYO1A	-2.441
PPEF1	3.3225
LOC440348	-1.58125
CPEB2	0.798625
BPTF	-0.713916666666667
RPL21	0.09425
GSX2	0.2805
ADPRH	1.85833333333333
C17orf68	0.0625
KCNS1	-1.17433333333333
MLLT6	-0.0642
PIWIL4	-0.1465
RNF26	-1.20125
RAP1B	0.9305
ADAMTS1	-0.8858
ZNF571	1.6425
P2RY6	-0.2055
TRIM21	1.35166666666667
CADM3	0.29025
NLRC5	0.2305
ADRA2B	0.035
LOC90835	-0.594375
PCF11	-0.43125
LOC400451	1.519
GLTSCR1	0.6727
C17orf88	-0.3625
CDH16	-2.457
FGF7	4.115
PCSK4	-0.351
NPC1L1	-1.32583333333333
TAT	1.837125
TBCA	-0.86
MGC33407	0.0555
GPR115	-2.204625
CYGB	1.497
FNBP4	-1.86716666666667
C12orf43	-0.46
CBL	-0.5931
CLECL1	2.44475
PPAPDC1A	2.01725
WDR25	0.663166666666667
SGCA	2.28
C22orf29	0.220166666666667
YIPF1	1.688
GALK2	-0.988
RAB3B	-3.77191666666667
LOC440087	-0.81325
UCP1	0.627
REEP5	1.56825
FADD	-0.0452
FOXA1	3.10325
CACNA1A	0.220666666666667
ABI1	0.598
GRIN2D	1.059
SLC1A4	-0.592333333333333
LOC401127	-1.4345
HINT2	0.50325
PLD4	1.46266666666667
ZNF286A	-0.83125
ENY2	-0.8295
IL1F6	0.2845
PXDNL	0.40375
C20orf79	0.4115
TNFSF13B	3.10766666666667
DENND3	0.81675
JARID1D	-3.7175
HIST1H2AK	0.488875
LOC93349	0.0664444444444445
SSH1	-1.0522
ENSA	0.2845
LOC219854	1.07133333333333
CKAP2	-0.7467
DKFZP564J102	1.28933333333333
MGC87315	-0.365166666666667
HNRPAB	-0.68525
AMH	-2.7975
ZNF526	0.1775
BRUNOL5	-0.6402
CACNG3	0.011
TRPM1	-2.3015
PPP2R1A	0.307375
COL2A1	-2.46675
DDN	-0.425833333333333
FLJ25770	1.21066666666667
HK2	-1.05385714285714
ELOVL6	-1.884875
MDK	-0.932
EPHX1	1.5085
RASSF2	1.348875
DKFZP434B0335	-0.6245
DLX3	0.248375
PRTN3	-0.69125
AVPR1A	2.08725
C21orf125	-2.61325
TNFAIP8	-0.162666666666667
GNB2L1	-0.2555
