Hybridization REF	TCGA-A8-A08O-01A-21R-A056-07
LRRC17	0.8485
TTYH3	-0.710875
ATP5B	-0.3155
ELF3	0.9244
CPSF3L	0.109833333333333
ZNF665	0.895166666666667
TLR6	-0.2141
GPI	-0.827375
RAD9A	-0.2585
NDST4	-3.46125
AGPAT3	0.270666666666667
MAGI3	2.47866666666667
ADORA2A	-0.36525
CACNG7	-0.1305
CAMK2D	-0.852428571428572
CCHCR1	-0.8825
RPS27A	-0.7785
OR10G7	0.320333333333333
GCM2	-0.386
FAM135B	0.5559
E2F1	-1.5445
PLCB3	0.5105
OR2AE1	0.4055
COIL	0.51
CDC25C	-1.68533333333333
RAB11FIP2	-0.2605
TSC2	0.38475
CTGLF5	-0.731
CCDC108	0.2226
OR13C4	0.41125
C10orf81	2.97725
PTPRB	0.9635
ACP2	1.3115
LAG3	-0.62675
MRPL54	-0.50525
LOC201175	0.77
ITGB1BP3	-1.382
SPTAN1	0.407
SIPA1L2	0.0415
RCAN2	-0.258
CDX2	-0.736
ECOP	0.236
ACTR1A	0.482571428571429
PPARG	-0.071
BBS10	0.643333333333333
TMEM44	-0.852
BPIL2	0.19925
CITED1	0.98225
IRF6	3.948
PRDM4	0.991666666666667
RRP9	-0.831666666666667
OR10H4	0.4735
IL31RA	-0.63875
GNB1L	-1.06116666666667
MYBL2	-2.31125
ZNF407	1.111
PPIG	-0.769666666666667
TTC18	2.97675
RPSA	-1.036
MAPT	2.3795
MRE11A	-0.561571428571428
C8orf37	-0.679333333333333
RASGEF1C	-0.314833333333333
STBD1	1.008
CTAG2	-0.981666666666667
MGAT5B	-2.87566666666667
ECM1	0.32125
RLN1	3.3715
PARP14	0.736875
EPB41L1	1.3997
HOXA3	-0.20725
MAGEA9	-5.4605
RPS8	-0.277166666666667
RPS19BP1	-0.11725
FOXJ2	0.082
C10orf76	0.8305
IL17RE	-0.00275
C10orf65	-1.2755
ZNF343	-0.283666666666667
FBXO33	0.859125
UHMK1	1.3959
LY6G6C	0.9695
FGF19	-2.07375
C14orf128	0.102333333333333
IFIT2	1.1795
TIGD1	-0.70275
S100G	-0.209
GUCY1B3	1.8805
NR3C1	-0.6165
CORO1B	0.3175
PARP11	0.946416666666667
DNALI1	4.29166666666667
OR4N4	0.112375
MAP2K6	-0.531333333333333
FSTL4	-0.17825
ANKRD47	1.090625
TMEM171	-1.7545
PNLIP	0.36575
YY1	0.0943333333333333
CCDC138	-2.30183333333333
AASDHPPT	-0.8926
CKS1B	-0.4796
MCM3	-1.38533333333333
ANAPC7	-0.299833333333333
FAM110A	1.046
CDC37L1	1.38416666666667
THTPA	0.6615
NBPF20	-0.7
WDR24	0.5045
NPTX2	-3.42725
CBLB	0.617
CETN1	0.394333333333333
RPUSD1	0.2215
FAF1	-0.11375
CDK6	-2.1008
HMX2	0.2165
CSK	-0.855666666666667
TEAD2	1.833
SNAP25	-2.189
TUFT1	1.1181
TMTC3	0.791166666666667
LCK	-3.00925
SGOL1	-1.4485
AKTIP	1.06725
FURIN	0.76675
SOX12	-0.533
DEFB103A	-0.56025
RAMP1	2.324
KIR3DX1	-0.1185
GAS2L3	-0.651
PDE8A	-1.437
EDN3	2.99825
GMIP	0.3735
SF3A2	0.43375
FN3KRP	0.875
SMAD7	1.10325
RHBDD2	1.07575
OR11H6	0.1545
PPP1R3B	1.7952
C9orf23	0.635
CADPS	-2.03425
GOLGA8A	-1.51525
TMEM57	0.9745
RGL3	-0.476
S100A14	2.46425
FGFR2	1.3380625
XRCC3	-1.03475
RTN4RL2	0.637
MGC3771	1.279
GH2	-0.0166666666666667
BTBD2	-0.0885
LMO2	-0.646
RDBP	0.012375
ACRBP	-1.917
AMY2A	2.7515
DUOXA1	0.905
PTK7	0.7465
TWF2	0.0425
FAM80A	-0.45675
TNNI2	-2.70716666666667
GLT25D1	-0.5285
OCC-1	-1.12675
CYC1	-1.0965
RPL22	-0.118090909090909
MORN3	1.61133333333333
DISP1	0.99325
PRB2	0.0565
CHUK	-0.0025
HR	-0.07475
CCDC134	-0.54375
DENND4B	-0.68325
C14orf130	0.396625
RAB33A	-1.91575
DCST2	0.201
TNMD	-1.366
PEX7	0.35125
FAM62A	0.326625
SRD5A2L	0.53825
IL22	-0.21275
RPS26	-0.976
HOXC5	1.0115
SPATA6	0.66625
FLJ38482	0.43375
ZNF234	1.5465
C18orf22	1.37925
SPATA22	0.80775
THOC1	0.11575
CYP7B1	2.51225
KCNC3	0.54875
C8orf42	-0.996
ALDH1B1	0.222166666666667
CCDC100	0.109
ARMC4	-2.21525
FAM18B2	-0.2575
SLC44A1	0.927875
FBXO17	-0.9915
C6orf107	0.0415
C19orf29	-0.5405
ZC3HAV1L	0.214
PARP6	0.144
SULT2A1	-4.935
C1orf159	-0.28575
TMC1	-0.559
CHST14	0.315625
GAMT	-0.454
SMCP	-0.321833333333333
TSPAN33	0.01025
MIDN	-0.07775
NOX4	3.05125
RNASEN	-0.0845
TBX1	0.661833333333333
SALL2	-0.4155
C10orf35	1.98375
CYP2E1	1.3345
LRFN2	1.85866666666667
ACO1	-1.25983333333333
IQCG	0.9717
MEGF9	1.37
TM7SF4	1.4
PLEKHA1	0.1844
STK33	-3.519
C1orf210	2.41375
SNUPN	0.064
KIAA0406	-0.6468
C20orf29	0.218
TMEM55B	-0.40575
OSTM1	-1.1715625
CLCN7	0.46275
OTP	-0.01175
FLJ23049	-0.93175
HEATR4	0.1525
MAP3K10	0.753666666666667
PCDHGA9	0.3325
AMDHD2	-0.31875
LCTL	-0.5505
PDCD2L	0.121
CABLES2	-0.5855
SLC5A9	-0.76625
CLCA2	-2.22016666666667
MGC16025	-0.837
STRAP	-0.323166666666667
C20orf196	-0.4185
RRBP1	0.0321666666666667
NAT13	-0.8315
MAT2B	0.7305
CSNK1D	-0.688166666666667
KIR3DL1	0.09725
PRKAG3	0.6485
ZNF599	1.366
PRM3	0.8305
PER2	1.27316666666667
ASPHD1	-1.7135
PRMT6	-0.0765
KCNE1L	-0.807571428571428
FAM118A	-1.2085
TAF4	-0.5915
NDUFB6	-0.28025
TRIM9	-0.987666666666667
PMFBP1	-1.122
KY	0.403
DKFZp762E1312	-2.29509090909091
CSMD1	-1.53375
TBP	-0.674833333333333
OR1Q1	0.5825
RETNLB	0.1015
HPGD	0.285785714285714
DNAJC12	2.576
FKBP1B	-0.393
ANKRD24	-0.397666666666667
CXXC5	1.59283333333333
IL3	0.37275
DRAM	1.3822
PTCH1	-1.4155
TP53BP1	0.58525
SLC17A7	0.886875
COL25A1	-1.0491
AMACR	-0.2405
RHCG	-0.4075
VPS13A	-0.385583333333333
FAM55D	1.226
PRPF38B	-0.327583333333333
OSBPL6	0.096
PFDN5	0.3082
CMTM6	1.5695
KCNK12	-1.633
RP2	0.75025
C16orf52	-1.635
PICK1	0.653
IFNE1	-1.0945
SEMA4B	0.98625
TYRO3	-2.01275
OR12D2	0.2845
CSNK1A1	0.73315
FANCF	1.55775
LONP2	-0.1115
TBL1Y	-0.1325
LDOC1L	0.050125
CCNC	-0.86075
C3orf60	0.28675
CHKA	-1.1095
UBAP1	0.18625
MAP3K1	1.0125
ANKRD9	-1.23575
FAM92A1	-1.87566666666667
GAB2	0.56125
AZU1	-0.30375
DIS3	-0.9645
C21orf109	-0.99075
IQCB1	-0.4025
SPATS2	-0.206166666666667
EFCAB3	-0.064
PRB3	0.217875
FUZ	0.776666666666667
ZNF813	0.969375
BMPER	-1.46433333333333
HEG1	-0.093875
ALS2CR11	-1.25275
SURF2	-0.21525
PSMC1	0.30725
OR2D2	0.297
SLC7A8	1.8935
C4orf40	0.0225
SPATA7	0.6395
MAZ	-0.0584166666666667
PIN4	0.42
PDE1A	-1.038625
TAF6L	0.300166666666667
OR2T34	0.278
KIAA0284	0.13075
ACADS	0.589818181818182
MKRN2	-0.5895
C18orf56	-2.4265
MS4A6E	0.393333333333333
GALNT4	0.2666
C22orf31	0.281
FLJ36070	0.2775
PSME4	-0.53025
TFG	0.0262
EPHX2	1.664375
ANXA5	0.108375
KRTAP1-1	-0.5249
BATF	1.4745
KARS	-1.59325
MSTP9	-0.0795
GPR26	0.290875
CCDC72	0.08975
TEF	0.9435
FOXK1	0.0917
PRLHR	0.534
EMX1	2.29675
C11orf30	-0.629625
ICK	0.23325
THSD7B	0.398
C21orf100	-1.1525
DUOX1	1.7915
EFCAB4B	0.1415
UBE2G2	-1.25433333333333
C3orf54	0.3155
PARP1	-0.712
FAM60A	-0.461583333333333
C6orf146	0.00274999999999999
OR9K2	0.389
DDX55	-1.01966666666667
RPS15	-0.7415
ZNF618	1.045
DKFZp686D0972	0.84875
SSPO	-0.376
SHFM3P1	0.8985
CPA6	-1.5505
JAG2	0.7065
DEFA3	0.16575
PPBPL2	0.0801666666666667
CD34	3.94275
SLCO4A1	-3.617625
AFG3L1	-1.499
SHD	-0.74725
RP13-122B23.3	-0.093
PRKCSH	-0.974333333333333
DPH5	-0.2205
HLA-F	1.18075
TBC1D4	-0.55875
RIG	-0.5665
GLUD1	0.116333333333333
HNRPCL1	0.214375
HBXIP	-0.1165
RNF207	-0.319
APIP	-0.07675
PLA2G3	-1.72516666666667
CCDC84	-1.3215
MYLIP	0.456384615384615
PHIP	-0.56475
AARS2	-0.0335
DHX32	0.366
SCAPER	-0.02
MEN1	0.147875
NIP7	-1.54725
FLJ25404	0.512
FASTKD3	-0.5295
TMEM158	-1.81641666666667
RARA	1.515
BDH1	0.503
ANKRD16	0.20725
CARM1	-0.2125
SS18	0.336166666666667
IKZF2	-0.567833333333333
MYD88	0.20875
PML	0.4394
TAF1A	-1.29925
CBFB	-0.672375
HIST1H3H	-0.619333333333333
C7orf29	-1.75225
COMMD4	-0.495666666666667
DPP3	-0.00525
DAB2	0.55525
LOC388882	0.194
YPEL4	-0.484875
AGBL3	0.79925
LRP6	0.3443
SERPINH1	0.37375
TLE1	-1.333
CD244	0.271166666666667
ZDHHC15	0.78975
MGLL	0.5746
PLDN	-0.334666666666667
LOC654346	1.0235
FAP	3.83825
GPR37	0.296
SCARA5	0.9665
EBF4	1.76709090909091
LSM6	-0.66175
MLLT1	-0.2075625
SLC5A12	-0.90575
A2BP1	-1.30116666666667
COPS5	0.126666666666667
TPM4	-0.256714285714286
TNFSF4	1.28833333333333
ACADSB	2.76705555555556
HERPUD1	0.005
BCL2L11	-0.829111111111111
CEP78	-1.1165
CDCA3	-1.412875
WBSCR19	0.3569
MYO1A	-2.672
PPEF1	3.57516666666667
LOC440348	-0.164
CPEB2	1.044
BPTF	-0.2245
RPL21	-0.0384666666666667
GSX2	-1.018
ADPRH	0.884166666666667
C17orf68	0.384666666666667
KCNS1	-0.797
MLLT6	0.638
PIWIL4	-0.1615
RNF26	-1.1025
RAP1B	0.621625
ADAMTS1	-2.6904
ZNF571	1.362
P2RY6	-0.4115
TRIM21	0.693833333333333
CADM3	0.174
NLRC5	0.231166666666667
ADRA2B	-0.601833333333333
LOC90835	0.839125
PCF11	-0.88175
LOC400451	1.37425
GLTSCR1	0.7459
C17orf88	0.137833333333333
CDH16	-1.13675
FGF7	1.738125
PCSK4	-0.0223333333333333
NPC1L1	0.377
TAT	0.061125
TBCA	-0.3085
MGC33407	-0.0305
GPR115	-1.166375
CYGB	0.9225
FNBP4	-0.931166666666667
C12orf43	-0.121
CBL	-0.6418
CLECL1	1.03325
PPAPDC1A	2.96
WDR25	-0.2545
SGCA	0.119
C22orf29	0.120166666666667
YIPF1	1.39125
GALK2	-0.906
RAB3B	-2.70291666666667
LOC440087	-0.21
UCP1	-1.0015
REEP5	2.515625
FADD	0.1654
FOXA1	3.77525
CACNA1A	0.211
ABI1	0.832166666666667
GRIN2D	0.62475
SLC1A4	-0.0303333333333333
LOC401127	-0.81625
HINT2	0.26175
PLD4	0.276666666666667
ZNF286A	-1.14725
ENY2	-0.60475
IL1F6	-0.1255
PXDNL	0.8475
C20orf79	0.854
TNFSF13B	2.45533333333333
DENND3	0.16875
JARID1D	-3.3
HIST1H2AK	1.180875
LOC93349	-1.1814
SSH1	-0.6892
ENSA	0.2675
LOC219854	-0.057
CKAP2	-1.6434
DKFZP564J102	0.0458333333333333
MGC87315	0.3975
HNRPAB	-0.059
AMH	-2.4545
ZNF526	1.1335
BRUNOL5	-0.5426
CACNG3	0.228833333333333
TRPM1	-1.975
PPP2R1A	0.795375
COL2A1	2.48125
DDN	-0.3625
FLJ25770	1.3805
HK2	-0.740285714285714
ELOVL6	-1.55525
MDK	0.47575
EPHX1	0.32325
RASSF2	0.500125
DKFZP434B0335	-0.06975
DLX3	-0.00924999999999999
PRTN3	-0.97475
AVPR1A	0.64575
C21orf125	-1.96025
TNFAIP8	-1.42233333333333
GNB2L1	-0.43025
CALCRL	2.384
SCGB2A2	6.3595
UBXD7	-0.235
ZNF674	-0.185
TMEM35	0.061
BRSK2	-1.404625
HECTD3	0.598333333333333
TMEM188	-0.43975
LGALS9	1.0215
SCARB2	0.451
USP34	-0.0959166666666666
C17orf28	1.31758333333333
ZDHHC23	-0.09175
AQP12B	-0.49
SLC16A3	-2.597625
APLP2	0.075875
ITIH2	-5.29175
MICAL3	-0.968125
TNNI3K	0.4365
HDAC2	-0.352
PRR7	-0.4289
THBS2	1.502125
LOC751071	0.223166666666667
CA2	1.43983333333333
RANBP17	1.0875
RLN3	0.24375
CRYZ	0.897666666666667
GBAS	0.1585
TAS1R1	-0.737
MPZL3	-0.2625
PCDH8	-1.44025
HSP90B1	-0.42125
KCNK15	2.655
TNIP2	0.4115
GPR146	-0.0135
NOL6	-0.017875
SPC25	-2.48211111111111
STEAP2	2.08471428571429
VAMP3	-0.145666666666667
TCIRG1	0.12925
ZP4	0.367333333333333
PARL	0.223
TRIM39	0.606
KIAA1305	0.936
CRNN	0.366833333333333
GRN	0.399
HSH2D	-1.9975
SCAMP1	0.9944375
KIAA1913	1.28575
PTS	-0.32525
BANP	0.111
PRKACG	0.21725
ADCY6	1.13966666666667
C16orf46	0.1105
CYP51A1	0.19825
DDC	-6.056
ANPEP	1.58816666666667
PROM1	0.367666666666667
SIGLEC10	1.90025
COPG	0.673
FAM26E	1.755
TRIP4	0.32275
SNX3	-0.0726666666666667
C1orf175	0.338
PPY2	0.07475
C14orf152	0.15075
FTSJ1	-0.527166666666667
DST	0.52765
LOC554235	-0.1075
GLRX5	-0.23475
C20orf12	0.6535
CAB39	-0.4685
MSH2	-1.0395
PIP4K2C	1.4415
CYLD	0.692
WTAP	0.2261875
MGAT4A	0.678
TSC22D4	-0.1257
CHRM2	-1.7375
PPYR1	0.0911666666666667
CCNH	-0.594833333333333
RRM1	-0.36975
ECAT8	-3.541
LOC400120	0.078
GABRA4	-0.109875
C14orf4	1.10766666666667
C1orf59	0.9205
CTDSPL	0.78225
NHEDC2	-1.168
PDE11A	-0.7015
KLHL29	-0.338
CD5	-1.5707
TSPAN9	1.61175
WDR67	-1.51275
THUMPD1	0.2818
C18orf17	0.64275
CLYBL	-1.00066666666667
FLJ13231	-0.60725
CMBL	1.14875
LECT2	-0.30125
NKAPL	2.17683333333333
LOC654780	0.3965
OR4C6	-0.014
RAB30	-0.172666666666667
TSSK4	-0.9085
TMEM163	0.236
OSBPL11	0.047
GNB5	-1.659
CCL21	0.881
C1orf121	-0.1735
FMO2	3.07033333333333
RPTN	0.2935
MSTN	-0.211
VCL	0.435
FYTTD1	-0.0235
C11orf1	-0.8475
CCDC88C	1.03175
HFE	-0.370722222222222
MOGAT1	-0.204
FAM125B	0.266833333333333
IRGQ	0.6925
RAVER2	0.14175
AKAP5	-1.086
SSSCA1	-0.4045
C11orf63	0.7055
ACTG2	2.9985
PORCN	-0.9425
DTL	-2.04736363636364
TMEM151	0.457
FAM122C	-1.103
RSAD2	2.731
BAT4	0.0245
KRTDAP	-0.275333333333333
MYH8	0.189875
CRTC3	0.42625
LRRFIP2	0.149
INTS4	-0.0978333333333333
TTN	-1.32483333333333
SLC26A5	0.293
PLLP	-0.70775
RGS6	-0.704375
SRGAP3	0.582875
ZNF525	0.308
NBR2	-0.7965
C13orf1	-0.2526
ZNF137	0.7165
CEP27	-2.09
BEST2	0.2565
RNF121	0.034
DMRTC2	-0.2655
C8orf76	-0.39125
BCCIP	-0.1745
MEST	-0.19875
HTRA2	-0.1525
ANGPTL2	1.09825
ILKAP	0.188833333333333
ERAS	0.6485
HBS1L	-0.857125
CPA5	0.326
TMEM30A	-0.0595
CD300LF	1.19633333333333
WISP3	1.371
CRK	0.0591428571428572
PDS5A	0.3045
BRPF3	0.5935
NEDD9	-0.3905
SMPDL3B	1.3475
PSG6	-0.802
PSMD13	0.53925
ETV5	-1.8444375
OR51A4	0.3315
BTBD7	0.747666666666667
GSTO1	-0.614125
hCG_16001	0.3135
MAD2L1BP	0.183166666666667
COX6A2	0.938
SCNN1A	1.8425
LSM1	0.874833333333333
UGT2B11	-3.447
IDUA	1.5735
PPP2R3C	-0.209666666666667
COX11	-1.38566666666667
PDZK1	2.78975
ZNF443	1.4035
MGC21874	1.562
ZNF323	1.6409
KRTAP10-10	0.089
CXCL6	-0.1235
SLC34A2	2.1889
LOC284402	0.164
NPTN	1.36641666666667
UPP1	-2.449
SLC6A9	-0.038
OR7G3	0.10675
CISD1	-0.6075
ZNF545	0.904
SYT14	-1.2425
NT5C3L	-0.1345
ZNHIT3	0.410833333333333
SNRPD3	-0.325
KIAA0701	0.209125
UNC93B1	0.129166666666667
GMNN	-1.12225
SPCS2	0.475666666666667
LOC388524	-0.2825
NAPRT1	-0.25275
PNLIPRP1	-0.148
OR6V1	0.21
PRKAB1	0.59125
EYA4	-3.548
KIF20A	-1.671
ALG10	-0.10825
ITPKC	1.2375
LMX1B	0.891166666666667
RPUSD4	-0.580166666666667
C7orf34	0.449666666666667
DLGAP2	0.391625
PFN1	-0.4843
MICALL2	0.185916666666667
ZNF654	-0.6485
SS18L1	-0.609
SLC16A8	0.21125
MKI67IP	-0.5975
ITGB3	-0.503
TCEA3	2.15016666666667
CEP152	-2.4118125
CLIP1	0.57675
ZNF75	0.6895625
ATP5C1	-0.294166666666667
NUDT5	-0.851833333333333
PSCDBP	-0.8825
UBP1	0.2385
RBM27	0.2985
C13orf15	2.142625
ZNF282	0.4285
ZNF222	0.2436
COL10A1	5.76
PRDM15	-0.554375
TTTY5	-0.381
FAM9C	-0.346666666666667
C20orf67	0.07675
GNG13	3.289
F12	-0.259
C1orf41	-0.51675
CPXCR1	-0.6585
GSK3A	0.963
SUPT6H	0.461333333333333
PI16	0.163
ELL2	-0.39
C9orf167	-2.03716666666667
PVRL3	-1.0788
FLJ38596	0.6
ADAM20	-0.1345
GPR89A	0.9245
GPR87	-0.021
ZNF30	1.4445
SMR3B	0.288
ZNF770	-0.212375
TRPC4AP	-0.167666666666667
DKFZP686E2158	0.219333333333333
C2orf28	0.0518333333333333
FREM1	-0.580666666666667
LAMA4	0.697333333333333
ADPRHL2	0.4085
EIF4G2	0.714833333333333
GUCA1A	-0.4135
CTNNA2	-1.8895
NUDT15	-1.55716666666667
CEPT1	-0.1125
ZNFX1	0.4128
CCDC92	1.266
TDRD1	-1.5715
KCNK5	-0.927
ETNK1	0.761333333333333
LTA	0.118
TTPA	0.516833333333333
B3GALNT2	-0.714375
SC65	0.268166666666667
PEX5L	-1.081
EPS15L1	0.418
MGEA5	0.660625
HIST1H3A	0.7115
ING1	0.224125
BCAT1	-3.238375
ORC6L	-3.443
KLK11	-4.26
C19orf28	-1.096875
DNER	-3.9195
MED22	-0.314214285714286
ETV6	1.06733333333333
CHAC2	-2.53775
CD300E	-0.041
CEBPB	0.26425
ZNF398	0.1065
LRCH3	-0.041
HMGA1	-1.517
CAPN7	0.017
MGC5566	-3.106
CCL3	2.382625
NANOS1	-1.474125
ZFYVE19	0.204
APITD1	-0.4395
PARD3	1.595625
IRAK4	-0.0713333333333333
SERPINI2	0.291
CEP170L	-0.75425
TTC9	1.328
MYOM3	-1.23825
MLPH	1.806375
LOC222699	0.972
NRG1	-1.28741666666667
TBC1D9	3.49081818181818
TTK	-2.73766666666667
ZNF557	0.2783
DDX41	0.0175
FANK1	3.0755
UBE2D2	0.14675
PSMB10	0.01775
MYH7B	0.1875
GABARAPL2	-0.216875
MARVELD2	2.23833333333333
DGCR2	0.552166666666667
UNC45A	0.0336666666666667
C6orf72	-0.2865
ZNF683	3.3285
GIT2	0.064125
CASK	0.880833333333333
C14orf161	2.90916666666667
LRRC44	1.2515
TIFA	0.28
UTP11L	-0.470375
C6orf65	-0.46775
FDPS	-0.55325
DUSP9	-2.0298
SLC17A8	0.905333333333333
OR51G1	0.3245
NANS	-0.31925
OLFML1	2.0515
ATP10B	-1.607875
NPAS3	-0.65125
PRKCA	-1.3536
GGA2	0.1273125
LCE4A	0.6285
SPANXN3	0.014
CCDC115	0.95525
SDCCAG3	-0.641
GLIPR1L1	0.277333333333333
TTC1	0.17075
C17orf76	0.6295
MAD2L2	-1.757
HIPK1	-0.0299
LRRC3B	0.755
CLN3	-0.468136363636364
C17orf47	0.7545
FMN2	-1.355875
TUBB1	-1.38875
WAPAL	0.526666666666667
C3orf21	-0.697625
SCN5A	-0.1133
SMYD1	3.0615
BEX5	0.42975
ZNF192	-0.196
SEC22A	-0.0095
GRIA2	0.529571428571429
KIAA0825	-1.19025
NUSAP1	-2.06327272727273
LANCL1	-0.609125
C15orf40	-0.6926
ZNF645	0.118625
GPR61	0.1385
NLRP14	-0.3115
SNX21	-0.5613
C1QTNF8	0.1465
C17orf46	-0.0405
IFNA8	0.9545
SPRR1B	-1.75633333333333
FLRT1	-0.56975
SNX17	0.0568333333333333
ASB2	-1.22433333333333
HBG1	-5.208
RPRML	-2.497
JOSD2	0.779
PLSCR3	0.6405
SPOCD1	0.6175
RAB39	0.4125
GHRH	-0.0953333333333333
ITIH5L	1.2725
C17orf37	0.8755
SMCR8	0.1345
DPY19L2P3	-0.446333333333333
IL11RA	0.6005
GDF3	-3.713
RPS6KB1	-0.611166666666667
DNAJC19	-0.083
TOP1	-0.12425
CRCT1	-0.791875
MPST	0.0105
DPM2	0.2465
FAM38B	2.4375
SLC18A1	-2.71116666666667
FARP1	0.330333333333333
PAX7	0.063
TUBD1	-1.244
GNL3	-0.287125
BTG2	1.3954
NDUFS6	-0.346
C1orf79	-0.37125
ERAL1	-0.27425
ECHS1	1.72775
VPS4A	-0.360666666666667
CYP11A1	-1.034625
ABCC6	-2.09721428571429
PBX4	-3.0075
MOSC1	-0.71475
NCF4	-0.1985
HYMAI	0.1095
NAGPA	-0.506625
OTOP2	0.20725
ACOT12	-0.09025
MTHFD2L	0.09325
LOC441376	2.9885
C19orf34	0.0465
RAB1B	0.31625
ALDOAP2	-0.047
NTRK1	-2.4445
ARTS-1	0.7046
SLC6A11	-1.249
NAP1L2	0.05125
CNGB1	0.268333333333333
EPB41L4B	0.336166666666667
FAM134B	2.192625
HS3ST3A1	-1.61016666666667
CPXM2	4.4155
SIRPB2	-0.339
CHORDC1	-1.1535
TRIB3	-1.1765
SLC2A5	-0.36175
C2orf49	-0.8885
DDX5	0.1685
OR5L1	1.3615
ANAPC4	0.237
ZSWIM1	0.33175
LOC93622	0.780125
KCNK3	-0.5173
RP11-35N6.1	-1.447
ZFP161	0.492833333333333
AQP9	1.10725
SLC15A2	-0.588166666666667
MREG	0.0641666666666667
OR9I1	0.0925
PDLIM2	0.313
ADAM7	0.0235
GSTCD	0.127333333333333
WDR21A	0.035125
SLC12A8	0.241333333333333
TMEM174	-0.08775
IGSF3	1.72333333333333
LRRN1	1.18875
LOC402117	0.15375
SRPK1	-0.923833333333333
LY6K	-2.1380625
NFIA	1.7125
PTCD3	-0.438
LEP	1.9055
PCDH21	-0.855166666666667
MAPKAPK2	1.03307142857143
NMNAT1	-0.115333333333333
LHFPL2	0.404875
C9orf43	0.65825
DIP2A	-0.638
ACTR8	0.304875
CCDC34	-0.06025
PTPN22	-1.70375
ITGA3	0.719875
FAM129C	0.35075
RABGGTA	-0.0153333333333333
UNC45B	0.441
KIAA1033	-0.050375
ZNF510	0.042
CYP2D6	-0.656666666666667
SLC26A10	-1.311
STX8	0.031
LUZP1	0.205875
WDR89	-0.0885
EIF4G3	-0.454
C5AR1	0.341875
ZNF623	0.056
A2M	1.27725
TGM7	0.198
GRPEL1	-0.319
LMNB2	-1.6684
ROCK2	-0.6195
SNX16	-0.0655
CCDC66	-0.277
ANXA3	0.042
KIAA1609	-0.621625
EED	-1.12975
RNF32	0.613833333333333
HES1	0.8282
CLC	0.2855
ISL1	0.427
KIAA0528	0.22125
MANEA	-0.366375
C1orf61	-2.546
hCG_2001000	0.4175
RAPGEF6	-0.4166
KIAA0020	-0.262333333333333
NEIL1	1.05025
C16orf45	1.839375
RBM10	0.0963333333333333
C10orf125	-0.132875
MRS2L	-0.90925
DNAH17	-1.324375
C19orf10	-0.93225
C1orf160	0.6805
SLFN12	0.0545
EXOC3	-0.022
HIST3H3	0.17675
NCOR2	1.0715
TNFRSF9	-0.723
MFSD8	-0.13625
ALX1	-3.80283333333333
NOL1	-1.03
PODN	2.7245
TIAL1	-1.3445
HIST1H1E	-0.508
NPY6R	0.50225
TM4SF4	1.12425
CORO2A	0.6835
ETNK2	1.0625
APOE	0.059
ANGPT4	0.344
HDGF2	-0.69225
G30	0.6265
ST8SIA4	-0.754125
F2RL1	0.363625
FAM19A4	-2.5845
CCAR1	-0.403
B3GNT7	0.11875
OPHN1	-0.0183
DSCR6	1.0935
C21orf13	0.864166666666667
GAS2L1	0.40475
RFX3	-0.0425
COPS4	0.306125
BCHE	-5.213
BCL2	4.05125
HBZ	-3.02133333333333
ARL13B	-0.2625
MAPBPIP	0.9015
MYO15B	0.25775
SPZ1	-0.351
KIAA1324	3.32355555555556
PLCL2	-0.771
C4orf29	-0.18475
WDFY2	-1.0665
ZNF284	0.4875
NAALADL1	0.415
DUSP5	-0.000333333333333332
PXDN	0.9865
SLMO1	0.38425
TNXB	0.3951
BIRC7	-1.40475
A4GALT	0.9865
TIMM22	-0.19325
FAM110C	1.17875
TOMM34	-0.381375
ABHD9	0.3445
ADAM32	0.249
CRHBP	-0.278
AQP2	0.421625
LOC130355	0.3685
ZNF187	0.657666666666667
ZNF816A	0.9565
F7	-0.242125
CNOT1	-0.5612
SLC13A4	-1.28825
ZBTB11	-0.3235
B3GALT5	-0.38175
EXOC2	1.4965
IRS1	0.7879
TMEM1	-0.0881666666666667
MRPL34	-0.669833333333333
SAMM50	-0.6245
CDC42EP3	-0.554625
HSF2	-0.8731
MFN2	0.353
TSPAN7	-1.95933333333333
NUCB1	1.08633333333333
RHOH	-1.06625
ARL16	0.384
TACR1	0.168
SFRS5	-0.732833333333333
SNX25	-0.07875
RHBDF1	1.0065
PCDH18	2.25883333333333
HMG1L1	-0.01275
MYO5C	1.29875
MAPK10	0.905
LDHAL6A	0.35
NUDT12	1.39783333333333
NCAM1	-0.458
GLIS2	0.3505
GGTL4	-0.96375
DAPP1	-0.6855
ATF7	0.6455
KIAA0748	-1.69125
NFIL3	-1.98125
TM6SF1	0.6513
SEZ6	0.175625
NANOS3	0.612
DNAJA3	-0.0311666666666667
CLDN6	-2.974
CIITA	1.5659
EPHA4	-1.421
FANCC	0.16575
CMTM3	0.980625
PSG3	-0.25575
MRPL15	-0.4815
C21orf59	-0.1425
PLCXD2	-0.87075
C2orf34	-0.3855
UBE2L6	0.900375
MED14	-0.233166666666667
HP1BP3	-0.3898
C6orf208	-0.4235
TPBG	0.5355
OSR2	1.167
XPC	0.1715
KLHL7	-1.279
CCR3	-0.420666666666667
AGTPBP1	-0.5
PCSK6	1.87746666666667
STAT5A	-1.0406
FAM18B	-0.083
LONRF2	2.53033333333333
PTPN2	-0.40425
SF3A3	-0.8055
EFCBP2	-0.6015
HCFC1	-0.342
AHNAK	1.29425
