Hybridization REF	TCGA-AO-A0JJ-01A-11R-A056-07
MXD4	0.9759
TNFSF10	4.5034
SMARCB1	-0.349333333333333
DTX3L	1.48716666666667
PLA2G4E	0.0595
PPAP2A	1.85075
ULK1	-0.39975
TAS1R3	-0.136
SLC2A3	-2.14081818181818
ARID3A	-1.9865
GNG5	-0.5645
ACOX1	0.282
KIF5B	-0.21
NUP153	-1.311
MUC7	-1.2345
CSDE1	-0.424214285714286
CLPTM1	0.19575
C3orf23	-0.447375
LRRC17	0.909
TTYH3	-0.634875
ATP5B	-0.7185
ELF3	2.0342
CPSF3L	-0.0341666666666667
ZNF665	-0.0486666666666667
TLR6	1.8252
GPI	-0.74625
RAD9A	-0.266875
NDST4	-3.59375
AGPAT3	0.14925
MAGI3	1.5125
ADORA2A	0.702625
CACNG7	0.3025
CAMK2D	-0.455928571428572
CCHCR1	-1.318
RPS27A	-0.43475
OR10G7	0.387166666666667
GCM2	0.488
FAM135B	1.2547
E2F1	-1.51025
PLCB3	0.23925
OR2AE1	-0.634
COIL	0.276666666666667
CDC25C	-1.12666666666667
RAB11FIP2	-0.144
TSC2	-0.0325
CTGLF5	-1.8775
CCDC108	0.1565
OR13C4	0.21375
C10orf81	3.85
PTPRB	2.0825
ACP2	0.85225
LAG3	1.02575
MRPL54	0.56875
LOC201175	1.476
ITGB1BP3	-1.075
SPTAN1	0.158833333333333
SIPA1L2	-0.427
RCAN2	-0.685
CDX2	2.513
ECOP	0.615
ACTR1A	0.194142857142857
PPARG	0.681166666666667
BBS10	0.840333333333333
TMEM44	-0.538625
BPIL2	-0.02
CITED1	-1.218
IRF6	4.53275
PRDM4	-0.276333333333333
RRP9	-0.742833333333333
OR10H4	0.34075
IL31RA	-0.33875
GNB1L	-0.707833333333333
MYBL2	-2.37425
ZNF407	0.617166666666667
PPIG	-0.416833333333333
TTC18	1.2855
RPSA	-0.3945
MAPT	1.34257142857143
MRE11A	-0.00778571428571417
C8orf37	-0.924
RASGEF1C	0.132
STBD1	0.521
CTAG2	-0.455833333333333
MGAT5B	-1.777
ECM1	2.968375
RLN1	1.637
PARP14	1.0540625
EPB41L1	0.3393
HOXA3	0.213083333333333
MAGEA9	-6.785
RPS8	-0.382833333333333
RPS19BP1	-0.06975
FOXJ2	0.511
C10orf76	0.549125
IL17RE	-0.2135
C10orf65	-0.81875
ZNF343	-0.292833333333333
FBXO33	-0.386625
UHMK1	0.9915
LY6G6C	0.83575
FGF19	-2.81775
C14orf128	-0.0656666666666667
IFIT2	2.53525
TIGD1	-0.67575
S100G	-0.0675
GUCY1B3	3.422
NR3C1	0.2419
CORO1B	0.456333333333333
PARP11	0.6215
DNALI1	3.489
OR4N4	0.0597142857142857
MAP2K6	-0.1935
FSTL4	-0.23075
ANKRD47	1.7415
TMEM171	-0.8695
PNLIP	-0.40925
YY1	-0.148333333333333
CCDC138	-1.98133333333333
AASDHPPT	-0.9602
CKS1B	-0.8521
MCM3	-1.4215
ANAPC7	-0.609166666666667
FAM110A	1.43475
CDC37L1	1.079
THTPA	1.344
NBPF20	-1.6195
WDR24	0.3465
NPTX2	-3.31125
CBLB	0.988
CETN1	-0.259333333333333
RPUSD1	0.169
FAF1	-0.602
CDK6	-2.732
HMX2	-0.04
CSK	-0.0621666666666667
TEAD2	-0.46025
SNAP25	-1.93025
TUFT1	1.0973
TMTC3	0.601166666666667
LCK	-0.18625
SGOL1	-1.54766666666667
AKTIP	0.23625
FURIN	0.335375
SOX12	-1.19416666666667
DEFB103A	-0.117
RAMP1	1.3485
KIR3DX1	1.499
GAS2L3	-1.004
PDE8A	-1.9308
EDN3	3.414
GMIP	1.537
SF3A2	1.40425
FN3KRP	0.47775
SMAD7	0.81025
RHBDD2	1.0065
OR11H6	0.2285
PPP1R3B	2.1426
C9orf23	0.4305
CADPS	-2.00075
GOLGA8A	-4.038375
TMEM57	0.51
RGL3	0.0995
S100A14	3.01925
FGFR2	1.522125
XRCC3	-0.614
RTN4RL2	0.5455
MGC3771	2.5255
GH2	0.3485
BTBD2	0.263
LMO2	0.98625
RDBP	-0.9335
ACRBP	-0.26325
AMY2A	1.228
DUOXA1	1.3965
PTK7	0.284
TWF2	0.501666666666667
FAM80A	-0.22025
TNNI2	-1.995
GLT25D1	-0.561833333333333
OCC-1	-1.957
CYC1	-0.7965
RPL22	0.240909090909091
MORN3	1.83933333333333
DISP1	1.5615
PRB2	-0.305
CHUK	-0.77425
HR	0.10025
CCDC134	0.066125
DENND4B	-1.07275
C14orf130	-0.174375
RAB33A	-0.6805
DCST2	0.1705
TNMD	1.96325
PEX7	0.5245
FAM62A	0.221875
SRD5A2L	1.19025
IL22	0.29175
RPS26	-1.20083333333333
HOXC5	0.1695
SPATA6	1.96625
FLJ38482	0.105125
ZNF234	0.833
C18orf22	0.36875
SPATA22	0.75975
THOC1	-0.7565
CYP7B1	4.21475
KCNC3	0.1675
C8orf42	-1.9145
ALDH1B1	-0.218
CCDC100	0.0179
ARMC4	-1.662
FAM18B2	-0.5235
SLC44A1	0.902375
FBXO17	-1.02333333333333
C6orf107	-0.755
C19orf29	-0.14
ZC3HAV1L	0.2045
PARP6	-0.5654
SULT2A1	-4.81114285714286
C1orf159	-0.60575
TMC1	0.778333333333333
CHST14	0.702125
GAMT	0.238333333333333
SMCP	-0.00799999999999999
TSPAN33	1.45108333333333
MIDN	0.332625
NOX4	2.6605
RNASEN	-1.0431
TBX1	-1.3715
SALL2	-0.01325
C10orf35	1.458
CYP2E1	-1.105375
LRFN2	0.689166666666667
ACO1	-0.625666666666667
IQCG	0.7767
MEGF9	2.886
TM7SF4	1.126
PLEKHA1	0.219066666666667
STK33	-2.97025
C1orf210	3.09475
SNUPN	0.2624
KIAA0406	-1.2505
C20orf29	0.51125
TMEM55B	-0.131
OSTM1	-0.8470625
CLCN7	-0.03275
OTP	0.031
FLJ23049	-1.358
HEATR4	0.2625
MAP3K10	1.31933333333333
PCDHGA9	0.501
AMDHD2	0.32475
LCTL	-2.67
PDCD2L	-0.6155
CABLES2	-0.45775
SLC5A9	-0.612
CLCA2	-0.258333333333333
MGC16025	1.6915
STRAP	-1.45766666666667
C20orf196	0.2835
RRBP1	0.822333333333333
NAT13	-0.7425
MAT2B	0.636375
CSNK1D	-0.493833333333333
KIR3DL1	0.38275
PRKAG3	-0.3335
ZNF599	0.5565
PRM3	0.868
PER2	1.76683333333333
ASPHD1	-1.3195
PRMT6	-0.59425
KCNE1L	-0.406428571428572
FAM118A	-0.576666666666667
TAF4	-0.9
NDUFB6	-0.351
TRIM9	-1.51333333333333
PMFBP1	-0.877
KY	0.7455
DKFZp762E1312	-2.37027272727273
CSMD1	-1.69775
TBP	-0.805
OR1Q1	0.0525
RETNLB	-0.0205
HPGD	0.0711666666666667
DNAJC12	0.707666666666667
FKBP1B	-1.03675
ANKRD24	0.624333333333333
CXXC5	0.8815
IL3	0.358
DRAM	0.5006
PTCH1	-0.95775
TP53BP1	0.1545
SLC17A7	0.198285714285714
COL25A1	-1.2096
AMACR	-0.347333333333333
RHCG	-0.1945
VPS13A	-0.76225
FAM55D	4.738
PRPF38B	-0.744833333333333
OSBPL6	-0.59025
PFDN5	0.9427
CMTM6	1.127
KCNK12	-1.589
RP2	0.3215
C16orf52	-1.112
PICK1	0.536
IFNE1	-1.71066666666667
SEMA4B	0.40375
TYRO3	-1.14775
OR12D2	0.6945
CSNK1A1	0.3644
FANCF	1.18725
LONP2	0.257375
TBL1Y	-0.86825
LDOC1L	0.387125
CCNC	-0.92525
C3orf60	0.03675
CHKA	-1.46075
UBAP1	0.16175
MAP3K1	1.604
ANKRD9	-0.16825
FAM92A1	-1.747
GAB2	0.50575
AZU1	-0.4665
DIS3	-0.97275
C21orf109	-0.565
IQCB1	-1.086
SPATS2	-0.604833333333333
EFCAB3	-0.65675
PRB3	-0.00787499999999999
FUZ	0.5465
ZNF813	-0.130375
BMPER	-0.821666666666667
HEG1	0.1715
ALS2CR11	-1.12375
SURF2	-0.39075
PSMC1	-0.245333333333333
OR2D2	-0.053
SLC7A8	2.44966666666667
C4orf40	-0.193
SPATA7	0.49325
MAZ	-0.749916666666667
PIN4	0.427
PDE1A	0.431875
TAF6L	-0.1975
OR2T34	0.364
KIAA0284	0.0295
ACADS	0.929272727272727
MKRN2	-0.569
C18orf56	-0.82275
MS4A6E	-0.0758333333333333
GALNT4	1.2866
C22orf31	0.305
FLJ36070	0.5335
PSME4	-0.03125
TFG	-0.143
EPHX2	2.072375
ANXA5	0.25525
KRTAP1-1	-0.302
BATF	1.3065
KARS	-1.561
MSTP9	-0.467
GPR26	-0.283125
CCDC72	-0.092
TEF	1.1315
FOXK1	-1.1357
PRLHR	-0.1905
EMX1	0.731
C11orf30	-0.186
ICK	-0.1095
THSD7B	0.9275
C21orf100	-1.4935
DUOX1	2.2375
EFCAB4B	-0.84425
UBE2G2	-0.726
C3orf54	0.9775
PARP1	-0.329
FAM60A	-1.77691666666667
C6orf146	0.562
OR9K2	0.083
DDX55	-1.57383333333333
RPS15	0.528583333333333
ZNF618	0.3105625
DKFZp686D0972	0.47525
SSPO	-3.664
SHFM3P1	0.913166666666667
CPA6	3.729
JAG2	0.7745
DEFA3	0.60225
PPBPL2	0.278
CD34	4.9225
SLCO4A1	-2.803375
AFG3L1	-2.384
SHD	-0.67575
RP13-122B23.3	-0.501833333333333
PRKCSH	-0.375833333333333
DPH5	0.118
HLA-F	2.383375
TBC1D4	-0.1535
RIG	-0.0623333333333333
GLUD1	0.096
HNRPCL1	0.465
HBXIP	-0.51975
RNF207	0.278
APIP	-0.7025
PLA2G3	1.163
CCDC84	-1.48525
MYLIP	-0.129
PHIP	-0.17
AARS2	-0.533
DHX32	0.8835
SCAPER	-0.324833333333333
MEN1	0.118375
NIP7	-1.53875
FLJ25404	-0.94
FASTKD3	-0.90625
TMEM158	-2.46733333333333
RARA	1.47175
BDH1	0.831
ANKRD16	1.2395
CARM1	0.654
SS18	0.434
IKZF2	-0.0984166666666667
MYD88	0.727375
PML	1.01645
TAF1A	-1.175
CBFB	-0.7505
HIST1H3H	-2.00416666666667
C7orf29	-2.17175
COMMD4	-0.394666666666667
DPP3	-1.11
DAB2	0.839125
LOC388882	-0.724
YPEL4	0.25275
AGBL3	1.67575
LRP6	0.1099
SERPINH1	-0.41975
TLE1	0.7895
CD244	1.85966666666667
ZDHHC15	0.28
MGLL	1.4243
PLDN	-0.143333333333333
LOC654346	2.407
FAP	2.60075
GPR37	-1.24133333333333
SCARA5	1.81133333333333
EBF4	1.54336363636364
LSM6	-0.26625
MLLT1	0.09025
SLC5A12	-0.12225
A2BP1	-2.46283333333333
COPS5	-0.326666666666667
TPM4	-0.725214285714286
TNFSF4	0.4535
ACADSB	1.37511111111111
HERPUD1	0.83
BCL2L11	-0.512444444444445
CEP78	-1.357375
CDCA3	-1.6745
WBSCR19	-0.2065
MYO1A	-2.094
PPEF1	0.8485
LOC440348	-1.31825
CPEB2	1.397625
BPTF	-0.34625
RPL21	-0.156125
GSX2	0.00899999999999999
ADPRH	1.037
C17orf68	0.383333333333333
KCNS1	-0.3255
MLLT6	-0.005
PIWIL4	0.5315
RNF26	-0.542
RAP1B	0.9265
ADAMTS1	-1.2586
ZNF571	0.823
P2RY6	0.0525
TRIM21	1.29383333333333
CADM3	0.5405
NLRC5	0.734666666666667
ADRA2B	0.16
LOC90835	-0.3085
PCF11	0.06275
LOC400451	2.192
GLTSCR1	1.0569
C17orf88	-0.790333333333333
CDH16	-2.6405
FGF7	2.583625
PCSK4	-0.0025
NPC1L1	-1.43266666666667
TAT	1.257
TBCA	-0.757
MGC33407	0.1735
GPR115	-1.41875
CYGB	0.735
FNBP4	-1.29616666666667
C12orf43	-0.023
CBL	-0.5889
CLECL1	2.98475
PPAPDC1A	0.5825
WDR25	0.87
SGCA	1.0075
C22orf29	-0.0913333333333334
YIPF1	1.19475
GALK2	-0.74375
RAB3B	-3.33383333333333
LOC440087	1.024
UCP1	-1.155
REEP5	1.4335
FADD	0.0366
FOXA1	3.44425
CACNA1A	0.5095
ABI1	0.2
GRIN2D	1.6905
SLC1A4	0.646833333333333
LOC401127	-0.71325
HINT2	0.8115
PLD4	2.50083333333333
ZNF286A	-1.4835
ENY2	-1.13975
IL1F6	-1.3975
PXDNL	1.31475
C20orf79	0.221666666666667
TNFSF13B	3.62366666666667
DENND3	0.747625
JARID1D	-3.328
HIST1H2AK	-0.2365
LOC93349	0.1339
SSH1	-1.009
ENSA	0.31775
LOC219854	0.539
CKAP2	-1.4666
DKFZP564J102	1.33916666666667
MGC87315	-0.145666666666667
HNRPAB	-1.06575
AMH	-1.3965
ZNF526	0.6245
BRUNOL5	-0.4841
CACNG3	0.204666666666667
TRPM1	-2.235
PPP2R1A	0.114875
COL2A1	-1.2715
DDN	-0.405333333333333
FLJ25770	1.81741666666667
HK2	-0.760857142857143
ELOVL6	-1.449875
MDK	0.17175
EPHX1	2.3585
RASSF2	1.104875
DKFZP434B0335	-0.69725
DLX3	-0.80075
PRTN3	-0.7425
AVPR1A	0.858
C21orf125	-2.30975
TNFAIP8	0.0498333333333333
GNB2L1	-0.105
CALCRL	3.318
SCGB2A2	8.27133333333333
UBXD7	-0.087
ZNF674	-0.8025
TMEM35	0.600625
BRSK2	-1.28675
HECTD3	-0.0236666666666667
TMEM188	-0.517333333333333
LGALS9	2.6845
SCARB2	0.713583333333333
USP34	-0.263333333333333
C17orf28	1.35341666666667
ZDHHC23	-1.345
AQP12B	-0.922
SLC16A3	-2.469
APLP2	0.682375
ITIH2	-4.84925
MICAL3	-0.51175
TNNI3K	0.7628
HDAC2	-0.759125
PRR7	-0.0127
THBS2	0.181375
LOC751071	0.220666666666667
CA2	-0.187166666666667
RANBP17	-0.34675
RLN3	0.42625
CRYZ	-0.204833333333333
GBAS	-0.0751666666666666
TAS1R1	-0.36325
MPZL3	0.552
PCDH8	-2.00633333333333
HSP90B1	-0.3895
KCNK15	0.53
TNIP2	0.304666666666667
GPR146	1.36425
NOL6	0.000875000000000004
SPC25	-3.10011111111111
STEAP2	3.40428571428571
VAMP3	0.107
TCIRG1	0.23
ZP4	-0.0438333333333334
PARL	0.116875
TRIM39	-0.328666666666667
KIAA1305	1.678
CRNN	0.444666666666667
GRN	0.309
HSH2D	1.43225
SCAMP1	0.597875
KIAA1913	0.84825
PTS	-0.35725
BANP	-0.0012857142857143
PRKACG	0.19775
ADCY6	0.0518333333333333
C16orf46	0.3535
CYP51A1	0.394625
DDC	-6.14825
ANPEP	1.5595
PROM1	0.9725
SIGLEC10	3.539
COPG	1.1935
FAM26E	1.441
TRIP4	0.156
SNX3	0.00583333333333334
C1orf175	0.552166666666667
PPY2	-0.451333333333333
C14orf152	0.62525
FTSJ1	-0.802166666666667
DST	0.49915
LOC554235	0.21675
GLRX5	-0.49225
C20orf12	0.9809
CAB39	0.2145
MSH2	-0.876333333333333
PIP4K2C	0.490125
CYLD	0.79025
WTAP	0.6489375
MGAT4A	1.62011111111111
TSC22D4	-0.1457
CHRM2	-1.188
PPYR1	0.0953333333333333
CCNH	-0.282
RRM1	-0.3825
ECAT8	-3.70525
LOC400120	-1.06775
GABRA4	-0.400375
C14orf4	1.33916666666667
C1orf59	-0.88425
CTDSPL	0.688333333333333
NHEDC2	-0.2165
PDE11A	-0.0478125
KLHL29	-0.27325
CD5	0.8816
TSPAN9	1.873375
WDR67	-1.39275
THUMPD1	0.2251
C18orf17	0.8285
CLYBL	0.388333333333333
FLJ13231	-0.459125
CMBL	1.225
LECT2	-0.11875
NKAPL	2.288
LOC654780	0.371
OR4C6	1.291
RAB30	1.53183333333333
TSSK4	-0.431
TMEM163	1.2265
OSBPL11	0.2975
GNB5	-0.662166666666666
CCL21	2.57125
C1orf121	-0.149166666666667
FMO2	3.4295
RPTN	1.371
MSTN	0.374
VCL	-0.328071428571429
FYTTD1	-0.2995
C11orf1	0.544
CCDC88C	1.0576875
HFE	-0.600555555555556
MOGAT1	-0.115
FAM125B	0.627166666666667
IRGQ	0.5985
RAVER2	0.43975
AKAP5	0.2045
SSSCA1	-0.55625
C11orf63	0.08725
ACTG2	1.0145
PORCN	-0.676
DTL	-1.17845454545455
TMEM151	0.6835
FAM122C	-1.19
RSAD2	2.8504
BAT4	-0.359
KRTDAP	-0.105
MYH8	0.3365
CRTC3	1.2385
LRRFIP2	0.3115
INTS4	-0.389833333333333
TTN	-1.5185
SLC26A5	1.359
PLLP	-0.6295
RGS6	-0.57175
SRGAP3	1.561875
ZNF525	0.169166666666667
NBR2	-0.333333333333333
C13orf1	-0.6826
ZNF137	-0.149
CEP27	-1.76175
BEST2	0.095
RNF121	-0.0735
DMRTC2	1.6315
C8orf76	-0.6935
BCCIP	-0.083
MEST	-0.3925
HTRA2	0.1135
ANGPTL2	1.1335
ILKAP	-0.261833333333333
ERAS	-0.1195
HBS1L	-1.444375
CPA5	0.073
TMEM30A	0.214666666666667
CD300LF	2.60066666666667
WISP3	2.21
CRK	0.208428571428571
PDS5A	-0.4464
BRPF3	-0.304666666666667
NEDD9	0.184625
SMPDL3B	1.34425
PSG6	0.04
PSMD13	-0.04725
ETV5	-0.5151875
OR51A4	0.2325
BTBD7	0.329
GSTO1	-1.13225
hCG_16001	0.6895
MAD2L1BP	-0.624666666666667
COX6A2	2.0655
SCNN1A	2.63633333333333
LSM1	-0.131833333333333
UGT2B11	-1.2945
IDUA	1.74375
PPP2R3C	-0.800833333333333
COX11	-0.603333333333333
PDZK1	1.8775
ZNF443	0.00749999999999999
MGC21874	1.191
ZNF323	0.7115
KRTAP10-10	0.027
CXCL6	0.3245
SLC34A2	2.5395
LOC284402	-0.022
NPTN	0.825333333333333
UPP1	-2.18925
SLC6A9	-0.2725
OR7G3	-0.41525
CISD1	-1.35266666666667
ZNF545	-0.444666666666667
SYT14	-0.589
NT5C3L	-0.00799999999999999
ZNHIT3	-0.222833333333333
SNRPD3	-0.32175
KIAA0701	0.197
UNC93B1	0.733166666666667
GMNN	-2.10075
SPCS2	0.770666666666667
LOC388524	0.1175
NAPRT1	0.671875
PNLIPRP1	-0.837
OR6V1	1.001
PRKAB1	-0.196
EYA4	-2.85733333333333
KIF20A	-2.25325
ALG10	0.596
ITPKC	0.819
LMX1B	1.47583333333333
RPUSD4	-0.7265
C7orf34	0.126
DLGAP2	1.027
PFN1	-0.7877
MICALL2	-0.129166666666667
ZNF654	-0.3605
SS18L1	-1.99525
SLC16A8	0.76025
MKI67IP	-0.267666666666667
ITGB3	-0.51175
TCEA3	3.21541666666667
CEP152	-2.5815625
CLIP1	0.431
ZNF75	0.4891875
ATP5C1	-0.623
NUDT5	-0.568166666666667
PSCDBP	2.84275
UBP1	-0.17925
RBM27	-0.25875
C13orf15	2.928375
ZNF282	-0.0275
ZNF222	0.4774
COL10A1	5.74625
PRDM15	-1.01225
TTTY5	-0.0495
FAM9C	-0.036
C20orf67	0.06375
GNG13	-0.5285
F12	0.5935
C1orf41	-0.82975
CPXCR1	0.209
GSK3A	0.010625
SUPT6H	0.0336666666666667
PI16	3.07283333333333
ELL2	-0.526666666666667
C9orf167	-1.4335
PVRL3	-1.8819
FLJ38596	1.259
ADAM20	-0.204
GPR89A	0.0985
GPR87	-1.956
ZNF30	0.124
SMR3B	0.0803333333333334
ZNF770	0.303375
TRPC4AP	-0.724166666666667
DKFZP686E2158	0.394333333333333
C2orf28	0.0755
FREM1	1.42166666666667
LAMA4	0.514
ADPRHL2	0.25075
EIF4G2	0.317
GUCA1A	-1.099
CTNNA2	-1.749
NUDT15	-1.30433333333333
CEPT1	0.442833333333333
ZNFX1	0.9527
CCDC92	0.981
TDRD1	-1.608
KCNK5	-1.3915
ETNK1	1.53183333333333
LTA	0.3425
TTPA	-0.5412
B3GALNT2	-0.879625
SC65	-0.0671666666666667
PEX5L	-1.683375
EPS15L1	0.2355
MGEA5	-0.174375
HIST1H3A	0.74475
ING1	-0.314875
BCAT1	-3.359875
ORC6L	-3.57318181818182
KLK11	-1.68133333333333
C19orf28	-1.775
DNER	-4.06775
MED22	-0.892357142857143
ETV6	1.55283333333333
CHAC2	-1.00125
CD300E	-0.524
CEBPB	0.394083333333333
ZNF398	-0.11725
LRCH3	-0.348
HMGA1	-1.92433333333333
CAPN7	-0.123333333333333
MGC5566	-2.63025
CCL3	3.918625
NANOS1	-0.1235
ZFYVE19	0.08725
APITD1	-0.540833333333333
PARD3	0.67675
IRAK4	-0.234
SERPINI2	-0.855
CEP170L	-1.046
TTC9	1.427
MYOM3	-1.0375
MLPH	2.091375
LOC222699	-0.643
NRG1	-1.40641666666667
TBC1D9	3.795
TTK	-2.96683333333333
ZNF557	0.6081
DDX41	-0.415833333333333
FANK1	2.801
UBE2D2	-0.160125
PSMB10	0.7145
MYH7B	-0.06
GABARAPL2	-0.395875
MARVELD2	1.5135
DGCR2	0.963166666666667
UNC45A	0.1435
C6orf72	0.6365
ZNF683	5.091
GIT2	0.53075
CASK	0.194666666666667
C14orf161	3.088
LRRC44	-0.653
TIFA	1.26575
UTP11L	-0.638
C6orf65	-1.166
FDPS	-0.45925
DUSP9	-1.8675
SLC17A8	1.272
OR51G1	0.0502
NANS	0.6
OLFML1	2.477
ATP10B	-0.73675
NPAS3	-0.94525
PRKCA	-1.8454
GGA2	-0.199
LCE4A	0.7065
SPANXN3	-0.564333333333333
CCDC115	1.58225
SDCCAG3	-0.8005
GLIPR1L1	0.10325
TTC1	-0.3855
C17orf76	0.71825
MAD2L2	-1.35025
HIPK1	-0.1661
LRRC3B	0.584833333333333
CLN3	-0.268363636363636
C17orf47	0.209
FMN2	-2.300125
TUBB1	-1.71528571428571
WAPAL	0.128166666666667
C3orf21	-0.405875
SCN5A	-0.4003
SMYD1	0.5565
BEX5	1.393
ZNF192	-1.834
SEC22A	0.203666666666667
GRIA2	6.52614285714286
KIAA0825	-2.11075
NUSAP1	-2.11190909090909
LANCL1	-0.22875
C15orf40	-0.4788
ZNF645	0.152
GPR61	0.0185
NLRP14	-0.2695
SNX21	0.4618
C1QTNF8	0.546
C17orf46	0.2555
IFNA8	1.109
SPRR1B	-2.329
FLRT1	-0.5305
SNX17	0.0168333333333333
ASB2	1.19866666666667
HBG1	-4.8755
RPRML	-0.6655
JOSD2	-0.135333333333333
PLSCR3	0.351
SPOCD1	-1.62616666666667
RAB39	-0.07
GHRH	0.0883333333333333
ITIH5L	1.3955
C17orf37	0.70575
SMCR8	0.80325
DPY19L2P3	-0.745833333333333
IL11RA	1.3105
GDF3	-3.0515
RPS6KB1	-0.803583333333333
DNAJC19	0.3517
TOP1	-0.5045
CRCT1	-0.1235
MPST	0.16725
DPM2	0.1575
FAM38B	0.9055
SLC18A1	-1.27916666666667
FARP1	-0.367833333333333
PAX7	0.218
TUBD1	-0.97075
GNL3	-0.869125
BTG2	2.72813333333333
NDUFS6	-0.779
C1orf79	-2.1645
ERAL1	-0.63325
ECHS1	0.6895
VPS4A	-0.591166666666667
CYP11A1	0.195
ABCC6	-0.345285714285714
PBX4	-1.7945
MOSC1	-0.310375
NCF4	1.49625
HYMAI	0.5755
NAGPA	-0.2105
OTOP2	0.23275
ACOT12	-0.595
MTHFD2L	-0.83225
LOC441376	3.33475
C19orf34	-1.03
RAB1B	-0.01925
ALDOAP2	-0.6775
NTRK1	-0.866166666666667
ARTS-1	0.8224
SLC6A11	-0.3165
NAP1L2	1.1515
CNGB1	-0.131666666666667
EPB41L4B	1.37016666666667
FAM134B	2.767875
HS3ST3A1	-1.43733333333333
CPXM2	5.8265
SIRPB2	1.1795
CHORDC1	-1.50633333333333
TRIB3	-1.274
SLC2A5	1.324
C2orf49	-0.957
DDX5	-0.31525
OR5L1	-0.1745
ANAPC4	-0.587
ZSWIM1	0.25025
LOC93622	0.017125
KCNK3	-0.6984
RP11-35N6.1	-0.85575
ZFP161	0.405333333333333
AQP9	0.95925
SLC15A2	-1.3865
MREG	0.063
OR9I1	0.6405
PDLIM2	0.99275
ADAM7	0.2615
GSTCD	-0.266833333333333
WDR21A	-0.42875
SLC12A8	1.93483333333333
TMEM174	0.00325
IGSF3	0.0653333333333333
LRRN1	1.563
LOC402117	-1.354
SRPK1	-1.99583333333333
LY6K	-1.3733125
NFIA	2.8005
PTCD3	-0.613
LEP	3.2985
PCDH21	-0.423333333333333
MAPKAPK2	0.596428571428572
NMNAT1	-0.876166666666667
LHFPL2	0.806625
C9orf43	0.5335
DIP2A	-0.9895
ACTR8	0.15
CCDC34	-0.84175
PTPN22	-0.41475
ITGA3	-0.49775
FAM129C	0.9565
RABGGTA	0.3595
UNC45B	0.91225
KIAA1033	-0.121875
ZNF510	-0.021
CYP2D6	-0.578
SLC26A10	-1.8555
STX8	0.01825
LUZP1	-0.11625
WDR89	0.0411666666666667
EIF4G3	-0.3493
C5AR1	0.806125
ZNF623	-0.1155
A2M	1.64075
TGM7	-0.1815
GRPEL1	-0.597
LMNB2	-1.3699
ROCK2	-0.594666666666667
SNX16	0.45675
CCDC66	-0.0405
ANXA3	-0.55975
KIAA1609	-0.652875
EED	-0.70625
RNF32	-0.299833333333333
HES1	1.7139
CLC	-0.3285
ISL1	0.5165
KIAA0528	0.268875
MANEA	0.42875
C1orf61	-2.427
hCG_2001000	0.97275
RAPGEF6	-0.1003
KIAA0020	-0.716166666666667
NEIL1	0.89
C16orf45	-1.208125
RBM10	-0.0458333333333333
C10orf125	-0.6595
MRS2L	-1.41775
DNAH17	-1.76442857142857
C19orf10	-0.12175
C1orf160	0.96575
SLFN12	1.42725
EXOC3	-0.3695
HIST3H3	0.535
NCOR2	0.653666666666667
TNFRSF9	0.6945
MFSD8	0.52325
ALX1	-3.41216666666667
NOL1	-1.2575
PODN	3.4085
TIAL1	-0.81075
HIST1H1E	0.13775
NPY6R	-0.02
TM4SF4	-0.043
CORO2A	0.48025
ETNK2	0.0581666666666666
APOE	1.1858
ANGPT4	0.5455
HDGF2	-0.0735
G30	-0.0295
ST8SIA4	0.52
F2RL1	0.51325
FAM19A4	-2.693
CCAR1	-1.16425
B3GNT7	0.0215
OPHN1	-0.495
DSCR6	1.5775
C21orf13	1.41583333333333
GAS2L1	1.039
RFX3	-0.1965
COPS4	-0.247375
BCHE	-4.2815
BCL2	2.423
HBZ	-2.67633333333333
ARL13B	-0.22275
MAPBPIP	0.91775
MYO15B	0.54575
SPZ1	0.555
KIAA1324	3.94322222222222
PLCL2	0.649375
C4orf29	-1.29825
WDFY2	-1.015375
ZNF284	-0.1975
NAALADL1	0.8725
DUSP5	1.17416666666667
PXDN	0.656375
SLMO1	-0.88375
TNXB	1.0974
BIRC7	-1.1325
A4GALT	1.54166666666667
TIMM22	0.022
FAM110C	1.7735
TOMM34	-1.0765
ABHD9	0.3695
ADAM32	1.5905
CRHBP	0.86725
AQP2	0.724125
LOC130355	0.382
ZNF187	-0.0245
ZNF816A	0.3425
F7	0.852375
CNOT1	-0.8275
SLC13A4	-0.93425
ZBTB11	-0.222
B3GALT5	1.79925
EXOC2	-0.0268333333333333
IRS1	0.8179
TMEM1	-0.266833333333333
MRPL34	0.108666666666667
SAMM50	-0.3795
CDC42EP3	0.943125
HSF2	-1.0303
MFN2	0.02675
TSPAN7	0.058
NUCB1	0.906583333333333
RHOH	1.35825
ARL16	-0.306
TACR1	-0.67575
SFRS5	-0.113666666666667
SNX25	-0.649
RHBDF1	0.281166666666667
PCDH18	3.67766666666667
HMG1L1	-1.095
MYO5C	1.107875
MAPK10	0.526
LDHAL6A	0.2475
NUDT12	1.46783333333333
NCAM1	-0.209
GLIS2	0.9305
GGTL4	-0.3705
DAPP1	0.448
ATF7	0.973
KIAA0748	0.2
NFIL3	-1.1635
TM6SF1	0.6402
SEZ6	0.16925
NANOS3	0.1735
DNAJA3	-0.7545
CLDN6	-3.6895
CIITA	3.204
