Hybridization REF	TCGA-BH-A0GY-01A-11R-A056-07
ICOS	2.3345
LDB1	0.80725
GSTA5	-1.49375
ABCC1	-0.477833333333333
FAM54A	-2.2415
PCBP2	-0.845666666666667
NUP205	-1.1935
ACTA1	-0.105666666666667
GABBR2	-0.9605
PIP5K1B	-2.065
AGXT	-0.811833333333333
RNF181	0.32775
ATP8A2	3.48375
AFTPH	1.422875
FGF21	-0.04675
FCER1G	2.219
SNTB1	-1.34175
SLC24A3	2.813625
TXNL4B	-0.8883
RPL10L	-0.861333333333333
LOC389517	-1.10235
TSGA13	-0.058
SHOX2	-1.16166666666667
ITGA7	-1.0575
KCNIP2	-0.67
KLF13	-0.2052
ZFAND2A	0.35025
CEACAM1	-0.387285714285714
PFKFB4	-1.28116666666667
MED19	0.90375
LRRC57	0.392166666666667
RNF11	0.88175
ANKRD32	-2.79875
P117	0.31275
OBFC2A	0.0616666666666667
POLD3	-0.445833333333333
RAB18	1.825375
TPH2	0.0361666666666667
PHB	-0.1888
JDP2	1.135
MORF4L1	0.0846
POU2F1	-0.74625
CNNM2	-0.839083333333333
LOXHD1	-0.0863333333333334
ZC3H15	-0.55375
ELK3	0.584666666666667
FAM111B	-0.462
CBLC	3.97533333333333
SBNO1	0.7415
ANKMY2	-0.396
PLEKHA5	-0.2175
DHX58	1.23333333333333
ARCN1	0.0693333333333333
TREML1	0.7076
KNCN	0.5415
SEC24A	-0.76775
PSCA	1.86675
MGC24125	0.181833333333333
DNA2L	-1.75825
CIB4	1.740125
HIGD2A	-0.397833333333333
TBX6	-0.36
TTLL5	-0.6285
SGK3	0.153
GCN1L1	-0.3725
AMOT	-0.1396
LDOC1	0.635166666666667
NRK	-0.075
ASB9	-3.429
NAT1	3.2334
TRAFD1	0.70975
PEAR1	0.279
FAM36A	-1.027375
OR1S2	0.0378333333333333
LOC388323	-1.613
PGS1	-0.142666666666667
LEPREL1	-3.40775
TFF1	-3.26058333333333
HAP1	0.22925
EPHB2	1.20475
ACTG1	0.815166666666667
ZFP42	-0.9605
HAVCR2	1.4198
NME1	-0.7845
SNX26	0.287333333333333
LACTB	-0.027
ZKSCAN2	-0.15025
C5orf35	0.0835
ANKS3	-0.22375
RBM28	-0.90875
DKFZP586P0123	-0.63275
HNRNPA1	-0.615333333333333
BCAS3	-1.17391666666667
FLJ20184	-0.32
POLA2	-1.26183333333333
TMC7	-1.1865
HSD17B6	0.999
ZNF658B	-0.5115
TTTY10	-0.2575
RANBP9	-0.33225
CPNE7	-2.22766666666667
EVL	0.953235294117647
LNX1	-0.0341666666666667
IFNA21	-0.525166666666667
CFD	0.6965
PYCARD	1.064
MYBPC2	-1.5345
ENPP3	-2.23316666666667
ACSL4	-1.267
LOC440258	-0.365666666666667
TMEM176B	4.45416666666667
SOX2	-1.623625
SCO1	0.129166666666667
COMT	-0.86925
AOC2	-0.064
PDLIM5	1.13707142857143
SPHK2	0.668
NXPH2	1.1335
GPR108	0.866
RAD51L1	-0.373
TMEM54	0.4165
LETMD1	-1.15488888888889
SLC6A17	0.3755
KRT75	0.2295
STT3B	-0.873666666666667
CD3EAP	0.966
TMEM63A	0.34525
DUSP13	-1.03875
CD1C	-0.1215
LASS2	0.229666666666667
AVP	1.35
PITPNM1	-0.08225
FLJ22795	-0.5995
MCTP1	-1.86875
TRIM68	-0.109333333333333
UCK2	-0.7265
ABHD1	-0.1845
FAM50A	0.1605
RNASEH1	-0.917666666666667
PCP2	-0.5275
OR52H1	-0.0195
C20orf149	1.663
RBP5	-0.3325
HYAL3	-0.27375
CLPB	-0.09625
SMNDC1	0.03275
DONSON	-1.94316666666667
FLJ27523	-0.21
BARHL2	0.2425
SLC30A9	-0.000166666666666671
TMPRSS11B	-0.918
E2F8	-1.48
CCDC25	-0.347416666666667
C14orf48	0.2522
C20orf116	1.109375
TSPAN11	0.333
YIF1B	-0.675666666666667
FAM12B	0.4025
OR1L6	0.5015
HPN	-2.2322
NBN	1.667375
C14orf94	-1.75333333333333
OCLM	0.681
ZSCAN18	2.5879
L3MBTL	-2.8858
TSTA3	2.91533333333333
RAC1	0.782
C19orf15	-0.00116666666666666
NFE2	-3.37875
KLK14	0.898
ARSF	-0.0795
MAST2	0.108
AMICA1	2.2985
GTF2A1	0.32475
ATP1A3	-0.40775
TC2N	3.4377
PNKP	0.93725
ODZ2	0.075
MATR3	-0.000875000000000015
S100P	-1.2915
KRT82	0.684
CA13	-1.0798
PROZ	-1.62366666666667
AASDH	-0.01575
C19orf40	-0.3305
DCK	-0.939
FAM5C	-1.7375
SLC6A4	0.6565
MID1IP1	-0.208
TESSP5	0.196
TMOD4	-0.00616666666666666
DOCK2	-0.692833333333333
TUG1	0.434875
NUP214	-1.04225
DPYSL2	-1.06463636363636
GOLM1	1.81458333333333
MPFL	-0.06375
SOX13	0.70275
SDCCAG8	0.3405
KEL	-2.32266666666667
NUP210L	-2.434
GK	-1.492875
DNAJB1	1.064
ALPK3	1.4125
CHID1	1.0064
CYLC2	-0.110166666666667
IKZF5	-0.09775
C8orf51	2.45616666666667
PPM1J	1.65975
GIMAP8	2.31966666666667
GPR101	-0.3395
NR2F1	-0.544
ACAD8	0.35775
RBM35A	3.0145
GNAI2	0.0573333333333333
METTL8	-0.536166666666667
SLC39A7	-0.487
FBXO8	0.1045
CAMK1	-0.90375
RFC3	-1.705125
FAM129A	-0.155357142857143
ILF2	-0.64175
FGFBP3	0.464875
NOM1	0.0343333333333333
PSMA3	-0.46675
ASCC3	0.1204
ZYG11A	0.947
SOX21	-1.52385714285714
LYRM1	0.15325
DEFB1	1.6285
LOC91431	-3.22516666666667
OR7C2	2.475
FAM46B	1.1255
TMEM18	-0.706875
ARHGAP30	1.18983333333333
TMEM86A	3.44366666666667
EPHA2	-1.41733333333333
C10orf46	1.4028
TCHH	0.721833333333333
C3orf30	0.3176
LOC285636	-0.729666666666667
PAIP2	0.03975
CYP2U1	-0.307
C12orf34	0.07
SARS2	0.1305
ZCWPW1	-0.194
SAMD12	3.690125
KIAA1430	-0.3915
ACAT1	-0.72975
MEOX1	2.26316666666667
ADAMDEC1	5.93
PHKA2	-0.86325
CARD11	-0.934666666666667
CALML4	-0.9835
TSSC1	-0.672
TMEM45A	-0.871444444444444
MPP7	2.18375
POU1F1	0.072
SLC2A13	-0.2007
FBN2	0.331571428571429
ZC3H7A	-0.2296
LAIR2	-0.12125
ST3GAL1	1.70016666666667
LCT	-2.854
GEMIN8	0.879333333333333
KLF16	0.9195
HIF3A	-0.3494
FAM44A	-0.119
AQP10	-1.0833
PLA2G2A	-0.6405
FOLH1	0.381833333333333
C20orf186	0.146
MAPKAP1	-0.938625
SPRR2D	-1.00075
UBQLN4	-0.0526666666666667
RSHL1	0.666333333333333
PIAS3	0.54525
MRPL24	0.57475
GREB1	-0.148625
FAM27E3	-2.3015
NUP62CL	-1.76275
NEUROG3	1.8175
REEP3	0.865333333333333
MARK1	-1.118125
LMBRD1	0.319
PRPF19	-0.2505
PNMT	0.601166666666667
CTGLF1	-1.519
SLC25A16	-0.388
EIF2B3	-0.4705
RPA2	-1.02375
PAK6	0.703333333333333
CCDC26	-3.744625
SEMA3E	2.673875
MXD4	0.9658
TNFSF10	2.923
SMARCB1	-0.2815
DTX3L	1.12366666666667
PLA2G4E	0.3905
PPAP2A	0.37575
ULK1	0.247666666666667
TAS1R3	0.2075
SLC2A3	-2.44136363636364
ARID3A	-0.9755
GNG5	0.689
ACOX1	-0.1683
KIF5B	0.2655
NUP153	-0.39025
MUC7	0.7535
CSDE1	-0.8735
CLPTM1	0.76325
C3orf23	-0.50825
LRRC17	-0.875833333333333
TTYH3	-0.07375
ATP5B	-0.927
ELF3	2.8812
CPSF3L	0.0765
ZNF665	0.910666666666667
TLR6	0.2898
GPI	-0.19425
RAD9A	-0.40075
NDST4	1.5765
AGPAT3	0.226166666666667
MAGI3	0.754833333333333
ADORA2A	0.227625
CACNG7	0.3895
CAMK2D	-1.18457142857143
CCHCR1	-1.2855
RPS27A	-0.9105
OR10G7	-0.433666666666667
GCM2	0.064
FAM135B	0.4603
E2F1	-1.0835
PLCB3	0.9625
OR2AE1	-0.434
COIL	-0.180833333333333
CDC25C	-1.835
RAB11FIP2	-0.25975
TSC2	0.87275
CTGLF5	-2.1035
CCDC108	0.6114
OR13C4	0.2395
C10orf81	5.952
PTPRB	1.192
ACP2	1.1785
LAG3	1.23075
MRPL54	0.41075
LOC201175	1.9235
ITGB1BP3	-1.33775
SPTAN1	-0.148666666666667
SIPA1L2	0.09125
RCAN2	-0.5105
CDX2	-1.2565
ECOP	0.73325
ACTR1A	0.371285714285714
PPARG	-1.22566666666667
BBS10	0.05
TMEM44	-1.095625
BPIL2	1.04
CITED1	-0.272
IRF6	4.555
PRDM4	0.679333333333333
RRP9	-0.413166666666667
OR10H4	0.57175
IL31RA	-0.38125
GNB1L	0.286333333333333
MYBL2	-2.14425
ZNF407	0.498333333333333
PPIG	-0.132833333333333
TTC18	1.44175
RPSA	-1.0765
MAPT	1.579875
MRE11A	-0.238285714285714
C8orf37	-0.347666666666667
RASGEF1C	-0.499166666666667
STBD1	1.112
CTAG2	-0.5855
MGAT5B	-1.686
ECM1	0.362875
RLN1	0.247
PARP14	1.6536875
EPB41L1	2.1194
HOXA3	-0.497833333333333
MAGEA9	-3.9695
RPS8	-0.187
RPS19BP1	0.09725
FOXJ2	0.285875
C10orf76	0.74775
IL17RE	0.918
C10orf65	-1.8725
ZNF343	0.9925
FBXO33	-0.133875
UHMK1	1.2986
LY6G6C	0.229
FGF19	-2.19725
C14orf128	0.285333333333333
IFIT2	2.86925
TIGD1	-0.50075
S100G	5.6515
GUCY1B3	1.175
NR3C1	-1.1859
CORO1B	0.335833333333333
PARP11	0.57425
DNALI1	5.56516666666667
OR4N4	-0.08175
MAP2K6	-0.517833333333333
FSTL4	0.50425
ANKRD47	1.0955
TMEM171	-0.808
PNLIP	2.30125
YY1	0.0431666666666667
CCDC138	-1.01433333333333
AASDHPPT	-0.00519999999999999
CKS1B	-0.5841
MCM3	-1.29683333333333
ANAPC7	-0.185666666666667
FAM110A	3.6035
CDC37L1	0.682833333333333
THTPA	-0.01675
NBPF20	-0.901
WDR24	0.37775
NPTX2	-1.85625
CBLB	1.10266666666667
CETN1	0.741
RPUSD1	1.306
FAF1	0.28825
CDK6	-0.9242
HMX2	0.138
CSK	-0.190666666666667
TEAD2	1.44425
SNAP25	-1.32133333333333
TUFT1	1.5494
TMTC3	1.79833333333333
LCK	-1.82925
SGOL1	-1.64533333333333
AKTIP	0.45175
FURIN	0.7815
SOX12	0.0766666666666667
DEFB103A	-0.49025
RAMP1	3.76875
KIR3DX1	0.738
GAS2L3	-0.4185
PDE8A	-0.6584
EDN3	1.64275
GMIP	0.72325
SF3A2	1.07725
FN3KRP	0.15475
SMAD7	0.52725
RHBDD2	0.74625
OR11H6	0.5695
PPP1R3B	0.6186
C9orf23	-0.7985
CADPS	-2.2375
GOLGA8A	-3.7365
TMEM57	0.704833333333333
RGL3	-1.845
S100A14	2.5915
FGFR2	0.402
XRCC3	-0.6215
RTN4RL2	0.93675
MGC3771	1.551
GH2	0.502833333333333
BTBD2	0.361
LMO2	-0.2295
RDBP	-0.432375
ACRBP	-1.424
AMY2A	1.54775
DUOXA1	1.089
PTK7	0.7705
TWF2	0.360333333333333
FAM80A	3.59975
TNNI2	-2.38566666666667
GLT25D1	-0.592333333333333
OCC-1	-0.4095
CYC1	0.713333333333333
RPL22	-0.535409090909091
MORN3	1.5485
DISP1	-0.4775
PRB2	0.247
CHUK	-0.23075
HR	0.98575
CCDC134	-0.41
DENND4B	-1.34525
C14orf130	-0.665375
RAB33A	-0.782
DCST2	0.143
TNMD	-1.37125
PEX7	1.0205
FAM62A	0.598375
SRD5A2L	1.0795
IL22	0.21
RPS26	-0.425333333333333
HOXC5	0.326
SPATA6	1.152
FLJ38482	-0.140375
ZNF234	0.4955
C18orf22	0.28325
SPATA22	0.00525000000000003
THOC1	-1.216
CYP7B1	3.3185
KCNC3	0.80775
C8orf42	-1.51
ALDH1B1	-0.0356666666666667
CCDC100	-0.367
ARMC4	0.69575
FAM18B2	-0.02525
SLC44A1	-0.2095
FBXO17	-0.655333333333333
C6orf107	-0.753
C19orf29	0.1115
ZC3HAV1L	0.0830000000000001
PARP6	0.2611
SULT2A1	-4.61825
C1orf159	-0.1865
TMC1	0.637
CHST14	-0.364875
GAMT	-3.25083333333333
SMCP	0.257166666666667
TSPAN33	0.634166666666667
MIDN	0.875625
NOX4	2.3615
RNASEN	-0.6913
TBX1	1.2105
SALL2	-0.64325
C10orf35	-2.15625
CYP2E1	0.61425
LRFN2	1.79416666666667
ACO1	-1.2465
IQCG	0.5829
MEGF9	0.444
TM7SF4	2.84075
PLEKHA1	0.526333333333333
STK33	-2.88825
C1orf210	2.85825
SNUPN	0.0203
KIAA0406	-0.4646
C20orf29	0.68875
TMEM55B	-0.1885
OSTM1	-0.8930625
CLCN7	1.096
OTP	0.14425
FLJ23049	2.7875
HEATR4	1.828
MAP3K10	0.917
PCDHGA9	0.3595
AMDHD2	1.231
LCTL	-1.8175
PDCD2L	-0.52425
CABLES2	1.1655
SLC5A9	-0.8505
CLCA2	0.455333333333333
MGC16025	-1.3635
STRAP	-0.601333333333333
C20orf196	0.074
RRBP1	1.4165
NAT13	-0.7025
MAT2B	0.084125
CSNK1D	-0.365
KIR3DL1	0.66175
PRKAG3	2.412
ZNF599	0.2365
PRM3	1.5515
PER2	1.4825
ASPHD1	-1.1455
PRMT6	-0.56275
KCNE1L	-0.719428571428571
FAM118A	-0.405166666666667
TAF4	1.55025
NDUFB6	-1.116
TRIM9	-0.312916666666667
PMFBP1	-0.61225
KY	0.096
DKFZp762E1312	-2.60427272727273
CSMD1	-1.7045
TBP	-0.396333333333333
OR1Q1	0.278
RETNLB	-0.01075
HPGD	-0.0477857142857143
DNAJC12	-1.49783333333333
FKBP1B	-2.0225
ANKRD24	-0.458833333333333
CXXC5	1.8075
IL3	0.27125
DRAM	1.6006
PTCH1	-1.86
TP53BP1	0.16725
SLC17A7	0.19175
COL25A1	-1.8292
AMACR	-0.1645
RHCG	1.203
VPS13A	-1.44483333333333
FAM55D	0.587
PRPF38B	-0.926833333333333
OSBPL6	0.30025
PFDN5	0.2481
CMTM6	0.84325
KCNK12	1.81475
RP2	0.74875
C16orf52	-1.33875
PICK1	0.385
IFNE1	-1.4275
SEMA4B	1.006
TYRO3	-1.65125
OR12D2	-0.102
CSNK1A1	0.621
FANCF	1.34175
LONP2	0.808125
TBL1Y	-0.284
LDOC1L	-0.268375
CCNC	-0.32175
C3orf60	-0.24375
CHKA	0.12625
UBAP1	0.099
MAP3K1	2.3005
ANKRD9	-0.79875
FAM92A1	0.605833333333333
GAB2	0.80575
AZU1	-0.1435
DIS3	-0.456583333333333
C21orf109	-0.7215
IQCB1	-0.8895
SPATS2	-0.205666666666667
EFCAB3	-0.04725
PRB3	1.12275
FUZ	1.00583333333333
ZNF813	1.462875
BMPER	-1.12933333333333
HEG1	-0.2485
ALS2CR11	-2.0425
SURF2	-0.3565
PSMC1	0.0399166666666667
OR2D2	-0.2075
SLC7A8	1.2635
C4orf40	-0.2425
SPATA7	-0.227
MAZ	0.0880833333333333
PIN4	-0.01075
PDE1A	-1.584125
TAF6L	0.377
OR2T34	0.4865
KIAA0284	0.3415
ACADS	0.168636363636364
MKRN2	-0.595
C18orf56	-2.86
MS4A6E	0.2885
GALNT4	1.585
C22orf31	0.1565
FLJ36070	0.5085
PSME4	0.1525
TFG	-0.3663
EPHX2	-0.167
ANXA5	-0.56225
KRTAP1-1	-0.1882
BATF	2.02375
KARS	-1.53075
MSTP9	-0.618
GPR26	2.47
CCDC72	0.2785
TEF	0.347666666666667
FOXK1	-0.6055
PRLHR	0.4145
EMX1	4.686
C11orf30	-0.382625
ICK	0.1915
THSD7B	-0.30425
C21orf100	-1.823
DUOX1	1.319
EFCAB4B	0.05575
UBE2G2	-0.504333333333333
C3orf54	-0.192
PARP1	-1.11025
FAM60A	-0.411916666666667
C6orf146	0.08575
OR9K2	-0.1625
DDX55	-0.639
RPS15	0.0385
ZNF618	-0.1171875
DKFZp686D0972	1.05075
SSPO	0.9125
SHFM3P1	0.158
CPA6	-1.04025
JAG2	0.952
DEFA3	0.69775
PPBPL2	-0.00359999999999999
CD34	4.00975
SLCO4A1	-2.8415
AFG3L1	-1.73433333333333
SHD	-0.13975
RP13-122B23.3	-0.8555
PRKCSH	-0.252333333333333
DPH5	0.0343333333333333
HLA-F	1.793375
TBC1D4	-1.2915
RIG	0.206166666666667
GLUD1	-0.503666666666667
HNRPCL1	0.586625
HBXIP	-1.087
RNF207	-2.1355
APIP	-0.76925
PLA2G3	-3.52366666666667
CCDC84	-1.2535
MYLIP	-0.0634615384615384
PHIP	-0.40375
AARS2	-0.598666666666667
DHX32	0.543
SCAPER	-0.809
MEN1	0.207375
NIP7	-0.97825
FLJ25404	0.704
FASTKD3	-0.5875
TMEM158	-1.54541666666667
RARA	2.02225
BDH1	-0.48
ANKRD16	0.75
CARM1	-0.0685
SS18	-0.218666666666667
IKZF2	1.05633333333333
MYD88	0.591375
PML	1.0939
TAF1A	-1.902
CBFB	-0.793625
HIST1H3H	-1.55016666666667
C7orf29	-0.143
COMMD4	-0.387166666666667
DPP3	0.10425
DAB2	0.5805
LOC388882	-0.448
YPEL4	-0.815
AGBL3	1.2845
LRP6	0.2859
SERPINH1	-0.104166666666667
TLE1	-1.064
CD244	0.128666666666667
ZDHHC15	-1.213
MGLL	0.2574
PLDN	-0.391666666666667
LOC654346	2.164
FAP	3.17575
GPR37	-1.4355
SCARA5	0.824333333333333
EBF4	2.88218181818182
LSM6	-0.78275
MLLT1	0.1929375
SLC5A12	1.7925
A2BP1	-1.83466666666667
COPS5	-0.1055
TPM4	-0.139928571428571
TNFSF4	1.374
ACADSB	0.243444444444444
HERPUD1	-0.76675
BCL2L11	-0.647277777777778
CEP78	-1.795375
CDCA3	-1.3935
WBSCR19	-0.6478
MYO1A	-2.513
PPEF1	1.0265
LOC440348	-0.6835
CPEB2	0.302375
BPTF	-0.726416666666667
RPL21	-0.169
GSX2	0.458
ADPRH	2.362
C17orf68	1.0365
KCNS1	-0.745166666666667
MLLT6	-0.1235
PIWIL4	0.242
RNF26	-0.39775
RAP1B	0.3735
ADAMTS1	-0.6828
ZNF571	0.4895
P2RY6	1.8445
TRIM21	1.36516666666667
CADM3	0.361
NLRC5	0.3475
ADRA2B	0.242166666666667
LOC90835	0.84025
PCF11	-0.3285
LOC400451	2.187
GLTSCR1	1.0533
C17orf88	-0.7865
CDH16	-1.40975
FGF7	1.807375
PCSK4	0.5705
NPC1L1	0.0405
TAT	0.31225
TBCA	-0.43975
MGC33407	-0.12025
GPR115	0.439875
CYGB	0.2535
FNBP4	-0.729333333333333
C12orf43	0.52475
CBL	-0.0582
CLECL1	1.59175
PPAPDC1A	2.5255
WDR25	-0.139833333333333
SGCA	0.1245
C22orf29	0.3272
YIPF1	1.56975
GALK2	-1.27025
RAB3B	-2.75341666666667
LOC440087	0.60675
UCP1	-0.718
REEP5	1.06825
FADD	0.6173
FOXA1	2.22825
CACNA1A	0.733333333333333
ABI1	0.796333333333333
GRIN2D	1.3205
SLC1A4	-1.299
LOC401127	-1.24275
HINT2	-0.673
PLD4	0.768666666666666
ZNF286A	-0.26425
ENY2	0.9695
IL1F6	0.1645
PXDNL	1.85575
C20orf79	-0.0225
TNFSF13B	3.182
DENND3	1.30225
JARID1D	-3.529
HIST1H2AK	0.124875
LOC93349	0.6575
SSH1	-0.0228
ENSA	0.162
LOC219854	0.355333333333333
CKAP2	-1.4465
DKFZP564J102	-0.427666666666667
MGC87315	0.9215
HNRPAB	-0.308
AMH	-0.372
ZNF526	1.2935
BRUNOL5	-0.233
CACNG3	0.241666666666667
TRPM1	-2.9545
PPP2R1A	1.253875
COL2A1	-1.03375
DDN	-0.299166666666667
FLJ25770	1.16216666666667
HK2	-0.894571428571428
ELOVL6	-1.289875
MDK	-0.64175
EPHX1	1.73625
RASSF2	1.335375
DKFZP434B0335	-0.9465
DLX3	1.293125
PRTN3	-0.7045
AVPR1A	0.28825
C21orf125	-2.59125
TNFAIP8	-0.627166666666667
GNB2L1	-0.721
CALCRL	2.4125
SCGB2A2	7.98766666666667
UBXD7	-0.42275
ZNF674	-1.172
TMEM35	0.413375
BRSK2	-0.331875
HECTD3	0.8815
TMEM188	-0.0738333333333333
LGALS9	2.351
SCARB2	0.874916666666667
USP34	-0.161583333333333
C17orf28	2.07516666666667
ZDHHC23	-0.6465
AQP12B	-0.0145
SLC16A3	-0.381875
APLP2	0.53475
ITIH2	-5.29125
MICAL3	-0.59175
TNNI3K	0.3226
HDAC2	0.171125
PRR7	1.0669
THBS2	0.262625
LOC751071	-0.731666666666667
CA2	-2.02483333333333
RANBP17	0.33225
RLN3	0.3145
CRYZ	0.567166666666667
GBAS	-0.137833333333333
TAS1R1	-0.1635
MPZL3	1.572
PCDH8	-1.92925
HSP90B1	0.130833333333333
KCNK15	2.241
TNIP2	0.366333333333333
GPR146	-0.94325
NOL6	0.063375
SPC25	-2.23911111111111
STEAP2	2.053
VAMP3	-0.501333333333333
TCIRG1	-0.46475
ZP4	0.235
PARL	0.267625
TRIM39	0.359333333333333
KIAA1305	1.7085
CRNN	0.197166666666667
GRN	0.88275
HSH2D	-0.7555
SCAMP1	0.1721875
KIAA1913	1.48425
PTS	0.111
BANP	-0.195571428571429
PRKACG	0.134
ADCY6	0.357666666666667
C16orf46	0.438
CYP51A1	0.179375
DDC	-4.45275
ANPEP	3.21116666666667
PROM1	0.316833333333333
SIGLEC10	2.18675
COPG	0.727
FAM26E	0.725375
TRIP4	0.3855
SNX3	0.091
C1orf175	0.324333333333333
PPY2	-0.0225
C14orf152	0.39975
FTSJ1	-0.775166666666667
DST	-0.0995
LOC554235	0.07475
GLRX5	-0.11875
C20orf12	2.3412
CAB39	0.310166666666667
MSH2	-0.777666666666667
PIP4K2C	1.427375
CYLD	0.868375
WTAP	0.6796875
MGAT4A	1.00044444444444
TSC22D4	-0.0926
CHRM2	-1.975
PPYR1	0.229666666666667
CCNH	-0.867333333333333
RRM1	-0.69325
ECAT8	-2.73825
LOC400120	0.0395
GABRA4	-0.26225
C14orf4	1.41733333333333
C1orf59	0.4035
CTDSPL	-0.364416666666667
NHEDC2	-0.913
PDE11A	-1.874625
KLHL29	-1.7945
CD5	0.1721
TSPAN9	1.7711875
WDR67	0.3435
THUMPD1	0.9475
C18orf17	-0.597
CLYBL	-0.720833333333333
FLJ13231	-0.5815
CMBL	0.118125
LECT2	-0.4705
NKAPL	1.3525
LOC654780	0.609
OR4C6	-0.968
RAB30	1.7965
TSSK4	-0.7615
TMEM163	1.6885
OSBPL11	0.710916666666667
GNB5	-0.8095
CCL21	2.36975
C1orf121	-0.72
FMO2	2.187
RPTN	0.824
MSTN	-1.9985
VCL	0.467428571428571
FYTTD1	-0.197
C11orf1	-0.64175
CCDC88C	0.1566875
HFE	-0.925444444444444
MOGAT1	-0.083
FAM125B	-0.37
IRGQ	1.328
RAVER2	0.73775
AKAP5	-0.944
SSSCA1	0.059
C11orf63	-0.6745
ACTG2	0.9893
PORCN	-1.276
DTL	-2.422
TMEM151	0.984
FAM122C	-2.596
RSAD2	4.7649
BAT4	-1.07
KRTDAP	-1.83633333333333
MYH8	0.395875
CRTC3	0.6105
LRRFIP2	0.1479
INTS4	-0.2025
TTN	-2.28183333333333
SLC26A5	0.646
PLLP	-1.63475
RGS6	0.315625
SRGAP3	-0.11175
ZNF525	0.936166666666667
NBR2	-0.908166666666667
C13orf1	0.1403
ZNF137	0.8065
CEP27	-1.51375
BEST2	0.7975
RNF121	-0.3515
DMRTC2	0.98425
C8orf76	1.8325
BCCIP	0.218
MEST	-2.00875
HTRA2	-0.3325
ANGPTL2	0.484
ILKAP	0.0176666666666667
ERAS	0.244
HBS1L	-0.844125
CPA5	-0.445
TMEM30A	0.733666666666667
CD300LF	2.199
WISP3	3.8665
CRK	0.888571428571429
PDS5A	-0.2035
BRPF3	0.145
NEDD9	-0.9445
SMPDL3B	-0.43425
PSG6	1.64225
PSMD13	0.91425
ETV5	-2.081
OR51A4	0.396
BTBD7	0.49875
GSTO1	-0.8625
hCG_16001	0.18
MAD2L1BP	-0.239166666666667
COX6A2	1.5
SCNN1A	2.09383333333333
LSM1	1.86233333333333
UGT2B11	-3.11
IDUA	0.39275
PPP2R3C	-1.05883333333333
COX11	-0.826
PDZK1	2.578
ZNF443	0.0271666666666667
MGC21874	1.3285
ZNF323	1.7977
KRTAP10-10	0.3415
CXCL6	0.255
SLC34A2	2.2199
LOC284402	0.5245
NPTN	1.41741666666667
UPP1	-1.463
SLC6A9	0.112
OR7G3	0.07925
CISD1	-0.452833333333333
ZNF545	-0.0111666666666667
SYT14	-0.982
NT5C3L	-0.6935
ZNHIT3	-0.232333333333333
SNRPD3	-0.11
KIAA0701	0.21125
UNC93B1	0.63
GMNN	-2.1545
SPCS2	0.733333333333333
LOC388524	-0.2585
NAPRT1	0.0305
PNLIPRP1	0.15675
OR6V1	0.916
PRKAB1	-0.17775
EYA4	-3.253
KIF20A	-2.32125
ALG10	-0.09425
ITPKC	2.01883333333333
LMX1B	1.03833333333333
RPUSD4	-0.306166666666667
C7orf34	-0.00649999999999999
DLGAP2	0.187375
PFN1	-0.0567
MICALL2	0.0954166666666666
ZNF654	-0.363
SS18L1	1.23025
SLC16A8	0.1895
MKI67IP	0.277833333333333
ITGB3	-0.143625
TCEA3	1.56158333333333
CEP152	-2.3834375
CLIP1	1.671875
ZNF75	0.1654375
ATP5C1	-0.175833333333333
NUDT5	-0.225833333333333
PSCDBP	0.65075
UBP1	0.246
RBM27	0.30125
C13orf15	2.292125
ZNF282	0.408
ZNF222	-1.6296
COL10A1	6.1865
PRDM15	-0.70275
TTTY5	-0.622
FAM9C	-0.774916666666667
C20orf67	0.149
GNG13	0.7185
F12	-1.29225
C1orf41	-0.15525
CPXCR1	-0.121
GSK3A	0.943625
SUPT6H	0.326333333333333
PI16	0.634666666666667
ELL2	-0.838833333333333
C9orf167	-1.74983333333333
PVRL3	-2.1593
FLJ38596	0.35225
ADAM20	-0.738
GPR89A	0.27
GPR87	1.032
ZNF30	-0.16775
SMR3B	1.1315
ZNF770	-0.034875
TRPC4AP	0.0851666666666667
DKFZP686E2158	0.302833333333333
C2orf28	-0.324666666666667
FREM1	-1.17433333333333
LAMA4	0.015
ADPRHL2	1.892
EIF4G2	0.917
GUCA1A	-0.011
CTNNA2	-1.98571428571429
NUDT15	-0.590333333333333
CEPT1	-0.0293333333333333
ZNFX1	1.3727
CCDC92	1.1995
TDRD1	-1.861
KCNK5	0.981333333333333
ETNK1	-0.0464166666666667
LTA	0.425
TTPA	0.443166666666667
B3GALNT2	0.151375
SC65	-0.258
PEX5L	-1.61975
EPS15L1	1.02825
MGEA5	-0.61275
HIST1H3A	0.80975
ING1	-0.19275
BCAT1	-2.47225
ORC6L	-2.02845454545455
KLK11	-2.9475
C19orf28	-0.4485
DNER	-4.181125
MED22	-1.06107142857143
ETV6	1.04316666666667
CHAC2	-2.2355
CD300E	0.4055
CEBPB	1.96566666666667
ZNF398	-0.04675
LRCH3	-0.38
HMGA1	-1.20316666666667
CAPN7	-0.687666666666667
MGC5566	-3.43675
CCL3	3.196375
NANOS1	1.148125
ZFYVE19	-0.143
APITD1	-1.45333333333333
PARD3	-0.46275
IRAK4	-0.190833333333333
SERPINI2	0.403
CEP170L	-0.15875
TTC9	3.565125
MYOM3	-1.535
MLPH	1.183375
LOC222699	-0.715
NRG1	-1.72433333333333
TBC1D9	2.748
TTK	-1.84033333333333
ZNF557	0.4492
DDX41	-0.0528333333333333
