Hybridization REF	TCGA-B6-A0RE-01A-11R-A056-07
LYPLA3	0.3645
CASQ1	-0.09325
SLC25A40	-1.12916666666667
IRAK1BP1	0.928
ACOT6	0.0885
COL9A3	-1.48375
ASB11	0.5785
C2orf18	1.357
FOXD2	-0.68275
C6orf211	-1.79025
OR8G1	-0.442166666666667
MDGA1	-0.04325
ADARB1	-0.08775
GGT1	0.612
WNT1	0.033
DBP	-0.495375
COL5A3	1.56325
RHOD	1.07675
COL4A2	2.4775
LOC201164	0.27075
HEBP1	0.36375
LUM	1.48125
ZCCHC6	0.70625
PAGE1	-4.2605
DTX2	0.7685
SLC7A13	-0.23325
H3F3A	0.4665
RABIF	1.3865
D4S234E	-2.21166666666667
DYRK3	0.663333333333333
PFAS	-1.87566666666667
ALOXE3	0.206833333333333
RPLP0	-0.121428571428571
RBM34	0.198833333333333
C12orf28	1.8685
U2AF2	-0.114333333333333
MKNK2	0.4474375
SEC16A	-0.152166666666667
ZNF44	-0.201444444444444
YWHAG	0.6675
IGF2BP2	-1.86633333333333
OR1D5	0.429
SIX6	-3.5185
CCR6	-2.2035
PALM	-0.6025
PUM2	0.734357142857143
SPRYD5	-1.631
ALG10B	-0.834125
ZNF365	4.9105
PHC1	-1.8535
KIAA0913	0.08975
ARX	0.434625
PPP3CB	0.155166666666667
IRX6	0.8669
ANGPTL4	0.1625
LSM14B	-0.1817
PCDHGB7	0.5105
INSM1	-1.18033333333333
WBP2NL	-0.1515
ZNF493	-0.6761875
NGEF	-0.5755
RNASE13	0.195
SPPL2A	-0.598333333333333
SFXN1	-1.76375
FAM102A	1.255125
SAPS2	-0.223833333333333
JTV1	0.1005
OR51B4	-1.8555
SCGB1A1	0.269
NEUROD2	0.182375
tAKR	-0.37425
C1orf26	0.68475
RICH2	-2.3655
TEDDM1	-0.31675
CYP2S1	-0.662
TBCE	0.0925
MAPK1	-0.69475
HDHD1A	-0.76675
MRM1	-2.17
ATP9A	0.380071428571429
HSD17B3	0.117333333333333
HN1L	0.104916666666667
RNF216	0.584375
HOXD12	-0.833
PPP1R14B	0.69625
SBF1	0.5325
TAS2R42	-0.489
USP46	0.439
LILRB3	1.90266666666667
SPI1	1.121
OXSM	-0.05125
GYS2	0.417833333333333
NUPL2	0.042
C8orf46	2.2675
SF3A1	-0.20725
C21orf99	-0.43325
HOXB4	-0.5967
YRDC	0.03075
GPRC5D	0.429
BLVRA	-0.94525
KIF12	1.352
LRRC23	-0.54225
FAM14A	-0.227166666666667
RASL12	0.28725
DAZAP2	0.1355
IKBKB	1.26585714285714
ZNF271	0.191833333333333
BOK	1.07375
CXorf6	0.6265
MYEOV	3.076
BTN2A2	-0.5028
FRG1	-0.678
HSP90AB6P	0.22275
ENOX1	0.852333333333333
ZNF706	0.457
DOK1	-0.6843
PGAP1	-0.811125
TMEM136	-1.4685
FSCN1	0.9445
KIF17	-0.9285
TRIM66	-0.178
CBR3	0.560166666666667
C13orf24	0.278666666666667
C19orf52	0.47125
BNIP1	-0.12
AQP3	-2.3125
KRT6C	3.27483333333333
SIRPA	2.07816666666667
IGFBP6	-2.19033333333333
PLEKHK1	1.574125
RNASE7	0.0805
ARHGEF15	0.314
NPHS2	-0.15325
SRD5A1	2.24275
REXO4	-1.07825
EEF1DP3	-0.03225
SLC37A2	-0.33325
ZNF142	0.7765
ANKHD1	-1.0395
MUT	0.123
VPS37A	0.2315
GPRIN1	0.64375
SLC38A3	0.13025
BAZ2B	0.62375
WDR87	0.4278
BRD7	-0.67325
POU6F2	-0.7645
NISCH	1.020375
TCEB1	0.52075
LINGO2	0.912
TAX1BP3	0.55025
RPL34	-0.461555555555555
MARK2	1.29683333333333
AKAP12	-1.7561
AMBN	-0.0375
SLC25A27	-0.812666666666667
FLJ21865	0.05425
KIR2DS2	0.202166666666667
WDR77	-0.6
ATF2	-0.28275
ITFG3	-0.370166666666667
SLC39A13	1.1985
ARL6IP5	1.644875
C10orf137	0.00612500000000001
QTRT1	-0.577
CCNT1	-0.44
DYNLL1	0.9538
WDR53	-0.2315
LIPG	2.8385
ASAH3	0.3455
HELB	-0.27275
PHACTR2	0.464375
VENTX	-0.71175
LAD1	3.4075
PAOX	0.581
MAPK8	-0.216
CCDC38	-0.310333333333333
DNAJC8	-0.9978
RBBP8	-1.0135
WNT11	1.1764
KCNJ12	-1.84083333333333
HDAC8	0.1875
STARD4	-2.107
ACVR1	0.948166666666667
C14orf65	0.244
KLB	-1.855
C1orf65	1.095
ZFYVE28	-0.981375
NSUN6	0.53825
KIF27	-0.0281666666666667
SYTL2	-1.645
UBXD2	0.5444
OR6T1	0.2405
CCDC91	0.812071428571429
GRID2	0.309
CALN1	-1.02571428571429
ZNF423	-1.072
PSMB4	0.693666666666667
XPNPEP3	-0.128166666666667
ARPP-21	-2.5627
SART1	0.06525
RACGAP1P	-2.064
SPTA1	-5.89
C6orf113	0.000999999999999996
C7orf16	-3.36025
CHST7	-1.04683333333333
C21orf29	-0.392333333333333
SEMA6D	-2.06075
PCMTD1	0.6138125
KIAA1754	0.138
MYCN	-0.400125
KCNJ3	-0.8545
MAPK13	2.4963
ERO1LB	-0.08975
NTF3	-1.4945
NKX6-2	-0.68525
GTF2B	0.00374999999999999
GSPT1	-1.19866666666667
GUSB	-0.421833333333333
LOC221091	-2.784
LIG1	-1.49275
EXTL3	0.657
NID2	-1.07325
TTC29	-1.427
TMEM97	-0.399
EXTL2	-1.85366666666667
SUZ12	0.022375
IL1F8	0.684
KRT18	-1.827
MRPS16	-0.997090909090909
PI4K2B	0.258
LACRT	-0.00900000000000001
OR51F2	0.568
JMJD2C	0.6255
KGFLP1	0.2895
CDK5RAP3	-0.6389
YTHDF2	0.630666666666667
GGCX	0.29425
ARPC4	0.77425
EGLN2	0.2995
KBTBD4	0.0262857142857143
ROBO3	-0.4366
DEFB118	1.7645
KIAA1543	1.597
RTCD1	-0.142333333333333
MZF1	-1.32725
C18orf26	0.6495
CNIH4	0.294
ZFP2	0.278166666666667
HTATSF1	0.81625
WFDC2	2.5925
NDUFA7	0.169
TTC22	2.00216666666667
FAM40B	-3.921125
DCPS	-0.09875
SH2D1B	-0.896
MRGPRE	0.512
SBK1	0.39475
UNQ6411	0.0585
OSBPL9	-0.4805
NUP107	-2.074
MYOZ3	-0.531
PDE4B	2.62725
FAM113A	-0.9195
IDH3G	0.472
FBXL7	-0.610875
ARFGAP3	-0.42825
MAPRE2	0.643846153846154
IL1RN	0.821
KIF13A	0.642
RAC3	0.359
TCTE1	-0.151
TMEM14B	-0.488333333333333
ADIPOR1	0.567833333333333
GRINA	1.3815
CLIP4	1.8685
LRIT2	0.3395
TFPI	-2.12507142857143
FABP6	-1.4235
SLITRK2	1.524
HKR1	0.45375
SMTN	0.43425
C1orf75	0.99425
CD209	0.145
CYB5R2	3.79075
DNTTIP2	0.319666666666667
CSGlcA-T	1.32625
GABRB3	-2.27975
PCBD1	0.470833333333333
TAF3	1.49925
HOXD3	-0.505666666666667
GIPC3	-0.166833333333333
P11	0.146
BFSP1	-0.32275
LCP2	-0.26925
TAS2R8	0.345
SEZ6L	-1.33
NR2C1	-1.432625
EXDL2	0.357
TNFRSF13B	-2.2695
MKI67	-0.24525
GLS	1.39241666666667
C7orf54	-0.2441
LGALS13	0.179
IL4R	0.26525
SEC11A	-1.16816666666667
SPP2	0.37
C18orf32	0.357
CLSPN	-0.6225
SPAG1	1.19375
C9orf82	-0.2995
TM4SF1	1.56925
EMILIN2	1.9265
SMG7	0.534833333333333
TAS2R13	0.2405
ZNF628	0.1795
DZIP1L	-0.461
ANKRD13A	0.2235
VASP	1.42225
ZCCHC11	-1.492375
SYPL1	-0.510875
MGC34774	0.34725
C4orf28	-0.474625
KIAA1211	0.272916666666667
RPS27L	-1.3105
TATDN3	-0.84425
PDCD1	-0.82625
OR5P2	0.697
IFIT1L	0.285
MIPOL1	-0.07975
OR51D1	0.00900000000000001
C1orf92	-0.9295
LAMP2	1.35866666666667
CAT	0.181
C16orf80	-0.47925
C15orf32	-0.4365
ZNF746	0.21275
C1orf76	-1.944
ATXN1	0.1765
LAMC2	1.883375
SLC2A7	0.041
CPOX	-1.89325
APH1B	0.2125
LOC442245	-1.13375
CTNND1	1.08888888888889
GABRG2	-0.77625
MADCAM1	-0.637833333333333
F5	-3.92225
SEMA4F	-0.0783333333333333
NUDCD3	0.87875
PDZD11	0.527
TRIML1	0.013
GCNT3	-2.58216666666667
TMEM120A	0.72025
CNDP1	-0.4905
N4BP1	0.09775
SLC35F2	-0.14575
LCP1	0.3545
IGBP1	-1.2271
DCAKD	-0.631125
ELA2A	-0.3695
C12orf56	-2.54025
PITRM1	1.70607142857143
GUK1	0.9555
RASSF8	-0.6215625
OR2A14	0.14525
ADM	-1.477
FGD3	0.267833333333333
GHRHR	0.676666666666667
RHPN2	0.619
C4orf39	0.572333333333333
VPS72	1.0445
SERF2	0.211055555555556
CD22	-0.0593333333333333
CD47	0.2312
PPIC	0.534833333333333
IMPDH1	0.61825
ACP6	0.993333333333333
PRKACA	0.571875
PPP1R1A	-1.764875
TRPV3	-0.251
ASXL1	-0.62475
C17orf55	0.749833333333333
FXYD1	-1.51
LMOD2	0.163
ANKRD33	0.24
LCE2C	-0.180125
ZNF620	-0.84
DKFZP566E164	-1.16475
VSIG2	-0.69375
KIAA1128	1.947
USO1	-0.395833333333333
NUDT4	-0.869857142857143
CLDN1	2.08142857142857
OR4Q3	0.068
FASTK	0.0596666666666667
ICOS	1.07633333333333
LDB1	0.9155
GSTA5	0.1905
ABCC1	-0.290833333333333
FAM54A	-0.642
PCBP2	-1.168
NUP205	-0.401
ACTA1	2.08416666666667
GABBR2	1.487
PIP5K1B	-0.817833333333333
AGXT	-2.20683333333333
RNF181	-0.27125
ATP8A2	-1.274
AFTPH	1.183
FGF21	-0.14675
FCER1G	1.431625
SNTB1	-0.59525
SLC24A3	1.161375
TXNL4B	-0.7981
RPL10L	-0.394333333333333
LOC389517	-0.7082
TSGA13	-0.814
SHOX2	0.0785
ITGA7	-1.5472
KCNIP2	-0.497333333333333
KLF13	1.6124
ZFAND2A	0.40225
CEACAM1	0.932928571428571
PFKFB4	-1.6195
MED19	0.8135
LRRC57	0.143166666666667
RNF11	0.44225
ANKRD32	-2.86475
P117	0.14775
OBFC2A	0.3275
POLD3	-0.157833333333333
RAB18	2.218125
TPH2	-0.737833333333333
PHB	-0.6811
JDP2	0.369333333333333
MORF4L1	-0.7286
POU2F1	-1.10975
CNNM2	-0.562166666666667
LOXHD1	0.311333333333333
ZC3H15	-0.09125
ELK3	-0.6105
FAM111B	-0.27825
CBLC	3.31516666666667
SBNO1	0.059
ANKMY2	-0.6105
PLEKHA5	0.064
DHX58	-0.452333333333333
ARCN1	0.146666666666667
TREML1	0.2655
KNCN	-0.493
SEC24A	-0.749125
PSCA	1.0175
MGC24125	0.669833333333333
DNA2L	-1.2085
CIB4	0.301625
HIGD2A	-0.2755
TBX6	0.129833333333333
TTLL5	-0.846666666666667
SGK3	0.1675
GCN1L1	-0.8945
AMOT	1.7532
LDOC1	1.679
NRK	-0.362833333333333
ASB9	-2.67475
NAT1	0.2018
TRAFD1	0.00525
PEAR1	-0.153833333333333
FAM36A	0.316625
OR1S2	0.3985
LOC388323	-1.88525
PGS1	0.388333333333333
LEPREL1	-2.63475
TFF1	-5.06883333333333
HAP1	0.41425
EPHB2	-0.07925
ACTG1	1.18466666666667
ZFP42	-1.124
HAVCR2	0.1956
NME1	-0.5015
SNX26	-0.0313333333333333
LACTB	0.549
ZKSCAN2	-1.093125
C5orf35	-0.35275
ANKS3	-1.03125
RBM28	-0.0445
DKFZP586P0123	-0.56975
HNRNPA1	-1.1275
BCAS3	-1.60233333333333
FLJ20184	0.3435
POLA2	-0.828166666666667
TMC7	-0.420166666666667
HSD17B6	0.897
ZNF658B	-0.392333333333333
TTTY10	-0.470833333333333
RANBP9	-0.433916666666667
CPNE7	-3.3045
EVL	-1.22117647058824
LNX1	-1.185
IFNA21	0.25
CFD	-1.7825
PYCARD	0.932166666666667
MYBPC2	-1.6865
ENPP3	-3.44966666666667
ACSL4	-1.74925
LOC440258	-0.692333333333333
TMEM176B	3.7065
SOX2	-3.054625
SCO1	-0.734833333333333
COMT	-0.01425
AOC2	-0.015
PDLIM5	1.19335714285714
SPHK2	-0.172666666666667
NXPH2	-0.023
GPR108	0.953
RAD51L1	-0.2545
TMEM54	1.4195
LETMD1	-1.95644444444444
SLC6A17	0.53675
KRT75	3.0015
STT3B	-0.543666666666667
CD3EAP	0.797166666666667
TMEM63A	1.168
DUSP13	-3.17175
CD1C	-2.96933333333333
LASS2	1.23516666666667
AVP	0.7865
PITPNM1	-1.32125
FLJ22795	-0.3915
MCTP1	-2.658
TRIM68	-0.471333333333333
UCK2	0.872
ABHD1	-0.4155
FAM50A	0.8
RNASEH1	0.215166666666667
PCP2	-0.8905
OR52H1	0.5715
C20orf149	-0.0945
RBP5	-2.35766666666667
HYAL3	1.36925
CLPB	-0.08525
SMNDC1	-0.10225
DONSON	-1.08966666666667
FLJ27523	0.462
BARHL2	-0.226833333333333
SLC30A9	-0.0135
TMPRSS11B	-0.033
E2F8	-1.0575
CCDC25	-0.273583333333333
C14orf48	0.313
C20orf116	0.594875
TSPAN11	0.1735
YIF1B	-0.6615
FAM12B	0.0165
OR1L6	0.2325
HPN	-1.7041
NBN	0.672875
C14orf94	-1.2845
OCLM	-0.227
ZSCAN18	0.6922
L3MBTL	-2.0411
TSTA3	1.58533333333333
RAC1	0.41575
C19orf15	-0.501166666666667
NFE2	-5.86775
KLK14	0.206
ARSF	0.2915
MAST2	1.19666666666667
AMICA1	0.782833333333333
GTF2A1	-0.02375
ATP1A3	0.723
TC2N	1.7797
PNKP	0.10025
ODZ2	0.413
MATR3	-0.175875
S100P	-0.1815
KRT82	-1.3115
CA13	1.5068
PROZ	-1.643
AASDH	-0.1745
C19orf40	-0.639666666666667
DCK	-1.00330769230769
FAM5C	0.988
SLC6A4	-2.421
MID1IP1	0.185875
TESSP5	0.3765
TMOD4	-0.2565
DOCK2	-1.51316666666667
TUG1	0.362
NUP214	-0.918
DPYSL2	-0.180454545454545
GOLM1	1.11725
MPFL	0.3425
SOX13	1.27425
SDCCAG8	0.8752
KEL	-2.49983333333333
NUP210L	-2.456
GK	-0.875375
DNAJB1	0.91825
ALPK3	0.0555
CHID1	0.0736
CYLC2	0.488
IKZF5	0.23675
C8orf51	1.25833333333333
PPM1J	0.742
GIMAP8	1.34316666666667
GPR101	-0.0595
NR2F1	-0.346
ACAD8	0.17225
RBM35A	1.671
GNAI2	0.900333333333333
METTL8	0.284
SLC39A7	-0.5095
FBXO8	-0.19725
CAMK1	-0.5045
RFC3	-1.161875
FAM129A	-1.03985714285714
ILF2	0.8875
FGFBP3	-2.083375
NOM1	-0.167333333333333
PSMA3	-0.52325
ASCC3	-0.1823
ZYG11A	0.242
SOX21	-1.613625
LYRM1	-1.86225
DEFB1	3.851
LOC91431	-2.6835
OR7C2	1.284
FAM46B	-0.060625
TMEM18	-0.8075
ARHGAP30	1.18816666666667
TMEM86A	1.35908333333333
EPHA2	-0.606666666666667
C10orf46	0.86055
TCHH	-0.677166666666667
C3orf30	0.808166666666667
LOC285636	0.635166666666667
PAIP2	-1.20025
CYP2U1	-0.668875
C12orf34	1.2195
SARS2	-0.736
ZCWPW1	-1.123
SAMD12	1.327625
KIAA1430	-0.0955
ACAT1	-1.21425
MEOX1	0.1275
ADAMDEC1	4.69975
PHKA2	-0.49575
CARD11	-1.12533333333333
CALML4	-1.4125
TSSC1	0.312
TMEM45A	2.42555555555556
MPP7	2.005
POU1F1	-1.3415
SLC2A13	-0.7873
FBN2	-1.27628571428571
ZC3H7A	-0.6976
LAIR2	-2.3075
ST3GAL1	1.14233333333333
LCT	-1.16025
GEMIN8	0.099
KLF16	0.6868
HIF3A	-0.2861
FAM44A	0.118857142857143
AQP10	-1.1793
PLA2G2A	-1.8595
FOLH1	2.7855
C20orf186	0.1445
MAPKAP1	0.20125
SPRR2D	-0.8265
UBQLN4	1.1435
RSHL1	0.340833333333333
PIAS3	0.594
MRPL24	0.713
GREB1	-3.288125
FAM27E3	-1.967
NUP62CL	-1.315
NEUROG3	0.752
REEP3	0.955083333333333
MARK1	0.494625
LMBRD1	0.462
PRPF19	-1.1965
PNMT	-1.554
CTGLF1	-0.99
SLC25A16	0.0335
EIF2B3	-0.2605
RPA2	-1.28625
PAK6	1.23966666666667
CCDC26	-4.548
SEMA3E	3.8775
MXD4	0.0939
TNFSF10	3.1671
SMARCB1	-0.0975
DTX3L	0.523166666666667
PLA2G4E	0.4265
PPAP2A	0.104
ULK1	-0.3825
TAS1R3	0.0065
SLC2A3	-3.37581818181818
ARID3A	-1.7875
GNG5	0.2405
ACOX1	0.5002
KIF5B	-0.29075
NUP153	-0.68125
MUC7	0.501
CSDE1	-0.486642857142857
CLPTM1	0.47325
C3orf23	-0.14225
LRRC17	-1.9385
TTYH3	0.695625
ATP5B	-1.2535
ELF3	2.6827
CPSF3L	0.065
ZNF665	0.292
TLR6	1.6457
GPI	-0.6885
RAD9A	-0.163875
NDST4	-3.7035
AGPAT3	0.777083333333333
MAGI3	1.14166666666667
ADORA2A	-0.01775
CACNG7	-0.273
CAMK2D	0.116285714285714
CCHCR1	-0.75125
RPS27A	0.32525
OR10G7	0.226833333333333
GCM2	-0.201
FAM135B	0.221
E2F1	-0.352
PLCB3	0.77625
OR2AE1	0.3855
COIL	-0.944333333333333
CDC25C	-1.53133333333333
RAB11FIP2	0.260416666666667
TSC2	0.07325
CTGLF5	-1.6475
CCDC108	0.1411
OR13C4	0.4635
C10orf81	3.90425
PTPRB	0.0205
ACP2	0.70075
LAG3	0.46
MRPL54	0.08975
LOC201175	1.1685
ITGB1BP3	-1.7105
SPTAN1	0.842333333333333
SIPA1L2	0.1825
RCAN2	-0.1735
CDX2	-0.3935
ECOP	-1.9375
ACTR1A	-0.00385714285714285
PPARG	-2.9295
BBS10	-0.164333333333333
TMEM44	-1.584625
BPIL2	-0.16325
CITED1	3.11625
IRF6	4.304
PRDM4	0.0411666666666667
RRP9	0.676833333333333
OR10H4	-0.03975
IL31RA	-0.584
GNB1L	-0.128
MYBL2	-0.132375
ZNF407	0.636833333333333
PPIG	0.1095
TTC18	-0.85025
RPSA	-0.024
MAPT	-0.125875
MRE11A	-0.254071428571429
C8orf37	-0.895166666666667
RASGEF1C	1.8395
STBD1	0.5415
CTAG2	-0.612166666666667
MGAT5B	-1.70316666666667
ECM1	-0.025625
RLN1	-0.1185
PARP14	0.4015
EPB41L1	0.2248
HOXA3	-1.6125
MAGEA9	-5.07025
RPS8	-0.315666666666667
RPS19BP1	-0.30725
FOXJ2	0.67025
C10orf76	0.257125
IL17RE	0.71925
C10orf65	-3.032
ZNF343	0.569833333333333
FBXO33	-0.012875
UHMK1	0.3073
LY6G6C	1.0905
FGF19	-2.20675
C14orf128	0.296333333333333
IFIT2	1.980125
TIGD1	0.10325
S100G	-0.6785
GUCY1B3	3.5605
NR3C1	-1.3766
CORO1B	0.614833333333333
PARP11	-0.185083333333333
DNALI1	2.03133333333333
OR4N4	0.467125
MAP2K6	-0.343333333333333
FSTL4	-0.3375
ANKRD47	0.323125
TMEM171	0.039
PNLIP	-0.747
YY1	0.139166666666667
CCDC138	-0.783833333333333
AASDHPPT	-0.7876
CKS1B	0.6963
MCM3	-0.480333333333333
ANAPC7	-0.300666666666667
FAM110A	1.83075
CDC37L1	1.44033333333333
THTPA	-0.45025
NBPF20	-0.039
WDR24	-0.55575
NPTX2	-3.562
CBLB	0.222333333333333
CETN1	0.223166666666667
RPUSD1	0.427
FAF1	0.2055
CDK6	-0.3937
HMX2	0.2595
CSK	0.178833333333333
TEAD2	1.62675
SNAP25	-1.86025
TUFT1	1.5503
TMTC3	0.111833333333333
LCK	-1.8945
SGOL1	-0.550666666666667
AKTIP	-0.17425
FURIN	1.35975
SOX12	-0.809
DEFB103A	-0.97
RAMP1	-0.7295
KIR3DX1	-0.501
GAS2L3	-0.3455
PDE8A	-1.683
EDN3	6.54325
GMIP	1.2805
SF3A2	0.6715
FN3KRP	0.583
SMAD7	0.9075
RHBDD2	0.35525
OR11H6	0.203
PPP1R3B	0.7681
C9orf23	-0.084
CADPS	-2.585
GOLGA8A	-2.4305
TMEM57	0.454666666666667
RGL3	-1.318
S100A14	2.64725
FGFR2	0.9854375
XRCC3	-0.6565
RTN4RL2	0.29625
MGC3771	-2.006
GH2	-0.0886666666666667
BTBD2	0.99825
LMO2	-1.613
RDBP	-0.2545
ACRBP	-1.9785
AMY2A	3.27275
DUOXA1	1.8315
PTK7	1.41033333333333
TWF2	0.5985
FAM80A	-2.007
TNNI2	-0.752
GLT25D1	0.591166666666667
OCC-1	-2.7095
CYC1	-0.166666666666667
RPL22	0.0550909090909091
MORN3	1.73883333333333
DISP1	-0.295
PRB2	0.3095
CHUK	-0.0745
HR	1.710125
CCDC134	0.582375
DENND4B	-0.20325
C14orf130	-0.850375
RAB33A	-2.14975
DCST2	0.996
TNMD	-2.9605
PEX7	-0.2285
FAM62A	0.181375
SRD5A2L	0.24025
IL22	-0.065
RPS26	-0.603
HOXC5	-0.1105
SPATA6	0.5925
FLJ38482	-0.365375
ZNF234	0.9275
C18orf22	0.53425
SPATA22	0.92125
THOC1	-0.5605
CYP7B1	4.27225
KCNC3	0.696
C8orf42	0.8345
ALDH1B1	0.809166666666667
CCDC100	-1.0593
ARMC4	-2.57925
FAM18B2	-0.63525
SLC44A1	0.388
FBXO17	-1.28233333333333
C6orf107	-0.01275
C19orf29	0.12275
ZC3HAV1L	0.23775
PARP6	-0.3032
SULT2A1	-4.78775
C1orf159	-0.03375
TMC1	1.869
CHST14	0.354125
GAMT	-1.86166666666667
SMCP	0.114
TSPAN33	1.54408333333333
MIDN	0.178125
NOX4	2.44925
RNASEN	0.3063
TBX1	1.38466666666667
SALL2	-2.39325
C10orf35	1.83975
CYP2E1	-1.41575
LRFN2	-0.6985
ACO1	-0.632166666666667
IQCG	2.1984
MEGF9	0.0065
TM7SF4	2.33325
PLEKHA1	0.892466666666667
STK33	1.59275
C1orf210	2.19
SNUPN	-0.0901
KIAA0406	-0.4117
C20orf29	-0.38775
TMEM55B	-0.314
OSTM1	-0.714375
CLCN7	0.5165
OTP	0.367
FLJ23049	-0.448
HEATR4	-0.4215
MAP3K10	0.867833333333333
PCDHGA9	0.0165
AMDHD2	0.31575
LCTL	-1.105
PDCD2L	0.06325
CABLES2	-0.07475
SLC5A9	-0.48475
CLCA2	-2.2626
MGC16025	0.852
STRAP	-0.762
C20orf196	-0.3695
RRBP1	1.22166666666667
NAT13	-0.289
MAT2B	-0.879
CSNK1D	0.303833333333333
KIR3DL1	0.4435
PRKAG3	1.612
ZNF599	-0.385
PRM3	0.3905
PER2	0.252166666666667
ASPHD1	0.209
PRMT6	-0.6125
KCNE1L	-0.415785714285714
FAM118A	-0.794333333333333
TAF4	-0.20075
NDUFB6	0.0075
TRIM9	-1.76033333333333
PMFBP1	-0.0855
KY	-0.0125
DKFZp762E1312	-0.638363636363636
CSMD1	-1.36675
TBP	-0.859166666666667
OR1Q1	0.168666666666667
RETNLB	0.38025
HPGD	2.282
DNAJC12	-3.74666666666667
FKBP1B	-2.4375
ANKRD24	-0.705333333333333
CXXC5	-1.03033333333333
IL3	0.305
DRAM	0.6062
PTCH1	-0.7425
TP53BP1	-0.283
SLC17A7	0.124125
COL25A1	-0.9635
AMACR	-0.7035
RHCG	3.703
VPS13A	-0.21725
FAM55D	0.857
PRPF38B	-0.988833333333333
OSBPL6	0.40425
PFDN5	-0.7059
CMTM6	1.367
KCNK12	0.46
RP2	-0.28425
C16orf52	-1.93725
PICK1	0.4535
IFNE1	-1.05883333333333
SEMA4B	-0.19675
TYRO3	-0.64425
OR12D2	0.197
CSNK1A1	-0.38825
FANCF	1.182
LONP2	0.085625
TBL1Y	-0.52625
LDOC1L	-0.172375
CCNC	0.03325
C3orf60	-0.52125
CHKA	-0.64075
UBAP1	0.8155
MAP3K1	1.3315
ANKRD9	-0.99625
FAM92A1	-0.0728333333333333
GAB2	0.945125
AZU1	-0.4285
DIS3	-0.11075
C21orf109	-1.32
IQCB1	-1.118
SPATS2	-0.801166666666667
EFCAB3	-0.26925
PRB3	0.235125
FUZ	-0.348
ZNF813	0.072375
BMPER	-1.455
HEG1	-0.125375
ALS2CR11	-1.74125
SURF2	-0.282
PSMC1	-0.14275
OR2D2	0.757
SLC7A8	-1.05133333333333
C4orf40	3.3515
SPATA7	-0.3475
MAZ	-0.325333333333333
PIN4	0.07
PDE1A	-2.19725
TAF6L	0.155166666666667
OR2T34	0.6855
KIAA0284	0.78925
ACADS	-0.875363636363636
MKRN2	0.147
C18orf56	-0.89025
MS4A6E	0.581833333333333
GALNT4	0.1252
C22orf31	0.1305
FLJ36070	0.0335
PSME4	1.34775
TFG	-0.017
EPHX2	0.82075
ANXA5	-0.303375
KRTAP1-1	0.7819
BATF	-0.39575
KARS	-1.0685
MSTP9	-0.4395
GPR26	0.929625
CCDC72	0.3865
TEF	-0.508833333333333
FOXK1	0.6303
PRLHR	0.211
EMX1	0.64075
C11orf30	-0.165625
ICK	0.52575
THSD7B	0.22475
C21orf100	-1.686
DUOX1	2.294
EFCAB4B	0.5575
UBE2G2	-0.245666666666667
C3orf54	-0.626
PARP1	-0.56175
FAM60A	-0.0373333333333334
C6orf146	-0.7495
OR9K2	0.297
DDX55	-0.873333333333333
RPS15	-0.1655
ZNF618	0.91925
DKFZp686D0972	1.324
SSPO	-0.568
SHFM3P1	0.385666666666667
CPA6	-1.3805
JAG2	1.323
DEFA3	0.17575
PPBPL2	0.4475
CD34	2.91425
SLCO4A1	-2.93725
AFG3L1	-1.80883333333333
SHD	-0.1425
RP13-122B23.3	-0.838166666666667
PRKCSH	-0.175333333333333
DPH5	-1.34966666666667
HLA-F	1.944125
TBC1D4	1.4855
RIG	-0.0186666666666667
GLUD1	-0.321666666666667
HNRPCL1	0.33175
HBXIP	-0.712
RNF207	-0.2815
APIP	-0.9055
PLA2G3	-2.412
CCDC84	-1.83925
MYLIP	-2.36276923076923
PHIP	-0.127
AARS2	-0.535833333333333
DHX32	0.5635
SCAPER	-0.756333333333334
MEN1	0.136875
NIP7	-0.78825
FLJ25404	0.431
FASTKD3	0.25875
TMEM158	0.0209166666666667
RARA	0.4075
BDH1	0.6005
ANKRD16	1.8495
CARM1	0.986
SS18	0.286
IKZF2	-0.319083333333333
MYD88	1.599875
PML	0.71995
TAF1A	-1.42525
CBFB	-0.68625
HIST1H3H	-1.15183333333333
C7orf29	-1.111
COMMD4	-0.988333333333333
DPP3	-0.52075
DAB2	0.67825
LOC388882	-0.4675
YPEL4	-1.22975
AGBL3	0.64825
LRP6	1.7422
SERPINH1	0.101583333333333
TLE1	0.597
CD244	1.11833333333333
ZDHHC15	1.6615
MGLL	-0.0902
PLDN	-0.465666666666667
LOC654346	1.2555
FAP	2.232
GPR37	2.25483333333333
SCARA5	-1.21833333333333
EBF4	0.187
LSM6	-0.603
MLLT1	0.1261875
SLC5A12	-0.0235
A2BP1	-1.55383333333333
COPS5	-0.0615
TPM4	0.758357142857143
TNFSF4	0.867666666666667
ACADSB	-1.52122222222222
HERPUD1	-0.66275
BCL2L11	-0.0360555555555555
CEP78	-0.612375
CDCA3	0.16525
WBSCR19	-0.149
MYO1A	-3.134
PPEF1	2.03333333333333
LOC440348	-0.91325
CPEB2	0.22075
BPTF	-0.0280833333333333
RPL21	-0.709125
GSX2	-0.5095
ADPRH	1.85333333333333
C17orf68	-0.416166666666667
KCNS1	1.91416666666667
MLLT6	0.5408
PIWIL4	2.42
RNF26	-0.7795
RAP1B	-0.175
ADAMTS1	-0.2455
