Hybridization REF	TCGA-AO-A0JB-01A-11R-A056-07
MED19	0.21675
LRRC57	-0.971666666666667
RNF11	-0.7345
ANKRD32	-2.95325
P117	0.75825
OBFC2A	-0.471833333333333
POLD3	-0.621916666666667
RAB18	0.10275
TPH2	0.18525
PHB	-0.3662
JDP2	1.373
MORF4L1	-2.1405
POU2F1	0.35175
CNNM2	-1.93718181818182
LOXHD1	0.249166666666667
ZC3H15	-1.64025
ELK3	-0.106833333333333
FAM111B	0.57625
CBLC	3.28366666666667
SBNO1	0.19525
ANKMY2	-1.00466666666667
PLEKHA5	-0.021
DHX58	1.0205
ARCN1	-0.337666666666667
TREML1	0.5421
KNCN	0.789
SEC24A	-2.769625
PSCA	-1.503
MGC24125	-0.4765
DNA2L	-1.81675
CIB4	-0.425142857142857
HIGD2A	0.0516666666666667
TBX6	0.5985
TTLL5	0.791833333333333
SGK3	0.626833333333333
GCN1L1	-1.2815
AMOT	-0.7334
LDOC1	-0.320666666666667
NRK	0.2275
ASB9	-2.852
NAT1	1.6469
TRAFD1	-0.427
PEAR1	0.698
FAM36A	0.63175
OR1S2	-0.3025
LOC388323	-0.3045
PGS1	-0.443166666666667
LEPREL1	-2.05875
TFF1	1.10058333333333
HAP1	0.2365
EPHB2	-1.00575
ACTG1	-0.919666666666667
ZFP42	-1.26775
HAVCR2	0.135222222222222
NME1	0.072
SNX26	1.45566666666667
LACTB	-1.76366666666667
ZKSCAN2	-0.497625
C5orf35	-0.1825
ANKS3	1.35525
RBM28	-0.24225
DKFZP586P0123	-0.3875
HNRNPA1	-1.203
BCAS3	-0.554583333333333
FLJ20184	0.3445
POLA2	-0.454833333333333
TMC7	-1.80516666666667
HSD17B6	-1.559
ZNF658B	-0.437166666666667
TTTY10	0.682
RANBP9	-1.28883333333333
CPNE7	1.523
EVL	0.579705882352941
LNX1	-0.325583333333333
IFNA21	0.453833333333333
CFD	1.3655
PYCARD	0.770166666666667
MYBPC2	-0.5585
ENPP3	-2.54266666666667
ACSL4	-1.91075
LOC440258	1.253
TMEM176B	3.43766666666667
SOX2	-1.869875
SCO1	-1.4545
COMT	-0.4255
AOC2	-0.02275
PDLIM5	1.65357142857143
SPHK2	1.172
NXPH2	0.568
GPR108	0.173
RAD51L1	-0.6244
TMEM54	1.47575
LETMD1	-0.938777777777778
SLC6A17	1.1465
KRT75	-0.076
STT3B	-0.8575
CD3EAP	3.13766666666667
TMEM63A	0.7525
DUSP13	-0.55625
CD1C	-1.22183333333333
LASS2	-0.0625
AVP	3.8
PITPNM1	-1.277875
FLJ22795	2.43
MCTP1	-1.4945
TRIM68	-0.2545
UCK2	-0.489
ABHD1	2.15375
FAM50A	-0.138
RNASEH1	-1.93533333333333
PCP2	2.26716666666667
OR52H1	-0.372
C20orf149	0.9525
RBP5	0.397333333333333
HYAL3	1.869
CLPB	0.1335
SMNDC1	-1.527
DONSON	-3.4515
FLJ27523	0.947666666666667
BARHL2	-0.1448
SLC30A9	-1.6295
TMPRSS11B	0.04425
E2F8	-1.70483333333333
CCDC25	0.2705
C14orf48	0.29
C20orf116	0.25025
TSPAN11	0.681
YIF1B	-0.519166666666667
FAM12B	0.593333333333333
OR1L6	0.4205
HPN	-0.5272
NBN	-0.191375
C14orf94	-1.33233333333333
OCLM	-0.1685
ZSCAN18	-0.0488
L3MBTL	-1.0916
TSTA3	1.26183333333333
RAC1	-0.290875
C19orf15	0.422166666666667
NFE2	-3.68075
KLK14	0.8345
ARSF	0.101
MAST2	1.06783333333333
AMICA1	2.845
GTF2A1	0.765875
ATP1A3	-0.5425
TC2N	2.1679
PNKP	0.738
ODZ2	1.527375
MATR3	-0.037625
S100P	-2.227875
KRT82	0.313
CA13	-0.2615
PROZ	-1.5162
AASDH	0.537428571428571
C19orf40	-0.424
DCK	-2.04138461538462
FAM5C	-1.52275
SLC6A4	-2.7225
MID1IP1	-0.022875
TESSP5	0.3725
TMOD4	0.039
DOCK2	-1.36083333333333
TUG1	0.181875
NUP214	-0.482
DPYSL2	0.0806363636363636
GOLM1	0.89825
MPFL	-0.56175
SOX13	0.67425
SDCCAG8	0.7971
KEL	-1.6135
NUP210L	-1.47975
GK	-2.35175
DNAJB1	0.57375
ALPK3	0.1705
CHID1	0.5643
CYLC2	0.7076
IKZF5	-0.315
C8orf51	1.27866666666667
PPM1J	0.904
GIMAP8	3.84566666666667
GPR101	0.5865
NR2F1	1.272
ACAD8	-0.56225
RBM35A	0.88975
GNAI2	-0.825166666666667
METTL8	0.496833333333333
SLC39A7	-0.60375
FBXO8	-0.56475
CAMK1	-1.40525
RFC3	-2.368625
FAM129A	1.318
ILF2	-1.76675
FGFBP3	-0.00187499999999999
NOM1	-1.55466666666667
PSMA3	-1.49225
ASCC3	0.694
ZYG11A	-0.47725
SOX21	-1.279
LYRM1	-1.6275
DEFB1	2.044
LOC91431	-1.17633333333333
OR7C2	1.3825
FAM46B	0.32325
TMEM18	-1.824
ARHGAP30	-0.3075
TMEM86A	1.50791666666667
EPHA2	-0.690666666666667
C10orf46	-0.62595
TCHH	-1.2725
C3orf30	0.585833333333333
LOC285636	-0.421333333333333
PAIP2	-1.7065
CYP2U1	-1.01125
C12orf34	0.557
SARS2	0.412166666666667
ZCWPW1	0.524
SAMD12	1.51125
KIAA1430	-0.434
ACAT1	-2.16575
MEOX1	0.789166666666667
ADAMDEC1	2.9215
PHKA2	-0.26275
CARD11	-1.092
CALML4	1.1055
TSSC1	-1.36625
TMEM45A	-2.75844444444444
MPP7	1.38575
POU1F1	1.1025
SLC2A13	-1.0881
FBN2	-1.90738461538462
ZC3H7A	-0.3153
LAIR2	-1.90533333333333
ST3GAL1	-0.591166666666667
LCT	-0.81925
GEMIN8	0.7585
KLF16	2.9158
HIF3A	-0.1485
FAM44A	0.849285714285714
AQP10	0.0323
PLA2G2A	-1.1095
FOLH1	0.1525
C20orf186	0.202
MAPKAP1	-1.2445
SPRR2D	-0.92875
UBQLN4	-0.0148333333333334
RSHL1	1.15366666666667
PIAS3	-0.0225
MRPL24	-0.35925
GREB1	0.075
FAM27E3	-1.967
NUP62CL	-1.89775
NEUROG3	4.5265
REEP3	1.45083333333333
MARK1	-0.651875
LMBRD1	-0.7025
PRPF19	-0.423
PNMT	0.334
CTGLF1	-0.632
SLC25A16	-0.31
EIF2B3	-1.2435
RPA2	-0.7205
PAK6	1.71216666666667
CCDC26	-3.585
SEMA3E	3.487625
MXD4	0.7621
TNFSF10	2.7454
SMARCB1	-1.41616666666667
DTX3L	-0.907833333333333
PLA2G4E	-2.0805
PPAP2A	1.65075
ULK1	-0.979416666666666
TAS1R3	1.4165
SLC2A3	-2.784
ARID3A	-0.6905
GNG5	-0.67075
ACOX1	-0.0392
KIF5B	-0.19525
NUP153	-1.40125
MUC7	0.197
CSDE1	-0.707357142857143
CLPTM1	0.18575
C3orf23	-1.34166666666667
LRRC17	-1.135
TTYH3	-0.205875
ATP5B	-2.213
ELF3	0.9777
CPSF3L	0.0105
ZNF665	0.374833333333333
TLR6	-0.0287777777777778
GPI	-0.206375
RAD9A	0.518
NDST4	-2.76025
AGPAT3	1.21166666666667
MAGI3	1.63266666666667
ADORA2A	-0.224125
CACNG7	-0.456
CAMK2D	-1.21892857142857
CCHCR1	-0.29225
RPS27A	-1.101
OR10G7	0.773
GCM2	0.585
FAM135B	0.652
E2F1	-0.6735
PLCB3	-0.27625
OR2AE1	-0.794
COIL	-0.816
CDC25C	-2.007
RAB11FIP2	-0.7675
TSC2	-0.0785
CTGLF5	-0.4085
CCDC108	1.2006
OR13C4	0.229
C10orf81	3.70975
PTPRB	2.5995
ACP2	-1.66925
LAG3	0.6345
MRPL54	0.5265
LOC201175	4.199
ITGB1BP3	0.1615
SPTAN1	-0.120833333333333
SIPA1L2	-1.00675
RCAN2	-0.318
CDX2	-1.1005
ECOP	-0.8995
ACTR1A	-0.157785714285714
PPARG	-1.34716666666667
BBS10	0.585833333333333
TMEM44	-0.641
BPIL2	-0.9485
CITED1	-0.951
IRF6	3.925
PRDM4	-0.685166666666667
RRP9	-0.2375
OR10H4	0.45325
IL31RA	-0.769
GNB1L	1.399
MYBL2	-1.147
ZNF407	0.341333333333333
PPIG	1.19266666666667
TTC18	3.00975
RPSA	0.762
MAPT	0.83925
MRE11A	-0.00557142857142856
C8orf37	-1.04616666666667
RASGEF1C	-0.679333333333333
STBD1	-1.06
CTAG2	-0.6144
MGAT5B	-1.545
ECM1	0.266875
RLN1	0.814
PARP14	-0.499333333333334
EPB41L1	0.4481
HOXA3	1.24808333333333
MAGEA9	-3.66233333333333
RPS8	-0.0135
RPS19BP1	0.1555
FOXJ2	-0.0325
C10orf76	0.2685
IL17RE	1.579
C10orf65	-1.803
ZNF343	-0.336666666666667
FBXO33	-0.32125
UHMK1	-1.5363
LY6G6C	-0.4805
FGF19	-2.50033333333333
C14orf128	0.199666666666667
IFIT2	2.342
TIGD1	-0.3065
S100G	0.5795
GUCY1B3	-0.782
NR3C1	-0.5299
CORO1B	0.165833333333333
PARP11	-0.954090909090909
DNALI1	6.5075
OR4N4	0.742
MAP2K6	-0.204666666666667
FSTL4	0.604
ANKRD47	1.651
TMEM171	-0.766
PNLIP	1.11633333333333
YY1	-0.154666666666667
CCDC138	-2.82733333333333
AASDHPPT	-1.0376
CKS1B	-1.981
MCM3	-0.943333333333333
ANAPC7	-1.73583333333333
FAM110A	2.06575
CDC37L1	0.144
THTPA	0.40375
NBPF20	0.819
WDR24	0.37275
NPTX2	-2.1715
CBLB	0.3875
CETN1	1.146
RPUSD1	1.49975
FAF1	-0.065
CDK6	-2.8575
HMX2	0.001
CSK	-0.00933333333333336
TEAD2	-0.7215
SNAP25	-2.18833333333333
TUFT1	-0.6702
TMTC3	0.178
LCK	-1.94575
SGOL1	-0.412333333333333
AKTIP	-1.774
FURIN	-0.010375
SOX12	-0.585833333333333
DEFB103A	-0.29425
RAMP1	2.07875
KIR3DX1	0.6015
GAS2L3	-1.19
PDE8A	-0.6142
EDN3	5.863
GMIP	1.00775
SF3A2	3.35925
FN3KRP	0.2485
SMAD7	-0.15
RHBDD2	0.36975
OR11H6	-0.2365
PPP1R3B	-0.2819
C9orf23	0.33725
CADPS	-2.42775
GOLGA8A	-2.458875
TMEM57	0.686333333333333
RGL3	0.8125
S100A14	3.891
FGFR2	0.314333333333333
XRCC3	-0.3435
RTN4RL2	1.88875
MGC3771	-1.166
GH2	1.297
BTBD2	0.86625
LMO2	0.78925
RDBP	-0.18425
ACRBP	-1.2165
AMY2A	2.48275
DUOXA1	1.3785
PTK7	0.0598333333333333
TWF2	-0.778
FAM80A	-1.49675
TNNI2	-1.70283333333333
GLT25D1	-0.8895
OCC-1	-2.661
CYC1	-1.28166666666667
RPL22	0.526318181818182
MORN3	0.238833333333333
DISP1	1.83125
PRB2	1.1265
CHUK	-2.24325
HR	1.26925
CCDC134	-0.677
DENND4B	-0.92825
C14orf130	-0.1925
RAB33A	-1.59275
DCST2	1.356
TNMD	-0.642333333333333
PEX7	-0.2385
FAM62A	0.14275
SRD5A2L	0.686
IL22	0.504333333333333
RPS26	-1.9878
HOXC5	1.4115
SPATA6	-0.007
FLJ38482	0.403875
ZNF234	1.979
C18orf22	0.689
SPATA22	0.72025
THOC1	-0.78375
CYP7B1	2.8755
KCNC3	0.3775
C8orf42	-2.3515
ALDH1B1	-0.0881666666666667
CCDC100	-1.47255555555556
ARMC4	-2.12
FAM18B2	-2.59066666666667
SLC44A1	-0.500375
FBXO17	-0.857833333333333
C6orf107	-0.12875
C19orf29	0.27075
ZC3HAV1L	1.3905
PARP6	-0.0264
SULT2A1	-2.926
C1orf159	1.18675
TMC1	0.32275
CHST14	-0.358125
GAMT	1.28566666666667
SMCP	0.3255
TSPAN33	-0.6035
MIDN	0.9755
NOX4	0.5855
RNASEN	-1.35
TBX1	-0.08525
SALL2	-0.979
C10orf35	1.2715
CYP2E1	0.078375
LRFN2	2.4835
ACO1	-1.556
IQCG	1.6531
MEGF9	-0.55125
TM7SF4	0.9505
PLEKHA1	-0.158933333333333
STK33	-3.0995
C1orf210	1.658
SNUPN	0.3901
KIAA0406	-2.0965
C20orf29	1.11675
TMEM55B	-0.67275
OSTM1	-1.450125
CLCN7	0.847
OTP	-1.37375
FLJ23049	-1.64925
HEATR4	1.3725
MAP3K10	2.91283333333333
PCDHGA9	0.665
AMDHD2	-0.59375
LCTL	-1.4955
PDCD2L	-0.765
CABLES2	-0.79075
SLC5A9	0.37875
CLCA2	-0.3206
MGC16025	0.0755
STRAP	-2.2555
C20orf196	-1.3885
RRBP1	2.30933333333333
NAT13	-1.59925
MAT2B	-1.168
CSNK1D	0.058
KIR3DL1	1.458
PRKAG3	0.653
ZNF599	-0.00299999999999999
PRM3	2.4785
PER2	1.40783333333333
ASPHD1	-0.933
PRMT6	-1.7565
KCNE1L	0.400214285714286
FAM118A	-2.575
TAF4	-1.724
NDUFB6	-1.8385
TRIM9	-1.2235
PMFBP1	-0.94475
KY	-0.071
DKFZp762E1312	-1.42418181818182
CSMD1	-0.9975
TBP	-1.167
OR1Q1	0.387333333333333
RETNLB	0.17325
HPGD	-0.431181818181818
DNAJC12	-0.495
FKBP1B	-1.224
ANKRD24	-0.9392
CXXC5	1.65416666666667
IL3	0.0215
DRAM	0.5285
PTCH1	-1.176375
TP53BP1	-0.75275
SLC17A7	1.030125
COL25A1	-1.06077777777778
AMACR	-1.327
RHCG	-2.0805
VPS13A	-0.61
FAM55D	0.617
PRPF38B	-0.11025
OSBPL6	0.43325
PFDN5	0.9834
CMTM6	-1.200375
KCNK12	-0.21925
RP2	-0.2385
C16orf52	-1.68375
PICK1	-2.322
IFNE1	-1.2445
SEMA4B	0.839
TYRO3	-1.669
OR12D2	-1.268
CSNK1A1	-0.3203
FANCF	1.345
LONP2	1.282375
TBL1Y	0.59175
LDOC1L	-1.488875
CCNC	-1.59025
C3orf60	0.1085
CHKA	-0.25275
UBAP1	-0.2565
MAP3K1	1.642
ANKRD9	0.33
FAM92A1	-2.43266666666667
GAB2	0.44075
AZU1	-0.998
DIS3	-0.845909090909091
C21orf109	-2.2305
IQCB1	-1.6285
SPATS2	-0.850166666666667
EFCAB3	1.355
PRB3	2.150625
FUZ	1.0925
ZNF813	-0.2855
BMPER	-1.406
HEG1	-0.227
ALS2CR11	-1.18025
SURF2	1.401
PSMC1	-0.28775
OR2D2	0.8325
SLC7A8	4.11166666666667
C4orf40	-1.1675
SPATA7	0.417
MAZ	0.258583333333333
PIN4	-0.59325
PDE1A	-0.9655
TAF6L	1.184
OR2T34	0.7315
KIAA0284	0.4675
ACADS	-0.309363636363636
MKRN2	-1.9835
C18orf56	-2.143
MS4A6E	0.4018
GALNT4	-0.435555555555555
C22orf31	-0.2085
FLJ36070	2.13
PSME4	-0.74375
TFG	-1.2122
EPHX2	1.01425
ANXA5	-0.54675
KRTAP1-1	-0.320571428571429
BATF	2.0815
KARS	-0.64225
MSTP9	-1.729
GPR26	-0.616285714285714
CCDC72	0.4635
TEF	1.38633333333333
FOXK1	-0.525
PRLHR	1.3865
EMX1	1.70275
C11orf30	-0.401125
ICK	0.5345
THSD7B	-0.31475
C21orf100	-2.3225
DUOX1	1.4355
EFCAB4B	-0.76825
UBE2G2	0.1885
C3orf54	1.73
PARP1	-0.0515
FAM60A	-0.422416666666667
C6orf146	0.119666666666667
OR9K2	-0.0295
DDX55	-0.555333333333333
RPS15	2.085
ZNF618	1.755625
DKFZp686D0972	-0.50225
SSPO	2.1
SHFM3P1	0.0513333333333333
CPA6	-0.749666666666667
JAG2	1.94625
DEFA3	1.4185
PPBPL2	1.5508
CD34	3.527375
SLCO4A1	-1.732
AFG3L1	-0.6745
SHD	0.43275
RP13-122B23.3	-0.666333333333333
PRKCSH	-0.0311666666666667
DPH5	-1.48516666666667
HLA-F	1.426125
TBC1D4	-0.37425
RIG	0.53125
GLUD1	0.292166666666667
HNRPCL1	-0.654125
HBXIP	-1.19125
RNF207	-0.412
APIP	-1.8845
PLA2G3	-0.687
CCDC84	-0.938
MYLIP	0.0646153846153846
PHIP	0.83075
AARS2	0.116666666666667
DHX32	-1.2065
SCAPER	-0.622666666666667
MEN1	0.1325
NIP7	-1.43325
FLJ25404	0.402
FASTKD3	-1.63425
TMEM158	-1.28708333333333
RARA	2.8325
BDH1	0.538
ANKRD16	-0.462
CARM1	1.8135
SS18	-0.865
IKZF2	0.0804545454545454
MYD88	-0.45725
PML	1.1511
TAF1A	-1.17625
CBFB	-0.92075
HIST1H3H	0.596833333333333
C7orf29	-2.44025
COMMD4	-0.864333333333333
DPP3	-0.9665
DAB2	0.312142857142857
LOC388882	0.131
YPEL4	0.32375
AGBL3	3.4585
LRP6	0.7164
SERPINH1	-0.263666666666667
TLE1	0.30275
CD244	0.2565
ZDHHC15	-3.0155
MGLL	-0.365
PLDN	-0.674166666666667
LOC654346	1.7105
FAP	1.737
GPR37	-2.29466666666667
SCARA5	0.0555
EBF4	2.07209090909091
LSM6	-1.0375
MLLT1	0.257
SLC5A12	0.0686666666666667
A2BP1	-0.998
COPS5	-1.73683333333333
TPM4	-0.676642857142857
TNFSF4	-0.7025
ACADSB	0.0942777777777778
HERPUD1	-0.65075
BCL2L11	-1.01961111111111
CEP78	-1.40275
CDCA3	-0.858125
WBSCR19	0.8259
MYO1A	-2.063
PPEF1	1.19233333333333
LOC440348	0.1305
CPEB2	-1.26925
BPTF	-0.24325
RPL21	-1.109625
GSX2	-1.27
ADPRH	0.108666666666667
C17orf68	-0.6025
KCNS1	-0.375
MLLT6	0.2446
PIWIL4	-1.00475
RNF26	-0.21475
RAP1B	-0.63675
ADAMTS1	-1.617
ZNF571	-0.93625
P2RY6	-0.071
TRIM21	0.452333333333333
CADM3	2.911
NLRC5	0.0963333333333333
ADRA2B	1.57316666666667
LOC90835	0.037625
PCF11	-0.70425
LOC400451	3.76225
GLTSCR1	2.4965
C17orf88	0.637166666666667
CDH16	-0.566
FGF7	1.499625
PCSK4	3.57283333333333
NPC1L1	-0.0233333333333334
TAT	0.527
TBCA	-1.7495
MGC33407	-0.40775
GPR115	-0.951571428571428
CYGB	0.051
FNBP4	-0.064
C12orf43	-0.52075
CBL	-0.198444444444444
CLECL1	-1.541
PPAPDC1A	-0.21975
WDR25	-0.219666666666667
SGCA	2.21
C22orf29	-0.715333333333333
YIPF1	-0.3945
GALK2	-0.87725
RAB3B	-3.18241666666667
LOC440087	-1.316
UCP1	-1.253
REEP5	0.957375
FADD	-0.8706
FOXA1	2.172625
CACNA1A	1.052
ABI1	-0.627833333333333
GRIN2D	3.80875
SLC1A4	0.797666666666667
LOC401127	0.39175
HINT2	0.202
PLD4	-0.236833333333333
ZNF286A	-1.5545
ENY2	-0.78575
IL1F6	1.342
PXDNL	-1.3795
C20orf79	1.18133333333333
TNFSF13B	3.511
DENND3	-0.85775
JARID1D	-2.7775
HIST1H2AK	0.856
LOC93349	0.0643333333333333
SSH1	-0.972111111111111
ENSA	-0.1905
LOC219854	-1.20533333333333
CKAP2	-2.4676
DKFZP564J102	-0.34975
MGC87315	0.123666666666667
HNRPAB	-1.89325
AMH	-1.636
ZNF526	0.984
BRUNOL5	0.6722
CACNG3	0.4295
TRPM1	-4.612
PPP2R1A	0.6295
COL2A1	-0.71225
DDN	-0.1585
FLJ25770	0.802363636363636
HK2	0.349714285714286
ELOVL6	-1.123375
MDK	-0.922
EPHX1	1.47675
RASSF2	0.525625
DKFZP434B0335	0.58925
DLX3	-0.000374999999999973
PRTN3	-0.87975
AVPR1A	0.258
C21orf125	-2.461
TNFAIP8	-1.00783333333333
GNB2L1	-1.112
CALCRL	1.547
SCGB2A2	10.958
UBXD7	1.0175
ZNF674	-1.546
TMEM35	0.0987500000000001
BRSK2	-0.332285714285714
HECTD3	-0.386
TMEM188	-1.63858333333333
LGALS9	1.87525
SCARB2	-0.380833333333333
USP34	-0.58275
C17orf28	1.63891666666667
ZDHHC23	-1.7685
AQP12B	-0.6165
SLC16A3	-1.938375
APLP2	0.06575
ITIH2	-3.829
MICAL3	0.209625
TNNI3K	0.6709
HDAC2	-0.4815
PRR7	1.7339
THBS2	-0.97675
LOC751071	-0.213166666666667
CA2	-0.9895
RANBP17	-1.23675
RLN3	0.29025
CRYZ	-1.08033333333333
GBAS	-0.966666666666667
TAS1R1	1.6985
MPZL3	1.105
PCDH8	-1.353
HSP90B1	-0.851666666666667
KCNK15	0.876
TNIP2	-0.445333333333333
GPR146	0.868
NOL6	1.06775
SPC25	-3.02055555555556
STEAP2	1.30285714285714
VAMP3	-1.05433333333333
TCIRG1	-0.0495
ZP4	-0.387333333333333
PARL	-1.070125
TRIM39	-0.1592
KIAA1305	0.942
CRNN	0.447833333333333
GRN	-0.714
HSH2D	-1.2725
SCAMP1	-1.0033125
KIAA1913	-0.50975
PTS	-1.11125
BANP	0.927714285714286
PRKACG	0.60775
ADCY6	-0.234333333333333
C16orf46	0.169
CYP51A1	1.40525
DDC	-3.364
ANPEP	0.151666666666667
PROM1	0.957666666666667
SIGLEC10	1.13466666666667
COPG	0.803
FAM26E	-0.41675
TRIP4	-0.6895
SNX3	-1.26766666666667
C1orf175	1.32083333333333
PPY2	0.636
C14orf152	1.29
FTSJ1	-1.4025
DST	1.0499
LOC554235	0.51325
GLRX5	-1.43525
C20orf12	1.456
CAB39	-1.61083333333333
MSH2	-1.43883333333333
PIP4K2C	0.090125
CYLD	-0.818375
WTAP	-0.458875
MGAT4A	-0.1815
TSC22D4	-0.2574
CHRM2	-0.577
PPYR1	0.695
CCNH	-1.256
RRM1	-1.59925
ECAT8	-3.40175
LOC400120	-0.5085
GABRA4	-0.571833333333333
C14orf4	1.784
C1orf59	-0.00774999999999999
CTDSPL	0.2275
NHEDC2	-1.66
PDE11A	-0.2966
KLHL29	1.02425
CD5	-0.5467
TSPAN9	1.78525
WDR67	-0.62775
THUMPD1	0.3391
C18orf17	-0.04525
CLYBL	1.17966666666667
FLJ13231	-0.371375
CMBL	1.2065
LECT2	-0.047
NKAPL	1.88283333333333
LOC654780	-0.069
OR4C6	0.246
RAB30	0.613
TSSK4	0.365
TMEM163	-0.9575
OSBPL11	-0.03575
GNB5	-1.81766666666667
CCL21	1.74525
C1orf121	-0.6492
FMO2	3.24966666666667
RPTN	null
MSTN	0.719
VCL	-0.419571428571429
FYTTD1	-1.455
C11orf1	-0.026
CCDC88C	1.0956875
HFE	-0.710941176470588
MOGAT1	-0.6995
FAM125B	-0.3655
IRGQ	1.1855
RAVER2	0.2895
AKAP5	0.601
SSSCA1	-0.1905
C11orf63	-0.817
ACTG2	1.3101
PORCN	-0.45
DTL	-2.44363636363636
TMEM151	2.07875
FAM122C	-3.40466666666667
RSAD2	1.8166
BAT4	-0.2175
KRTDAP	0.00549999999999999
MYH8	0.65375
CRTC3	0.0665
LRRFIP2	1.8344
INTS4	-0.391166666666667
TTN	-1.03433333333333
SLC26A5	0.572
PLLP	-0.772
RGS6	-0.612714285714286
SRGAP3	1.8185
ZNF525	-0.470833333333333
NBR2	-1.51516666666667
C13orf1	-0.1722
ZNF137	-0.8325
CEP27	-1.91325
BEST2	1.0445
RNF121	-1.4595
DMRTC2	0.4215
C8orf76	-0.92425
BCCIP	-1.032375
MEST	0.42425
HTRA2	-0.4235
ANGPTL2	1.6605
ILKAP	-0.948333333333333
ERAS	-0.9635
HBS1L	0.4615
CPA5	0.3615
TMEM30A	-1.53366666666667
CD300LF	0.9205
WISP3	1.7075
CRK	-0.355714285714286
PDS5A	-1.5874
BRPF3	-0.8685
NEDD9	-0.973125
SMPDL3B	-0.1255
PSG6	-2.17325
PSMD13	-0.55175
ETV5	-1.00475
OR51A4	0.115
BTBD7	0.899583333333333
GSTO1	-1.98575
hCG_16001	-0.105
MAD2L1BP	-1.47333333333333
COX6A2	4.2095
SCNN1A	2.24283333333333
LSM1	-0.442333333333333
UGT2B11	-2.42375
IDUA	1.81625
PPP2R3C	-1.9
COX11	-1.8355
PDZK1	-2.73175
ZNF443	0.551
MGC21874	0.517666666666667
ZNF323	0.2409
KRTAP10-10	1.4955
CXCL6	-0.0976666666666666
SLC34A2	2.391
LOC284402	0.921
NPTN	0.383333333333333
UPP1	-2.29309090909091
SLC6A9	-0.371
OR7G3	-0.531333333333333
CISD1	-0.5765
ZNF545	-0.397
SYT14	-0.1925
NT5C3L	-0.94
ZNHIT3	-1.67033333333333
SNRPD3	-0.4585
KIAA0701	-0.804875
UNC93B1	1.5685
GMNN	-2.22714285714286
SPCS2	0.199166666666667
LOC388524	0.496
NAPRT1	-0.649875
PNLIPRP1	1.598
OR6V1	1.991
PRKAB1	-1.61475
EYA4	-1.89875
KIF20A	-1.66625
ALG10	-1.19525
ITPKC	2.12166666666667
LMX1B	1.02
RPUSD4	-0.2825
C7orf34	-0.668333333333333
DLGAP2	-0.142875
PFN1	-0.5057
MICALL2	0.710583333333333
ZNF654	-0.253
SS18L1	-1.7675
SLC16A8	-0.1215
MKI67IP	-0.708
ITGB3	-1.42242857142857
TCEA3	1.94066666666667
CEP152	-1.66864285714286
CLIP1	-0.334625
ZNF75	-0.867625
ATP5C1	-1.96816666666667
NUDT5	-0.765
PSCDBP	0.36975
UBP1	-0.57825
RBM27	-0.49025
C13orf15	1.33933333333333
ZNF282	0.343166666666667
ZNF222	-1.2657
COL10A1	6.49825
PRDM15	-0.641625
TTTY5	0.622
FAM9C	-0.0614
C20orf67	0.214
GNG13	0.4515
F12	0.50175
C1orf41	-1.719
CPXCR1	-0.7155
GSK3A	0.63125
SUPT6H	-1.15616666666667
PI16	1.855
ELL2	-2.0415
C9orf167	-1.25766666666667
PVRL3	-2.0922
FLJ38596	-0.2665
ADAM20	0.916
GPR89A	-0.255
GPR87	-0.664
ZNF30	0.525
SMR3B	0.59775
ZNF770	-1.259
TRPC4AP	-1.0005
DKFZP686E2158	0.601333333333333
C2orf28	-1.12866666666667
FREM1	-0.377666666666667
LAMA4	0.766333333333333
ADPRHL2	-0.073
EIF4G2	-1.4844
GUCA1A	-1.415
CTNNA2	-1.666875
NUDT15	-0.503666666666667
CEPT1	-1.06383333333333
ZNFX1	-1.026
CCDC92	1.108
TDRD1	-1.658
KCNK5	-0.811666666666667
ETNK1	-1.22627272727273
LTA	0.7405
TTPA	-0.41
B3GALNT2	1.125375
SC65	-1.2825
PEX5L	-2.052
EPS15L1	-0.2695
MGEA5	0.139875
HIST1H3A	1.50825
ING1	0.56225
BCAT1	-4.25428571428571
ORC6L	-2.14390909090909
KLK11	-3.431
C19orf28	0.288625
DNER	-2.98975
MED22	-0.5815
ETV6	0.7865
CHAC2	-3.20325
CD300E	0.5805
CEBPB	0.679583333333333
ZNF398	1.1385
LRCH3	0.123
HMGA1	0.297333333333333
CAPN7	-0.104666666666667
MGC5566	-4.6705
CCL3	2.38316666666667
NANOS1	-1.747125
ZFYVE19	-0.553
APITD1	-0.906166666666667
PARD3	0.279625
IRAK4	-0.815833333333333
SERPINI2	-4.368
CEP170L	-1.731
TTC9	0.0484285714285714
MYOM3	-0.69575
MLPH	0.4615
LOC222699	-0.068
NRG1	-0.907083333333333
TBC1D9	-0.192636363636364
TTK	-2.673
ZNF557	0.3029
DDX41	-0.239333333333333
FANK1	2.24
UBE2D2	-1.15625
PSMB10	0.32525
MYH7B	1.0575
GABARAPL2	-1.28975
MARVELD2	1.78716666666667
DGCR2	0.495
UNC45A	0.945
C6orf72	-0.4415
ZNF683	4.02925
GIT2	-0.80875
CASK	0.0468333333333334
C14orf161	3.043
LRRC44	1.161
TIFA	-0.6295
UTP11L	-0.31575
C6orf65	-1.91925
FDPS	-1.7095
DUSP9	-0.4302
SLC17A8	0.909666666666667
OR51G1	-0.846166666666667
NANS	-0.3875
OLFML1	1.355
ATP10B	-1.15614285714286
NPAS3	0.116
PRKCA	-1.669
