Hybridization REF	TCGA-BH-A0DP-01A-21R-A056-07
NUP210L	-2.29625
GK	-0.52425
DNAJB1	0.7265
ALPK3	0.2335
CHID1	0.5437
CYLC2	0.490833333333333
IKZF5	0.4975
C8orf51	0.4205
PPM1J	1.63075
GIMAP8	3.3755
GPR101	0.167
NR2F1	-0.018
ACAD8	0.24875
RBM35A	1.463
GNAI2	0.1265
METTL8	-0.241333333333333
SLC39A7	-0.48425
FBXO8	0.5175
CAMK1	-0.60775
RFC3	-1.70775
FAM129A	2.452
ILF2	-0.64125
FGFBP3	-1.443375
NOM1	-0.989666666666667
PSMA3	-0.963
ASCC3	-0.1214
ZYG11A	0.07775
SOX21	-1.94275
LYRM1	1.45
DEFB1	1.5085
LOC91431	-3.0195
OR7C2	1.0335
FAM46B	1.56425
TMEM18	0.42375
ARHGAP30	1.58433333333333
TMEM86A	2.29041666666667
EPHA2	-0.391666666666667
C10orf46	0.76775
TCHH	-1.05616666666667
C3orf30	0.107
LOC285636	0.0455
PAIP2	0.2615
CYP2U1	-0.284125
C12orf34	0.966
SARS2	-0.865666666666667
ZCWPW1	1.624
SAMD12	1.8255
KIAA1430	-0.00275000000000001
ACAT1	-0.17225
MEOX1	2.54483333333333
ADAMDEC1	4.03225
PHKA2	-0.658
CARD11	-0.5175
CALML4	-1.5835
TSSC1	-0.717
TMEM45A	-0.828333333333333
MPP7	2.89275
POU1F1	-0.3365
SLC2A13	-0.7119
FBN2	-0.692857142857143
ZC3H7A	-0.3562
LAIR2	0.46725
ST3GAL1	0.876333333333333
LCT	-3.772
GEMIN8	1.15633333333333
KLF16	0.7772
HIF3A	-0.1916
FAM44A	0.156285714285714
AQP10	-1.0741
PLA2G2A	1.971
FOLH1	1.05716666666667
C20orf186	-0.6715
MAPKAP1	-0.437
SPRR2D	-1.73425
UBQLN4	-0.454166666666667
RSHL1	0.2955
PIAS3	0.7935
MRPL24	0.69575
GREB1	-3.10775
FAM27E3	-2.93
NUP62CL	-2.73175
NEUROG3	1.611
REEP3	0.959833333333333
MARK1	-0.773625
LMBRD1	0.53425
PRPF19	-1.586
PNMT	-0.944833333333333
CTGLF1	-0.9455
SLC25A16	-0.4435
EIF2B3	-1.447
RPA2	-0.4015
PAK6	1.59
CCDC26	-4.291375
SEMA3E	3.652
MXD4	1.2643
TNFSF10	4.0834
SMARCB1	-0.498333333333333
DTX3L	1.521
PLA2G4E	0.077
PPAP2A	0.98925
ULK1	-0.230166666666667
TAS1R3	0.0785
SLC2A3	-2.83990909090909
ARID3A	-2.05875
GNG5	-0.82075
ACOX1	-0.4969
KIF5B	-0.3105
NUP153	-1.354
MUC7	4.379
CSDE1	-0.206928571428571
CLPTM1	-0.332
C3orf23	-0.27975
LRRC17	0.843
TTYH3	-0.488125
ATP5B	-1.3665
ELF3	1.8233
CPSF3L	-0.1195
ZNF665	0.576833333333333
TLR6	1.1088
GPI	-1.25775
RAD9A	-0.47825
NDST4	-3.546
AGPAT3	-0.0975
MAGI3	2.59116666666667
ADORA2A	2.214125
CACNG7	-0.4515
CAMK2D	1.026
CCHCR1	-0.82375
RPS27A	0.213
OR10G7	0.1885
GCM2	0.1435
FAM135B	1.8755
E2F1	-2.26675
PLCB3	0.06375
OR2AE1	-0.388
COIL	-0.1145
CDC25C	-2.42133333333333
RAB11FIP2	0.423416666666667
TSC2	0.446
CTGLF5	-1.586
CCDC108	1.5037
OR13C4	-0.16325
C10orf81	5.23475
PTPRB	1.75025
ACP2	0.2045
LAG3	0.48325
MRPL54	-0.28575
LOC201175	1.251
ITGB1BP3	-1.89725
SPTAN1	0.0263333333333333
SIPA1L2	0.7335
RCAN2	-0.9555
CDX2	0.0995
ECOP	0.523
ACTR1A	0.110642857142857
PPARG	1.114
BBS10	0.534833333333333
TMEM44	-1.12875
BPIL2	-0.426
CITED1	-1.2625
IRF6	4.38675
PRDM4	-0.0791666666666667
RRP9	-0.9875
OR10H4	0.41475
IL31RA	-0.93325
GNB1L	-0.8565
MYBL2	-2.82875
ZNF407	1.01666666666667
PPIG	-0.165166666666667
TTC18	3.058
RPSA	-0.3275
MAPT	2.054
MRE11A	-0.0777142857142857
C8orf37	-0.330333333333333
RASGEF1C	0.0453333333333333
STBD1	0.23225
CTAG2	-0.437666666666667
MGAT5B	-2.52283333333333
ECM1	-0.073875
RLN1	3.3275
PARP14	1.1333125
EPB41L1	1.2769
HOXA3	-0.0559166666666666
MAGEA9	-4.324
RPS8	0.0325
RPS19BP1	-0.399
FOXJ2	0.47475
C10orf76	0.116625
IL17RE	-0.15625
C10orf65	-1.523
ZNF343	-0.148666666666667
FBXO33	-0.475
UHMK1	1.5045
LY6G6C	0.29925
FGF19	-2.71
C14orf128	-0.378333333333333
IFIT2	2.2365
TIGD1	-0.99925
S100G	-0.497
GUCY1B3	1.7865
NR3C1	-0.7153
CORO1B	0.441666666666667
PARP11	0.324
DNALI1	4.60433333333333
OR4N4	0.077
MAP2K6	0.0448333333333333
FSTL4	1.147
ANKRD47	1.763625
TMEM171	-1.775
PNLIP	-0.2295
YY1	-0.0251666666666667
CCDC138	-1.994
AASDHPPT	-0.4983
CKS1B	-0.577
MCM3	-1.2265
ANAPC7	-0.8785
FAM110A	1.38875
CDC37L1	1.2555
THTPA	1.0045
NBPF20	-0.6085
WDR24	0.714
NPTX2	-1.532
CBLB	0.8815
CETN1	0.260333333333333
RPUSD1	0.61725
FAF1	-0.50175
CDK6	-2.4153
HMX2	0.594
CSK	-0.557
TEAD2	0.5995
SNAP25	-1.555
TUFT1	1.9589
TMTC3	0.670833333333333
LCK	-1.4835
SGOL1	-2.0415
AKTIP	0.71025
FURIN	0.058875
SOX12	-0.5405
DEFB103A	-0.8315
RAMP1	1.505
KIR3DX1	-0.121
GAS2L3	-0.9295
PDE8A	-1.9297
EDN3	4.8685
GMIP	0.86625
SF3A2	1.24475
FN3KRP	0.23875
SMAD7	0.95125
RHBDD2	0.9705
OR11H6	0.413
PPP1R3B	1.9781
C9orf23	-0.0235
CADPS	-0.74925
GOLGA8A	-3.598125
TMEM57	0.6545
RGL3	0.247
S100A14	3.01825
FGFR2	2.92925
XRCC3	-1.113
RTN4RL2	0.272
MGC3771	2.376
GH2	0.0481666666666667
BTBD2	0.12375
LMO2	0.11925
RDBP	-0.882625
ACRBP	-1.24225
AMY2A	1.99
DUOXA1	0.9545
PTK7	0.5675
TWF2	0.382166666666667
FAM80A	-1.0815
TNNI2	-2.0095
GLT25D1	-0.719
OCC-1	-1.34
CYC1	-1.12116666666667
RPL22	0.377
MORN3	1.73316666666667
DISP1	0.899
PRB2	0.166
CHUK	-0.62525
HR	-0.15
CCDC134	-0.21025
DENND4B	-0.75625
C14orf130	-0.026875
RAB33A	-1.325
DCST2	0.2215
TNMD	0.073
PEX7	-0.046
FAM62A	-0.068625
SRD5A2L	0.6985
IL22	-0.08925
RPS26	-1.77683333333333
HOXC5	0.2505
SPATA6	1.96525
FLJ38482	0.544375
ZNF234	1.0975
C18orf22	1.382
SPATA22	0.7635
THOC1	-0.64225
CYP7B1	3.1225
KCNC3	0.47525
C8orf42	-0.247
ALDH1B1	0.0856666666666667
CCDC100	0.1746
ARMC4	-0.59025
FAM18B2	0.29925
SLC44A1	1.55475
FBXO17	-1.39516666666667
C6orf107	-0.391
C19orf29	-0.0875
ZC3HAV1L	-0.06175
PARP6	-0.5232
SULT2A1	-5.330875
C1orf159	-0.69025
TMC1	0.220666666666667
CHST14	0.43125
GAMT	0.229
SMCP	-0.057
TSPAN33	0.776083333333333
MIDN	0.248375
NOX4	2.99025
RNASEN	-0.6401
TBX1	0.72
SALL2	1.06375
C10orf35	1.89975
CYP2E1	-0.085125
LRFN2	1.67516666666667
ACO1	-1.02816666666667
IQCG	1.7686
MEGF9	1.995
TM7SF4	2.49975
PLEKHA1	0.411933333333333
STK33	-2.71075
C1orf210	2.22025
SNUPN	-0.2571
KIAA0406	-1.443
C20orf29	0.20575
TMEM55B	-0.187
OSTM1	-0.90525
CLCN7	0.6585
OTP	0.208
FLJ23049	1.17125
HEATR4	1.061
MAP3K10	0.987166666666667
PCDHGA9	-0.083
AMDHD2	0.93825
LCTL	-2.0335
PDCD2L	-1.32175
CABLES2	-0.615
SLC5A9	-0.726
CLCA2	0.372833333333333
MGC16025	-0.555
STRAP	-1.48166666666667
C20orf196	-0.471
RRBP1	-0.043
NAT13	-0.91925
MAT2B	0.56825
CSNK1D	-1.11733333333333
KIR3DL1	0.2175
PRKAG3	-0.431
ZNF599	1.2275
PRM3	0.698
PER2	1.887
ASPHD1	-1.224
PRMT6	-1.046
KCNE1L	-0.591
FAM118A	-0.769333333333333
TAF4	-1.08275
NDUFB6	-0.798
TRIM9	-0.0811666666666667
PMFBP1	-1.01125
KY	1.0855
DKFZp762E1312	-3.21927272727273
CSMD1	-1.0445
TBP	-0.900333333333333
OR1Q1	0.637333333333333
RETNLB	0.16825
HPGD	0.388285714285714
DNAJC12	1.4145
FKBP1B	-1.0525
ANKRD24	1.07166666666667
CXXC5	0.6125
IL3	-0.037625
DRAM	1.2823
PTCH1	-1.15275
TP53BP1	0.2445
SLC17A7	-0.500625
COL25A1	-0.96
AMACR	-0.415166666666667
RHCG	0.00625000000000001
VPS13A	-0.40475
FAM55D	0.3655
PRPF38B	-0.865666666666667
OSBPL6	1.15625
PFDN5	0.89
CMTM6	1.57075
KCNK12	-2.008
RP2	0.243
C16orf52	-0.8025
PICK1	0.252
IFNE1	-0.884166666666667
SEMA4B	0.98525
TYRO3	-2.11925
OR12D2	1.021
CSNK1A1	0.3991
FANCF	1.47225
LONP2	0.386625
TBL1Y	-0.09625
LDOC1L	-0.058125
CCNC	-0.90475
C3orf60	-0.4155
CHKA	-0.82775
UBAP1	0.12625
MAP3K1	2.5715
ANKRD9	-0.6965
FAM92A1	-2.15183333333333
GAB2	1.008625
AZU1	0.3125
DIS3	-0.928
C21orf109	-1.1295
IQCB1	-1.1305
SPATS2	-0.6715
EFCAB3	-0.261
PRB3	0.148
FUZ	0.618
ZNF813	-0.048625
BMPER	-1.29966666666667
HEG1	0.308875
ALS2CR11	-1.7
SURF2	-0.55575
PSMC1	-0.114583333333333
OR2D2	0.343
SLC7A8	2.10316666666667
C4orf40	-0.1545
SPATA7	1.06775
MAZ	-0.172583333333333
PIN4	-0.226
PDE1A	-0.536
TAF6L	-0.403166666666667
OR2T34	0.347
KIAA0284	0.2985
ACADS	0.224454545454545
MKRN2	-0.9055
C18orf56	-2.28475
MS4A6E	0.0991666666666667
GALNT4	0.4206
C22orf31	0.1465
FLJ36070	0.2225
PSME4	-0.46525
TFG	-0.3461
EPHX2	2.067875
ANXA5	-0.021
KRTAP1-1	-0.1233
BATF	1.95
KARS	-1.4155
MSTP9	-0.5555
GPR26	-0.18625
CCDC72	-0.5765
TEF	1.70416666666667
FOXK1	-0.134
PRLHR	0.4715
EMX1	1.53925
C11orf30	-0.219625
ICK	0.059125
THSD7B	0.41875
C21orf100	-0.5595
DUOX1	1.6965
EFCAB4B	-0.814
UBE2G2	-1.2305
C3orf54	0.28975
PARP1	-0.50625
FAM60A	-1.03516666666667
C6orf146	-1.62633333333333
OR9K2	-0.016
DDX55	-1.7555
RPS15	0.56175
ZNF618	0.7851875
DKFZp686D0972	0.879
SSPO	0.9425
SHFM3P1	1.25766666666667
CPA6	-0.16725
JAG2	1.346
DEFA3	0.19425
PPBPL2	0.288833333333333
CD34	4.056
SLCO4A1	-3.106375
AFG3L1	-2.2955
SHD	-1.1625
RP13-122B23.3	-0.582333333333333
PRKCSH	-0.407
DPH5	0.0335
HLA-F	2.425875
TBC1D4	-0.028
RIG	-0.370333333333333
GLUD1	0.216333333333333
HNRPCL1	0.524375
HBXIP	-0.984
RNF207	-0.4555
APIP	-0.8405
PLA2G3	-1.38283333333333
CCDC84	-1.27625
MYLIP	-0.00123076923076925
PHIP	-0.09425
AARS2	-0.609166666666667
DHX32	0.5895
SCAPER	0.0925
MEN1	0.087125
NIP7	-1.55925
FLJ25404	0.36
FASTKD3	-0.99975
TMEM158	-2.14725
RARA	1.52675
BDH1	0.1175
ANKRD16	0.58825
CARM1	0.5675
SS18	0.528
IKZF2	0.825583333333333
MYD88	0.513375
PML	0.6075
TAF1A	-0.824
CBFB	-0.8735
HIST1H3H	-1.43083333333333
C7orf29	-1.98425
COMMD4	-1.10916666666667
DPP3	-1.2465
DAB2	0.654625
LOC388882	-0.1285
YPEL4	-0.65375
AGBL3	1.0475
LRP6	0.2685
SERPINH1	0.0234166666666667
TLE1	-0.03175
CD244	0.956166666666667
ZDHHC15	-0.263
MGLL	0.2107
PLDN	-0.4055
LOC654346	2.149
FAP	3.07475
GPR37	0.840666666666667
SCARA5	0.414166666666667
EBF4	2.04563636363636
LSM6	-0.568
MLLT1	-0.1265
SLC5A12	-0.9805
A2BP1	-0.862
COPS5	-0.274333333333333
TPM4	-0.616714285714286
TNFSF4	0.348166666666667
ACADSB	2.22005555555556
HERPUD1	0.56
BCL2L11	-0.709944444444444
CEP78	-0.845625
CDCA3	-2.49175
WBSCR19	0.6337
MYO1A	-2.304
PPEF1	2.50366666666667
LOC440348	-1.19275
CPEB2	1.199
BPTF	-0.566833333333333
RPL21	0.3219375
GSX2	-0.1
ADPRH	1.34933333333333
C17orf68	-0.0398333333333333
KCNS1	0.104833333333333
MLLT6	0.4533
PIWIL4	-0.466
RNF26	-0.22875
RAP1B	0.51625
ADAMTS1	-1.4912
ZNF571	0.608
P2RY6	-0.2815
TRIM21	1.43283333333333
CADM3	0.36775
NLRC5	0.569333333333333
ADRA2B	-0.166166666666667
LOC90835	1.01075
PCF11	-0.09825
LOC400451	1.10325
GLTSCR1	0.9651
C17orf88	-0.745166666666667
CDH16	-1.55375
FGF7	2.437875
PCSK4	0.650833333333333
NPC1L1	-1.46733333333333
TAT	0.467375
TBCA	-0.728
MGC33407	-0.17225
GPR115	-1.370125
CYGB	0.293
FNBP4	-0.986666666666667
C12orf43	-0.272
CBL	-0.128
CLECL1	1.0765
PPAPDC1A	2.22825
WDR25	0.6025
SGCA	1.0025
C22orf29	0.0903333333333334
YIPF1	1.24525
GALK2	-1.06
RAB3B	-3.90066666666667
LOC440087	0.906
UCP1	-1.0485
REEP5	1.703625
FADD	-0.1177
FOXA1	3.07875
CACNA1A	0.248
ABI1	0.300833333333333
GRIN2D	1.44
SLC1A4	-0.570666666666667
LOC401127	-1.55225
HINT2	0.26425
PLD4	1.84783333333333
ZNF286A	-1.1205
ENY2	-1.03725
IL1F6	0.091
PXDNL	0.474
C20orf79	-1.20625
TNFSF13B	3.11483333333333
DENND3	0.411
JARID1D	-3.80825
HIST1H2AK	0.3605
LOC93349	0.7177
SSH1	-0.8086
ENSA	-0.175
LOC219854	0.881
CKAP2	-2.1022
DKFZP564J102	0.7065
MGC87315	0.244333333333333
HNRPAB	-1.13225
AMH	-2.494
ZNF526	0.451
BRUNOL5	-0.3356
CACNG3	-0.209
TRPM1	-1.894
PPP2R1A	-0.032875
COL2A1	-1.4715
DDN	-0.691166666666667
FLJ25770	1.154
HK2	-0.643571428571429
ELOVL6	-1.723875
MDK	-0.96875
EPHX1	1.24025
RASSF2	1.042625
DKFZP434B0335	-0.05525
DLX3	-0.182625
PRTN3	-0.116
AVPR1A	0.6755
C21orf125	-2.2875
TNFAIP8	-0.230333333333333
GNB2L1	0.193
CALCRL	2.62475
SCGB2A2	9.40183333333333
UBXD7	-0.0585
ZNF674	-0.432
TMEM35	0.53
BRSK2	-1.260875
HECTD3	-0.219333333333333
TMEM188	-0.455583333333333
LGALS9	2.410125
SCARB2	0.56275
USP34	-0.144166666666667
C17orf28	0.502083333333333
ZDHHC23	-1.5695
AQP12B	0.456
SLC16A3	-2.29425
APLP2	0.6205
ITIH2	-5.1825
MICAL3	-0.556375
TNNI3K	1.6821
HDAC2	-0.78925
PRR7	-0.0699
THBS2	1.089375
LOC751071	-0.535
CA2	4.16483333333333
RANBP17	-0.06475
RLN3	-0.1045
CRYZ	-0.0665
GBAS	0.506333333333333
TAS1R1	-0.464
MPZL3	0.8235
PCDH8	0.9745
HSP90B1	-0.604333333333333
KCNK15	-0.348
TNIP2	0.3925
GPR146	0.447
NOL6	-0.38
SPC25	-3.36444444444444
STEAP2	4.22742857142857
VAMP3	-0.289166666666667
TCIRG1	0.47875
ZP4	-0.146666666666667
PARL	0.060375
TRIM39	0.0843333333333333
KIAA1305	0.88
CRNN	0.3656
GRN	0.52575
HSH2D	-1.476
SCAMP1	0.830875
KIAA1913	1.2575
PTS	-0.587
BANP	0.0358571428571429
PRKACG	0.08075
ADCY6	0.479
C16orf46	0.3395
CYP51A1	0.443375
DDC	-5.637
ANPEP	0.185
PROM1	2.07466666666667
SIGLEC10	2.887
COPG	0.836
FAM26E	1.648625
TRIP4	-0.10325
SNX3	-0.0886666666666667
C1orf175	0.944666666666667
PPY2	-0.2745
C14orf152	0.03425
FTSJ1	-0.992
DST	0.63885
LOC554235	-0.24325
GLRX5	-0.73325
C20orf12	1.5044
CAB39	0.602166666666667
MSH2	-1.552
PIP4K2C	0.667
CYLD	0.86675
WTAP	0.2990625
MGAT4A	0.719222222222222
TSC22D4	0.066
CHRM2	-1.667
PPYR1	0.165333333333333
CCNH	-0.589333333333333
RRM1	-0.40925
ECAT8	-3.568
LOC400120	-0.1125
GABRA4	-0.243125
C14orf4	0.711333333333333
C1orf59	-1.13225
CTDSPL	0.718666666666667
NHEDC2	0.052
PDE11A	0.079375
KLHL29	-0.6425
CD5	-0.4254
TSPAN9	1.595125
WDR67	-1.145
THUMPD1	0.8132
C18orf17	1.008
CLYBL	-0.0366666666666667
FLJ13231	-0.328625
CMBL	0.786375
LECT2	-0.59475
NKAPL	2.02216666666667
LOC654780	0.559
OR4C6	0.6525
RAB30	1.39666666666667
TSSK4	-0.049
TMEM163	-0.2655
OSBPL11	0.280916666666667
GNB5	-0.693833333333333
CCL21	1.04075
C1orf121	0.0711666666666667
FMO2	2.825
RPTN	0.752
MSTN	0.251
VCL	0.0285
FYTTD1	-0.32875
C11orf1	0.752
CCDC88C	0.320125
HFE	-0.146
MOGAT1	-0.1605
FAM125B	0.410833333333333
IRGQ	0.3065
RAVER2	-1.08425
AKAP5	-1.299
SSSCA1	-0.6205
C11orf63	1.432875
ACTG2	1.1612
PORCN	-1.186
DTL	-1.81981818181818
TMEM151	0.415
FAM122C	-0.54525
RSAD2	2.3417
BAT4	-0.4135
KRTDAP	-0.824666666666667
MYH8	0.13425
CRTC3	0.80225
LRRFIP2	0.1514
INTS4	-0.322166666666667
TTN	-1.3635
SLC26A5	0.809
PLLP	0.56375
RGS6	-0.519875
SRGAP3	1.58725
ZNF525	0.160666666666667
NBR2	-0.382666666666667
C13orf1	-0.4046
ZNF137	0.092
CEP27	-2.1555
BEST2	0.0455
RNF121	-0.26125
DMRTC2	0.518
C8orf76	-0.96375
BCCIP	-0.2745
MEST	-0.779
HTRA2	-0.039
ANGPTL2	1.058
ILKAP	-0.630333333333333
ERAS	0.2315
HBS1L	-1.101125
CPA5	0.0485
TMEM30A	0.5805
CD300LF	2.43183333333333
WISP3	0.937
CRK	0.138
PDS5A	-0.4392
BRPF3	0.0293333333333333
NEDD9	0.945625
SMPDL3B	1.1475
PSG6	-0.53925
PSMD13	0.322
ETV5	-1.1598125
OR51A4	-0.0195
BTBD7	0.561416666666667
GSTO1	-1.247125
hCG_16001	0.658
MAD2L1BP	-0.697
COX6A2	1.6825
SCNN1A	2.485
LSM1	-0.0235
UGT2B11	-4.07475
IDUA	0.97825
PPP2R3C	-0.844333333333333
COX11	-1.00933333333333
PDZK1	-3.515
ZNF443	-0.225666666666667
MGC21874	1.32083333333333
ZNF323	0.4069
KRTAP10-10	-0.1485
CXCL6	-0.54825
SLC34A2	2.1279
LOC284402	0.4245
NPTN	0.28175
UPP1	-1.98783333333333
SLC6A9	-0.809
OR7G3	0.093
CISD1	-0.814333333333333
ZNF545	-0.634666666666667
SYT14	-0.1675
NT5C3L	0.0515
ZNHIT3	-0.0768333333333333
SNRPD3	-0.73375
KIAA0701	0.279375
UNC93B1	0.6025
GMNN	-2.19725
SPCS2	0.315833333333333
LOC388524	0.083
NAPRT1	0.102375
PNLIPRP1	0.57075
OR6V1	0.573
PRKAB1	0.23625
EYA4	-3.8685
KIF20A	-2.77525
ALG10	-0.20725
ITPKC	1.54333333333333
LMX1B	1.02166666666667
RPUSD4	0.313166666666667
C7orf34	0.378333333333333
DLGAP2	0.31
PFN1	-0.7584
MICALL2	0.0141666666666667
ZNF654	-0.707
SS18L1	-1.982
SLC16A8	0.14825
MKI67IP	-0.481166666666667
ITGB3	0.37825
TCEA3	2.8425
CEP152	-2.5688125
CLIP1	0.379125
ZNF75	0.109375
ATP5C1	-1.0245
NUDT5	-1.224
PSCDBP	1.35
UBP1	0.324
RBM27	0.32675
C13orf15	2.683
ZNF282	0.2215
ZNF222	-0.6455
COL10A1	6.58125
PRDM15	-0.79225
TTTY5	-0.193
FAM9C	-0.224583333333333
C20orf67	-0.0865
GNG13	0.4235
F12	0.869
C1orf41	-0.71875
CPXCR1	0.2745
GSK3A	-0.09725
SUPT6H	0.1035
PI16	2.2235
ELL2	-0.0196666666666667
C9orf167	-0.9805
PVRL3	-1.3701
FLJ38596	0.38525
ADAM20	-0.0605
GPR89A	0.291
GPR87	-0.2545
ZNF30	0.35425
SMR3B	6.0375
ZNF770	-0.307625
TRPC4AP	-0.6585
DKFZP686E2158	0.294333333333333
C2orf28	0.0648333333333333
FREM1	-0.353666666666667
LAMA4	0.5305
ADPRHL2	0.15775
EIF4G2	0.0648333333333333
GUCA1A	-0.63
CTNNA2	-1.236875
NUDT15	-1.52233333333333
CEPT1	-0.00966666666666668
ZNFX1	0.6084
CCDC92	1.24375
TDRD1	-1.297
KCNK5	-1.65833333333333
ETNK1	-0.0725833333333333
LTA	0.468
TTPA	1.16916666666667
B3GALNT2	-0.4725
SC65	0.192666666666667
PEX5L	-1.503
EPS15L1	-0.344
MGEA5	-0.0135
HIST1H3A	0.508
ING1	0.387625
BCAT1	-3.650625
ORC6L	-4.22609090909091
KLK11	-3.0365
C19orf28	-1.572
DNER	-5.112125
MED22	-0.736142857142857
ETV6	1.57758333333333
CHAC2	-3.1455
CD300E	0.00749999999999999
CEBPB	0.99525
ZNF398	-0.032
LRCH3	-0.5595
HMGA1	-1.82783333333333
CAPN7	-0.244333333333333
MGC5566	-3.35
CCL3	2.499625
NANOS1	-0.598625
ZFYVE19	-0.30375
APITD1	-0.238333333333333
PARD3	1.074875
IRAK4	-0.350666666666667
SERPINI2	0.2065
CEP170L	-0.34325
TTC9	1.63425
MYOM3	-0.60875
MLPH	1.418125
LOC222699	-0.058
NRG1	-0.379416666666667
TBC1D9	3.08781818181818
TTK	-3.15683333333333
ZNF557	0.3719
DDX41	-0.254166666666667
FANK1	3.7645
UBE2D2	-0.058375
PSMB10	0.8625
MYH7B	0.421
GABARAPL2	-0.35025
MARVELD2	1.87816666666667
DGCR2	1.01533333333333
UNC45A	-0.3015
C6orf72	-0.017
ZNF683	5.0825
GIT2	0.144375
CASK	1.02416666666667
C14orf161	3.27033333333333
LRRC44	-0.69475
TIFA	1.69025
UTP11L	-0.51825
C6orf65	-0.7235
FDPS	-0.395
DUSP9	-2.055
SLC17A8	0.279166666666667
OR51G1	0.3835
NANS	0.029
OLFML1	2.0875
ATP10B	-1.590125
NPAS3	0.12675
PRKCA	-2.0505
GGA2	0.270625
LCE4A	0.5545
SPANXN3	-0.049
CCDC115	1.534375
SDCCAG3	-1.07475
GLIPR1L1	0.06925
TTC1	-0.033
C17orf76	0.887
MAD2L2	-1.51125
HIPK1	-0.0464
LRRC3B	-0.345833333333333
CLN3	0.312909090909091
C17orf47	0.2575
FMN2	-3.002125
TUBB1	-2.281625
WAPAL	0.198
C3orf21	-0.56975
SCN5A	-0.2926
SMYD1	0.16325
BEX5	1.539
ZNF192	-0.104
SEC22A	0.230166666666667
GRIA2	0.454214285714286
KIAA0825	-1.073
NUSAP1	-3.39927272727273
LANCL1	-0.318625
C15orf40	-0.6506
ZNF645	0.150625
GPR61	-0.09125
NLRP14	-0.6695
SNX21	0.0345
C1QTNF8	0.2035
C17orf46	0.09425
IFNA8	0.4565
SPRR1B	-1.78366666666667
FLRT1	-0.7675
SNX17	0.0415
ASB2	-0.0748333333333333
HBG1	-5.5015
RPRML	-2.01475
JOSD2	0.0341666666666667
PLSCR3	0.1855
SPOCD1	-1.20166666666667
RAB39	0.0155
GHRH	-0.418333333333333
ITIH5L	-0.08425
C17orf37	-0.126
SMCR8	0.05225
DPY19L2P3	0.298166666666667
IL11RA	0.548
GDF3	-3.59833333333333
RPS6KB1	-1.09183333333333
DNAJC19	-0.3598
TOP1	-0.593
CRCT1	0.1565
MPST	0.200125
DPM2	-0.228125
FAM38B	-2.31883333333333
SLC18A1	-2.72233333333333
FARP1	0.264
PAX7	0.00949999999999999
TUBD1	-1.69875
GNL3	-0.818
BTG2	3.12253333333333
NDUFS6	-1.01425
C1orf79	-2.025
ERAL1	-0.72
ECHS1	0.3665
VPS4A	-0.453833333333333
CYP11A1	-0.42925
ABCC6	-1.05192857142857
PBX4	-0.7385
MOSC1	-0.46125
NCF4	0.9655
HYMAI	0.21
NAGPA	0.12525
OTOP2	0.03525
ACOT12	-0.388
MTHFD2L	-0.448
LOC441376	1.37075
C19orf34	-0.628
RAB1B	-0.4135
ALDOAP2	-0.4445
NTRK1	-1.27483333333333
ARTS-1	1.3262
SLC6A11	-1.9205
NAP1L2	0.587
CNGB1	-0.147833333333333
EPB41L4B	-0.60475
FAM134B	3.193
HS3ST3A1	-0.1525
CPXM2	5.425
SIRPB2	0.4905
CHORDC1	-1.81966666666667
TRIB3	-1.05066666666667
SLC2A5	1.00175
C2orf49	-0.619
DDX5	-0.49975
OR5L1	0.7255
ANAPC4	-0.4735
ZSWIM1	0.12325
LOC93622	0.06225
KCNK3	-0.3279
RP11-35N6.1	-1.615
ZFP161	0.73
AQP9	3.40925
SLC15A2	-1.19
MREG	0.0383333333333333
OR9I1	0.643
PDLIM2	0.86075
ADAM7	-0.0485
GSTCD	0.241833333333333
WDR21A	0.736
SLC12A8	1.63866666666667
TMEM174	-0.15875
IGSF3	0.743916666666667
LRRN1	3.51525
LOC402117	-0.35375
SRPK1	-1.79866666666667
LY6K	0.1490625
NFIA	3.352
PTCD3	-0.974
LEP	3.37533333333333
PCDH21	-0.551333333333333
MAPKAPK2	1.02671428571429
NMNAT1	-0.544
LHFPL2	0.53825
C9orf43	0.2635
DIP2A	-1.22216666666667
ACTR8	-0.271625
CCDC34	-0.21875
PTPN22	-0.91275
ITGA3	-0.42075
FAM129C	0.01875
RABGGTA	0.1305
UNC45B	0.374
KIAA1033	-0.224625
ZNF510	-0.163666666666667
CYP2D6	-0.673833333333333
SLC26A10	-2.3565
STX8	0.15475
LUZP1	-0.04475
WDR89	-0.114666666666667
EIF4G3	-0.0706
C5AR1	0.958125
ZNF623	-0.145
A2M	1.389
TGM7	-0.101
GRPEL1	-0.925666666666667
LMNB2	-1.6588
ROCK2	-0.506666666666667
SNX16	0.76525
CCDC66	-0.4255
ANXA3	1.29775
KIAA1609	-0.393375
EED	-0.92125
RNF32	1.606
HES1	0.6907
CLC	0.4935
ISL1	0.0161666666666667
KIAA0528	0.293125
MANEA	-0.26
C1orf61	-2.19
hCG_2001000	0.82875
RAPGEF6	0.00859999999999999
KIAA0020	-0.626
NEIL1	0.1775
C16orf45	1.417125
RBM10	0.0988333333333333
C10orf125	-0.999875
MRS2L	-1.4505
DNAH17	-0.899125
C19orf10	-0.8635
C1orf160	0.663
SLFN12	1.114
EXOC3	-0.0898333333333333
HIST3H3	-0.137
NCOR2	0.3185
TNFRSF9	0.7465
MFSD8	-0.01275
