Hybridization REF	TCGA-BH-A0DK-01A-21R-A056-07
SPATA6	0.47975
FLJ38482	0.3085
ZNF234	1.9595
C18orf22	0.71775
SPATA22	1.31975
THOC1	-0.7855
CYP7B1	3.62775
KCNC3	0.218
C8orf42	-0.844
ALDH1B1	-0.507166666666667
CCDC100	0.1133
ARMC4	-1.4805
FAM18B2	-0.12675
SLC44A1	0.43025
FBXO17	-1.98516666666667
C6orf107	0.3785
C19orf29	-0.3145
ZC3HAV1L	0.222
PARP6	-0.3656
SULT2A1	-5.299375
C1orf159	-1.116
TMC1	0.32875
CHST14	0.54875
GAMT	-0.1025
SMCP	0.3675
TSPAN33	0.965083333333333
MIDN	1.08725
NOX4	2.9585
RNASEN	-0.8672
TBX1	1.67
SALL2	-0.83775
C10orf35	1.27925
CYP2E1	-1.228875
LRFN2	1.806
ACO1	-1.43766666666667
IQCG	0.1202
MEGF9	3.13325
TM7SF4	2.27225
PLEKHA1	0.552133333333333
STK33	-3.40925
C1orf210	2.5235
SNUPN	-0.1704
KIAA0406	-1.1351
C20orf29	0.478
TMEM55B	0.00674999999999999
OSTM1	-0.468625
CLCN7	-0.0275
OTP	0.32575
FLJ23049	-0.75775
HEATR4	0.3345
MAP3K10	1.311
PCDHGA9	0.0355
AMDHD2	0.11075
LCTL	-2.381
PDCD2L	-0.47075
CABLES2	-0.02025
SLC5A9	-0.5195
CLCA2	-0.480333333333333
MGC16025	1.408
STRAP	-0.646333333333333
C20orf196	-0.5665
RRBP1	0.822
NAT13	-0.762
MAT2B	0.039625
CSNK1D	-0.9035
KIR3DL1	0.777
PRKAG3	-0.00899999999999998
ZNF599	0.907
PRM3	0.8365
PER2	0.984
ASPHD1	-2.416
PRMT6	-0.65675
KCNE1L	-0.695714285714286
FAM118A	-0.906666666666667
TAF4	-0.2385
NDUFB6	-0.219
TRIM9	-1.14991666666667
PMFBP1	-0.79675
KY	0.1425
DKFZp762E1312	-1.49745454545455
CSMD1	-1.926
TBP	-0.532833333333333
OR1Q1	-0.0103333333333333
RETNLB	0.27125
HPGD	0.140214285714286
DNAJC12	2.02066666666667
FKBP1B	-2.00475
ANKRD24	-0.095
CXXC5	1.99016666666667
IL3	-0.10775
DRAM	0.998
PTCH1	-0.31225
TP53BP1	0.1275
SLC17A7	0.39125
COL25A1	-1.369
AMACR	-0.5245
RHCG	0.4075
VPS13A	-0.30225
FAM55D	0.434
PRPF38B	-0.463333333333333
OSBPL6	-0.863
PFDN5	0.5142
CMTM6	0.541
KCNK12	-1.67125
RP2	0.12225
C16orf52	-1.79675
PICK1	0.3165
IFNE1	-1.96466666666667
SEMA4B	0.6675
TYRO3	-1.61575
OR12D2	-0.254
CSNK1A1	0.568
FANCF	0.8485
LONP2	0.74975
TBL1Y	-0.173
LDOC1L	0.3435
CCNC	-0.056
C3orf60	-1.0725
CHKA	-1.722
UBAP1	0.14075
MAP3K1	1.794
ANKRD9	-0.83
FAM92A1	-1.9645
GAB2	-0.14975
AZU1	-0.46525
DIS3	-0.768916666666667
C21orf109	-0.59675
IQCB1	-1.105
SPATS2	-0.473
EFCAB3	-0.39225
PRB3	0.224375
FUZ	-0.218
ZNF813	-0.22125
BMPER	-1.10666666666667
HEG1	0.448
ALS2CR11	-1.17275
SURF2	-0.8635
PSMC1	0.357833333333333
OR2D2	0.435
SLC7A8	2.091
C4orf40	-0.0455
SPATA7	0.6265
MAZ	0.071
PIN4	-0.24725
PDE1A	0.816375
TAF6L	-0.283833333333333
OR2T34	0.065
KIAA0284	0.0685
ACADS	-0.921636363636364
MKRN2	-0.1975
C18orf56	-0.85875
MS4A6E	0.0208333333333333
GALNT4	1.9201
C22orf31	0.789
FLJ36070	0.5495
PSME4	-0.23575
TFG	-0.0016
EPHX2	1.228375
ANXA5	-0.17325
KRTAP1-1	-0.5154
BATF	2.407
KARS	-1.6485
MSTP9	-0.563
GPR26	-0.424
CCDC72	0.153
TEF	0.607166666666667
FOXK1	-0.9077
PRLHR	0.521
EMX1	1.04825
C11orf30	-0.046875
ICK	0.505625
THSD7B	0.6805
C21orf100	-0.644
DUOX1	2.2855
EFCAB4B	-0.82
UBE2G2	-0.3035
C3orf54	0.40325
PARP1	-0.224
FAM60A	-1.75583333333333
C6orf146	0.18225
OR9K2	0.0875
DDX55	-1.00733333333333
RPS15	0.726083333333333
ZNF618	0.760875
DKFZp686D0972	0.96575
SSPO	-1.1115
SHFM3P1	1.113
CPA6	3.973
JAG2	1.2105
DEFA3	0.612
PPBPL2	0.0313333333333333
CD34	5.0065
SLCO4A1	-3.0255
AFG3L1	-1.8695
SHD	-0.58075
RP13-122B23.3	-0.262833333333333
PRKCSH	-0.269833333333333
DPH5	-0.756166666666667
HLA-F	2.44
TBC1D4	-0.29425
RIG	-0.0873333333333333
GLUD1	-0.1095
HNRPCL1	0.075
HBXIP	-0.23525
RNF207	-2.607
APIP	-1.46625
PLA2G3	-2.105
CCDC84	-2.35925
MYLIP	0.725076923076923
PHIP	0.1715
AARS2	-0.6425
DHX32	0.367
SCAPER	-0.346833333333333
MEN1	-0.14175
NIP7	-1.64175
FLJ25404	0.4055
FASTKD3	-0.5615
TMEM158	-2.32958333333333
RARA	1.14575
BDH1	0.2325
ANKRD16	0.9175
CARM1	0.481
SS18	0.383333333333333
IKZF2	0.341083333333333
MYD88	0.58775
PML	0.75805
TAF1A	-0.835
CBFB	-0.9335
HIST1H3H	-0.3035
C7orf29	-2.2175
COMMD4	-0.659166666666667
DPP3	0.61525
DAB2	1.058125
LOC388882	-1.219
YPEL4	-0.562625
AGBL3	1.4115
LRP6	-0.1927
SERPINH1	0.338583333333333
TLE1	-0.2375
CD244	1.10833333333333
ZDHHC15	-1.18825
MGLL	0.393
PLDN	0.081
LOC654346	2.2295
FAP	3.058
GPR37	0.594166666666667
SCARA5	2.08666666666667
EBF4	1.75272727272727
LSM6	-0.223
MLLT1	-0.11075
SLC5A12	-0.96925
A2BP1	-1.594
COPS5	-0.242166666666667
TPM4	0.417857142857143
TNFSF4	2.277
ACADSB	1.34155555555556
HERPUD1	0.50375
BCL2L11	-0.298444444444444
CEP78	-0.760625
CDCA3	-2.114
WBSCR19	-0.1316
MYO1A	-2.7185
PPEF1	2.92916666666667
LOC440348	-1.4715
CPEB2	1.222875
BPTF	0.85575
RPL21	-0.4714375
GSX2	-0.3895
ADPRH	1.852
C17orf68	-0.45
KCNS1	-0.813666666666666
MLLT6	-0.2932
PIWIL4	-0.10525
RNF26	-1.02175
RAP1B	0.346125
ADAMTS1	-1.0155
ZNF571	0.23675
P2RY6	0.436
TRIM21	1.48816666666667
CADM3	0.555
NLRC5	0.958833333333333
ADRA2B	0.0535
LOC90835	-1.843875
PCF11	0.127
LOC400451	1.405
GLTSCR1	1.2048
C17orf88	-0.849833333333333
CDH16	-2.25775
FGF7	2.516875
PCSK4	0.387
NPC1L1	-1.3175
TAT	0.250875
TBCA	0.2055
MGC33407	0.15775
GPR115	-1.241625
CYGB	0.8515
FNBP4	-1.5455
C12orf43	-0.1015
CBL	-0.6627
CLECL1	2.767
PPAPDC1A	1.251
WDR25	0.299833333333333
SGCA	1.6145
C22orf29	-0.409166666666667
YIPF1	1.4815
GALK2	-0.8935
RAB3B	-0.8635
LOC440087	-0.96375
UCP1	-0.817
REEP5	1.21725
FADD	-0.5813
FOXA1	3.151125
CACNA1A	0.516666666666667
ABI1	-0.0463333333333333
GRIN2D	1.7675
SLC1A4	1.64133333333333
LOC401127	-0.26925
HINT2	-0.1765
PLD4	1.23783333333333
ZNF286A	-1.31025
ENY2	-0.59325
IL1F6	0.477
PXDNL	3.0655
C20orf79	0.03025
TNFSF13B	3.80533333333333
DENND3	0.5855
JARID1D	-3.61125
HIST1H2AK	0.239
LOC93349	0.6416
SSH1	-0.5693
ENSA	0.42475
LOC219854	-0.586666666666667
CKAP2	-1.5263
DKFZP564J102	0.00666666666666666
MGC87315	0.234
HNRPAB	-0.4875
AMH	-0.3075
ZNF526	0.784
BRUNOL5	-0.4535
CACNG3	0.332666666666667
TRPM1	-2.956
PPP2R1A	0.455125
COL2A1	-1.54225
DDN	-0.305333333333333
FLJ25770	0.890916666666667
HK2	0.086
ELOVL6	-1.175625
MDK	0.169
EPHX1	1.2675
RASSF2	0.914375
DKFZP434B0335	-0.3695
DLX3	1.385625
PRTN3	-0.8905
AVPR1A	2.52675
C21orf125	-1.8965
TNFAIP8	0.352833333333333
GNB2L1	-0.52675
CALCRL	4.76925
SCGB2A2	7.99366666666667
UBXD7	0.578
ZNF674	-0.2715
TMEM35	0.38125
BRSK2	-1.327125
HECTD3	-0.0938333333333333
TMEM188	-0.63125
LGALS9	2.701875
SCARB2	1.28575
USP34	-0.0468333333333333
C17orf28	1.80775
ZDHHC23	-1.3365
AQP12B	-0.226
SLC16A3	-2.761375
APLP2	0.1415
ITIH2	-5.70375
MICAL3	-0.84575
TNNI3K	1.2127
HDAC2	0.323625
PRR7	-0.0712
THBS2	0.34
LOC751071	-0.9695
CA2	0.663
RANBP17	0.79925
RLN3	-0.00474999999999999
CRYZ	-1.5
GBAS	-0.174333333333333
TAS1R1	-0.63125
MPZL3	0.342
PCDH8	-1.57425
HSP90B1	0.18925
KCNK15	1.891
TNIP2	0.243333333333333
GPR146	0.67075
NOL6	0.04225
SPC25	-1.94944444444444
STEAP2	1.63778571428571
VAMP3	-0.162166666666667
TCIRG1	-0.40775
ZP4	-0.4346
PARL	0.026
TRIM39	0.1435
KIAA1305	1.526
CRNN	0.197
GRN	0.224
HSH2D	0.586
SCAMP1	0.6008125
KIAA1913	1.481
PTS	-0.94975
BANP	-0.144071428571429
PRKACG	-0.11925
ADCY6	-0.177166666666667
C16orf46	0.1735
CYP51A1	0.960375
DDC	-5.9305
ANPEP	-0.270333333333333
PROM1	0.0181666666666667
SIGLEC10	2.93675
COPG	1.3845
FAM26E	1.866875
TRIP4	0.56975
SNX3	0.294666666666667
C1orf175	0.1855
PPY2	0.088
C14orf152	0.0935
FTSJ1	-0.905
DST	0.94865
LOC554235	0.19075
GLRX5	-0.41675
C20orf12	0.5761
CAB39	0.386666666666667
MSH2	-1.41916666666667
PIP4K2C	1.17875
CYLD	1.328625
WTAP	0.5833125
MGAT4A	1.26433333333333
TSC22D4	-0.0616
CHRM2	-1.7355
PPYR1	0.388333333333333
CCNH	-0.3745
RRM1	-1.215
ECAT8	-3.49675
LOC400120	-0.03025
GABRA4	-0.316125
C14orf4	1.28033333333333
C1orf59	-1.64325
CTDSPL	-0.0985
NHEDC2	-1.2945
PDE11A	-1.06973333333333
KLHL29	-0.93975
CD5	1.1166
TSPAN9	0.9228125
WDR67	-1.2425
THUMPD1	0.0979
C18orf17	0.507
CLYBL	-0.744833333333333
FLJ13231	-0.37225
CMBL	0.7835
LECT2	0.066
NKAPL	2.48933333333333
LOC654780	0.5905
OR4C6	0.3945
RAB30	-0.310666666666667
TSSK4	-0.744
TMEM163	1.121
OSBPL11	0.396666666666667
GNB5	-0.687666666666667
CCL21	1.54025
C1orf121	-0.0778333333333333
FMO2	3.185
RPTN	0.848
MSTN	0.9
VCL	0.0898571428571429
FYTTD1	-0.176
C11orf1	-0.77375
CCDC88C	0.8855
HFE	-1.35288888888889
MOGAT1	0.1205
FAM125B	0.6505
IRGQ	0.8965
RAVER2	0.51025
AKAP5	0.676
SSSCA1	0.24225
C11orf63	1.20275
ACTG2	0.8088
PORCN	-2.1255
DTL	-0.291454545454545
TMEM151	0.77475
FAM122C	-0.75775
RSAD2	4.8359
BAT4	-0.4135
KRTDAP	-1.1835
MYH8	0.2425
CRTC3	0.67725
LRRFIP2	-0.4943
INTS4	-0.973333333333333
TTN	-0.6645
SLC26A5	0.6245
PLLP	-0.594
RGS6	-0.6345
SRGAP3	1.293
ZNF525	-0.393666666666667
NBR2	-0.762333333333333
C13orf1	-0.4054
ZNF137	-0.218
CEP27	-1.25575
BEST2	0.016
RNF121	-1.0825
DMRTC2	1.47066666666667
C8orf76	-0.64775
BCCIP	-0.352375
MEST	-0.541
HTRA2	-0.3205
ANGPTL2	0.92
ILKAP	-0.524666666666667
ERAS	-0.0855
HBS1L	-0.132625
CPA5	0.324
TMEM30A	0.137
CD300LF	2.303
WISP3	2.3915
CRK	0.205928571428571
PDS5A	-0.0719
BRPF3	0.107166666666667
NEDD9	0.847125
SMPDL3B	0.71125
PSG6	0.58575
PSMD13	-0.17575
ETV5	-1.1131875
OR51A4	0.2225
BTBD7	0.492916666666667
GSTO1	-0.9305
hCG_16001	-0.258
MAD2L1BP	-0.0573333333333333
COX6A2	1.8005
SCNN1A	1.46766666666667
LSM1	0.387666666666667
UGT2B11	-0.774
IDUA	1.1575
PPP2R3C	-0.599666666666667
COX11	-0.599
PDZK1	-0.369
ZNF443	0.817
MGC21874	1.49433333333333
ZNF323	0.9806
KRTAP10-10	0.0245
CXCL6	0.14125
SLC34A2	2.1109
LOC284402	0.0935
NPTN	0.817833333333333
UPP1	-1.5165
SLC6A9	-0.454
OR7G3	-0.2765
CISD1	-0.671333333333333
ZNF545	-1.35533333333333
SYT14	-1.33
NT5C3L	-0.960833333333333
ZNHIT3	-0.802333333333333
SNRPD3	0.392
KIAA0701	0.355
UNC93B1	0.693333333333333
GMNN	-1.8165
SPCS2	-0.1275
LOC388524	-0.506
NAPRT1	0.40825
PNLIPRP1	0.104
OR6V1	0.7385
PRKAB1	0.42825
EYA4	-3.29583333333333
KIF20A	-1.71475
ALG10	0.45225
ITPKC	0.836666666666667
LMX1B	2.393
RPUSD4	-0.920833333333333
C7orf34	-0.401166666666667
DLGAP2	0.316125
PFN1	-0.2467
MICALL2	-0.133083333333333
ZNF654	0.644
SS18L1	-1.487875
SLC16A8	0.71825
MKI67IP	-0.127833333333333
ITGB3	-0.4955
TCEA3	2.255
CEP152	-1.9056875
CLIP1	0.98425
ZNF75	0.4880625
ATP5C1	-0.741833333333333
NUDT5	-0.958833333333334
PSCDBP	2.848
UBP1	-0.60725
RBM27	0.28625
C13orf15	3.3155
ZNF282	-0.173166666666667
ZNF222	0.4189
COL10A1	5.947
PRDM15	-0.967375
TTTY5	-0.6715
FAM9C	-0.225818181818182
C20orf67	0.11575
GNG13	1.2525
F12	0.535
C1orf41	-0.94625
CPXCR1	-0.2905
GSK3A	0.238
SUPT6H	-0.4385
PI16	2.0405
ELL2	-0.144916666666667
C9orf167	-1.4445
PVRL3	-1.3162
FLJ38596	-0.0795
ADAM20	0.41475
GPR89A	-0.103
GPR87	-0.918
ZNF30	-0.407
SMR3B	0.37675
ZNF770	0.513125
TRPC4AP	-0.412333333333333
DKFZP686E2158	0.517
C2orf28	-0.160833333333333
FREM1	0.267166666666667
LAMA4	1.06
ADPRHL2	0.26525
EIF4G2	0.318
GUCA1A	-0.6545
CTNNA2	-0.11525
NUDT15	-1.19366666666667
CEPT1	-0.0816666666666667
ZNFX1	1.3637
CCDC92	0.91225
TDRD1	-1.123
KCNK5	-1.22933333333333
ETNK1	0.00775
LTA	0.454
TTPA	0.0275
B3GALNT2	0.4985
SC65	-0.5155
PEX5L	-1.109875
EPS15L1	0.375
MGEA5	0.182125
HIST1H3A	1.00075
ING1	-0.27075
BCAT1	-2.895
ORC6L	-3.21518181818182
KLK11	-4.41583333333333
C19orf28	-1.608375
DNER	-4.36025
MED22	-1.08535714285714
ETV6	1.05916666666667
CHAC2	-2.09925
CD300E	0.1795
CEBPB	0.396833333333333
ZNF398	-0.12875
LRCH3	-0.1605
HMGA1	-1.51766666666667
CAPN7	-0.186333333333333
MGC5566	-2.83975
CCL3	3.350625
NANOS1	-0.57375
ZFYVE19	-0.551
APITD1	-1.56633333333333
PARD3	1.316125
IRAK4	-0.472666666666667
SERPINI2	0.101
CEP170L	-0.7565
TTC9	2.122
MYOM3	-1.12275
MLPH	2.00475
LOC222699	-0.4045
NRG1	-1.35983333333333
TBC1D9	3.872
TTK	-1.5095
ZNF557	0.2513
DDX41	-0.410666666666667
FANK1	1.668
UBE2D2	0.172875
PSMB10	0.649
MYH7B	-0.43
GABARAPL2	-0.361125
MARVELD2	2.47566666666667
DGCR2	0.341833333333333
UNC45A	-0.443
C6orf72	0.794
ZNF683	5.0535
GIT2	0.751125
CASK	-0.1275
C14orf161	2.04516666666667
LRRC44	0.2505
TIFA	-0.054125
UTP11L	-0.3905
C6orf65	-0.89675
FDPS	-0.15375
DUSP9	-2.11
SLC17A8	-0.187
OR51G1	0.179833333333333
NANS	0.48925
OLFML1	2.06175
ATP10B	-1.399375
NPAS3	1.37725
PRKCA	-2.335
GGA2	0.112125
LCE4A	0.236
SPANXN3	0.6485
CCDC115	0.877
SDCCAG3	-1.1225
GLIPR1L1	-0.23875
TTC1	-0.2795
C17orf76	0.524
MAD2L2	-1.44425
HIPK1	0.3948
LRRC3B	-0.303833333333333
CLN3	-1.14186363636364
C17orf47	0.896
FMN2	0.8865
TUBB1	-1.522125
WAPAL	0.353666666666667
C3orf21	-0.336875
SCN5A	-0.8191
SMYD1	0.00824999999999999
BEX5	0.793
ZNF192	-0.514
SEC22A	0.0485
GRIA2	2.68771428571429
KIAA0825	-2.36775
NUSAP1	-1.54009090909091
LANCL1	-0.350625
C15orf40	-0.9845
ZNF645	-0.0035
GPR61	-0.53075
NLRP14	-1.141
SNX21	-0.256
C1QTNF8	0.264
C17orf46	0.279
IFNA8	0.71
SPRR1B	-1.92166666666667
FLRT1	-1.01325
SNX17	-0.356833333333333
ASB2	0.587333333333333
HBG1	-5.707
RPRML	-2.56325
JOSD2	0.655333333333333
PLSCR3	0.296
SPOCD1	-0.132833333333333
RAB39	0.5675
GHRH	0.710666666666667
ITIH5L	1.07425
C17orf37	0.1135
SMCR8	1.14175
DPY19L2P3	-0.474166666666667
IL11RA	0.313833333333333
GDF3	-3.85983333333333
RPS6KB1	-0.0131666666666667
DNAJC19	0.5396
TOP1	-0.0165
CRCT1	-0.330125
MPST	0.246
DPM2	0.18525
FAM38B	-0.7
SLC18A1	-2.1705
FARP1	0.502833333333333
PAX7	-0.156
TUBD1	-0.62825
GNL3	-1.04175
BTG2	2.38733333333333
NDUFS6	-0.42825
C1orf79	-2.882
ERAL1	-0.87975
ECHS1	0.72125
VPS4A	-0.437833333333333
CYP11A1	-0.500125
ABCC6	-2.64714285714286
PBX4	-1.537
MOSC1	0.61025
NCF4	1.2805
HYMAI	0.455
NAGPA	-0.409125
OTOP2	-0.1095
ACOT12	-0.11375
MTHFD2L	-0.56675
LOC441376	2.79525
C19orf34	0.582
RAB1B	0.56225
ALDOAP2	-0.4965
NTRK1	-0.993666666666667
ARTS-1	-0.0462
SLC6A11	-1.7105
NAP1L2	2.6015
CNGB1	0.016
EPB41L4B	-0.381333333333333
FAM134B	2.959375
HS3ST3A1	-1.15866666666667
CPXM2	5.1745
SIRPB2	-0.8345
CHORDC1	-1.3675
TRIB3	-1.24316666666667
SLC2A5	1.0445
C2orf49	-0.192
DDX5	-0.1945
OR5L1	1.9555
ANAPC4	-0.593333333333333
ZSWIM1	0.519
LOC93622	-0.114125
KCNK3	-0.1937
RP11-35N6.1	0.44425
ZFP161	0.3815
AQP9	2.1975
SLC15A2	-0.0116666666666667
MREG	0.112
OR9I1	0.2685
PDLIM2	0.576
ADAM7	-0.1385
GSTCD	0.529333333333333
WDR21A	-0.44175
SLC12A8	1.35333333333333
TMEM174	-0.0905
IGSF3	0.980583333333333
LRRN1	1.455
LOC402117	-0.18125
SRPK1	-1.63066666666667
LY6K	-1.895375
NFIA	2.2695
PTCD3	-0.367875
LEP	3.41616666666667
PCDH21	-0.7825
MAPKAPK2	0.993285714285714
NMNAT1	-1.2515
LHFPL2	0.78225
C9orf43	-0.18975
DIP2A	-0.909666666666667
ACTR8	-0.0215
CCDC34	-1.851
PTPN22	0.058875
ITGA3	-0.740125
FAM129C	1.666
RABGGTA	0.307333333333333
UNC45B	2.00975
KIAA1033	0.637375
ZNF510	0.3585
CYP2D6	-0.507333333333333
SLC26A10	-2.3995
STX8	-0.126
LUZP1	-0.130875
WDR89	0.305
EIF4G3	-0.3283
C5AR1	1.633
ZNF623	0.03
A2M	1.819
TGM7	0.2425
GRPEL1	-0.2885
LMNB2	-1.123
ROCK2	-0.642
SNX16	-0.342
CCDC66	-0.4725
ANXA3	-0.185
KIAA1609	-0.92275
EED	-1.3115
RNF32	-0.0403333333333333
HES1	0.5372
CLC	0.323833333333333
ISL1	-0.743
KIAA0528	0.333625
MANEA	0.786375
C1orf61	-2.0945
hCG_2001000	-0.01675
RAPGEF6	1.3153
KIAA0020	-1.27766666666667
NEIL1	-1.56875
C16orf45	-0.819125
RBM10	-0.0781666666666667
C10orf125	-1.212625
MRS2L	-0.30825
DNAH17	-1.498375
C19orf10	0.03075
C1orf160	0.07375
SLFN12	0.99425
EXOC3	-0.3115
HIST3H3	0.67675
NCOR2	0.9805
TNFRSF9	2.0135
MFSD8	0.14175
ALX1	-4.12983333333333
NOL1	-1.89
PODN	3.195
TIAL1	-0.8725
HIST1H1E	-0.25075
NPY6R	0.3355
TM4SF4	-0.847
CORO2A	1.104
ETNK2	1.429
APOE	1.152
ANGPT4	0.463
HDGF2	-0.203
G30	1.183
ST8SIA4	0.48425
F2RL1	-0.3325
FAM19A4	-3.08625
CCAR1	-0.699
B3GNT7	0.3855
OPHN1	-0.4978
DSCR6	-1.167
C21orf13	0.789
GAS2L1	0.320416666666667
RFX3	-0.6855
COPS4	-0.298875
BCHE	-4.00766666666667
BCL2	3.623
HBZ	-3.11383333333333
ARL13B	0.438
MAPBPIP	0.38775
MYO15B	-0.88225
SPZ1	0.316666666666667
KIAA1324	3.79922222222222
PLCL2	0.697625
C4orf29	-1.17125
WDFY2	-1.1015
ZNF284	-0.363
NAALADL1	0.5255
DUSP5	1.0695
PXDN	0.720375
SLMO1	-0.62825
TNXB	0.6785
BIRC7	-1.19375
A4GALT	0.995333333333333
TIMM22	-0.0965
FAM110C	1.63675
TOMM34	-1.221875
ABHD9	0.2355
ADAM32	-0.415
CRHBP	1.9765
AQP2	0.380375
LOC130355	0.964
ZNF187	0.022
ZNF816A	-0.0755
F7	-0.37
CNOT1	-0.9662
SLC13A4	-1.3315
ZBTB11	-0.1745
B3GALT5	0.20675
EXOC2	0.945166666666667
IRS1	-0.0993
TMEM1	0.0615
MRPL34	-0.393333333333333
SAMM50	-0.481
CDC42EP3	0.20975
HSF2	-0.7772
MFN2	-0.745
TSPAN7	-0.514166666666667
NUCB1	0.95375
RHOH	0.34
ARL16	-0.902
TACR1	-0.0585
SFRS5	-0.744833333333333
SNX25	0.415125
RHBDF1	0.382166666666667
PCDH18	3.17283333333333
HMG1L1	-0.53925
MYO5C	1.06675
MAPK10	0.471
LDHAL6A	0.2902
NUDT12	0.821833333333333
NCAM1	-0.454
GLIS2	0.9275
GGTL4	-0.917
DAPP1	1.09075
ATF7	0.5465
KIAA0748	0.6515
NFIL3	-0.54875
TM6SF1	1.1677
SEZ6	-0.013875
NANOS3	-0.00700000000000001
DNAJA3	-0.786666666666667
CLDN6	-3.128
CIITA	3.0748
EPHA4	0.633416666666667
FANCC	0.433
CMTM3	0.57225
PSG3	-0.782875
MRPL15	-1.0455
C21orf59	-0.16575
PLCXD2	0.3775
C2orf34	-0.5085
UBE2L6	1.44025
MED14	-0.524333333333333
HP1BP3	-0.2688
C6orf208	0.0105
TPBG	2.25025
OSR2	0.123125
XPC	0.349166666666667
KLHL7	-1.13691666666667
CCR3	-0.6945
AGTPBP1	-0.675833333333333
PCSK6	0.0026
STAT5A	-1.1916
FAM18B	-0.0735
LONRF2	-1.242
PTPN2	-0.378375
SF3A3	-0.631666666666667
EFCBP2	-0.63025
HCFC1	-0.4905
AHNAK	1.01085
ACTR5	-0.44725
KIF14	-1.83971428571429
TENC1	1.3685
HEATR5B	0.825
YIPF2	0.686
MYEOV2	0.9665
DUSP18	1.347
KIAA1012	0.43175
AHR	-0.0613333333333333
C17orf53	-1.07133333333333
PTPRH	-3.477
ATP6V1C1	-0.2263
TAS2R3	0.339
LOC440356	-2.0425
COQ10B	0.87275
PSMF1	0.702
SORBS2	0.891416666666667
NFE2L2	0.27875
TMCO7	-0.94475
SH3PXD2A	0.3161
SH2D2A	0.18825
SPINK5	-2.92775
MRPS24	-0.87875
OPA3	0.56925
TRAF7	0.0448333333333333
C4orf35	0.265333333333333
MT1G	-0.915125
MGC39545	-0.056
HS1BP3	0.3741
OR2B2	0.537
CHRM4	-0.2985
SFRP2	4.0715
RIC3	-0.119
ART1	-0.301
C6orf1	0.59975
DUS4L	-1.18925
C10orf104	0.18075
TNFAIP6	2.977
RTEL1	-0.8665
CCT4	-0.9665
ZNF709	0.293
CHMP6	0.502833333333333
UPP2	0.21675
CYP19A1	-2.39325
CD151	-0.983333333333333
NDUFA13	0.121666666666667
ARFRP1	-1.21333333333333
FAM26B	2.1955
CRYBA1	-3.677
MRPL41	0.171
NPFFR2	-1.66985714285714
HRH2	0.2155
SCAMP3	0.0416666666666667
MTMR6	0.5567
MTG1	-0.807666666666667
UBTD1	1.06375
CRABP1	-2.919
FLJ33790	-1.8754
KIAA1908	-0.887666666666667
GPR158	-1.001
PACSIN3	-0.534666666666667
OMD	3.53716666666667
CATSPER1	-0.519
HOXB8	-0.874875
FBXO46	1.0275
OAS1	3.21266666666667
SVIL	0.7265
PHB2	-1.22525
ADCY3	0.146
NDRG2	0.939
ERMAP	0.3732
APBA2	-1.45016666666667
IGSF9	2.27525
WNT6	0.0322142857142857
MYCBPAP	0.06225
ATP2B2	-0.1427
CPVL	-0.3658
TRAM2	-0.992916666666667
NOP5/NOP58	-0.31275
ZNRF4	-0.41625
TLK1	-0.060625
MTMR12	0.588571428571429
ZNF384	-0.497333333333333
FAM9B	-2.9495
RPN1	1.2365
PMVK	0.65925
EIF3D	0.0652
SIX2	0.028
HPS1	0.688714285714286
RNF7	0.59625
PSKH2	0.414
KCTD13	-0.266
CSMD3	-0.7519
FBF1	-0.734
IL8	-5.45075
SERPINB13	0.365083333333333
FBXL20	-0.3025
BLR1	0.40125
SH2B1	-1.27416666666667
RFNG	-0.069625
RAB20	0.230166666666667
RBM7	-0.9845
POLR1A	-0.643666666666667
TMPRSS4	-1.168
TAF9	-0.75225
TERF2	-0.1835
TNFRSF1A	0.377583333333333
ACADVL	-1.3785
GTF2H5	0.5555
EDG8	-0.0786666666666667
C9orf140	-0.369125
UST6	0.578
ZBTB8OS	-0.19575
ZNF710	0.426
GPR174	0.1835
ATP6V0A2	-0.26175
KIAA0319L	0.395833333333333
XKRX	-0.027
DOPEY2	1.1506
SDHD	-0.906166666666667
SUMF1	1.06175
OSM	2.615
OPN3	-0.5315
DAGLB	-0.310333333333333
PPFIBP1	0.628
TRIM63	-1.83925
C10orf53	0.1475
LYPD3	0.00433333333333334
BCL7A	0.38175
AGER	-1.61633333333333
TCF19	-0.692625
SAT2	-0.4835
PFTK1	1.5385
GABRE	-3.039375
C15orf38	0.197
FIS1	-0.024
KCNV2	0.349
CLPS	0.0325
PPCDC	-0.799375
FOXN2	1.13116666666667
NT5E	-2.182
CD83	1.23025
IL18	0.74675
VPS16	0.247
IGFBP2	0.4025
NOTCH2	0.70825
SIGLEC1	3.794875
CD93	6.376
SULF2	-0.0995
CEP164	-0.660625
P53AIP1	-0.259833333333333
TOR2A	-0.0703333333333333
ZNF136	1.05225
MGP	2.811
CCDC144A	-0.0853333333333333
TRPC1	-0.749833333333333
SMS	-0.351833333333333
MAPK7	-0.366833333333333
RRAGC	0.678
PARD6A	-0.358666666666667
NUB1	0.844833333333333
SYNGR4	0.931
OR11H12	-0.111
WIF1	2.14125
GCH1	0.28075
OR11H4	0.195
SLC44A5	1.1225
GPRIN2	0.609333333333333
LOC401431	-1.66975
CPA4	-3.4556
MELK	-1.76066666666667
IL15RA	0.93325
CUL3	1.176625
