Hybridization REF	TCGA-AN-A041-01A-11R-A034-07
SNRPD3	0.101
KIAA0701	0.176375
UNC93B1	0.476666666666667
GMNN	-1.67325
SPCS2	-0.319166666666667
LOC388524	-0.9345
NAPRT1	-0.623125
PNLIPRP1	0.4915
OR6V1	0.261
PRKAB1	-0.0725
EYA4	-3.3615
KIF20A	-2.4095
ALG10	0.43175
ITPKC	0.704333333333333
LMX1B	2.71083333333333
RPUSD4	-0.893
C7orf34	-0.189333333333333
DLGAP2	0.3805
PFN1	-0.3631
MICALL2	-0.00916666666666669
ZNF654	0.481
SS18L1	-0.935375
SLC16A8	0.6555
MKI67IP	-0.717666666666667
ITGB3	-0.6075
TCEA3	1.92458333333333
CEP152	-1.70675
CLIP1	1.236
ZNF75	0.4150625
ATP5C1	-0.212
NUDT5	-0.4975
PSCDBP	-0.70775
UBP1	-0.18375
RBM27	-0.2065
C13orf15	2.322375
ZNF282	0.248666666666667
ZNF222	0.1975
COL10A1	6.25025
PRDM15	-0.488
TTTY5	-0.578
FAM9C	-0.413727272727273
C20orf67	0.53525
GNG13	0.8235
F12	0.4985
C1orf41	-1.57675
CPXCR1	-0.0875
GSK3A	0.425375
SUPT6H	0.307166666666667
PI16	-0.349
ELL2	-0.71825
C9orf167	-1.26216666666667
PVRL3	-1.605
FLJ38596	0.915
ADAM20	-0.045
GPR89A	0.0575
GPR87	-2.5165
ZNF30	0.71625
SMR3B	0.39525
ZNF770	0.039125
TRPC4AP	-0.0255
DKFZP686E2158	0.184166666666667
C2orf28	0.144666666666667
FREM1	-2.4245
LAMA4	1.3465
ADPRHL2	-0.091
EIF4G2	0.759166666666667
GUCA1A	0.155
CTNNA2	-1.56575
NUDT15	-0.295833333333333
CEPT1	-1.33066666666667
ZNFX1	1.0744
CCDC92	1.202
TDRD1	-0.257
KCNK5	-0.819833333333333
ETNK1	-0.0675
LTA	0.2365
TTPA	-0.0128333333333333
B3GALNT2	-0.298625
SC65	0.997666666666667
PEX5L	-0.389625
EPS15L1	1.26625
MGEA5	-0.019375
HIST1H3A	0.80375
ING1	0.5845
BCAT1	-2.631375
ORC6L	-2.77136363636364
KLK11	-5.66383333333333
C19orf28	-1.61475
DNER	-5.247875
MED22	-0.846642857142857
ETV6	1.16833333333333
CHAC2	-2.91525
CD300E	0.268
CEBPB	-0.338083333333333
ZNF398	-0.117
LRCH3	0.688
HMGA1	-1.77833333333333
CAPN7	-0.738666666666667
MGC5566	-3.09425
CCL3	1.858125
NANOS1	-1.6735
ZFYVE19	0.045
APITD1	-0.816833333333333
PARD3	1.050625
IRAK4	0.418333333333333
SERPINI2	-0.343
CEP170L	-0.91125
TTC9	2.050625
MYOM3	-1.023
MLPH	1.95875
LOC222699	-0.347
NRG1	-0.6825
TBC1D9	2.78281818181818
TTK	-3.08416666666667
ZNF557	0.2507
DDX41	-0.181333333333333
FANK1	2.0405
UBE2D2	-0.246375
PSMB10	0.51275
MYH7B	-0.498
GABARAPL2	0.577375
MARVELD2	1.8135
DGCR2	0.626833333333333
UNC45A	-0.246166666666667
C6orf72	0.16
ZNF683	2.82725
GIT2	-0.124
CASK	1.19183333333333
C14orf161	0.778833333333333
LRRC44	1.26
TIFA	1.074625
UTP11L	-0.724125
C6orf65	-0.08825
FDPS	-0.156
DUSP9	-2.0797
SLC17A8	0.350666666666667
OR51G1	0.297
NANS	-0.71925
OLFML1	2.06925
ATP10B	-1.051625
NPAS3	1.037
PRKCA	-2.6487
GGA2	-0.2446875
LCE4A	0.304
SPANXN3	0.454
CCDC115	1.008
SDCCAG3	-0.95475
GLIPR1L1	-0.152
TTC1	-0.6635
C17orf76	0.142
MAD2L2	-2.03125
HIPK1	-0.1717
LRRC3B	-0.375833333333333
CLN3	0.034
C17orf47	0.6965
FMN2	-1.707625
TUBB1	-1.70725
WAPAL	0.2005
C3orf21	-0.2745
SCN5A	-0.4996
SMYD1	0.0875
BEX5	-0.79175
ZNF192	-0.0445
SEC22A	0.646833333333333
GRIA2	5.53364285714286
KIAA0825	-1.57075
NUSAP1	-2.14372727272727
LANCL1	-0.36325
C15orf40	-0.3046
ZNF645	-0.153375
GPR61	-0.122
NLRP14	0.2765
SNX21	-0.1955
C1QTNF8	-0.1755
C17orf46	2.5225
IFNA8	0.879
SPRR1B	-1.5315
FLRT1	-0.57425
SNX17	0.587833333333333
ASB2	-0.867833333333333
HBG1	-5.3085
RPRML	-2.64625
JOSD2	0.694666666666667
PLSCR3	0.17425
SPOCD1	0.0356666666666667
RAB39	0.1125
GHRH	2.2075
ITIH5L	1.1115
C17orf37	1.0235
SMCR8	0.4325
DPY19L2P3	0.334666666666667
IL11RA	0.136833333333333
GDF3	-4.04516666666667
RPS6KB1	-0.80925
DNAJC19	-0.0941
TOP1	-0.16225
CRCT1	-0.37925
MPST	0.132375
DPM2	-0.19875
FAM38B	-1.24716666666667
SLC18A1	-2.469
FARP1	1.22116666666667
PAX7	0.2295
TUBD1	-0.4345
GNL3	-0.857125
BTG2	1.35346666666667
NDUFS6	-0.85725
C1orf79	-1.61675
ERAL1	0.54725
ECHS1	1.0435
VPS4A	-0.0403333333333333
CYP11A1	-0.899125
ABCC6	-2.52157142857143
PBX4	-2.8155
MOSC1	0.256875
NCF4	-0.111
HYMAI	0.408
NAGPA	-0.314625
OTOP2	0.02075
ACOT12	0.054
MTHFD2L	-0.88525
LOC441376	0.1015
C19orf34	0.467
RAB1B	-0.07875
ALDOAP2	-0.8055
NTRK1	-1.992
ARTS-1	-0.625
SLC6A11	-0.4645
NAP1L2	-1.45675
CNGB1	-0.008
EPB41L4B	-0.323
FAM134B	3.443375
HS3ST3A1	-0.4225
CPXM2	4.58875
SIRPB2	0.2115
CHORDC1	-1.5995
TRIB3	-0.222833333333333
SLC2A5	0.33475
C2orf49	-0.446833333333333
DDX5	0.563
OR5L1	1.237
ANAPC4	-0.508
ZSWIM1	-0.102875
LOC93622	0.100125
KCNK3	-0.6022
RP11-35N6.1	-2.43525
ZFP161	0.3165
AQP9	2.578
SLC15A2	2.03733333333333
MREG	0.964666666666667
OR9I1	0.2855
PDLIM2	0.546
ADAM7	0.391
GSTCD	0.3355
WDR21A	-0.59225
SLC12A8	1.46166666666667
TMEM174	0.1255
IGSF3	1.20758333333333
LRRN1	-2.24875
LOC402117	-0.09425
SRPK1	-1.115
LY6K	-2.4095
NFIA	0.985
PTCD3	-0.749875
LEP	-0.184333333333333
PCDH21	-0.906166666666667
MAPKAPK2	1.84471428571429
NMNAT1	0.059
LHFPL2	1.010625
C9orf43	-0.08225
DIP2A	-0.048
ACTR8	-0.12125
CCDC34	-0.74175
PTPN22	-1.48425
ITGA3	-0.190375
FAM129C	0.29525
RABGGTA	0.51
UNC45B	0.46675
KIAA1033	0.16475
ZNF510	0.0743333333333333
CYP2D6	-0.675166666666667
SLC26A10	-1.6925
STX8	-0.013
LUZP1	0.416625
WDR89	0.282333333333333
EIF4G3	-0.5898
C5AR1	0.76225
ZNF623	-0.9275
A2M	1.10475
TGM7	0.2765
GRPEL1	-0.476666666666667
LMNB2	-1.2915
ROCK2	0.1515
SNX16	1.824125
CCDC66	-0.29925
ANXA3	-2.35
KIAA1609	0.154625
EED	-1.299
RNF32	-1.61933333333333
HES1	1.1214
CLC	-0.220333333333333
ISL1	-0.864166666666667
KIAA0528	-0.24
MANEA	0.22675
C1orf61	-2.7585
hCG_2001000	0.041
RAPGEF6	-0.364
KIAA0020	-0.835166666666667
NEIL1	1.7855
C16orf45	-1.383
RBM10	-0.038
C10orf125	-1.41025
MRS2L	-0.358
DNAH17	2.6375
C19orf10	-0.586
C1orf160	0.3105
SLFN12	0.62275
EXOC3	0.00266666666666666
HIST3H3	1.17125
NCOR2	0.465333333333333
TNFRSF9	0.7955
MFSD8	-0.16625
ALX1	-3.87916666666667
NOL1	-0.9965
PODN	2.84725
TIAL1	-0.26025
HIST1H1E	0.59525
NPY6R	0.31725
TM4SF4	-0.382
CORO2A	0.8745
ETNK2	1.08033333333333
APOE	0.0482
ANGPT4	0.3
HDGF2	-0.551
G30	0.7015
ST8SIA4	0.3495
F2RL1	0.51625
FAM19A4	-3.637
CCAR1	-0.22
B3GNT7	-0.1525
OPHN1	0.1396
DSCR6	3.071
C21orf13	0.400166666666667
GAS2L1	0.5285
RFX3	-0.306166666666667
COPS4	-0.36725
BCHE	-4.5855
BCL2	3.898125
HBZ	-3.25516666666667
ARL13B	0.7065
MAPBPIP	1.16725
MYO15B	0.6705
SPZ1	0.0994999999999999
KIAA1324	4.12566666666667
PLCL2	-0.46
C4orf29	-1.2315
WDFY2	-0.8575
ZNF284	-0.63
NAALADL1	0.554
DUSP5	-1.2435
PXDN	1.259375
SLMO1	-0.315
TNXB	0.3107
BIRC7	-1.28675
A4GALT	0.611666666666667
TIMM22	-0.24875
FAM110C	1.08925
TOMM34	-0.73375
ABHD9	0.452
ADAM32	0.022
CRHBP	-0.7475
AQP2	0.553
LOC130355	1.22225
ZNF187	0.670833333333333
ZNF816A	0.7085
F7	0.826625
CNOT1	-0.4973
SLC13A4	-0.52675
ZBTB11	0.52075
B3GALT5	-0.35425
EXOC2	3.1375
IRS1	0.5525
TMEM1	0.436666666666667
MRPL34	0.173
SAMM50	-0.76875
CDC42EP3	-1.330375
HSF2	-1.2624
MFN2	-0.352
TSPAN7	-2.06016666666667
NUCB1	0.50575
RHOH	1.25575
ARL16	0.1805
TACR1	0.25525
SFRS5	-0.848
SNX25	1.484
RHBDF1	0.7425
PCDH18	2.775
HMG1L1	0.48475
MYO5C	1.33725
MAPK10	2.4745
LDHAL6A	-0.0056
NUDT12	0.847333333333333
NCAM1	-0.355625
GLIS2	0.8495
GGTL4	2.456
DAPP1	0.82525
ATF7	0.4615
KIAA0748	-1.582
NFIL3	-2.1735
TM6SF1	1.3942
SEZ6	0.030125
NANOS3	-0.219333333333333
DNAJA3	0.0291666666666667
CLDN6	-1.8935
CIITA	2.2925
EPHA4	-1.25708333333333
FANCC	-0.52475
CMTM3	1.169875
PSG3	-0.592428571428571
MRPL15	-1.29325
C21orf59	-0.048
PLCXD2	-0.1245
C2orf34	-0.444875
UBE2L6	0.13775
MED14	0.2285
HP1BP3	-0.5327
C6orf208	-0.4
TPBG	1.80925
OSR2	0.616625
XPC	-0.0143333333333333
KLHL7	-1.8855
CCR3	-0.1335
AGTPBP1	-1.208
PCSK6	0.8082
STAT5A	-0.0693
FAM18B	0.6015
LONRF2	-2.432
PTPN2	-0.905
SF3A3	-0.642666666666667
EFCBP2	0.7795
HCFC1	0.1175
AHNAK	1.6037
ACTR5	-0.05025
KIF14	-3.76528571428571
TENC1	1.345
HEATR5B	1.007
YIPF2	0.091
MYEOV2	0.2885
DUSP18	1.38375
KIAA1012	0.709
AHR	-0.876833333333333
C17orf53	-0.273166666666667
PTPRH	-4.00075
ATP6V1C1	0.4475
TAS2R3	-0.236
LOC440356	-1.19675
COQ10B	0.743
PSMF1	1.016
SORBS2	1.08933333333333
NFE2L2	0.415
TMCO7	-0.617
SH3PXD2A	0.8896
SH2D2A	-2.08875
SPINK5	-1.707
MRPS24	-0.94825
OPA3	0.426375
TRAF7	1.15366666666667
C4orf35	-0.023
MT1G	-2.395125
MGC39545	0.05875
HS1BP3	0.8374
OR2B2	0.09
CHRM4	-0.0365
SFRP2	4.74658333333333
RIC3	-0.5315
ART1	-0.502
C6orf1	0.872375
DUS4L	-1.17775
C10orf104	-0.1415
TNFAIP6	3.73175
RTEL1	-0.96125
CCT4	-0.9642
ZNF709	0.3885
CHMP6	0.8535
UPP2	0.024
CYP19A1	-2.614625
CD151	-0.285166666666667
NDUFA13	0.0321666666666667
ARFRP1	-1.00133333333333
FAM26B	2.29375
CRYBA1	-1.837
MRPL41	-0.0643333333333333
NPFFR2	0.3725
HRH2	0.217
SCAMP3	0.509166666666667
MTMR6	1.6685
MTG1	-0.121166666666667
UBTD1	1.52575
CRABP1	-3.0385
FLJ33790	-0.1483
KIAA1908	0.4525
GPR158	-2.51
PACSIN3	-0.797833333333333
OMD	3.2615
CATSPER1	-0.608
HOXB8	-1.031875
FBXO46	0.178
OAS1	1.49366666666667
SVIL	1.414
PHB2	-0.795
ADCY3	-0.213
NDRG2	0.817833333333333
ERMAP	0.3114
APBA2	-0.332
IGSF9	1.23
WNT6	-0.553857142857143
MYCBPAP	-0.75025
ATP2B2	0.0253
CPVL	-1.31
TRAM2	-0.542833333333333
NOP5/NOP58	-0.75875
ZNRF4	0.1075
TLK1	0.104
MTMR12	0.132071428571429
ZNF384	0.0218333333333333
FAM9B	-3.08275
RPN1	0.7902
PMVK	0.70925
EIF3D	0.3023
SIX2	-0.12775
HPS1	0.938071428571429
RNF7	0.0295
PSKH2	0.091
KCTD13	0.1015
CSMD3	-0.8437
FBF1	0.15
IL8	-5.095
SERPINB13	0.165916666666667
FBXL20	2.06525
BLR1	0.38175
SH2B1	0.0543333333333333
RFNG	0.28425
RAB20	0.6805
RBM7	-0.7625
POLR1A	-0.138166666666667
TMPRSS4	-2.013
TAF9	-1.22725
TERF2	0.536
TNFRSF1A	0.411
ACADVL	-0.945
GTF2H5	-0.119
EDG8	0.574666666666667
C9orf140	-0.851
UST6	-0.093
ZBTB8OS	-0.8655
ZNF710	0.8225
GPR174	-2.1235
ATP6V0A2	0.322
KIAA0319L	1.10275
XKRX	0.4125
DOPEY2	0.3418
SDHD	-0.994833333333334
SUMF1	1.12625
OSM	1.5555
OPN3	-1.21325
DAGLB	-0.2075
PPFIBP1	0.7882
TRIM63	-1.9945
C10orf53	-0.2165
LYPD3	0.829166666666667
BCL7A	0.443
AGER	-1.089
TCF19	-0.3985
SAT2	-0.30225
PFTK1	-0.0811666666666667
GABRE	-3.315
C15orf38	0.9543
FIS1	-0.409
KCNV2	0.1565
CLPS	0.305
PPCDC	-0.376625
FOXN2	-0.0663333333333333
NT5E	-3.186
CD83	-0.06975
IL18	0.180875
VPS16	0.835
IGFBP2	1.62383333333333
NOTCH2	0.4335
SIGLEC1	2.082625
CD93	5.9155
SULF2	0.5985
CEP164	-0.437125
P53AIP1	0.137
TOR2A	0.0431666666666667
ZNF136	-0.06475
MGP	2.9661
CCDC144A	0.7605
TRPC1	-0.682
SMS	-1.39766666666667
MAPK7	-0.5755
RRAGC	0.7075
PARD6A	-0.000666666666666658
NUB1	0.746
SYNGR4	0.1255
OR11H12	0.0125
WIF1	0.256375
GCH1	0.8075
OR11H4	0.2485
SLC44A5	-0.951
GPRIN2	-1.03833333333333
LOC401431	-1.0005
CPA4	-3.0448
MELK	-2.51677777777778
IL15RA	-0.0695
CUL3	0.332375
HMBOX1	0.97525
PODXL	0.14825
CCT6B	0.402666666666667
COMTD1	-0.16275
MUC20	-0.111333333333333
GPX2	1.520375
ITK	-1.798625
FBXL5	1.4855
C13orf27	-0.795
DEFA5	-0.0655
TRHDE	0.183
MTP18	0.311
UQCRQ	-0.6623
ITGB2	1.406
CSRP2BP	0.0995
TAS2R44	0.2555
PHPT1	-0.236625
FAM44C	-0.13075
ERH	0.23075
MPHOSPH1	-0.954833333333333
MORC1	-0.3175
PARVB	-0.77
LAMA1	-2.18758333333333
PGBD3	0.58325
GIMAP6	3.852
AREG	-2.40533333333333
LIPT1	-0.6085
MGC99813	-1.6975
C1orf201	0.2565
GRIN2A	-0.65
MAN2C1	-0.242875
NSUN5	-0.39075
SF3B5	-0.313
MYC	-1.1335625
NRXN1	-0.931333333333333
ZNF18	0.14725
SPDYA	-0.806125
SLC37A1	1.947
DECR2	-0.282
ANKRD38	2.07375
SPTLC3	-3.07641666666667
SUPT16H	-0.40025
DTWD2	0.32725
ULBP1	-1.1045
ZADH1	0.0516666666666667
OIP5	-2.792
IL10RB	0.542166666666667
OTUB2	0.502
VWA3A	-0.105333333333333
SPIC	0.299
OR6C4	0.1235
PSCD4	0.448
DPY19L2P2	-1.096
TRAPPC6A	1.09533333333333
C21orf2	-0.6
CEMP1	0.19325
LIN7B	-0.192
E2F7	-1.88616666666667
VCP	0.2435
LAMA3	2.45958333333333
BGN	2.64525
GPR160	1.043
COCH	-2.36766666666667
GPR81	1.90716666666667
APOBEC3F	-1.581
tcag7.1017	-0.5515
C1orf32	0.23
SCGB1D2	4.21725
FLJ43987	0.222
C6orf170	-0.049
KLK9	0.329
GPD1L	0.852375
VPS37B	0.2555
ATG3	-0.0348333333333333
ADAMTS17	-0.0085
KLHDC2	0.2185
NDUFV2	-0.6185
BLK	-2.66275
MATN4	-2.2445
GPM6A	4.488375
GBP4	3.17983333333333
TMEM162	0.311833333333333
PKP2	-0.772
HRASLS	-2.52833333333333
MMP1	-2.56175
SFXN3	0.1566
FSD1	-1.76316666666667
ST6GALNAC3	-1.3775
CA12	1.0794
NCOA6	0.32925
C19orf58	0.377
PPP4R1	0.486333333333333
MAN1A2	0.340666666666667
IKBKAP	-1.3705
UPF1	0.433333333333333
KIAA1219	0.53825
WNT16	-0.184
SNW1	-0.014875
IL18RAP	1.656
RPP30	-0.299625
CDC40	-0.260214285714286
SETD3	0.3485
SLAMF6	-0.321
ELK4	-0.2915
TRIM47	1.3645
ACOX3	1.406375
TRIM6	0.7045
KIAA0372	-0.285
TP53AP1	0.4475
SMURF2	0.31575
ADAD1	0.2725
EBP	-1.23
KRTAP13-2	0.054
FLJ36874	-0.1265
TOR1A	-0.0366666666666667
P2RY4	0.8005
GPBP1	-0.07675
TRPV1	-0.579375
ADAMTS12	0.999833333333333
PES1	-0.1216
ATG4A	0.0271666666666667
MAGEA10	-4.7825
WFS1	1.52775
CC2D1B	-0.323166666666667
PABPN1	-0.4815
SLC25A30	0.915
SLCO1C1	0.151
SLC22A5	1.166
KIF23	-2.39533333333333
SYN2	-0.879
ASPN	8.43333333333333
CENTG2	0.23475
QSOX2	-2.4858
FLJ10815	0.693333333333333
STK24	0.6146875
SPEG	0.5682
STK10	0.416333333333333
DACT2	-0.807
AAAS	-0.59
SSX3	-1.18725
ABCD3	-0.7093
C4orf12	0.1605
PARVG	0.220833333333333
FIG4	0.41925
C9orf46	1.115
TMCO6	-0.342
IGHMBP2	-0.26675
DUS2L	-0.572666666666667
FAM3C	0.21075
TMEM16D	-2.317125
DCTN4	0.6335
KCNH3	-0.48675
EIF2AK2	0.5595
AP1S3	-0.6645
CST4	4.2525
PAM	0.6763125
NUTF2	-0.0255
CITED2	-0.1316
SLC39A4	-1.29525
C2orf52	-1.376
GRM3	-0.094
C12orf49	1.501375
CCDC49	0.8156
GRAMD1B	-1.3125
FNDC4	0.26975
SIAH2	1.2365
GDPD4	-0.10275
C21orf87	0.169875
ATP5A1	0.081
C16orf63	-0.626
LOC388135	0.822
ATP5J2	-0.281875
MMP3	-1.879
EMID2	-0.2935
CRHR1	0.453
WDR70	-1.05375
C13orf31	2.177
ZFAND1	1.843
CCL18	3.67766666666667
C3orf49	0.4625
RINT1	-1.38
KIAA0408	-1.47066666666667
F13A1	4.5453
SLC10A1	0.314666666666667
OGN	1.1155
GIPC2	-1.903
XPO6	-0.1895
LCE1A	0.7515
FMR1	0.3528
LOC374920	-0.45025
DUSP3	0.553375
ANKMY1	0.57275
C7orf50	0.372
BBS9	-0.0131
UNC119B	-0.324125
C9orf72	0.109
MGC35440	-0.7585
ENTPD6	-0.013
PPP1R2P9	0.22875
ERCC4	0.5195
FAHD2B	-0.981
HMHA1	-1.645
HACL1	-0.9475
RAD23A	-0.520333333333333
FAM83B	2.427
PPP5C	-0.265833333333333
RNASEH2C	-0.257375
C9orf153	-0.33425
SCAMP4	0.722
GHITM	0.0737
NDUFB7	0.230625
ADCYAP1	0.359666666666667
SP110	1.21133333333333
MAP3K7IP2	0.0275
DHH	-0.035
AGRN	0.825928571428571
WDR33	0.534333333333333
CEP290	0.652166666666667
PRPS1L1	-3.0055
KLRA1	-0.306
GPR97	0.039
CHD7	1.36433333333333
TLR10	1.292
SLC30A8	-0.486
HIC1	1.61383333333333
IAPP	0.3565
RXFP4	0.082
GP1BB	0.994
SHQ1	-0.2745
NKX2-3	0.198666666666667
API5	-0.259
FTHP1	-0.2715
MOV10L1	1.28566666666667
TRIM6-TRIM34	2.309
ADHFE1	0.794
FAM117A	0.552
DDI1	-0.1125
CDON	1.85466666666667
TRIM73	-1.845
IGKC	3.441
MMP14	1.29875
DYNC1LI1	-0.069625
C11orf66	0.3275
TRBV3-1	-1.5395
FASTKD5	0.78225
BIVM	-0.14875
LHX4	0.05125
CXCL2	-1.8289
RAB2B	0.0738333333333333
IZUMO1	-0.80225
MAP3K15	-1.77125
FAM19A2	-0.180333333333333
ZC3H8	-0.419666666666667
ZMAT1	0.456
SPINK5L3	-2.3435
SLC10A6	0.4325
APPL2	0.992875
CARD10	0.266166666666667
LOC402176	-0.036375
EEF1D	-0.8182
RAB6A	-0.2246
C12orf5	0.036875
PAPOLG	0.49575
MSRB2	0.893
BCR	1.053
PUS3	-0.79975
TIAM2	0.23175
ZNF317	-0.1005
CHD2	0.0345714285714286
FZD5	-1.79563636363636
NUDT8	-2.32375
ZNF763	0.145
PRC1	-1.76811111111111
ABCB9	0.5425
SPATA3	-0.0645
TRAK2	1.577125
STAB1	2.902625
LRRTM2	-0.150833333333333
psiTPTE22	1.14375
DBI	-0.04575
SERPINA11	0.44125
NAT5	0.35225
C20orf58	-1.6905
RPS6KA4	0.1755
FLJ90650	-0.6645
TGFBRAP1	0.88975
CHRDL2	-0.42775
FAHD2A	-0.899166666666667
CNTN1	0.745
BBS4	0.0887
TMEM181	0.64575
MINPP1	0.055
MPHOSPH6	-1.44883333333333
HOXC10	-1.1271
ITPKB	0.51375
CLPTM1L	-0.339125
MEOX2	-0.155666666666667
ATP6V0C	0.98675
PRPF8	-0.682833333333333
TMC5	2.4215
FKBP3	0.0495
PLEKHB2	0.69175
OR4D6	0.00750000000000001
ZNF544	-1.3149
D2HGDH	0.313875
RPL18A	-0.3415
HEL308	-0.303125
MPP6	-3.51475
TCERG1	-1.1225
KRT16	-2.05283333333333
KLF17	-1.245
KLF5	1.105875
CDR1	2.54475
VCX3A	-5.7355
FBLN2	2.237625
C14orf104	-0.09525
HBE1	-4.9379
OR4S2	0.2175
C1orf108	-0.544
ROBO4	3.84883333333333
CPEB4	0.084125
C11orf80	0.0323333333333333
BCKDHA	0.168666666666667
MYOC	0.2395
GIF	1.8195
CKMT1A	1.405
RPL3	0.0237
THBS1	2.403125
APOO	-0.7965
ARMCX1	0.3965
HSZFP36	0.2465
SNAPC5	-0.18475
EIF4ENIF1	0.48275
ZNF433	0.19075
TNFRSF21	-1.768125
TMPRSS7	-0.5495
SPATA18	1.3958
HPDL	-3.731
MKL2	1.8264
TBX3	-0.728923076923077
C21orf93	0.311
DAXX	0.88675
ELMO1	-0.2575
RGS13	1.60816666666667
TAF11	-0.30175
UNC13A	-1.703625
LOC653314	0.5306
ORC3L	-1.0785
IMAA	-1.834
TARBP2	-0.39125
CABIN1	0.1142
TRIOBP	0.6505
HIST1H2AC	1.787625
RGS22	-0.865666666666667
NCOA1	1.25566666666667
IL25	-0.00800000000000001
SNCG	-0.0955
GPR6	0.3595
AMDHD1	-2.3865
CHEK2	-0.9595
C6orf142	1.27375
DRD4	0.7715
C14orf68	-1.3405
GDF11	-1.1035
SEMG2	0.0435
CD247	-2.314
CDAN1	-0.25125
RBMX2	-0.0681666666666667
TGS1	0.3705
OIT3	0.73925
SYF2	0.101
MCM4	-2.03775
PKHD1L1	0.914
CEP192	-0.402666666666667
IFT88	1.38
RPL9	-0.395928571428571
RAB32	-0.209125
DDX43	-3.18675
P2RX2	0.0758333333333333
OR5D18	0.4005
UBE1	0.65525
SLC24A1	0.237375
ARHGAP5	-0.2965
CETP	-0.116
KIAA1731	-1.149
SLC9A4	0.4425
PTPN6	1.40125
BAHD1	0.79975
GRIK3	1.1525
CACNB2	-0.5428
PDE10A	0.43175
DGCR14	-0.0205
PCDHB9	-0.396333333333333
RHOQ	0.314833333333333
MAP3K4	-0.2725
KTI12	-0.107833333333333
RPL23AP13	-0.82175
GNG11	-0.04425
CLCN3	0.303
GPAM	-0.882875
VSTM2A	0.8795
SLAMF7	1.789
INTS2	-0.5475
PPP2CA	-0.2742
LRP12	-0.167733333333333
SEC14L2	2.269
DKFZP586H2123	0.884
MC3R	-0.138
CIRH1A	-1.423
HIST1H2AB	1.20583333333333
POLH	-0.1065
MGC16703	-1.75966666666667
SNAPC2	-0.098
FILIP1L	2.10525
RASGRP4	0.361
LRRC1	2.61425
GAS1	0.6115
PRAC	-1.05275
DGKA	0.130166666666667
NT5C3	-0.67625
PEG3	-3.13541666666667
NADK	-0.372
PRR17	0.01275
LOC374569	-0.5435
SGSH	1.168
NLRP8	0.4565
GALT	-0.6349
MCF2	-0.287
ZNF263	0.9875
TACSTD1	1.0935
TYR	-6.6266
ATP6AP2	0.44275
RNUXA	-0.3035
ABHD10	-0.0807
GDPD2	-1.10475
SLC35C1	0.0295
UBE2A	-0.292
HERC5	-1.582
FAM112B	-4.77983333333333
FBXL16	1.2495
DKFZP434A0131	-0.3565
ELA3A	-2.503
RBM41	-1.205
HAO2	0.2645
RNH1	-0.106375
SHANK2	1.36516666666667
OSBP2	-1.199875
DAK	0.558
C3orf58	0.377333333333333
TCL1B	-0.239
KBTBD2	0.05475
SUGT1L1	0.6675
UBE2E2	-0.166
MYL9	2.813875
CDC23	-0.9605
PBXIP1	1.5907
CXorf40B	1.3075
NBL1	0.863
RTBDN	-0.0055
RAB11FIP5	0.586875
TTTY13	-0.6255
SCOTIN	-0.02775
SOHLH1	-0.658333333333333
CDKN1A	0.557642857142857
NCK1	0.33525
ZNF550	0.01425
SAPS3	0.330583333333333
SPIN3	0.699333333333333
MAGEE2	0.62925
MIS12	-0.6475
OR8H2	0.3715
KIAA0774	-1.76083333333333
UNC5D	-2.168
CUL7	0.267666666666667
LIPC	-3.28466666666667
DIO1	-0.372
C20orf11	-0.2533
CTRL	-0.7925
HS3ST2	0.7185
PAK4	1.31783333333333
CCRL1	2.611
RNF10	0.333125
ZNF567	0.56275
ZNF660	-0.3675
TCEAL3	0.7725
MAGOH	-2.0785
CENPB	0.405
C19orf7	0.09075
LOC388965	0.1565
ZCCHC13	0.9185
JMJD1A	-0.7237
HIST1H4H	2.4655
TBRG1	-1.1044
GPC3	-5.932875
TAF1C	-0.2005
EBNA1BP2	-0.886
CIAPIN1	-0.44
PDGFRA	-0.718055555555555
CSTB	-0.035
CENPI	-2.021
GTF2E2	-0.560666666666667
RPP21	-0.168
CCNF	-0.535666666666667
KCNQ3	0.894
FAM79A	1.32775
SLC22A12	-0.0085
NOVA1	-1.16666666666667
FZD3	0.8262
AKAP8	-0.76175
SOCS5	0.469
CFDP1	-1.242
DLG5	1.72925
PGM5	0.220666666666667
C1orf144	0.358
HDAC10	-0.872
RND2	-1.206
C20orf199	-1.29075
RNMT	-0.4175
SLURP1	0.17625
ASTN1	0.058625
SH3BGR	-0.111
MYCL1	-0.531625
ZHX1	-0.889
CENPK	-2.5315
FOSB	0.6933
LOC643406	1.252875
C2orf59	-0.957
TMEM135	-0.73425
SLC27A2	-3.682
KRT33A	2.278
OVOL1	2.085125
PAMCI	-3.13866666666667
S100A7	-1.0445
ZNF789	-1.116
HARS2	-0.012
RPL23A	-0.74
TCF23	0.19575
UPF3B	-1.5545
C17orf78	-0.474
HLA-DOB	-0.275333333333333
C14orf142	0.561666666666667
TEKT5	-0.0556666666666667
DMWD	-0.0475
POLD1	-1.8485
GSCL	0.4665
CALD1	1.6006
SCRT1	0.403666666666667
AIG1	-1.02675
UNC84B	0.49725
ZNF404	-0.1525
TMED6	-3.964
KIAA1462	1.1355
LRRC27	1.44166666666667
PYGO1	0.0985
PIGU	-0.3585
ALAS2	-4.09466666666667
WRNIP1	0.0535
CNNM3	1.3595
ZNF2	0.66275
ST3GAL5	-1.49958333333333
