Hybridization REF	TCGA-A2-A0CT-01A-31R-A056-07
NLRP14	-0.348
SNX21	0.9481
C1QTNF8	0.139
C17orf46	0.47025
IFNA8	0.1865
SPRR1B	-1.74516666666667
FLRT1	-0.8395
SNX17	-0.103
ASB2	-1.1745
HBG1	-5.3625
RPRML	-2.718
JOSD2	0.690833333333333
PLSCR3	-0.632
SPOCD1	-2.3745
RAB39	0.127
GHRH	-0.179333333333333
ITIH5L	1.722
C17orf37	1.98525
SMCR8	0.08025
DPY19L2P3	0.546333333333333
IL11RA	0.641833333333333
GDF3	-3.8355
RPS6KB1	-0.312916666666667
DNAJC19	0.8159
TOP1	-0.02
CRCT1	0.163375
MPST	0.11025
DPM2	-0.26625
FAM38B	0.301166666666667
SLC18A1	-2.36766666666667
FARP1	-1.10066666666667
PAX7	0.1985
TUBD1	-0.925
GNL3	-0.7865
BTG2	2.89626666666667
NDUFS6	-0.17975
C1orf79	-3.24775
ERAL1	0.90075
ECHS1	0.42
VPS4A	-0.8885
CYP11A1	-1.190375
ABCC6	0.0365
PBX4	-3.8945
MOSC1	-0.177
NCF4	-0.09175
HYMAI	-0.2395
NAGPA	0.130125
OTOP2	0.32125
ACOT12	0.0355
MTHFD2L	-0.067625
LOC441376	3.0585
C19orf34	-1.167
RAB1B	0.937
ALDOAP2	-0.5525
NTRK1	-0.520166666666667
ARTS-1	-0.3218
SLC6A11	-1.0485
NAP1L2	1.9965
CNGB1	0.218833333333333
EPB41L4B	-0.671833333333333
FAM134B	2.267375
HS3ST3A1	-1.46983333333333
CPXM2	3.8155
SIRPB2	0.4775
CHORDC1	-1.85866666666667
TRIB3	-1.12616666666667
SLC2A5	0.241
C2orf49	-0.868333333333333
DDX5	-0.21725
OR5L1	-0.1245
ANAPC4	-0.265666666666667
ZSWIM1	1.779
LOC93622	0.92125
KCNK3	0.1068
RP11-35N6.1	-2.479875
ZFP161	0.524666666666667
AQP9	0.246
SLC15A2	0.200166666666667
MREG	-0.567833333333333
OR9I1	-0.01
PDLIM2	0.722625
ADAM7	0.297
GSTCD	0.7115
WDR21A	0.226125
SLC12A8	1.307
TMEM174	0.17825
IGSF3	0.00550000000000001
LRRN1	0.78475
LOC402117	-0.0745
SRPK1	-0.895
LY6K	-1.932875
NFIA	0.7915
PTCD3	-1.254375
LEP	0.352
PCDH21	-1.03883333333333
MAPKAPK2	-0.904428571428571
NMNAT1	-0.920166666666667
LHFPL2	1.044625
C9orf43	1.8725
DIP2A	-0.877833333333333
ACTR8	-0.17225
CCDC34	0.15775
PTPN22	-1.26
ITGA3	-1.287
FAM129C	0.14425
RABGGTA	0.6435
UNC45B	0.435
KIAA1033	0.00224999999999998
ZNF510	0.366166666666667
CYP2D6	-1.00883333333333
SLC26A10	-2.865
STX8	-0.03625
LUZP1	-0.748375
WDR89	0.4915
EIF4G3	-1.0507
C5AR1	1.019125
ZNF623	1.7405
A2M	0.337
TGM7	-0.175
GRPEL1	0.956166666666667
LMNB2	-0.9482
ROCK2	-0.884166666666667
SNX16	1.44125
CCDC66	-0.97025
ANXA3	-1.1365
KIAA1609	-0.472375
EED	-1.9105
RNF32	-0.383833333333333
HES1	2.2455
CLC	0.0486666666666667
ISL1	-0.924
KIAA0528	0.573375
MANEA	1.02475
C1orf61	-1.5025
hCG_2001000	0.98925
RAPGEF6	0.5773
KIAA0020	-0.611833333333333
NEIL1	-0.7665
C16orf45	1.558875
RBM10	-0.592833333333333
C10orf125	-0.089
MRS2L	0.31475
DNAH17	-1.27675
C19orf10	-0.1965
C1orf160	0.221
SLFN12	-0.247
EXOC3	-0.017
HIST3H3	0.5555
NCOR2	-0.519166666666667
TNFRSF9	-1.085
MFSD8	2.14525
ALX1	-3.78983333333333
NOL1	-1.412
PODN	2.41975
TIAL1	-0.72475
HIST1H1E	1.81275
NPY6R	0.11025
TM4SF4	0.6185
CORO2A	1.5435
ETNK2	2.18233333333333
APOE	0.0404
ANGPT4	0.0405
HDGF2	-0.28775
G30	0.47
ST8SIA4	-0.202625
F2RL1	0.577375
FAM19A4	-3.7175
CCAR1	-0.689
B3GNT7	-0.16325
OPHN1	-0.4808
DSCR6	1.775
C21orf13	1.24533333333333
GAS2L1	-0.144833333333333
RFX3	0.155
COPS4	0.787
BCHE	-1.67183333333333
BCL2	2.047125
HBZ	-3.3935
ARL13B	0.037625
MAPBPIP	1.20625
MYO15B	-0.944125
SPZ1	-0.1395
KIAA1324	2.78077777777778
PLCL2	-0.84375
C4orf29	0.29975
WDFY2	-1.622125
ZNF284	-0.3505
NAALADL1	-0.4095
DUSP5	-0.704333333333333
PXDN	-1.022375
SLMO1	-0.92275
TNXB	0.00910000000000003
BIRC7	-1.33875
A4GALT	0.636833333333333
TIMM22	0.1725
FAM110C	1.63175
TOMM34	-0.68525
ABHD9	-0.105
ADAM32	0.0865
CRHBP	0.66675
AQP2	0.298125
LOC130355	1.59075
ZNF187	1.14666666666667
ZNF816A	1.0395
F7	0.534875
CNOT1	-0.7652
SLC13A4	0.37
ZBTB11	-0.54475
B3GALT5	0.5655
EXOC2	0.289333333333333
IRS1	1.4119
TMEM1	0.0103333333333333
MRPL34	0.0508333333333333
SAMM50	0.18425
CDC42EP3	-1.632125
HSF2	-0.9586
MFN2	-0.30975
TSPAN7	-1.72133333333333
NUCB1	0.319833333333333
RHOH	-0.40225
ARL16	0.184
TACR1	0.38025
SFRS5	0.116166666666667
SNX25	1.68825
RHBDF1	0.154
PCDH18	1.58216666666667
HMG1L1	-0.27
MYO5C	0.131875
MAPK10	1.81
LDHAL6A	0.5688
NUDT12	2.24383333333333
NCAM1	-0.254375
GLIS2	0.43
GGTL4	-1.054
DAPP1	-2.2785
ATF7	0.155
KIAA0748	-0.92025
NFIL3	-1.516
TM6SF1	1.0863
SEZ6	0.145625
NANOS3	0.383166666666667
DNAJA3	0.256333333333333
CLDN6	-2.5465
CIITA	2.2014
EPHA4	-1.39466666666667
FANCC	-1.18925
CMTM3	-0.196625
PSG3	-0.211875
MRPL15	1.032
C21orf59	0.03675
PLCXD2	-0.63825
C2orf34	0.23425
UBE2L6	1.25625
MED14	-0.336
HP1BP3	-1.2095
C6orf208	-0.369
TPBG	0.87125
OSR2	0.67175
XPC	0.0645
KLHL7	0.74175
CCR3	-0.474
AGTPBP1	-1.14683333333333
PCSK6	0.193533333333333
STAT5A	-0.6026
FAM18B	-0.53425
LONRF2	1.14733333333333
PTPN2	-0.4505
SF3A3	-0.798333333333333
EFCBP2	-0.26
HCFC1	-0.467166666666667
AHNAK	1.5224
ACTR5	0.521
KIF14	-2.43214285714286
TENC1	0.514
HEATR5B	1.2645
YIPF2	1.0855
MYEOV2	0.495333333333333
DUSP18	1.331
KIAA1012	0.702
AHR	-0.345833333333333
C17orf53	-0.737
PTPRH	-3.939
ATP6V1C1	1.7782
TAS2R3	-0.05
LOC440356	2.7975
COQ10B	1.14475
PSMF1	0.81675
SORBS2	-0.272583333333333
NFE2L2	-0.22425
TMCO7	-0.123
SH3PXD2A	-0.3251
SH2D2A	-2.53975
SPINK5	-4.13075
MRPS24	0.25025
OPA3	-0.248125
TRAF7	-0.291
C4orf35	0.360166666666667
MT1G	-1.409625
MGC39545	0.07475
HS1BP3	0.0873
OR2B2	0.22
CHRM4	0.1335
SFRP2	2.21941666666667
RIC3	-0.8965
ART1	-0.317
C6orf1	1.216625
DUS4L	-0.934
C10orf104	0.645
TNFAIP6	2.69575
RTEL1	-1.955
CCT4	-0.5922
ZNF709	0.49525
CHMP6	1.01366666666667
UPP2	0.1545
CYP19A1	-1.866
CD151	0.195166666666667
NDUFA13	0.611166666666667
ARFRP1	-0.440333333333333
FAM26B	0.65
CRYBA1	-1.4975
MRPL41	0.256333333333333
NPFFR2	-0.01275
HRH2	0.155
SCAMP3	0.856666666666667
MTMR6	0.5711
MTG1	-0.998166666666667
UBTD1	0.85725
CRABP1	-3.378
FLJ33790	-1.3555
KIAA1908	0.307666666666667
GPR158	0.06325
PACSIN3	0.581333333333333
OMD	1.629
CATSPER1	-0.144666666666667
HOXB8	-1.073875
FBXO46	1.106
OAS1	1.39666666666667
SVIL	-0.564
PHB2	-0.93
ADCY3	-0.562
NDRG2	1.46883333333333
ERMAP	0.6218
APBA2	-2.39516666666667
IGSF9	1.85575
WNT6	-0.975714285714286
MYCBPAP	-1.20175
ATP2B2	-0.251
CPVL	-0.7071
TRAM2	-1.122
NOP5/NOP58	-0.58675
ZNRF4	0.1755
TLK1	-0.353875
MTMR12	0.393928571428571
ZNF384	-0.186
FAM9B	-3.05225
RPN1	0.5778
PMVK	1.44875
EIF3D	0.1316
SIX2	-1.6325
HPS1	0.515214285714286
RNF7	0.987
PSKH2	0.144
KCTD13	0.403166666666667
CSMD3	4.0367
FBF1	-0.177
IL8	-4.930125
SERPINB13	0.455909090909091
FBXL20	1.1745
BLR1	0.38225
SH2B1	-0.499166666666667
RFNG	0.19525
RAB20	0.469666666666667
RBM7	-1.23875
POLR1A	-0.706333333333333
TMPRSS4	0.81425
TAF9	-0.216125
TERF2	0.116833333333333
TNFRSF1A	0.15975
ACADVL	-1.01283333333333
GTF2H5	0.05875
EDG8	0.719833333333333
C9orf140	-1.895
UST6	-0.56425
ZBTB8OS	-0.929
ZNF710	-0.161
GPR174	-1.4575
ATP6V0A2	-0.45125
KIAA0319L	1.11608333333333
XKRX	-0.735
DOPEY2	1.2203
SDHD	-0.600583333333333
SUMF1	2.99725
OSM	3.79075
OPN3	-0.31325
DAGLB	-0.4655
PPFIBP1	0.1432
TRIM63	-2.5295
C10orf53	-1.0925
LYPD3	1.01116666666667
BCL7A	0.10225
AGER	-1.97133333333333
TCF19	-0.350875
SAT2	-0.12625
PFTK1	0.784
GABRE	-3.8175
C15orf38	0.2179
FIS1	-0.82
KCNV2	0.33275
CLPS	0.275
PPCDC	-0.34375
FOXN2	0.833833333333333
NT5E	-3.8515
CD83	0.5435
IL18	-0.06275
VPS16	0.48925
IGFBP2	1.71083333333333
NOTCH2	-0.57425
SIGLEC1	2.8535
CD93	5.261
SULF2	-2.09925
CEP164	-0.994125
P53AIP1	0.222333333333333
TOR2A	0.1695
ZNF136	0.91575
MGP	1.6407
CCDC144A	1.12683333333333
TRPC1	-0.3735
SMS	-0.356833333333333
MAPK7	-1.31066666666667
RRAGC	0.63475
PARD6A	-0.239833333333333
NUB1	-0.167333333333333
SYNGR4	0.17525
OR11H12	0.4395
WIF1	0.239625
GCH1	-0.26025
OR11H4	0.1555
SLC44A5	1.9965
GPRIN2	-0.3255
LOC401431	0.6375
CPA4	-2.9737
MELK	-2.10555555555556
IL15RA	-0.7855
CUL3	0.993625
HMBOX1	1.99275
PODXL	-1.91725
CCT6B	2.348
COMTD1	-0.6605
MUC20	-1.18383333333333
GPX2	-2.746375
ITK	-1.7515
FBXL5	1.87175
C13orf27	-1.38025
DEFA5	-0.4265
TRHDE	-0.1805
MTP18	-1.10533333333333
UQCRQ	0.0612
ITGB2	0.629666666666667
CSRP2BP	1.457
TAS2R44	0.8385
PHPT1	0.213625
FAM44C	0.6025
ERH	1.01925
MPHOSPH1	-1.22
MORC1	-0.0985
PARVB	-0.89175
LAMA1	-2.274
PGBD3	0.1205
GIMAP6	3.7855
AREG	-5.27316666666667
LIPT1	0.32025
MGC99813	-1.49625
C1orf201	-0.354333333333333
GRIN2A	-0.9723
MAN2C1	-1.81275
NSUN5	-1.5525
SF3B5	0.1375
MYC	0.4816875
NRXN1	0.947
ZNF18	-0.4735
SPDYA	-0.72775
SLC37A1	1.1555
DECR2	-0.97925
ANKRD38	0.144375
SPTLC3	-1.06366666666667
SUPT16H	0.573125
DTWD2	1.54875
ULBP1	-0.398
ZADH1	0.952
OIP5	-2.3715
IL10RB	-0.0415
OTUB2	1.074375
VWA3A	0.148
SPIC	0.212666666666667
OR6C4	0.0765
PSCD4	-0.0356666666666666
DPY19L2P2	-0.758
TRAPPC6A	1.3945
C21orf2	-0.762166666666667
CEMP1	-0.5705
LIN7B	1.011
E2F7	-2.36416666666667
VCP	-0.3190625
LAMA3	1.35616666666667
BGN	0.983
GPR160	1.90316666666667
COCH	-3.4745
GPR81	2.94383333333333
APOBEC3F	-2.14425
tcag7.1017	-0.5885
C1orf32	0.3415
SCGB1D2	4.74
FLJ43987	-0.2875
C6orf170	-0.1605
KLK9	0.4905
GPD1L	1.425875
VPS37B	-0.43675
ATG3	-0.4445
ADAMTS17	0.09
KLHDC2	0.700333333333333
NDUFV2	0.26875
BLK	-3.3615
MATN4	-1.2335
GPM6A	-0.135625
GBP4	3.65416666666667
TMEM162	0.218666666666667
PKP2	2.188
HRASLS	-1.00244444444444
MMP1	-4.1725
SFXN3	-0.5445
FSD1	-2.15883333333333
ST6GALNAC3	-1.59666666666667
CA12	1.2708
NCOA6	0.652
C19orf58	0.4886
PPP4R1	-0.178
MAN1A2	1.19866666666667
IKBKAP	-1.20225
UPF1	0.315
KIAA1219	1.6975
WNT16	0.183833333333333
SNW1	0.092625
IL18RAP	0.90975
RPP30	-0.656875
CDC40	0.195214285714286
SETD3	0.5585
SLAMF6	-0.59875
ELK4	-0.4655
TRIM47	-0.174833333333333
ACOX3	1.3445
TRIM6	0.650875
KIAA0372	-0.172833333333333
TP53AP1	1.94275
SMURF2	0.06975
ADAD1	0.52275
EBP	-0.5575
KRTAP13-2	0.1955
FLJ36874	-0.6965
TOR1A	-0.0015
P2RY4	0.0525
GPBP1	0.45075
TRPV1	-0.9125
ADAMTS12	-0.165
PES1	-0.1343
ATG4A	0.245833333333333
MAGEA10	-4.77525
WFS1	1.71075
CC2D1B	-0.597833333333333
PABPN1	-0.729625
SLC25A30	-0.2
SLCO1C1	0.4205
SLC22A5	2.1635
KIF23	-2.08866666666667
SYN2	-0.545166666666667
ASPN	7.49133333333333
CENTG2	1.4075
QSOX2	-1.1443
FLJ10815	0.1395
STK24	-0.989125
SPEG	-0.3378
STK10	-0.338166666666667
DACT2	-0.9195
AAAS	-0.831
SSX3	-1.76
ABCD3	1.348
C4orf12	0.839
PARVG	0.1705
FIG4	0.76975
C9orf46	2.118
TMCO6	-0.2415
IGHMBP2	0.1745
DUS2L	-0.5165
FAM3C	-0.8810625
TMEM16D	-3.044625
DCTN4	1.027
KCNH3	-0.0495
EIF2AK2	1.3335
AP1S3	-0.575125
CST4	1.103
PAM	-0.7395625
NUTF2	-0.559
CITED2	-0.2443
SLC39A4	0.5785
C2orf52	-0.335
GRM3	0.11575
C12orf49	0.393875
CCDC49	0.3732
GRAMD1B	-1.53075
FNDC4	-0.3065
SIAH2	0.0295
GDPD4	0.0845
C21orf87	1.797125
ATP5A1	-0.122
C16orf63	0.11425
LOC388135	-0.451666666666667
ATP5J2	-0.306625
MMP3	-1.4905
EMID2	-0.1735
CRHR1	0.1665
WDR70	0.127
C13orf31	0.7225
ZFAND1	1.20775
CCL18	2.30216666666667
C3orf49	-0.5795
RINT1	-0.8275
KIAA0408	-2.3545
F13A1	4.3144
SLC10A1	-0.241333333333333
OGN	1.6615
GIPC2	-1.5315
XPO6	-0.0661666666666667
LCE1A	0.1665
FMR1	0.5366
LOC374920	0.361
DUSP3	-0.06425
ANKMY1	-0.5595
C7orf50	-0.60925
BBS9	0.5838
UNC119B	-0.124
C9orf72	0.746375
MGC35440	-0.7565
ENTPD6	0.65375
PPP1R2P9	0.43175
ERCC4	0.7665
FAHD2B	-0.315
HMHA1	0.001
HACL1	-0.42375
RAD23A	0.415166666666667
FAM83B	-2.5915
PPP5C	-0.215666666666667
RNASEH2C	0.89475
C9orf153	-0.798
SCAMP4	0.985875
GHITM	0.1892
NDUFB7	1.073375
ADCYAP1	2.7605
SP110	1.321
MAP3K7IP2	0.58225
DHH	-0.279
AGRN	-0.520071428571429
WDR33	-0.301166666666667
CEP290	1.62966666666667
PRPS1L1	-1.90166666666667
KLRA1	-1.1445
GPR97	-0.4495
CHD7	-0.591333333333333
TLR10	0.74075
SLC30A8	4.166
HIC1	0.629833333333333
IAPP	0.2445
RXFP4	0.30275
GP1BB	-0.16
SHQ1	0.1995
NKX2-3	0.0195
API5	0.65825
FTHP1	0.479
MOV10L1	0.448166666666667
TRIM6-TRIM34	3.095
ADHFE1	0.88025
FAM117A	-0.71575
DDI1	-0.0965
CDON	-0.767
TRIM73	-1.344
IGKC	1.1805
MMP14	-0.729916666666667
DYNC1LI1	0.3585
C11orf66	-0.4865
TRBV3-1	-1.0975
FASTKD5	1.18525
BIVM	-1.74225
LHX4	-0.16025
CXCL2	-3.0227
RAB2B	-0.328
IZUMO1	-1.0275
MAP3K15	-1.994875
FAM19A2	2.06266666666667
ZC3H8	-0.4625
ZMAT1	2.44275
SPINK5L3	-2.68425
SLC10A6	0.6275
APPL2	0.3235
CARD10	-0.789666666666667
LOC402176	-1.221125
EEF1D	1.4412
RAB6A	-0.4547
C12orf5	-1.004375
PAPOLG	0.73975
MSRB2	0.6555
BCR	0.421277777777778
PUS3	-0.2435
TIAM2	-0.89325
ZNF317	0.0295
CHD2	-0.00921428571428574
FZD5	-1.19731818181818
NUDT8	-1.5175
ZNF763	0.0545
PRC1	-2.28022222222222
ABCB9	0.683333333333333
SPATA3	-0.24225
TRAK2	0.6155
STAB1	2.504
LRRTM2	-0.165
psiTPTE22	-0.277
DBI	0.659
SERPINA11	-1.05575
NAT5	2.393
C20orf58	-2.48125
RPS6KA4	-0.119833333333333
FLJ90650	-1.15075
TGFBRAP1	0.25325
CHRDL2	-0.66825
FAHD2A	-0.642166666666667
CNTN1	0.28175
BBS4	-0.6046
TMEM181	0.1975
MINPP1	1.20375
MPHOSPH6	-0.1615
HOXC10	2.0908
ITPKB	0.0568750000000001
CLPTM1L	0.16525
MEOX2	0.07
ATP6V0C	0.887375
PRPF8	-1.17316666666667
TMC5	3.1155
FKBP3	-0.0045
PLEKHB2	0.560375
OR4D6	0.225
ZNF544	0.3282
D2HGDH	-0.39775
RPL18A	-0.8768
HEL308	0.780875
MPP6	-3.92825
TCERG1	-1.546
KRT16	-2.078
KLF17	-1.5905
KLF5	-0.601125
CDR1	1.435625
VCX3A	-4.983
FBLN2	0.6085
C14orf104	0.5025
HBE1	-5.0786
OR4S2	-0.1045
C1orf108	-0.661666666666667
ROBO4	3.49066666666667
CPEB4	1.58475
C11orf80	-0.4155
BCKDHA	0.554833333333333
MYOC	-0.19
GIF	0.032
CKMT1A	0.999
RPL3	0.2713
THBS1	2.621125
APOO	-0.6345
ARMCX1	1.122
HSZFP36	0.45725
SNAPC5	-0.5885
EIF4ENIF1	1.45675
ZNF433	1.2915
TNFRSF21	-1.672375
TMPRSS7	-0.0755
SPATA18	0.2561
HPDL	-1.27
MKL2	1.8002
TBX3	2.53684615384615
C21orf93	-0.00783333333333335
DAXX	0.438
ELMO1	-0.194125
RGS13	3.80616666666667
TAF11	0.1245
UNC13A	-1.812625
LOC653314	-0.3742
ORC3L	-0.46125
IMAA	-2.904
TARBP2	-0.30925
CABIN1	-0.4336
TRIOBP	0.2573125
HIST1H2AC	2.3225
RGS22	-2.60783333333333
NCOA1	0.951166666666667
IL25	-0.043
SNCG	3.538
GPR6	0.7125
AMDHD1	2.05683333333333
CHEK2	-0.912375
C6orf142	-0.73025
DRD4	-0.12175
C14orf68	-1.09775
GDF11	-2.24
SEMG2	0.657
CD247	-2.8975
CDAN1	-0.7605
RBMX2	-0.0291666666666667
TGS1	0.485
OIT3	0.58
SYF2	-0.45625
MCM4	-1.6445
PKHD1L1	-0.384
CEP192	-1.03866666666667
IFT88	0.6175
RPL9	0.543571428571428
RAB32	-0.495375
DDX43	-3.39375
P2RX2	0.223333333333333
OR5D18	-0.293
UBE1	-0.5845
SLC24A1	0.06525
ARHGAP5	0.87
CETP	-0.3445
KIAA1731	-1.43916666666667
SLC9A4	0.569
PTPN6	0.83875
BAHD1	-0.64
GRIK3	0.417
CACNB2	-0.8107
PDE10A	-1.1845
DGCR14	0.021
PCDHB9	-0.779666666666667
RHOQ	0.532166666666667
MAP3K4	-0.896
KTI12	0.0721666666666666
RPL23AP13	-1.9695
GNG11	-0.73675
CLCN3	2.3685
GPAM	-0.432875
VSTM2A	3.466
SLAMF7	1.79316666666667
INTS2	0.534
PPP2CA	0.9831
LRP12	0.632666666666667
SEC14L2	-0.0716666666666667
DKFZP586H2123	2.743
MC3R	-0.4275
CIRH1A	-1.6595
HIST1H2AB	1.317
POLH	-0.295375
MGC16703	-2.10583333333333
SNAPC2	0.321
FILIP1L	0.84625
RASGRP4	0.5865
LRRC1	1.94325
GAS1	0.58725
PRAC	-0.926
DGKA	-0.840333333333333
NT5C3	0.412
PEG3	2.00675
NADK	-0.9335
PRR17	0.4405
LOC374569	-0.57525
SGSH	0.361666666666667
NLRP8	1.0735
GALT	0.5855
MCF2	-0.62
ZNF263	0.65625
TACSTD1	1.12233333333333
TYR	-6.7978
ATP6AP2	1.518
RNUXA	0.26725
ABHD10	0.3529
GDPD2	2.33475
SLC35C1	-0.4065
UBE2A	0.426375
HERC5	-0.339833333333333
FAM112B	-5.038
FBXL16	1.10575
DKFZP434A0131	-0.8805
ELA3A	-2.308
RBM41	-0.60575
HAO2	-0.37525
RNH1	-0.054625
SHANK2	1.63
OSBP2	-0.797125
DAK	0.385333333333333
C3orf58	2.53375
TCL1B	1.0625
KBTBD2	-0.37225
SUGT1L1	0.9675
UBE2E2	-0.4755
MYL9	1.9715
CDC23	-0.0805
PBXIP1	1.2999
CXorf40B	1.376
NBL1	-0.06575
RTBDN	1.629
RAB11FIP5	-0.321625
TTTY13	-0.3515
SCOTIN	-0.461833333333333
SOHLH1	-0.566666666666667
CDKN1A	0.485785714285714
NCK1	0.151
ZNF550	-0.1205
SAPS3	1.29558333333333
SPIN3	0.987333333333333
MAGEE2	-0.068
MIS12	0.487833333333333
OR8H2	0.341
KIAA0774	-2.01683333333333
UNC5D	-1.5635
CUL7	0.299833333333333
LIPC	-4.0765
DIO1	0.37125
C20orf11	-0.5265
CTRL	-0.97425
HS3ST2	0.20775
PAK4	0.884166666666667
CCRL1	2.33175
RNF10	-0.479625
ZNF567	0.68625
ZNF660	-0.1145
TCEAL3	3.58725
MAGOH	-0.268333333333333
CENPB	-0.0183333333333333
C19orf7	0.5775
LOC388965	0.516
ZCCHC13	0.228
JMJD1A	-0.7513
HIST1H4H	1.8325
TBRG1	-1.5514
GPC3	-3.373
TAF1C	-1.536875
EBNA1BP2	-0.478166666666667
CIAPIN1	-0.631
PDGFRA	-1.52672222222222
CSTB	-0.995375
CENPI	-1.27083333333333
GTF2E2	0.500833333333333
RPP21	0.34825
CCNF	-0.376833333333333
KCNQ3	0.5855
FAM79A	0.5065
SLC22A12	-0.021
NOVA1	1.27066666666667
FZD3	1.8902
AKAP8	-0.46475
SOCS5	0.284
CFDP1	-0.9385
DLG5	-0.5465
PGM5	0.993916666666667
C1orf144	0.13275
HDAC10	-1.2985
RND2	0.54575
C20orf199	-0.40175
RNMT	0.2475
SLURP1	-0.16775
ASTN1	0.017125
SH3BGR	1.193
MYCL1	0.276875
ZHX1	0.0655
CENPK	-1.888
FOSB	2.2749
LOC643406	0.45275
C2orf59	-0.70725
TMEM135	0.82475
SLC27A2	-2.00875
KRT33A	3.0575
OVOL1	0.653375
PAMCI	-2.44866666666667
S100A7	-1.3505
ZNF789	-2.267
HARS2	0.2045
RPL23A	-0.305333333333333
TCF23	-0.044
UPF3B	-1.868875
C17orf78	0.3545
HLA-DOB	0.199333333333333
C14orf142	0.538333333333333
TEKT5	1.07766666666667
DMWD	0.0145
POLD1	-2.06883333333333
GSCL	-0.289
CALD1	-0.5481
SCRT1	0.0336666666666667
AIG1	2.29925
UNC84B	-0.46175
ZNF404	2.07125
TMED6	-3.71025
KIAA1462	0.06
LRRC27	1.51616666666667
PYGO1	-0.034
PIGU	1.04666666666667
ALAS2	-3.93166666666667
WRNIP1	-0.2535
CNNM3	0.7205
ZNF2	0.646
ST3GAL5	-0.370916666666667
MRPL23	0.42325
TSSK6	0.01025
PSMA6	0.607
C16orf70	-0.412
KIAA1602	-0.7755
ALMS1	-0.543166666666667
DCN	1.551
TMEM132D	-0.99475
SUCLG2	0.077
ABHD14A	-1.10125
DEXI	0.4365
AMPD2	-1.33866666666667
IFNAR2	-0.645166666666667
CYB5A	1.2194
TLOC1	0.96095
NXF5	-0.822
NRBF2	-0.02925
KCTD3	1.907
ITGAE	-0.715333333333333
SLC30A3	-2.4425
ZRF1	-2.2145
IFRD2	-1.427875
XAB1	0.3945
PYCR2	-0.579333333333333
SERPINB3	-4.9755
TMLHE	0.152
GEFT	-0.408375
ABCA5	0.08075
EMR4	-0.164666666666667
TSFM	-0.22675
HIST3H2BB	0.49575
ARHGEF19	0.57725
TSPAN17	-0.0675
ABCC8	3.94275
MAP1S	0.388833333333333
C22orf36	0.69975
BNC2	-0.285785714285714
HIST1H4A	-0.3475
NDUFS3	0.596333333333333
WDR3	-0.223166666666667
XKR4	-1.4685
TTC33	0.3155
STMN2	3.85225
CPN2	-1.17
HSPC105	2.014125
PCOLCE2	-6.01525
C3orf55	0.4985
KLHDC9	3.26833333333333
TBC1D23	0.364125
ATXN2L	-0.938333333333333
MAP2K3	-1.05433333333333
SCAP	-0.438
ZNF486	1.67516666666667
C20orf96	1.66225
NARS	0.1425
ADAMTSL1	-1.24371428571429
PRCC	0.715166666666667
CCDC126	2.12475
ZNF675	0.552
CALCOCO1	0.58975
ANKRD43	3.50425
CWF19L2	0.283833333333333
ZBTB32	1.618
BRAF	0.10025
ODF4	0.34
MGC14376	-0.429
HORMAD1	-2.9234
AAK1	-0.119833333333333
PEBP1	0.765416666666667
TNFSF5IP1	0.309166666666667
DKFZp564N2472	0.11625
RMND1	1.458625
IGKV1-5	1.77425
COL1A2	2.26441666666667
SERPINA5	1.965875
AANAT	0.3235
C19orf21	1.80233333333333
GEMIN5	0.75175
UBR4	-1.00466666666667
LTBP3	0.706666666666667
AMHR2	-1.10366666666667
PROCR	-1.3835
MYBBP1A	-0.128
C20orf39	-0.195833333333333
ZNF697	-0.732125
PASK	-1.1879
ZNF776	2.05583333333333
RFXDC2	-0.804625
KIAA0467	-0.67525
C10orf96	-1.1455
ZNF503	-1.4435
GULP1	-1.51791666666667
KCNE4	0.786833333333333
DKFZp434K191	-1.718625
LOC196913	-0.1025
BHLHB4	-0.202
CH25H	1.008
LOC81691	-1.22016666666667
ALPL	0.340571428571428
COL12A1	2.027
FOLR3	-2.81333333333333
GPR123	-0.00962499999999999
TRIM62	0.684428571428571
ABLIM1	-1.72983333333333
MAST3	-0.75575
RHBDD1	0.7625
LOC338809	0.0565
RYBP	0.0945
TTC26	-0.614
ZNF22	-0.224666666666667
ISCA2	0.9775
RDM1	-1.48
PIGM	2.208
GNB3	-1.7345
ACTR2	0.241
HMGB1	-0.0397
EDG1	2.8595
SOAT2	-3.38175
OR10AD1	0.7685
RAP1GDS1	3.42725
LCE1F	0.5115
ESM1	0.541625
RCN3	1.2875
CREBL1	-0.49075
DBNL	-0.0233333333333333
PTGER3	1.125
USP30	1.14133333333333
BCL2L12	-0.793666666666667
KIF26B	2.237
ZNF416	1.21125
ZNF225	0.6885
C17orf70	0.17175
ZNF554	1.2075
RAE1	0.679833333333333
TNIK	-1.07466666666667
ACTN3	-0.1905
MGC45922	-0.261
CCNA1	-1.23166666666667
RYK	0.374
IL26	0.229
LRP3	0.154
QARS	-0.78725
SOX7	0.809142857142857
BID	-1.341125
OR2S2	0.3575
CXCL14	2.9125
C11orf47	-0.854
MGC29891	0.6925
HSPB8	0.952
PRDM14	-1.1725
NUFIP2	1.272
MNAT1	0.43625
ZDHHC2	-0.759916666666667
MBNL2	-0.087875
ADD3	-1.007875
CSNK2A1P	0.098
KLK6	-2.24333333333333
TMEM111	1.1652
KIAA1279	1.1835
NUBP2	0.421833333333333
RAB42	-1.0445
