Hybridization REF	TCGA-BH-A0AW-01A-11R-A056-07
LOC440087	-0.64075
UCP1	-0.403
REEP5	1.656375
FADD	-0.4288
FOXA1	2.226875
CACNA1A	1.13316666666667
ABI1	-0.0168333333333333
GRIN2D	2.2405
SLC1A4	1.92466666666667
LOC401127	-0.17025
HINT2	-0.39325
PLD4	0.834333333333333
ZNF286A	0.21925
ENY2	-0.1025
IL1F6	-0.1235
PXDNL	2.01175
C20orf79	0.589
TNFSF13B	4.23383333333333
DENND3	0.3365
JARID1D	-3.28725
HIST1H2AK	0.990875
LOC93349	0.0968
SSH1	-0.8652
ENSA	-0.44975
LOC219854	-0.129333333333333
CKAP2	-1.0672
DKFZP564J102	-0.813166666666667
MGC87315	-0.113333333333333
HNRPAB	-0.70025
AMH	-1.1145
ZNF526	1.0805
BRUNOL5	-0.3167
CACNG3	0.437333333333333
TRPM1	-1.9335
PPP2R1A	0.54725
COL2A1	-1.51175
DDN	-0.106166666666667
FLJ25770	0.179636363636364
HK2	-0.500785714285714
ELOVL6	-1.011375
MDK	0.8205
EPHX1	1.17575
RASSF2	1.21375
DKFZP434B0335	0.14675
DLX3	-0.175875
PRTN3	-0.35575
AVPR1A	0.40325
C21orf125	0.581
TNFAIP8	0.225666666666667
GNB2L1	-0.67025
CALCRL	3.64725
SCGB2A2	2.57583333333333
UBXD7	0.28825
ZNF674	-0.5055
TMEM35	-0.37375
BRSK2	-1.451
HECTD3	-0.1775
TMEM188	-0.679333333333333
LGALS9	2.85225
SCARB2	0.58475
USP34	-0.234166666666667
C17orf28	3.30566666666667
ZDHHC23	-1.52975
AQP12B	0.477
SLC16A3	-2.264125
APLP2	0.7735
ITIH2	-4.93075
MICAL3	-0.2535
TNNI3K	2.4276
HDAC2	1.42025
PRR7	1.1878
THBS2	-0.29425
LOC751071	-1.124
CA2	0.9485
RANBP17	-2.3
RLN3	0.758
CRYZ	-0.6435
GBAS	0.0428333333333333
TAS1R1	-0.2435
MPZL3	0.7855
PCDH8	-2.135
HSP90B1	-0.639166666666667
KCNK15	-0.07
TNIP2	-0.151833333333333
GPR146	-0.10525
NOL6	0.121
SPC25	-1.72222222222222
STEAP2	0.447214285714286
VAMP3	-0.438833333333333
TCIRG1	-0.44975
ZP4	-0.788833333333333
PARL	-0.38625
TRIM39	0.187166666666667
KIAA1305	0.61875
CRNN	0.120666666666667
GRN	0.18675
HSH2D	0.011
SCAMP1	0.411625
KIAA1913	0.692
PTS	0.0465
BANP	-0.131857142857143
PRKACG	-0.03525
ADCY6	0.394666666666667
C16orf46	-0.3375
CYP51A1	1.112625
DDC	-2.09775
ANPEP	-0.5185
PROM1	1.92283333333333
SIGLEC10	3.22425
COPG	0.8945
FAM26E	1.03075
TRIP4	-0.2605
SNX3	0.408
C1orf175	0.493666666666667
PPY2	0.56925
C14orf152	0.760666666666667
FTSJ1	-0.9265
DST	-0.6017
LOC554235	0.314
GLRX5	-0.5715
C20orf12	0.4205
CAB39	-0.085
MSH2	-1.3005
PIP4K2C	0.7665
CYLD	0.883875
WTAP	0.5881875
MGAT4A	3.64244444444445
TSC22D4	-0.1144
CHRM2	-1.385
PPYR1	0.561166666666667
CCNH	-0.834833333333333
RRM1	-0.90075
ECAT8	-1.7775
LOC400120	-0.1475
GABRA4	0.2575
C14orf4	0.847333333333333
C1orf59	1.14825
CTDSPL	0.175833333333333
NHEDC2	-1.706
PDE11A	-0.8323125
KLHL29	-2.451
CD5	1.4048
TSPAN9	1.8639375
WDR67	-0.73725
THUMPD1	0.3961
C18orf17	0.73
CLYBL	-0.0135
FLJ13231	-0.4085
CMBL	2.057375
LECT2	-0.29825
NKAPL	1.72866666666667
LOC654780	0.551
OR4C6	0.21
RAB30	-0.39
TSSK4	-0.2525
TMEM163	2.3305
OSBPL11	0.527333333333333
GNB5	-1.10883333333333
CCL21	1.95675
C1orf121	0.548833333333333
FMO2	1.9635
RPTN	0.443
MSTN	1.5535
VCL	-0.2745
FYTTD1	0.20025
C11orf1	0.5215
CCDC88C	0.89475
HFE	-0.732277777777778
MOGAT1	-0.6595
FAM125B	0.097
IRGQ	0.4655
RAVER2	-1.291
AKAP5	0.0655
SSSCA1	-0.7105
C11orf63	1.16
ACTG2	-0.1981
PORCN	-1.37
DTL	-1.64809090909091
TMEM151	1.02275
FAM122C	-1.6715
RSAD2	2.9807
BAT4	-0.232
KRTDAP	-0.959833333333333
MYH8	0.56275
CRTC3	0.02625
LRRFIP2	-0.225
INTS4	-0.708
TTN	-1.0805
SLC26A5	0.026
PLLP	-1.167
RGS6	-0.571875
SRGAP3	0.61325
ZNF525	0.407833333333333
NBR2	-0.5315
C13orf1	-0.1388
ZNF137	0.3865
CEP27	-1.54925
BEST2	0.6455
RNF121	-0.1985
DMRTC2	3.24275
C8orf76	0.03325
BCCIP	-0.374
MEST	0.68675
HTRA2	-0.1485
ANGPTL2	0.124
ILKAP	-0.828666666666667
ERAS	-0.5415
HBS1L	0.759375
CPA5	0.3035
TMEM30A	-0.146833333333333
CD300LF	3.34083333333333
WISP3	-1.1085
CRK	0.429071428571429
PDS5A	-0.8281
BRPF3	0.335333333333333
NEDD9	-0.63275
SMPDL3B	2.23375
PSG6	-1.3395
PSMD13	0.2775
ETV5	-2.179375
OR51A4	0.167
BTBD7	0.456083333333333
GSTO1	-0.986375
hCG_16001	1.656
MAD2L1BP	-0.3035
COX6A2	2.644
SCNN1A	-0.455333333333333
LSM1	-0.005
UGT2B11	1.2085
IDUA	-0.2005
PPP2R3C	-0.6125
COX11	-0.1535
PDZK1	-3.96325
ZNF443	0.808
MGC21874	0.7565
ZNF323	1.1363
KRTAP10-10	0.2045
CXCL6	0.05875
SLC34A2	0.552
LOC284402	0.541
NPTN	-0.39475
UPP1	-1.55458333333333
SLC6A9	-0.2795
OR7G3	0.16075
CISD1	-0.444666666666667
ZNF545	-0.00416666666666666
SYT14	-0.9035
NT5C3L	-0.986166666666667
ZNHIT3	-0.291166666666667
SNRPD3	-0.08325
KIAA0701	-0.385125
UNC93B1	0.775666666666667
GMNN	-1.8805
SPCS2	0.567333333333333
LOC388524	0.692
NAPRT1	1.273625
PNLIPRP1	0.336666666666667
OR6V1	1.2805
PRKAB1	-0.09125
EYA4	-2.93466666666667
KIF20A	-1.4815
ALG10	0.77425
ITPKC	0.826666666666667
LMX1B	1.36633333333333
RPUSD4	-0.871
C7orf34	-0.227833333333333
DLGAP2	0.236
PFN1	-0.363
MICALL2	-0.44375
ZNF654	0.275
SS18L1	-0.929125
SLC16A8	0.542
MKI67IP	-0.387333333333333
ITGB3	-0.831
TCEA3	1.81333333333333
CEP152	-2.375625
CLIP1	0.287125
ZNF75	0.194
ATP5C1	-0.636333333333333
NUDT5	-0.857333333333333
PSCDBP	2.562
UBP1	-0.763
RBM27	0.01575
C13orf15	2.500625
ZNF282	-0.519333333333333
ZNF222	0.2036
COL10A1	6.5165
PRDM15	-0.949125
TTTY5	-0.1725
FAM9C	-0.564636363636364
C20orf67	-0.089
GNG13	0.1115
F12	0.67025
C1orf41	-1.107
CPXCR1	1.0455
GSK3A	0.3305
SUPT6H	0.395
PI16	0.390333333333333
ELL2	-1.37766666666667
C9orf167	-1.0265
PVRL3	-2.4555
FLJ38596	0.60975
ADAM20	-0.10625
GPR89A	-0.004
GPR87	-2.2165
ZNF30	1.678
SMR3B	0.35975
ZNF770	-0.205875
TRPC4AP	-0.5615
DKFZP686E2158	0.2005
C2orf28	0.150666666666667
FREM1	-0.439166666666667
LAMA4	0.426166666666667
ADPRHL2	0.422
EIF4G2	0.0971666666666667
GUCA1A	-0.2755
CTNNA2	-0.9285
NUDT15	-0.5
CEPT1	-0.507
ZNFX1	0.566
CCDC92	0.91725
TDRD1	1.379
KCNK5	-2.05633333333333
ETNK1	-0.483916666666667
LTA	1.0465
TTPA	-0.591
B3GALNT2	0.250875
SC65	-1.20066666666667
PEX5L	-1.256375
EPS15L1	-0.225
MGEA5	-0.845625
HIST1H3A	1.6485
ING1	0.853125
BCAT1	-2.806125
ORC6L	-2.63054545454545
KLK11	-5.0895
C19orf28	-1.105
DNER	-4.220375
MED22	-1.29942857142857
ETV6	1.18825
CHAC2	-1.31925
CD300E	0.355
CEBPB	0.25425
ZNF398	-0.27775
LRCH3	-0.0405
HMGA1	-0.683666666666667
CAPN7	-0.621833333333333
MGC5566	-2.87125
CCL3	3.437875
NANOS1	1.487125
ZFYVE19	0.07875
APITD1	-0.2765
PARD3	0.9655
IRAK4	-0.07
SERPINI2	-0.531
CEP170L	-0.8605
TTC9	2.23975
MYOM3	-1.1805
MLPH	0.750875
LOC222699	0.942
NRG1	-2.30225
TBC1D9	0.529727272727273
TTK	-1.53
ZNF557	0.6153
DDX41	-0.352333333333333
FANK1	1.226
UBE2D2	-0.1185
PSMB10	1.029
MYH7B	-1.2455
GABARAPL2	-0.908875
MARVELD2	2.814
DGCR2	0.943666666666667
UNC45A	-0.250666666666667
C6orf72	1.7105
ZNF683	5.8425
GIT2	-0.137
CASK	1.46533333333333
C14orf161	4.65333333333333
LRRC44	-0.222
TIFA	-0.33075
UTP11L	-0.150875
C6orf65	-0.94875
FDPS	-0.296
DUSP9	-1.2942
SLC17A8	0.0105
OR51G1	0.326
NANS	0.03325
OLFML1	1.88825
ATP10B	-1.045
NPAS3	-1.115
PRKCA	-2.4664
GGA2	-0.274625
LCE4A	0.382
SPANXN3	0.52175
CCDC115	0.501875
SDCCAG3	-1.008
GLIPR1L1	0.76075
TTC1	-0.39575
C17orf76	0.669
MAD2L2	-0.1405
HIPK1	-0.281
LRRC3B	-0.367333333333333
CLN3	0.646318181818182
C17orf47	0.436
FMN2	-3.28025
TUBB1	-1.7745
WAPAL	0.0668333333333333
C3orf21	-0.35725
SCN5A	-0.2702
SMYD1	-0.386
BEX5	2.928
ZNF192	-0.9645
SEC22A	0.192833333333333
GRIA2	0.140928571428571
KIAA0825	-2.00125
NUSAP1	-1.18972727272727
LANCL1	-0.933875
C15orf40	-1.3167
ZNF645	0.320428571428571
GPR61	0.44875
NLRP14	-1.237
SNX21	0.4012
C1QTNF8	0.9845
C17orf46	0.3495
IFNA8	-0.008
SPRR1B	-1.17916666666667
FLRT1	-0.54525
SNX17	-0.175166666666667
ASB2	0.7455
HBG1	-5.311
RPRML	-2.009
JOSD2	0.505833333333333
PLSCR3	0.397
SPOCD1	-0.677166666666667
RAB39	0.4385
GHRH	0.388666666666667
ITIH5L	1.3625
C17orf37	3.82375
SMCR8	0.86725
DPY19L2P3	-0.575833333333333
IL11RA	0.153333333333333
GDF3	-3.1855
RPS6KB1	-0.712083333333333
DNAJC19	0.0617
TOP1	0.15075
CRCT1	-0.090375
MPST	0.207625
DPM2	0.33175
FAM38B	-1.93383333333333
SLC18A1	-1.65433333333333
FARP1	0.0473333333333333
PAX7	0.17575
TUBD1	-0.26625
GNL3	-0.913
BTG2	1.66146666666667
NDUFS6	0.41325
C1orf79	-2.27025
ERAL1	0.24175
ECHS1	0.4055
VPS4A	0.0663333333333333
CYP11A1	-0.1865
ABCC6	-0.820571428571429
PBX4	-0.636
MOSC1	0.495625
NCF4	1.5205
HYMAI	-1.8045
NAGPA	-0.8095
OTOP2	0.71575
ACOT12	-0.4135
MTHFD2L	-1.113625
LOC441376	-0.46
C19orf34	-0.6235
RAB1B	0.46675
ALDOAP2	0.207
NTRK1	-1.21266666666667
ARTS-1	-0.844
SLC6A11	0.8155
NAP1L2	1.099
CNGB1	0.00766666666666669
EPB41L4B	0.65075
FAM134B	1.016375
HS3ST3A1	-1.06083333333333
CPXM2	5.43625
SIRPB2	1.029
CHORDC1	-0.552
TRIB3	-0.113
SLC2A5	1.338
C2orf49	-0.8415
DDX5	-0.373
OR5L1	1.196
ANAPC4	-1.14066666666667
ZSWIM1	1.03275
LOC93622	-0.10575
KCNK3	-0.2826
RP11-35N6.1	-0.27875
ZFP161	-0.181666666666667
AQP9	4.3745
SLC15A2	3.44833333333333
MREG	-0.683666666666667
OR9I1	0.6845
PDLIM2	0.090375
ADAM7	-0.023
GSTCD	0.162
WDR21A	0.617375
SLC12A8	1.849
TMEM174	0.36125
IGSF3	1.32075
LRRN1	2.54925
LOC402117	0.2395
SRPK1	-0.8575
LY6K	-1.40725
NFIA	2.0445
PTCD3	-0.8665
LEP	2.47866666666667
PCDH21	-0.772166666666667
MAPKAPK2	0.5895
NMNAT1	-0.316
LHFPL2	0.68575
C9orf43	0.764
DIP2A	-0.3935
ACTR8	-0.06275
CCDC34	-1.48575
PTPN22	-0.096875
ITGA3	0.482875
FAM129C	0.78225
RABGGTA	-0.0596666666666667
UNC45B	0.4425
KIAA1033	-0.207375
ZNF510	0.0826666666666667
CYP2D6	-0.286166666666667
SLC26A10	-2.5055
STX8	0.288
LUZP1	0.232
WDR89	0.401666666666667
EIF4G3	0.0836
C5AR1	1.313375
ZNF623	0.235
A2M	0.583
TGM7	0.226
GRPEL1	-0.112666666666667
LMNB2	-0.8605
ROCK2	-0.337666666666667
SNX16	0.61825
CCDC66	-1.07775
ANXA3	-0.22125
KIAA1609	0.618375
EED	-1.20925
RNF32	0.778333333333333
HES1	1.0458
CLC	0.00233333333333345
ISL1	-0.3815
KIAA0528	-0.56525
MANEA	0.115375
C1orf61	-1.4195
hCG_2001000	1.9475
RAPGEF6	-0.1683
KIAA0020	-1.77783333333333
NEIL1	-0.5205
C16orf45	-1.8015
RBM10	-0.330666666666667
C10orf125	0.154875
MRS2L	-0.217
DNAH17	-1.24025
C19orf10	-0.78075
C1orf160	1.12025
SLFN12	1.457
EXOC3	-0.372166666666667
HIST3H3	1.14625
NCOR2	-0.468
TNFRSF9	2.23575
MFSD8	0.47425
ALX1	-3.144
NOL1	-1.1725
PODN	3.01925
TIAL1	-0.926
HIST1H1E	0.70825
NPY6R	0.074
TM4SF4	0.22625
CORO2A	0.861
ETNK2	1.629
APOE	2.1471
ANGPT4	1.416
HDGF2	-0.26675
G30	1.363
ST8SIA4	0.462625
F2RL1	-0.878625
FAM19A4	-3.93225
CCAR1	-0.45725
B3GNT7	0.652
OPHN1	-0.3519
DSCR6	0.164
C21orf13	0.946833333333334
GAS2L1	0.375833333333333
RFX3	-0.403
COPS4	-0.86425
BCHE	-4.81333333333333
BCL2	0.302875
HBZ	-2.43183333333333
ARL13B	-0.34175
MAPBPIP	1.432
MYO15B	0.367375
SPZ1	0.16
KIAA1324	4.17655555555556
PLCL2	-6.93889390390723e-18
C4orf29	-1.7405
WDFY2	-0.80825
ZNF284	0.572
NAALADL1	0.375
DUSP5	0.8165
PXDN	0.38925
SLMO1	-1.62825
TNXB	1.1934
BIRC7	0.43275
A4GALT	0.368
TIMM22	-0.055
FAM110C	2.3755
TOMM34	-0.936375
ABHD9	0.029
ADAM32	0.052
CRHBP	0.21925
AQP2	0.84425
LOC130355	1.1085
ZNF187	-0.263166666666667
ZNF816A	0.9355
F7	0.349
CNOT1	-0.6249
SLC13A4	-1.34775
ZBTB11	-0.56225
B3GALT5	0.312
EXOC2	0.3455
IRS1	-2.1031
TMEM1	-0.194333333333333
MRPL34	-0.161
SAMM50	-0.62025
CDC42EP3	-0.430375
HSF2	-0.2911
MFN2	-0.49075
TSPAN7	-0.765166666666667
NUCB1	0.97975
RHOH	-0.2765
ARL16	-0.3815
TACR1	0.420333333333333
SFRS5	-1.05133333333333
SNX25	0.352875
RHBDF1	0.536666666666667
PCDH18	0.939833333333333
HMG1L1	0.14125
MYO5C	-0.21975
MAPK10	0.9225
LDHAL6A	0.141
NUDT12	0.284333333333333
NCAM1	-0.733875
GLIS2	1.6675
GGTL4	2.22825
DAPP1	0.3505
ATF7	0.957625
KIAA0748	0.6545
NFIL3	-0.7125
TM6SF1	0.1449
SEZ6	0.100125
NANOS3	0.336666666666667
DNAJA3	-0.751833333333333
CLDN6	-2.2545
CIITA	3.3844
EPHA4	-0.570583333333333
FANCC	0.55825
CMTM3	0.451875
PSG3	-1.070875
MRPL15	-0.19575
C21orf59	-1.45325
PLCXD2	0.15725
C2orf34	0.5605
UBE2L6	1.3215
MED14	-0.217666666666667
HP1BP3	-0.1596
C6orf208	-0.0985
TPBG	-0.9635
OSR2	-1.448
XPC	-0.686166666666667
KLHL7	-1.9665
CCR3	-0.366666666666667
AGTPBP1	-0.772333333333333
PCSK6	-2.51146666666667
STAT5A	-1.1236
FAM18B	-1.17225
LONRF2	-3.2275
PTPN2	0.14175
SF3A3	-0.894
EFCBP2	-0.36575
HCFC1	-1.28233333333333
AHNAK	-0.18095
ACTR5	0.359
KIF14	-2.26942857142857
TENC1	0.476
HEATR5B	1.1115
YIPF2	0.226166666666667
MYEOV2	0.823666666666667
DUSP18	0.932
KIAA1012	-1.01175
AHR	-0.481333333333333
C17orf53	-1.3635
PTPRH	-3.398
ATP6V1C1	-0.5232
TAS2R3	-0.578
LOC440356	-1.54675
COQ10B	0.57925
PSMF1	0.6245
SORBS2	1.94675
NFE2L2	-0.79775
TMCO7	-0.34125
SH3PXD2A	-0.6657
SH2D2A	0.50775
SPINK5	-2.5375
MRPS24	-0.5025
OPA3	1.260625
TRAF7	-0.490666666666667
C4orf35	0.381
MT1G	-0.822375
MGC39545	0.669
HS1BP3	0.4534
OR2B2	0.919
CHRM4	0.363
SFRP2	2.46383333333333
RIC3	-2.05125
ART1	-0.179
C6orf1	0.661625
DUS4L	-1.62025
C10orf104	-0.13675
TNFAIP6	1.7275
RTEL1	-1.00675
CCT4	-0.6282
ZNF709	-0.1705
CHMP6	1.11633333333333
UPP2	-0.15625
CYP19A1	-2.0865
CD151	0.000666666666666672
NDUFA13	0.786333333333333
ARFRP1	-0.5175
FAM26B	1.19725
CRYBA1	-1.1785
MRPL41	1.59383333333333
NPFFR2	-1.83475
HRH2	0.5725
SCAMP3	0.204666666666667
MTMR6	0.1917
MTG1	-1.13616666666667
UBTD1	1.30275
CRABP1	-2.4705
FLJ33790	0.8369
KIAA1908	0.583166666666667
GPR158	-1.5985
PACSIN3	0.592166666666667
OMD	3.11716666666667
CATSPER1	-0.706833333333333
HOXB8	0.189625
FBXO46	1.1155
OAS1	1.15166666666667
SVIL	-0.24725
PHB2	-0.8585
ADCY3	-1.1645
NDRG2	0.0245
ERMAP	-0.3688
APBA2	-1.26033333333333
IGSF9	2.512
WNT6	0.285214285714286
MYCBPAP	0.8155
ATP2B2	-0.8019
CPVL	-0.2168
TRAM2	-0.49275
NOP5/NOP58	0.25875
ZNRF4	0.37675
TLK1	0.600375
MTMR12	0.5185
ZNF384	-0.671333333333333
FAM9B	-1.90225
RPN1	0.7034
PMVK	1.663
EIF3D	-0.2508
SIX2	1.644
HPS1	0.7345
RNF7	0.1165
PSKH2	0.504
KCTD13	-0.0806666666666667
CSMD3	-1.4318
FBF1	-0.1555
IL8	-4.0615
SERPINB13	0.371083333333333
FBXL20	0.522
BLR1	0.28825
SH2B1	-0.513166666666667
RFNG	0.18875
RAB20	0.9535
RBM7	-1.277
POLR1A	-0.7285
TMPRSS4	-0.61975
TAF9	-1.12975
TERF2	-0.121333333333333
TNFRSF1A	0.407166666666667
ACADVL	-0.9685
GTF2H5	1.3475
EDG8	-0.5375
C9orf140	0.120875
UST6	0.15825
ZBTB8OS	0.3435
ZNF710	0.7
GPR174	-0.198
ATP6V0A2	-0.2485
KIAA0319L	0.32275
XKRX	-0.425
DOPEY2	1.8042
SDHD	-0.88875
SUMF1	0.99525
OSM	2.6095
OPN3	0.0875
DAGLB	0.260166666666667
PPFIBP1	-0.129
TRIM63	-2.69825
C10orf53	1.1305
LYPD3	1.49933333333333
BCL7A	0.109
AGER	-1.41033333333333
TCF19	-0.788125
SAT2	0.37875
PFTK1	1.3955
GABRE	-3.054875
C15orf38	0.4949
FIS1	0.4395
KCNV2	0.08175
CLPS	1.6835
PPCDC	-0.79425
FOXN2	0.587666666666667
NT5E	-2.9238
CD83	1.5795
IL18	1.580875
VPS16	0.754
IGFBP2	-0.223
NOTCH2	-0.06875
SIGLEC1	3.3035
CD93	5.759
SULF2	-1.3385
CEP164	-0.624125
P53AIP1	-0.0508333333333333
TOR2A	0.209166666666667
ZNF136	0.74625
MGP	2.2957
CCDC144A	-0.6914
TRPC1	-1.65116666666667
SMS	-0.630166666666667
MAPK7	-0.550166666666667
RRAGC	0.8445
PARD6A	0.0698333333333333
NUB1	0.481833333333333
SYNGR4	2.12225
OR11H12	0.2365
WIF1	0.47075
GCH1	0.72825
OR11H4	-0.008
SLC44A5	2.1025
GPRIN2	0.630666666666667
LOC401431	1.6
CPA4	-0.6114
MELK	-1.70955555555556
IL15RA	0.68175
CUL3	-0.59175
HMBOX1	0.10425
PODXL	-2.07075
CCT6B	0.878166666666667
COMTD1	-0.13925
MUC20	-0.455166666666667
GPX2	-1.151
ITK	0.47425
FBXL5	0.89975
C13orf27	-0.62825
DEFA5	1.258
TRHDE	-0.2545
MTP18	-0.222
UQCRQ	1.061
ITGB2	2.79641666666667
CSRP2BP	0.26975
TAS2R44	0.769
PHPT1	0.669875
FAM44C	-0.6255
ERH	0.85925
MPHOSPH1	-2.14116666666667
MORC1	-0.115
PARVB	-1.13075
LAMA1	-2.00125
PGBD3	-0.56425
GIMAP6	4.9465
AREG	-5.118
LIPT1	-0.20875
MGC99813	-0.1165
C1orf201	-0.781166666666667
GRIN2A	-1.1171
MAN2C1	-1.062875
NSUN5	-0.7315
SF3B5	0.836
MYC	-2.8916875
NRXN1	-0.31075
ZNF18	0.047
SPDYA	1.13225
SLC37A1	1.9675
DECR2	0.96175
ANKRD38	0.3835
SPTLC3	-0.0965833333333334
SUPT16H	-0.771
DTWD2	1.10325
ULBP1	-1.5385
ZADH1	-0.118333333333333
OIP5	-1.5375
IL10RB	0.0313333333333333
OTUB2	0.774625
VWA3A	-0.267333333333333
SPIC	0.891
OR6C4	0.1965
PSCD4	1.39716666666667
DPY19L2P2	-0.803
TRAPPC6A	1.27683333333333
C21orf2	-0.4345
CEMP1	0.078
LIN7B	0.6245
E2F7	-1.71383333333333
VCP	-0.00787500000000001
LAMA3	-0.660583333333333
BGN	2.22725
GPR160	1.98383333333333
COCH	-4.259
GPR81	2.68083333333333
APOBEC3F	-0.90025
tcag7.1017	-0.27325
C1orf32	0.4795
SCGB1D2	0.1995
FLJ43987	0.477
C6orf170	0.73675
KLK9	0.846
GPD1L	1.874125
VPS37B	0.9255
ATG3	-0.506333333333333
ADAMTS17	0.86
KLHDC2	-1.00433333333333
NDUFV2	0.69125
BLK	-1.1425
MATN4	-0.5915
GPM6A	0.355875
GBP4	4.8995
TMEM162	0.695166666666667
PKP2	-0.1585
HRASLS	2.60411111111111
MMP1	1.402
SFXN3	-0.7488
FSD1	-1.3125
ST6GALNAC3	-1.82533333333333
CA12	0.8004
NCOA6	0.1915
C19orf58	0.3687
PPP4R1	0.0128333333333333
MAN1A2	1.11166666666667
IKBKAP	-1.3615
UPF1	-0.049
KIAA1219	0.2355
WNT16	0.1186
SNW1	-0.633
IL18RAP	3.8765
RPP30	-0.724625
CDC40	0.740285714285714
SETD3	0.024
SLAMF6	1.70575
ELK4	-0.819
TRIM47	0.561333333333333
ACOX3	1.209375
TRIM6	-0.5605
KIAA0372	-0.915833333333333
TP53AP1	2.4415
SMURF2	0.6455
ADAD1	0.1795
EBP	0.0803
KRTAP13-2	-0.598
FLJ36874	-1.524
TOR1A	-0.380833333333333
P2RY4	1.5615
GPBP1	-0.09825
TRPV1	0.094625
ADAMTS12	0.00883333333333334
PES1	-0.2565
ATG4A	1.04416666666667
MAGEA10	-3.8645
WFS1	0.71175
CC2D1B	-0.252166666666667
PABPN1	-0.057375
SLC25A30	-0.00174999999999999
SLCO1C1	0.0448333333333333
SLC22A5	2.25675
KIF23	-2.64133333333333
SYN2	-0.689833333333333
ASPN	7.75033333333333
CENTG2	-0.87975
QSOX2	-2.2763
FLJ10815	-0.363666666666667
STK24	-0.66075
SPEG	-0.6845
STK10	0.525333333333333
DACT2	-2.339
AAAS	-0.62475
SSX3	-1.697
ABCD3	0.534
C4orf12	-0.285125
PARVG	1.8805
FIG4	2.4535
C9orf46	0.95725
TMCO6	-1.277
IGHMBP2	-1.154
DUS2L	-0.8535
FAM3C	-0.666625
TMEM16D	-2.424
DCTN4	0.2185
KCNH3	-0.1815
EIF2AK2	1.36725
AP1S3	-0.00599999999999999
CST4	2.0215
PAM	-0.5196875
NUTF2	-0.12475
CITED2	0.0719000000000001
SLC39A4	1.45075
C2orf52	-1.389
GRM3	-0.10175
C12orf49	0.6155
CCDC49	-0.2728
GRAMD1B	-0.692857142857143
FNDC4	0.02975
SIAH2	-0.657625
GDPD4	0.16975
C21orf87	1.20225
ATP5A1	-0.926
C16orf63	-0.803375
LOC388135	0.0201666666666667
ATP5J2	0.202875
MMP3	1.0815
EMID2	0.072
CRHR1	0.77175
WDR70	-0.57625
C13orf31	2.1385
ZFAND1	-0.61325
CCL18	5.1005
C3orf49	1.263
RINT1	-0.3585
KIAA0408	-2.33516666666667
F13A1	4.9581
SLC10A1	0.0225
OGN	1.59575
GIPC2	0.674333333333333
XPO6	-0.428833333333333
LCE1A	1.3365
FMR1	0.2024
LOC374920	0.0585
DUSP3	-0.083875
ANKMY1	-0.49525
C7orf50	0.15625
BBS9	-0.6312
UNC119B	-0.434875
C9orf72	-0.987125
MGC35440	-0.96125
ENTPD6	0.4025
PPP1R2P9	1.48275
ERCC4	0.42775
FAHD2B	-0.8715
HMHA1	0.6545
HACL1	-1.20275
RAD23A	-0.1595
FAM83B	1.17875
PPP5C	-0.5655
RNASEH2C	0.092375
C9orf153	-0.628
SCAMP4	0.759625
GHITM	-0.174
NDUFB7	1.071625
ADCYAP1	-0.393833333333333
SP110	1.45233333333333
MAP3K7IP2	0.685
DHH	0.3175
AGRN	0.566785714285714
WDR33	0.375666666666667
CEP290	0.267166666666667
PRPS1L1	-2.13116666666667
KLRA1	-1.3525
GPR97	0.0875
CHD7	-2.92108333333333
TLR10	1.974
SLC30A8	-0.8345
HIC1	1.267
IAPP	1.2055
RXFP4	0.314
GP1BB	2.3685
SHQ1	-0.301
NKX2-3	0.669166666666667
API5	-0.29375
FTHP1	0.484
MOV10L1	-0.5164
TRIM6-TRIM34	2.85883333333333
ADHFE1	-0.616
FAM117A	-0.0385
DDI1	0.829833333333333
CDON	-0.5295
TRIM73	-3.625
IGKC	5.764
MMP14	-0.671083333333333
DYNC1LI1	0.143125
C11orf66	-0.10225
TRBV3-1	-0.695
FASTKD5	0.0515
BIVM	-0.9735
LHX4	-0.03725
CXCL2	-2.4735
RAB2B	-1.1705
IZUMO1	-0.8
MAP3K15	-2.007125
FAM19A2	0.4385
ZC3H8	-0.787666666666667
ZMAT1	1.26175
SPINK5L3	-3.31725
SLC10A6	0.7955
APPL2	-0.49975
CARD10	-0.996666666666667
LOC402176	-0.74
EEF1D	1.1977
RAB6A	0.6333
C12orf5	-0.689125
PAPOLG	0.25875
MSRB2	1.83775
BCR	0.397888888888889
PUS3	0.3215
TIAM2	-0.055
ZNF317	-0.259666666666667
CHD2	-0.627214285714286
FZD5	-2.30622727272727
NUDT8	4.1735
ZNF763	-0.8925
PRC1	-1.90222222222222
ABCB9	0.759833333333333
SPATA3	0.57725
TRAK2	0.456125
STAB1	3.157375
LRRTM2	-0.298833333333333
psiTPTE22	2.37325
DBI	1.71
SERPINA11	-2.87675
NAT5	0.11525
C20orf58	-2.273
RPS6KA4	0.372333333333333
FLJ90650	-0.43025
TGFBRAP1	-0.1625
CHRDL2	0.215125
FAHD2A	-0.607
CNTN1	0.1775
BBS4	-0.7563
TMEM181	0.24775
MINPP1	-1.89575
MPHOSPH6	1.4635
HOXC10	1.1995
ITPKB	0.395375
CLPTM1L	-0.0175
MEOX2	-0.561833333333333
ATP6V0C	1.277875
PRPF8	-0.393666666666667
TMC5	3.939
FKBP3	-0.274
