Hybridization REF	TCGA-B6-A0IK-01A-12R-A056-07
SPIC	0.7645
OR6C4	0.387
PSCD4	0.677666666666667
DPY19L2P2	-0.542
TRAPPC6A	0.927833333333333
C21orf2	-0.037
CEMP1	-0.293
LIN7B	1.0885
E2F7	-1.65516666666667
VCP	0.0876875
LAMA3	1.35308333333333
BGN	2.052
GPR160	2.53266666666667
COCH	-3.1045
GPR81	1.295
APOBEC3F	-2.31225
tcag7.1017	-0.6055
C1orf32	0.3355
SCGB1D2	5.27575
FLJ43987	0.4755
C6orf170	-0.16125
KLK9	0.7645
GPD1L	0.173875
VPS37B	1.71875
ATG3	0.000333333333333332
ADAMTS17	-0.5595
KLHDC2	-0.820333333333333
NDUFV2	-0.82975
BLK	-1.90225
MATN4	-0.7665
GPM6A	-0.431285714285714
GBP4	3.30533333333333
TMEM162	0.3118
PKP2	0.488
HRASLS	1.38344444444444
MMP1	0.824
SFXN3	0.4932
FSD1	-1.81
ST6GALNAC3	-2.248
CA12	-2.1779
NCOA6	-0.28875
C19orf58	0.3037
PPP4R1	-0.356833333333333
MAN1A2	0.304
IKBKAP	-0.65675
UPF1	0.363166666666667
KIAA1219	0.20275
WNT16	0.473
SNW1	-0.269375
IL18RAP	2.38875
RPP30	-0.896125
CDC40	0.0225
SETD3	0.181
SLAMF6	0.38725
ELK4	-0.8865
TRIM47	0.00333333333333333
ACOX3	1.00725
TRIM6	0.039
KIAA0372	-1.01066666666667
TP53AP1	0.1425
SMURF2	-0.1995
ADAD1	0.90275
EBP	-0.1378
KRTAP13-2	-0.316
FLJ36874	-1.08066666666667
TOR1A	0.6625
P2RY4	1.55
GPBP1	-0.04075
TRPV1	-1.096
ADAMTS12	0.0728333333333334
PES1	0.7473
ATG4A	1.65383333333333
MAGEA10	-4.2285
WFS1	0.849
CC2D1B	-0.185166666666667
PABPN1	0.251375
SLC25A30	0.2275
SLCO1C1	0.342166666666667
SLC22A5	0.7895
KIF23	-1.48966666666667
SYN2	-0.6165
ASPN	7.07933333333333
CENTG2	0.32625
QSOX2	-0.9518
FLJ10815	0.157333333333333
STK24	-0.107125
SPEG	0.1101
STK10	0.486666666666667
DACT2	-0.82
AAAS	-0.79775
SSX3	-1.7025
ABCD3	-0.4192
C4orf12	-0.694875
PARVG	0.302
FIG4	0.377
C9orf46	-0.10325
TMCO6	-1.249
IGHMBP2	-1.2895
DUS2L	-0.213666666666667
FAM3C	-0.7221875
TMEM16D	-1.653125
DCTN4	0.5685
KCNH3	0.09525
EIF2AK2	0.32225
AP1S3	1.21275
CST4	1.239
PAM	0.0118125000000001
NUTF2	0.887
CITED2	0.3767
SLC39A4	-1.48225
C2orf52	-0.9585
GRM3	0.0875
C12orf49	0.988125
CCDC49	-0.8175
GRAMD1B	-1.340875
FNDC4	0.45825
SIAH2	0.285375
GDPD4	-0.94425
C21orf87	0.042125
ATP5A1	-0.520166666666667
C16orf63	-0.403625
LOC388135	-1.39566666666667
ATP5J2	-0.119125
MMP3	-0.1605
EMID2	-0.13425
CRHR1	0.507
WDR70	-0.38
C13orf31	1.6575
ZFAND1	0.026
CCL18	4.63066666666667
C3orf49	0.4925
RINT1	-0.097
KIAA0408	-2.3275
F13A1	4.2102
SLC10A1	0.0608333333333333
OGN	-0.24725
GIPC2	-1.66016666666667
XPO6	-0.280166666666667
LCE1A	1.5675
FMR1	0.6162
LOC374920	-0.3575
DUSP3	0.543125
ANKMY1	0.80025
C7orf50	0.59675
BBS9	-1.0293
UNC119B	0.12475
C9orf72	-1.29775
MGC35440	-0.77975
ENTPD6	-0.32125
PPP1R2P9	-0.32425
ERCC4	-0.1515
FAHD2B	-0.5905
HMHA1	-0.4195
HACL1	-0.33725
RAD23A	-0.121166666666667
FAM83B	-0.059
PPP5C	-0.529333333333333
RNASEH2C	-1.01425
C9orf153	-0.162
SCAMP4	0.926125
GHITM	0.5356
NDUFB7	0.8635
ADCYAP1	-0.0983333333333333
SP110	1.346
MAP3K7IP2	0.1475
DHH	0.173
AGRN	2.02992857142857
WDR33	0.794333333333333
CEP290	-0.887
PRPS1L1	-0.377166666666667
KLRA1	0.451
GPR97	-0.7735
CHD7	-1.40858333333333
TLR10	1.6355
SLC30A8	2.965
HIC1	1.04233333333333
IAPP	0.824
RXFP4	0.4145
GP1BB	1.6725
SHQ1	-0.35
NKX2-3	0.6875
API5	-0.593
FTHP1	0.02
MOV10L1	0.862
TRIM6-TRIM34	0.794666666666667
ADHFE1	-0.88075
FAM117A	-1.0215
DDI1	0.7385
CDON	-1.31366666666667
TRIM73	0.439
IGKC	3.9135
MMP14	-0.668833333333333
DYNC1LI1	-0.215375
C11orf66	0.13875
TRBV3-1	-0.92475
FASTKD5	-0.0905
BIVM	-2.73125
LHX4	0.44975
CXCL2	-0.9907
RAB2B	-0.221166666666667
IZUMO1	-1.57466666666667
MAP3K15	-1.667
FAM19A2	-0.0981666666666667
ZC3H8	-0.746166666666667
ZMAT1	0.7485
SPINK5L3	-2.4915
SLC10A6	0.7115
APPL2	-0.188
CARD10	-0.3775
LOC402176	-0.325125
EEF1D	-0.1227
RAB6A	-0.2907
C12orf5	0.193125
PAPOLG	-0.3235
MSRB2	0.07925
BCR	1.50088888888889
PUS3	-0.71625
TIAM2	-0.60925
ZNF317	0.783
CHD2	0.125285714285714
FZD5	-0.617818181818182
NUDT8	-0.47175
ZNF763	-0.9935
PRC1	-0.732222222222222
ABCB9	1.40666666666667
SPATA3	-0.303
TRAK2	1.1475
STAB1	3.17975
LRRTM2	-0.198833333333333
psiTPTE22	1.6285
DBI	0.38925
SERPINA11	-3.587
NAT5	-0.997
C20orf58	-1.6855
RPS6KA4	0.305333333333333
FLJ90650	-0.53575
TGFBRAP1	0.16425
CHRDL2	0.600125
FAHD2A	-0.725333333333333
CNTN1	-0.07475
BBS4	-0.5743
TMEM181	0.13875
MINPP1	-1.50275
MPHOSPH6	2.02916666666667
HOXC10	2.1308
ITPKB	-0.680375
CLPTM1L	0.36325
MEOX2	-0.333
ATP6V0C	0.626625
PRPF8	-0.606833333333333
TMC5	5.37075
FKBP3	0.38725
PLEKHB2	0.054625
OR4D6	0.0475
ZNF544	0.2278
D2HGDH	0.0825
RPL18A	-0.0116
HEL308	-0.734
MPP6	-2.17875
TCERG1	-1.508
KRT16	4.45566666666667
KLF17	-1.82325
KLF5	0.581875
CDR1	1.5735
VCX3A	-4.123
FBLN2	1.546625
C14orf104	-0.4595
HBE1	-4.9401
OR4S2	3.255
C1orf108	0.0748333333333333
ROBO4	3.96283333333333
CPEB4	0.2615
C11orf80	-0.2995
BCKDHA	1.06683333333333
MYOC	-0.06675
GIF	-0.842
CKMT1A	2.4805
RPL3	-0.1452
THBS1	2.418625
APOO	0.01525
ARMCX1	-0.96225
HSZFP36	1.0995
SNAPC5	-0.46225
EIF4ENIF1	0.818
ZNF433	-2.3565
TNFRSF21	0.312375
TMPRSS7	0.3835
SPATA18	-0.2084
HPDL	-3.6315
MKL2	1.0632
TBX3	0.218692307692308
C21orf93	0.8675
DAXX	0.17575
ELMO1	-0.332
RGS13	-0.5538
TAF11	-0.28775
UNC13A	-1.990375
LOC653314	-0.9795
ORC3L	-0.84625
IMAA	-2.685
TARBP2	0.26375
CABIN1	0.3704
TRIOBP	0.46675
HIST1H2AC	1.883625
RGS22	-3.14933333333333
NCOA1	0.723833333333333
IL25	0.0255
SNCG	1.306
GPR6	0.308
AMDHD1	-3.4365
CHEK2	-0.800875
C6orf142	0.421
DRD4	0.765
C14orf68	-1.089
GDF11	-1.3605
SEMG2	-2.7275
CD247	-0.87925
CDAN1	-0.537
RBMX2	0.838166666666667
TGS1	-0.429
OIT3	0.02375
SYF2	0.287
MCM4	-1.80475
PKHD1L1	-0.00787500000000002
CEP192	-1.9615
IFT88	-0.37075
RPL9	-0.188642857142857
RAB32	0.52275
DDX43	-2.20325
P2RX2	0.545333333333333
OR5D18	-0.43
UBE1	0.62675
SLC24A1	-0.218625
ARHGAP5	-0.518
CETP	-0.84425
KIAA1731	-1.41116666666667
SLC9A4	0.262
PTPN6	1.101
BAHD1	0.53875
GRIK3	0.7005
CACNB2	-1.3561
PDE10A	-1.25525
DGCR14	0.37925
PCDHB9	0.715833333333333
RHOQ	0.544
MAP3K4	0.19325
KTI12	0.4045
RPL23AP13	-0.66925
GNG11	-0.74425
CLCN3	1.80183333333333
GPAM	-0.90675
VSTM2A	-0.5825
SLAMF7	2.2345
INTS2	-1.33925
PPP2CA	0.3818
LRP12	-0.649466666666667
SEC14L2	0.957888888888889
DKFZP586H2123	2.30275
MC3R	-0.508
CIRH1A	-0.978
HIST1H2AB	0.846333333333333
POLH	-0.463
MGC16703	-2.12266666666667
SNAPC2	0.642
FILIP1L	0.06225
RASGRP4	0.5105
LRRC1	1.265
GAS1	0.11275
PRAC	-0.691
DGKA	-1.25766666666667
NT5C3	-0.26475
PEG3	-3.77866666666667
NADK	0.0315
PRR17	0.73075
LOC374569	2.51025
SGSH	-0.204666666666667
NLRP8	-0.104
GALT	-1.2715
MCF2	-1.5135
ZNF263	0.9595
TACSTD1	2.489
TYR	-6.6356
ATP6AP2	-0.038
RNUXA	-0.32575
ABHD10	0.101777777777778
GDPD2	-1.9815
SLC35C1	0.15925
UBE2A	1.524875
HERC5	-2.0465
FAM112B	-4.89366666666667
FBXL16	1.757
DKFZP434A0131	-0.544
ELA3A	-2.618
RBM41	-0.562
HAO2	-0.621
RNH1	-0.34275
SHANK2	1.169
OSBP2	-0.66625
DAK	-0.386333333333333
C3orf58	0.412083333333333
TCL1B	-0.648
KBTBD2	-0.361375
SUGT1L1	-0.90175
UBE2E2	0.905333333333333
MYL9	3.332375
CDC23	-0.8135
PBXIP1	1.6968
CXorf40B	1.6205
NBL1	1.391
RTBDN	0.512
RAB11FIP5	0.704625
TTTY13	-0.587
SCOTIN	0.583666666666667
SOHLH1	1.0005
CDKN1A	0.739642857142857
NCK1	-0.16275
ZNF550	-0.79075
SAPS3	-0.437
SPIN3	-0.363
MAGEE2	0.0635
MIS12	-1.666
OR8H2	0.1465
KIAA0774	1.421
UNC5D	-0.8675
CUL7	0.4735
LIPC	-2.6585
DIO1	-2.564
C20orf11	0.9881
CTRL	-1.17275
HS3ST2	0.70775
PAK4	1.92216666666667
CCRL1	3.681
RNF10	0.857375
ZNF567	0.09775
ZNF660	-1.2725
TCEAL3	0.36575
MAGOH	0.780166666666667
CENPB	0.214833333333333
C19orf7	0.956625
LOC388965	0.5995
ZCCHC13	0.716
JMJD1A	-1.0421
HIST1H4H	1.7585
TBRG1	-0.998
GPC3	-4.877625
TAF1C	-0.527875
EBNA1BP2	-0.375166666666667
CIAPIN1	0.288
PDGFRA	-0.512
CSTB	-0.746875
CENPI	-1.35183333333333
GTF2E2	-0.791
RPP21	0.1735
CCNF	-0.205
KCNQ3	0.385
FAM79A	1.4485
SLC22A12	0.654
NOVA1	-0.677666666666667
FZD3	-0.7386
AKAP8	-0.75525
SOCS5	-0.512625
CFDP1	-0.44125
DLG5	-0.13725
PGM5	0.0324166666666667
C1orf144	0.89825
HDAC10	-1.068
RND2	-1.11325
C20orf199	-1.16875
RNMT	-1.39425
SLURP1	1.042875
ASTN1	-0.49975
SH3BGR	0.5305
MYCL1	0.021
ZHX1	-1.59833333333333
CENPK	-2.51675
FOSB	1.1527
LOC643406	-0.17075
C2orf59	-0.755375
TMEM135	-0.916625
SLC27A2	-1.02525
KRT33A	2.744
OVOL1	1.45275
PAMCI	-2.91783333333333
S100A7	7.2695
ZNF789	-0.9925
HARS2	0.6725
RPL23A	-1.61833333333333
TCF23	0.26575
UPF3B	-0.08275
C17orf78	-0.2585
HLA-DOB	0.970666666666667
C14orf142	1.0515
TEKT5	0.786333333333333
DMWD	0.5735
POLD1	-1.73816666666667
GSCL	-0.1795
CALD1	-0.112
SCRT1	0.720833333333333
AIG1	0.703
UNC84B	1.2405
ZNF404	0.1165
TMED6	-3.348
KIAA1462	-0.1225
LRRC27	0.489666666666667
PYGO1	-0.6835
PIGU	-0.208
ALAS2	-3.52033333333333
WRNIP1	0.14975
CNNM3	0.475
ZNF2	0.5045
ST3GAL5	0.6555
MRPL23	-1.09
TSSK6	-0.9125
PSMA6	-0.11975
C16orf70	0.2985
KIAA1602	0.119
ALMS1	-0.2675
DCN	1.031625
TMEM132D	-0.54575
SUCLG2	-0.311
ABHD14A	-0.34825
DEXI	0.174666666666667
AMPD2	-2.26133333333333
IFNAR2	0.365833333333333
CYB5A	2.4611
TLOC1	1.00925
NXF5	3.53683333333333
NRBF2	-0.10775
KCTD3	-0.75775
ITGAE	-0.426833333333333
SLC30A3	0.712666666666667
ZRF1	-0.915
IFRD2	-0.961625
XAB1	-0.19925
PYCR2	-0.918
SERPINB3	-0.061
TMLHE	0.8201
GEFT	-0.87675
ABCA5	-1.04275
EMR4	-0.077
TSFM	-0.64625
HIST3H2BB	0.405
ARHGEF19	-0.0045
TSPAN17	0.735166666666667
ABCC8	-1.19
MAP1S	0.423333333333333
C22orf36	0.4225
BNC2	-0.6065
HIST1H4A	-0.692
NDUFS3	-0.277166666666667
WDR3	-0.679833333333333
XKR4	-0.119
TTC33	-0.054
STMN2	2.94175
CPN2	-1.0605
HSPC105	1.8535
PCOLCE2	-4.19225
C3orf55	-0.11
KLHDC9	-2.538
TBC1D23	0.96625
ATXN2L	-1.17683333333333
MAP2K3	0.28575
SCAP	0.55625
ZNF486	-0.369
C20orf96	-0.49475
NARS	-0.64625
ADAMTSL1	-1.15992857142857
PRCC	0.405166666666667
CCDC126	0.742
ZNF675	-0.761
CALCOCO1	0.03525
ANKRD43	1.321
CWF19L2	-0.579333333333333
ZBTB32	1.50116666666667
BRAF	-0.04275
ODF4	0.3305
MGC14376	1.03916666666667
HORMAD1	-2.267
AAK1	0.269
PEBP1	-1.89875
TNFSF5IP1	-1.00383333333333
DKFZp564N2472	0.4395
RMND1	-0.811625
IGKV1-5	5.044
COL1A2	2.308
SERPINA5	-3.653125
AANAT	0.536
C19orf21	2.23483333333333
GEMIN5	-0.46275
UBR4	-0.0475
LTBP3	0.719833333333333
AMHR2	-2.63883333333333
PROCR	-1.51475
MYBBP1A	-0.77475
C20orf39	0.204833333333333
ZNF697	-0.5225
PASK	-0.0545
ZNF776	0.606333333333333
RFXDC2	-0.330625
KIAA0467	-0.55525
C10orf96	-3.0255
ZNF503	-0.51175
GULP1	0.253666666666667
KCNE4	-1.07883333333333
DKFZp434K191	-0.73275
LOC196913	-0.0865
BHLHB4	1.658
CH25H	0.03875
LOC81691	-1.92966666666667
ALPL	0.202357142857143
COL12A1	1.662625
FOLR3	-2.36733333333333
GPR123	-0.257857142857143
TRIM62	1.0775
ABLIM1	-0.136666666666667
MAST3	-0.234
RHBDD1	0.0758333333333333
LOC338809	0.5235
RYBP	-0.16475
TTC26	-1.34775
ZNF22	-1.79766666666667
ISCA2	-0.22975
RDM1	-2.67475
PIGM	0.45425
GNB3	-1.573
ACTR2	0.537
HMGB1	0.4539
EDG1	2.68183333333333
SOAT2	-2.8215
OR10AD1	2.8375
RAP1GDS1	-0.37225
LCE1F	0.6025
ESM1	-0.647
RCN3	2.00875
CREBL1	-0.52875
DBNL	-0.252833333333333
PTGER3	0.070125
USP30	-0.398833333333333
BCL2L12	-0.0985
KIF26B	2.00775
ZNF416	1.248
ZNF225	0.1435
C17orf70	-0.54375
ZNF554	0.10025
RAE1	-0.629833333333333
TNIK	2.4775
ACTN3	1.835
MGC45922	1.7055
CCNA1	-0.902666666666667
RYK	0.944333333333333
IL26	0.561
LRP3	1.25316666666667
QARS	-0.09075
SOX7	0.889785714285714
BID	1.0165
OR2S2	0.1195
CXCL14	1.62875
C11orf47	-1.361
MGC29891	-0.496666666666667
HSPB8	1.222
PRDM14	-5.1375
NUFIP2	-0.57025
MNAT1	-0.65175
ZDHHC2	-1.30025
MBNL2	1.722625
ADD3	-2.18125
CSNK2A1P	-0.80975
KLK6	3.1565
TMEM111	0.7476
KIAA1279	-0.5005
NUBP2	0.657333333333333
RAB42	-1.47675
ID3	-0.0342
TM9SF1	0.54925
MDP-1	-0.87925
POU4F2	0.48975
IQCK	0.55375
C16orf14	0.58925
CAPN3	-1.881875
FAM43B	-0.278375
RECQL	-0.598
AP1G1	0.376928571428571
CTNNBL1	-0.460833333333333
ECHDC1	-2.61283333333333
SMARCC1	0.289
FOXQ1	-1.101
GNAI3	0.8005
POLG2	-0.44425
CD4	1.237
ITLN1	-0.74575
EBI2	2.5515
IRF1	0.99875
PTPRE	0.7245
PTK2B	-0.64375
NXNL2	-1.993
SOX4	0.492111111111111
TSPAN3	0.355166666666667
SH2D1A	-2.70966666666667
C8orf58	-0.766833333333333
USP20	-0.11825
DUSP22	-0.132916666666667
CALB1	-2.56933333333333
L3MBTL2	1.57825
MCRS1	0.18275
TMEM118	0.378333333333333
C18orf8	-0.00816666666666667
FLJ10241	-0.128625
GJA12	1.20125
PKD1	0.367833333333333
ZFP3	-0.021
JAM3	-1.5135
LAPTM4A	1.4669
DIRC2	-0.88025
KIAA2022	2.469
MYOM1	0.649
TRPM8	-1.84683333333333
MOP-1	2.09675
PHKG2	-0.241375
ZNF650	-0.03
KIAA1522	1.827125
PSG8	-1.58683333333333
DDX19B	0.1925
MOBKL1B	-0.07925
DIAPH2	-0.795416666666667
PTPN12	-0.339
CLN8	-0.1198
CRYZL1	-0.614333333333333
CRY2	-0.119166666666667
FCGR2B	3.29666666666667
PNPLA4	2.003625
ZNF454	-1.0405
DKFZp434B1231	-0.1575
CLDN11	0.4127
RFWD2	0.299666666666667
CIB2	-0.5785
MXRA8	3.18925
HRK	1.763125
MAML2	-0.9665
C4orf31	-1.69375
C6orf192	-0.6685
COG6	0.959125
FAM5B	-0.55575
NFATC1	0.4238
SEPT10	-1.28925
SCYL1	-0.7441
RPP40	-0.62625
SCOC	-0.5913
KIAA1450	-0.28575
CTDSPL2	-0.08325
TBX5	1.44633333333333
NAPG	-0.39525
RHD	-4.6215
C14orf45	1.3565
ZBTB22	0.9075
PLCG1	-0.77
ANKRD10	-0.8255
AQP7P2	0.6035
TAGLN2	0.9415
HTR2C	-3.15616666666667
SLC16A7	-1.29466666666667
C17orf83	0.78875
TSGA14	-0.424416666666667
MDH1	-0.235
PPP3R2	0.143833333333333
DCBLD2	-1.12092857142857
RBM33	-0.86175
DPH3	-1.6195
SYT10	-1.60183333333333
FMO4	1.768125
THYN1	-1.37675
DRD5	-1.756
OTOR	-0.0725
PGRMC2	-0.8221
KATNAL1	-1.297
PAQR6	-2.22075
UBE2I	-0.05175
C14orf28	-0.04375
C8orf70	-1.2455
FLYWCH1	-0.425375
ANGPTL3	-1.57325
GLRX2	0.013
ATP11A	-0.393357142857143
ARL5B	-0.654875
MUC16	-2.38675
SLC25A5	0.692285714285714
ACRC	-0.82525
MYO1C	0.0867500000000001
FAM89B	1.19866666666667
FAS	-0.874625
KIFAP3	0.011
GLRA2	0.2665
BTN3A2	-0.2039
CNKSR3	0.8915
CSTF3	-1.0255
ARPM1	-0.83025
KIAA1530	-0.503
C9orf150	0.6825
PRKCI	0.9575
tcag7.1015	-0.54925
SOD3	-0.5805
ZNF574	0.938
CYP21A2	1.533
RPL12	-0.2325
COMMD2	-0.59775
WIZ	0.45275
LOC344405	-1.62525
ALDH4A1	0.665294117647059
CRYAB	2.18525
COPA	0.626
PCDHGA7	1.39883333333333
KIF11	-1.15583333333333
RASD2	0.179375
SLC26A3	0.4815
ZNF175	-2.378
JAKMIP2	-2.52625
C8orf4	-0.297333333333333
PTHLH	4.53525
SLC40A1	3.87325
OR7D4	0.669166666666667
PCDHB17	-0.004
CD36	2.18614285714286
C6orf203	0.4782
PRKG2	0.5995
LOC400566	-0.228
ANAPC13	1.13825
SLCO3A1	0.55125
ZNF692	-2.004
FANCL	-1.3055
SH3GLB1	0.505
C12orf61	0.348
KBTBD6	-0.2975
SUPT5H	0.718875
XRCC6	0.6554
HUS1B	-0.6708
FAM133B	-0.494857142857143
LOC728276	0.7475
KCTD18	0.3545
SOS2	0.596333333333333
CCDC99	-1.58775
C1QTNF5	3.6535
NNAT	-0.169833333333333
USP16	0.04725
LARS	-0.702375
ZBTB2	0.05425
ABO	0.051
TRAF3	-0.39525
GALNT5	-3.418
NAP5	1.12825
ALG14	1.4155
KIAA0515	1.21565384615385
WDR75	-0.532166666666667
TEX261	0.538
LY86	0.23375
LOC389072	-1.139
FLJ13611	0.335
MRGPRX2	0.859
SNRPA	-1.03425
OR2G2	0.5495
GPRASP2	0.54025
C7orf42	0.2441
C9orf163	-0.32
CYP11B2	0.0045
FCRL3	1.6175
PRDX1	0.08525
FGB	-6.38883333333333
COX17	0.7296
C16orf33	0.27375
PIWIL1	-0.284333333333333
FOLR1	-2.23916666666667
KIAA0082	-0.68025
FREQ	1.067
TMCC2	-1.2915
TCF12	-0.317083333333333
ZNF721	0.82275
FAM130A2	-0.08225
POU4F1	-0.3345
SNRPF	-0.36625
SGIP1	0.687666666666667
ZNF641	0.552166666666667
EMG1	-1.137
PRRG4	0.247
HIRA	-3.36625
MYNN	0.822333333333333
AEBP2	-0.609083333333333
TBXA2R	0.252333333333333
ISL2	0.169833333333333
PCDHB11	1.0135
RNF144A	-0.774375
MARCH5	0.129875
DULLARD	-0.5675
DCLRE1B	0.494833333333333
ITGA8	-0.59625
TP73	0.23275
PRKCD	0.29675
NDUFB4	1.09975
ATP13A4	3.7215
ANTXR2	-0.865166666666667
COL4A3	-0.853833333333333
MYO10	-0.7721
SLC6A18	0.833
PEX1	-0.44475
TMEM74	-1.27966666666667
RBM19	0.4555
TAPBP	0.3625
RUNX1	0.41375
MID1	0.0499166666666667
GPR64	-0.689166666666667
RASEF	5.11375
GABRG1	-0.213625
MYO16	-1.2305
DBF4	-1.156
TSHZ2	2.8065
RIPK2	-0.07675
PPTC7	0.1175
KIF4B	-0.0815
LRRC31	5.8335
ZNF540	0.7685
EFNB3	-0.1285
LOH12CR1	0.538375
STON2	-0.151
GLP1R	-0.292
CSTF2T	-0.056625
IREB2	-0.54825
GRSF1	-1.11675
PDCD7	-0.989833333333333
LRRC43	0.7045
CNR1	1.08583333333333
IL1F7	-0.253
C12orf64	-0.5555
FAM69B	-1.48075
NR2E1	-2.88133333333333
MS4A6A	2.4327
FTL	-1.2
C7orf36	-0.473
PCLO	1.5356
DYRK2	1.12491666666667
ARIH2	-0.54475
SAMD7	0.9485
SCNN1D	-1.10525
SLC32A1	-0.620125
C22orf25	0.581
MRPS18A	0.00859999999999999
GPR112	0.9195
EARS2	-0.742
ERN2	3.2725
ATPBD3	0.1725
PRH2	-0.062
CDKN2D	-0.315833333333333
PGLYRP2	-0.9525
TRIM40	-0.01775
SEC14L3	-0.506166666666667
SLC22A1	-0.635
BTN2A3	-0.4295
RASA4	-0.96275
CCNL2	-0.881916666666667
MYBPC3	2.012
GJA4	4.31575
CDC42SE1	1.422125
TRPV2	-1.67175
MYPN	-3.5488
SIM1	0.4475
CDADC1	-0.1775
ZFHX4	-0.1285
NIBP	-0.239166666666667
ADAMTS19	-1.67875
ABTB2	-1.077
TSPYL2	0.36525
EIF2S3	-0.3371
SOX30	0.09175
AP2A1	0.302333333333333
DKFZP564O0523	0.2835
LOC285398	0.3955
CDH18	-4.8515
CHL1	1.188125
GATS	-0.7058
TBC1D2B	0.0405
OR1J1	-0.581
GSN	2.45933333333333
DPCR1	0.019875
GARNL4	-0.575
SMARCA5	-1.032
PLEKHG3	1.5935
ZBTB45	0.453
FRMD6	-1.03916666666667
PLS1	1.51166666666667
DGKZ	0.9135
EFNA1	0.8721
WDR85	0.993
ANK2	-0.63975
PAGE4	-2.61533333333333
SENP6	0.765
AKR7A2	0.441
FKBP10	-2.5115
VEGFC	-1.43233333333333
LARP1	-0.017125
SRBD1	0.44675
ITGB6	6.063
SLC1A2	-1.25442857142857
INVS	-0.342333333333333
MPO	-0.22075
MOBKL3	0.4024
CUTL2	-1.996375
KLK2	-0.447333333333333
VIM	-2.11975
REG1B	0.0791666666666667
PCDHGC4	0.0526666666666667
C3orf34	0.135666666666667
SUMO3	0.0618333333333333
CST9L	-1.1375
MLL4	0.06
SPR	1.68383333333333
SAMD9L	-0.38625
ABCE1	-0.8125
SUPT3H	-0.891666666666667
ACTBL1	0.507
ADAMTS4	2.26383333333333
SLIT3	2.74775
RHEBL1	-1.69275
NPM2	-1.6025
MAN1C1	0.9135
KIAA1856	1.13716666666667
HSPA6	1.0395
LOC388152	-1.1665
C10orf140	-0.4275
ZDHHC12	1.0485
LIN7A	0.0801
PHC2	0.313083333333333
SPHK1	0.23025
TRIM26	0.9926875
FAM83E	1.4045
C18orf24	-1.29616666666667
ZNF578	0.317833333333333
ORAI1	0.2205
RUVBL1	0.210833333333333
C7orf20	-0.521666666666667
APAF1	-0.836
SLC36A4	-1.91033333333333
MYH11	5.03033333333333
NEK1	0.1068
MPP2	-0.98
C12orf24	-3.76775
TNK2	0.4755625
ZNF289	-0.2885
MATN3	-2.126
IFNGR2	1.13433333333333
ITPR1	1.44175
EBF3	2.5214
TBC1D20	-0.0194
OR10P1	0.6315
DDAH2	0.48375
SHPRH	-0.61525
STX7	-0.346
LOC554248	-1.208
BCAR1	0.92975
ATXN3	-0.579166666666667
TRIM27	0.604
CDC42EP2	-0.178
CHP	0.885571428571429
SOX17	2.57825
ZNF259	-0.4335
CHCHD1	-0.251125
ZDHHC19	0.72
GBP2	1.857
GARNL3	0.476875
MRC2	-0.04
C1orf52	-0.48375
AOF2	-0.3035
LRPPRC	-0.193
ACVR1C	0.521166666666667
TM4SF18	2.08
TMEM169	-1.52833333333333
PPP1R16A	-0.71725
EBF1	-0.0116666666666667
RRS1	-0.702833333333333
SNX2	-0.5875
OR2T2	0.33
RBX1	-0.25375
ANKRD54	0.583
TSNAX	-0.3855
TMEM83	-1.3565
ZBTB7A	1.39825
ATM	-1.96833333333333
LOC338328	2.46866666666667
TIE1	1.312
HIST1H3G	0.245333333333333
PASD1	-4.06333333333333
TINAG	0.5395
PCDHAC2	0.025
LRRC15	-0.125
WBSCR17	-1.4585
TFF2	0.3735
PARP2	-0.56875
NDFIP2	0.194125
PCDHGB2	0.9485
WDR60	-0.165
MAP7D2	-1.91577777777778
USP45	-1.50675
GSDML	-1.633
TNS1	0.1674
PLCD4	-0.1735
IQCD	1.06416666666667
SMPX	-2.317
CD9	0.919
SRGN	0.424375
CASP7	0.0745
INOC1	0.163833333333333
DKFZp451M2119	-2.344875
VMAC	1.016
USP53	0.1926
CAMK1G	-0.4395
TMEM106A	0.435833333333333
CDC20	-0.8668
ACSL5	-1.30483333333333
CBWD5	-1.4155
C1orf87	-1.56233333333333
KIAA1274	0.547
PRUNE2	-1.866
LYPLA2	1.33
DOK6	-0.9145
GPR149	-0.424
FAM30A	2.6275
TMEM129	0.42275
SLC35B3	1.3625
ACPP	1.4617
LOC200261	-1.602
SLC4A7	-0.6307
CCDC40	0.45675
GART	-0.273
THOP1	-0.7125
SCARB1	-1.20725
CACNA1F	-0.287
TRIAP1	0.413
SYT14L	-0.855
SFRS8	-0.438833333333333
PBOV1	0.37675
GOLSYN	0.1085
GJB7	-1.559
CAMK2N1	1.69133333333333
GREM1	2.90858333333333
FLJ20433	1.096
QPCT	-3.430875
PRKAG2	1.29816666666667
H2AFX	-0.863
C6orf154	1.233
PLOD3	-0.24925
ZBTB39	-0.452166666666667
WASF3	0.105333333333333
DRG1	-0.0955
PRR4	-0.1885
SPCS1	-1.601
KDELR3	1.7555
SRP19	0.785833333333333
GABRA6	0.93875
MFSD1	0.147
MMEL1	1.50075
PDXDC2	0.0576
BUB1	-2.17188888888889
RNF138	-1.59025
MYLPF	-0.4755
AIF1	-0.1675
DYNLRB1	0.6351
HCN3	-1.41733333333333
HIST1H2AI	0.4765
