Hybridization REF	TCGA-AO-A0JL-01A-11R-A056-07
NUB1	0.1445
SYNGR4	1.169
OR11H12	1.677
WIF1	5.80475
GCH1	-0.97475
OR11H4	-1.077
SLC44A5	-3.1615
GPRIN2	3.92
LOC401431	0.289
CPA4	-1.169
MELK	-1.47244444444444
IL15RA	0.43625
CUL3	-0.431
HMBOX1	0.015
PODXL	-0.54175
CCT6B	0.0618333333333333
COMTD1	1.32625
MUC20	1.55783333333333
GPX2	-2.99
ITK	-2.26725
FBXL5	0.196
C13orf27	-1.531
DEFA5	1.025
TRHDE	null
MTP18	-1.06766666666667
UQCRQ	0.0972
ITGB2	0.104916666666667
CSRP2BP	0.31825
TAS2R44	0.7095
PHPT1	0.09125
FAM44C	-0.243
ERH	0.65175
MPHOSPH1	-2.14283333333333
MORC1	-0.8025
PARVB	-0.3765
LAMA1	-1.90866666666667
PGBD3	1.01325
GIMAP6	4.366
AREG	-4.37183333333333
LIPT1	0.02425
MGC99813	-0.10875
C1orf201	0.244666666666667
GRIN2A	-1.1372
MAN2C1	-0.45475
NSUN5	-0.59375
SF3B5	-0.23525
MYC	-0.7856875
NRXN1	0.0829090909090909
ZNF18	1.12275
SPDYA	-0.7435
SLC37A1	0.929
DECR2	1.0405
ANKRD38	1.885625
SPTLC3	-0.0126666666666667
SUPT16H	-0.12375
DTWD2	-1.82625
ULBP1	-1.159
ZADH1	-0.7695
OIP5	-2.28225
IL10RB	-1.39233333333333
OTUB2	-0.786375
VWA3A	0.629666666666667
SPIC	0.1735
OR6C4	0.5835
PSCD4	0.7448
DPY19L2P2	-2.32
TRAPPC6A	-0.321666666666667
C21orf2	-0.130833333333333
CEMP1	1.50275
LIN7B	1.536
E2F7	-2.43383333333333
VCP	0.128125
LAMA3	-0.744
BGN	2.645
GPR160	-3.09416666666667
COCH	0.3955
GPR81	0.4275
APOBEC3F	-2.4585
tcag7.1017	-0.0285
C1orf32	0.589
SCGB1D2	7.46275
FLJ43987	-1.8115
C6orf170	-0.22775
KLK9	0.774
GPD1L	-1.227875
VPS37B	1.201
ATG3	-1.46366666666667
ADAMTS17	null
KLHDC2	-1.5575
NDUFV2	0.17075
BLK	-1.7335
MATN4	2.3145
GPM6A	0.0103333333333334
GBP4	3.12683333333333
TMEM162	0.568833333333333
PKP2	-0.061
HRASLS	2.00966666666667
MMP1	-3.913
SFXN3	-0.0133
FSD1	-1.358
ST6GALNAC3	-2.60966666666667
CA12	-2.4241
NCOA6	1.31675
C19orf58	0.0863
PPP4R1	-0.706666666666667
MAN1A2	1.129
IKBKAP	-2.05575
UPF1	0.269166666666667
KIAA1219	-0.3165
WNT16	-0.823
SNW1	-1.22825
IL18RAP	0.94875
RPP30	-0.837875
CDC40	-1.14635714285714
SETD3	-0.1505
SLAMF6	-0.09375
ELK4	-0.112
TRIM47	0.734333333333333
ACOX3	0.502625
TRIM6	-0.365625
KIAA0372	-1.54483333333333
TP53AP1	0.87475
SMURF2	-0.9715
ADAD1	0.33925
EBP	-0.9238
KRTAP13-2	0.202
FLJ36874	-1.29066666666667
TOR1A	-0.895333333333333
P2RY4	1.912
GPBP1	-0.63475
TRPV1	0.91275
ADAMTS12	0.110666666666667
PES1	-0.9537
ATG4A	0.102666666666667
MAGEA10	-3.38775
WFS1	-0.11575
CC2D1B	0.1015
PABPN1	0.886625
SLC25A30	-0.867
SLCO1C1	0.258166666666667
SLC22A5	1.1875
KIF23	-1.79266666666667
SYN2	1.082
ASPN	6.3935
CENTG2	-0.1365
QSOX2	-1.51
FLJ10815	0.271666666666667
STK24	-0.9525625
SPEG	2.6906
STK10	0.0931666666666667
DACT2	-1.1225
AAAS	-0.50775
SSX3	-1.366375
ABCD3	-1.3843
C4orf12	-1.32675
PARVG	-0.1845
FIG4	-1.1835
C9orf46	-0.4025
TMCO6	-0.3565
IGHMBP2	-1.2195
DUS2L	-0.4945
FAM3C	-1.2779375
TMEM16D	-3.27975
DCTN4	0.3595
KCNH3	0.478
EIF2AK2	0.7625
AP1S3	-1.55275
CST4	0.4675
PAM	0.6388125
NUTF2	0.71825
CITED2	-0.2738
SLC39A4	2.439
C2orf52	-2.117
GRM3	0.20375
C12orf49	-0.933125
CCDC49	0.482
GRAMD1B	0.066625
FNDC4	0.3135
SIAH2	-1.39125
GDPD4	0.61825
C21orf87	0.9265
ATP5A1	-2.10683333333333
C16orf63	-0.363625
LOC388135	-0.705666666666667
ATP5J2	0.127875
MMP3	-1.73475
EMID2	0.819333333333333
CRHR1	0.62325
WDR70	0.36775
C13orf31	0.659
ZFAND1	-0.71225
CCL18	5.92833333333333
C3orf49	null
RINT1	0.0945
KIAA0408	-1.9634
F13A1	3.1973
SLC10A1	-0.592166666666667
OGN	-3.0465
GIPC2	-2.65483333333333
XPO6	-0.539333333333333
LCE1A	2.6825
FMR1	-0.1868
LOC374920	0.91125
DUSP3	-0.30525
ANKMY1	-0.89225
C7orf50	-0.14
BBS9	0.1075
UNC119B	-0.718125
C9orf72	-0.040625
MGC35440	-0.47575
ENTPD6	0.23225
PPP1R2P9	0.4795
ERCC4	3.68725
FAHD2B	0.563
HMHA1	0.0395
HACL1	-1.25925
RAD23A	-0.409333333333333
FAM83B	-0.08325
PPP5C	-1.23033333333333
RNASEH2C	-0.069625
C9orf153	-0.34
SCAMP4	1.291625
GHITM	-0.4609
NDUFB7	1.209125
ADCYAP1	3.9496
SP110	-0.297666666666667
MAP3K7IP2	0.09875
DHH	0.1505
AGRN	0.660571428571428
WDR33	0.100333333333333
CEP290	-1.6445
PRPS1L1	-1.64
KLRA1	-1.5495
GPR97	0.421
CHD7	1.73491666666667
TLR10	0.209666666666667
SLC30A8	-1.1495
HIC1	1.899
IAPP	0.86
RXFP4	0.58875
GP1BB	2.9725
SHQ1	-0.3305
NKX2-3	0.571833333333333
API5	-1.3465
FTHP1	-0.4335
MOV10L1	-0.3528
TRIM6-TRIM34	0.867166666666667
ADHFE1	0.741
FAM117A	-0.3205
DDI1	0.49175
CDON	-0.329333333333333
TRIM73	-1.007
IGKC	1.1345
MMP14	-0.00116666666666667
DYNC1LI1	-1.121125
C11orf66	-0.09825
TRBV3-1	-0.0375
FASTKD5	0.22325
BIVM	-1.8745
LHX4	-0.146
CXCL2	-0.4379
RAB2B	0.601
IZUMO1	-0.43725
MAP3K15	-1.86757142857143
FAM19A2	-0.837166666666667
ZC3H8	-1.09833333333333
ZMAT1	1.67225
SPINK5L3	-2.30875
SLC10A6	1.377
APPL2	-1.11325
CARD10	-0.744833333333333
LOC402176	-1.885
EEF1D	1.051
RAB6A	0.3683
C12orf5	-1.027125
PAPOLG	0.40125
MSRB2	1.171
BCR	0.468055555555556
PUS3	0.00225
TIAM2	0.87075
ZNF317	0.3605
CHD2	-0.32875
FZD5	-0.316863636363636
NUDT8	0.0625
ZNF763	-0.867
PRC1	-0.92
ABCB9	-1.4445
SPATA3	0.34675
TRAK2	-0.876375
STAB1	3.936875
LRRTM2	-0.3732
psiTPTE22	2.8975
DBI	1.93175
SERPINA11	-3.41125
NAT5	-0.551
C20orf58	-2.20075
RPS6KA4	0.39
FLJ90650	-1.86066666666667
TGFBRAP1	0.33125
CHRDL2	3.966625
FAHD2A	0.332333333333333
CNTN1	-0.429
BBS4	-1.6494
TMEM181	-0.23075
MINPP1	-2.86575
MPHOSPH6	-0.382333333333333
HOXC10	2.0429
ITPKB	1.272375
CLPTM1L	-0.32175
MEOX2	-0.706
ATP6V0C	0.19025
PRPF8	-0.802833333333333
TMC5	1.18725
FKBP3	-1.29375
PLEKHB2	-1.662125
OR4D6	-0.685
ZNF544	-0.3635
D2HGDH	-0.289375
RPL18A	-0.1569
HEL308	-0.213125
MPP6	-3.542
TCERG1	-1.1175
KRT16	1.7095
KLF17	-1.744
KLF5	-0.4905
CDR1	3.392625
VCX3A	-4.0595
FBLN2	2.86475
C14orf104	-0.3815
HBE1	-3.9533
OR4S2	0.681
C1orf108	-2.06683333333333
ROBO4	5.18916666666667
CPEB4	0.9605
C11orf80	-0.618666666666667
BCKDHA	-0.7045
MYOC	0.267
GIF	-0.428
CKMT1A	1.686
RPL3	-0.7147
THBS1	2.967
APOO	-0.578
ARMCX1	1.61025
HSZFP36	0.27325
SNAPC5	-1.1165
EIF4ENIF1	1.44875
ZNF433	-0.76325
TNFRSF21	0.67375
TMPRSS7	1.3975
SPATA18	0.8917
HPDL	0.04
MKL2	1.6538
TBX3	1.41715384615385
C21orf93	1.1384
DAXX	0.29125
ELMO1	-0.392875
RGS13	0.995833333333333
TAF11	-1.05975
UNC13A	-2.108
LOC653314	1.1821
ORC3L	-0.8595
IMAA	-0.875
TARBP2	-0.9635
CABIN1	0.8543
TRIOBP	0.629625
HIST1H2AC	0.49675
RGS22	-2.87533333333333
NCOA1	1.30683333333333
IL25	0.9025
SNCG	3.6725
GPR6	0.8665
AMDHD1	0.062
CHEK2	-0.014875
C6orf142	-0.377
DRD4	1.56525
C14orf68	-2.84125
GDF11	-1.6945
SEMG2	-0.0465
CD247	-1.58475
CDAN1	-0.497
RBMX2	-0.375666666666667
TGS1	-0.029
OIT3	1.47875
SYF2	-0.96725
MCM4	-0.50975
PKHD1L1	0.10225
CEP192	-0.267666666666667
IFT88	-1.1505
RPL9	0.621642857142857
RAB32	-1.30725
DDX43	1.1765
P2RX2	1.55783333333333
OR5D18	1.772
UBE1	-0.402333333333333
SLC24A1	-0.275
ARHGAP5	-1.08475
CETP	0.0725
KIAA1731	-0.423333333333333
SLC9A4	-0.3705
PTPN6	0.701
BAHD1	0.498
GRIK3	-1.5715
CACNB2	0.3789
PDE10A	-0.2675
DGCR14	0.873
PCDHB9	1.5595
RHOQ	0.493666666666667
MAP3K4	-0.20675
KTI12	-0.510333333333333
RPL23AP13	0.71625
GNG11	0.1395
CLCN3	0.696833333333333
GPAM	-0.93025
VSTM2A	1.422
SLAMF7	0.443666666666667
INTS2	-1.35925
PPP2CA	-1.5039
LRP12	1.39726666666667
SEC14L2	0.625444444444444
DKFZP586H2123	2.8865
MC3R	-2.6825
CIRH1A	-1.5315
HIST1H2AB	1.026
POLH	-1.02614285714286
MGC16703	-2.38316666666667
SNAPC2	0.671
FILIP1L	0.6425
RASGRP4	0.3675
LRRC1	-0.052
GAS1	0.314
PRAC	-0.47825
DGKA	-0.9525
NT5C3	-0.9965
PEG3	0.49075
NADK	-1.50175
PRR17	1.54925
LOC374569	-1.10566666666667
SGSH	0.053
NLRP8	-0.7095
GALT	0.3822
MCF2	-0.444
ZNF263	-0.72175
TACSTD1	1.70183333333333
TYR	-5.15711111111111
ATP6AP2	-0.84225
RNUXA	-0.787
ABHD10	-0.723888888888889
GDPD2	-1.82925
SLC35C1	0.4945
UBE2A	-0.025875
HERC5	-0.249
FAM112B	0.5845
FBXL16	0.5315
DKFZP434A0131	0.60075
ELA3A	-1.6655
RBM41	-0.08375
HAO2	1.23766666666667
RNH1	-0.499
SHANK2	1.70483333333333
OSBP2	-0.330875
DAK	-1.626
C3orf58	-1.606
TCL1B	-1.2245
KBTBD2	-0.419
SUGT1L1	-0.291333333333333
UBE2E2	0.259666666666667
MYL9	2.770375
CDC23	-1.43483333333333
PBXIP1	2.7148
CXorf40B	-0.422
NBL1	-0.12325
RTBDN	1.053
RAB11FIP5	0.2535
TTTY13	-0.724
SCOTIN	-0.247583333333333
SOHLH1	-0.440833333333333
CDKN1A	-0.882
NCK1	-0.313
ZNF550	-0.02775
SAPS3	0.0355
SPIN3	1.14716666666667
MAGEE2	-0.46175
MIS12	-0.903333333333333
OR8H2	-0.711
KIAA0774	-1.96516666666667
UNC5D	-2.0455
CUL7	-0.691833333333333
LIPC	-3.1045
DIO1	0.28425
C20orf11	-0.1434
CTRL	0.46425
HS3ST2	2.03475
PAK4	1.6765
CCRL1	1.98825
RNF10	0.887375
ZNF567	-0.01075
ZNF660	-1.713
TCEAL3	0.07675
MAGOH	-0.312166666666667
CENPB	0.302833333333333
C19orf7	1.345125
LOC388965	-0.7895
ZCCHC13	-1.258
JMJD1A	-1.4681
HIST1H4H	0.578
TBRG1	-0.8802
GPC3	-4.494375
TAF1C	0.346625
EBNA1BP2	-1.34233333333333
CIAPIN1	-0.8165
PDGFRA	-1.11188235294118
CSTB	0.618625
CENPI	-0.9795
GTF2E2	-1.18916666666667
RPP21	1.4345
CCNF	-1.102
KCNQ3	2.4845
FAM79A	-0.32525
SLC22A12	0.811
NOVA1	-1.83433333333333
FZD3	1.2236
AKAP8	-0.48175
SOCS5	-0.421625
CFDP1	-0.2335
DLG5	0.636
PGM5	-0.586583333333333
C1orf144	-0.152083333333333
HDAC10	-0.8335
RND2	-1.66725
C20orf199	-0.857
RNMT	-0.395
SLURP1	1.9655
ASTN1	-0.85675
SH3BGR	2.34125
MYCL1	-0.292125
ZHX1	1.37216666666667
CENPK	-3.332
FOSB	0.5693
LOC643406	1.4315
C2orf59	0.018
TMEM135	-1.84025
SLC27A2	-3.1585
KRT33A	1.8825
OVOL1	0.931
PAMCI	-0.736666666666667
S100A7	0.459
ZNF789	-0.457
HARS2	-0.23675
RPL23A	-0.259
TCF23	0.9165
UPF3B	-1.171
C17orf78	-0.621
HLA-DOB	1.9615
C14orf142	-1.59016666666667
TEKT5	4.93233333333333
DMWD	0.9455
POLD1	-0.719666666666667
GSCL	-0.0525
CALD1	0.9716
SCRT1	1.33433333333333
AIG1	1.57175
UNC84B	-0.36325
ZNF404	0.8525
TMED6	-2.7245
KIAA1462	-1.5215
LRRC27	1.27
PYGO1	-0.0375000000000001
PIGU	-1.50633333333333
ALAS2	-2.6495
WRNIP1	1.13075
CNNM3	-0.8165
ZNF2	-0.44725
ST3GAL5	-1.80066666666667
MRPL23	0.548
TSSK6	-0.8615
PSMA6	-1.714
C16orf70	-0.576
KIAA1602	0.581
ALMS1	0.1975
DCN	-0.445875
TMEM132D	-0.593
SUCLG2	-1.664
ABHD14A	1.283
DEXI	3.536
AMPD2	-0.629666666666667
IFNAR2	-0.303166666666667
CYB5A	0.4072
TLOC1	-1.2179
NXF5	-2.52266666666667
NRBF2	-0.243875
KCTD3	1.3305
ITGAE	-1.27683333333333
SLC30A3	-1.06416666666667
ZRF1	-0.292
IFRD2	0.119125
XAB1	-1.01075
PYCR2	-0.32
SERPINB3	-3.026
TMLHE	-0.6286
GEFT	-0.192125
ABCA5	-0.180875
EMR4	-0.601666666666667
TSFM	0.1005
HIST3H2BB	-0.1205
ARHGEF19	0.14
TSPAN17	-0.308333333333333
ABCC8	-1.697
MAP1S	1.15566666666667
C22orf36	3.586
BNC2	-1.60430769230769
HIST1H4A	-1.59625
NDUFS3	-0.669666666666667
WDR3	-0.240833333333333
XKR4	-0.758
TTC33	0.0344285714285714
STMN2	3.2985
CPN2	-0.6238
HSPC105	-2.107
PCOLCE2	-1.66825
C3orf55	1.0095
KLHDC9	0.525
TBC1D23	0.1455
ATXN2L	-0.190166666666667
MAP2K3	1.15541666666667
SCAP	0.4835
ZNF486	0.129666666666667
C20orf96	2.552
NARS	0.13125
ADAMTSL1	-0.530285714285714
PRCC	1.58983333333333
CCDC126	-0.278666666666667
ZNF675	-0.5265
CALCOCO1	0.10825
ANKRD43	-1.9525
CWF19L2	-0.709166666666667
ZBTB32	0.977666666666667
BRAF	1.27225
ODF4	-0.3215
MGC14376	0.0851666666666667
HORMAD1	3.9145
AAK1	-0.584363636363636
PEBP1	1.97741666666667
TNFSF5IP1	-0.0506666666666667
DKFZp564N2472	-0.43275
RMND1	-2.12875
IGKV1-5	3.40425
COL1A2	2.54908333333333
SERPINA5	-1.742875
AANAT	0.757
C19orf21	-1.31966666666667
GEMIN5	0.367
UBR4	-1.0915
LTBP3	1.15416666666667
AMHR2	-2.331
PROCR	-0.57925
MYBBP1A	0.392
C20orf39	-1.31983333333333
ZNF697	-0.512375
PASK	-0.3377
ZNF776	0.435166666666667
RFXDC2	-0.699571428571429
KIAA0467	0.732
C10orf96	-2.78575
ZNF503	1.246
GULP1	-1.0405
KCNE4	-0.0893333333333333
DKFZp434K191	0.792875
LOC196913	0.825
BHLHB4	3.035
CH25H	-1.663
LOC81691	-1.78366666666667
ALPL	0.130642857142857
COL12A1	1.316875
FOLR3	-1.3155
GPR123	0.0497499999999999
TRIM62	-0.429785714285714
ABLIM1	1.047
MAST3	-0.911
RHBDD1	-0.448333333333333
LOC338809	0.9665
RYBP	0.51875
TTC26	-0.434
ZNF22	-0.638333333333333
ISCA2	-0.939
RDM1	-0.29925
PIGM	0.973
GNB3	-1.933
ACTR2	-0.3376
HMGB1	0.0608999999999999
EDG1	3.91283333333333
SOAT2	-2.81225
OR10AD1	-1.8995
RAP1GDS1	0.98275
LCE1F	1.124
ESM1	0.077625
RCN3	4.07325
CREBL1	0.7205
DBNL	-1.2915
PTGER3	1.199375
USP30	-0.7555
BCL2L12	0.627
KIF26B	1.10166666666667
ZNF416	-0.04475
ZNF225	-0.432
C17orf70	0.2835
ZNF554	1.47
RAE1	-1.381
TNIK	-1.12783333333333
ACTN3	0.4715
MGC45922	3.0385
CCNA1	0.955
RYK	0.133333333333333
IL26	0.577
LRP3	2.12983333333333
QARS	-0.95375
SOX7	1.27335714285714
BID	-0.5625
OR2S2	-2.557
CXCL14	2.33675
C11orf47	-0.075
MGC29891	1.54616666666667
HSPB8	-0.2264
PRDM14	-3.156
NUFIP2	0.70575
MNAT1	-1.420625
ZDHHC2	-2.53675
MBNL2	-0.586428571428572
ADD3	-1.27975
CSNK2A1P	-0.7745
KLK6	3.06233333333333
TMEM111	-0.7649
KIAA1279	-0.72
NUBP2	0.1085
RAB42	-2.23325
ID3	1.0085
TM9SF1	-0.762
MDP-1	-1.94225
POU4F2	-0.0725
IQCK	1.30075
C16orf14	0.52275
CAPN3	-0.91475
FAM43B	1.1315
RECQL	-1.3965
AP1G1	-0.150785714285714
CTNNBL1	-0.9675
ECHDC1	-1.54816666666667
SMARCC1	0.5149
FOXQ1	-1.2905
GNAI3	-1.0475
POLG2	-1.8335
CD4	1.194
ITLN1	1.3805
EBI2	2.5825
IRF1	-0.93875
PTPRE	1.1522
PTK2B	-0.57675
NXNL2	-1.6615
SOX4	1.84827777777778
TSPAN3	0.247
SH2D1A	-2.75783333333333
C8orf58	-0.975166666666667
USP20	-0.959
DUSP22	-0.0954166666666666
CALB1	-3.09166666666667
L3MBTL2	1.6605
MCRS1	-0.9055
TMEM118	-0.240166666666667
C18orf8	1.038
FLJ10241	-1.172
GJA12	1.11875
PKD1	0.603666666666667
ZFP3	0.3255
JAM3	-0.98525
LAPTM4A	0.392444444444444
DIRC2	0.456
KIAA2022	-0.0986666666666667
MYOM1	2.477
TRPM8	1.89933333333333
MOP-1	3.49425
PHKG2	0.405875
ZNF650	0.0835
KIAA1522	0.953875
PSG8	-1.593
DDX19B	-0.9215
MOBKL1B	-1.46775
DIAPH2	0.0213333333333333
PTPN12	-0.039
CLN8	-0.123
CRYZL1	-1.56166666666667
CRY2	-0.649
FCGR2B	1.802
PNPLA4	-1.01
ZNF454	2.7755
DKFZp434B1231	-0.837
CLDN11	0.6754
RFWD2	1.43616666666667
CIB2	0.789166666666667
MXRA8	1.489625
HRK	1.94
MAML2	-0.2125
C4orf31	-1.14125
C6orf192	0.351
COG6	-0.865
FAM5B	-1.142
NFATC1	0.7469
SEPT10	-0.40775
SCYL1	-0.3832
RPP40	-0.66975
SCOC	-1.0116
KIAA1450	-0.589
CTDSPL2	-1.52375
TBX5	0.851333333333333
NAPG	1.55125
RHD	-3.77625
C14orf45	-0.261333333333333
ZBTB22	1.89
PLCG1	0.014
ANKRD10	-0.938125
AQP7P2	-0.2645
TAGLN2	0.801
HTR2C	-1.3446
SLC16A7	-0.7235
C17orf83	0.0556666666666667
TSGA14	-0.579916666666667
MDH1	-1.20125
PPP3R2	-0.2845
DCBLD2	-0.645285714285714
RBM33	-0.20275
DPH3	-2.097
SYT10	0.440833333333333
FMO4	2.517625
THYN1	-0.8595
DRD5	-2.0495
OTOR	0.398714285714286
PGRMC2	-0.1038
KATNAL1	-0.4595
PAQR6	0.28325
UBE2I	-0.7115
C14orf28	-0.5195
C8orf70	1.6755
FLYWCH1	0.111625
ANGPTL3	-1.201
GLRX2	-0.317166666666667
ATP11A	-1.7595
ARL5B	0.833375
MUC16	-0.78275
SLC25A5	-1.86935714285714
ACRC	0.07125
MYO1C	-0.12425
FAM89B	1.611
FAS	0.168125
KIFAP3	0.69775
GLRA2	1.0015
BTN3A2	0.086
CNKSR3	0.27925
CSTF3	-0.463
ARPM1	0.153
KIAA1530	-0.7655
C9orf150	0.2595
PRKCI	-1.0575
tcag7.1015	-1.4655
SOD3	3.0675
ZNF574	0.8385
CYP21A2	-0.88875
RPL12	0.32425
COMMD2	-1.893
WIZ	1.3275
LOC344405	0.18925
ALDH4A1	-0.310235294117647
CRYAB	5.32125
COPA	0.565233333333333
PCDHGA7	1.66666666666667
KIF11	-1.075
RASD2	1.823375
SLC26A3	1.246
ZNF175	-1.232
JAKMIP2	-2.982125
C8orf4	1.53616666666667
PTHLH	0.16525
SLC40A1	0.147833333333333
OR7D4	0.626833333333333
PCDHB17	0.961
CD36	2.092
C6orf203	-0.0284
PRKG2	0.089
LOC400566	0.72175
ANAPC13	-1.309
SLCO3A1	-0.71425
ZNF692	-1.2035
FANCL	-0.342
SH3GLB1	-0.18875
C12orf61	1.126
KBTBD6	-0.65325
SUPT5H	0.317875
XRCC6	-0.5191
HUS1B	1.5108
FAM133B	0.267857142857143
LOC728276	0.492
KCTD18	-0.0155
SOS2	0.242333333333333
CCDC99	-0.343
C1QTNF5	4.64
NNAT	0.118333333333333
USP16	-0.94125
LARS	-0.698
ZBTB2	0.303625
ABO	0.3558
TRAF3	-0.1795
GALNT5	-2.4185
NAP5	3.465875
ALG14	-0.193833333333333
KIAA0515	-0.010576923076923
WDR75	-0.036
TEX261	-0.573583333333333
LY86	-0.72625
LOC389072	0.726
FLJ13611	-1.172
MRGPRX2	1.6445
SNRPA	-0.116875
OR2G2	-2.853
GPRASP2	1.05425
C7orf42	0.2504
C9orf163	0.2915
CYP11B2	-2.1235
FCRL3	0.0251666666666667
PRDX1	-0.697
FGB	-6.80766666666667
COX17	0.281
C16orf33	-1.2055
PIWIL1	-0.303166666666667
FOLR1	-0.2095
KIAA0082	0.11925
FREQ	0.825333333333333
TMCC2	1.467
TCF12	-0.728083333333333
ZNF721	0.3675
FAM130A2	1.118
POU4F1	-2.758
SNRPF	-0.4015
SGIP1	1.175
ZNF641	-0.194833333333333
EMG1	-0.611
PRRG4	1.8035
HIRA	-3.08175
MYNN	-0.308666666666667
AEBP2	-1.23341666666667
TBXA2R	2.03833333333333
ISL2	-2.84016666666667
PCDHB11	3.1965
RNF144A	-0.767
MARCH5	-0.47425
DULLARD	-0.899833333333333
DCLRE1B	-1.08516666666667
ITGA8	0.9845
TP73	0.17325
PRKCD	1.5855
NDUFB4	-0.048
ATP13A4	3.922125
ANTXR2	-0.164
COL4A3	-1.07425
MYO10	-0.2547
SLC6A18	1.12225
PEX1	-0.304
TMEM74	-1.2695
RBM19	-0.33125
TAPBP	0.7907
RUNX1	0.13075
MID1	-0.110333333333333
GPR64	4.3905
RASEF	1.65625
GABRG1	0.241285714285714
MYO16	-0.602
DBF4	-1.46916666666667
TSHZ2	1.254
RIPK2	1.263375
PPTC7	-1.20083333333333
KIF4B	-0.2895
LRRC31	-0.380875
ZNF540	0.886
EFNB3	0.806166666666667
LOH12CR1	-0.2925
STON2	-1.2992
GLP1R	0.7665
CSTF2T	-0.046375
IREB2	-1.099625
GRSF1	0.486
PDCD7	-0.690833333333333
LRRC43	0.775
CNR1	-1.0175
IL1F7	-0.489
C12orf64	0.81475
FAM69B	0.9085
NR2E1	-2.33983333333333
MS4A6A	1.0672
FTL	-1.4641
C7orf36	0.4915
PCLO	-2.331375
DYRK2	-0.20225
ARIH2	-0.174625
SAMD7	-0.5015
SCNN1D	-0.07525
SLC32A1	-0.851875
C22orf25	-1.60566666666667
MRPS18A	-0.8118
GPR112	-1.173
EARS2	-0.56325
ERN2	1.535
ATPBD3	1.04033333333333
PRH2	0.2035
CDKN2D	0.58
PGLYRP2	-0.78125
TRIM40	-2.0255
SEC14L3	-0.4522
SLC22A1	-0.33525
BTN2A3	0.77675
RASA4	0.221
CCNL2	-1.05908333333333
MYBPC3	0.9445
GJA4	5.27625
CDC42SE1	1.529875
TRPV2	-0.84175
MYPN	-3.6712
SIM1	0.8105
CDADC1	0.267833333333333
ZFHX4	-1.63375
NIBP	2.27516666666667
ADAMTS19	-1.8585
ABTB2	0.68375
TSPYL2	-0.60125
EIF2S3	-0.7487
SOX30	-0.9375
AP2A1	-0.884166666666667
DKFZP564O0523	-0.329333333333333
LOC285398	-1.272
CDH18	-3.77325
CHL1	1.17342857142857
GATS	-0.749777777777778
TBC1D2B	-0.425333333333333
OR1J1	-0.034
GSN	1.1525
DPCR1	0.81125
GARNL4	0.417833333333333
SMARCA5	-0.68925
PLEKHG3	0.6375
ZBTB45	0.516
FRMD6	-1.909
PLS1	-1.081
DGKZ	1.70883333333333
EFNA1	2.3031
WDR85	-0.37125
ANK2	0.42675
PAGE4	-0.63025
SENP6	-0.351
AKR7A2	-1.15416666666667
FKBP10	-0.742
VEGFC	-0.826166666666667
LARP1	0.70525
SRBD1	-0.159
ITGB6	1.77375
SLC1A2	-0.245
INVS	0.057
MPO	0.93225
MOBKL3	-1.1275
CUTL2	-2.856625
KLK2	-0.501083333333333
VIM	-1.50225
REG1B	0.0782
PCDHGC4	0.621
C3orf34	-0.720333333333333
SUMO3	-0.913166666666667
CST9L	-1.622
MLL4	-0.57
SPR	0.819333333333333
SAMD9L	-0.237
ABCE1	-0.18025
SUPT3H	-1.69333333333333
ACTBL1	0.83525
ADAMTS4	1.57533333333333
SLIT3	2.9915
RHEBL1	-1.61225
NPM2	2.5915
MAN1C1	-1.069625
KIAA1856	2.4585
HSPA6	2.68025
LOC388152	0.7555
C10orf140	1.895
ZDHHC12	-0.4575
LIN7A	-1.472
PHC2	0.222181818181818
SPHK1	2.397
TRIM26	0.3803125
FAM83E	-0.031
C18orf24	-1.545
ZNF578	-0.580666666666667
ORAI1	-1.044
RUVBL1	-0.78475
C7orf20	-0.201333333333333
APAF1	-0.2795
SLC36A4	-1.01883333333333
MYH11	4.7965
NEK1	-0.7732
MPP2	-1.049375
C12orf24	-1.0805
TNK2	1.43975
ZNF289	-1.6675
MATN3	-3.08966666666667
IFNGR2	0.5325
ITPR1	-1.015875
EBF3	2.9814
TBC1D20	0.1302
OR10P1	0.607
DDAH2	1.55875
SHPRH	-0.47925
STX7	-1.019
LOC554248	-0.47425
BCAR1	0.4245
ATXN3	0.305333333333333
TRIM27	-0.25975
CDC42EP2	0.266
CHP	-0.469214285714286
SOX17	3.84125
ZNF259	-1.60616666666667
CHCHD1	0.089875
ZDHHC19	0.7035
GBP2	1.4805
GARNL3	1.183375
MRC2	-0.8965
C1orf52	-0.61625
AOF2	-0.971
LRPPRC	-1.0209
ACVR1C	-2.24366666666667
TM4SF18	2.4605
TMEM169	-3.21183333333333
PPP1R16A	1.807375
EBF1	2.93133333333333
RRS1	1.90383333333333
SNX2	-2.27525
OR2T2	0.876
RBX1	-0.44
ANKRD54	0.988833333333333
TSNAX	-0.359833333333333
TMEM83	-1.01775
ZBTB7A	1.205
ATM	-1.35227272727273
LOC338328	3.33983333333333
TIE1	2.39666666666667
HIST1H3G	-1.37933333333333
PASD1	-3.311
TINAG	0.5895
PCDHAC2	-0.108
LRRC15	-1.44033333333333
WBSCR17	-0.525
TFF2	-0.4585
PARP2	0.245
NDFIP2	-1.7035
PCDHGB2	-0.496
WDR60	0.0315
MAP7D2	-0.4902
USP45	-1.32525
GSDML	2.11575
TNS1	0.366444444444444
PLCD4	-1.403
