Hybridization REF	TCGA-A8-A0AB-01A-11R-A034-07
CXXC5	0.637166666666667
IL3	0.225
DRAM	-0.3819
PTCH1	-0.658625
TP53BP1	0.17025
SLC17A7	-0.136571428571429
COL25A1	-0.951
AMACR	-0.373
RHCG	0.10925
VPS13A	-0.169166666666667
FAM55D	0.2425
PRPF38B	-0.505
OSBPL6	1.99825
PFDN5	0.4715
CMTM6	0.3885
KCNK12	-1.825
RP2	0.82475
C16orf52	-1.075
PICK1	-0.073
IFNE1	-1.12983333333333
SEMA4B	0.45775
TYRO3	-1.7585
OR12D2	0.308
CSNK1A1	0.7602
FANCF	0.756
LONP2	0.339625
TBL1Y	0.25875
LDOC1L	0.89575
CCNC	0.56025
C3orf60	-0.0175
CHKA	-0.95975
UBAP1	-0.242
MAP3K1	1.47
ANKRD9	-1.1815
FAM92A1	-0.943666666666667
GAB2	-0.334
AZU1	-0.24025
DIS3	0.00958333333333334
C21orf109	-0.77475
IQCB1	-0.29975
SPATS2	-0.224666666666667
EFCAB3	-0.09525
PRB3	-0.044625
FUZ	0.216833333333333
ZNF813	0.69875
BMPER	-1.03166666666667
HEG1	-1.125
ALS2CR11	-1.4905
SURF2	-0.391
PSMC1	-0.291333333333333
OR2D2	0.1915
SLC7A8	2.1905
C4orf40	0.2375
SPATA7	0.755
MAZ	-0.418
PIN4	0.8525
PDE1A	-1.25475
TAF6L	-0.0416666666666667
OR2T34	0.3295
KIAA0284	0.574
ACADS	-0.164545454545455
MKRN2	-0.766
C18orf56	-1.57725
MS4A6E	0.151
GALNT4	0.5318
C22orf31	0.0545
FLJ36070	0.03
PSME4	-0.45925
TFG	0.1499
EPHX2	2.242
ANXA5	-0.272625
KRTAP1-1	-0.00539999999999999
BATF	1.6105
KARS	-1.94525
MSTP9	0.035
GPR26	1.81725
CCDC72	0.4975
TEF	0.3835
FOXK1	-0.4326
PRLHR	-0.004
EMX1	0.196
C11orf30	0.123125
ICK	0.4205
THSD7B	-0.3475
C21orf100	-0.683
DUOX1	0.8825
EFCAB4B	-0.2845
UBE2G2	-1.229
C3orf54	-0.15925
PARP1	0.05475
FAM60A	-0.622166666666667
C6orf146	-0.171
OR9K2	0.3005
DDX55	-1.308
RPS15	0.229166666666667
ZNF618	1.1940625
DKFZp686D0972	-0.33775
SSPO	-0.4815
SHFM3P1	0.483
CPA6	-1.52533333333333
JAG2	0.211
DEFA3	0.23075
PPBPL2	0.1115
CD34	3.368875
SLCO4A1	-3.586625
AFG3L1	-2.0655
SHD	-0.64475
RP13-122B23.3	-0.701833333333333
PRKCSH	-1.0755
DPH5	-0.204666666666667
HLA-F	-0.27325
TBC1D4	-0.289
RIG	0.0898333333333333
GLUD1	-0.0341666666666667
HNRPCL1	0.8795
HBXIP	-0.01075
RNF207	-1.0785
APIP	-1.45725
PLA2G3	-1.49416666666667
CCDC84	-1.412
MYLIP	0.619153846153846
PHIP	-0.2665
AARS2	-0.0988333333333333
DHX32	0.4865
SCAPER	0.240333333333333
MEN1	0.201625
NIP7	-1.40375
FLJ25404	0.6255
FASTKD3	-0.44625
TMEM158	-2.22966666666667
RARA	1.637
BDH1	0.7955
ANKRD16	1.0895
CARM1	0.244
SS18	0.403333333333333
IKZF2	0.0670833333333333
MYD88	-0.209125
PML	-0.21475
TAF1A	0.30625
CBFB	-0.50575
HIST1H3H	-1.43
C7orf29	-0.60925
COMMD4	-0.230833333333333
DPP3	-0.3695
DAB2	-0.176375
LOC388882	-0.6645
YPEL4	-1.112375
AGBL3	0.4765
LRP6	0.5041
SERPINH1	-0.570166666666667
TLE1	-1.4655
CD244	-0.0923333333333334
ZDHHC15	0.7545
MGLL	-1.3
PLDN	0.0109166666666667
LOC654346	0.8515
FAP	3.14275
GPR37	-0.171166666666667
SCARA5	-0.4645
EBF4	1.06609090909091
LSM6	-0.6815
MLLT1	-0.1045
SLC5A12	-0.03025
A2BP1	0.861666666666667
COPS5	-0.150166666666667
TPM4	-0.607285714285714
TNFSF4	1.3785
ACADSB	0.943388888888889
HERPUD1	-0.466
BCL2L11	-0.737055555555556
CEP78	-0.9425
CDCA3	-1.54825
WBSCR19	0.7771
MYO1A	-2.558
PPEF1	2.118
LOC440348	-0.61575
CPEB2	0.5195
BPTF	0.224083333333333
RPL21	0.3984375
GSX2	0.14
ADPRH	0.3625
C17orf68	0.102666666666667
KCNS1	-0.457
MLLT6	0.4163
PIWIL4	0.60325
RNF26	-0.94875
RAP1B	0.784
ADAMTS1	-3.1463
ZNF571	0.92625
P2RY6	-1.3795
TRIM21	-0.377166666666667
CADM3	-0.099
NLRC5	-0.639166666666667
ADRA2B	-0.391833333333333
LOC90835	0.850375
PCF11	0.49925
LOC400451	1.62025
GLTSCR1	0.4671
C17orf88	-0.0103333333333333
CDH16	-1.635
FGF7	0.905625
PCSK4	-0.0395
NPC1L1	-1.347
TAT	0.230375
TBCA	-0.5845
MGC33407	0.0565
GPR115	-0.885
CYGB	-0.182
FNBP4	-1.217
C12orf43	-0.0675
CBL	-0.4176
CLECL1	0.56925
PPAPDC1A	1.6945
WDR25	0.384666666666667
SGCA	-0.4525
C22orf29	0.602666666666667
YIPF1	1.43925
GALK2	-1.083
RAB3B	-3.35858333333333
LOC440087	0.08025
UCP1	2.8295
REEP5	2.147125
FADD	-0.1438
FOXA1	3.979
CACNA1A	-0.0153333333333333
ABI1	0.457166666666667
GRIN2D	0.36825
SLC1A4	0.213833333333333
LOC401127	-1.1255
HINT2	-0.14625
PLD4	-0.290333333333333
ZNF286A	-0.76625
ENY2	-0.2355
IL1F6	0.3925
PXDNL	0.14675
C20orf79	0.0005
TNFSF13B	1.74716666666667
DENND3	-0.835375
JARID1D	-3.24425
HIST1H2AK	-0.00562500000000009
LOC93349	-1.8174
SSH1	-0.6152
ENSA	1.016
LOC219854	0.486166666666667
CKAP2	-0.3013
DKFZP564J102	-0.435166666666667
MGC87315	0.549166666666667
HNRPAB	-0.4635
AMH	-2.3945
ZNF526	0.5945
BRUNOL5	-0.6023
CACNG3	0.199833333333333
TRPM1	-1.913
PPP2R1A	0.00987500000000001
COL2A1	-0.5035
DDN	-0.5825
FLJ25770	0.977166666666667
HK2	-0.0717142857142857
ELOVL6	-0.9205
MDK	-1.41225
EPHX1	0.873
RASSF2	-0.015
DKFZP434B0335	-0.56375
DLX3	0.383625
PRTN3	-0.18125
AVPR1A	0.309
C21orf125	-2.12475
TNFAIP8	-1.63783333333333
GNB2L1	-0.32925
CALCRL	1.55
SCGB2A2	7.7605
UBXD7	0.08875
ZNF674	-0.413
TMEM35	0.717875
BRSK2	-1.46675
HECTD3	-0.185333333333333
TMEM188	-0.437666666666667
LGALS9	0.6635
SCARB2	0.981583333333333
USP34	-0.0590833333333333
C17orf28	1.55716666666667
ZDHHC23	0.6575
AQP12B	0.14
SLC16A3	-3.202
APLP2	0.2535
ITIH2	-4.17
MICAL3	-0.6575
TNNI3K	0.9395
HDAC2	0.339625
PRR7	-0.0372
THBS2	0.02775
LOC751071	-0.827166666666667
CA2	-1.42733333333333
RANBP17	0.7175
RLN3	-0.1275
CRYZ	0.576
GBAS	1.3385
TAS1R1	-0.5295
MPZL3	0.5585
PCDH8	-1.46075
HSP90B1	-0.310083333333333
KCNK15	1.8965
TNIP2	0.0345
GPR146	-0.9505
NOL6	-0.420875
SPC25	-2.40766666666667
STEAP2	2.33585714285714
VAMP3	-0.2105
TCIRG1	-1.006
ZP4	-0.257833333333333
PARL	0.33525
TRIM39	0.3235
KIAA1305	0.11375
CRNN	0.265
GRN	0.194
HSH2D	-3.3605
SCAMP1	1.571
KIAA1913	0.367
PTS	-0.9865
BANP	-0.0517142857142857
PRKACG	0.1175
ADCY6	0.329166666666667
C16orf46	0.208
CYP51A1	-0.0825
DDC	-4.53575
ANPEP	-1.74316666666667
PROM1	-0.9515
SIGLEC10	1.26425
COPG	0.3655
FAM26E	0.344375
TRIP4	0.05275
SNX3	0.343166666666667
C1orf175	0.216
PPY2	0.30275
C14orf152	0.24825
FTSJ1	-1.078
DST	0.2566
LOC554235	0.07425
GLRX5	0.18675
C20orf12	1.2326
CAB39	0.264333333333333
MSH2	-0.756
PIP4K2C	0.922125
CYLD	0.53525
WTAP	1.0611875
MGAT4A	1.79711111111111
TSC22D4	-0.5241
CHRM2	-2.2615
PPYR1	-0.0261666666666667
CCNH	-0.810666666666667
RRM1	-0.557
ECAT8	-2.48475
LOC400120	0.214
GABRA4	0.075875
C14orf4	0.003
C1orf59	-1.059
CTDSPL	0.79425
NHEDC2	-1.1005
PDE11A	-0.214266666666667
KLHL29	-2.3185
CD5	-2.0282
TSPAN9	1.6235
WDR67	-1.8085
THUMPD1	1.1443
C18orf17	0.15475
CLYBL	1.091
FLJ13231	-0.21525
CMBL	0.353
LECT2	-0.006
NKAPL	1.19266666666667
LOC654780	0.7205
OR4C6	-0.0835
RAB30	-0.537833333333333
TSSK4	-0.36
TMEM163	1.1335
OSBPL11	0.780083333333333
GNB5	-2.2425
CCL21	0.83375
C1orf121	0.887333333333333
FMO2	1.572
RPTN	0.383
MSTN	0.2195
VCL	-0.393285714285714
FYTTD1	0.0905
C11orf1	-0.10825
CCDC88C	0.268
HFE	-0.250722222222222
MOGAT1	0.267
FAM125B	0.432333333333333
IRGQ	0.2895
RAVER2	-0.1805
AKAP5	-0.515
SSSCA1	-0.3375
C11orf63	0.418375
ACTG2	0.7379
PORCN	-1.0085
DTL	-0.245909090909091
TMEM151	0.34375
FAM122C	-1.16775
RSAD2	0.9912
BAT4	0.0005
KRTDAP	-0.875833333333333
MYH8	0.199625
CRTC3	0.61875
LRRFIP2	-0.114
INTS4	0.115833333333333
TTN	-1.53833333333333
SLC26A5	1.187
PLLP	-1.95025
RGS6	-0.781875
SRGAP3	1.237375
ZNF525	0.365666666666667
NBR2	0.511
C13orf1	-0.6553
ZNF137	0.597
CEP27	-2.466
BEST2	0.1715
RNF121	-0.1935
DMRTC2	0.1705
C8orf76	-0.29075
BCCIP	-0.234
MEST	-0.08875
HTRA2	-0.167
ANGPTL2	-0.004
ILKAP	-0.374333333333333
ERAS	-0.013
HBS1L	-0.0485
CPA5	0.2925
TMEM30A	-0.105166666666667
CD300LF	1.0645
WISP3	0.559
CRK	-0.248214285714286
PDS5A	0.357
BRPF3	0.513666666666667
NEDD9	0.405875
SMPDL3B	1.0505
PSG6	-0.63775
PSMD13	-0.89625
ETV5	-2.0915
OR51A4	0.11
BTBD7	0.888583333333333
GSTO1	-1.15275
hCG_16001	0.8765
MAD2L1BP	0.156
COX6A2	0.5445
SCNN1A	1.99516666666667
LSM1	0.615666666666667
UGT2B11	-1.72775
IDUA	1.1065
PPP2R3C	-1.4325
COX11	-0.353
PDZK1	2.00375
ZNF443	0.8735
MGC21874	0.868166666666667
ZNF323	1.1649
KRTAP10-10	0.2685
CXCL6	0.50025
SLC34A2	0.8899
LOC284402	0.424
NPTN	1.17875
UPP1	-2.65583333333333
SLC6A9	0.0215
OR7G3	0.32525
CISD1	-0.919833333333333
ZNF545	0.5135
SYT14	-0.7235
NT5C3L	-0.009
ZNHIT3	0.4695
SNRPD3	-0.25875
KIAA0701	0.1155
UNC93B1	-0.525666666666667
GMNN	-1.31325
SPCS2	0.7195
LOC388524	0.2985
NAPRT1	-0.023875
PNLIPRP1	-0.358
OR6V1	0.3395
PRKAB1	0.1265
EYA4	-3.49483333333333
KIF20A	-1.68025
ALG10	0.3795
ITPKC	1.33683333333333
LMX1B	0.832166666666667
RPUSD4	-1.06616666666667
C7orf34	0.0468333333333333
DLGAP2	0.02075
PFN1	-0.9305
MICALL2	-0.483583333333333
ZNF654	0.7285
SS18L1	-0.99425
SLC16A8	0.17675
MKI67IP	0.336666666666667
ITGB3	-0.898125
TCEA3	1.73733333333333
CEP152	-1.7991875
CLIP1	1.067125
ZNF75	0.3675625
ATP5C1	-0.788
NUDT5	-1.18383333333333
PSCDBP	-1.481
UBP1	0.2605
RBM27	0.50625
C13orf15	1.275
ZNF282	-0.173833333333333
ZNF222	-0.2335
COL10A1	5.51325
PRDM15	-0.585875
TTTY5	-0.359
FAM9C	-0.190083333333333
C20orf67	-0.3105
GNG13	-0.094
F12	1.04
C1orf41	-1.201
CPXCR1	-0.1875
GSK3A	0.591625
SUPT6H	0.1075
PI16	-0.648333333333333
ELL2	-1.20375
C9orf167	-2.62683333333333
PVRL3	-2.8554
FLJ38596	0.67025
ADAM20	-0.09175
GPR89A	1.5335
GPR87	-0.1005
ZNF30	0.88125
SMR3B	-0.033
ZNF770	0.128875
TRPC4AP	-1.20566666666667
DKFZP686E2158	0.836
C2orf28	-0.101166666666667
FREM1	-1.58683333333333
LAMA4	-0.206
ADPRHL2	-0.0715
EIF4G2	-0.215333333333333
GUCA1A	-0.619
CTNNA2	-1.433875
NUDT15	-1.51683333333333
CEPT1	0.144666666666667
ZNFX1	-0.4458
CCDC92	0.93875
TDRD1	-0.516
KCNK5	-2.71366666666667
ETNK1	0.716583333333333
LTA	0.219
TTPA	1.09616666666667
B3GALNT2	0.498375
SC65	0.345166666666667
PEX5L	-1.132875
EPS15L1	-0.34675
MGEA5	0.53875
HIST1H3A	1.368
ING1	0.011
BCAT1	-3.5575
ORC6L	-3.02890909090909
KLK11	-4.79833333333333
C19orf28	-1.275125
DNER	-4.64125
MED22	-0.540714285714286
ETV6	0.889166666666667
CHAC2	-1.46175
CD300E	0.213
CEBPB	-0.337583333333333
ZNF398	0.4675
LRCH3	-0.152
HMGA1	-1.8535
CAPN7	0.523166666666667
MGC5566	-3.016
CCL3	1.996875
NANOS1	-0.67025
ZFYVE19	-0.1245
APITD1	-0.455
PARD3	-0.628875
IRAK4	-0.395333333333333
SERPINI2	-0.0715
CEP170L	-0.118
TTC9	1.0705
MYOM3	-1.4555
MLPH	1.394875
LOC222699	0.609
NRG1	-2.02491666666667
TBC1D9	3.38490909090909
TTK	-2.00883333333333
ZNF557	0.66
DDX41	-0.370833333333333
FANK1	2.392
UBE2D2	0.0115
PSMB10	-0.938125
MYH7B	0.0615
GABARAPL2	-0.270125
MARVELD2	1.885
DGCR2	0.8185
UNC45A	0.0153333333333333
C6orf72	0.574
ZNF683	1.803
GIT2	0.306625
CASK	0.840333333333333
C14orf161	2.44366666666667
LRRC44	1.00075
TIFA	1.098875
UTP11L	-0.626875
C6orf65	-1.18425
FDPS	0.006
DUSP9	-2.1043
SLC17A8	0.806166666666667
OR51G1	0.420833333333333
NANS	-0.83375
OLFML1	1.4145
ATP10B	-1.264375
NPAS3	-0.40275
PRKCA	-2.7152
GGA2	0.2525
LCE4A	0.359
SPANXN3	0.292
CCDC115	1.63625
SDCCAG3	-0.9885
GLIPR1L1	-0.01675
TTC1	-0.0125
C17orf76	0.771
MAD2L2	-1.6895
HIPK1	0.0963
LRRC3B	-0.611833333333333
CLN3	0.159954545454545
C17orf47	-0.0225
FMN2	-0.8155
TUBB1	-1.45675
WAPAL	-0.125833333333333
C3orf21	-0.1285
SCN5A	-0.565
SMYD1	-0.01275
BEX5	1.43025
ZNF192	0.451
SEC22A	0.548166666666667
GRIA2	0.8185
KIAA0825	-1.19825
NUSAP1	-1.82709090909091
LANCL1	-0.144125
C15orf40	-0.7914
ZNF645	0.214125
GPR61	0.03375
NLRP14	-0.1385
SNX21	-0.3112
C1QTNF8	-0.00649999999999999
C17orf46	0.1205
IFNA8	0.266
SPRR1B	-1.2255
FLRT1	-0.4325
SNX17	-0.421
ASB2	-1.49966666666667
HBG1	-5.2755
RPRML	-2.05325
JOSD2	0.257
PLSCR3	0.397
SPOCD1	-0.239666666666667
RAB39	-0.6805
GHRH	1.8225
ITIH5L	0.21225
C17orf37	0.7615
SMCR8	0.5765
DPY19L2P3	-0.933833333333333
IL11RA	0.566166666666667
GDF3	-3.479
RPS6KB1	-0.281666666666667
DNAJC19	0.4244
TOP1	-0.3535
CRCT1	-0.125625
MPST	-0.122625
DPM2	-0.186
FAM38B	-2.56066666666667
SLC18A1	-2.17216666666667
FARP1	1.636
PAX7	0.21325
TUBD1	-1.33175
GNL3	-0.048125
BTG2	2.52073333333333
NDUFS6	-0.37925
C1orf79	-1.407
ERAL1	-0.059
ECHS1	0.535
VPS4A	-0.960333333333333
CYP11A1	-0.942375
ABCC6	0.00185714285714291
PBX4	-3.255
MOSC1	-0.260625
NCF4	-0.69
HYMAI	0.0575
NAGPA	-0.099125
OTOP2	0.25275
ACOT12	-0.148
MTHFD2L	0.91625
LOC441376	0.32925
C19orf34	-0.2465
RAB1B	-0.1205
ALDOAP2	-0.4905
NTRK1	-1.9835
ARTS-1	0.4404
SLC6A11	-1.9695
NAP1L2	2.1675
CNGB1	-0.0498333333333333
EPB41L4B	0.527833333333333
FAM134B	2.23825
HS3ST3A1	-1.68366666666667
CPXM2	3.21125
SIRPB2	0.2495
CHORDC1	-1.65233333333333
TRIB3	-1.33783333333333
SLC2A5	0.25925
C2orf49	-1.0605
DDX5	-0.14225
OR5L1	0.741
ANAPC4	0.163833333333333
ZSWIM1	0.32325
LOC93622	0.35175
KCNK3	-0.6843
RP11-35N6.1	-1.4445
ZFP161	0.808666666666667
AQP9	1.3295
SLC15A2	1.33483333333333
MREG	0.670333333333333
OR9I1	0.2475
PDLIM2	0.68175
ADAM7	0.3145
GSTCD	1.14416666666667
WDR21A	-0.164125
SLC12A8	1.52583333333333
TMEM174	0.0735
IGSF3	0.834916666666667
LRRN1	2.987
LOC402117	0.00625000000000001
SRPK1	-0.152833333333333
LY6K	-2.076125
NFIA	2.8845
PTCD3	-0.397
LEP	1.73016666666667
PCDH21	-0.841666666666667
MAPKAPK2	0.379642857142857
NMNAT1	-0.584166666666667
LHFPL2	0.416
C9orf43	0.028
DIP2A	-0.582
ACTR8	0.29325
CCDC34	-1.047
PTPN22	-1.80925
ITGA3	-0.064125
FAM129C	-0.19575
RABGGTA	-0.579166666666667
UNC45B	0.257
KIAA1033	-0.021625
ZNF510	-0.389833333333333
CYP2D6	-0.409666666666667
SLC26A10	-1.996
STX8	0.352
LUZP1	-0.41025
WDR89	-0.552666666666667
EIF4G3	-0.1736
C5AR1	0.280375
ZNF623	0.171
A2M	-0.37325
TGM7	0.435
GRPEL1	-0.313833333333333
LMNB2	-1.1224
ROCK2	-0.602166666666667
SNX16	0.143125
CCDC66	0.02375
ANXA3	-0.7405
KIAA1609	-0.473375
EED	-0.98225
RNF32	0.4505
HES1	1.1603
CLC	-0.07
ISL1	-0.698666666666667
KIAA0528	0.577375
MANEA	0.992
C1orf61	-2.719
hCG_2001000	1.1285
RAPGEF6	0.0722
KIAA0020	-0.3165
NEIL1	0.1945
C16orf45	0.648125
RBM10	-0.223
C10orf125	-2.099375
MRS2L	-0.1255
DNAH17	-1.025625
C19orf10	-0.73225
C1orf160	0.369
SLFN12	-0.74475
EXOC3	-0.305666666666667
HIST3H3	0.61625
NCOR2	0.100666666666667
TNFRSF9	-1.0825
MFSD8	0.18825
ALX1	-3.23383333333333
NOL1	-1.425
PODN	2.593
TIAL1	-0.8875
HIST1H1E	-1.86475
NPY6R	0.28375
TM4SF4	-0.24275
CORO2A	0.0385
ETNK2	1.01466666666667
APOE	-0.1067
ANGPT4	0.001
HDGF2	-0.5435
G30	0.1895
ST8SIA4	-0.900375
F2RL1	0.76325
FAM19A4	-2.88425
CCAR1	-0.81875
B3GNT7	0.00950000000000001
OPHN1	-0.127
DSCR6	1.6675
C21orf13	0.976333333333333
GAS2L1	0.0209166666666667
RFX3	-0.171666666666667
COPS4	0.483875
BCHE	-4.5085
BCL2	3.227375
HBZ	-3.11583333333333
ARL13B	0.225
MAPBPIP	1.767
MYO15B	0.29575
SPZ1	-0.12625
KIAA1324	3.10833333333333
PLCL2	-1.020875
C4orf29	-0.33875
WDFY2	-0.6295
ZNF284	-0.2715
NAALADL1	-0.6495
DUSP5	0.439
PXDN	0.019
SLMO1	0.189
TNXB	0.0216
BIRC7	-1.10575
A4GALT	-0.579833333333333
TIMM22	0.1015
FAM110C	0.578
TOMM34	-1.144625
ABHD9	-0.387
ADAM32	2.2185
CRHBP	-0.69225
AQP2	0.228
LOC130355	1.15175
ZNF187	0.898666666666667
ZNF816A	0.683
F7	0.795
CNOT1	-1.0279
SLC13A4	-0.96075
ZBTB11	-0.12775
B3GALT5	1.11925
EXOC2	1.43016666666667
IRS1	0.3185
TMEM1	0.511166666666667
MRPL34	-0.15
SAMM50	-0.32475
CDC42EP3	-1.283
HSF2	0.3798
MFN2	-0.16325
TSPAN7	-2.61483333333333
NUCB1	0.5175
RHOH	0.037
ARL16	0.34
TACR1	0.22875
SFRS5	-1.31883333333333
SNX25	-0.182875
RHBDF1	0.991333333333333
PCDH18	1.71483333333333
HMG1L1	0.48475
MYO5C	1.13475
MAPK10	0.2765
LDHAL6A	0.187666666666667
NUDT12	1.39383333333333
NCAM1	-0.35675
GLIS2	0.033
GGTL4	0.67425
DAPP1	-0.49625
ATF7	0.9575
KIAA0748	-1.44975
NFIL3	-0.03475
TM6SF1	0.7183
SEZ6	0.027375
NANOS3	1.07
DNAJA3	0.281
CLDN6	-2.8765
CIITA	1.4775
EPHA4	-2.48083333333333
FANCC	0.22075
CMTM3	-0.186375
PSG3	-0.380625
MRPL15	-0.3555
C21orf59	0.24875
PLCXD2	-0.362
C2orf34	-0.220125
UBE2L6	-0.46925
MED14	-0.0671666666666667
HP1BP3	-0.1624
C6orf208	-0.018
TPBG	1.47425
OSR2	-1.377
XPC	-0.316166666666667
KLHL7	-0.343166666666667
CCR3	-0.619833333333333
AGTPBP1	-0.746333333333333
PCSK6	-0.505533333333333
STAT5A	-0.8571
FAM18B	1.09775
LONRF2	1.35633333333333
PTPN2	-0.319875
SF3A3	-1.00583333333333
EFCBP2	-0.37025
HCFC1	-0.399833333333333
AHNAK	0.34505
ACTR5	-0.66075
KIF14	-1.40414285714286
TENC1	0.749
HEATR5B	1.123
YIPF2	0.489333333333333
MYEOV2	0.5585
DUSP18	0.9275
KIAA1012	0.403
AHR	1.05383333333333
C17orf53	-0.871166666666667
PTPRH	-3.82125
ATP6V1C1	0.5305
TAS2R3	0.0615
LOC440356	0.75375
COQ10B	-0.0985
PSMF1	0.0488333333333334
SORBS2	2.9415
NFE2L2	-0.292
TMCO7	-0.2565
SH3PXD2A	0.0787999999999999
SH2D2A	-2.478
SPINK5	-2.50225
MRPS24	-0.677
OPA3	0.243875
TRAF7	-0.0165
C4orf35	0.291166666666667
MT1G	-0.593875
MGC39545	0.1
HS1BP3	-0.0648
OR2B2	0.321
CHRM4	0.0825
SFRP2	2.11408333333333
RIC3	-0.71225
ART1	0.0935
C6orf1	0.76425
DUS4L	-0.10925
C10orf104	0.80125
TNFAIP6	2.27325
RTEL1	-1.22375
CCT4	-0.6254
ZNF709	0.4065
CHMP6	0.607
UPP2	0.16425
CYP19A1	-1.933
CD151	-0.5195
NDUFA13	0.333333333333333
ARFRP1	-1.38233333333333
FAM26B	1.155
CRYBA1	-1.0585
MRPL41	-0.373
NPFFR2	-0.115625
HRH2	0.0935
SCAMP3	0.6495
MTMR6	1.2479
MTG1	-1.1655
UBTD1	0.69
CRABP1	-1.661
FLJ33790	0.7552
KIAA1908	-0.0666666666666667
GPR158	-3.23925
PACSIN3	-0.809833333333333
OMD	1.722
CATSPER1	-0.990666666666667
HOXB8	-1.098875
FBXO46	1.348
OAS1	-1.05183333333333
SVIL	0.399
PHB2	-0.6175
ADCY3	-0.6935
NDRG2	0.421833333333333
ERMAP	0.6922
APBA2	-2.4655
IGSF9	3.20175
WNT6	-0.606071428571428
MYCBPAP	1.4205
ATP2B2	-0.079
CPVL	-1.414
TRAM2	-0.97575
NOP5/NOP58	-0.5725
ZNRF4	-0.19075
TLK1	0.410375
MTMR12	0.588071428571428
ZNF384	-0.1805
FAM9B	-2.20075
RPN1	0.249
PMVK	1.38475
EIF3D	0.2326
SIX2	0.84275
HPS1	0.281714285714286
RNF7	0.426
PSKH2	0.255
KCTD13	-0.0511666666666667
CSMD3	-0.4295
FBF1	0.067
IL8	-3.745375
SERPINB13	0.469333333333333
FBXL20	0.5505
BLR1	0.1505
SH2B1	4.62592926927149e-18
RFNG	-0.483
RAB20	1.16183333333333
RBM7	-0.415
POLR1A	-0.461
TMPRSS4	-1.85625
TAF9	-0.5345
TERF2	-0.288
TNFRSF1A	0.361333333333333
ACADVL	-0.6295
GTF2H5	1.42375
EDG8	-1.31316666666667
C9orf140	-1.684
UST6	-0.064
ZBTB8OS	-0.42425
ZNF710	0.0515
GPR174	-2.042
ATP6V0A2	-0.3255
KIAA0319L	0.587166666666667
XKRX	0.1715
DOPEY2	0.9384
SDHD	-0.55475
SUMF1	2.443
OSM	1.2615
OPN3	-0.8335
DAGLB	-0.443833333333333
PPFIBP1	0.4331
TRIM63	-2.23525
C10orf53	0.415
LYPD3	0.358166666666667
BCL7A	0.278375
AGER	-1.31333333333333
TCF19	-1.002125
SAT2	0.13825
PFTK1	1.0845
GABRE	-3.26675
C15orf38	-0.3659
FIS1	0.464
KCNV2	-0.092
CLPS	0.40925
PPCDC	-0.5075
FOXN2	-0.879333333333333
NT5E	-3.5409
CD83	0.3785
IL18	-1.048
VPS16	0.083
IGFBP2	-0.108666666666667
NOTCH2	0.45425
SIGLEC1	1.03875
CD93	3.841
SULF2	0.491
CEP164	-0.784875
P53AIP1	0.108666666666667
TOR2A	-0.1105
ZNF136	0.1
MGP	3.6054
CCDC144A	-0.791833333333333
TRPC1	-1.59166666666667
SMS	-0.634666666666667
MAPK7	-0.361333333333333
RRAGC	0.7775
PARD6A	-0.176
NUB1	0.236166666666667
SYNGR4	0.608
OR11H12	0.712
WIF1	1.1255
GCH1	-0.8985
OR11H4	0.098
SLC44A5	2.632
GPRIN2	1.21816666666667
LOC401431	0.54225
CPA4	-2.528
MELK	-2.26866666666667
IL15RA	-1.403
CUL3	1.329375
HMBOX1	1.5975
PODXL	-2.63275
CCT6B	1.635
COMTD1	-0.73825
MUC20	-0.912166666666667
GPX2	-3.41925
ITK	-2.29125
FBXL5	1.66575
C13orf27	-0.60575
DEFA5	0.6165
TRHDE	-0.4285
MTP18	-0.983
UQCRQ	0.7636
ITGB2	0.289083333333333
CSRP2BP	0.933
TAS2R44	0.207
PHPT1	-0.588
FAM44C	0.3705
ERH	-0.29375
MPHOSPH1	-1.12716666666667
MORC1	-0.182
PARVB	-1.10125
LAMA1	-2.31683333333333
PGBD3	0.2165
GIMAP6	2.79925
AREG	1.60433333333333
LIPT1	-0.0775
MGC99813	-1.69
C1orf201	-0.0816666666666667
GRIN2A	-0.7621
MAN2C1	-1.296
NSUN5	-0.671
SF3B5	0.62675
MYC	-0.7989375
NRXN1	-0.126083333333333
ZNF18	0.47875
SPDYA	-0.04525
SLC37A1	0.883
DECR2	0.8335
ANKRD38	1.1605
SPTLC3	-1.00458333333333
SUPT16H	-0.8605
DTWD2	0.5255
ULBP1	-0.194
ZADH1	0.182
OIP5	-2.8295
IL10RB	-0.421333333333333
OTUB2	0.6695
VWA3A	0.126333333333333
SPIC	0.0278333333333333
OR6C4	0.37
PSCD4	0.125833333333333
DPY19L2P2	-0.4175
TRAPPC6A	1.2175
C21orf2	-0.339833333333333
CEMP1	0.69675
LIN7B	-0.535
E2F7	-1.898
VCP	-0.4048125
LAMA3	0.909166666666667
BGN	1.10475
GPR160	1.615
COCH	-4.45466666666667
GPR81	2.353
APOBEC3F	-2.71575
tcag7.1017	0.15675
C1orf32	0.1975
SCGB1D2	4.96325
FLJ43987	-0.0465
C6orf170	0.48225
KLK9	0.3635
GPD1L	0.134875
VPS37B	-0.0535
ATG3	-0.1385
ADAMTS17	0.263
KLHDC2	-0.254833333333333
NDUFV2	-0.15975
BLK	-3.2385
MATN4	-1.7755
GPM6A	-0.28475
GBP4	0.833166666666667
TMEM162	0.192166666666667
PKP2	0.778
