Hybridization REF	TCGA-AO-A0JA-01A-11R-A056-07
C17orf28	2.31933333333333
ZDHHC23	-1.93075
AQP12B	0.3005
SLC16A3	-2.239875
APLP2	0.502625
ITIH2	-5.20375
MICAL3	-0.844625
TNNI3K	0.429888888888889
HDAC2	0.574125
PRR7	0.0852
THBS2	1.739625
LOC751071	-1.0475
CA2	1.00483333333333
RANBP17	1.80125
RLN3	0.35
CRYZ	-0.1075
GBAS	-0.130666666666667
TAS1R1	-0.2005
MPZL3	0.364
PCDH8	-2.3815
HSP90B1	-0.706416666666667
KCNK15	1.2245
TNIP2	0.513
GPR146	-0.098
NOL6	0.19325
SPC25	-1.74244444444444
STEAP2	2.64114285714286
VAMP3	-0.683333333333333
TCIRG1	0.3105
ZP4	-0.737
PARL	0.3235
TRIM39	0.505166666666667
KIAA1305	1.28875
CRNN	0.2365
GRN	0.731
HSH2D	-0.93875
SCAMP1	0.8254375
KIAA1913	1.55975
PTS	-0.473
BANP	0.0327142857142857
PRKACG	0.24725
ADCY6	0.5245
C16orf46	-0.3
CYP51A1	0.397
DDC	-5.7965
ANPEP	-0.67
PROM1	0.0375
SIGLEC10	3.59675
COPG	0.9625
FAM26E	1.953
TRIP4	0.54225
SNX3	0.703166666666667
C1orf175	0.298666666666667
PPY2	0.01075
C14orf152	1.185
FTSJ1	-0.547
DST	0.3982
LOC554235	0.146
GLRX5	0.362
C20orf12	0.1074
CAB39	0.4265
MSH2	-1.13183333333333
PIP4K2C	1.113375
CYLD	1.1555
WTAP	0.90475
MGAT4A	2.01833333333333
TSC22D4	0.2223
CHRM2	-1.0345
PPYR1	0.290166666666667
CCNH	-1.28583333333333
RRM1	-0.75375
ECAT8	-2.4655
LOC400120	-0.13925
GABRA4	-0.172875
C14orf4	1.69216666666667
C1orf59	-1.13075
CTDSPL	0.20075
NHEDC2	-1.4425
PDE11A	-1.28525
KLHL29	-0.67725
CD5	-0.154
TSPAN9	2.07425
WDR67	-1.08475
THUMPD1	0.0853
C18orf17	-0.124
CLYBL	-0.0861666666666667
FLJ13231	-0.454875
CMBL	0.4425
LECT2	-0.0305
NKAPL	1.7695
LOC654780	0.567
OR4C6	0.258
RAB30	1.4435
TSSK4	-0.5295
TMEM163	0.3945
OSBPL11	-0.16225
GNB5	-1.70683333333333
CCL21	1.10225
C1orf121	0.624833333333333
FMO2	2.49566666666667
RPTN	-0.4765
MSTN	0.3875
VCL	-0.620285714285714
FYTTD1	-0.0315
C11orf1	-0.82925
CCDC88C	-0.3369375
HFE	0.0125555555555556
MOGAT1	0.2105
FAM125B	1.33716666666667
IRGQ	0.3985
RAVER2	-0.028
AKAP5	0.6305
SSSCA1	-0.24825
C11orf63	0.370125
ACTG2	0.6223
PORCN	-1.0525
DTL	-1.34063636363636
TMEM151	0.495
FAM122C	-1.2485
RSAD2	3.5614
BAT4	-0.6155
KRTDAP	-0.3175
MYH8	0.5085
CRTC3	1.07575
LRRFIP2	0.5477
INTS4	-0.815
TTN	-1.35016666666667
SLC26A5	0.2615
PLLP	-0.568
RGS6	-0.380125
SRGAP3	1.748
ZNF525	-0.042
NBR2	-0.516833333333333
C13orf1	0.1417
ZNF137	0.31
CEP27	-1.7535
BEST2	0.076
RNF121	-0.2505
DMRTC2	0.15725
C8orf76	-0.41875
BCCIP	-0.871125
MEST	-0.675
HTRA2	-0.2265
ANGPTL2	1.29875
ILKAP	0.0185
ERAS	0.316
HBS1L	-0.162625
CPA5	0.061
TMEM30A	1.202
CD300LF	2.83716666666667
WISP3	4.5655
CRK	0.218214285714286
PDS5A	0.4358
BRPF3	0.364333333333333
NEDD9	1.556125
SMPDL3B	1.53675
PSG6	-0.40225
PSMD13	-0.1975
ETV5	-1.3543125
OR51A4	0.2065
BTBD7	0.442583333333333
GSTO1	-1.225
hCG_16001	0.2295
MAD2L1BP	0.1205
COX6A2	1.4825
SCNN1A	2.8495
LSM1	0.706833333333333
UGT2B11	-3.51925
IDUA	0.6335
PPP2R3C	-0.529
COX11	-0.9365
PDZK1	2.21725
ZNF443	0.243
MGC21874	1.5735
ZNF323	0.9641
KRTAP10-10	0.374
CXCL6	-0.222
SLC34A2	1.2864
LOC284402	-0.0365
NPTN	1.967
UPP1	-2.13775
SLC6A9	-0.0795
OR7G3	0.6235
CISD1	-2.16333333333333
ZNF545	-0.5145
SYT14	-1.7105
NT5C3L	-0.3115
ZNHIT3	-0.974166666666667
SNRPD3	-0.492
KIAA0701	0.275625
UNC93B1	0.961166666666667
GMNN	-2.379875
SPCS2	0.651333333333333
LOC388524	-0.535
NAPRT1	0.500875
PNLIPRP1	-0.404666666666667
OR6V1	0.418
PRKAB1	0.31225
EYA4	-2.90016666666667
KIF20A	-1.0445
ALG10	0.9275
ITPKC	1.09966666666667
LMX1B	1.98416666666667
RPUSD4	-1.20183333333333
C7orf34	-0.023
DLGAP2	0.269714285714286
PFN1	-0.3535
MICALL2	0.297416666666667
ZNF654	-1.6245
SS18L1	-1.207375
SLC16A8	0.4835
MKI67IP	-0.881166666666667
ITGB3	-0.96175
TCEA3	2.227
CEP152	-2.4079375
CLIP1	0.14425
ZNF75	0.4819375
ATP5C1	-0.654666666666667
NUDT5	-0.0603333333333333
PSCDBP	1.391
UBP1	-0.3245
RBM27	0.333
C13orf15	2.51825
ZNF282	0.342333333333333
ZNF222	-0.2231
COL10A1	5.9905
PRDM15	-0.9125
TTTY5	-0.4245
FAM9C	-0.554916666666667
C20orf67	0.3315
GNG13	1.6535
F12	0.7305
C1orf41	-2.1305
CPXCR1	-0.7695
GSK3A	0.954625
SUPT6H	-0.208666666666667
PI16	-0.992
ELL2	0.140833333333333
C9orf167	-1.58516666666667
PVRL3	-2.4128
FLJ38596	1.80575
ADAM20	-0.4895
GPR89A	0.8245
GPR87	-1.613
ZNF30	0.5935
SMR3B	0.589
ZNF770	-0.00862500000000002
TRPC4AP	-0.267333333333333
DKFZP686E2158	0.763166666666667
C2orf28	0.198333333333333
FREM1	0.523333333333333
LAMA4	0.517166666666667
ADPRHL2	-0.2165
EIF4G2	0.930166666666667
GUCA1A	-0.758
CTNNA2	-1.1135
NUDT15	-0.446666666666667
CEPT1	0.316
ZNFX1	0.9983
CCDC92	1.28025
TDRD1	-1.2265
KCNK5	-2.2645
ETNK1	0.413083333333333
LTA	0.1755
TTPA	-0.466166666666667
B3GALNT2	0.498625
SC65	0.0956666666666667
PEX5L	-0.40875
EPS15L1	1.133
MGEA5	-0.505875
HIST1H3A	0.87075
ING1	0.088625
BCAT1	-2.65075
ORC6L	-2.82281818181818
KLK11	-4.85583333333333
C19orf28	-1.83125
DNER	-4.3575
MED22	-0.637357142857143
ETV6	1.44791666666667
CHAC2	-2.6685
CD300E	0.4515
CEBPB	0.995583333333333
ZNF398	0.133
LRCH3	-0.0215
HMGA1	-1.37233333333333
CAPN7	0.692666666666667
MGC5566	-3.059
CCL3	2.8065
NANOS1	-0.571
ZFYVE19	0.44425
APITD1	-1.558
PARD3	0.533375
IRAK4	-0.806
SERPINI2	-0.706
CEP170L	0.2115
TTC9	2.074875
MYOM3	-1.21475
MLPH	2.13975
LOC222699	0.9695
NRG1	-1.42975
TBC1D9	4.14290909090909
TTK	-1.90016666666667
ZNF557	0.0973
DDX41	0.0193333333333333
FANK1	0.957
UBE2D2	0.10875
PSMB10	0.269
MYH7B	-0.1315
GABARAPL2	-0.74225
MARVELD2	2.301
DGCR2	0.942666666666667
UNC45A	0.474833333333333
C6orf72	0.064
ZNF683	4.5515
GIT2	0.361375
CASK	0.463333333333333
C14orf161	3.4635
LRRC44	-0.74775
TIFA	0.148875
UTP11L	-0.859875
C6orf65	-0.5715
FDPS	-0.0815
DUSP9	-1.9204
SLC17A8	-0.207166666666667
OR51G1	0.797666666666667
NANS	0.1185
OLFML1	2.46275
ATP10B	-0.799625
NPAS3	-0.7695
PRKCA	-1.9192
GGA2	-0.353
LCE4A	0.696
SPANXN3	-0.3115
CCDC115	1.504125
SDCCAG3	-0.77625
GLIPR1L1	0.309
TTC1	0.13775
C17orf76	0.513
MAD2L2	-1.646
HIPK1	-0.4787
LRRC3B	-0.0496666666666667
CLN3	-0.193272727272727
C17orf47	0.1295
FMN2	-2.125625
TUBB1	-2.03057142857143
WAPAL	0.0095
C3orf21	0.45075
SCN5A	-0.1957
SMYD1	-0.077
BEX5	0.51725
ZNF192	-0.7145
SEC22A	-0.474333333333333
GRIA2	0.397153846153846
KIAA0825	-0.8905
NUSAP1	-1.11936363636364
LANCL1	-0.071
C15orf40	-0.9653
ZNF645	0.0575
GPR61	0.29025
NLRP14	-0.008
SNX21	0.3046
C1QTNF8	0.3455
C17orf46	0.4685
IFNA8	0.5695
SPRR1B	-1.46416666666667
FLRT1	-0.70625
SNX17	0.3195
ASB2	0.059
HBG1	-5.17
RPRML	-1.63525
JOSD2	0.641
PLSCR3	0.74975
SPOCD1	-0.301
RAB39	0.319
GHRH	-0.165333333333333
ITIH5L	0.386
C17orf37	-0.00650000000000001
SMCR8	0.70225
DPY19L2P3	-0.3345
IL11RA	0.804
GDF3	-3.53833333333333
RPS6KB1	-1.00566666666667
DNAJC19	1.1072
TOP1	0.174
CRCT1	-1.138125
MPST	0.45275
DPM2	0.502125
FAM38B	-2.062
SLC18A1	-2.382
FARP1	0.622333333333333
PAX7	-0.074
TUBD1	-2.16175
GNL3	-1.46525
BTG2	2.04413333333333
NDUFS6	-0.04975
C1orf79	-3.04225
ERAL1	-0.7785
ECHS1	0.41925
VPS4A	-0.1695
CYP11A1	-1.05025
ABCC6	-1.66128571428571
PBX4	-2.237
MOSC1	0.605875
NCF4	1.21525
HYMAI	-0.288
NAGPA	-0.3855
OTOP2	-0.014
ACOT12	-0.12375
MTHFD2L	-0.87625
LOC441376	5.47775
C19orf34	0.0115
RAB1B	0.842
ALDOAP2	-0.653
NTRK1	-1.71866666666667
ARTS-1	-0.2876
SLC6A11	-0.131
NAP1L2	-0.395
CNGB1	-0.342333333333333
EPB41L4B	-0.124
FAM134B	2.79175
HS3ST3A1	-0.567833333333333
CPXM2	5.1755
SIRPB2	1.291
CHORDC1	-2.24216666666667
TRIB3	-1.674
SLC2A5	0.398
C2orf49	-0.755333333333333
DDX5	-0.02225
OR5L1	0.89
ANAPC4	-0.467666666666667
ZSWIM1	0.635875
LOC93622	0.43225
KCNK3	-0.6027
RP11-35N6.1	-0.63275
ZFP161	0.174166666666667
AQP9	2.41725
SLC15A2	1.123
MREG	1.291
OR9I1	0.3395
PDLIM2	0.784875
ADAM7	0.258
GSTCD	0.410333333333333
WDR21A	0.217625
SLC12A8	1.76183333333333
TMEM174	0.0255
IGSF3	1.04241666666667
LRRN1	-1.18325
LOC402117	0.06025
SRPK1	-0.852666666666667
LY6K	-2.2335625
NFIA	1.6255
PTCD3	-0.601625
LEP	2.25516666666667
PCDH21	-1.11266666666667
MAPKAPK2	1.29521428571429
NMNAT1	-1.55366666666667
LHFPL2	1.226125
C9orf43	-0.61925
DIP2A	-0.175833333333333
ACTR8	-0.38125
CCDC34	-1.37725
PTPN22	-0.979375
ITGA3	-1.2855
FAM129C	0.759
RABGGTA	0.5625
UNC45B	0.52175
KIAA1033	-0.076625
ZNF510	0.1825
CYP2D6	-0.482
SLC26A10	-1.7355
STX8	-0.25625
LUZP1	-0.16275
WDR89	-0.6675
EIF4G3	-0.6086
C5AR1	1.35675
ZNF623	0.665
A2M	1.54375
TGM7	0.1625
GRPEL1	-0.425666666666667
LMNB2	-1.1505
ROCK2	-0.879666666666667
SNX16	-0.53525
CCDC66	-0.52975
ANXA3	-1.174
KIAA1609	-0.440625
EED	-1.375
RNF32	-0.0375
HES1	0.4447
CLC	0.882666666666667
ISL1	0.481833333333333
KIAA0528	-0.60375
MANEA	0.75925
C1orf61	-2.0645
hCG_2001000	0.3275
RAPGEF6	-1.0847
KIAA0020	-1.16833333333333
NEIL1	1.10675
C16orf45	-0.8795
RBM10	0.496666666666667
C10orf125	-1.238875
MRS2L	-0.7245
DNAH17	-1.450625
C19orf10	-0.2525
C1orf160	0.525
SLFN12	1.5355
EXOC3	-0.359166666666667
HIST3H3	0.73025
NCOR2	0.812833333333333
TNFRSF9	0.10275
MFSD8	1.11125
ALX1	-3.80616666666667
NOL1	-1.09
PODN	3.41575
TIAL1	-1.5245
HIST1H1E	-0.93975
NPY6R	0.39225
TM4SF4	-0.19075
CORO2A	1.17025
ETNK2	0.935333333333333
APOE	2.2594
ANGPT4	0.8235
HDGF2	0.3585
G30	0.547
ST8SIA4	0.13325
F2RL1	-0.66625
FAM19A4	-3.84025
CCAR1	-1.172
B3GNT7	-0.00749999999999999
OPHN1	-0.00980000000000003
DSCR6	-0.1145
C21orf13	0.737833333333333
GAS2L1	0.581416666666667
RFX3	-1.00033333333333
COPS4	0.11475
BCHE	-4.684
BCL2	1.315
HBZ	-2.84016666666667
ARL13B	-0.6695
MAPBPIP	1.26225
MYO15B	-0.428
SPZ1	-0.60975
KIAA1324	2.93144444444444
PLCL2	-0.278625
C4orf29	-0.852
WDFY2	-0.60925
ZNF284	-0.902
NAALADL1	0.217
DUSP5	-1.01116666666667
PXDN	1.48025
SLMO1	-1.541
TNXB	0.6818
BIRC7	-0.93825
A4GALT	0.785333333333333
TIMM22	-0.21125
FAM110C	2.317
TOMM34	-0.479875
ABHD9	0.2845
ADAM32	-0.3865
CRHBP	0.000750000000000001
AQP2	0.52125
LOC130355	0.7305
ZNF187	0.124166666666667
ZNF816A	0.412
F7	0.394625
CNOT1	-0.5176
SLC13A4	-0.99675
ZBTB11	-0.3995
B3GALT5	2.311
EXOC2	1.29416666666667
IRS1	0.5892
TMEM1	0.3165
MRPL34	-0.358333333333333
SAMM50	-0.51125
CDC42EP3	-0.177875
HSF2	-0.6853
MFN2	-0.32175
TSPAN7	-1.471
NUCB1	0.904166666666667
RHOH	-0.0385
ARL16	-0.054
TACR1	0.17925
SFRS5	-0.102666666666667
SNX25	-0.153125
RHBDF1	1.104
PCDH18	2.558
HMG1L1	-0.22825
MYO5C	1.56075
MAPK10	1.719
LDHAL6A	0.0418333333333334
NUDT12	0.500833333333333
NCAM1	-0.122375
GLIS2	0.835
GGTL4	0.067
DAPP1	1.43575
ATF7	1.545625
KIAA0748	-1.311
NFIL3	-1.7365
TM6SF1	0.7296
SEZ6	0.114375
NANOS3	0.219333333333333
DNAJA3	-0.477333333333333
CLDN6	-2.7295
CIITA	3.0995
EPHA4	0.590666666666667
FANCC	0.224
CMTM3	1.0695
PSG3	-0.4355
MRPL15	-1.4115
C21orf59	-0.2335
PLCXD2	0.23925
C2orf34	0.13275
UBE2L6	0.98175
MED14	-0.0708333333333333
HP1BP3	-0.6698
C6orf208	-0.459
TPBG	1.08275
OSR2	2.685875
XPC	0.216
KLHL7	-1.31491666666667
CCR3	0.169666666666667
AGTPBP1	-1.0515
PCSK6	-0.174466666666667
STAT5A	-1.4528
FAM18B	-0.283
LONRF2	0.0516666666666667
PTPN2	-1.099125
SF3A3	-1.15866666666667
EFCBP2	-0.147
HCFC1	-0.2665
AHNAK	0.50625
ACTR5	-0.47425
KIF14	-2.46614285714286
TENC1	1.576
HEATR5B	0.846
YIPF2	0.920333333333333
MYEOV2	1.2514
DUSP18	0.6375
KIAA1012	-0.60925
AHR	-1.34133333333333
C17orf53	-1.556
PTPRH	-3.37975
ATP6V1C1	-0.0116
TAS2R3	0.2335
LOC440356	-1.44625
COQ10B	0.79475
PSMF1	0.507333333333333
SORBS2	3.02158333333333
NFE2L2	0.0125
TMCO7	-0.5735
SH3PXD2A	0.2625
SH2D2A	-1.11925
SPINK5	-2.306
MRPS24	-0.751
OPA3	0.423125
TRAF7	-0.0738333333333333
C4orf35	0.454666666666667
MT1G	-1.1065
MGC39545	0.37325
HS1BP3	0.7714
OR2B2	0.525
CHRM4	0.1265
SFRP2	4.44091666666667
RIC3	-0.7015
ART1	0.1475
C6orf1	1.369625
DUS4L	-0.31625
C10orf104	0.06075
TNFAIP6	2.90625
RTEL1	-0.6345
CCT4	-0.1375
ZNF709	-0.2925
CHMP6	0.5555
UPP2	0.9915
CYP19A1	-2.40275
CD151	0.3165
NDUFA13	0.243166666666667
ARFRP1	-0.728666666666667
FAM26B	1.8405
CRYBA1	-0.9475
MRPL41	0.325333333333333
NPFFR2	-1.90025
HRH2	0.171
SCAMP3	1.10933333333333
MTMR6	0.6536
MTG1	-1.186
UBTD1	1.3625
CRABP1	-2.577
FLJ33790	0.9837
KIAA1908	0.2355
GPR158	-0.04375
PACSIN3	0.310666666666667
OMD	4.07783333333333
CATSPER1	-0.3095
HOXB8	-0.323375
FBXO46	1.1435
OAS1	1.86566666666667
SVIL	0.1515
PHB2	-0.34025
ADCY3	-0.7845
NDRG2	1.67933333333333
ERMAP	1.0557
APBA2	-1.02416666666667
IGSF9	2.99575
WNT6	0.0809285714285714
MYCBPAP	-0.62375
ATP2B2	-0.2784
CPVL	0.1506
TRAM2	-0.846166666666667
NOP5/NOP58	-1.045
ZNRF4	-0.106
TLK1	0.782
MTMR12	0.109214285714286
ZNF384	0.082
FAM9B	-3.00875
RPN1	0.0013
PMVK	0.88875
EIF3D	-0.0949
SIX2	1.8295
HPS1	0.590785714285714
RNF7	0.6255
PSKH2	0.1835
KCTD13	-0.139166666666667
CSMD3	-0.7335
FBF1	-0.585
IL8	-6.15025
SERPINB13	0.609666666666667
FBXL20	-0.4175
BLR1	0.68825
SH2B1	-0.543
RFNG	0.3965
RAB20	0.824666666666667
RBM7	-0.71875
POLR1A	-0.189666666666667
TMPRSS4	-1.11325
TAF9	-0.7125
TERF2	-0.209666666666667
TNFRSF1A	0.759833333333333
ACADVL	-0.686833333333333
GTF2H5	0.3525
EDG8	0.0771666666666667
C9orf140	-0.183375
UST6	0.2025
ZBTB8OS	-1.0575
ZNF710	1.507
GPR174	-0.1615
ATP6V0A2	-0.17125
KIAA0319L	-0.621916666666667
XKRX	0.935
DOPEY2	1.2224
SDHD	-0.826833333333333
SUMF1	1.3685
OSM	2.395
OPN3	-0.35575
DAGLB	0.0796666666666667
PPFIBP1	0.2992
TRIM63	-3.03075
C10orf53	0.945
LYPD3	-0.175833333333333
BCL7A	-0.084
AGER	-1.09016666666667
TCF19	-0.873
SAT2	-0.174
PFTK1	0.6985
GABRE	-3.128125
C15orf38	0.4994
FIS1	0.273
KCNV2	0.12175
CLPS	0.5355
PPCDC	-0.858
FOXN2	-0.2585
NT5E	-2.7547
CD83	0.9185
IL18	0.65875
VPS16	0.69275
IGFBP2	-1.27133333333333
NOTCH2	1.145
SIGLEC1	3.470375
CD93	5.297
SULF2	1.681
CEP164	-0.7525
P53AIP1	0.703333333333333
TOR2A	0.221333333333333
ZNF136	0.14525
MGP	3.1577
CCDC144A	-1.07683333333333
TRPC1	-0.5295
SMS	0.379166666666667
MAPK7	-0.277666666666667
RRAGC	0.28025
PARD6A	-0.129166666666667
NUB1	0.270833333333333
SYNGR4	1.24675
OR11H12	-0.122
WIF1	1.548875
GCH1	-0.04675
OR11H4	-0.099
SLC44A5	-0.231
GPRIN2	0.723166666666667
LOC401431	-0.3835
CPA4	-2.281
MELK	-1.48033333333333
IL15RA	0.0685
CUL3	0.265625
HMBOX1	1.54875
PODXL	-1.841
CCT6B	0.248666666666667
COMTD1	-1.43225
MUC20	4.63383333333333
GPX2	-3.6285
ITK	-0.660625
FBXL5	1.75325
C13orf27	-1.51925
DEFA5	0.282
TRHDE	-0.7605
MTP18	-1.72816666666667
UQCRQ	0.5873
ITGB2	1.99125
CSRP2BP	0.29675
TAS2R44	0.334
PHPT1	1.01075
FAM44C	-0.27975
ERH	0.5965
MPHOSPH1	-2.3805
MORC1	-0.4325
PARVB	-1.3235
LAMA1	-1.96516666666667
PGBD3	-0.0865
GIMAP6	4.028
AREG	1.756
LIPT1	-0.56225
MGC99813	-0.72075
C1orf201	-0.472666666666667
GRIN2A	-0.7455
MAN2C1	-0.803125
NSUN5	-0.6075
SF3B5	0.33425
MYC	-2.284375
NRXN1	-0.813
ZNF18	0.46375
SPDYA	-0.6465
SLC37A1	1.706
DECR2	0.98775
ANKRD38	1.538125
SPTLC3	-0.715
SUPT16H	-0.4005
DTWD2	1.25025
ULBP1	-0.144
ZADH1	-0.924166666666666
OIP5	-1.795
IL10RB	-0.0431666666666667
OTUB2	0.24775
VWA3A	-0.109666666666667
SPIC	-0.0425
OR6C4	-0.164
PSCD4	0.948333333333333
DPY19L2P2	-0.55
TRAPPC6A	0.408
C21orf2	0.182
CEMP1	-0.416
LIN7B	0.4085
E2F7	-2.23833333333333
VCP	0.5225
LAMA3	0.399416666666667
BGN	2.6535
GPR160	2.219
COCH	-4.52133333333333
GPR81	1.28966666666667
APOBEC3F	-1.24
tcag7.1017	-0.3605
C1orf32	0.226
SCGB1D2	6.782
FLJ43987	-0.774
C6orf170	-0.66175
KLK9	0.7705
GPD1L	-0.07
VPS37B	0.2485
ATG3	-0.9485
ADAMTS17	-0.008
KLHDC2	0.228333333333333
NDUFV2	-0.94175
BLK	-2.7085
MATN4	-1.4865
GPM6A	1.954125
GBP4	3.28266666666667
TMEM162	0.392166666666667
PKP2	-0.754
HRASLS	2.71533333333333
MMP1	-4.52925
SFXN3	-0.2244
FSD1	-1.64266666666667
ST6GALNAC3	-1.66683333333333
CA12	2.7837
NCOA6	0.31
C19orf58	-0.2186
PPP4R1	-0.249333333333333
MAN1A2	0.0543333333333333
IKBKAP	-0.728
UPF1	0.518333333333333
KIAA1219	0.60475
WNT16	0.0811666666666667
SNW1	0.224875
IL18RAP	2.032
RPP30	-0.7275
CDC40	0.148571428571429
SETD3	0.527333333333333
SLAMF6	0.40175
ELK4	-0.2775
TRIM47	0.475166666666667
ACOX3	1.653625
TRIM6	-0.335
KIAA0372	-0.347166666666667
TP53AP1	1.40075
SMURF2	-0.48175
ADAD1	0.13375
EBP	-1.03
KRTAP13-2	0.3975
FLJ36874	-1.31233333333333
TOR1A	0.547
P2RY4	1.206
GPBP1	0.50875
TRPV1	-0.255625
ADAMTS12	0.925666666666667
PES1	-0.3408
ATG4A	0.706166666666667
MAGEA10	-4.30275
WFS1	2.20175
CC2D1B	-1.0085
PABPN1	-0.44325
SLC25A30	0.1565
SLCO1C1	0.437166666666667
SLC22A5	1.5985
KIF23	-1.87866666666667
SYN2	-0.6335
ASPN	8.5795
CENTG2	-0.0775
QSOX2	-1.4776
FLJ10815	-0.149833333333333
STK24	0.6066875
SPEG	0.414
STK10	0.524833333333333
DACT2	-1.129
AAAS	-0.4715
SSX3	-2.115125
ABCD3	-0.4384
C4orf12	-0.024625
PARVG	1.2375
FIG4	1.3765
C9orf46	0.0475
TMCO6	-0.5815
IGHMBP2	0.10875
DUS2L	-0.8795
FAM3C	0.5819375
TMEM16D	-2.137875
DCTN4	0.7215
KCNH3	-0.14125
EIF2AK2	0.81725
AP1S3	0.387875
CST4	0.6235
PAM	0.695125
NUTF2	-0.1165
CITED2	0.4834
SLC39A4	0.1915
C2orf52	-1.4295
GRM3	0.24975
C12orf49	0.9435
CCDC49	-0.7721
GRAMD1B	-1.18475
FNDC4	0.9025
SIAH2	-0.18625
GDPD4	0.82675
C21orf87	0.293375
ATP5A1	0.4305
C16orf63	-0.72675
LOC388135	-0.135
ATP5J2	-0.477
MMP3	-0.3865
EMID2	-0.7225
CRHR1	0.6685
WDR70	-0.3075
C13orf31	1.29075
ZFAND1	-1.02925
CCL18	3.986
C3orf49	0.3255
RINT1	-0.9685
KIAA0408	-1.7935
F13A1	5.0174
SLC10A1	-0.229666666666667
OGN	3.00375
GIPC2	-0.931166666666667
XPO6	-0.5
LCE1A	1.212
FMR1	-0.2029
LOC374920	0.1775
DUSP3	-0.272125
ANKMY1	0.70225
C7orf50	0.30325
BBS9	-0.4175
UNC119B	-0.444625
C9orf72	-0.582125
MGC35440	0.42475
ENTPD6	0.033125
PPP1R2P9	0.267
ERCC4	0.35875
FAHD2B	-0.1125
HMHA1	-0.315
HACL1	-1.291
RAD23A	-0.686666666666667
FAM83B	-1.06825
PPP5C	-0.519333333333333
RNASEH2C	-0.113
C9orf153	-0.432
SCAMP4	1.188
GHITM	-0.1721
NDUFB7	0.195875
ADCYAP1	0.326166666666667
SP110	1.574
MAP3K7IP2	1.06075
DHH	-0.1015
AGRN	0.338928571428571
WDR33	0.374333333333333
CEP290	-1.53266666666667
PRPS1L1	-1.62183333333333
KLRA1	-0.8435
GPR97	-0.613
CHD7	-1.43358333333333
TLR10	0.71775
SLC30A8	4.6025
HIC1	2.1275
IAPP	-0.403
RXFP4	0.48675
GP1BB	1.313
SHQ1	-0.134
NKX2-3	0.556333333333333
API5	-0.58375
FTHP1	1.285
MOV10L1	1.197
TRIM6-TRIM34	1.4785
ADHFE1	-0.43775
FAM117A	-0.60275
DDI1	-0.196333333333333
CDON	0.2645
TRIM73	-2.6015
IGKC	4.699
MMP14	-0.29475
DYNC1LI1	-0.172125
C11orf66	0.17425
TRBV3-1	-0.82425
FASTKD5	0.0535
BIVM	-1.90475
LHX4	0.074
CXCL2	-1.8241
RAB2B	-0.394333333333333
IZUMO1	-0.981
MAP3K15	-1.202125
FAM19A2	0.511666666666667
ZC3H8	-0.758166666666667
ZMAT1	1.1765
SPINK5L3	-2.26575
SLC10A6	0.4185
APPL2	0.031625
CARD10	0.111833333333333
LOC402176	-0.86425
EEF1D	0.4102
RAB6A	1.3396
C12orf5	-0.397125
PAPOLG	0.07925
MSRB2	1.155
BCR	0.448055555555556
PUS3	-0.753
TIAM2	0.564
ZNF317	0.203666666666667
CHD2	-0.110230769230769
FZD5	-2.15618181818182
NUDT8	-0.93625
ZNF763	-0.465
PRC1	-0.578555555555556
ABCB9	0.4255
SPATA3	0.1755
TRAK2	1.60175
STAB1	2.968
LRRTM2	0.0533333333333333
psiTPTE22	1.5365
DBI	1.28125
SERPINA11	-2.0725
NAT5	-0.032
C20orf58	-2.19625
RPS6KA4	-0.0356666666666667
FLJ90650	-1.32975
TGFBRAP1	0.18375
CHRDL2	-0.440875
FAHD2A	-0.633
CNTN1	0.3315
BBS4	-0.271
TMEM181	0.411
MINPP1	-0.91925
MPHOSPH6	-1.68183333333333
HOXC10	2.5074
ITPKB	0.29075
CLPTM1L	0.041875
MEOX2	-0.2515
ATP6V0C	0.67675
PRPF8	-0.447333333333333
TMC5	0.5105
FKBP3	0.37825
PLEKHB2	0.02675
OR4D6	0.143
ZNF544	-0.3934
D2HGDH	-0.215125
RPL18A	-0.7318
HEL308	-0.17075
MPP6	-2.86875
TCERG1	-1.628
KRT16	-0.207666666666667
KLF17	-0.8105
KLF5	0.33025
CDR1	2.403625
VCX3A	-2.8705
FBLN2	2.507125
C14orf104	-0.685
HBE1	-4.5168
OR4S2	-0.301
C1orf108	-1.51916666666667
ROBO4	3.5855
CPEB4	0.4535
C11orf80	0.633166666666667
BCKDHA	1.099
MYOC	0.3695
GIF	0.575
CKMT1A	-0.84
RPL3	-0.2239
THBS1	3.428375
APOO	-1.00775
ARMCX1	1.8955
HSZFP36	0.95225
SNAPC5	-0.49075
EIF4ENIF1	0.714
ZNF433	0.2045
TNFRSF21	0.31675
TMPRSS7	0.679
SPATA18	0.963
HPDL	-3.6495
MKL2	1.5168
TBX3	-0.489692307692308
C21orf93	0.672
DAXX	0.44425
ELMO1	0.007375
RGS13	1.4735
TAF11	-0.52525
UNC13A	-2.3985
LOC653314	-1.0397
ORC3L	-0.77475
IMAA	-2.782
TARBP2	-0.077
CABIN1	-0.7601
TRIOBP	0.2561875
HIST1H2AC	0.31525
RGS22	-0.293666666666667
NCOA1	1.21133333333333
IL25	0.6655
SNCG	-0.304
GPR6	0.368
AMDHD1	-1.46816666666667
CHEK2	-1.2225
C6orf142	0.183
DRD4	0.75375
C14orf68	-0.9535
GDF11	-0.58175
SEMG2	-0.384
CD247	-1.0135
